Orthogroup	Arabidopsis_thaliana	Arabidopsis_lyrata
OG0000025	AT1G45223, AT1G45221, AT1G45215, AT1G57760, AT1G57775, AT1G57777, AT3G44115, AT4G08025	scaffold_105715.1, Al_scaffold_0001_5285, fgenesh2_kg.1__4819__AT4G08025.1, fgenesh2_kg.2__596__AT4G08025.1, fgenesh2_kg.637__6__AT1G57775.1, scaffold_105713.1, scaffold_200844.1, scaffold_105717.1, scaffold_105716.1, scaffold_200845.1, fgenesh2_kg.637__2__AT4G08025.1, scaffold_200838.1, scaffold_200840.1, scaffold_105714.1, scaffold_105720.1, scaffold_200839.1, scaffold_200843.1, fgenesh2_kg.2__601__AT3G44117.1, fgenesh2_kg.2__594__AT1G57760.1, scaffold_200841.1, fgenesh2_kg.637__1__AT3G44115.1
OG0000025	AT4G07515	fgenesh1_pm.C_scaffold_2000424
OG0000029	AT5G03100	scaffold_600231.1
OG0000029	AT3G28410, AT5G02700	Al_scaffold_0006_180
OG0000029	AT1G57690	fgenesh2_kg.1__4809__AT1G57690.1
OG0000029	AT2G39415	fgenesh1_pm.C_scaffold_380000002, scaffold_402687.1
OG0000029	AT1G49610	fgenesh1_pm.C_scaffold_1003160, Al_scaffold_0001_4310
OG0000029	AT3G03360	fgenesh1_pm.C_scaffold_1000404
OG0000029	AT5G02930, AT5G02920	fgenesh1_pg.C_scaffold_6000172, Al_scaffold_0006_194
OG0000029	AT5G02910	fgenesh2_kg.6__203__AT5G02910.1
OG0000030	AT1G63320	fgenesh2_kg.2__192__AT1G63320.1
OG0000031	AT5G56700	fgenesh2_kg.8__1576__AT5G56700.1
OG0000031	AT5G56410	fgenesh2_kg.493__1__AT5G56410.1
OG0000031	AT5G38580	fgenesh2_kg.315__1__AT5G38580.1, fgenesh2_kg.7__3542__AT5G38580.1
OG0000032	AT1G66930	fgenesh2_kg.2__916__AT1G66930.1
OG0000032	AT1G66920	scaffold_201476.1
OG0000033	AT1G62630, AT1G63360	fgenesh1_pg.C_scaffold_2000218
OG0000033	AT1G12280	fgenesh1_pm.C_scaffold_1001035
OG0000033	AT1G12210	fgenesh1_pg.C_scaffold_1001079, scaffold_101336.1
OG0000037	AT3G53750, AT2G37620	fgenesh1_pm.C_scaffold_4001519
OG0000037	AT3G18780	fgenesh1_pg.C_scaffold_3001782
OG0000037	AT3G18780	fgenesh2_kg.1__4019__AT1G49240.1
OG0000037	AT2G42090	Al_scaffold_0004_2842
OG0000037	AT2G42100	fgenesh1_pg.C_scaffold_4002350
OG0000037	AT3G12110	fgenesh2_kg.3__1268__AT3G12110.1
OG0000037	AT3G46520	fgenesh2_kg.5__1015__AT3G46520.1
OG0000037	AT3G46520	fgenesh2_kg.8__1881__AT5G59370.1
OG0000037	AT5G09810	fgenesh2_kg.6__937__AT5G09810.1
OG0000038	AT1G55030	fgenesh2_kg.1__4731__AT1G55030.1
OG0000038	AT3G51530	fgenesh2_kg.5__1496__AT3G51530.1
OG0000038	AT2G04230	fgenesh2_kg.5__1273__AT2G04230.1
OG0000039	AT4G23210	fgenesh2_kg.7__1977__AT4G23210.2
OG0000039	AT4G23190	Al_scaffold_0007_1833
OG0000039	AT4G23220	Al_scaffold_0007_1825, fgenesh2_kg.7__1976__AT4G23220.1
OG0000039	AT4G11530	Al_scaffold_0001_5203
OG0000039	AT4G11460	fgenesh2_kg.6__3108__AT4G11460.1
OG0000039	AT4G11480	fgenesh2_kg.6__3109__AT4G11480.1
OG0000039	AT4G11470	Al_scaffold_0006_3317
OG0000040	AT3G12230, AT3G12240	scaffold_301404.1
OG0000040	AT3G12220	fgenesh2_kg.3__1283__AT3G12220.1
OG0000040	AT2G22960	scaffold_400256.1
OG0000040	AT2G22980	fgenesh2_kg.4__225__AT2G22980.2
OG0000040	AT2G22920	scaffold_400251.1
OG0000040	AT2G22970	fgenesh2_kg.4__221__AT2G22970.3
OG0000040	AT2G23000	scaffold_400259.1
OG0000040	AT2G22990	fgenesh2_kg.4__228__AT2G22990.1
OG0000040	AT2G23010	fgenesh2_kg.4__232__AT2G23010.2
OG0000040	AT3G10450	fgenesh2_kg.3__1078__AT3G10450.1
OG0000040	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270	fgenesh2_kg.2__1589__AT1G73270.1
OG0000042	AT3G59000	Al_scaffold_0005_2828
OG0000042	AT3G58940	Al_scaffold_0005_2819
OG0000043	AT3G47110	fgenesh1_pg.C_scaffold_5001209
OG0000043	AT5G20480	fgenesh2_kg.6__2087__AT5G20480.1
OG0000043	AT3G47570	fgenesh1_pg.C_scaffold_5001243
OG0000043	AT3G47580, AT3G47090	fgenesh1_pg.C_scaffold_5001208
OG0000044	AT3G46950	fgenesh2_kg.5__1064__AT3G46950.1
OG0000044	AT1G61960	fgenesh1_pm.C_scaffold_2000223
OG0000044	AT1G61990	fgenesh2_kg.2__266__AT1G61990.1
OG0000044	AT1G62150	scaffold_200344.1
OG0000044	AT1G62010	scaffold_201141.1, fgenesh1_pg.C_scaffold_2000271
OG0000044	AT1G62120	scaffold_200357.1
OG0000044	AT1G56380	scaffold_200349.1
OG0000044	AT1G62110, AT1G62085	fgenesh1_pm.C_scaffold_2000210
OG0000044	AT1G61970	scaffold_200372.1
OG0000044	AT1G61980	fgenesh2_kg.2__267__AT1G61980.1
OG0000044	AT1G62490	scaffold_200307.1
OG0000045	AT3G45860	fgenesh2_kg.5__957__AT3G45860.1
OG0000045	AT4G23130	fgenesh2_kg.7__1981__AT4G23130.2
OG0000045	AT4G23180	fgenesh2_kg.7__1979__AT4G23180.1
OG0000045	AT4G23140	Al_scaffold_0007_1838
OG0000045	AT4G23150	fgenesh2_kg.7__1980__AT4G23150.1
OG0000045	AT4G23230	Al_scaffold_0002_253, Al_scaffold_0007_1824
OG0000046	AT4G36150	Al_scaffold_0007_426
OG0000046	AT5G44870	fgenesh1_pm.C_scaffold_8000247
OG0000046	AT3G51570	fgenesh2_kg.5__1501__AT3G51570.1
OG0000046	AT5G45060	scaffold_800382.1, scaffold_800453.1, fgenesh2_kg.8__291__AT5G45060.1
OG0000046	AT5G45250	scaffold_800359.1
OG0000046	AT2G17060	Al_scaffold_0008_371, scaffold_800401.1
OG0000046	AT5G45230	fgenesh2_kg.8__276__AT5G45230.1
OG0000050	AT1G19890	fgenesh2_kg.1__2168__AT1G19890.1
OG0000050	AT5G10980	fgenesh2_kg.6__1062__AT5G10980.1
OG0000050	AT4G40040	fgenesh2_kg.6__1062__AT5G10980.1
OG0000050	AT5G12910	scaffold_601295.1
OG0000050	AT1G09200	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	AT5G65360	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	AT5G10390	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	AT5G10400	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	AT3G27360	fgenesh2_kg.1__963__AT1G09200.1
OG0000050	AT1G09200	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	AT5G65360	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	AT5G10390	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	AT5G10400	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	AT3G27360	fgenesh2_kg.5__517__AT3G27360.1
OG0000050	AT1G09200	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	AT5G65360	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	AT5G10390	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	AT5G10400	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	AT3G27360	fgenesh2_kg.6__1003__AT5G10400.1
OG0000050	AT1G09200	scaffold_105618.1
OG0000050	AT5G65360	scaffold_105618.1
OG0000050	AT5G10390	scaffold_105618.1
OG0000050	AT5G10400	scaffold_105618.1
OG0000050	AT3G27360	scaffold_105618.1
OG0000050	AT1G09200	scaffold_601051.1
OG0000050	AT5G65360	scaffold_601051.1
OG0000050	AT5G10390	scaffold_601051.1
OG0000050	AT5G10400	scaffold_601051.1
OG0000050	AT3G27360	scaffold_601051.1
OG0000050	AT1G75600	fgenesh2_kg.3__2903__AT1G13370.1
OG0000051	AT5G08391	fgenesh2_kg.6__807__AT5G08391.1
OG0000051	AT3G01950	fgenesh2_kg.3__18__AT3G01950.1
OG0000051	AT5G14110	scaffold_601425.1
OG0000051	AT3G27030	fgenesh1_pm.C_scaffold_5000374, fgenesh2_kg.7__3312__AT5G40970.1
OG0000051	AT3G27027	scaffold_500615.1
OG0000051	AT5G40980	scaffold_703863.1
OG0000051	AT3G01940	fgenesh2_kg.3__19__AT3G01940.1
OG0000051	AT5G50660, AT5G50560	fgenesh2_kg.8__936__AT5G50660.1
OG0000051	AT3G48660	fgenesh1_pm.C_scaffold_5001003
OG0000051	AT5G63500	scaffold_803038.1
OG0000052	AT1G52950	Al_scaffold_0004_827, Al_scaffold_0003_2448, Al_scaffold_0006_3453, Al_scaffold_0003_3869, Al_scaffold_0005_2878, Al_scaffold_0007_3799, Al_scaffold_0007_3456, Al_scaffold_0006_2707, Al_scaffold_0007_1387, Al_scaffold_0006_2984, Al_scaffold_0002_2719, Al_scaffold_0004_310, Al_scaffold_0008_1266, Al_scaffold_0003_3164, Al_scaffold_0004_745, Al_scaffold_0001_3215, fgenesh1_pg.C_scaffold_3002431, Al_scaffold_0006_3420, Al_scaffold_0002_1050, Al_scaffold_0002_847, Al_scaffold_0008_2176, Al_scaffold_0003_3043, Al_scaffold_0005_1334, Al_scaffold_0003_2769, Al_scaffold_0005_1336, scaffold_501113.1
OG0000053	AT5G21274	fgenesh2_kg.6__2164__AT5G21274.1
OG0000053	AT5G37780	scaffold_201361.1, scaffold_703671.1
OG0000053	AT4G14640	fgenesh1_pm.C_scaffold_7002276
OG0000053	AT3G22930	fgenesh2_kg.3__2503__AT3G22930.1
OG0000053	AT3G56800	scaffold_402918.1
OG0000053	AT3G56800	scaffold_502831.1
OG0000053	AT2G41110, AT2G27030	fgenesh2_kg.4__642__AT2G27030.3
OG0000054	AT1G12090	fgenesh2_kg.1__1313__AT1G12090.1
OG0000054	AT4G12520, AT4G12510	scaffold_603708.1, scaffold_603709.1
OG0000054	AT2G45180	fgenesh2_kg.4__2714__AT2G45180.1
OG0000054	AT4G22460	scaffold_702112.1
OG0000057	AT5G57350	fgenesh1_pm.C_scaffold_6002529
OG0000057	AT5G62670	scaffold_802942.1
OG0000057	AT3G42640	fgenesh1_pm.C_scaffold_5000607
OG0000057	AT2G18960	fgenesh2_kg.3__3537__AT2G18960.1
OG0000060	AT2G28720	scaffold_401326.1
OG0000060	AT5G22880	fgenesh2_kg.6__2278__AT5G22880.1
OG0000060	AT1G07790	scaffold_604315.1, fgenesh2_kg.1__765__AT1G07790.1
OG0000060	AT5G02570	scaffold_600180.1
OG0000060	AT3G09480	fgenesh2_kg.3__969__AT3G09480.1
OG0000060	AT3G53650	Al_scaffold_0005_2266
OG0000060	AT2G37470	fgenesh2_kg.4__1800__AT2G37470.1
OG0000060	AT5G59910	fgenesh1_pm.C_scaffold_189000001, fgenesh2_kg.8__1944__AT5G59910.1
OG0000060	AT3G45980	fgenesh2_kg.5__969__AT3G45980.1
OG0000060	AT3G46030	fgenesh2_kg.5__975__AT3G46030.1
OG0000061	AT5G36910	Al_scaffold_0007_3261
OG0000062	AT3G20140	fgenesh2_kg.3__2233__AT3G20140.1
OG0000062	AT3G20080	fgenesh2_kg.3__2232__AT3G20080.1
OG0000062	AT5G47990	fgenesh2_kg.8__658__AT5G47990.1
OG0000062	AT3G20950, AT3G20935, AT3G20940, AT4G15350	fgenesh2_kg.7__2791__AT4G15350.1
OG0000062	AT3G20960	scaffold_302501.1
OG0000062	AT4G15360	scaffold_703021.1
OG0000064	AT2G20290	fgenesh1_pm.C_scaffold_3002552
OG0000064	AT4G28710	Al_scaffold_0007_1247
OG0000064	AT5G43900	fgenesh2_kg.8__431__AT5G43900.1
OG0000064	AT1G04160	scaffold_100373.1
OG0000064	AT2G31900	fgenesh2_kg.4__1175__AT2G31900.1
OG0000064	AT1G17580	scaffold_101959.1
OG0000064	AT5G20490	Al_scaffold_0006_1977
OG0000064	AT3G58160	scaffold_502994.1
OG0000064	AT1G08730	Al_scaffold_0001_833
OG0000065	AT1G75780	fgenesh2_kg.2__1855__AT1G75780.1
OG0000065	AT1G20010	fgenesh2_kg.1__2180__AT1G20010.1
OG0000065	AT5G44340	scaffold_800574.1
OG0000065	AT4G20890	fgenesh2_kg.7__2230__AT4G20890.1
OG0000065	AT5G12250	Al_scaffold_0006_1146
OG0000065	AT5G23860	fgenesh2_kg.6__2379__AT5G23860.1
OG0000065	AT2G29550	fgenesh2_kg.4__930__AT2G29550.1
OG0000065	AT5G62690, AT5G62700	fgenesh2_kg.8__2267__AT5G62690.1, fgenesh2_kg.5__1054__AT5G62700.1
OG0000066	AT4G11700	scaffold_201490.1
OG0000066	AT1G24388	fgenesh1_pg.C_scaffold_1002421, Al_scaffold_0006_2726
OG0000066	AT1G02770, AT1G19060	fgenesh1_pm.C_scaffold_1000090
OG0000066	AT3G19520	Al_scaffold_0003_2060
OG0000066	AT1G23950, AT1G23970	fgenesh2_kg.1__2612__AT1G23970.1
OG0000066	AT5G41640	scaffold_703737.1
OG0000066	AT3G57210	Al_scaffold_0005_2628
OG0000068	AT5G42190	scaffold_800989.1
OG0000068	AT2G25700, AT1G20140	fgenesh2_kg.4__129__AT1G20140.1
OG0000068	AT3G60010	scaffold_503225.1
OG0000068	AT3G53060	scaffold_502393.1
OG0000068	AT3G60020	scaffold_503226.1
OG0000068	AT3G21860, AT3G21830, AT3G21840, AT3G21850	scaffold_302606.1, scaffold_302607.1, scaffold_302608.1
OG0000068	AT4G34470, AT4G34210	scaffold_700685.1
OG0000069	AT3G53730	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	AT1G07820	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	AT5G59690	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	AT3G46320	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	AT2G28740	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	AT1G07660	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	AT3G45930	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	AT5G59970	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	AT3G53730	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	AT1G07820	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	AT5G59690	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	AT3G46320	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	AT2G28740	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	AT1G07660	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	AT3G45930	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	AT5G59970	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	AT3G53730	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	AT1G07820	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	AT5G59690	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	AT3G46320	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	AT2G28740	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	AT1G07660	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	AT3G45930	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	AT5G59970	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	AT3G53730	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	AT1G07820	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	AT5G59690	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	AT3G46320	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	AT2G28740	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	AT1G07660	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	AT3G45930	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	AT5G59970	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	AT3G53730	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	AT1G07820	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	AT5G59690	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	AT3G46320	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	AT2G28740	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	AT1G07660	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	AT3G45930	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	AT5G59970	fgenesh2_kg.8__1917__AT5G59690.1
OG0000070	AT4G38860	scaffold_700078.1
OG0000070	AT2G21220	scaffold_400034.1
OG0000070	AT2G18010	scaffold_304129.1
OG0000070	AT4G36110	fgenesh2_kg.7__453__AT4G36110.1
OG0000070	AT1G75580	fgenesh2_kg.2__1835__AT1G75580.1
OG0000070	AT1G19830	fgenesh2_kg.1__2161__AT1G19830.1
OG0000070	AT2G16580	scaffold_303940.1
OG0000070	AT4G34760	fgenesh2_kg.7__612__AT4G34760.1
OG0000071	AT2G29930	scaffold_401462.1
OG0000071	AT5G12450	fgenesh2_kg.6__1226__AT5G12450.1, fgenesh2_kg.6__1227__AT5G12450.1
OG0000071	AT1G47920	fgenesh2_kg.1__3882__AT5G12450.1
OG0000071	AT1G48390	fgenesh1_pg.C_scaffold_1003520
OG0000072	AT2G07505, AT2G06265	fgenesh2_kg.7__3040__AT2G07505.1, fgenesh2_kg.1__3574__AT2G07505.1, fgenesh2_kg.9__20__AT2G07505.1
OG0000073	AT1G43760, AT1G40390	fgenesh1_pg.C_scaffold_488000002
