Orthogroup	Arabidopsis_thaliana	Eutrema_salsugineum
OG0000037	AT5G09810	EUTSA_v10028132mg, EUTSA_v10013834mg
OG0000038	AT1G55030	EUTSA_v10005660mg
OG0000038	AT3G51530	EUTSA_v10009690mg
OG0000038	AT3G49020, AT3G49040, AT2G04230, AT3G49030	EUTSA_v10011042mg, EUTSA_v10001210mg
OG0000039	AT4G23190	EUTSA_v10024606mg
OG0000039	AT4G23220	EUTSA_v10024579mg
OG0000039	AT4G11530	EUTSA_v10028491mg
OG0000039	AT4G11460	EUTSA_v10028545mg
OG0000039	AT4G11480, AT4G11470	EUTSA_v10028502mg, EUTSA_v10029336mg
OG0000040	AT3G12230, AT3G12240	EUTSA_v10007675mg, EUTSA_v10022069mg
OG0000040	AT2G22980	EUTSA_v10000651mg
OG0000040	AT2G23000	EUTSA_v10000461mg
OG0000040	AT3G10450	EUTSA_v10020743mg
OG0000040	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270	EUTSA_v10018572mg
OG0000042	AT3G59000, AT5G38390, AT5G38386, AT5G38391, AT1G52650, AT4G13960, AT5G38396, AT5G38392, AT3G58820, AT3G58910	EUTSA_v10005914mg, EUTSA_v10005932mg
OG0000042	AT3G58860	EUTSA_v10006456mg
OG0000042	AT3G58880	EUTSA_v10006457mg
OG0000042	AT3G58900	EUTSA_v10006398mg
OG0000042	AT3G03040, AT3G03030	EUTSA_v10022023mg
OG0000042	AT3G58940, AT3G58930	EUTSA_v10005926mg, EUTSA_v10028613mg
OG0000043	AT3G47110	EUTSA_v10010172mg, EUTSA_v10010088mg
OG0000043	AT5G20480	EUTSA_v10015316mg
OG0000043	AT3G47570	EUTSA_v10012566mg
OG0000044	AT1G61990	EUTSA_v10024090mg
OG0000044	AT1G62150, AT1G62010, AT1G62120	EUTSA_v10023467mg, EUTSA_v10023461mg, EUTSA_v10024124mg, EUTSA_v10024076mg, EUTSA_v10023505mg, EUTSA_v10024167mg, EUTSA_v10023470mg, EUTSA_v10024133mg, EUTSA_v10019750mg, EUTSA_v10023445mg, EUTSA_v10023472mg, EUTSA_v10023868mg, EUTSA_v10023911mg, EUTSA_v10023838mg
OG0000044	AT1G56380	EUTSA_v10023801mg
OG0000045	AT4G23180	EUTSA_v10000811mg, EUTSA_v10024630mg
OG0000045	AT4G23140, AT4G23150, AT4G23230	EUTSA_v10024843mg
OG0000046	AT4G19530	EUTSA_v10027412mg
OG0000046	AT3G51570	EUTSA_v10010076mg
OG0000046	AT5G45060, AT5G45250	EUTSA_v10000750mg
OG0000046	AT5G17880	EUTSA_v10012486mg
OG0000046	AT2G17060	EUTSA_v10000765mg
OG0000046	AT5G45230	EUTSA_v10000747mg
OG0000048	AT4G00155	EUTSA_v10000656mg, EUTSA_v10003071mg, EUTSA_v10023123mg
OG0000049	AT1G42710	EUTSA_v10012171mg
OG0000049	AT4G09660, AT1G19260, AT3G29765, AT3G29763	EUTSA_v10011986mg, EUTSA_v10023932mg, EUTSA_v10023173mg, EUTSA_v10002181mg, EUTSA_v10002330mg, EUTSA_v10019469mg, EUTSA_v10028046mg
OG0000049	AT1G41920, AT2G06541, AT3G29450	EUTSA_v10002288mg, EUTSA_v10022494mg, EUTSA_v10024100mg, EUTSA_v10029343mg, EUTSA_v10023825mg, EUTSA_v10015352mg, EUTSA_v10002275mg, EUTSA_v10005675mg, EUTSA_v10023867mg, EUTSA_v10005333mg, EUTSA_v10012191mg
OG0000050	AT5G10980	EUTSA_v10014984mg
OG0000050	AT5G10980	EUTSA_v10019309mg
OG0000050	AT4G40040	EUTSA_v10014984mg
OG0000050	AT4G40040	EUTSA_v10019309mg
OG0000050	AT5G12910	EUTSA_v10015270mg
OG0000050	AT1G09200	EUTSA_v10014986mg
OG0000050	AT1G09200	EUTSA_v10014985mg
OG0000050	AT1G09200	EUTSA_v10029057mg
OG0000050	AT1G09200	EUTSA_v10005111mg
OG0000050	AT1G09200	EUTSA_v10005114mg
OG0000050	AT5G65360	EUTSA_v10014986mg
OG0000050	AT5G65360	EUTSA_v10014985mg
OG0000050	AT5G65360	EUTSA_v10029057mg
OG0000050	AT5G65360	EUTSA_v10005111mg
OG0000050	AT5G65360	EUTSA_v10005114mg
OG0000050	AT5G10390	EUTSA_v10014986mg
OG0000050	AT5G10390	EUTSA_v10014985mg
OG0000050	AT5G10390	EUTSA_v10029057mg
OG0000050	AT5G10390	EUTSA_v10005111mg
OG0000050	AT5G10390	EUTSA_v10005114mg
OG0000050	AT5G10400	EUTSA_v10014986mg
OG0000050	AT5G10400	EUTSA_v10014985mg
OG0000050	AT5G10400	EUTSA_v10029057mg
OG0000050	AT5G10400	EUTSA_v10005111mg
OG0000050	AT5G10400	EUTSA_v10005114mg
OG0000050	AT3G27360	EUTSA_v10014986mg
OG0000050	AT3G27360	EUTSA_v10014985mg
OG0000050	AT3G27360	EUTSA_v10029057mg
OG0000050	AT3G27360	EUTSA_v10005111mg
OG0000050	AT3G27360	EUTSA_v10005114mg
OG0000051	AT5G08391	EUTSA_v10015314mg
OG0000051	AT5G14110	EUTSA_v10015204mg
OG0000051	AT3G27030	EUTSA_v10005506mg, EUTSA_v10028016mg
OG0000051	AT3G27027	EUTSA_v10005242mg
OG0000051	AT5G40980	EUTSA_v10028017mg
OG0000051	AT3G01940	EUTSA_v10021883mg
OG0000051	AT5G50660, AT5G50560	EUTSA_v10015879mg
OG0000051	AT3G48660	EUTSA_v10010885mg
OG0000051	AT5G63500	EUTSA_v10005243mg
OG0000052	AT1G52950	EUTSA_v10027192mg
OG0000053	AT5G37780	EUTSA_v10027976mg, EUTSA_v10019293mg
OG0000053	AT4G14640	EUTSA_v10026490mg
OG0000053	AT3G22930	EUTSA_v10021692mg
OG0000053	AT3G56800	EUTSA_v10017373mg
OG0000053	AT3G56800	EUTSA_v10006295mg
OG0000053	AT2G41110, AT2G27030	EUTSA_v10002103mg
OG0000054	AT1G12090	EUTSA_v10009061mg
OG0000054	AT1G62510	EUTSA_v10023747mg
OG0000054	AT4G12520, AT4G12510	EUTSA_v10029060mg
OG0000054	AT2G45180	EUTSA_v10001680mg
OG0000054	AT4G12550, AT4G12545	EUTSA_v10029045mg
OG0000054	AT4G22460	EUTSA_v10026536mg
OG0000057	AT5G57350	EUTSA_v10015530mg
OG0000057	AT1G17260	EUTSA_v10006710mg
OG0000057	AT3G60330	EUTSA_v10005774mg
OG0000057	AT5G62670	EUTSA_v10003603mg
OG0000057	AT1G80660	EUTSA_v10018080mg
OG0000057	AT3G42640	EUTSA_v10002391mg
OG0000057	AT2G07560	EUTSA_v10002390mg
OG0000057	AT4G30190	EUTSA_v10024335mg
OG0000057	AT2G18960	EUTSA_v10022531mg
OG0000060	AT5G22880	EUTSA_v10014958mg
OG0000060	AT5G02570, AT3G09480, AT3G53650	EUTSA_v10017408mg
OG0000060	AT2G37470	EUTSA_v10010811mg
OG0000060	AT5G59910	EUTSA_v10014927mg
OG0000060	AT3G45980, AT3G46030	EUTSA_v10002699mg
OG0000062	AT3G20140	EUTSA_v10022051mg
OG0000062	AT2G27010, AT2G27000	EUTSA_v10001846mg
OG0000064	AT2G20290	EUTSA_v10001881mg
OG0000064	AT4G28710	EUTSA_v10024210mg
OG0000064	AT5G43900	EUTSA_v10003130mg
OG0000064	AT1G04160	EUTSA_v10006554mg
OG0000064	AT2G31900	EUTSA_v10016137mg
OG0000064	AT1G17580	EUTSA_v10006551mg
OG0000064	AT5G20490	EUTSA_v10012431mg
OG0000064	AT3G58160	EUTSA_v10006411mg
OG0000064	AT1G54560	EUTSA_v10023213mg
OG0000064	AT1G08730	EUTSA_v10006560mg
OG0000065	AT1G75780	EUTSA_v10018544mg
OG0000065	AT5G44340	EUTSA_v10003210mg
OG0000065	AT4G20890	EUTSA_v10025207mg
OG0000065	AT5G12250	EUTSA_v10013524mg
OG0000065	AT5G23860	EUTSA_v10004208mg
OG0000065	AT2G29550	EUTSA_v10016651mg
OG0000065	AT5G62690, AT5G62700	EUTSA_v10005520mg, EUTSA_v10010368mg, EUTSA_v10010369mg
OG0000066	AT4G11700	EUTSA_v10028175mg
OG0000066	AT1G24388	EUTSA_v10027826mg
OG0000066	AT1G02770, AT1G19060	EUTSA_v10009833mg
OG0000066	AT1G23950, AT1G23970	EUTSA_v10009725mg, EUTSA_v10009578mg
OG0000066	AT3G25080	EUTSA_v10003412mg
OG0000068	AT2G25700, AT1G20140	EUTSA_v10008964mg
OG0000068	AT1G75950	EUTSA_v10019260mg
OG0000068	AT3G60010	EUTSA_v10011957mg, EUTSA_v10012113mg, EUTSA_v10012186mg, EUTSA_v10012032mg, EUTSA_v10012272mg, EUTSA_v10012026mg, EUTSA_v10012363mg, EUTSA_v10012168mg, EUTSA_v10012355mg
OG0000069	AT3G53730	EUTSA_v10017467mg
OG0000069	AT3G53730	EUTSA_v10017468mg
OG0000069	AT3G53730	EUTSA_v10010851mg
OG0000069	AT3G53730	EUTSA_v10015098mg
OG0000069	AT3G53730	EUTSA_v10016102mg
OG0000069	AT3G53730	EUTSA_v10002736mg
OG0000069	AT3G53730	EUTSA_v10002735mg
OG0000069	AT3G53730	EUTSA_v10009172mg
OG0000069	AT1G07820	EUTSA_v10017467mg
OG0000069	AT1G07820	EUTSA_v10017468mg
OG0000069	AT1G07820	EUTSA_v10010851mg
OG0000069	AT1G07820	EUTSA_v10015098mg
OG0000069	AT1G07820	EUTSA_v10016102mg
OG0000069	AT1G07820	EUTSA_v10002736mg
OG0000069	AT1G07820	EUTSA_v10002735mg
OG0000069	AT1G07820	EUTSA_v10009172mg
OG0000069	AT5G59690	EUTSA_v10017467mg
OG0000069	AT5G59690	EUTSA_v10017468mg
OG0000069	AT5G59690	EUTSA_v10010851mg
OG0000069	AT5G59690	EUTSA_v10015098mg
OG0000069	AT5G59690	EUTSA_v10016102mg
OG0000069	AT5G59690	EUTSA_v10002736mg
OG0000069	AT5G59690	EUTSA_v10002735mg
OG0000069	AT5G59690	EUTSA_v10009172mg
OG0000069	AT3G46320	EUTSA_v10017467mg
OG0000069	AT3G46320	EUTSA_v10017468mg
OG0000069	AT3G46320	EUTSA_v10010851mg
OG0000069	AT3G46320	EUTSA_v10015098mg
OG0000069	AT3G46320	EUTSA_v10016102mg
OG0000069	AT3G46320	EUTSA_v10002736mg
OG0000069	AT3G46320	EUTSA_v10002735mg
OG0000069	AT3G46320	EUTSA_v10009172mg
OG0000069	AT2G28740	EUTSA_v10017467mg
OG0000069	AT2G28740	EUTSA_v10017468mg
OG0000069	AT2G28740	EUTSA_v10010851mg
OG0000069	AT2G28740	EUTSA_v10015098mg
OG0000069	AT2G28740	EUTSA_v10016102mg
OG0000069	AT2G28740	EUTSA_v10002736mg
OG0000069	AT2G28740	EUTSA_v10002735mg
OG0000069	AT2G28740	EUTSA_v10009172mg
OG0000069	AT1G07660	EUTSA_v10017467mg
OG0000069	AT1G07660	EUTSA_v10017468mg
OG0000069	AT1G07660	EUTSA_v10010851mg
OG0000069	AT1G07660	EUTSA_v10015098mg
OG0000069	AT1G07660	EUTSA_v10016102mg
OG0000069	AT1G07660	EUTSA_v10002736mg
OG0000069	AT1G07660	EUTSA_v10002735mg
OG0000069	AT1G07660	EUTSA_v10009172mg
OG0000069	AT3G45930	EUTSA_v10017467mg
OG0000069	AT3G45930	EUTSA_v10017468mg
OG0000069	AT3G45930	EUTSA_v10010851mg
OG0000069	AT3G45930	EUTSA_v10015098mg
OG0000069	AT3G45930	EUTSA_v10016102mg
OG0000069	AT3G45930	EUTSA_v10002736mg
OG0000069	AT3G45930	EUTSA_v10002735mg
OG0000069	AT3G45930	EUTSA_v10009172mg
OG0000069	AT5G59970	EUTSA_v10017467mg
OG0000069	AT5G59970	EUTSA_v10017468mg
OG0000069	AT5G59970	EUTSA_v10010851mg
OG0000069	AT5G59970	EUTSA_v10015098mg
OG0000069	AT5G59970	EUTSA_v10016102mg
OG0000069	AT5G59970	EUTSA_v10002736mg
OG0000069	AT5G59970	EUTSA_v10002735mg
OG0000069	AT5G59970	EUTSA_v10009172mg
OG0000070	AT4G38860	EUTSA_v10026642mg
OG0000070	AT2G21220	EUTSA_v10000385mg
OG0000070	AT2G18010	EUTSA_v10023080mg
OG0000070	AT4G36110	EUTSA_v10026647mg
OG0000070	AT1G75580	EUTSA_v10019345mg
OG0000070	AT1G19830	EUTSA_v10009412mg
OG0000070	AT2G16580	EUTSA_v10023118mg
OG0000070	AT4G34760	EUTSA_v10026631mg
OG0000071	AT2G29930, AT2G29910	EUTSA_v10016490mg
OG0000071	AT4G27050	EUTSA_v10025182mg, EUTSA_v10025404mg
OG0000071	AT1G48400	EUTSA_v10013291mg, EUTSA_v10022030mg
OG0000071	AT1G47920, AT1G48390	EUTSA_v10012238mg
OG0000072	AT4G07445	EUTSA_v10003330mg, EUTSA_v10029337mg
OG0000074	AT5G59190	EUTSA_v10015491mg
OG0000074	AT3G46840, AT3G46850	EUTSA_v10010149mg
OG0000074	AT5G59100	EUTSA_v10015507mg
OG0000074	AT5G59130	EUTSA_v10015748mg
OG0000074	AT5G58830, AT5G58820, AT5G58840	EUTSA_v10015631mg, EUTSA_v10012810mg, EUTSA_v10012872mg, EUTSA_v10015939mg
OG0000074	AT5G59090, AT5G59120	EUTSA_v10012780mg
OG0000077	AT2G33060	EUTSA_v10017694mg, EUTSA_v10016323mg
OG0000077	AT2G33050	EUTSA_v10016266mg, EUTSA_v10016267mg
OG0000077	AT3G25010, AT3G25020, AT3G24982, AT3G24900	EUTSA_v10010006mg
OG0000077	AT2G32680, AT2G33020, AT2G33080	EUTSA_v10022625mg
OG0000078	AT1G20090	EUTSA_v10008827mg
OG0000078	AT1G75840	EUTSA_v10019171mg
OG0000078	AT4G35020	EUTSA_v10026291mg, EUTSA_v10022857mg
OG0000078	AT5G45970	EUTSA_v10001030mg
OG0000078	AT3G51300	EUTSA_v10022861mg
OG0000079	AT2G25540	EUTSA_v10000022mg
OG0000079	AT4G32410	EUTSA_v10024278mg
OG0000079	AT5G05170	EUTSA_v10012528mg
OG0000079	AT5G44030	EUTSA_v10003137mg
OG0000079	AT5G17420	EUTSA_v10012538mg
OG0000079	AT4G39350	EUTSA_v10024277mg
OG0000079	AT5G64740	EUTSA_v100035741mg
OG0000079	AT5G09870	EUTSA_v10012521mg
OG0000080	AT5G54420, AT5G54450	EUTSA_v10015326mg
OG0000080	AT5G54550, AT5G54560	EUTSA_v10015966mg
OG0000083	AT4G25350	EUTSA_v10024522mg
OG0000083	AT1G26730, AT1G35350	EUTSA_v10028451mg, EUTSA_v10006900mg
OG0000083	AT1G14040	EUTSA_v10006818mg
OG0000083	AT2G03250	EUTSA_v10003709mg
OG0000083	AT2G03260	EUTSA_v10003663mg
OG0000083	AT2G03240	EUTSA_v10003656mg
OG0000084	AT4G27960	EUTSA_v10026967mg
OG0000084	AT5G53300	EUTSA_v10014941mg
OG0000084	AT5G41700	EUTSA_v10027977mg
OG0000084	AT1G64230	EUTSA_v10023744mg
OG0000084	AT2G16740	EUTSA_v10022898mg
OG0000084	AT5G56150	EUTSA_v10014935mg
OG0000084	AT3G08690	EUTSA_v10021705mg
OG0000085	AT5G44850	EUTSA_v10001111mg
OG0000085	AT3G53550	EUTSA_v10011126mg
OG0000086	AT4G25590	EUTSA_v10026532mg
OG0000086	AT5G52360	EUTSA_v10014982mg
OG0000086	AT1G01750	EUTSA_v10009057mg
OG0000086	AT4G00680	EUTSA_v10029050mg
OG0000086	AT3G46010	EUTSA_v10002704mg
OG0000086	AT5G59880	EUTSA_v10014975mg
OG0000086	AT3G46000	EUTSA_v10002714mg
OG0000087	AT3G29638	EUTSA_v10016048mg, EUTSA_v10001096mg
OG0000087	AT2G16040	EUTSA_v10009558mg, EUTSA_v10009736mg
OG0000087	AT5G35475, AT3G29794	EUTSA_v10017956mg
OG0000088	AT5G60310	EUTSA_v10012880mg
OG0000088	AT5G60300	EUTSA_v10012788mg
OG0000088	AT5G60270	EUTSA_v10012889mg
OG0000088	AT5G60280	EUTSA_v10012851mg
