Orthogroup	Arabidopsis_thaliana	Tarenaya_hassleriana
OG0000009	AT3G27590	Th2v25091, Th2v17435, Th2v19669, Th2v17957, Th2v30942, Th2v22057, Th2v24266, Th2v28880, Th2v30991
OG0000014	AT3G58270, AT3G58260, AT2G05420, AT2G05400, AT2G05410, AT3G58380, AT3G58370, AT3G58200, AT3G44800, AT3G44805, AT3G44790, AT3G58210, AT3G58410, AT3G58340, AT3G58420, AT3G58240, AT3G58360, AT3G58350, AT3G58400, AT3G58250, AT1G31400, AT1G31390, AT1G31370, AT1G31380, AT3G27040, AT2G01790	Th2v03495
OG0000016	AT4G13790	Th2v02301, Th2v12576
OG0000016	AT4G38825, AT2G21200, AT3G03840, AT3G03820, AT3G03850, AT3G03830, AT3G03847, AT5G18080, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18010	Th2v19148, Th2v19151, Th2v28793
OG0000017	AT1G46840, AT1G46912, AT1G46984, AT3G49440, AT3G49450, AT2G31470, AT3G10990, AT3G23960, AT5G44345, AT5G65850	Th2v01232
OG0000018	AT5G49140, AT5G41540, AT5G41750, AT5G41740, AT5G41550, AT5G35510, AT5G40910, AT1G56540, AT1G56510, AT1G56520, AT5G38850, AT4G14370, AT1G63740, AT1G63730, AT1G63750, AT5G58120, AT1G63880, AT1G63870, AT1G63860, AT2G16870, AT1G64070	Th2v00785, Th2v23478
OG0000019	AT2G28990, AT2G28970	Th2v07540
OG0000019	AT1G49100, AT3G21340, AT2G04300, AT1G51810, AT1G51805, AT1G51830, AT1G51850, AT1G51820	Th2v21173, Th2v23895, Th2v27433, Th2v21892, Th2v23892, Th2v23894, Th2v21895
OG0000019	AT2G14440, AT2G14510, AT1G07550	Th2v15742, Th2v07538, Th2v07539
OG0000019	AT5G16900, AT1G07560	Th2v01098
OG0000023	AT1G14315, AT5G10340, AT4G01640, AT2G34280, AT1G11270, AT1G09650, AT1G12490, AT5G16285	Th2v00745
OG0000024	AT1G59780, AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848, AT1G58390, AT1G58400, AT1G58410, AT1G59620, AT1G10920, AT1G53350, AT5G35450, AT5G48620, AT5G43470	Th2v12915, Th2v22610, Th2v12940, Th2v22637, Th2v12916, Th2v22611, Th2v23248, Th2v22826, Th2v12914, Th2v22609
OG0000025	AT5G42567, AT5G34882, AT5G34905, AT5G34881, AT5G34887, AT5G34885, AT5G34883, AT5G34908, AT5G42955, AT5G42957, AT3G30383, AT3G30387, AT3G30385, AT1G45223, AT1G45221, AT1G45215, AT1G57760, AT1G57775, AT1G57777, AT3G44115, AT4G08025, AT4G07515	Th2v06587, Th2v15286, Th2v06585, Th2v15284, Th2v06586, Th2v15285, Th2v07577, Th2v15711, Th2v05214, Th2v05190, Th2v05184, Th2v05185, Th2v05186, Th2v05174, Th2v05215, Th2v05217, Th2v05216, Th2v05213, Th2v05175, Th2v05189, Th2v10795, Th2v05176, Th2v05188, Th2v19139, Th2v24293
OG0000029	AT3G43415, AT5G03100, AT3G28410, AT5G02700, AT1G57690, AT2G39415, AT1G49610, AT3G03360, AT5G02930, AT5G02920, AT5G02910	Th2v20665
OG0000030	AT1G63070, AT1G63080, AT1G62930, AT1G63130, AT1G63320, AT1G62670, AT1G63150, AT1G62910, AT1G63330, AT1G62590, AT1G63400, AT1G62914	Th2v17285, Th2v20358, Th2v20357, Th2v17290, Th2v17287, Th2v17243, Th2v17245, Th2v01243, Th2v17307, Th2v01666, Th2v30470, Th2v30468, Th2v01665, Th2v30471, Th2v01795, Th2v16920, Th2v17271, Th2v29086
OG0000032	AT5G38260, AT5G38250, AT5G38240, AT1G66930, AT1G67000, AT1G36005, AT1G66920, AT1G66910	Th2v06297, Th2v05322
OG0000033	AT5G63020	Th2v10196
OG0000037	AT3G53750, AT2G37620	Th2v03678, Th2v16949
OG0000037	AT3G18780, AT1G49240	Th2v31526
OG0000037	AT2G42170, AT2G42090, AT2G42100	Th2v06838, Th2v15536
OG0000037	AT3G46520, AT5G59370	Th2v21285
OG0000037	AT5G09810	Th2v04632, Th2v24213, Th2v13675
OG0000039	AT4G23200, AT4G23300, AT4G23210, AT4G23190	Th2v04532, Th2v16789, Th2v16796, Th2v16782, Th2v16787, Th2v16794
OG0000039	AT4G23220, AT4G11530	Th2v16783, Th2v16784, Th2v16785, Th2v16793
OG0000039	AT4G11480, AT4G11470	Th2v04533, Th2v16790, Th2v16791
OG0000040	AT3G12203, AT3G12230, AT3G12240, AT3G12220, AT2G22960, AT2G22980, AT2G22920, AT2G22970, AT2G23000, AT2G22990, AT2G23010, AT3G10450, AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270	Th2v28851, Th2v28853, Th2v28647
OG0000043	AT3G47110	Th2v18719, Th2v21320
OG0000043	AT5G20480, AT3G47570, AT3G47580, AT3G47090	Th2v18720, Th2v06689, Th2v31259, Th2v29328, Th2v20344, Th2v20345, Th2v20347, Th2v20348
OG0000045	AT4G23270, AT4G23280, AT4G23310, AT3G45860, AT4G23130	Th2v04530, Th2v16767, Th2v16779
OG0000045	AT4G23180, AT4G23140, AT4G23150, AT4G23230	Th2v04531
OG0000046	AT4G36150	Th2v04252
OG0000046	AT5G45200, AT2G17060, AT5G45230	Th2v04273
OG0000050	AT5G10980	Th2v02356
OG0000050	AT5G10980	Th2v02588
OG0000050	AT5G10980	Th2v04070
OG0000050	AT5G10980	Th2v04071
OG0000050	AT5G10980	Th2v05831
OG0000050	AT5G10980	Th2v20926
OG0000050	AT5G10980	Th2v28063
OG0000050	AT4G40040	Th2v02356
OG0000050	AT4G40040	Th2v02588
OG0000050	AT4G40040	Th2v04070
OG0000050	AT4G40040	Th2v04071
OG0000050	AT4G40040	Th2v05831
OG0000050	AT4G40040	Th2v20926
OG0000050	AT4G40040	Th2v28063
OG0000050	AT1G09200	Th2v06180
OG0000050	AT1G09200	Th2v13609
OG0000050	AT1G09200	Th2v14884
OG0000050	AT1G09200	Th2v19162
OG0000050	AT1G09200	Th2v24391
OG0000050	AT5G65360	Th2v06180
OG0000050	AT5G65360	Th2v13609
OG0000050	AT5G65360	Th2v14884
OG0000050	AT5G65360	Th2v19162
OG0000050	AT5G65360	Th2v24391
OG0000050	AT5G10390	Th2v06180
OG0000050	AT5G10390	Th2v13609
OG0000050	AT5G10390	Th2v14884
OG0000050	AT5G10390	Th2v19162
OG0000050	AT5G10390	Th2v24391
OG0000050	AT5G10400	Th2v06180
OG0000050	AT5G10400	Th2v13609
OG0000050	AT5G10400	Th2v14884
OG0000050	AT5G10400	Th2v19162
OG0000050	AT5G10400	Th2v24391
OG0000050	AT3G27360	Th2v06180
OG0000050	AT3G27360	Th2v13609
OG0000050	AT3G27360	Th2v14884
OG0000050	AT3G27360	Th2v19162
OG0000050	AT3G27360	Th2v24391
OG0000050	AT1G13370, AT1G75600	Th2v29341
OG0000051	AT5G08391	Th2v29800, Th2v30556
OG0000051	AT5G14110	Th2v24733
OG0000051	AT3G27027, AT5G40980, AT3G01940	Th2v28486
OG0000051	AT5G50660, AT5G50560	Th2v29741
OG0000051	AT5G63500	Th2v14074
OG0000053	AT5G37780, AT2G41090, AT1G66410	Th2v00534, Th2v05294, Th2v17972
OG0000053	AT4G14640, AT3G22930	Th2v15574
OG0000054	AT1G12090, AT1G62510	Th2v06009, Th2v14718
OG0000054	AT4G12520, AT4G12510	Th2v04460
OG0000054	AT2G45180	Th2v12814, Th2v22503
OG0000054	AT4G22460	Th2v04452, Th2v16720, Th2v04453
OG0000057	AT5G57350	Th2v05564, Th2v21740, Th2v05785
OG0000057	AT1G17260	Th2v23285
OG0000057	AT3G60330	Th2v31231
OG0000057	AT5G62670, AT3G47950	Th2v14006
OG0000057	AT2G24520	Th2v01825, Th2v02081
OG0000057	AT1G80660	Th2v10190
OG0000057	AT3G42640	Th2v18022, Th2v19007
OG0000057	AT2G07560	Th2v19705
OG0000057	AT4G30190, AT2G18960	Th2v01717, Th2v02145, Th2v12432
OG0000060	AT2G28720	Th2v08301, Th2v21273
OG0000064	AT2G20290, AT4G28710	Th2v01593, Th2v02228
OG0000064	AT5G43900, AT1G04160	Th2v16137
OG0000064	AT1G17580	Th2v09991
OG0000064	AT5G20490	Th2v18997
OG0000064	AT3G58160	Th2v06859
OG0000064	AT1G54560, AT1G08730	Th2v06200, Th2v14903, Th2v23236
OG0000065	AT1G75780	Th2v05817, Th2v20913, Th2v28085
OG0000065	AT1G20010	Th2v04082
OG0000065	AT5G44340, AT4G20890	Th2v04327
OG0000065	AT5G12250	Th2v15561, Th2v19216
OG0000065	AT2G29550	Th2v01110, Th2v07494, Th2v15777, Th2v08264
OG0000065	AT5G62690, AT5G62700	Th2v17813, Th2v21305, Th2v18739
OG0000068	AT5G42190	Th2v11055, Th2v30364
OG0000068	AT2G25700, AT1G20140, AT1G75950, AT2G03170, AT3G60010, AT3G53060, AT3G60020, AT3G21860, AT3G21830, AT3G21840, AT3G21850, AT4G34470, AT4G34210	Th2v28107
OG0000069	AT3G53730	Th2v01072
OG0000069	AT3G53730	Th2v01108
OG0000069	AT3G53730	Th2v07501
OG0000069	AT3G53730	Th2v07560
OG0000069	AT3G53730	Th2v08295
OG0000069	AT3G53730	Th2v08302
OG0000069	AT3G53730	Th2v17850
OG0000069	AT3G53730	Th2v17851
OG0000069	AT3G53730	Th2v15724
OG0000069	AT3G53730	Th2v15770
OG0000069	AT3G53730	Th2v21284
OG0000069	AT1G07820	Th2v01072
OG0000069	AT1G07820	Th2v01108
OG0000069	AT1G07820	Th2v07501
OG0000069	AT1G07820	Th2v07560
OG0000069	AT1G07820	Th2v08295
OG0000069	AT1G07820	Th2v08302
OG0000069	AT1G07820	Th2v17850
OG0000069	AT1G07820	Th2v17851
OG0000069	AT1G07820	Th2v15724
OG0000069	AT1G07820	Th2v15770
OG0000069	AT1G07820	Th2v21284
OG0000069	AT5G59690	Th2v01072
OG0000069	AT5G59690	Th2v01108
OG0000069	AT5G59690	Th2v07501
OG0000069	AT5G59690	Th2v07560
OG0000069	AT5G59690	Th2v08295
OG0000069	AT5G59690	Th2v08302
OG0000069	AT5G59690	Th2v17850
OG0000069	AT5G59690	Th2v17851
OG0000069	AT5G59690	Th2v15724
OG0000069	AT5G59690	Th2v15770
OG0000069	AT5G59690	Th2v21284
OG0000069	AT3G46320	Th2v01072
OG0000069	AT3G46320	Th2v01108
OG0000069	AT3G46320	Th2v07501
OG0000069	AT3G46320	Th2v07560
OG0000069	AT3G46320	Th2v08295
OG0000069	AT3G46320	Th2v08302
OG0000069	AT3G46320	Th2v17850
OG0000069	AT3G46320	Th2v17851
OG0000069	AT3G46320	Th2v15724
OG0000069	AT3G46320	Th2v15770
OG0000069	AT3G46320	Th2v21284
OG0000069	AT2G28740	Th2v01072
OG0000069	AT2G28740	Th2v01108
OG0000069	AT2G28740	Th2v07501
OG0000069	AT2G28740	Th2v07560
OG0000069	AT2G28740	Th2v08295
OG0000069	AT2G28740	Th2v08302
OG0000069	AT2G28740	Th2v17850
OG0000069	AT2G28740	Th2v17851
OG0000069	AT2G28740	Th2v15724
OG0000069	AT2G28740	Th2v15770
OG0000069	AT2G28740	Th2v21284
OG0000069	AT1G07660	Th2v01072
OG0000069	AT1G07660	Th2v01108
OG0000069	AT1G07660	Th2v07501
OG0000069	AT1G07660	Th2v07560
OG0000069	AT1G07660	Th2v08295
OG0000069	AT1G07660	Th2v08302
OG0000069	AT1G07660	Th2v17850
OG0000069	AT1G07660	Th2v17851
OG0000069	AT1G07660	Th2v15724
OG0000069	AT1G07660	Th2v15770
OG0000069	AT1G07660	Th2v21284
OG0000069	AT3G45930	Th2v01072
OG0000069	AT3G45930	Th2v01108
OG0000069	AT3G45930	Th2v07501
OG0000069	AT3G45930	Th2v07560
OG0000069	AT3G45930	Th2v08295
OG0000069	AT3G45930	Th2v08302
OG0000069	AT3G45930	Th2v17850
OG0000069	AT3G45930	Th2v17851
OG0000069	AT3G45930	Th2v15724
OG0000069	AT3G45930	Th2v15770
OG0000069	AT3G45930	Th2v21284
OG0000069	AT5G59970	Th2v01072
OG0000069	AT5G59970	Th2v01108
OG0000069	AT5G59970	Th2v07501
OG0000069	AT5G59970	Th2v07560
OG0000069	AT5G59970	Th2v08295
OG0000069	AT5G59970	Th2v08302
OG0000069	AT5G59970	Th2v17850
OG0000069	AT5G59970	Th2v17851
OG0000069	AT5G59970	Th2v15724
OG0000069	AT5G59970	Th2v15770
OG0000069	AT5G59970	Th2v21284
OG0000070	AT4G38860	Th2v03273
OG0000070	AT2G21220, AT2G18010, AT4G36110, AT1G75580, AT1G19830, AT2G16580, AT4G34760	Th2v02802, Th2v12095
OG0000072	AT4G07445, AT2G07505, AT2G06265	Th2v23932, Th2v26503, Th2v29778, Th2v12157, Th2v23678, Th2v29868
OG0000072	AT3G30165	Th2v10014
OG0000073	AT1G43760, AT1G40390	Th2v26017, Th2v23472, Th2v01337, Th2v29928, Th2v29834, Th2v31326, Th2v30708, Th2v30285, Th2v30498, Th2v11085, Th2v03443, Th2v30202, Th2v19101, Th2v28340
OG0000074	AT5G59190	Th2v18648, Th2v18649, Th2v19318, Th2v19319
OG0000074	AT3G46840, AT3G46850, AT5G59100, AT5G59130, AT5G58830, AT5G58820, AT5G58840, AT5G59090, AT5G59120, AT5G59110	Th2v17820, Th2v17822
OG0000078	AT1G20090, AT1G75840	Th2v04085
OG0000078	AT4G35020	Th2v12107
OG0000078	AT5G45970	Th2v07388, Th2v10688, Th2v16538
OG0000078	AT3G51300	Th2v11648, Th2v13434
OG0000079	AT2G25540, AT4G32410	Th2v01887, Th2v02043
OG0000079	AT5G05170	Th2v23568, Th2v08612, Th2v11547
OG0000079	AT5G44030	Th2v08012
OG0000079	AT5G17420	Th2v21769
OG0000079	AT2G21770, AT4G39350	Th2v02334
OG0000079	AT5G64740, AT5G09870	Th2v13666, Th2v11795, Th2v24218
OG0000083	AT4G25350, AT1G26730, AT1G35350	Th2v30473
OG0000083	AT1G14040, AT2G03250, AT2G03260, AT2G03240	Th2v00125
OG0000084	AT4G27960, AT5G53300	Th2v26933
OG0000084	AT5G41700	Th2v16391, Th2v06067, Th2v14775, Th2v04829, Th2v20464, Th2v10451, Th2v15846
OG0000084	AT2G16740	Th2v08986, Th2v12108
OG0000086	AT5G52360	Th2v28940, Th2v09763, Th2v26908
OG0000086	AT1G01750, AT4G00680	Th2v24520
OG0000086	AT3G46010, AT5G59890, AT5G59880	Th2v18813
OG0000086	AT3G45990, AT3G46000	Th2v09212, Th2v14285, Th2v22109
OG0000087	AT4G10200, AT3G29638, AT2G16040, AT1G35150, AT2G06500, AT5G35475, AT3G29794, AT2G19960	Th2v02360, Th2v05287
OG0000088	AT3G45430, AT5G60310, AT5G60300	Th2v17880
OG0000088	AT5G60270	Th2v21255
OG0000088	AT3G45410, AT3G45420, AT3G45390, AT3G45330, AT5G60320	Th2v21257
OG0000089	AT2G06420	Th2v12193, Th2v27346, Th2v23807, Th2v27356, Th2v29410, Th2v29393, Th2v31221, Th2v03296
OG0000095	AT4G23670, AT4G23680, AT3G26460, AT3G26450, AT1G30990, AT1G14960, AT1G14950, AT1G14930, AT1G14940, AT2G01530, AT4G14060, AT2G01520	Th2v05429, Th2v06545, Th2v15244
OG0000096	AT1G58190, AT3G53240, AT1G74200, AT1G74170, AT1G74190, AT2G25470, AT1G54470, AT5G49290, AT1G74180	Th2v03606, Th2v25101
OG0000098	AT1G66950, AT2G36380	Th2v14665, Th2v29108, Th2v30314
OG0000098	AT2G26910	Th2v19789
OG0000098	AT3G30842	Th2v19035
OG0000098	AT1G15520	Th2v23425, Th2v10229
OG0000098	AT1G15210, AT1G59870	Th2v07760
OG0000098	AT3G16340	Th2v00841, Th2v21911
OG0000099	AT1G02440, AT1G02430	Th2v16330
OG0000099	AT5G14670	Th2v06999, Th2v18163, Th2v06375, Th2v15075, Th2v23159, Th2v24711, Th2v25689
OG0000103	AT4G21650, AT4G21640, AT4G21630	Th2v04362, Th2v16673
OG0000103	AT4G10540, AT4G10510, AT4G10550, AT1G32950, AT1G32960, AT1G32940	Th2v04621
OG0000103	AT1G32970	Th2v04622, Th2v16850, Th2v16851, Th2v04623
OG0000104	AT2G41930, AT2G42550, AT5G12090, AT5G27510	Th2v13213, Th2v13214, Th2v28378, Th2v13260, Th2v25895, Th2v20552, Th2v20620
OG0000106	AT1G65200, AT1G65110, AT1G65120, AT1G65130, AT1G52450, AT1G52430, AT5G61950, AT5G61940, AT5G51530, AT2G27630, AT2G27650	Th2v05230, Th2v05235
OG0000108	AT3G54700, AT2G38940	Th2v29171, Th2v03551, Th2v14691
OG0000108	AT5G43360, AT5G43350, AT5G43370	Th2v08041, Th2v08044, Th2v08042, Th2v08043
OG0000109	AT1G50750, AT1G50745, AT1G50770, AT1G50820, AT1G50790, AT1G48145, AT4G16050, AT1G51538, AT5G18510, AT1G50830	Th2v21820
OG0000110	AT4G16730, AT4G16740	Th2v05855, Th2v20955, Th2v21803, Th2v20744, Th2v21802
OG0000110	AT2G24210, AT3G25820, AT3G25830, AT3G25810	Th2v20363, Th2v05137, Th2v05138, Th2v00751, Th2v00752, Th2v11008
OG0000114	AT5G18600	Th2v26245
OG0000114	AT4G15670, AT4G15660, AT4G15690, AT4G15700, AT4G15680	Th2v18224
OG0000115	AT5G17740, AT5G17750, AT5G17730, AT5G17760	Th2v22897
OG0000115	AT2G18193, AT2G18190	Th2v12233
OG0000115	AT3G50940, AT3G50930	Th2v12552, Th2v13448
OG0000116	AT5G36680, AT5G36770, AT5G25410, AT5G60380, AT5G25415, AT5G05030, AT5G11660, AT5G04933, AT5G04937	Th2v21431, Th2v21430
OG0000117	AT2G43510, AT2G43530, AT2G43535, AT1G47540, AT2G43520	Th2v03343, Th2v31327, Th2v13350, Th2v25972, Th2v13354, Th2v13352, Th2v13353, Th2v13355, Th2v13351, Th2v25973
OG0000120	AT1G01380	Th2v07836, Th2v24542
OG0000120	AT5G53200, AT2G30432, AT2G30424, AT2G30420	Th2v28972, Th2v09721, Th2v26938
OG0000123	AT3G60640, AT2G45170	Th2v07064, Th2v18110
OG0000123	AT2G05630	Th2v08541, Th2v19652
OG0000126	AT4G04110, AT1G57630, AT5G38344	Th2v31160
OG0000128	AT4G29970, AT3G10790, AT2G13630, AT3G04660	Th2v00760, Th2v05131, Th2v05132
OG0000130	ATMG00850	Th2v30545, Th2v31049, Th2v30500, Th2v31400, Th2v30878, Th2v30652
OG0000130	ATMG00860	Th2v30537, Th2v30941, Th2v30241, Th2v02964
OG0000132	AT2G18328, AT4G36570	Th2v03024, Th2v21531
OG0000132	AT1G19510	Th2v05854
OG0000132	AT1G75250	Th2v14619
OG0000132	AT4G39250, AT2G21650	Th2v12544
OG0000133	AT1G70890, AT5G28000, AT5G28010, AT1G70840, AT1G70880	Th2v04051, Th2v25728, Th2v25729
OG0000137	AT1G29450, AT1G29500, AT1G29510, AT1G29440, AT1G29430, AT5G27780, AT1G29420, AT1G29460, AT1G29490	Th2v26551
OG0000138	AT1G78400, AT2G33160, AT1G17150, AT1G43080, AT1G43090, AT1G43100, AT2G40310, AT4G13760, AT2G26620, AT2G15470, AT2G15460, AT2G15450	Th2v05972, Th2v21097
OG0000143	AT3G18650, AT4G02235, AT5G65330, AT4G11250, AT5G40070, AT5G40120, AT5G41200, AT5G40220, AT5G38740, AT5G37415, AT5G39810, AT5G39750	Th2v17659
OG0000144	AT2G45550, AT2G45570, AT2G45560, AT1G33730, AT1G33720, AT3G61040, AT2G45580	Th2v12845, Th2v22535, Th2v07141, Th2v00713, Th2v07139, Th2v22537, Th2v07142, Th2v12846, Th2v22536
OG0000146	AT4G35200, AT4G35210, AT2G17070, AT2G17080	Th2v12130, Th2v12137
OG0000149	AT1G56145	Th2v13403
OG0000149	AT1G56140, AT1G56130, AT1G56120	Th2v13402
OG0000150	AT3G24465, AT5G36720, AT5G36805, AT5G38378, AT5G34828, AT1G58242, AT1G54775, AT1G58245, AT1G58248, AT1G35035, AT1G34840, AT1G34850, AT1G34795, AT1G34830, AT1G34810, AT1G34815, AT1G34792, AT1G34825, AT1G34805, AT1G34820, AT1G34800, AT1G34930, AT1G34860, AT1G21835, AT1G21928, AT1G21925, AT1G21864, AT1G21866	Th2v06605, Th2v15305, Th2v27999, Th2v28000
OG0000153	AT1G35850, AT5G59280, AT1G21620, AT5G60110, AT5G60180	Th2v24202, Th2v24201, Th2v24203, Th2v24200, Th2v24204
OG0000154	AT5G24550, AT5G24540, AT3G60140, AT2G44470, AT2G44460	Th2v31191, Th2v07114, Th2v18064
OG0000155	AT2G26720, AT2G31050	Th2v00749, Th2v15888
OG0000156	AT5G57260, AT2G02580, AT3G26330, AT3G26320, AT3G26300, AT3G26310, AT3G26290	Th2v28524, Th2v28527
OG0000159	AT1G13420, AT1G13430, AT2G14920, AT4G26280, AT2G27570, AT3G45080, AT3G45070, AT5G43690	Th2v22006, Th2v28730, Th2v06471, Th2v15168, Th2v28732
OG0000160	AT3G60700, AT1G70120, AT3G54410, AT1G70040, AT1G70020, AT5G39330	Th2v24972
OG0000161	AT4G10305	Th2v19852
OG0000162	AT1G09665, AT1G57830, AT1G60320, AT2G03030, AT2G03300, AT1G47370, AT1G57850	Th2v06156, Th2v14863
OG0000163	AT2G05540, AT2G05380, AT2G05520, AT2G05440, AT2G05510, AT2G05530	Th2v08546, Th2v08545, Th2v25209, Th2v25210
OG0000164	AT4G21860, AT4G04840, AT4G21830, AT4G21840, AT4G21850, AT4G04800, AT4G04830, AT4G04810	Th2v04403
OG0000166	AT3G05650, AT3G05660, AT2G15080, AT2G15042, AT3G28890, AT3G11010, AT5G27060, AT3G11080	Th2v11191, Th2v11196
OG0000167	AT3G12580, AT1G16030	Th2v10163
OG0000167	AT3G09440, AT5G02490, AT5G02500, AT1G56410	Th2v14287, Th2v22112, Th2v09213, Th2v17748, Th2v12608, Th2v08924, Th2v14466
OG0000170	AT2G29735, AT4G09462, AT4G09465, AT4G09464, AT4G09467, AT4G09466, AT4G09090, AT4G16165, AT1G66870, AT1G66852, AT1G66855, AT5G63225, AT5G53600, AT5G53610, AT5G63230	Th2v07254
OG0000171	AT4G03505, AT4G03470, AT4G05040, AT4G14400, AT4G14390, AT4G03480, AT4G03440, AT4G03450, AT1G03670, AT4G03460, AT4G03500	Th2v16193
OG0000173	AT1G60880, AT1G60920, AT5G04640, AT4G14530, AT1G46408	Th2v11970, Th2v11980, Th2v23790, Th2v23791, Th2v27370, Th2v27371, Th2v23793, Th2v27369, Th2v11934, Th2v12111
OG0000174	AT1G66850, AT5G38160, AT5G38170, AT5G38197, AT5G38195, AT5G38180, AT3G57310	Th2v00511
OG0000178	AT1G05920, AT1G32030, AT5G24050, AT3G24850, AT1G05930	Th2v08177, Th2v08160, Th2v08159
OG0000180	AT1G75630	Th2v17257
OG0000180	AT1G19910	Th2v04154, Th2v30638
OG0000180	AT4G34720, AT4G38920, AT2G16510	Th2v02305, Th2v02524, Th2v12572
OG0000182	AT4G15970, AT4G19975, AT5G44820	Th2v16609
OG0000182	AT1G14590	Th2v00065
OG0000183	AT3G47790	Th2v13988
OG0000183	AT5G61700, AT5G61740, AT3G47780, AT3G47750, AT3G47760, AT3G47770, AT3G47740	Th2v13987
OG0000186	AT1G31550, AT1G28600, AT1G28610, AT2G27360, AT1G28590, AT1G28580, AT1G28570	Th2v01307, Th2v01308
OG0000190	AT1G12660, AT1G12665, AT1G12663, AT1G12672	Th2v06034, Th2v14743, Th2v06035, Th2v14744, Th2v20539, Th2v20540
OG0000191	AT5G56600	Th2v02188, Th2v01645, Th2v12490
OG0000191	AT2G19770, AT4G29340	Th2v02189
OG0000191	AT2G19760, AT4G29350	Th2v01644, Th2v09531
OG0000192	AT5G46540, AT4G18050	Th2v27159
OG0000192	AT1G02520, AT1G02530, AT4G01820, AT4G01830	Th2v16340
OG0000192	AT3G62150, AT2G47000	Th2v07247, Th2v12980, Th2v22680
OG0000193	AT1G48470, AT3G17820	Th2v25548, Th2v26332, Th2v27637
OG0000193	AT1G66200, AT5G37600	Th2v00554, Th2v06285, Th2v14986
OG0000193	AT5G16570	Th2v18588
OG0000194	AT2G05330, AT5G48510, AT2G40450, AT4G04090	Th2v06734
OG0000197	AT3G48675, AT2G14378, AT4G35165, AT5G52975, AT5G52965, AT2G27315	Th2v02682, Th2v02690, Th2v02687, Th2v02681, Th2v02692, Th2v29030, Th2v02691, Th2v02689, Th2v19142, Th2v20319, Th2v19150, Th2v19149, Th2v30073, Th2v19768, Th2v19769
OG0000199	AT5G59840, AT3G46060	Th2v18809, Th2v17860, Th2v21277
OG0000199	AT5G03520, AT3G09900, AT3G53610	Th2v14614
OG0000201	AT4G31660	Th2v12403, Th2v01847
OG0000203	AT5G03390, AT1G68960	Th2v16898, Th2v29156, Th2v29144, Th2v29157
OG0000205	AT1G14080, AT2G15390, AT2G15360, AT2G15370, AT2G15350, AT1G14110, AT1G14100	Th2v28694
OG0000211	AT1G21270, AT1G21240, AT1G21230, AT1G21250, AT1G21210	Th2v09832
OG0000212	AT2G07760, AT5G28823	Th2v30640, Th2v30741, Th2v25118, Th2v28038, Th2v28922, Th2v30164, Th2v29859, Th2v30142
OG0000214	AT4G04510, AT4G04570, AT4G04540	Th2v04419, Th2v10796
OG0000216	AT3G14150, AT3G14130	Th2v23694, Th2v26123
