Orthogroup	Arabidopsis_thaliana	Thellungiella_parvula
OG0000014	AT3G58250	Sp5g04500.1
OG0000015	AT4G09490	SpUn0004_0050.1
OG0000015	AT3G26855	SpUn0002_0230.1
OG0000015	AT1G10000	Sp7g02710.1, Sp1g01750.1, Sp7g01630.1, Sp4g05790.1, Sp6g18960.1, Sp3g26350.1
OG0000016	AT4G13790	Sp7g11580.1
OG0000016	AT4G38850	Sp7g36980.1
OG0000016	AT4G38825, AT2G21200	Sp4g00370.1, Sp4g00380.1
OG0000016	AT3G03820	Sp3g02800.1
OG0000016	AT5G18080, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18010	Sp6g26280.1, Sp6g26260.1
OG0000017	AT1G46984	Sp1g33140.1, Sp1g34250.1, Sp1g27840.1
OG0000017	AT3G49450	Sp5g12630.1
OG0000018	AT5G41540	Sp7g00500.1
OG0000018	AT5G35510	Sp7g00490.1
OG0000018	AT1G63740, AT1G63730	Sp2g00920.1
OG0000018	AT1G63870	Sp2g00800.1
OG0000018	AT1G63860	Sp2g00810.1
OG0000019	AT2G28990	Sp4g11780.1
OG0000019	AT1G49100	Sp4g10470.1
OG0000019	AT3G21340, AT2G04300	Sp3g19400.1
OG0000019	AT1G51805	Sp1g38470.1
OG0000019	AT1G51830, AT1G51850, AT1G51820	Sp1g38480.1
OG0000019	AT5G59670, AT5G59660	Sp6g21340.1
OG0000019	AT5G59650	Sp6g21330.1
OG0000019	AT3G46340	Sp5g15300.1
OG0000019	AT2G28960	Sp4g11770.1
OG0000019	AT2G29000	Sp4g11810.1
OG0000019	AT2G14440, AT2G14510, AT1G07550	Sp1g34570.1
OG0000024	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848, AT1G58390, AT1G58400, AT1G58410	Sp2g05350.1
OG0000024	AT1G59620	Sp2g04940.1, Sp2g04960.1
OG0000025	AT5G42567, AT5G34882, AT5G34905, AT5G34881, AT5G34887, AT5G34885, AT5G34883, AT5G34908, AT5G42955, AT5G42957, AT3G30383, AT3G30387, AT3G30385, AT1G45223, AT1G45221, AT1G45215, AT1G57760, AT1G57775, AT1G57777, AT3G44115, AT4G08025, AT4G07515	Sp4g07220.1
OG0000026	AT3G30739	SpUn1377_0010.1
OG0000029	AT5G02930, AT5G02920	Sp2g05870.1, SpUn0028_0070.1
OG0000029	AT5G02910	Sp6g39690.1
OG0000031	AT4G10400, AT4G09920, AT4G10410, AT4G10420	Sp7g03460.1
OG0000031	AT5G38570, AT5G38565, AT5G38580, AT5G38590	SpUn0035_0040.1, Sp1g38380.1, Sp7g03360.1, Sp7g03470.1
OG0000031	AT3G54910	Sp6g18230.1, Sp5g07520.1
OG0000032	AT5G38260	Sp7g03870.1
OG0000032	AT1G66910	Sp5g21900.1
OG0000033	AT1G62630, AT1G63360, AT1G63350	Sp2g03980.1
OG0000033	AT1G12290	Sp1g10900.1
OG0000034	ATMG00300	Sp7g04575.1
OG0000037	AT3G53750, AT2G37620	Sp5g08630.1, Sp4g19980.1
OG0000037	AT3G18780, AT1G49240	Sp3g16870.1
OG0000037	AT2G42170, AT2G42090, AT2G42100	Sp4g24310.1
OG0000037	AT3G12110	Sp3g10340.1
OG0000037	AT5G59370	Sp5g15160.1, Sp6g21050.1
OG0000037	AT5G09810	Sp1g28660.1, Sp6g33600.1
OG0000038	AT3G49020, AT3G49040, AT2G04230, AT3G49030	Sp4g09920.1
OG0000039	AT4G23190	Sp7g21010.1
OG0000039	AT4G11530	Sp6g05930.1
OG0000039	AT4G11480, AT4G11470	Sp6g05970.1
OG0000040	AT3G12230, AT3G12240	Sp1g26630.1
OG0000040	AT2G22980	Sp7g01830.1, Sp4g02040.1
OG0000040	AT2G23000	Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1
OG0000040	AT3G10450	Sp3g08720.1
OG0000040	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270	SpUn0245_0010.1
OG0000042	AT3G58820	Sp5g03990.1
OG0000042	AT3G58860	Sp5g03860.1
OG0000043	AT3G47110	Sp5g14630.1
OG0000043	AT5G20480	Sp6g23980.1
OG0000043	AT3G47570	Sp1g34070.1
OG0000044	AT3G46950	Sp5g14790.1
OG0000044	AT1G61990	Sp2g02570.1
OG0000044	AT1G62150, AT1G62010, AT1G62120	Sp2g02100.1, Sp2g02560.1, Sp2g02600.1
OG0000045	AT4G23180	Sp7g21200.1
OG0000045	AT4G23230	Sp1g30740.1, Sp1g30850.1
OG0000046	AT5G44870	Sp2g09710.1
OG0000046	AT5G45230	Sp2g10100.1
OG0000049	AT1G41920, AT2G06541, AT3G29450	Sp1g30605.1
OG0000050	AT5G10980, AT4G40040	Sp7g35840.1, Sp7g35830.1
OG0000050	AT4G40030	Sp6g32510.1, Sp5g30720.1, Sp3g29820.1
OG0000050	AT5G12910	Sp6g31050.1
OG0000051	AT5G08391	Sp6g34560.1
OG0000051	AT3G27030	Sp2g16170.1, Sp7g00950.1
OG0000051	AT5G40980	Sp7g00940.1
OG0000051	AT3G01940	Sp3g00160.1
OG0000051	AT5G50660, AT5G50560	Sp6g12730.1
OG0000051	AT3G48660	Sp5g13350.1
OG0000051	AT5G63500	Sp2g26580.1
OG0000053	AT5G37780	Sp7g04290.1
OG0000053	AT4G14640	Sp7g12750.1
OG0000053	AT3G22930	Sp3g20610.1
OG0000053	AT2G41110, AT2G27030	Sp5g05790.1, Sp4g23420.1
OG0000054	AT1G12090	Sp1g10770.1
OG0000054	AT1G62510	Sp2g02080.1
OG0000054	AT4G12520, AT4G12510	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1
OG0000054	AT2G45180	Sp4g27230.1, SpUn0031_0090.1
OG0000054	AT4G12550, AT4G12545	Sp6g04960.1
OG0000054	AT4G22460	Sp7g20540.1
OG0000057	AT5G57350	Sp6g19080.1
OG0000057	AT1G17260	Sp1g15390.1
OG0000057	AT3G60330	Sp5g02900.1
OG0000057	AT5G62670	Sp2g25850.1
OG0000057	AT2G24520	Sp4g03520.1
OG0000057	AT1G80660	Sp5g35100.1
OG0000057	AT3G42640	Sp5g18280.1
OG0000057	AT2G07560	Sp3g25350.1
OG0000057	AT4G30190	Sp7g28060.1
OG0000057	AT2G18960	Sp3g32410.1
OG0000060	AT5G22880	Sp6g22520.1
OG0000060	AT5G02570, AT3G09480	Sp3g07850.1
OG0000060	AT2G37470	Sp5g08710.1
OG0000060	AT5G59910	Sp6g21620.1
OG0000062	AT3G20140	Sp3g18120.1
OG0000062	AT2G14100, AT3G32047	Sp7g09440.1, Sp3g18110.1
OG0000062	AT3G20100	Sp3g18105.1
OG0000064	AT2G20290	Sp3g33520.1
OG0000064	AT4G28710	Sp7g26710.1
OG0000064	AT5G43900	Sp2g08710.1
OG0000064	AT1G04160	Sp1g02980.1
OG0000064	AT2G31900	Sp4g14250.1
OG0000064	AT1G17580	Sp1g15710.1
OG0000064	AT5G20490	Sp6g23970.1
OG0000064	AT3G58160	Sp5g04560.1
OG0000064	AT1G54560	SpUn0001_0160.1
OG0000064	AT1G08730	Sp1g07380.1
OG0000065	AT1G75780	Sp5g30900.1
OG0000065	AT5G44340	Sp2g09180.1
OG0000065	AT4G20890	Sp7g18980.1
OG0000065	AT5G12250	Sp6g31390.1
OG0000065	AT5G23860	Sp2g23430.1
OG0000065	AT2G29550	Sp4g12280.1
OG0000065	AT5G62690, AT5G62700	Sp2g25870.1, Sp5g14830.1
OG0000066	AT1G02770, AT1G19060, AT3G19520, AT1G27860, AT1G28500, AT1G23960, AT1G23950, AT1G23970	Sp7g00780.1
OG0000068	AT1G75950	Sp5g31070.1
OG0000068	AT2G03170	Sp2g14110.1, Sp2g14120.1
OG0000068	AT3G60010	Sp1g35760.1, Sp1g35770.1, Sp1g36050.1
OG0000068	AT3G53060, AT3G60020, AT3G21860, AT3G21830, AT3G21840, AT3G21850, AT4G34470, AT4G34210	Sp4g08260.1, Sp5g03170.1
OG0000070	AT4G38860	Sp7g36970.1
OG0000070	AT2G21220	Sp4g00400.1
OG0000070	AT2G18010	Sp3g31440.1
OG0000070	AT4G36110	Sp7g33890.1
OG0000070	AT1G75580	Sp5g30700.1
OG0000070	AT1G19830	Sp1g17620.1
OG0000070	AT2G16580	Sp3g29850.1
OG0000070	AT4G34760	Sp7g32540.1
OG0000071	AT2G29930, AT2G29910	Sp4g12490.1
OG0000073	AT1G43760, AT1G40390	Sp5g21235.1, Sp4g09140.1, Sp2g01620.1
OG0000074	AT5G59190	Sp6g20800.1
OG0000074	AT3G46840, AT3G46850	Sp5g14890.1
OG0000074	AT5G59100	Sp6g20890.1
OG0000074	AT5G58830, AT5G58820, AT5G58840	Sp6g20510.1
OG0000074	AT5G59090, AT5G59120	Sp6g20870.1
OG0000077	AT2G33060, AT2G33050	Sp4g15410.1
OG0000077	AT2G32680, AT2G33020, AT2G33080	Sp4g14900.1
OG0000078	AT1G20090	Sp1g17860.1
OG0000078	AT1G75840	Sp5g30980.1
OG0000078	AT4G35020	Sp7g32780.1, Sp3g29990.1
OG0000078	AT5G45970	Sp2g10850.1
OG0000078	AT3G51300	Sp3g31210.1
OG0000079	AT2G25540	Sp4g04890.1
OG0000079	AT4G32410	Sp7g30200.1
OG0000079	AT5G05170	Sp6g37660.1
OG0000079	AT5G44030	Sp2g08870.1
OG0000079	AT5G17420	Sp6g26800.1
OG0000079	AT4G39350	Sp7g36530.1
OG0000079	AT5G64740	Sp2g27810.1
OG0000079	AT5G09870	Sp6g33540.1
OG0000080	AT5G53230, AT5G53240, AT5G55270, AT5G55890, AT5G55880, AT5G54320, AT5G55870, AT5G54330, AT3G43170	Sp7g14750.1
OG0000083	AT4G25350	Sp7g23370.1
OG0000083	AT1G26730, AT1G35350	Sp1g22080.1
OG0000083	AT1G14040	Sp1g12400.1
OG0000083	AT2G03250	Sp2g14180.1
OG0000083	AT2G03240	Sp2g14170.1
OG0000084	AT4G27960	Sp7g25920.1
OG0000084	AT5G53300	Sp6g15450.1
OG0000084	AT5G41700	Sp7g00370.1
OG0000084	AT2G16740	Sp3g29980.1
OG0000084	AT5G56150	Sp6g18000.1
OG0000084	AT3G08690	Sp3g07130.1
OG0000085	AT3G53550	Sp5g13500.1
OG0000086	AT4G25590	Sp7g23620.1
OG0000086	AT1G01750	Sp1g00550.1
OG0000086	AT4G00680	Sp6g00670.1
OG0000086	AT3G46010	Sp5g15590.1
OG0000086	AT5G59890	Sp6g21600.1
OG0000086	AT5G59880	Sp6g21590.1
OG0000086	AT3G45990, AT3G46000	Sp5g15610.1
OG0000087	AT4G10200	SpUn0060_0030.1
OG0000087	AT2G16040	Sp3g27040.1, Sp4g06670.1, Sp6g08540.1, Sp3g26320.1
OG0000087	AT1G35150, AT2G06500	Sp4g09900.1
OG0000087	AT5G35475, AT3G29794	Sp5g13100.1
OG0000088	AT3G45430	Sp5g15930.1
OG0000088	AT5G60300	Sp6g21910.1
OG0000088	AT5G60270	Sp6g21880.1
OG0000088	AT5G60280	Sp6g21890.1
OG0000088	AT3G45440	Sp5g15920.1
OG0000088	AT3G45410	Sp5g15950.1
OG0000088	AT3G45420	Sp5g15940.1
OG0000088	AT3G45390, AT3G45330	Sp5g15970.1
OG0000088	AT5G60320	Sp6g21920.1
OG0000089	AT2G06420	Sp7g02635.1
OG0000090	AT2G30670	Sp4g12090.1, Sp4g12160.1
OG0000090	AT2G29300, AT2G29320	Sp4g12085.1, Sp4g12060.1
OG0000094	AT1G61370	Sp2g03130.1
OG0000094	AT1G61500	Sp2g03070.1
OG0000094	AT1G61420, AT1G61460, AT1G61475, AT1G61480	Sp2g03090.1, Sp2g03117.1
OG0000094	AT1G11280	Sp4g04840.1
OG0000094	AT1G61390	Sp2g03110.1
OG0000094	AT1G61380	Sp2g03120.1
OG0000094	AT1G61360	Sp2g03140.1
OG0000095	AT4G23670, AT4G23680	Sp7g21600.1
OG0000095	AT3G26460, AT3G26450	Sp7g21610.1
OG0000096	AT1G74170, AT1G74190	Sp5g29380.1
OG0000098	AT1G66950, AT2G36380	Sp4g17010.1, Sp4g18670.1
OG0000098	AT2G26910	Sp4g08450.1
OG0000098	AT3G30842	Sp2g18270.1
OG0000098	AT1G15520	Sp1g13880.1
OG0000098	AT1G15210	Sp1g13520.1
OG0000098	AT1G59870	Sp5g36020.1
OG0000098	AT3G16340	Sp3g14720.1
OG0000099	AT5G14670	Sp6g29370.1
OG0000103	AT4G10530, AT4G10520	Sp6g06900.1
OG0000103	AT4G21650, AT4G21640, AT4G21630	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1
OG0000103	AT4G10540, AT4G10510, AT4G10550	Sp6g06870.1
OG0000103	AT1G32950, AT1G32960	Sp1g28050.1
OG0000103	AT1G32940	Sp1g28060.1
OG0000103	AT1G32970	Sp1g28020.1
OG0000104	AT2G41930	Sp4g24190.1
OG0000104	AT5G12090	Sp1g33950.1
OG0000104	AT5G27510	Sp6g31530.1
OG0000106	AT1G65110, AT1G65120	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1
OG0000106	AT1G52450, AT1G52430, AT5G61950, AT5G61940, AT5G51530, AT2G27630, AT2G27650	Sp2g25130.1
OG0000108	AT3G54700	Sp5g07750.1
OG0000108	AT2G38940	Sp4g21310.1
OG0000109	AT4G16050	Sp7g14520.1
OG0000109	AT1G51538	Sp1g38170.1
OG0000109	AT5G18510, AT1G50830	Sp1g37590.1
OG0000110	AT3G25820, AT3G25830, AT3G25810	Sp2g15055.1, Sp2g15060.1
OG0000112	AT1G45063	Sp7g12400.1, Sp3g28520.1, Sp7g03450.1
OG0000113	AT3G58920	Sp5g11010.1
OG0000114	AT5G18600	Sp6g25730.1
OG0000114	AT4G15670, AT4G15660	Sp7g13960.1
OG0000114	AT4G15680	Sp7g13930.1
OG0000115	AT5G17740, AT5G17750, AT5G17730, AT5G17760	Sp6g26490.1
OG0000115	AT2G18193, AT2G18190	Sp3g31620.1
OG0000115	AT3G50930	Sp5g11280.1
OG0000116	AT5G60380	Sp1g31050.1, Sp1g31170.1
OG0000116	AT5G25415	Sp2g22120.1
OG0000116	AT5G11660	Sp6g31960.1
OG0000117	AT2G43510	Sp4g25600.1
OG0000117	AT1G47540, AT2G43520	Sp3g24100.1
OG0000120	AT1G01380	Sp1g00910.1
OG0000120	AT4G01060	Sp6g01080.1
OG0000120	AT5G53200	Sp6g15380.1
OG0000120	AT2G46410	Sp4g28430.1
OG0000121	AT1G75830	Sp5g30950.1
OG0000123	AT3G60640	Sp5g02600.1
OG0000123	AT2G45170	Sp4g27220.1, SpUn0031_0100.1
OG0000123	AT4G16520	Sp7g15090.1
OG0000123	AT2G05630	Sp3g24090.1
OG0000123	AT1G62040	Sp2g02520.1
OG0000123	AT4G21980	Sp7g20170.1
OG0000125	AT1G64840, AT2G24250	Sp4g03230.1, Sp4g03220.1
OG0000126	AT5G38344	Sp3g02980.1
OG0000129	AT1G47390	Sp5g16370.1, Sp1g27690.1
OG0000130	ATMG00850	Sp6g13955.1, Sp3g25725.1, Sp5g19285.1, SpUn0293_0017.1, SpUn0040_0003.1, SpUn0293_0015.1, Sp4g04515.1
OG0000130	ATMG00860	Sp4g08820.1
OG0000132	AT2G18328	SpUn0030_0110.1, Sp3g31720.1
OG0000132	AT4G36570	Sp7g34210.1
OG0000132	AT1G19510	Sp1g17380.1
OG0000132	AT1G75250	Sp5g30410.1
OG0000132	AT2G21650	Sp4g00810.1
OG0000133	AT1G70880	Sp5g26030.1
OG0000134	AT5G40060	Sp6g04660.1, Sp2g11320.1
OG0000134	AT5G46450	Sp3g28820.1
OG0000135	AT2G15710	Sp1g33820.1
OG0000137	AT1G29450	Sp1g25420.1
OG0000137	AT1G29500	Sp1g25440.1
OG0000137	AT1G29460	Sp1g25430.1
OG0000138	AT1G78400	Sp5g33500.1
OG0000138	AT2G33160	Sp4g15460.1
OG0000138	AT1G17150	Sp1g15300.1
OG0000138	AT1G43080, AT1G43090, AT1G43100, AT2G40310, AT4G13760, AT2G26620, AT2G15470, AT2G15460, AT2G15450	Sp4g22640.1, Sp1g21630.1
OG0000143	AT3G18650	Sp3g16720.1
OG0000143	AT4G02235, AT5G65330, AT4G11250	Sp2g28440.1
OG0000144	AT2G45550	Sp4g27590.1
OG0000144	AT2G45570, AT2G45560	Sp7g18740.1, Sp4g27620.1
OG0000144	AT1G33730, AT1G33720	Sp4g27610.1
OG0000144	AT2G45580	Sp4g27630.1
OG0000146	AT4G35200	Sp7g32970.1
OG0000146	AT4G35210	Sp7g32960.1
OG0000146	AT2G17070, AT2G17080	Sp3g30360.1
OG0000149	AT1G56145	Sp1g41790.1
OG0000149	AT1G56140, AT1G56130, AT1G56120	Sp1g41780.1
OG0000153	AT1G21620	Sp6g20950.1, Sp1g28540.1, Sp6g21310.1
OG0000153	AT5G60110, AT5G60180	Sp6g21810.1, Sp6g21760.1, SpUn1070_0010.1
OG0000154	AT5G24550, AT5G24540	Sp4g26560.1
OG0000154	AT3G60140	Sp5g03070.1
OG0000154	AT2G44470	Sp4g26550.1
OG0000154	AT2G44460	Sp4g26540.1
OG0000155	AT2G26720, AT2G31050	Sp4g13520.1
OG0000156	AT5G57260	Sp6g18990.1
OG0000156	AT3G26330, AT3G26320	Sp2g15480.1
OG0000156	AT3G26300, AT3G26310	Sp2g15470.1
OG0000156	AT3G26290	Sp2g15450.1
OG0000158	AT1G48660	SpUn0333_0010.1
OG0000159	AT4G26280, AT2G27570, AT3G45080, AT3G45070	Sp1g38860.1
OG0000159	AT5G43690	Sp1g35030.1
OG0000161	AT4G10305	Sp2g03860.1, Sp2g02500.1
OG0000162	AT1G57830, AT1G60320	Sp2g05800.1
OG0000162	AT2G03030, AT2G03300	Sp2g14240.1
OG0000162	AT1G47370, AT1G57850	Sp2g05790.1
OG0000163	AT2G05440, AT2G05510	Sp3g23960.1
OG0000163	AT2G05530	Sp3g24040.1, Sp3g24050.1, Sp3g24030.1
OG0000164	AT4G21860	Sp7g20000.1
OG0000164	AT4G04800	Sp6g04140.1
OG0000166	AT3G05650, AT3G05660	Sp7g03130.1
OG0000167	AT3G12580	Sp3g10720.1
OG0000167	AT1G16030	Sp1g14350.1
OG0000167	AT3G09440	Sp3g07820.1
OG0000167	AT5G02500	Sp6g40010.1
OG0000170	AT2G29735	Sp4g12440.1
OG0000170	AT5G63230	Sp2g26350.1
OG0000171	AT4G03505, AT4G03470	Sp6g03520.1
OG0000171	AT1G03670	Sp6g04290.1
OG0000173	AT1G60880, AT1G60920	Sp2g03710.1, Sp2g03770.1
OG0000173	AT5G04640, AT4G14530, AT1G46408	Sp5g22450.1
OG0000174	AT1G66850	Sp5g21840.1
OG0000174	AT5G38197, AT5G38195, AT5G38180	Sp7g03900.1
OG0000174	AT3G57310	Sp4g02860.1, Sp5g05290.1
OG0000178	AT1G05920	Sp1g04760.1
OG0000178	AT1G32030	SpUn1102_0010.1, Sp6g07490.1
OG0000178	AT1G05930	Sp1g04320.1
OG0000179	AT1G47620, AT1G66030	Sp1g38300.1
OG0000179	AT4G39510	Sp7g36370.1
OG0000179	AT4G32170	Sp7g12040.1
OG0000179	AT4G39500	Sp3g27400.1
OG0000180	AT4G34720, AT4G38920, AT2G16510	Sp7g32500.1
OG0000181	AT1G32225	SpUn0001_0050.1, Sp3g26840.1
OG0000182	AT4G15970	Sp7g14460.1
OG0000182	AT4G19975	Sp7g18420.1
OG0000182	AT5G44820	Sp2g09660.1
OG0000182	AT1G14590	Sp2g13480.1
OG0000183	AT3G47790	Sp5g14170.1
OG0000183	AT5G61700	Sp2g24900.1
OG0000183	AT5G61740	Sp2g24940.1
OG0000183	AT3G47780	Sp5g14180.1
OG0000183	AT3G47750, AT3G47760, AT3G47770	Sp5g14185.1
OG0000183	AT3G47740	Sp5g14187.1
OG0000184	AT3G22470, AT1G12700	Sp3g20240.1
OG0000185	AT5G37400, AT5G37650	Sp7g04470.1
OG0000185	AT2G03010	Sp7g01300.1
OG0000186	AT1G28610, AT2G27360	SpUn0988_0010.1
OG0000186	AT1G28580, AT1G28570	Sp1g24835.1, Sp1g24830.1, Sp1g24820.1
OG0000188	AT3G32904	Sp2g07590.1, Sp1g33580.1, Sp3g24280.1, Sp5g19020.1, SpUn0171_0010.1
OG0000188	AT5G36080	Sp3g29180.1
OG0000189	AT4G14103, AT4G14096	Sp4g10190.1
OG0000190	AT1G12672	Sp1g11270.1
OG0000191	AT5G56600	Sp6g18380.1
OG0000191	AT2G19770	Sp3g33100.1
OG0000191	AT4G29340	Sp7g27220.1
OG0000191	AT2G19760	Sp3g33090.1
OG0000191	AT4G29350	Sp7g27230.1
OG0000192	AT4G18050	Sp7g16080.1
OG0000192	AT1G02520, AT1G02530	Sp1g01570.1
OG0000192	AT4G01820, AT4G01830	Sp6g01670.1
OG0000192	AT3G62150	Sp5g01220.1
OG0000192	AT2G47000	Sp4g29000.1
OG0000193	AT1G48470	Sp1g35420.1
OG0000193	AT3G17820	Sp3g15940.1
OG0000193	AT1G66200	Sp5g21260.1
OG0000193	AT5G37600	Sp7g04500.1
OG0000193	AT5G16570	Sp6g27590.1
OG0000194	AT2G05330, AT5G48510	Sp7g13200.1
OG0000197	AT2G14378, AT4G35165	Sp2g17840.1
OG0000197	AT5G52975, AT5G52965	Sp6g15130.1
OG0000198	AT2G26135, AT2G26130	Sp4g06090.1
OG0000198	AT3G45540	Sp5g15900.1
OG0000199	AT5G59840	Sp6g21520.1
OG0000199	AT3G46060	Sp5g15550.1
OG0000199	AT5G03520	Sp6g39230.1
OG0000199	AT3G09900	Sp3g08250.1
OG0000199	AT3G53610	Sp5g08740.1
OG0000202	AT1G47730, AT1G48060	Sp1g37610.1, Sp1g37770.1
OG0000202	AT3G10240, AT1G47765	Sp1g34800.1
OG0000203	AT5G03390	Sp6g39340.1
OG0000205	AT1G14080	Sp1g12430.1
OG0000205	AT2G15390, AT2G15360, AT2G15370, AT2G15350	Sp3g28690.1
OG0000205	AT1G14110	Sp1g12450.1, Sp1g12440.1
OG0000206	AT1G67020	Sp7g08150.1
OG0000208	AT3G59930, AT5G33355, AT1G34047	Sp7g07650.1, Sp3g32460.1, SpUn1255_0010.1, Sp3g31250.1, Sp3g31220.1, Sp7g00850.1, Sp4g10780.1, Sp6g08720.1, Sp6g08680.1, Sp5g03380.1, Sp5g03390.1, Sp5g03400.1, Sp5g03420.1, Sp5g03410.1, Sp2g03760.1, Sp2g03780.1
OG0000210	AT4G13290, AT4G13310	Sp7g10800.1
OG0000210	AT4G20235	Sp7g14120.1
OG0000210	AT1G11610, AT2G30750, AT2G30770	Sp4g13260.1, Sp4g13270.1
OG0000211	AT1G21210	Sp1g18850.1
OG0000213	AT3G22940, AT3G22421, AT2G38590, AT5G41490, AT5G41500, AT5G41510, AT4G33290	Sp1g20770.1
OG0000214	AT4G04510	Sp6g04370.1
OG0000214	AT4G04570	Sp6g04390.1
OG0000214	AT4G04540	Sp6g04380.1
OG0000216	AT4G18360	Sp7g15710.1
OG0000216	AT3G14420	Sp3g12720.1
OG0000216	AT3G14415	Sp3g12710.1
OG0000217	AT1G71400, AT1G71390	Sp5g26550.1
OG0000218	AT5G09500, AT5G43640	SpUn1204_0010.1
OG0000218	AT5G63070	Sp2g26200.1
OG0000218	AT1G04270	Sp2g08430.1, Sp1g03080.1
OG0000219	AT3G43505, AT1G49435	Sp5g02207.1
OG0000219	AT3G61172	Sp5g02203.1
OG0000222	AT4G15430	Sp7g13630.1
OG0000222	AT3G21620	Sp3g19640.1
OG0000222	AT1G11960	Sp1g10650.1
OG0000222	AT1G62320	Sp2g02300.1
OG0000222	AT4G04340	Sp6g04510.1
OG0000222	AT4G22120	Sp7g20270.1
OG0000223	AT3G20520	Sp3g18520.1
OG0000223	AT5G55480	Sp6g17360.1
OG0000223	AT1G66980, AT1G66970	Sp5g21930.1
OG0000223	AT4G26690	Sp7g24660.1
OG0000226	AT1G27220, AT1G27250	Sp1g21550.1
OG0000226	AT1G70030	Sp5g25130.1
OG0000228	AT4G23400	Sp7g21310.1
OG0000228	AT4G00430	Sp6g00460.1
OG0000228	AT1G01620	Sp1g00700.1
OG0000228	AT3G61430	Sp5g01970.1
OG0000228	AT2G45960	Sp4g28030.1
OG0000229	AT4G03625	Sp1g06280.1
OG0000229	AT4G05460	SpUn0416_0020.1, Sp6g03620.1
OG0000230	AT1G29730, AT1G29740	Sp1g25630.1
OG0000230	AT1G29720	Sp1g25620.1
OG0000234	AT1G78340	Sp5g33440.1
OG0000234	AT1G78380	Sp5g33470.1
OG0000234	AT1G17180	Sp1g15320.1, Sp1g15325.1
OG0000235	AT3G14610	Sp3g12880.1
OG0000235	AT3G14630	Sp3g12900.1
OG0000235	AT3G14650, AT3G14660, AT3G14690	Sp3g12920.1
OG0000235	AT3G14680, AT3G14640	Sp3g12910.1
OG0000237	AT2G18240	Sp3g31650.1
OG0000237	AT2G23310	Sp4g02310.1
OG0000237	AT2G21600	Sp4g00760.1
OG0000237	AT4G39220	Sp7g36620.1
OG0000238	AT5G10140	Sp6g33260.1
OG0000238	AT5G65050, AT5G65060, AT1G77080	Sp2g28130.1
OG0000238	AT5G65080, AT5G65070	Sp2g28150.1
OG0000240	AT2G22290	Sp4g01330.1
OG0000240	AT4G39890	Sp7g36000.1
