Orthogroup	Arabidopsis_thaliana	Camelina_sativa
OG0000001	AT2G13950, AT5G02340	Csa08g062340, Csa13g002180
OG0000001	AT2G13900, AT5G02350, AT5G02330	Csa12g075160, Csa10g041220
OG0000001	AT5G02360, AT1G53340	Csa13g002210, Csa20g002390
OG0000001	AT2G13895	Csa13g002200
OG0000001	AT1G44050	Csa02g058470, Csa11g089070
OG0000001	AT5G55780	Csa11g082700
OG0000001	AT4G10370	Csa02g058490, Csa18g028360
OG0000001	AT3G26550	Csa11g089050, Csa06g006240, Csa09g010070, Csa04g012100
OG0000001	AT4G02540	Csa17g051770, Csa14g042350, Csa13g033630, Csa20g003410, Csa13g003310, Csa13g033650, Csa08g061210, Csa13g003300, Csa08g061230, Csa20g003400
OG0000001	AT1G62030	Csa16g053810, Csa16g053790, Csa09g096620, Csa07g063350
OG0000001	AT5G03355	Csa20g032520, Csa08g014380, Csa13g023480
OG0000001	AT5G03360, AT4G26380	Csa08g061200
OG0000001	AT3G26250, AT3G26240	Csa02g006040
OG0000001	AT3G50010	Csa18g005840, Csa20g077230, Csa11g066850
OG0000001	AT1G44020, AT1G29180	Csa20g003420
OG0000001	AT1G45243	Csa05g073540
OG0000001	AT4G10560	Csa08g040560, Csa13g047710, Csa02g026060, Csa08g040550, Csa02g026090, Csa02g026070
OG0000001	AT5G37210	Csa02g026080
OG0000001	AT5G01480	Csa20g001620, Csa13g001400, Csa08g063150, Csa20g001630, Csa08g063140
OG0000001	AT1G34480	Csa17g059770
OG0000001	AT3G21210	Csa15g031520, Csa01g024250, Csa19g029160, Csa01g024230
OG0000001	AT5G40320	Csa10g047330, Csa11g057460, Csa12g079770
OG0000001	AT2G43220	Csa03g004600, Csa14g004550
OG0000001	AT5G54050, AT5G29624, AT5G54030, AT5G54040, AT5G54020	Csa02g051650
OG0000001	AT2G04500, AT4G14980	Csa11g036870, Csa00506s160
OG0000001	AT1G58037, AT5G45730	Csa15g071100, Csa19g046220
OG0000001	AT3G07000	Csa01g007980, Csa15g008670
OG0000001	AT3G27480	Csa04g015490, Csa09g014580
OG0000001	AT3G27490	Csa13g054220, Csa09g014610, Csa04g015510, Csa09g014600, Csa04g015500, Csa09g014590
OG0000001	AT3G27473	Csa06g008570, Csa04g015560
OG0000001	AT3G45530	Csa04g015570, Csa09g014640, Csa06g008620, Csa04g015590, Csa06g008530
OG0000001	AT1G69150, AT3G43890	Csa09g018570, Csa07g003110, Csa16g003610, Csa05g093630, Csa07g003150, Csa16g003600
OG0000001	AT4G11390, AT4G11540	Csa02g019960
OG0000001	AT4G01910	Csa02g005060, Csa08g052600, Csa08g052760, Csa13g055550, Csa02g004900, Csa02g005350
OG0000001	AT4G01920, AT4G01930, AT4G01925	Csa13g055520
OG0000001	AT4G02180	Csa08g052300, Csa02g005370, Csa13g055040, Csa08g052280, Csa13g055060
OG0000001	AT4G01740	Csa08g052290
OG0000002	AT3G47680	Csa06g013110
OG0000002	AT5G52547	Csa05g089860
OG0000002	AT2G06555	Csa12g008550, Csa20g016560, Csa08g028250, Csa19g016660, Csa12g025400, Csa18g030150, Csa20g044860, Csa05g086350, Csa09g087820
OG0000003	AT3G17570	Csa15g023770, Csa01g020240, Csa19g024700, Csa19g024690
OG0000003	AT3G17480	Csa19g024620
OG0000003	AT1G62270	Csa09g096880, Csa16g054990
OG0000003	AT2G17830, AT5G42460	Csa15g076260, Csa01g039830
OG0000003	AT2G18780	Csa19g054170, Csa01g032420, Csa20g078390
OG0000003	AT3G17320	Csa01g019960, Csa17g069410, Csa15g023460
OG0000003	AT3G17620	Csa15g023560, Csa15g023570, Csa15g023580, Csa01g020100, Csa01g020110, Csa19g013200
OG0000003	AT3G24580, AT3G22770, AT3G19470	Csa15g050310
OG0000003	AT3G20400	Csa15g030590, Csa19g028250
OG0000003	AT3G23420	Csa19g024970, Csa15g024090, Csa01g020520, Csa15g016900
OG0000003	AT3G20700	Csa15g031050, Csa19g028680, Csa01g023780, Csa01g023760
OG0000003	AT3G20690	Csa19g028670, Csa01g023750, Csa15g031040
OG0000003	AT3G20710	Csa15g031060
OG0000003	AT1G67450	Csa05g081440, Csa05g081430, Csa07g032850
OG0000003	AT3G14030	Csa01g016520, Csa19g020630
OG0000003	AT3G49980	Csa09g052810, Csa04g035580, Csa09g052800, Csa04g035560, Csa06g024060
OG0000003	AT3G25460	Csa01g031370, Csa14g034620, Csa15g054160, Csa19g039310
OG0000003	AT5G47300	Csa01g011470, Csa19g014240
OG0000003	AT3G18980	Csa15g020300, Csa15g028080
OG0000003	AT3G17500	Csa19g024630, Csa15g023700, Csa01g019970
OG0000003	AT3G22730	Csa15g040440, Csa02g024730, Csa01g009780, Csa19g012480, Csa01g025980
OG0000003	AT3G22700, AT3G22710, AT3G22720	Csa15g039390, Csa15g040400, Csa19g031970
OG0000007	AT3G51700, AT3G51690	Csa20g073340
OG0000007	AT5G28780	Csa02g035830
OG0000009	AT1G44941	Csa12g022600
OG0000009	AT5G18880	Csa16g042500
OG0000009	AT2G11035	Csa09g007230, Csa05g038740, Csa19g031300, Csa13g043430
OG0000011	AT1G69550	Csa07g036290, Csa16g030940, Csa14g049360, Csa17g070990
OG0000011	AT5G38340	Csa12g084400, Csa11g052190
OG0000011	AT5G38350	Csa12g084380, Csa10g044400, Csa11g052170
OG0000011	AT3G25505, AT1G65850	Csa15g003680, Csa19g006040
OG0000011	AT5G11250	Csa13g014040, Csa20g016690, Csa08g002380, Csa20g016680, Csa13g013990
OG0000011	AT3G25510	Csa01g031700, Csa12g084390
OG0000011	AT3G44670, AT3G44480, AT3G44630, AT3G44400	Csa04g024310, Csa09g034510, Csa09g034500, Csa05g018420, Csa09g050290, Csa09g050260, Csa06g017220, Csa04g024330
OG0000013	AT3G57590	Csa09g070080, Csa04g044090
OG0000013	AT3G57580, AT3G56890	Csa06g025910, Csa04g044080, Csa09g070070, Csa04g044060, Csa09g070060, Csa06g033310, Csa04g044050, Csa16g032320, Csa07g037620, Csa09g072030
OG0000013	AT1G47300	Csa14g051210
OG0000013	AT1G47350	Csa03g051060
OG0000013	AT1G30925	Csa03g034320, Csa17g047400
OG0000013	AT1G31163, AT1G30930	Csa14g039150, Csa17g047420, Csa03g056800, Csa08g049630, Csa13g053460, Csa17g047410, Csa03g034340, Csa14g038800, Csa17g048520, Csa14g039040, Csa17g048510
OG0000013	AT5G42430	Csa03g038300
OG0000013	AT1G33020	Csa17g055390, Csa17g055530, Csa17g039250, Csa14g042970
OG0000014	AT3G58270	Csa09g070910, Csa06g034100
OG0000014	AT3G58260	Csa04g044780, Csa09g070880, Csa06g034080
OG0000014	AT2G05420, AT2G05400	Csa01g037980
OG0000014	AT2G05410	Csa15g057320, Csa19g040380, Csa01g037960
OG0000014	AT3G58380	Csa09g071000, Csa06g034200
OG0000014	AT3G58370	Csa06g034190, Csa04g044900, Csa09g070990
OG0000014	AT3G44800	Csa04g024570, Csa06g018410, Csa06g017410
OG0000014	AT3G44805, AT3G44790	Csa05g033400, Csa09g035710, Csa04g024580
OG0000014	AT3G58210	Csa09g070810
OG0000014	AT3G58410	Csa04g044940
OG0000014	AT3G58340	Csa04g044860, Csa09g070930, Csa06g034150
OG0000014	AT3G58420	Csa04g044930, Csa13g002490
OG0000014	AT3G58240	Csa04g044760, Csa09g070860
OG0000014	AT3G58360	Csa04g044890, Csa09g070980
OG0000014	AT3G58350, AT3G58400	Csa09g070970, Csa06g034170, Csa04g044880
OG0000014	AT3G58250	Csa04g044770
OG0000014	AT1G31400	Csa14g039390
OG0000014	AT1G31390	Csa17g060900, Csa14g039410
OG0000014	AT1G31370	Csa17g060910
OG0000014	AT3G27040, AT2G01790	Csa09g011790, Csa20g032030, Csa06g006920
OG0000015	AT4G09490	Csa18g009210
OG0000015	AT1G10000	Csa11g056050, Csa09g009230
OG0000016	AT4G13790	Csa00382s030, Csa12g061670
OG0000016	AT4G38850	Csa12g001650, Csa10g001570, Csa11g001750
OG0000016	AT4G38825	Csa11g001730, Csa12g001620, Csa10g001540
OG0000016	AT3G03820	Csa19g005960, Csa15g003650, Csa01g003540
OG0000016	AT3G03850	Csa15g003670, Csa01g003550, Csa19g006000
OG0000016	AT3G03830	Csa19g005990, Csa15g003660
OG0000016	AT5G18080	Csa08g010470
OG0000016	AT5G18020	Csa20g026340, Csa08g029820, Csa13g037890, Csa13g020960, Csa08g010370, Csa20g026390, Csa08g010500, Csa20g057390, Csa20g026300, Csa08g010380, Csa13g020910, Csa08g010400, Csa08g010440, Csa13g020900, Csa13g020870, Csa08g010430
OG0000016	AT5G18030	Csa20g026410
OG0000016	AT5G18010	Csa20g026360, Csa08g010460, Csa13g020930
OG0000017	AT1G46984	Csa17g071580, Csa14g050920
OG0000017	AT3G49440	Csa06g023410
OG0000017	AT3G49450	Csa04g034910, Csa09g051770, Csa09g051990, Csa09g051930, Csa06g023470, Csa04g034450, Csa04g034880, Csa06g023460
OG0000017	AT2G31470	Csa05g029740, Csa07g011400, Csa07g011360, Csa16g012180
OG0000017	AT3G23960	Csa01g029740, Csa15g047280, Csa19g035660
OG0000017	AT5G44345, AT5G65850	Csa11g055070, Csa16g009150, Csa07g010420
OG0000018	AT5G41540	Csa02g054840, Csa10g050020
OG0000018	AT5G41750, AT5G41740	Csa02g055230, Csa11g061400
OG0000018	AT5G40910	Csa11g059460
OG0000018	AT1G56540	Csa17g098890, Csa05g063300, Csa07g026440
OG0000018	AT5G38850	Csa00595s050
OG0000018	AT1G63740	Csa09g098570
OG0000018	AT1G63750, AT5G58120	Csa09g098560
OG0000018	AT1G63880	Csa16g056570
OG0000018	AT1G63870	Csa07g063320
OG0000018	AT2G16870, AT1G64070	Csa07g065580
OG0000019	AT2G28970	Csa07g015410, Csa05g035350
OG0000019	AT1G49100	Csa17g080720, Csa03g054920
OG0000019	AT3G21340	Csa15g031760, Csa19g029400
OG0000019	AT1G51810	Csa03g058820
OG0000019	AT1G51830	Csa03g058830
OG0000019	AT1G51850	Csa03g058840
OG0000019	AT5G59660	Csa16g028850
OG0000019	AT5G59680	Csa02g065400, Csa18g032950
OG0000019	AT5G59650	Csa02g065360
OG0000019	AT3G46400, AT3G46370	Csa09g034540
OG0000019	AT3G46330	Csa04g029140, Csa06g020140, Csa09g042480
OG0000019	AT4G20450	Csa11g025770
OG0000019	AT2G28960	Csa16g015980, Csa16g015990
OG0000019	AT2G14440, AT2G14510	Csa17g010920, Csa03g010950
OG0000019	AT1G07560	Csa17g010950, Csa14g008940, Csa03g010980
OG0000023	AT1G14315	Csa14g017290, Csa17g019700, Csa03g018010, Csa17g019710
OG0000023	AT5G10340	Csa13g012100, Csa20g015630, Csa08g054220
OG0000023	AT4G01640, AT2G34280	Csa05g021020, Csa07g007080, Csa16g006920
OG0000023	AT1G11270	Csa17g015310, Csa14g014000, Csa03g014910
OG0000023	AT1G09650, AT1G12490	Csa17g018980, Csa03g017440, Csa17g016960, Csa19g039720, Csa15g055640, Csa17g015960, Csa03g016510, Csa03g015550, Csa14g015680, Csa14g014690
OG0000023	AT5G16285	Csa20g023490, Csa08g008110, Csa20g023500, Csa13g018770, Csa08g008430, Csa20g024420, Csa08g008720
OG0000024	AT1G59780	Csa07g017330
OG0000024	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848	Csa05g052240
OG0000024	AT1G58390, AT1G58400, AT1G58410	Csa16g018250
OG0000024	AT1G59620	Csa16g017830, Csa14g059390, Csa12g044430, Csa07g017450
OG0000024	AT1G10920	Csa14g013640, Csa03g014560
OG0000024	AT1G53350	Csa14g063890, Csa17g093690
OG0000024	AT5G35450, AT5G48620, AT5G43470	Csa10g040620
OG0000025	AT1G45223, AT1G45221, AT1G45215, AT1G57760, AT1G57775, AT1G57777, AT3G44115, AT4G08025, AT4G07515	Csa18g012380, Csa00441s430, Csa15g084570, Csa00441s420
OG0000026	AT3G30739	Csa04g030920, Csa16g016200, Csa02g023430, Csa09g034160, Csa11g057600
OG0000029	AT3G28410, AT5G02700	Csa08g061930, Csa20g002710, Csa20g003110, Csa20g002820, Csa08g061980, Csa08g061990, Csa08g061530
OG0000029	AT1G57690	Csa07g019730
OG0000029	AT2G39415	Csa05g013730, Csa04g053470, Csa06g043440
OG0000029	AT3G03360	Csa06g045140, Csa05g012000
OG0000029	AT5G02930, AT5G02920	Csa20g002980, Csa20g002960
OG0000029	AT5G02910	Csa20g002950, Csa08g061710, Csa13g002830
OG0000030	AT1G63070, AT1G63080	Csa09g097820
OG0000030	AT1G62930, AT1G63130, AT1G63320	Csa02301s010
OG0000031	AT5G56700	Csa11g090130, Csa02g059960
OG0000031	AT5G56690	Csa11g090110, Csa02g059950
OG0000031	AT5G56410, AT5G62970	Csa02g071190, Csa18g036430
OG0000031	AT4G10400, AT4G09920, AT4G10410, AT4G10420	Csa02g026390, Csa13g047530
OG0000031	AT5G38570, AT5G38565	Csa11g053530, Csa10g044690, Csa12g084020
OG0000031	AT5G38580	Csa12g083940, Csa12g081590
OG0000031	AT5G38590	Csa12g083960, Csa12g083930
OG0000031	AT3G54910	Csa04g041080, Csa09g064690, Csa06g029410
OG0000032	AT5G38260	Csa12g085520, Csa10g043240
OG0000032	AT5G38240	Csa10g043230, Csa12g085530, Csa11g052060
OG0000032	AT1G66930	Csa05g079660, Csa07g032110, Csa16g025530
OG0000032	AT1G67000	Csa05g079760, Csa07g032190
OG0000032	AT1G36005	Csa07g032100, Csa05g079610, Csa16g025480, Csa11g089270
OG0000032	AT1G66920	Csa07g032090, Csa16g025510
OG0000032	AT1G66910	Csa07g032080, Csa31641s010, Csa05g079590
OG0000033	AT1G62630, AT1G63360	Csa07g063890, Csa09g097240, Csa07g063900, Csa16g055330, Csa09g097220, Csa07g063880
OG0000033	AT1G63350	Csa09g097300, Csa16g055320
OG0000033	AT1G12280	Csa17g016500
OG0000033	AT1G12220	Csa17g016100, Csa17g016510
OG0000033	AT1G12290	Csa14g015220
OG0000037	AT3G53750, AT2G37620	Csa04g051240, Csa05g016060, Csa04g039780, Csa06g028220, Csa06g040380
OG0000037	AT3G18780	Csa19g026200
OG0000037	AT3G18780	Csa01g021690
OG0000037	AT1G49240	Csa14g055430, Csa03g055080, Csa17g080920
OG0000037	AT2G42170, AT2G42090	Csa06g048120
OG0000037	AT2G42100	Csa05g009470, Csa06g048140, Csa04g057580
OG0000037	AT3G12110	Csa01g013210, Csa19g016340, Csa15g015990
OG0000037	AT3G46520	Csa04g029280
OG0000037	AT3G46520	Csa09g042590
OG0000037	AT3G46520	Csa06g020290
OG0000037	AT5G59370	Csa02g065080
OG0000037	AT5G09810	Csa20g013000, Csa13g011500, Csa08g054840
OG0000038	AT3G26920	Csa04g013590
OG0000038	AT3G26930	Csa06g006690, Csa04g013580
OG0000038	AT3G26922	Csa18g002560
OG0000038	AT4G13965	Csa06g006700
OG0000038	AT1G55030	Csa07g023950, Csa05g061860
OG0000038	AT3G51530	Csa06g025660, Csa04g037320, Csa09g058560
OG0000038	AT3G52690	Csa06g027050
OG0000038	AT3G52680, AT4G00160	Csa06g027060, Csa09g059800, Csa04g038570
OG0000038	AT3G49040	Csa04g034310, Csa13g034260
OG0000038	AT2G04230	Csa04g034300, Csa06g022920, Csa09g051370
OG0000039	AT4G23300	Csa11g022610
OG0000039	AT4G23210	Csa11g022780, Csa12g033330
OG0000039	AT4G23190	Csa11g022840, Csa11g022820, Csa11g022800, Csa12g033410
OG0000039	AT4G11470	Csa02g020100, Csa13g048620, Csa08g043730
OG0000040	AT3G12230, AT3G12240	Csa15g016130
OG0000040	AT3G12220	Csa01g013350
OG0000040	AT2G22970	Csa16g044690
OG0000040	AT2G23000	Csa09g087290
OG0000040	AT2G23010	Csa07g053050
OG0000040	AT3G10450	Csa09g052050, Csa04g034950, Csa06g023520, Csa01g011310, Csa19g014070
OG0000040	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270	Csa16g036020, Csa07g040480
OG0000042	AT5G38390, AT5G38386	Csa12g074250, Csa11g046510, Csa11g053250, Csa12g084320, Csa10g044450, Csa12g084310
OG0000042	AT5G38396, AT5G38392	Csa12g084290, Csa10g044460, Csa11g053270
OG0000042	AT3G58820	Csa06g036570, Csa04g046340, Csa09g071440, Csa07g004880, Csa16g005740
OG0000042	AT3G58860	Csa05g089410, Csa16g006810
OG0000042	AT3G58880	Csa09g071480, Csa02240s010
OG0000042	AT3G58900	Csa04g046390, Csa05g089320
OG0000042	AT3G03040	Csa15g002750
OG0000042	AT3G58940	Csa05g089340
OG0000042	AT3G58930	Csa05g089330, Csa06g036640, Csa04g046400
OG0000042	AT3G58950	Csa05g092530, Csa04g039850, Csa16g004190, Csa07g004200, Csa07g004240, Csa05g092490
OG0000043	AT5G20480	Csa13g023390, Csa08g014290
OG0000043	AT3G47570	Csa04g030490, Csa09g047930
OG0000044	AT3G46950	Csa04g029830, Csa06g020750, Csa09g045300, Csa09g045280
OG0000044	AT1G62150	Csa16g053880
OG0000044	AT1G56380	Csa07g063410, Csa09g096710
OG0000044	AT1G62110, AT1G62085	Csa07g063420, Csa09g096730, Csa16g053860
OG0000044	AT1G61980	Csa09g096530, Csa16g053760
OG0000044	AT1G62490	Csa07g063780, Csa16g055240, Csa09g097110
OG0000045	AT4G23270, AT4G23280	Csa12g032250, Csa12g032160
OG0000045	AT4G23310	Csa12g032210, Csa11g022650
OG0000045	AT4G23180	Csa10g019910, Csa11g022850, Csa12g033420
OG0000045	AT4G23140	Csa11g022900, Csa10g019930
OG0000045	AT4G23150	Csa11g022910
OG0000045	AT4G23230	Csa11g022730, Csa11g022950, Csa11g022940
OG0000046	AT4G36150	Csa12g006220, Csa11g005540
OG0000046	AT5G44870	Csa20g072230, Csa18g008660, Csa11g069720
OG0000046	AT3G51570	Csa09g058610
OG0000046	AT5G45060	Csa00874s010, Csa11g068430
OG0000046	AT5G45250	Csa18g008100, Csa20g075840
OG0000046	AT5G17880	Csa08g010220, Csa20g026140, Csa13g020710, Csa20g026070, Csa08g010190
OG0000046	AT5G45200	Csa20g076020
OG0000046	AT2G17060	Csa18g008160
OG0000048	AT4G00155	Csa11g068370
OG0000048	AT5G28190	Csa11g069580
OG0000050	AT1G19890	Csa14g025170, Csa17g025710
OG0000050	AT5G10980	Csa08g002110
OG0000050	AT5G10980	Csa12g003040
OG0000050	AT5G10980	Csa10g002880
OG0000050	AT5G10980	Csa20g016350
OG0000050	AT5G10980	Csa11g003200
OG0000050	AT4G40040	Csa08g002110
OG0000050	AT4G40040	Csa12g003040
OG0000050	AT4G40040	Csa10g002880
OG0000050	AT4G40040	Csa20g016350
OG0000050	AT4G40040	Csa11g003200
OG0000050	AT1G09200	Csa03g012600
OG0000050	AT1G09200	Csa02g074460
OG0000050	AT1G09200	Csa09g014310
OG0000050	AT1G09200	Csa06g007410
OG0000050	AT1G09200	Csa18g039260
OG0000050	AT1G09200	Csa11g102690
OG0000050	AT1G09200	Csa14g010640
OG0000050	AT1G09200	Csa20g015700
OG0000050	AT1G09200	Csa17g012690
OG0000050	AT5G65360	Csa03g012600
OG0000050	AT5G65360	Csa02g074460
OG0000050	AT5G65360	Csa09g014310
OG0000050	AT5G65360	Csa06g007410
OG0000050	AT5G65360	Csa18g039260
OG0000050	AT5G65360	Csa11g102690
OG0000050	AT5G65360	Csa14g010640
OG0000050	AT5G65360	Csa20g015700
OG0000050	AT5G65360	Csa17g012690
OG0000050	AT5G10390	Csa03g012600
OG0000050	AT5G10390	Csa02g074460
OG0000050	AT5G10390	Csa09g014310
OG0000050	AT5G10390	Csa06g007410
OG0000050	AT5G10390	Csa18g039260
OG0000050	AT5G10390	Csa11g102690
OG0000050	AT5G10390	Csa14g010640
OG0000050	AT5G10390	Csa20g015700
OG0000050	AT5G10390	Csa17g012690
OG0000050	AT5G10400	Csa03g012600
OG0000050	AT5G10400	Csa02g074460
OG0000050	AT5G10400	Csa09g014310
OG0000050	AT5G10400	Csa06g007410
OG0000050	AT5G10400	Csa18g039260
OG0000050	AT5G10400	Csa11g102690
OG0000050	AT5G10400	Csa14g010640
OG0000050	AT5G10400	Csa20g015700
OG0000050	AT5G10400	Csa17g012690
OG0000050	AT3G27360	Csa03g012600
OG0000050	AT3G27360	Csa02g074460
OG0000050	AT3G27360	Csa09g014310
OG0000050	AT3G27360	Csa06g007410
OG0000050	AT3G27360	Csa18g039260
OG0000050	AT3G27360	Csa11g102690
OG0000050	AT3G27360	Csa14g010640
OG0000050	AT3G27360	Csa20g015700
OG0000050	AT3G27360	Csa17g012690
OG0000050	AT1G13370, AT1G75600	Csa19g033550, Csa16g039540, Csa17g098750, Csa12g009790, Csa15g043070, Csa09g080220
OG0000051	AT5G08391	Csa08g055950, Csa13g010440, Csa20g011840
OG0000051	AT3G01950	Csa21410s010
OG0000051	AT5G14110	Csa20g020570, Csa13g016880, Csa08g006120
OG0000051	AT3G27030	Csa10g049510, Csa12g077610
OG0000051	AT3G01940	Csa00555s140, Csa19g001000, Csa19g001010
OG0000051	AT5G50660, AT5G50560	Csa02g039250, Csa11g081990, Csa18g021340
OG0000051	AT3G48660	Csa06g022420, Csa09g050710
OG0000051	AT5G63500	Csa18g037030
OG0000051	AT5G63500	Csa11g100440
OG0000052	AT1G52950	Csa15g015250, Csa08g061450, Csa16g052820, Csa17g063360, Csa13g024890, Csa03g051460, Csa15g062000, Csa13g055820, Csa03g047070, Csa07g010780, Csa14g024410, Csa10g037360, Csa10g037340, Csa10g037350, Csa15g071140, Csa11g084220, Csa02g031930, Csa09g045430, Csa04g012420, Csa07g035790, Csa15g071130, Csa10g021710, Csa13g034450, Csa18g005710, Csa10g033600, Csa10g038690, Csa19g046240, Csa18g009270, Csa17g099450, Csa13g034460, Csa18g005720, Csa02g053490, Csa03g036340, Csa03g056230, Csa13g019900, Csa19g046410, Csa15g072270
OG0000053	AT3G43810	Csa09g032830
OG0000053	AT5G21274	Csa04g022630
OG0000053	AT5G37780	Csa05g072060, Csa10g042810, Csa12g076230, Csa16g023910
OG0000053	AT2G41090, AT1G66410	Csa11g051580
OG0000053	AT4G14640	Csa11g037310
OG0000053	AT3G22930	Csa01g027300, Csa19g033220
OG0000053	AT3G56800	Csa09g069190
OG0000053	AT3G56800	Csa05g042060
OG0000053	AT3G56800	Csa04g043180
OG0000053	AT3G56800	Csa07g060560
OG0000053	AT2G41110, AT2G27030	Csa06g031510
OG0000054	AT1G62510	Csa07g063800, Csa16g055260, Csa09g097130, Csa12520s010
OG0000054	AT4G12520, AT4G12510	Csa02g014360, Csa02g014350, Csa13g050920, Csa13g050930, Csa13g050910, Csa08g044830, Csa08g044820
OG0000054	AT2G45180	Csa05g004080, Csa04g063080, Csa06g051570
OG0000054	AT4G12550, AT4G12545	Csa02g014280, Csa08g044900, Csa08g044890, Csa13g050980, Csa13g053000, Csa08g049240, Csa02g009880, Csa02g009910, Csa02g009890, Csa02g010910, Csa13g050970, Csa02g014290, Csa08g044880, Csa02g014260, Csa02g014250, Csa08g049250, Csa13g053010, Csa08g046920, Csa02g014240, Csa13g050990, Csa08g044920, Csa02g013240, Csa02g013230
OG0000054	AT4G22460	Csa10g020760, Csa12g034400, Csa11g023770
OG0000057	AT5G57350	Csa11g090900
OG0000057	AT1G17260	Csa14g021480, Csa03g021030
OG0000057	AT3G60330	Csa16g005570, Csa07g004720
OG0000057	AT5G62670	Csa18g036100
OG0000057	AT2G24520	Csa09g088690
OG0000057	AT1G80660	Csa07g059180, Csa16g049760
OG0000057	AT3G42640	Csa09g028410, Csa06g013070
OG0000057	AT2G07560	Csa19g041080
OG0000057	AT4G30190	Csa11g013220
OG0000057	AT2G18960	Csa15g079720
OG0000060	AT5G22880	Csa20g037720, Csa08g017210, Csa13g027500, Csa20g037650
OG0000060	AT1G07790	Csa17g011220, Csa14g009190, Csa03g011240
OG0000060	AT5G02570	Csa08g062070, Csa20g002640, Csa13g002470
OG0000060	AT3G09480	Csa19g012960, Csa01g010270
OG0000060	AT3G53650	Csa04g051060, Csa06g040210, Csa05g016380
OG0000060	AT3G45980	Csa04g028680, Csa06g019730, Csa09g041040
OG0000060	AT3G46030	Csa04g028760, Csa06g019770, Csa09g041100
OG0000061	AT1G72260	Csa09g075730, Csa16g034930, Csa07g039260, Csa16g034890, Csa09g075750, Csa07g022080, Csa07g022050
OG0000061	AT1G66100	Csa15g014880
OG0000062	AT3G20140	Csa01g023190
OG0000062	AT4G15380	Csa15g029260
OG0000062	AT3G20080	Csa19g027910
OG0000062	AT2G27010, AT2G27000	Csa05g043210, Csa05g043190
OG0000062	AT3G20950, AT3G20935, AT3G20940, AT4G15350	Csa10g030880, Csa11g035180, Csa12g055470
OG0000062	AT3G20960	Csa15g031330, Csa01g024030, Csa19g028930
OG0000062	AT4G15360	Csa12g055450, Csa10g030870, Csa11g035170
OG0000062	AT2G05180	Csa15g057200, Csa19g040260, Csa01g037840
OG0000062	AT4G15330	Csa20g075830
OG0000062	AT3G20120	Csa19g027930
OG0000062	AT3G20110	Csa19g027920, Csa01g023180
OG0000064	AT2G20290	Csa01g044140
OG0000064	AT4G28710	Csa11g014810
OG0000064	AT5G43900	Csa11g070910
OG0000064	AT1G04160	Csa17g007260
OG0000064	AT2G31900	Csa05g029250, Csa07g010910, Csa16g009640
OG0000064	AT1G17580	Csa17g023320
OG0000064	AT5G20490	Csa13g023400, Csa08g014300
OG0000064	AT3G58160	Csa04g044690, Csa09g070760
OG0000064	AT1G08730	Csa17g012230
OG0000065	AT1G75780	Csa16g039800
OG0000065	AT1G20010	Csa03g023850
OG0000065	AT5G44340	Csa20g071430
OG0000065	AT4G20890	Csa10g022620
OG0000065	AT2G29550	Csa07g014850, Csa16g015400
