Orthogroup	Arabidopsis_thaliana	Arabidopsis_halleri
OG0000013	AT1G33010	g16045
OG0000014	AT3G58270	g16565
OG0000014	AT3G58380	g16550
OG0000014	AT3G58370	g16551
OG0000014	AT3G58200	g16571
OG0000014	AT3G44800	g30559, g11915
OG0000014	AT3G44805, AT3G44790	g11913
OG0000014	AT3G58210	g16570
OG0000014	AT3G58340	g16556
OG0000014	AT3G58350, AT3G58400	g16549
OG0000014	AT3G58250	g16566
OG0000014	AT1G31400	g27562, g27572, g27563, g27566
OG0000014	AT1G31390	g27573
OG0000014	AT1G31380	g27565, g32341, g27570, g27567
OG0000014	AT3G27040, AT2G01790	g20501
OG0000015	AT4G09490	g29792, g03938, g16795
OG0000015	AT3G26855	g07053, g18772, g13344, g07461, g00732, g27785, g07644, g14258, g21883, g26135, g14634, g23288, g28410, g20299, g31089, g17584, g18911
OG0000015	AT1G10000	g08852, g20910, g14746, g13974, g08231, g04310, g25511, g16775, g11878, g29848, g20855, g27696, g06753, g18269, g21818, g18991, g15901, g20337, g05639, g10018, g15058, g29149, g22066, g30010, g12659, g00524, g07706, g18481, g18653, g18678, g24115, g26853, g30347, g24581, g29636, g24299
OG0000016	AT4G38825	g02755
OG0000016	AT3G03840	g06125
OG0000016	AT3G03820	g06123
OG0000016	AT3G03830	g06124
OG0000016	AT5G18020	g13288
OG0000016	AT5G18030	g13297
OG0000016	AT5G18050	g13292
OG0000016	AT5G18060	g13295
OG0000017	AT1G46984	g18973
OG0000017	AT3G49450	g22307, g22324, g22323
OG0000017	AT2G31470	g07887
OG0000017	AT5G44345	g28606, g28605, g28607
OG0000017	AT5G65850	g07365
OG0000018	AT5G41540	g27191
OG0000018	AT5G41750, AT5G41740	g27183, g28543
OG0000018	AT5G41550	g22462
OG0000018	AT5G40910	g22396
OG0000018	AT1G56540	g16273, g16276
OG0000018	AT1G63730	g22947
OG0000018	AT1G63750, AT5G58120	g16909
OG0000018	AT1G63870	g22960
OG0000018	AT1G64070	g17734
OG0000019	AT3G21340	g11236
OG0000019	AT1G51810	g31003
OG0000019	AT1G51830	g28798
OG0000019	AT1G51850	g28797
OG0000019	AT1G51820	g28799
OG0000019	AT5G59660	g10992
OG0000019	AT5G59680	g10989
OG0000019	AT3G46340	g12698
OG0000019	AT3G46400, AT3G46370	g12702
OG0000019	AT3G46330	g12697
OG0000019	AT4G20450	g05198
OG0000019	AT2G29000	g07015
OG0000019	AT2G14440, AT2G14510	g19686, g19681
OG0000019	AT1G07550	g02416
OG0000019	AT1G07560	g02417
OG0000023	AT5G10340	g10499
OG0000023	AT4G01640, AT2G34280	g03328
OG0000023	AT1G11270	g20568, g04967, g04962
OG0000023	AT1G09650	g28846
OG0000023	AT1G12490	g04828
OG0000023	AT5G16285	g00148
OG0000024	AT1G59780	g26634, g26636
OG0000024	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848	g25133
OG0000024	AT1G58390	g28163
OG0000024	AT1G58400, AT1G58410	g28159
OG0000024	AT1G59620	g25154
OG0000024	AT1G53350	g15032
OG0000024	AT5G35450, AT5G48620, AT5G43470	g15958
OG0000027	AT1G36100	g30487
OG0000027	AT2G11010	g16324, g30360, g07960, g17010, g30661, g32431, g26104, g24830, g18663, g29470, g15935, g30454, g18717, g14040, g30917, g20034, g25545, g24428, g19641, g29569, g08667, g30488, g28395, g26168, g31029, g08166, g08502, g25683, g24199, g29238, g23399, g25980, g30511, g30694, g20844, g32294, g20297, g17914, g20108, g31864, g08017, g30601, g30204, g30583, g19695, g31676, g27297, g26755, g15163, g28963, g30937, g20596, g21869, g30283, g12555, g30833, g26140, g24122, g15884, g18183, g10154, g32003, g21844, g25314, g00663, g17740, g26141, g17967, g23648, g29510, g19740, g11178, g31341, g20559, g16316, g31752, g28489, g29619, g05059, g31619, g00244, g08983, g01002, g14318, g26924, g31514, g14357, g25663, g16020, g32234, g11633, g08437, g11916, g20585, g14250, g08550, g28651, g20740, g27455, g28111, g17919, g19657, g16724, g27369, g32352, g31420, g29672, g32419, g26246, g20266, g08659, g08673, g20953, g22698, g22696, g17489, g28897, g22145, g17647, g08390, g23277, g20986, g29807, g30708, g27029, g29387, g28314, g28306, g31192, g31050, g23185, g29393, g11955, g21282, g31379, g22051, g29231, g26955, g25985, g32364, g27273, g30111, g27832, g29675, g19535, g23344, g29743, g30910, g23400, g31217, g24739, g18943, g19694, g23394, g30875, g15913, g17613, g30489, g21866, g20057, g29720, g29481, g23140, g29697, g30715, g31093, g00833, g32407, g29072, g28311, g25350, g14216, g08409, g16677, g07638, g26620, g20536, g29635, g08669, g31354, g30832, g31240, g30455, g28555, g20098, g27984, g31288, g23784, g30741, g18605, g29494, g12839, g32468, g05602, g30650
OG0000027	AT5G33806	g31241, g30344, g27535
OG0000029	AT3G28410, AT5G02700	g19426
OG0000029	AT1G57690	g26296
OG0000029	AT2G39415	g12499
OG0000029	AT1G49610	g15249, g15248
OG0000029	AT3G03360	g02174, g02175, g02169
OG0000029	AT5G02930, AT5G02920	g19412
OG0000029	AT5G02910	g19414
OG0000030	AT1G63070, AT1G63080	g32403, g22944
OG0000030	AT1G62930, AT1G63130	g22955, g32359, g22914, g18705, g18713
OG0000030	AT1G63320	g18746
OG0000030	AT1G62670	g32357, g18775, g18750, g18748, g18749
OG0000030	AT1G63150, AT1G62910, AT1G63330, AT1G62590, AT1G63400, AT1G62914	g17850
OG0000031	AT2G26860	g31133
OG0000031	AT5G56700	g24090, g24089
OG0000031	AT5G56690	g24085
OG0000031	AT5G56410	g23427
OG0000031	AT5G62970	g12298
OG0000031	AT4G10400, AT4G09920, AT4G10410, AT4G10420	g25344
OG0000031	AT5G38580	g25045, g25048, g25046, g25047
OG0000031	AT5G38590	g32121
OG0000031	AT3G54910	g11514
OG0000032	AT5G38250	g20814
OG0000032	AT1G66930	g23300
OG0000032	AT1G67000	g23310
OG0000032	AT1G36005	g30630
OG0000032	AT1G66910	g23296, g08573
OG0000033	AT1G12280	g04849
OG0000033	AT1G12210	g04857
OG0000033	AT1G12220	g04856
OG0000033	AT4G10780	g26149
OG0000033	AT1G12290	g04848
OG0000033	AT5G63020	g12304
OG0000034	ATMG00710	g05318
OG0000037	AT3G53750, AT2G37620	g11382, g03690
OG0000037	AT3G18780	g31441
OG0000037	AT3G18780	g21632
OG0000037	AT2G42090	g17275
OG0000037	AT2G42100	g17277
OG0000037	AT3G12110	g05823
OG0000037	AT3G46520	g11023
OG0000037	AT3G46520	g12716
OG0000037	AT3G46520	g12714
OG0000037	AT5G09810	g19152
OG0000038	AT3G26920	g20793
OG0000038	AT3G26922	g08500, g20794
OG0000038	AT4G13965	g20776
OG0000038	AT1G55030	g20486, g20795, g27649, g28458, g28459, g27650, g28457
OG0000038	AT3G51530	g14872
OG0000038	AT3G52690	g20458, g20457
OG0000038	AT3G52680, AT4G00160	g23746, g20462
OG0000038	AT3G49020	g16754
OG0000038	AT3G49040	g16761
OG0000038	AT2G04230	g16759
OG0000038	AT3G49030	g16758
OG0000039	AT4G23210	g14340
OG0000039	AT4G23190	g32065, g32153
OG0000039	AT4G23220	g14341
OG0000039	AT4G11530	g20693
OG0000039	AT4G11460	g20684
OG0000039	AT4G11480	g20686
OG0000039	AT4G11470	g20685
OG0000040	AT3G12230, AT3G12240	g05807
OG0000040	AT2G22980	g20976
OG0000040	AT2G22970	g20975
OG0000040	AT2G23000	g20979
OG0000040	AT2G22990	g20978
OG0000040	AT2G23010	g20981
OG0000040	AT1G73280, AT1G73310	g17644
OG0000040	AT5G36180, AT1G73300	g04081, g32325
OG0000040	AT1G73270	g04080
OG0000042	AT3G59000	g32119, g31933
OG0000042	AT5G38390, AT5G38386	g25068, g25065
OG0000042	AT5G38391	g25067, g25070
OG0000042	AT1G52650, AT4G13960	g21364
OG0000042	AT5G38396, AT5G38392	g25069
OG0000042	AT3G58820	g16481, g16503
OG0000042	AT3G58910	g16488
OG0000042	AT3G58860	g16498
OG0000042	AT3G58880	g08744, g16497
OG0000042	AT3G58900	g16489
OG0000042	AT3G03040	g31595
OG0000042	AT3G03030	g02459
OG0000042	AT3G58940	g16485
OG0000042	AT3G58930	g16486
OG0000042	AT3G58950	g05536, g16484
OG0000043	AT5G20480	g12072
OG0000043	AT3G47570	g12827
OG0000044	AT3G46950	g12776
OG0000044	AT1G61960	g17762
OG0000044	AT1G61990	g17768
OG0000044	AT1G62150	g17798
OG0000044	AT1G62010	g08499, g17774
OG0000044	AT1G56380	g17788, g17763
OG0000044	AT1G62110, AT1G62085	g17790
OG0000044	AT1G61970	g17764
OG0000044	AT1G61980	g17766
OG0000044	AT1G62490	g17835
OG0000045	AT4G23270, AT4G23280	g14326, g14328
OG0000045	AT4G23130	g14350
OG0000045	AT4G23180	g32297, g32183
OG0000045	AT4G23140	g14349
OG0000045	AT4G23150	g14347
OG0000045	AT4G23230	g14338
OG0000046	AT5G44870	g23672
OG0000046	AT5G45060	g26404, g05063, g28495
OG0000046	AT5G45250	g26397
OG0000046	AT5G17880	g13313
OG0000046	AT2G17060	g29355
OG0000046	AT5G45230	g26409
OG0000048	AT4G00155	g21293, g26467, g27608, g31028, g29900
OG0000048	AT5G28190	g25385
OG0000049	AT1G41920, AT2G06541, AT3G29450	g19174
OG0000050	AT1G19890	g13859
OG0000050	AT5G10980	g10563
OG0000050	AT4G40040	g10563
OG0000050	AT5G10980	g32436
OG0000050	AT4G40040	g32436
OG0000050	AT5G12910	g10728
OG0000050	AT1G09200	g24760
OG0000050	AT5G65360	g24760
OG0000050	AT5G10390	g24760
OG0000050	AT5G10400	g24760
OG0000050	AT3G27360	g24760
OG0000050	AT1G09200	g10506
OG0000050	AT5G65360	g10506
OG0000050	AT5G10390	g10506
OG0000050	AT5G10400	g10506
OG0000050	AT3G27360	g10506
OG0000050	AT1G09200	g20560
OG0000050	AT5G65360	g20560
OG0000050	AT5G10390	g20560
OG0000050	AT5G10400	g20560
OG0000050	AT3G27360	g20560
OG0000050	AT1G09200	g18177
OG0000050	AT5G65360	g18177
OG0000050	AT5G10390	g18177
OG0000050	AT5G10400	g18177
OG0000050	AT3G27360	g18177
OG0000050	AT1G09200	g10507
OG0000050	AT5G65360	g10507
OG0000050	AT5G10390	g10507
OG0000050	AT5G10400	g10507
OG0000050	AT3G27360	g10507
OG0000050	AT1G75600	g18502
OG0000051	AT5G08391	g30313
OG0000051	AT3G01950	g25825
OG0000051	AT3G27030	g20499, g22403
OG0000051	AT5G40980	g22404
OG0000051	AT3G01940	g25824
OG0000051	AT3G48660	g16714
OG0000052	AT1G52950	g31228, g09250, g28300, g08592, g15894, g06510, g14072, g30064, g20300, g07837, g26932, g29688, g26933, g27675, g27336, g31384, g31365, g22119, g25594
OG0000053	AT5G21274	g11997
OG0000053	AT5G37780	g22060, g20617
OG0000053	AT4G14640	g23213
OG0000053	AT3G22930	g22774
OG0000053	AT3G56800	g21179
OG0000053	AT3G56800	g24511
OG0000053	AT2G41110, AT2G27030	g26203
OG0000054	AT1G12090	g04868
OG0000054	AT1G62510	g17837
OG0000054	AT4G12520, AT4G12510	g30076, g30075
OG0000054	AT2G45180	g09829
OG0000054	AT4G22460	g14432
OG0000057	AT5G57350	g16820
OG0000057	AT1G17260	g09864
OG0000057	AT3G60330	g05593
OG0000057	AT5G62670	g12266
OG0000057	AT2G24520	g08857
OG0000057	AT1G80660	g01581
OG0000057	AT3G42640	g30478
OG0000057	AT2G07560	g29566
OG0000057	AT4G30190	g04206
OG0000057	AT2G18960	g22678
OG0000060	AT2G28720	g07040
OG0000060	AT5G22880	g27279
OG0000060	AT1G07790	g02444
OG0000060	AT5G02570	g19444
OG0000060	AT3G09480	g06108
OG0000060	AT3G53650	g11373
OG0000060	AT2G37470	g03675
OG0000060	AT5G59910	g10964
OG0000060	AT3G45980	g29037
OG0000060	AT3G46030	g29046
OG0000062	AT3G20080	g29002
OG0000062	AT2G27010, AT2G27000	g26205
OG0000062	AT5G47990	g28278
OG0000062	AT3G20950, AT3G20935, AT3G20940, AT4G15350	g20190
OG0000062	AT3G20960	g11185
OG0000062	AT3G20090	g11083
OG0000062	AT4G15360	g20191
OG0000062	AT2G05180	g08601, g08602
OG0000062	AT3G20120	g11079
OG0000064	AT2G20290	g20861
OG0000064	AT4G28710	g04373
OG0000064	AT5G43900	g17542
OG0000064	AT1G04160	g02046
OG0000064	AT2G31900	g07946
OG0000064	AT1G17580	g25933
OG0000064	AT5G20490	g12071
OG0000064	AT3G58160	g16576
OG0000064	AT1G54560	g30786
OG0000064	AT1G08730	g18228
OG0000065	AT1G20010	g13845
OG0000065	AT5G44340	g28608
OG0000065	AT5G23860	g29092
OG0000065	AT5G62690, AT5G62700	g12769
OG0000066	AT1G24388	g25689
OG0000066	AT1G19060	g13518
OG0000066	AT3G19520	g22530
OG0000066	AT1G27860, AT1G28500	g13008
OG0000066	AT1G23960	g13611
OG0000066	AT1G23950, AT1G23970	g13612, g13610
OG0000066	AT5G41640	g28515
OG0000066	AT3G57210	g21124
OG0000068	AT5G42190	g28323
OG0000068	AT2G25700, AT1G20140	g28073, g28075
OG0000068	AT1G75950	g01147
OG0000068	AT3G60010	g05634
OG0000068	AT3G60020	g05633
OG0000068	AT3G21860, AT3G21830, AT3G21840, AT3G21850	g11296, g11297
OG0000068	AT4G34470, AT4G34210	g31556, g00482
OG0000069	AT3G53730	g02447
OG0000069	AT1G07820	g02447
OG0000069	AT5G59690	g02447
OG0000069	AT3G46320	g02447
OG0000069	AT2G28740	g02447
OG0000069	AT1G07660	g02447
OG0000069	AT3G45930	g02447
OG0000069	AT5G59970	g02447
OG0000069	AT3G53730	g11380
OG0000069	AT1G07820	g11380
OG0000069	AT5G59690	g11380
OG0000069	AT3G46320	g11380
OG0000069	AT2G28740	g11380
OG0000069	AT1G07660	g11380
OG0000069	AT3G45930	g11380
OG0000069	AT5G59970	g11380
OG0000069	AT3G53730	g02427
OG0000069	AT1G07820	g02427
OG0000069	AT5G59690	g02427
OG0000069	AT3G46320	g02427
OG0000069	AT2G28740	g02427
OG0000069	AT1G07660	g02427
OG0000069	AT3G45930	g02427
OG0000069	AT5G59970	g02427
OG0000069	AT3G53730	g12696
OG0000069	AT1G07820	g12696
OG0000069	AT5G59690	g12696
OG0000069	AT3G46320	g12696
OG0000069	AT2G28740	g12696
OG0000069	AT1G07660	g12696
OG0000069	AT3G45930	g12696
OG0000069	AT5G59970	g12696
OG0000069	AT3G53730	g10988
OG0000069	AT1G07820	g10988
OG0000069	AT5G59690	g10988
OG0000069	AT3G46320	g10988
OG0000069	AT2G28740	g10988
OG0000069	AT1G07660	g10988
OG0000069	AT3G45930	g10988
OG0000069	AT5G59970	g10988
OG0000069	AT3G53730	g10955
OG0000069	AT1G07820	g10955
OG0000069	AT5G59690	g10955
OG0000069	AT3G46320	g10955
OG0000069	AT2G28740	g10955
OG0000069	AT1G07660	g10955
OG0000069	AT3G45930	g10955
OG0000069	AT5G59970	g10955
OG0000070	AT4G38860	g02758
OG0000070	AT2G21220	g23929
OG0000070	AT2G18010	g24982
OG0000070	AT4G36110	g03107
OG0000070	AT1G75580	g01101
OG0000070	AT1G19830	g13868
OG0000070	AT2G16580	g31172
OG0000070	AT4G34760	g00451
OG0000071	AT1G21990	g13355
OG0000071	AT2G29930	g24271
OG0000071	AT2G29910	g30656, g30654, g18444
OG0000071	AT1G64540	g26994
OG0000071	AT5G35995	g16306
OG0000071	AT4G27050	g04559, g04557
OG0000071	AT1G48400	g32310
OG0000071	AT1G47920	g04735, g04736, g17492
OG0000071	AT1G48390	g17432
OG0000072	AT2G07505, AT2G06265	g05644
OG0000073	AT1G43760, AT1G40390	g20609, g24953, g08283, g18199, g21535, g18475, g00837, g26679, g28881, g30432, g26392, g26544
OG0000074	AT5G59190	g11051
OG0000074	AT3G46850	g12760, g12761
OG0000074	AT5G59100	g11043
OG0000074	AT5G59130	g11045
OG0000074	AT5G58830	g30274
OG0000074	AT5G58820	g08319
OG0000074	AT5G59090	g11042
OG0000074	AT5G59120	g11044
OG0000076	AT2G02650, AT4G03292	g00907
OG0000076	AT4G09775	g28357
OG0000077	AT2G33060	g03202
OG0000077	AT2G33050	g03198
OG0000077	AT3G25010, AT3G25020, AT3G24982, AT3G24900	g28243, g16470
OG0000077	AT2G32680, AT2G33020	g03154, g03155
OG0000077	AT2G33080	g03194
OG0000078	AT1G20090	g13567
OG0000078	AT1G75840	g01133
OG0000078	AT4G35020	g00426
OG0000078	AT4G35950	g00309
OG0000078	AT2G17800	g25005
OG0000078	AT3G51300	g14899
OG0000079	AT2G25540	g30240
OG0000079	AT4G32410	g00728
OG0000079	AT5G05170	g26050
OG0000079	AT5G44030	g17521
OG0000079	AT5G17420	g00028
OG0000079	AT2G21770	g23985
OG0000079	AT4G39350	g02814
OG0000079	AT5G64740	g07500
OG0000079	AT5G09870	g19159
OG0000080	AT5G54420, AT5G54450	g09399
OG0000080	AT5G52930	g08199
OG0000080	AT5G52940	g08200
OG0000080	AT5G54550, AT5G54560	g09385
OG0000080	AT5G55270	g09297
OG0000080	AT5G55890, AT5G55880	g09237
OG0000080	AT3G43170	g09331, g09336, g09226, g09216, g10937, g30568
OG0000083	AT1G26730	g08067
OG0000083	AT1G35350	g24424
OG0000083	AT1G14040	g04657
OG0000083	AT2G03250	g23619
OG0000083	AT2G03260	g23618
OG0000083	AT2G03240	g13835
OG0000084	AT4G27960	g04459
OG0000084	AT5G53300	g23032
OG0000084	AT5G41700	g28548
OG0000084	AT1G64230	g29756
OG0000084	AT2G16740	g23262
OG0000084	AT5G56150	g23468
OG0000084	AT3G08700	g11730
OG0000084	AT3G08690	g11731
OG0000085	AT1G05080	g02141
OG0000085	AT3G53550	g20362
OG0000086	AT4G25590	g10264
OG0000086	AT1G01750	g01733
OG0000086	AT4G00680	g19785
OG0000086	AT3G46010	g29044
OG0000086	AT5G59890	g10966
OG0000086	AT5G59880	g10967
OG0000086	AT3G45990	g29038
OG0000086	AT3G46000	g29042
OG0000088	AT3G45430	g29875
OG0000088	AT5G60300	g10916
OG0000088	AT5G60270	g10918
OG0000088	AT5G60280	g10917
OG0000088	AT3G45440	g29874, g29877
OG0000088	AT3G45410	g29879
OG0000088	AT3G45420	g29878
OG0000088	AT3G45390, AT3G45330	g29881
OG0000088	AT5G60320	g10915
OG0000089	AT2G06420	g08251, g08250
OG0000090	AT2G29330	g06983, g06982
OG0000090	AT2G30670	g30732
OG0000090	AT2G29310	g06985
OG0000090	AT2G29300, AT2G29320	g06984
OG0000093	AT5G19270	g13143
OG0000093	AT4G03566	g00997, g03059, g16059, g19872, g00198, g20796, g19044, g30925, g18901, g17055, g25726, g31019, g32282, g18629, g29943, g31867, g08581, g25642, g29969, g08733, g02799, g27815, g23373, g17622, g17606, g17901, g04961, g03924, g19527, g25863, g18537, g22098, g21108, g27371, g25655, g19625, g22063, g18289, g25881, g14106, g23788, g23294, g25637, g18888, g31352, g18557, g31356, g24800, g19851, g07113, g26490, g13124, g26939, g22679, g31936, g08561, g26097, g27026, g31193, g06032, g17180, g25875, g28884
OG0000094	AT1G61370	g19843
OG0000094	AT1G61550	g19828, g32109
OG0000094	AT1G61500	g19834
OG0000094	AT1G61430, AT1G61400, AT1G61440	g19838
OG0000094	AT1G61420	g19839
OG0000094	AT1G61460	g19836
OG0000094	AT1G61390	g19841
OG0000094	AT1G61380	g19842
OG0000094	AT1G61360	g19844
OG0000095	AT4G23670	g10463
OG0000095	AT4G23680	g10462
OG0000095	AT3G26460, AT3G26450	g20738
OG0000095	AT1G14960	g10089
OG0000095	AT1G14950	g10090
OG0000095	AT1G14930	g10092
OG0000095	AT1G14940	g10091
OG0000095	AT2G01530, AT4G14060	g21379
OG0000095	AT2G01520	g14536
OG0000096	AT1G58190	g24735
OG0000096	AT3G53240	g20393
OG0000096	AT1G74170	g00957
OG0000096	AT1G74190	g00961, g00960
OG0000096	AT2G25470	g30231
OG0000096	AT1G54470	g30233
OG0000096	AT5G49290	g25109
OG0000097	AT5G30520	g31486, g14300, g18976, g07618, g27798, g31372, g19584, g21946, g21136, g13310, g08521, g29459, g21947, g13309, g21137, g08522, g29460, g30364, g29837, g17539, g26630, g01145, g30402, g31337, g29681, g09223, g30365, g21948, g21138, g08523, g13308, g01144, g30405
OG0000098	AT1G66950	g23302
OG0000098	AT2G36380	g03543
OG0000098	AT2G26910	g29608
OG0000098	AT3G30842	g28224
OG0000098	AT1G15520	g10027
OG0000098	AT1G15210	g31982
OG0000098	AT1G59870	g26652
OG0000098	AT3G16340	g06580
OG0000099	AT1G02430	g28351
OG0000099	AT1G23490	g03787
OG0000099	AT1G70490	g03787
OG0000100	AT3G26616	g19684, g21041
OG0000102	AT4G03740	g06981
OG0000103	AT4G10530, AT4G10520	g25327
OG0000103	AT4G21640, AT4G21630	g21758
OG0000103	AT4G10540	g25325
OG0000103	AT4G10510	g25328
OG0000103	AT4G10550	g25324
OG0000103	AT1G32950	g17624
OG0000103	AT1G32960	g17625
OG0000103	AT1G32940	g17623
OG0000103	AT1G32970	g17626
OG0000104	AT2G41930	g17258
OG0000104	AT2G42550	g17336
OG0000104	AT5G12090	g10679
OG0000104	AT5G27510	g17952
OG0000106	AT1G65200	g27836
OG0000106	AT1G65110	g26082
OG0000106	AT1G65120	g26081
OG0000106	AT1G65130	g26080
OG0000106	AT1G52450, AT1G52430	g15143
OG0000106	AT5G51530	g08387
OG0000106	AT2G27650	g28720
OG0000108	AT3G54700	g11491
OG0000108	AT2G38940	g12450
OG0000108	AT5G43360	g17604
OG0000108	AT5G43350, AT5G43370	g17603, g17607
OG0000109	AT1G50750	g25588, g25590, g25589
OG0000109	AT1G50745, AT1G50770	g25587
OG0000109	AT1G50790	g25585
OG0000109	AT1G48145	g25586
OG0000109	AT4G16050	g30901
OG0000109	AT1G51538	g21932
OG0000109	AT5G18510	g13237, g13236
OG0000109	AT1G50830	g25583, g25581
OG0000110	AT4G16730	g17198
OG0000110	AT4G16740	g17196
OG0000110	AT2G24210	g08793, g08794
OG0000110	AT3G25820, AT3G25830	g19568
OG0000110	AT3G25810	g21052, g19570
OG0000112	AT4G01380	g31407, g19715
OG0000112	AT1G45063	g19703
OG0000113	AT3G58960	g16483
OG0000113	AT3G58980	g16479
OG0000113	AT3G58920	g16477, g22901, g31934, g32120, g16487
OG0000113	AT3G54160	g11434
OG0000113	AT3G62430	g05378, g05344, g05346
OG0000114	AT4G15670, AT4G15660	g20252, g20253
OG0000114	AT4G15700	g20249
OG0000114	AT4G15680	g20251
OG0000115	AT5G17740	g13332
OG0000115	AT5G17750	g13331
OG0000115	AT5G17730	g13335
OG0000115	AT5G17760	g13330
OG0000115	AT2G18193	g24947
OG0000115	AT2G18190	g24948
OG0000115	AT3G50930	g14935
OG0000116	AT5G36680, AT5G36770	g30520
OG0000117	AT2G43510	g29441, g18018
OG0000117	AT2G43535	g18020
OG0000117	AT2G43520	g18019
OG0000119	AT2G43260	g17990, g17991
OG0000119	AT2G43445, AT2G43440	g18009
OG0000119	AT2G43270	g17992
OG0000119	AT2G30615	g30000
OG0000119	AT2G30385	g12485
OG0000120	AT1G01380	g01785
OG0000120	AT5G53200	g23020
