Orthogroup	Arabidopsis_thaliana	Boechera_stricta
OG0000007	AT5G28780	Bostr.21554s0011.1.p, Bostr.23794s0324.1.p, Bostr.9586s0001.1.p, Bostr.15697s0471.1.p
OG0000009	AT5G18880	Bostr.7200s0068.1.p
OG0000009	AT4G05095, AT1G34440, AT5G28615, AT4G04650, AT1G43730, AT5G16486, AT3G25727, AT2G02520	Bostr.12659s0253.1.p
OG0000009	AT3G27590	Bostr.5022s0045.1.p
OG0000011	AT1G69550	Bostr.29044s0010.1.p, Bostr.10273s0423.1.p, Bostr.10273s0410.1.p, Bostr.3877s0008.1.p
OG0000011	AT5G38340, AT5G38350	Bostr.12645s0023.1.p
OG0000011	AT5G11250	Bostr.2570s0335.1.p, Bostr.2570s0342.1.p, Bostr.2570s0295.1.p, Bostr.2570s0292.1.p, Bostr.10267s0002.1.p, Bostr.2570s0346.1.p
OG0000011	AT3G25510	Bostr.19424s0067.1.p
OG0000011	AT3G44670, AT3G44480, AT3G44630, AT3G44400	Bostr.21132s0003.1.p, Bostr.0556s0496.1.p, Bostr.18473s0359.1.p, Bostr.18473s0378.1.p, Bostr.0556s0798.1.p, Bostr.23202s0001.1.p, Bostr.0556s0745.1.p, Bostr.18473s0352.1.p, Bostr.18473s0376.1.p, Bostr.18473s0374.1.p, Bostr.18351s0417.1.p, Bostr.26326s0044.1.p, Bostr.2983s0062.1.p, Bostr.7200s0014.1.p, Bostr.7200s0011.1.p
OG0000011	AT2G14080	Bostr.9686s0011.1.p
OG0000013	AT3G57580, AT3G56890	Bostr.20129s0144.1.p
OG0000013	AT1G47300	Bostr.12302s0061.1.p, Bostr.12302s0147.1.p, Bostr.15654s0099.1.p, Bostr.12302s0166.1.p, Bostr.28830s0002.1.p, Bostr.18308s0001.1.p, Bostr.15654s0096.1.p, Bostr.3877s0013.1.p, Bostr.12302s0165.1.p, Bostr.28830s0001.1.p
OG0000014	AT3G58270	Bostr.20903s0073.1.p
OG0000014	AT2G05420, AT2G05400, AT2G05410	Bostr.3053s0015.1.p
OG0000014	AT3G44805, AT3G44790	Bostr.0556s0770.1.p
OG0000014	AT3G58240	Bostr.20903s0072.1.p
OG0000014	AT3G58360	Bostr.20903s0078.1.p
OG0000014	AT3G58350, AT3G58400	Bostr.20903s0077.1.p
OG0000014	AT1G31400, AT1G31390	Bostr.15697s0453.1.p, Bostr.15697s0452.1.p
OG0000015	AT4G09490	Bostr.13175s0074.1.p, Bostr.22157s0001.1.p, Bostr.30057s0022.1.p, Bostr.25494s0057.1.p, Bostr.25463s0280.1.p, Bostr.3148s0194.1.p, Bostr.13671s0245.1.p, Bostr.29246s0028.1.p, Bostr.7867s0391.1.p, Bostr.3148s0191.1.p, Bostr.17053s0001.1.p, Bostr.0556s0068.1.p, Bostr.7903s0152.1.p, Bostr.10273s0354.1.p, Bostr.5763s0029.1.p, Bostr.3053s0006.1.p, Bostr.26959s0380.1.p, Bostr.7305s0008.1.p
OG0000015	AT3G26855	Bostr.1109s0001.1.p, Bostr.10040s0283.1.p
OG0000015	AT1G10000	Bostr.0568s0220.1.p, Bostr.2983s0165.1.p, Bostr.18351s0367.1.p, Bostr.0556s0102.1.p
OG0000016	AT4G13790	Bostr.9017s0030.1.p
OG0000016	AT4G38850	Bostr.25542s0065.1.p
OG0000016	AT4G38825	Bostr.25542s0062.1.p
OG0000016	AT3G03840	Bostr.2570s0291.1.p, Bostr.2570s0294.1.p, Bostr.2570s0347.1.p
OG0000016	AT3G03820	Bostr.9574s0001.1.p
OG0000016	AT3G03850	Bostr.2570s0340.1.p, Bostr.2570s0325.1.p, Bostr.2570s0330.1.p, Bostr.2570s0281.1.p, Bostr.2570s0345.1.p
OG0000016	AT3G03847	Bostr.2570s0341.1.p, Bostr.2570s0334.1.p, Bostr.2570s0293.1.p, Bostr.2570s0282.1.p, Bostr.2570s0339.1.p, Bostr.2570s0331.1.p, Bostr.2570s0326.1.p
OG0000016	AT5G18030	Bostr.26527s0410.1.p
OG0000016	AT5G18050, AT5G18060	Bostr.26527s0411.1.p
OG0000016	AT5G18010	Bostr.26527s0405.1.p
OG0000017	AT1G46840, AT1G46912	Bostr.12302s0140.1.p, Bostr.15654s0085.1.p
OG0000017	AT3G49450	Bostr.18473s0005.1.p
OG0000017	AT3G10990	Bostr.19424s1031.1.p
OG0000017	AT3G23960	Bostr.7867s1381.1.p
OG0000017	AT5G44345	Bostr.29223s0124.1.p
OG0000017	AT5G65850	Bostr.0568s0200.1.p
OG0000018	AT5G41750, AT5G41740, AT5G41550	Bostr.7200s0138.1.p, Bostr.7200s0175.1.p, Bostr.7200s0118.1.p, Bostr.7200s0177.1.p, Bostr.7200s0167.1.p, Bostr.7200s0100.1.p, Bostr.25375s0030.1.p, Bostr.7200s0099.1.p, Bostr.25375s0028.1.p, Bostr.7200s0180.1.p
OG0000018	AT1G56540	Bostr.8169s0018.1.p, Bostr.8169s0020.1.p, Bostr.8169s0027.1.p
OG0000018	AT1G56510	Bostr.30057s0091.1.p, Bostr.8169s0019.1.p, Bostr.12938s0002.1.p, Bostr.8169s0026.1.p, Bostr.8169s0030.1.p, Bostr.8169s0021.1.p
OG0000018	AT1G56520	Bostr.0124s0150.1.p
OG0000018	AT5G38850	Bostr.17775s0013.1.p
OG0000018	AT1G63740	Bostr.2199s0024.1.p
OG0000018	AT1G63880	Bostr.8169s0059.1.p, Bostr.8169s0058.1.p, Bostr.29223s0155.1.p, Bostr.29223s0031.1.p, Bostr.29223s0172.1.p, Bostr.29044s0113.1.p, Bostr.29223s0033.1.p, Bostr.29223s0024.1.p, Bostr.29223s0198.1.p, Bostr.29223s0029.1.p, Bostr.29223s0183.1.p, Bostr.29223s0151.1.p, Bostr.29223s0147.1.p, Bostr.29223s0184.1.p, Bostr.29223s0181.1.p, Bostr.29223s0160.1.p, Bostr.29223s0114.1.p, Bostr.29223s0121.1.p, Bostr.29223s0162.1.p, Bostr.29223s0026.1.p, Bostr.29223s0027.1.p
OG0000019	AT2G28970	Bostr.27991s0023.1.p
OG0000019	AT1G51850	Bostr.26675s0016.1.p
OG0000019	AT1G51820	Bostr.26675s0017.1.p
OG0000019	AT5G59670, AT5G59660	Bostr.26833s0271.1.p
OG0000019	AT4G20450	Bostr.12659s0011.1.p
OG0000019	AT2G28960	Bostr.27991s0024.1.p
OG0000019	AT2G29000	Bostr.26833s0919.1.p
OG0000019	AT1G07560	Bostr.25219s0205.1.p
OG0000023	AT1G14315	Bostr.13671s0021.1.p
OG0000023	AT1G11270	Bostr.3227s0001.1.p
OG0000023	AT1G09650, AT1G12490, AT5G16285	Bostr.12659s0297.1.p
OG0000024	AT1G58390, AT1G58400, AT1G58410	Bostr.10040s0277.1.p, Bostr.10040s0332.1.p, Bostr.10040s0017.1.p, Bostr.10040s0312.1.p, Bostr.10040s0304.1.p, Bostr.10040s0300.1.p, Bostr.10040s0324.1.p, Bostr.7200s0195.1.p, Bostr.10040s0334.1.p, Bostr.25375s0006.1.p, Bostr.10040s0305.1.p, Bostr.10040s0313.1.p, Bostr.10040s0328.1.p, Bostr.10040s0322.1.p
OG0000024	AT1G59620	Bostr.30057s0071.1.p
OG0000024	AT1G53350	Bostr.0124s0128.1.p
OG0000024	AT5G35450, AT5G48620, AT5G43470	Bostr.0556s0548.1.p
OG0000025	AT5G42567, AT5G34882, AT5G34905, AT5G34881, AT5G34887, AT5G34885, AT5G34883, AT5G34908, AT5G42955, AT5G42957, AT3G30383, AT3G30387, AT3G30385	Bostr.3148s0185.1.p, Bostr.29998s0001.1.p, Bostr.3148s0186.1.p, Bostr.3148s0188.1.p, Bostr.3148s0187.1.p
OG0000025	AT1G45223, AT1G45221, AT1G45215, AT1G57760, AT1G57775, AT1G57777, AT3G44115, AT4G08025, AT4G07515	Bostr.0556s0766.1.p, Bostr.0556s0767.1.p, Bostr.0556s0765.1.p, Bostr.13404s0014.1.p, Bostr.30057s0043.1.p, Bostr.13404s0013.1.p, Bostr.26675s0106.1.p, Bostr.3148s0189.1.p, Bostr.30057s0042.1.p, Bostr.30057s0037.1.p, Bostr.30057s0036.1.p, Bostr.30057s0035.1.p
OG0000029	AT3G28410, AT5G02700	Bostr.2128s0162.1.p
OG0000029	AT3G03360	Bostr.9345s0063.1.p
OG0000029	AT5G02910	Bostr.2128s0174.1.p
OG0000030	AT1G63070, AT1G63080	Bostr.29223s0186.1.p, Bostr.0597s0124.1.p
OG0000030	AT1G63150, AT1G62910, AT1G63330, AT1G62590, AT1G63400, AT1G62914	Bostr.29223s0187.1.p
OG0000031	AT2G26860	Bostr.0556s0648.1.p, Bostr.29505s0015.1.p
OG0000031	AT5G60610	Bostr.26833s0178.1.p
OG0000031	AT5G38590	Bostr.17584s0015.1.p, Bostr.25219s0531.1.p, Bostr.17584s0014.1.p, Bostr.9638s0123.1.p
OG0000031	AT3G54910	Bostr.0697s0107.1.p
OG0000032	AT1G67000	Bostr.19549s0001.1.p, Bostr.26959s0210.1.p
OG0000032	AT1G36005	Bostr.26959s0220.1.p
OG0000032	AT1G66920	Bostr.26959s0222.1.p, Bostr.26959s0237.1.p
OG0000032	AT1G66910	Bostr.26959s0229.1.p, Bostr.26959s0228.1.p
OG0000033	AT1G63350	Bostr.29223s0212.1.p, Bostr.10040s0165.1.p, Bostr.29223s0213.1.p, Bostr.22157s0155.1.p, Bostr.9600s0006.1.p, Bostr.22157s0076.1.p, Bostr.22157s0029.1.p, Bostr.22157s0080.1.p, Bostr.22157s0070.1.p, Bostr.22157s0051.1.p, Bostr.22157s0073.1.p, Bostr.22157s0072.1.p, Bostr.22157s0081.1.p, Bostr.22157s0075.1.p
OG0000033	AT1G12280	Bostr.13671s0231.1.p
OG0000033	AT1G12210	Bostr.15774s0296.1.p, Bostr.13671s0229.1.p, Bostr.26675s0327.1.p, Bostr.26675s0378.1.p, Bostr.26675s0377.1.p, Bostr.13671s0240.1.p
OG0000033	AT1G12290	Bostr.13671s0230.1.p
OG0000037	AT3G53750, AT2G37620	Bostr.23794s0315.1.p, Bostr.11793s0017.1.p
OG0000037	AT3G18780, AT1G49240	Bostr.26675s0249.1.p
OG0000037	AT2G42170	Bostr.25463s0388.1.p, Bostr.25463s0389.1.p
OG0000037	AT2G42100	Bostr.25993s0568.1.p
OG0000037	AT3G12110	Bostr.19424s1148.1.p
OG0000037	AT5G59370	Bostr.26833s0307.1.p
OG0000037	AT5G09810	Bostr.3359s0051.1.p, Bostr.13129s0011.1.p
OG0000038	AT3G26920	Bostr.0556s0362.1.p
OG0000038	AT1G55030	Bostr.13404s0040.1.p, Bostr.6192s0005.1.p, Bostr.25375s0027.1.p
OG0000038	AT3G51530	Bostr.6864s0092.1.p
OG0000038	AT3G49020	Bostr.8819s0183.1.p
OG0000039	AT4G11470	Bostr.25463s0206.1.p, Bostr.25463s0175.1.p
OG0000040	AT3G12203	Bostr.19424s1163.1.p
OG0000040	AT3G12230, AT3G12240	Bostr.19424s1118.1.p
OG0000040	AT2G22980	Bostr.30275s0249.1.p
OG0000040	AT2G23000	Bostr.21942s0009.1.p
OG0000040	AT2G23010	Bostr.21942s0010.1.p
OG0000040	AT3G10450	Bostr.22252s0018.1.p
OG0000040	AT5G36180, AT1G73300	Bostr.10273s0027.1.p
OG0000042	AT5G38390, AT5G38386	Bostr.12645s0008.1.p, Bostr.12645s0016.1.p, Bostr.12645s0017.1.p, Bostr.12645s0015.1.p, Bostr.12645s0006.1.p
OG0000042	AT1G52650, AT4G13960, AT5G38396, AT5G38392	Bostr.12645s0010.1.p, Bostr.12645s0014.1.p
OG0000042	AT3G58820	Bostr.15774s0042.1.p
OG0000042	AT3G58860	Bostr.20903s0148.1.p
OG0000042	AT3G58880	Bostr.20903s0127.1.p
OG0000042	AT3G03040, AT3G03030	Bostr.19046s0015.1.p
OG0000042	AT3G58930	Bostr.20903s0054.1.p
OG0000042	AT3G58950	Bostr.18473s0321.1.p
OG0000043	AT5G20480	Bostr.26527s0156.1.p
OG0000043	AT3G47570	Bostr.18473s0210.1.p
OG0000044	AT3G46950	Bostr.18473s0264.1.p
OG0000044	AT1G61960	Bostr.22157s0170.1.p
OG0000044	AT1G61990	Bostr.22157s0137.1.p
OG0000044	AT1G62150	Bostr.22157s0134.1.p
OG0000044	AT1G56380	Bostr.22157s0145.1.p, Bostr.22157s0163.1.p
OG0000044	AT1G62110, AT1G62085	Bostr.22157s0138.1.p
OG0000044	AT1G61970	Bostr.22157s0162.1.p
OG0000044	AT1G61980	Bostr.22157s0161.1.p, Bostr.22157s0166.1.p
OG0000044	AT1G62490	Bostr.22157s0091.1.p
OG0000045	AT4G23270, AT4G23280	Bostr.7867s0124.1.p
OG0000045	AT4G23310	Bostr.7867s0126.1.p, Bostr.7867s0129.1.p
OG0000045	AT4G23130	Bostr.7867s0103.1.p
OG0000045	AT4G23180	Bostr.7867s0109.1.p, Bostr.7867s0121.1.p
OG0000045	AT4G23140	Bostr.7867s0105.1.p
OG0000045	AT4G23230	Bostr.25542s0087.1.p
OG0000046	AT4G36150	Bostr.7867s1479.1.p
OG0000046	AT4G19530, AT3G51570	Bostr.30275s0434.1.p
OG0000046	AT5G45060	Bostr.5342s0008.1.p
OG0000046	AT5G45250	Bostr.25599s0001.1.p
OG0000046	AT5G45200	Bostr.8819s0016.1.p
OG0000046	AT2G17060	Bostr.8819s0008.1.p
OG0000048	AT4G00155	Bostr.15774s0297.1.p, Bostr.13083s0058.1.p, Bostr.25463s0305.1.p
OG0000049	AT1G42710	Bostr.3148s0133.1.p
OG0000049	AT3G31402	Bostr.26326s0059.1.p
OG0000049	AT1G41920, AT2G06541, AT3G29450	Bostr.19424s0075.1.p, Bostr.19424s0484.1.p, Bostr.9586s0002.1.p
OG0000050	AT1G19890	Bostr.7128s0589.1.p
OG0000050	AT5G10980, AT4G40040	Bostr.13175s0006.1.p, Bostr.25542s0196.1.p, Bostr.25542s0197.1.p, Bostr.3288s0212.1.p
OG0000050	AT5G12910	Bostr.2902s0027.1.p
OG0000051	AT5G08391	Bostr.13129s0120.1.p
OG0000051	AT3G01950	Bostr.1460s0018.1.p
OG0000051	AT5G14110	Bostr.2902s0148.1.p
OG0000051	AT3G27030	Bostr.0556s0377.1.p, Bostr.7200s0107.1.p
OG0000051	AT3G27027	Bostr.0556s0376.1.p
OG0000051	AT5G40980	Bostr.7200s0108.1.p
OG0000051	AT3G01940	Bostr.1460s0019.1.p
OG0000051	AT5G50660, AT5G50560	Bostr.15774s0205.1.p
OG0000051	AT3G48660	Bostr.18473s0087.1.p
OG0000051	AT5G63500	Bostr.0568s0461.1.p
OG0000052	AT1G52950	Bostr.0556s0567.1.p, Bostr.24513s0206.1.p
OG0000053	AT3G43810, AT5G21274	Bostr.26527s0092.1.p, Bostr.0556s0690.1.p
OG0000053	AT5G37780	Bostr.26959s0277.1.p
OG0000053	AT2G41090, AT1G66410	Bostr.9638s0097.1.p
OG0000053	AT4G14640	Bostr.0597s0077.1.p
OG0000053	AT3G22930	Bostr.19424s0367.1.p
OG0000053	AT3G56800	Bostr.29505s0034.1.p
OG0000053	AT2G41110, AT2G27030	Bostr.9345s0021.1.p, Bostr.20505s0073.1.p
OG0000054	AT1G12090	Bostr.13671s0250.1.p
OG0000054	AT1G62510	Bostr.22157s0089.1.p
OG0000054	AT4G12520, AT4G12510	Bostr.25463s0062.1.p
OG0000054	AT2G45180	Bostr.25993s0256.1.p
OG0000054	AT4G12550, AT4G12545	Bostr.18060s0001.1.p
OG0000054	AT4G22460	Bostr.7867s0025.1.p
OG0000057	AT5G57350	Bostr.26833s0521.1.p
OG0000057	AT1G17260	Bostr.7128s0336.1.p
OG0000057	AT3G60330	Bostr.13158s0024.1.p
OG0000057	AT5G62670	Bostr.0568s0540.1.p
OG0000057	AT3G47950	Bostr.18473s0157.1.p
OG0000057	AT2G24520	Bostr.27895s0035.1.p
OG0000057	AT1G80660	Bostr.20129s0447.1.p
OG0000057	AT3G42640	Bostr.0556s0646.1.p
OG0000057	AT2G07560	Bostr.24399s0004.1.p
OG0000057	AT4G30190	Bostr.7867s0870.1.p
OG0000057	AT2G18960	Bostr.18351s0364.1.p
OG0000060	AT5G22880	Bostr.10199s0157.1.p
OG0000060	AT1G07790	Bostr.25219s0168.1.p
OG0000060	AT5G02570	Bostr.6251s0013.1.p
OG0000060	AT3G53650	Bostr.23794s0337.1.p
OG0000060	AT5G59910	Bostr.26833s0243.1.p
OG0000060	AT3G45980	Bostr.18473s0337.1.p, Bostr.18473s0341.1.p
OG0000062	AT3G20080	Bostr.19424s0654.1.p
OG0000062	AT3G20960	Bostr.19424s0553.1.p
OG0000062	AT3G20090	Bostr.19424s0653.1.p
OG0000062	AT3G20120	Bostr.19424s0651.1.p
OG0000062	AT3G20110	Bostr.19424s0652.1.p
OG0000062	AT3G20100	Bostr.23794s0651.1.p
OG0000064	AT2G20290	Bostr.7903s0140.1.p
OG0000064	AT4G28710	Bostr.7867s0716.1.p
OG0000064	AT1G04160	Bostr.26675s0339.1.p
OG0000064	AT2G31900	Bostr.24513s0034.1.p
OG0000064	AT1G17580	Bostr.7128s0368.1.p
OG0000064	AT5G20490	Bostr.26527s0155.1.p
OG0000064	AT3G58160	Bostr.20903s0067.1.p
OG0000064	AT1G54560	Bostr.13404s0031.1.p
OG0000064	AT1G08730	Bostr.25219s0072.1.p
OG0000065	AT1G75780	Bostr.20129s0012.1.p
OG0000065	AT1G20010	Bostr.7128s0600.1.p
OG0000065	AT5G44340	Bostr.3148s0022.1.p
OG0000065	AT4G20890	Bostr.10689s0041.1.p
OG0000065	AT5G12250	Bostr.20055s0004.1.p
OG0000065	AT5G23860	Bostr.10199s0050.1.p
OG0000065	AT2G29550	Bostr.27991s0217.1.p
OG0000065	AT5G62690, AT5G62700	Bostr.0568s0538.1.p
OG0000068	AT5G42190	Bostr.22495s0005.1.p
OG0000068	AT2G25700, AT1G20140	Bostr.7128s0617.1.p, Bostr.5022s0141.1.p
OG0000068	AT1G75950	Bostr.20129s0032.1.p
OG0000068	AT3G60010	Bostr.29344s0008.1.p
OG0000068	AT3G53060, AT3G60020	Bostr.29344s0009.1.p
OG0000068	AT3G21860, AT3G21830, AT3G21840, AT3G21850, AT4G34470, AT4G34210	Bostr.7867s1306.1.p
OG0000070	AT4G38860	Bostr.25542s0066.1.p
OG0000070	AT2G21220	Bostr.5022s0115.1.p
OG0000070	AT2G18010	Bostr.18351s0268.1.p
OG0000070	AT4G36110	Bostr.7867s1475.1.p
OG0000070	AT1G75580	Bostr.3288s0210.1.p
OG0000070	AT1G19830	Bostr.7128s0580.1.p
OG0000070	AT2G16580	Bostr.18351s0119.1.p
OG0000070	AT4G34760	Bostr.7867s1336.1.p
OG0000071	AT2G29930	Bostr.3640s0075.1.p
OG0000071	AT1G48400	Bostr.10689s0118.1.p
OG0000071	AT1G47920	Bostr.4635s0001.1.p
OG0000072	AT3G30165	Bostr.18351s0003.1.p, Bostr.29505s0010.1.p
OG0000073	AT1G43760, AT1G40390	Bostr.26959s0420.1.p
OG0000074	AT5G59190	Bostr.26833s0325.1.p
OG0000074	AT3G46840, AT3G46850	Bostr.18473s0275.1.p
OG0000074	AT5G59100	Bostr.26833s0334.1.p
OG0000074	AT5G58830	Bostr.26833s0363.1.p
OG0000074	AT5G58820	Bostr.26833s0364.1.p
OG0000074	AT5G59120	Bostr.26833s0331.1.p
OG0000074	AT5G59110	Bostr.26833s0332.1.p
OG0000076	AT2G02650, AT4G03292, AT4G09775	Bostr.7903s0085.1.p
OG0000077	AT2G33050	Bostr.23794s0796.1.p
OG0000077	AT3G25010, AT3G25020, AT3G24982, AT3G24900	Bostr.8819s0003.1.p
OG0000077	AT2G33080	Bostr.10199s0149.1.p
OG0000078	AT1G20090	Bostr.7128s0610.1.p
OG0000078	AT1G75840	Bostr.20129s0021.1.p
OG0000078	AT4G35020	Bostr.7867s1361.1.p
OG0000078	AT5G45970	Bostr.8819s0127.1.p
OG0000078	AT4G35950	Bostr.7867s1460.1.p
OG0000079	AT2G25540	Bostr.26326s0105.1.p
OG0000079	AT4G32410	Bostr.7867s1095.1.p
OG0000079	AT5G05170	Bostr.13129s0448.1.p
OG0000079	AT5G44030	Bostr.3148s0056.1.p
OG0000079	AT5G17420	Bostr.26527s0472.1.p
OG0000079	AT4G39350	Bostr.25542s0122.1.p
OG0000079	AT5G64740	Bostr.0568s0321.1.p
OG0000079	AT5G09870	Bostr.13129s0005.1.p
OG0000080	AT5G54550, AT5G54560	Bostr.26833s0830.1.p
OG0000080	AT5G53230, AT5G53240, AT5G55270, AT5G55890, AT5G55880	Bostr.14511s0001.1.p
OG0000083	AT4G25350	Bostr.7867s0344.1.p
OG0000083	AT1G26730	Bostr.12659s0327.1.p
OG0000083	AT1G35350	Bostr.1774s0033.1.p
OG0000083	AT1G14040	Bostr.13671s0049.1.p
OG0000083	AT2G03250	Bostr.0556s0141.1.p
OG0000083	AT2G03260	Bostr.0556s0142.1.p
OG0000083	AT2G03240	Bostr.0556s0140.1.p
OG0000084	AT4G27960	Bostr.7867s0627.1.p
OG0000084	AT5G53300	Bostr.26833s0951.1.p
OG0000084	AT5G41700	Bostr.7200s0198.1.p
OG0000084	AT1G64230	Bostr.29223s0081.1.p, Bostr.29223s0086.1.p, Bostr.29223s0099.1.p, Bostr.29223s0097.1.p
OG0000084	AT2G16740	Bostr.18351s0135.1.p
OG0000084	AT5G56150	Bostr.26833s0648.1.p
OG0000084	AT3G08690	Bostr.22252s0201.1.p
OG0000085	AT5G44850	Bostr.29514s0020.1.p
OG0000085	AT3G53550	Bostr.3853s0001.1.p
OG0000086	AT4G25590	Bostr.7867s0370.1.p
OG0000086	AT5G52360	Bostr.7305s0032.1.p
OG0000086	AT1G01750	Bostr.5325s0099.1.p
OG0000086	AT4G00680	Bostr.10064s0040.1.p
OG0000086	AT3G46010	Bostr.18473s0339.1.p
OG0000086	AT5G59880	Bostr.26833s0246.1.p
OG0000086	AT3G46000	Bostr.18473s0340.1.p
OG0000087	AT2G16040	Bostr.10199s0085.1.p
OG0000088	AT3G45430	Bostr.18473s0382.1.p
OG0000088	AT5G60310	Bostr.26833s0207.1.p
OG0000088	AT5G60300	Bostr.26833s0208.1.p
OG0000088	AT5G60270	Bostr.20905s0001.1.p
OG0000088	AT5G60280	Bostr.26833s0209.1.p
OG0000088	AT3G45440	Bostr.18473s0381.1.p
OG0000088	AT3G45410	Bostr.18473s0384.1.p
OG0000088	AT3G45420	Bostr.18473s0383.1.p
OG0000088	AT3G45390, AT3G45330	Bostr.18473s0386.1.p
OG0000089	AT2G06420	Bostr.26527s0460.1.p, Bostr.13083s0051.1.p, Bostr.29827s0219.1.p, Bostr.13129s0037.1.p, Bostr.10273s0348.1.p, Bostr.1040s0053.1.p, Bostr.26959s0421.1.p, Bostr.24513s0035.1.p, Bostr.29044s0112.1.p, Bostr.15654s0018.1.p, Bostr.24399s0021.1.p, Bostr.18351s0044.1.p
OG0000090	AT2G30670	Bostr.24513s0167.1.p
OG0000090	AT2G29340	Bostr.27991s0191.1.p
OG0000090	AT2G29300, AT2G29320	Bostr.27991s0189.1.p
OG0000093	AT4G03566	Bostr.18473s0155.1.p
OG0000094	AT1G61370	Bostr.10040s0054.1.p
OG0000094	AT1G61550	Bostr.6411s0001.1.p
OG0000094	AT1G61490	Bostr.10040s0037.1.p, Bostr.10040s0039.1.p
