Orthogroup	Arabidopsis_thaliana	Brassica_oleracea
OG0000014	AT3G58350, AT3G58400	Bo04151s010, Bo6g074680, Bo6g074650
OG0000014	AT1G31400, AT1G31390, AT1G31370, AT1G31380, AT3G27040, AT2G01790	Bo3g173530
OG0000015	AT4G09490	Bo3g101130, Bo01401s010, Bo01374s030, Bo1g006200, Bo9g003880, Bo2g048020, Bo1g011240, Bo7g081940, Bo7g043670, Bo9g169070, Bo7g084160, Bo5g122960, Bo2g044710, Bo6g003320, Bo6g077530, Bo3g149540, Bo7g012760, Bo8g066400, Bo09761s010, Bo6g079980, Bo4g151120, Bo5g082620, Bo8g092440, Bo2g146200, Bo6g098820, Bo7g107020, Bo8g079590, Bo6g116240, Bo1g117530, Bo3g026390, Bo3g034990, Bo7g091410, Bo5g002940, Bo5g018120, Bo2g134280, Bo8g101790, Bo6g027930, Bo7g056040, Bo7g062130, Bo7g108970
OG0000015	AT3G26855	Bo3g138660, Bo7g089660, Bo1g056570, Bo6g018180, Bo8g079450, Bo00802s040, Bo23988s010, Bo9g181120, Bo8g004710, Bo1g002140, Bo3g021730, Bo8g097790, Bo01477s010, Bo8g108860, Bo6g116300, Bo13088s010, Bo9g163030, Bo4g182830, Bo2g155290, Bo8g117440, Bo1g150030, Bo8g096220, Bo3g037390, Bo2g014220, Bo12018s010, Bo1g144790, Bo1g034400, Bo2g166320, Bo00790s050
OG0000015	AT1G10000	Bo6g124260, Bo2g140430, Bo3g107950, Bo8g059050, Bo8g017960, Bo9g058680, Bo1g141260, Bo9g148420, Bo3g018050, Bo5g145410, Bo3g062180, Bo8g095250, Bo4g136310, Bo8g102750, Bo1g103780, Bo9g028060, Bo1g003360, Bo3g078900, Bo6g003570, Bo5g009410, Bo3g154000, Bo7g063540, Bo9g093910, Bo7g002130, Bo6g065160, Bo6g039980, Bo6g066390, Bo6g034500, Bo7g110670, Bo1g004950, Bo9g141270, Bo8g117180, Bo3g002540, Bo4g179370, Bo1g013170, Bo8g019360, Bo6g092600, Bo7g041140
OG0000016	AT4G13790	Bo4g130720
OG0000016	AT4G38850	Bo7g119570
OG0000016	AT5G18080, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18010	Bo2g136220, Bo2g014130, Bo9g157520, Bo2g136240, Bo2g014270, Bo2g014230, Bo2g014190, Bo3g012950, Bo2g014170, Bo2g014140, Bo2g014210, Bo3g012870, Bo2g014250, Bo3g012900, Bo3g012920, Bo9g159650, Bo9g157510, Bo9g157550, Bo9g158570, Bo3g012890, Bo2g136210, Bo2g014160
OG0000017	AT1G46984	Bo5g093440, Bo5g090520, Bo3g040540
OG0000017	AT3G49450	Bo8g077820, Bo8g077790, Bo8g077800
OG0000017	AT2G31470	Bo9g176950, Bo9g176970, Bo4g176340, Bo4g176330
OG0000017	AT3G10990, AT3G23960	Bo4g177740, Bo4g177950, Bo4g188690, Bo4g177940, Bo4g178000, Bo4g177770, Bo1g104890, Bo5g131630, Bo4g177930, Bo4g177960, Bo4g178010, Bo4g177780, Bo4g179270, Bo4g177750, Bo4g177810, Bo5g003710, Bo4g195170, Bo4g169460, Bo4g178020
OG0000017	AT5G44345, AT5G65850	Bo00944s010
OG0000018	AT5G41540	Bo6g065250
OG0000018	AT5G35510	Bo4g142160
OG0000018	AT1G63740, AT1G63730	Bo9g029350, Bo9g035320, Bo9g035300, Bo9g035360
OG0000018	AT1G63870	Bo9g034100
OG0000018	AT1G63860	Bo9g034110
OG0000018	AT2G16870, AT1G64070	Bo4g096860
OG0000019	AT2G28990	Bo4g066920
OG0000019	AT1G49100	Bo6g042340
OG0000019	AT3G21340	Bo3g078550
OG0000019	AT1G51805	Bo6g042330, Bo6g026350, Bo8g059690
OG0000019	AT5G59670, AT5G59660	Bo3g017830
OG0000019	AT5G59650	Bo2g026580, Bo9g140650
OG0000019	AT3G46340	Bo6g118790, Bo3g131510
OG0000019	AT4G20450	Bo3g162240
OG0000019	AT2G28960, AT2G29000	Bo4g167990
OG0000019	AT2G14440, AT2G14510	Bo5g008290
OG0000019	AT1G07560	Bo8g113980
OG0000023	AT5G10340	Bo5g041310, Bo5g041300, Bo5g041270
OG0000023	AT1G11270	Bo8g109220, Bo8g108970, Bo2g137160, Bo2g137180, Bo01367s010, Bo3g162480
OG0000023	AT1G09650, AT1G12490, AT5G16285	Bo7g093630
OG0000024	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848, AT1G58390, AT1G58400, AT1G58410	Bo1g087950, Bo9g048820
OG0000024	AT1G59620	Bo9g008940, Bo1g090360
OG0000025	AT5G42567, AT5G34882, AT5G34905, AT5G34881, AT5G34887, AT5G34885, AT5G34883, AT5G34908, AT5G42955, AT5G42957, AT3G30383, AT3G30387, AT3G30385	Bo9g085730, Bo9g085780, Bo9g085770, Bo9g085750, Bo9g085760, Bo9g085740, Bo9g086860, Bo9g086870, Bo9g086850
OG0000026	AT3G30730	Bo2g037570, Bo3g146360
OG0000029	AT5G03100	Bo6g087940
OG0000029	AT3G28410, AT5G02700	Bo7g009860, Bo3g002060
OG0000029	AT2G39415, AT1G49610, AT3G03360	Bo4g025430
OG0000029	AT5G02930, AT5G02920	Bo1g087640, Bo9g053310, Bo9g053300, Bo9g053320, Bo9g053280
OG0000029	AT5G02910	Bo9g183270
OG0000030	AT1G63070, AT1G63080, AT1G62930, AT1G63130, AT1G63320, AT1G62670	Bo5g088340
OG0000031	AT2G26860	Bo3g041970, Bo4g157420, Bo01239s010
OG0000031	AT5G38570, AT5G38565, AT5G38580, AT5G38590	Bo6g042410, Bo5g081350, Bo4g137360, Bo3g025250
OG0000031	AT3G54910	Bo01080s020, Bo9g070180, Bo9g124850, Bo8g089830, Bo8g087200, Bo8g089930, Bo8g089910, Bo8g089900, Bo8g089820, Bo8g087170, Bo8g089840, Bo8g089920, Bo8g087180, Bo8g087190, Bo8g089810
OG0000032	AT1G36005, AT1G66920	Bo2g055200, Bo02126s010, Bo2g055150, Bo6g103470, Bo6g102400
OG0000032	AT1G66910	Bo2g054020, Bo6g102390, Bo1g053730
OG0000033	AT1G62630, AT1G63360, AT1G63350	Bo9g028510, Bo4g142510, Bo9g037090, Bo1g094260, Bo9g037120
OG0000033	AT1G12280	Bo8g062680, Bo6g010640
OG0000033	AT1G12210	Bo5g017050, Bo5g016990, Bo8g108270, Bo8g107600
OG0000033	AT1G12220	Bo8g062620, Bo8g062630
OG0000033	AT1G12290	Bo8g108280
OG0000034	ATMG00300	Bo1g078360
OG0000034	ATMG00710	Bo3g089900
OG0000037	AT3G53750, AT2G37620	Bo4g121630, Bo8g083100, Bo4g187100, Bo4g030350, Bo3g031870, Bo1g040130
OG0000037	AT3G18780	Bo1g116200
OG0000037	AT3G18780	Bo5g117040
OG0000037	AT3G12110	Bo5g134740
OG0000037	AT3G46520, AT5G59370	Bo3g018230, Bo3g117300
OG0000037	AT5G09810	Bo6g049540, Bo6g049530, Bo9g173750, Bo3g005290, Bo2g009550
OG0000038	AT3G26920, AT3G26930	Bo7g084030, Bo7g084040, Bo7g084020
OG0000038	AT3G26922	Bo9g008040
OG0000038	AT1G55030	Bo9g008050
OG0000038	AT3G51530	Bo5g049130
OG0000038	AT3G52680, AT4G00160	Bo8g082120
OG0000038	AT3G49020, AT3G49040, AT2G04230, AT3G49030	Bo4g161340, Bo4g161360, Bo4g197420
OG0000039	AT4G23210	Bo7g104540
OG0000039	AT4G23190	Bo6g048250, Bo1g031850, Bo3g165690, Bo3g165700, Bo1g031830, Bo7g108650
OG0000039	AT4G23220	Bo3g084330
OG0000039	AT4G11460	Bo1g033180
OG0000039	AT4G11480, AT4G11470	Bo2g155630
OG0000040	AT3G12230, AT3G12240	Bo7g042340, Bo5g064350, Bo1g139480
OG0000040	AT2G22980	Bo4g139760, Bo4g151230
OG0000040	AT2G23000	Bo8g100760
OG0000040	AT3G10450	Bo5g137400, Bo4g139150
OG0000040	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270	Bo6g116690, Bo6g087890, Bo6g087850
OG0000042	AT3G59000, AT5G38390, AT5G38386, AT5G38391, AT1G52650, AT4G13960, AT5G38396, AT5G38392, AT3G58820, AT3G58910	Bo6g076130, Bo1g116040, Bo4g025310, Bo02116s010
OG0000042	AT3G58860	Bo4g108170
OG0000042	AT3G03040, AT3G03030	Bo1g154960
OG0000042	AT3G58940, AT3G58930	Bo8g100100, Bo3g026620
OG0000043	AT3G47110	Bo3g134260
OG0000043	AT5G20480	Bo9g151860, Bo3g015190
OG0000044	AT3G46950	Bo3g134070
OG0000044	AT1G61990	Bo4g090390, Bo1g098790
OG0000044	AT1G62150, AT1G62010, AT1G62120	Bo01976s010, Bo9g040770, Bo9g040790, Bo4g091420, Bo1g098770
OG0000044	AT1G56380	Bo4g107670, Bo4g091490
OG0000045	AT4G23270, AT4G23280, AT4G23310, AT3G45860	Bo1g034330, Bo1g034430
OG0000045	AT4G23130	Bo3g165780
OG0000045	AT4G23180	Bo7g108570, Bo7g108550, Bo1g033170, Bo8g030610
OG0000045	AT4G23230	Bo7g106580, Bo7g108580, Bo7g108560, Bo8g101290
OG0000046	AT4G36150	Bo3g154220, Bo7g117810
OG0000046	AT4G19530	Bo7g106700
OG0000046	AT3G51570	Bo8g081460
OG0000046	AT5G45060, AT5G45250	Bo9g061260
OG0000046	AT5G17880	Bo2g014060, Bo9g159740
OG0000046	AT2G17060	Bo9g061330, Bo3g092100
OG0000048	AT4G00155	Bo6g095610, Bo4g044080, Bo6g098660, Bo5g030450, Bo9g070330, Bo7g062270, Bo5g017330, Bo01805s020, Bo3g106910, Bo9g123570, Bo1g052860, Bo7g067010, Bo2g083730, Bo8g112620, Bo9g061150, Bo6g095730, Bo5g123770, Bo5g048910, Bo01805s010
OG0000048	AT5G28190	Bo6g031360
OG0000049	AT1G42710	Bo5g071100, Bo6g071180, Bo2g064280, Bo1g040720, Bo1g041800, Bo6g097370, Bo00947s020, Bo4g136200, Bo3g045240
OG0000049	AT4G09660, AT1G19260, AT3G29765, AT3G29763	Bo21248s010, Bo4g136210, Bo9g097580, Bo9g118820, Bo7g065590, Bo4g073070
OG0000049	AT1G41920, AT2G06541, AT3G29450	Bo1g040610, Bo9g111320, Bo3g170880, Bo1g040600, Bo9g130690, Bo8g030260, Bo11159s010, Bo9g069820, Bo4g154390, Bo3g043030, Bo7g014260, Bo4g078550, Bo4g038810, Bo6g010900, Bo4g107590, Bo6g058790, Bo7g095330, Bo8g027330, Bo7g095320, Bo4g038410, Bo6g058800, Bo01149s010, Bo7g014420, Bo2g075290, Bo1g048180, Bo4g029960, Bo3g158600
OG0000050	AT5G10980	Bo6g086210
OG0000050	AT5G10980	Bo1g003080
OG0000050	AT5G10980	Bo3g006860
OG0000050	AT4G40040	Bo6g086210
OG0000050	AT4G40040	Bo1g003080
OG0000050	AT4G40040	Bo3g006860
OG0000050	AT1G09200	Bo2g149830
OG0000050	AT1G09200	Bo2g009840
OG0000050	AT1G09200	Bo9g058450
OG0000050	AT1G09200	Bo9g018640
OG0000050	AT1G09200	Bo9g172190
OG0000050	AT1G09200	Bo4g127090
OG0000050	AT5G65360	Bo2g149830
OG0000050	AT5G65360	Bo2g009840
OG0000050	AT5G65360	Bo9g058450
OG0000050	AT5G65360	Bo9g018640
OG0000050	AT5G65360	Bo9g172190
OG0000050	AT5G65360	Bo4g127090
OG0000050	AT5G10390	Bo2g149830
OG0000050	AT5G10390	Bo2g009840
OG0000050	AT5G10390	Bo9g058450
OG0000050	AT5G10390	Bo9g018640
OG0000050	AT5G10390	Bo9g172190
OG0000050	AT5G10390	Bo4g127090
OG0000050	AT5G10400	Bo2g149830
OG0000050	AT5G10400	Bo2g009840
OG0000050	AT5G10400	Bo9g058450
OG0000050	AT5G10400	Bo9g018640
OG0000050	AT5G10400	Bo9g172190
OG0000050	AT5G10400	Bo4g127090
OG0000050	AT3G27360	Bo2g149830
OG0000050	AT3G27360	Bo2g009840
OG0000050	AT3G27360	Bo9g058450
OG0000050	AT3G27360	Bo9g018640
OG0000050	AT3G27360	Bo9g172190
OG0000050	AT3G27360	Bo4g127090
OG0000051	AT5G08391	Bo3g004900, Bo2g009070
OG0000051	AT3G01950	Bo5g153890
OG0000051	AT5G14110	Bo3g009630, Bo2g011690
OG0000051	AT3G27030	Bo2g140290, Bo4g140720
OG0000051	AT5G40980	Bo4g140730
OG0000051	AT3G01940	Bo5g153900
OG0000051	AT5G50660, AT5G50560	Bo9g098660
OG0000051	AT3G48660	Bo3g112270, Bo01539s020, Bo01539s010
OG0000052	AT1G52950	Bo4g085050, Bo1g024410, Bo9g097010, Bo8g088440, Bo6g037220, Bo00689s030, Bo00689s010, Bo1g080150, Bo9g133650, Bo7g031460, Bo1g067340, Bo3g153730, Bo8g025680, Bo3g071640, Bo6g013280, Bo4g122790, Bo8g089960, Bo3g008710, Bo8g051150, Bo1g050660, Bo6g080870, Bo00889s010, Bo8g061180, Bo1g098230, Bo3g138510, Bo6g094100, Bo08068s010, Bo9g117700, Bo1g098720, Bo9g066990, Bo4g137700, Bo4g071840, Bo8g097960, Bo2g148100, Bo01394s010, Bo9g111340, Bo7g114250, Bo7g060230, Bo1g012020, Bo8g079440, Bo9g119110, Bo4g158890, Bo2g082110, Bo2g120630, Bo4g101210
OG0000053	AT5G21274	Bo3g123590, Bo4g077000
OG0000053	AT2G41090, AT1G66410	Bo4g143910, Bo6g100960
OG0000053	AT4G14640	Bo6g055980, Bo8g038230
OG0000053	AT3G22930	Bo1g103630
OG0000053	AT3G56800	Bo3g035400
OG0000053	AT3G56800	Bo6g072350
OG0000053	AT3G56800	Bo4g112740
OG0000054	AT1G12090	Bo5g017210, Bo8g062550
OG0000054	AT1G62510	Bo02928s010, Bo9g037220
OG0000054	AT4G12520, AT4G12510	Bo4g050960, Bo3g045750, Bo07665s010
OG0000054	AT2G45180	Bo3g037620
OG0000054	AT4G12550, AT4G12545	Bo2g055670, Bo3g045820, Bo9g079630
OG0000054	AT4G22460	Bo1g027300
OG0000057	AT5G57350	Bo9g133110
OG0000057	AT1G17260	Bo8g067040
OG0000057	AT5G62670	Bo2g164300
OG0000057	AT3G42640	Bo3g124970
OG0000057	AT2G07560	Bo3g086800
OG0000057	AT2G18960	Bo7g008350, Bo9g027480
OG0000060	AT5G22880	Bo3g017650, Bo3g017110, Bo9g148120
OG0000060	AT5G02570, AT3G09480, AT3G53650	Bo6g067610
OG0000060	AT2G37470	Bo8g083030, Bo4g121670
OG0000060	AT5G59910, AT3G45980, AT3G46030	Bo2g025250, Bo9g140940
OG0000061	AT5G36910, AT1G72260	Bo3g064000
OG0000062	AT3G20140	Bo5g110080
OG0000062	AT4G15380, AT3G20080	Bo3g074690, Bo4g142380, Bo3g074700
OG0000062	AT2G14100, AT3G32047	Bo5g110090
OG0000062	AT3G20130	Bo5g110070
OG0000062	AT2G05180	Bo1g110130, Bo1g110120
OG0000062	AT3G20100	Bo5g111160
OG0000064	AT2G20290	Bo7g003750, Bo9g028130
OG0000064	AT4G28710	Bo1g017260
OG0000064	AT5G43900	Bo9g059370, Bo7g066830
OG0000064	AT1G04160	Bo8g115720
OG0000064	AT2G31900	Bo3g026490
OG0000064	AT1G17580	Bo8g104800
OG0000064	AT5G20490	Bo3g015200, Bo2g021860
OG0000064	AT3G58160	Bo4g108610, Bo6g074590
OG0000064	AT1G54560	Bo9g056070
OG0000064	AT1G08730	Bo5g009220
OG0000065	AT1G75780	Bo6g119870
OG0000065	AT5G44340	Bo7g067360, Bo9g059850, Bo2g124350
OG0000065	AT4G20890	Bo3g162350, Bo1g022580, Bo7g107230
OG0000065	AT5G12250	Bo9g169510
OG0000065	AT5G23860	Bo7g097420
OG0000065	AT2G29550	Bo4g061410, Bo4g169440
OG0000065	AT5G62690, AT5G62700	Bo3g116270, Bo3g134050, Bo3g107240
OG0000066	AT4G11700	Bo7g103970
OG0000066	AT1G24388	Bo6g018450, Bo5g042990
OG0000066	AT1G02770, AT1G19060	Bo9g174470
OG0000066	AT1G27860, AT1G28500	Bo7g055800
OG0000066	AT1G23960, AT1G23950, AT1G23970	Bo7g054720, Bo7g054730, Bo7g054770, Bo7g054710, Bo7g054760
OG0000068	AT2G25700, AT1G20140	Bo3g155390
OG0000068	AT1G75950	Bo6g119980, Bo2g086550, Bo6g085070
OG0000068	AT2G03170	Bo7g080950
OG0000068	AT3G60010	Bo6g015710, Bo8g012800, Bo6g015720
OG0000068	AT3G53060, AT3G60020, AT3G21860, AT3G21830, AT3G21840, AT3G21850, AT4G34470, AT4G34210	Bo4g106410, Bo4g106400
OG0000069	AT3G53730	Bo2g025530
OG0000069	AT3G53730	Bo3g017820
OG0000069	AT3G53730	Bo4g166750
OG0000069	AT3G53730	Bo3g040050
OG0000069	AT3G53730	Bo3g031810
OG0000069	AT3G53730	Bo3g130250
OG0000069	AT3G53730	Bo5g008410
OG0000069	AT3G53730	Bo4g030440
OG0000069	AT3G53730	Bo8g010850
OG0000069	AT3G53730	Bo8g112850
OG0000069	AT3G53730	Bo4g069210
OG0000069	AT3G53730	Bo6g120620
OG0000069	AT1G07820	Bo2g025530
OG0000069	AT1G07820	Bo3g017820
OG0000069	AT1G07820	Bo4g166750
OG0000069	AT1G07820	Bo3g040050
OG0000069	AT1G07820	Bo3g031810
OG0000069	AT1G07820	Bo3g130250
OG0000069	AT1G07820	Bo5g008410
OG0000069	AT1G07820	Bo4g030440
OG0000069	AT1G07820	Bo8g010850
OG0000069	AT1G07820	Bo8g112850
OG0000069	AT1G07820	Bo4g069210
OG0000069	AT1G07820	Bo6g120620
OG0000069	AT5G59690	Bo2g025530
OG0000069	AT5G59690	Bo3g017820
OG0000069	AT5G59690	Bo4g166750
OG0000069	AT5G59690	Bo3g040050
OG0000069	AT5G59690	Bo3g031810
OG0000069	AT5G59690	Bo3g130250
OG0000069	AT5G59690	Bo5g008410
OG0000069	AT5G59690	Bo4g030440
OG0000069	AT5G59690	Bo8g010850
OG0000069	AT5G59690	Bo8g112850
OG0000069	AT5G59690	Bo4g069210
OG0000069	AT5G59690	Bo6g120620
OG0000069	AT3G46320	Bo2g025530
OG0000069	AT3G46320	Bo3g017820
OG0000069	AT3G46320	Bo4g166750
OG0000069	AT3G46320	Bo3g040050
OG0000069	AT3G46320	Bo3g031810
OG0000069	AT3G46320	Bo3g130250
OG0000069	AT3G46320	Bo5g008410
OG0000069	AT3G46320	Bo4g030440
OG0000069	AT3G46320	Bo8g010850
OG0000069	AT3G46320	Bo8g112850
OG0000069	AT3G46320	Bo4g069210
OG0000069	AT3G46320	Bo6g120620
OG0000069	AT2G28740	Bo2g025530
OG0000069	AT2G28740	Bo3g017820
OG0000069	AT2G28740	Bo4g166750
OG0000069	AT2G28740	Bo3g040050
OG0000069	AT2G28740	Bo3g031810
OG0000069	AT2G28740	Bo3g130250
OG0000069	AT2G28740	Bo5g008410
OG0000069	AT2G28740	Bo4g030440
OG0000069	AT2G28740	Bo8g010850
OG0000069	AT2G28740	Bo8g112850
OG0000069	AT2G28740	Bo4g069210
OG0000069	AT2G28740	Bo6g120620
OG0000069	AT1G07660	Bo2g025530
OG0000069	AT1G07660	Bo3g017820
OG0000069	AT1G07660	Bo4g166750
OG0000069	AT1G07660	Bo3g040050
OG0000069	AT1G07660	Bo3g031810
OG0000069	AT1G07660	Bo3g130250
OG0000069	AT1G07660	Bo5g008410
OG0000069	AT1G07660	Bo4g030440
OG0000069	AT1G07660	Bo8g010850
OG0000069	AT1G07660	Bo8g112850
OG0000069	AT1G07660	Bo4g069210
OG0000069	AT1G07660	Bo6g120620
OG0000069	AT3G45930	Bo2g025530
OG0000069	AT3G45930	Bo3g017820
OG0000069	AT3G45930	Bo4g166750
OG0000069	AT3G45930	Bo3g040050
OG0000069	AT3G45930	Bo3g031810
OG0000069	AT3G45930	Bo3g130250
OG0000069	AT3G45930	Bo5g008410
OG0000069	AT3G45930	Bo4g030440
OG0000069	AT3G45930	Bo8g010850
OG0000069	AT3G45930	Bo8g112850
OG0000069	AT3G45930	Bo4g069210
OG0000069	AT3G45930	Bo6g120620
OG0000069	AT5G59970	Bo2g025530
OG0000069	AT5G59970	Bo3g017820
OG0000069	AT5G59970	Bo4g166750
OG0000069	AT5G59970	Bo3g040050
OG0000069	AT5G59970	Bo3g031810
OG0000069	AT5G59970	Bo3g130250
OG0000069	AT5G59970	Bo5g008410
OG0000069	AT5G59970	Bo4g030440
OG0000069	AT5G59970	Bo8g010850
