Orthogroup	Arabidopsis_thaliana	Capsella_rubella
OG0000025	AT5G42567, AT5G34882, AT5G34905, AT5G34881, AT5G34887, AT5G34885, AT5G34883, AT5G34908, AT5G42955, AT5G42957, AT3G30383, AT3G30387, AT3G30385	Carub.0008s0584.1.p, Carub.0008s0580.1.p, Carub.0002s0930.1.p, Carub.0002s0927.1.p, Carub.0002s0931.1.p, Carub.0002s0924.1.p, Carub.0002s0926.1.p, Carub.0002s0921.1.p, Carub.0046s0007.1.p, Carub.0002s0928.1.p, Carub.0002s0925.1.p, Carub.0046s0006.1.p, Carub.0002s0922.1.p, Carub.0002s0923.1.p, Carub.0046s0004.1.p, Carub.0046s0001.1.p, Carub.0002s0932.1.p, Carub.0046s0002.1.p, Carub.0046s0003.1.p, Carub.0002s0929.1.p, Carub.0046s0005.1.p
OG0000025	AT1G45223, AT1G45221, AT1G45215, AT1G57760, AT1G57775, AT1G57777, AT3G44115, AT4G08025, AT4G07515	Carub.0002s0807.1.p, Carub.0002s0806.1.p, Carub.0002s0805.1.p, Carub.0002s0808.1.p, Carub.0002s0809.1.p, Carub.0002s0810.1.p, Carub.0002s0887.1.p, Carub.0002s0885.1.p, Carub.0002s0886.1.p, Carub.0002s0884.1.p, Carub.0002s0881.1.p, Carub.0002s0888.1.p, Carub.0002s0882.1.p, Carub.0002s0883.1.p, Carub.0193s0001.1.p, Carub.0002s0878.1.p, Carub.0002s0879.1.p, Carub.0193s0002.1.p, Carub.0002s0880.1.p, Carub.0001s3190.1.p
OG0000029	AT3G28410, AT5G02700	Carub.0006s0158.1.p
OG0000029	AT5G02910	Carub.0006s0171.1.p
OG0000030	AT1G63070, AT1G63080	Carub.0002s0110.1.p
OG0000030	AT1G62670	Carub.0002s0209.1.p, Carub.0002s0210.1.p, Carub.0002s0190.1.p, Carub.0002s0192.1.p, Carub.0002s0191.1.p
OG0000031	AT2G26860	Carub.0004s0736.1.p, Carub.0004s0735.1.p, Carub.0004s0734.1.p
OG0000031	AT5G56410, AT5G62970	Carub.0008s2368.1.p
OG0000031	AT5G11370	Carub.0008s1687.1.p
OG0000031	AT4G10400, AT4G09920, AT4G10410, AT4G10420	Carub.0006s2905.1.p
OG0000031	AT5G38580	Carub.0007s3593.1.p, Carub.0007s3733.1.p
OG0000031	AT5G38590	Carub.0007s3726.1.p
OG0000031	AT3G54910	Carub.0005s2152.1.p
OG0000032	AT5G38260	Carub.0005s1268.1.p
OG0000032	AT5G38240	Carub.0005s1263.1.p
OG0000032	AT1G66930	Carub.0002s1321.1.p
OG0000032	AT1G36005	Carub.0002s1315.1.p, Carub.0002s1319.1.p
OG0000032	AT1G66920	Carub.0002s1320.1.p
OG0000032	AT1G66910	Carub.0001s3353.1.p, Carub.0002s1318.1.p, Carub.0002s1317.1.p
OG0000033	AT1G62630, AT1G63360	Carub.0002s0234.1.p, Carub.0006s2588.1.p, Carub.0002s0239.1.p, Carub.0002s0236.1.p
OG0000033	AT1G12280	Carub.0001s1196.1.p
OG0000033	AT1G12290	Carub.0001s1197.1.p
OG0000037	AT3G53750, AT2G37620	Carub.0005s2033.1.p, Carub.0004s1955.1.p
OG0000037	AT1G49240	Carub.0001s3843.1.p
OG0000037	AT2G42100	Carub.0004s2444.1.p
OG0000037	AT3G12110	Carub.0003s1145.1.p
OG0000037	AT3G46520	Carub.0008s2004.1.p
OG0000037	AT5G59370	Carub.0005s1279.1.p
OG0000037	AT5G09810	Carub.0006s0823.1.p
OG0000038	AT3G26930	Carub.0005s0501.1.p
OG0000038	AT3G26922	Carub.0005s0502.1.p
OG0000038	AT4G13965	Carub.0005s0503.1.p
OG0000038	AT1G55030	Carub.0005s0506.1.p, Carub.0005s0504.1.p, Carub.0002s0814.1.p, Carub.0002s0815.1.p
OG0000038	AT3G51530	Carub.0005s1791.1.p
OG0000038	AT3G55670	Carub.0005s1911.1.p
OG0000038	AT3G52690	Carub.0005s1912.1.p
OG0000038	AT3G52680, AT4G00160	Carub.0005s1194.1.p, Carub.0005s1909.1.p
OG0000038	AT3G49040	Carub.0008s0938.1.p, Carub.0008s0939.1.p
OG0000038	AT2G04230	Carub.0005s1522.1.p
OG0000038	AT3G49030	Carub.0001s3364.1.p
OG0000039	AT4G23200	Carub.0007s1795.1.p
OG0000039	AT4G23210	Carub.0007s1800.1.p
OG0000039	AT4G23220	Carub.0007s1794.1.p
OG0000039	AT4G11480	Carub.0006s3044.1.p
OG0000039	AT4G11470	Carub.0006s3043.1.p, Carub.0006s3041.1.p, Carub.0006s3042.1.p
OG0000040	AT3G12230, AT3G12240	Carub.0003s1159.1.p
OG0000040	AT3G12220	Carub.0003s1717.1.p
OG0000040	AT2G23000	Carub.0004s0220.1.p
OG0000040	AT2G23010	Carub.0004s0222.1.p, Carub.0004s0221.1.p
OG0000040	AT3G10450	Carub.0003s0966.1.p, Carub.0003s2578.1.p
OG0000040	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270	Carub.0002s2006.1.p
OG0000042	AT3G59000	Carub.0005s2595.1.p
OG0000042	AT5G38390, AT5G38386	Carub.0007s3423.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3764.1.p, Carub.0007s3768.1.p, Carub.0007s3765.1.p
OG0000042	AT1G52650, AT4G13960	Carub.0007s3762.1.p
OG0000042	AT5G38396, AT5G38392	Carub.0007s3763.1.p
OG0000042	AT3G58820	Carub.0005s2560.1.p
OG0000042	AT3G58860	Carub.0005s2565.1.p
OG0000042	AT3G58880	Carub.0005s2566.1.p
OG0000042	AT3G03040	Carub.0003s0219.1.p
OG0000042	AT3G03030	Carub.0003s0218.1.p
OG0000042	AT3G58940	Carub.0005s2569.1.p
OG0000042	AT3G58930	Carub.0005s2568.1.p
OG0000042	AT3G58950	Carub.0005s2741.1.p
OG0000043	AT5G20480	Carub.0219s0002.1.p, Carub.0006s1881.1.p
OG0000043	AT3G47570	Carub.0005s1366.1.p
OG0000044	AT3G46950	Carub.0005s1317.1.p
OG0000044	AT1G61960	Carub.0002s0310.1.p
OG0000044	AT1G61990	Carub.0002s0305.1.p
OG0000044	AT1G62150	Carub.0002s0291.1.p
OG0000044	AT1G62010, AT1G62120	Carub.0002s0311.1.p
OG0000044	AT1G62110, AT1G62085	Carub.0002s0294.1.p, Carub.0002s0295.1.p
OG0000044	AT1G61970	Carub.0002s0308.1.p
OG0000044	AT1G61980	Carub.0002s0306.1.p
OG0000044	AT1G62490	Carub.0002s0249.1.p
OG0000045	AT4G23270, AT4G23280	Carub.0007s1788.1.p
OG0000045	AT4G23310	Carub.0007s1786.1.p, Carub.0007s1787.1.p
OG0000045	AT3G45860	Carub.0005s1171.1.p
OG0000045	AT4G23130	Carub.0007s1813.1.p
OG0000045	AT4G23180	Carub.0007s1803.1.p
OG0000045	AT4G23140	Carub.0007s1810.1.p
OG0000045	AT4G23150	Carub.0007s1811.1.p
OG0000045	AT4G23230	Carub.0007s1796.1.p, Carub.0007s1809.1.p, Carub.0007s1793.1.p
OG0000046	AT4G36150	Carub.0007s0407.1.p
OG0000046	AT4G19530, AT3G51570	Carub.0007s2167.1.p
OG0000046	AT5G45060	Carub.0008s0325.1.p
OG0000046	AT5G45250	Carub.0008s0294.1.p
OG0000046	AT2G17060	Carub.0008s0297.1.p
OG0000046	AT5G45230	Carub.0007s2929.1.p
OG0000050	AT1G19890	Carub.0001s1941.1.p
OG0000050	AT5G10980, AT4G40040	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p
OG0000051	AT5G08391	Carub.0006s0729.1.p
OG0000051	AT3G01950	Carub.0003s0014.1.p
OG0000051	AT5G14110	Carub.0006s1231.1.p
OG0000051	AT3G27030	Carub.0007s3453.1.p
OG0000051	AT3G27027	Carub.0005s0523.1.p
OG0000051	AT5G40980	Carub.0007s3452.1.p
OG0000051	AT3G01940	Carub.0003s0015.1.p
OG0000051	AT5G50660, AT5G50560	Carub.0008s1065.1.p
OG0000051	AT3G48660	Carub.0005s1480.1.p
OG0000051	AT5G63500	Carub.0008s2420.1.p
OG0000052	AT1G52950	Carub.0001s3517.1.p, Carub.0008s0754.1.p, Carub.0004s0679.1.p, Carub.0001s3651.1.p, Carub.0013s0007.1.p, Carub.0011s0007.1.p, Carub.0007s3247.1.p, Carub.0006s2637.1.p, Carub.0003s3392.1.p, Carub.0005s2382.1.p, Carub.0001s3741.1.p, Carub.0001s3383.1.p, Carub.0007s3522.1.p
OG0000053	AT3G43810, AT5G21274	Carub.0005s0961.1.p, Carub.0006s1950.1.p
OG0000053	AT5G37780	Carub.0007s3294.1.p, Carub.0002s1246.1.p
OG0000053	AT4G14640	Carub.0007s2756.1.p
OG0000053	AT3G22930	Carub.0003s2306.1.p
OG0000053	AT2G41110, AT2G27030	Carub.0004s0751.1.p, Carub.0005s2353.1.p, Carub.0004s2342.1.p
OG0000054	AT1G12090	Carub.0001s1178.1.p
OG0000054	AT1G62510	Carub.0002s0247.1.p
OG0000054	AT4G12520, AT4G12510	Carub.0006s3168.1.p, Carub.0006s3169.1.p
OG0000054	AT2G45180	Carub.0004s2780.1.p
OG0000054	AT4G12550, AT4G12545	Carub.0006s3180.1.p, Carub.0006s3177.1.p, Carub.0006s3176.1.p, Carub.0006s3175.1.p, Carub.0006s3182.1.p, Carub.0006s3179.1.p, Carub.0006s3181.1.p
OG0000057	AT5G57350	Carub.0008s1787.1.p
OG0000057	AT1G17260	Carub.0001s1701.1.p
OG0000057	AT3G60330	Carub.0005s2708.1.p
OG0000057	AT5G62670	Carub.0008s2342.1.p
OG0000057	AT3G47950	Carub.0005s1407.1.p
OG0000057	AT1G80660	Carub.0002s2690.1.p
OG0000057	AT3G42640	Carub.0016s0001.1.p
OG0000057	AT2G07560	Carub.0013s0011.1.p
OG0000057	AT4G30190	Carub.0007s1042.1.p
OG0000057	AT2G18960	Carub.0003s3319.1.p
OG0000060	AT5G22880	Carub.0006s2066.1.p
OG0000060	AT5G59910	Carub.0008s2052.1.p
OG0000060	AT3G45980	Carub.0005s1183.1.p
OG0000060	AT3G46030	Carub.0005s1189.1.p
OG0000061	AT1G66100	Carub.0005s0981.1.p, Carub.0006s2979.1.p
OG0000062	AT3G20140	Carub.0003s2005.1.p
OG0000062	AT4G15380	Carub.0003s2001.1.p
OG0000062	AT3G20080	Carub.0003s2002.1.p
OG0000062	AT2G27010, AT2G27000	Carub.0004s0748.1.p, Carub.0004s0749.1.p
OG0000062	AT2G14100, AT3G32047	Carub.0003s2000.1.p
OG0000062	AT3G20960	Carub.0003s2092.1.p
OG0000062	AT2G05180	Carub.0003s2669.1.p
OG0000062	AT3G20120	Carub.0003s2004.1.p
OG0000062	AT3G20110	Carub.0003s2003.1.p
OG0000064	AT2G20290	Carub.0003s3462.1.p
OG0000064	AT4G28710	Carub.0007s1193.1.p
OG0000064	AT5G43900	Carub.0008s0469.1.p
OG0000064	AT1G04160	Carub.0001s0331.1.p
OG0000064	AT2G31900	Carub.0004s1320.1.p
OG0000064	AT1G17580	Carub.0001s1734.1.p
OG0000064	AT5G20490	Carub.0006s1882.1.p
OG0000064	AT3G58160	Carub.0005s2501.1.p
OG0000064	AT1G54560	Carub.0002s0909.1.p
OG0000064	AT1G08730	Carub.0001s0808.1.p
OG0000065	AT1G75780	Carub.0002s2263.1.p
OG0000065	AT1G20010	Carub.0001s1954.1.p
OG0000065	AT5G44340	Carub.0008s0413.1.p
OG0000065	AT4G20890	Carub.0007s2054.1.p
OG0000065	AT5G12250	Carub.0006s1076.1.p
OG0000065	AT5G23860	Carub.0006s2158.1.p
OG0000065	AT2G29550	Carub.0004s1060.1.p
OG0000065	AT5G62690, AT5G62700	Carub.0005s1313.1.p, Carub.0005s1309.1.p
OG0000066	AT4G11700	Carub.0006s3079.1.p, Carub.0006s2997.1.p
OG0000066	AT3G19520	Carub.0003s1935.1.p, Carub.0003s1934.1.p
OG0000066	AT1G27860, AT1G28500	Carub.0001s2632.1.p
OG0000066	AT1G23960, AT1G23950, AT1G23970	Carub.0001s2342.1.p
OG0000066	AT5G41640	Carub.0007s3406.1.p, Carub.0007s3405.1.p
OG0000066	AT3G57210	Carub.0005s1849.1.p
OG0000068	AT5G42190	Carub.0008s0711.1.p
OG0000068	AT2G25700, AT1G20140	Carub.0001s3799.1.p
OG0000068	AT1G75950	Carub.0002s2286.1.p
OG0000068	AT3G53060, AT3G60020	Carub.0005s2675.1.p
OG0000068	AT3G21860, AT3G21830, AT3G21840, AT3G21850	Carub.0003s2192.1.p
OG0000068	AT4G34470, AT4G34210	Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p
OG0000070	AT4G38860	Carub.0007s0072.1.p
OG0000070	AT2G21220	Carub.0004s0025.1.p
OG0000070	AT2G18010	Carub.0003s3215.1.p
OG0000070	AT4G36110	Carub.0007s0412.1.p
OG0000070	AT1G75580	Carub.0002s2243.1.p
OG0000070	AT1G19830	Carub.0001s1934.1.p
OG0000070	AT2G16580	Carub.0003s3033.1.p
OG0000070	AT4G34760	Carub.0007s0553.1.p
OG0000071	AT2G29930	Carub.0004s1101.1.p
OG0000071	AT2G29910	Carub.0004s1100.1.p
OG0000071	AT5G35995	Carub.0007s3312.1.p
OG0000071	AT1G47920	Carub.0001s3703.1.p
OG0000071	AT1G48390	Carub.0001s3751.1.p
OG0000073	AT1G43760, AT1G40390	Carub.0001s3395.1.p, Carub.0002s1008.1.p
OG0000074	AT5G59190	Carub.0008s1976.1.p
OG0000074	AT3G46840, AT3G46850	Carub.0005s1307.1.p
OG0000074	AT5G59100	Carub.0008s1984.1.p
OG0000074	AT5G59130	Carub.0008s1982.1.p
OG0000074	AT5G58830	Carub.0008s1946.1.p
OG0000074	AT5G58820	Carub.0008s1945.1.p
OG0000074	AT5G58840	Carub.0008s1947.1.p
OG0000074	AT5G59090	Carub.0008s1985.1.p
OG0000074	AT5G59120	Carub.0008s1983.1.p
OG0000077	AT2G33050	Carub.0004s1453.1.p
OG0000077	AT3G25010, AT3G25020, AT3G24982, AT3G24900	Carub.0003s2713.1.p, Carub.0003s2530.1.p, Carub.0003s2529.1.p, Carub.0003s2534.1.p, Carub.0003s2532.1.p, Carub.0003s2531.1.p, Carub.0148s0001.1.p
OG0000077	AT2G32680, AT2G33020	Carub.0004s1404.1.p
OG0000077	AT2G33080	Carub.0004s1403.1.p
OG0000078	AT1G20090	Carub.0001s1962.1.p
OG0000078	AT1G75840	Carub.0002s2275.1.p
OG0000078	AT4G35020	Carub.0007s0529.1.p
OG0000078	AT5G45970	Carub.0008s0195.1.p
OG0000078	AT4G35950	Carub.0007s0427.1.p
OG0000078	AT2G17800	Carub.0003s3195.1.p
OG0000078	AT3G51300	Carub.0005s1767.1.p
OG0000079	AT2G25540	Carub.0004s0525.1.p
OG0000079	AT4G32410	Carub.0007s0816.1.p
OG0000079	AT5G05170	Carub.0006s0410.1.p
OG0000079	AT5G44030	Carub.0008s0451.1.p
OG0000079	AT5G17420	Carub.0006s1564.1.p
OG0000079	AT4G39350	Carub.0007s0125.1.p
OG0000079	AT5G64740	Carub.0008s2555.1.p
OG0000079	AT5G09870	Carub.0006s0830.1.p
OG0000083	AT4G25350	Carub.0007s1566.1.p
OG0000083	AT1G26730	Carub.0001s2429.1.p
OG0000083	AT1G35350	Carub.0001s3299.1.p
OG0000083	AT1G14040	Carub.0001s1373.1.p
OG0000083	AT2G03250	Carub.0005s0217.1.p
OG0000083	AT2G03260	Carub.0005s0218.1.p
OG0000083	AT2G03240	Carub.0005s0216.1.p
OG0000084	AT4G27960	Carub.0007s1287.1.p
OG0000084	AT5G53300	Carub.0008s1348.1.p
OG0000084	AT5G41700	Carub.0007s3378.1.p
OG0000084	AT1G64230	Carub.0002s0056.1.p
OG0000084	AT2G16740	Carub.0003s3054.1.p
OG0000084	AT5G56150	Carub.0008s1647.1.p
OG0000084	AT3G08700	Carub.0003s0783.1.p
OG0000084	AT3G08690	Carub.0003s0782.1.p
OG0000085	AT1G05080	Carub.0001s0436.1.p
OG0000086	AT4G25590	Carub.0007s1539.1.p
OG0000086	AT5G52360	Carub.0008s1247.1.p
OG0000086	AT1G01750	Carub.0001s0046.1.p
OG0000086	AT4G00680	Carub.0006s3653.1.p
OG0000086	AT3G46010	Carub.0005s1187.1.p
OG0000086	AT5G59890	Carub.0008s2054.1.p
OG0000086	AT5G59880	Carub.0008s2056.1.p
OG0000086	AT3G46000	Carub.0005s1186.1.p
OG0000088	AT3G45430	Carub.0005s1126.1.p
OG0000088	AT5G60310	Carub.0008s2102.1.p
OG0000088	AT5G60300	Carub.0008s2101.1.p
OG0000088	AT5G60270	Carub.0008s2099.1.p
OG0000088	AT5G60280	Carub.0008s2100.1.p
OG0000088	AT3G45440	Carub.0005s1127.1.p
OG0000088	AT3G45410	Carub.0005s1123.1.p
OG0000088	AT3G45420	Carub.0005s1125.1.p
OG0000088	AT3G45390, AT3G45330	Carub.0005s1121.1.p
OG0000088	AT5G60320	Carub.0008s2103.1.p
OG0000089	AT2G06420	Carub.0007s3074.1.p, Carub.0002s1014.1.p, Carub.0002s1016.1.p, Carub.0004s0685.1.p
OG0000090	AT2G29330	Carub.0004s1037.1.p
OG0000090	AT2G30670	Carub.0004s1184.1.p
OG0000090	AT2G29340	Carub.0004s1038.1.p
OG0000090	AT2G29300, AT2G29320	Carub.0004s1036.1.p
OG0000094	AT1G61550	Carub.0002s0367.1.p
OG0000094	AT1G61500	Carub.0002s0372.1.p
OG0000094	AT1G61430, AT1G61400, AT1G61440	Carub.0002s0378.1.p
OG0000094	AT1G61490	Carub.0002s0373.1.p
OG0000094	AT1G61475	Carub.0002s0374.1.p, Carub.0002s0375.1.p
OG0000094	AT1G61390	Carub.0002s0379.1.p
OG0000094	AT1G61380	Carub.0002s0380.1.p
OG0000095	AT4G23670	Carub.0007s1745.1.p
OG0000095	AT4G23680	Carub.0007s1744.1.p
OG0000095	AT3G26460, AT3G26450	Carub.0005s0443.1.p, Carub.0005s0446.1.p, Carub.0005s0445.1.p, Carub.0005s0444.1.p
OG0000095	AT1G30990	Carub.0001s1473.1.p
OG0000095	AT1G14950	Carub.0001s1472.1.p
OG0000095	AT2G01520	Carub.0005s0049.1.p
OG0000096	AT1G58190	Carub.0002s0642.1.p
OG0000096	AT2G25470	Carub.0004s0513.1.p
OG0000096	AT1G54470	Carub.0002s0936.1.p
