Orthogroup	Arabidopsis_thaliana	Brassica_rapa
OG0000065	AT5G44340	Bra033737, Bra039506, Bra027544
OG0000065	AT4G20890	Bra020912, Bra013481, Bra038795
OG0000065	AT5G12250	Bra008903
OG0000065	AT5G23860	Bra009710
OG0000065	AT2G29550	Bra018379, Bra039987
OG0000065	AT5G62690, AT5G62700	Bra010114, Bra019493, Bra018184, Bra033796
OG0000066	AT4G11700	Bra012766
OG0000066	AT1G24388	Bra024726, Bra024727
OG0000066	AT1G02770, AT1G19060	Bra009339
OG0000066	AT3G19520	Bra012391
OG0000066	AT1G23960, AT1G23950, AT1G23970	Bra012394, Bra012395, Bra012392
OG0000068	AT2G25700, AT1G20140	Bra025795
OG0000068	AT1G75950	Bra015801, Bra008231, Bra003735
OG0000068	AT2G03170	Bra017397
OG0000068	AT3G60010	Bra018756, Bra014159, Bra018757
OG0000068	AT3G53060, AT3G60020, AT3G21860, AT3G21830, AT3G21840, AT3G21850, AT4G34470, AT4G34210	Bra014519
OG0000069	AT3G53730	Bra035673
OG0000069	AT3G53730	Bra017178
OG0000069	AT3G53730	Bra005185
OG0000069	AT3G53730	Bra018691
OG0000069	AT3G53730	Bra031594
OG0000069	AT3G53730	Bra007023
OG0000069	AT3G53730	Bra006699
OG0000069	AT3G53730	Bra000481
OG0000069	AT1G07820	Bra035673
OG0000069	AT1G07820	Bra017178
OG0000069	AT1G07820	Bra005185
OG0000069	AT1G07820	Bra018691
OG0000069	AT1G07820	Bra031594
OG0000069	AT1G07820	Bra007023
OG0000069	AT1G07820	Bra006699
OG0000069	AT1G07820	Bra000481
OG0000069	AT5G59690	Bra035673
OG0000069	AT5G59690	Bra017178
OG0000069	AT5G59690	Bra005185
OG0000069	AT5G59690	Bra018691
OG0000069	AT5G59690	Bra031594
OG0000069	AT5G59690	Bra007023
OG0000069	AT5G59690	Bra006699
OG0000069	AT5G59690	Bra000481
OG0000069	AT3G46320	Bra035673
OG0000069	AT3G46320	Bra017178
OG0000069	AT3G46320	Bra005185
OG0000069	AT3G46320	Bra018691
OG0000069	AT3G46320	Bra031594
OG0000069	AT3G46320	Bra007023
OG0000069	AT3G46320	Bra006699
OG0000069	AT3G46320	Bra000481
OG0000069	AT2G28740	Bra035673
OG0000069	AT2G28740	Bra017178
OG0000069	AT2G28740	Bra005185
OG0000069	AT2G28740	Bra018691
OG0000069	AT2G28740	Bra031594
OG0000069	AT2G28740	Bra007023
OG0000069	AT2G28740	Bra006699
OG0000069	AT2G28740	Bra000481
OG0000069	AT1G07660	Bra035673
OG0000069	AT1G07660	Bra017178
OG0000069	AT1G07660	Bra005185
OG0000069	AT1G07660	Bra018691
OG0000069	AT1G07660	Bra031594
OG0000069	AT1G07660	Bra007023
OG0000069	AT1G07660	Bra006699
OG0000069	AT1G07660	Bra000481
OG0000069	AT3G45930	Bra035673
OG0000069	AT3G45930	Bra017178
OG0000069	AT3G45930	Bra005185
OG0000069	AT3G45930	Bra018691
OG0000069	AT3G45930	Bra031594
OG0000069	AT3G45930	Bra007023
OG0000069	AT3G45930	Bra006699
OG0000069	AT3G45930	Bra000481
OG0000069	AT5G59970	Bra035673
OG0000069	AT5G59970	Bra017178
OG0000069	AT5G59970	Bra005185
OG0000069	AT5G59970	Bra018691
OG0000069	AT5G59970	Bra031594
OG0000069	AT5G59970	Bra007023
OG0000069	AT5G59970	Bra006699
OG0000069	AT5G59970	Bra000481
OG0000070	AT4G38860	Bra011889, Bra033581
OG0000070	AT2G21220	Bra031171
OG0000070	AT2G18010	Bra037243, Bra039909, Bra024482
OG0000070	AT4G36110	Bra010501, Bra017747, Bra011662
OG0000070	AT1G75580	Bra003746, Bra015832
OG0000070	AT1G19830	Bra025770
OG0000070	AT2G16580	Bra013061
OG0000070	AT4G34760	Bra011560
OG0000071	AT1G21990	Bra034361
OG0000071	AT2G29930, AT2G29910	Bra000470
OG0000071	AT5G12450	Bra014098
OG0000071	AT1G47920	Bra002161
OG0000072	AT4G07445, AT2G07505, AT2G06265	Bra002449
OG0000073	AT1G43760, AT1G40390	Bra032705, Bra023819
OG0000074	AT5G59190	Bra002592
OG0000074	AT3G46840, AT3G46850	Bra018188
OG0000074	AT5G59130	Bra006729
OG0000074	AT5G58830, AT5G58820, AT5G58840	Bra020349, Bra020347, Bra020348, Bra020350, Bra020351
OG0000074	AT5G59090, AT5G59120	Bra006728, Bra002586
OG0000077	AT2G33060	Bra005528, Bra005527
OG0000077	AT2G33050	Bra022907, Bra005530
OG0000078	AT1G20090	Bra016477, Bra012210
OG0000078	AT1G75840	Bra015807
OG0000078	AT4G35020	Bra011578, Bra001994
OG0000078	AT5G45970	Bra025045
OG0000078	AT4G35950	Bra037248, Bra002093, Bra040869
OG0000078	AT2G17800	Bra011651, Bra017740
OG0000078	AT3G51300	Bra038892, Bra036819, Bra012858
OG0000079	AT4G32410	Bra023952, Bra011345
OG0000079	AT5G05170	Bra005845, Bra028768
OG0000079	AT5G44030	Bra033714
OG0000079	AT5G17420	Bra006407
OG0000079	AT4G39350	Bra011865
OG0000079	AT5G09870	Bra006036
OG0000080	AT5G54550, AT5G54560	Bra022730, Bra022727
OG0000080	AT5G53230, AT5G53240, AT5G55270, AT5G55890, AT5G55880, AT5G54320, AT5G55870, AT5G54330, AT3G43170	Bra002990, Bra024630
OG0000083	AT4G25350	Bra010468
OG0000083	AT1G26730, AT1G35350	Bra016284, Bra024691
OG0000083	AT1G14040	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690
OG0000083	AT2G03250	Bra017393
OG0000083	AT2G03260	Bra024783, Bra024782
OG0000083	AT2G03240	Bra017394, Bra017395, Bra026565, Bra024784
OG0000084	AT5G53300	Bra029076, Bra022645
OG0000084	AT1G64230	Bra027688
OG0000084	AT2G16740	Bra013049, Bra001995
OG0000084	AT5G56150	Bra002842
OG0000084	AT3G08690	Bra001347, Bra041101
OG0000085	AT3G53550	Bra039802, Bra007010
OG0000086	AT4G25590	Bra013901, Bra019151, Bra010456
OG0000086	AT5G52360	Bra028304, Bra029119
OG0000086	AT1G01750	Bra033236
OG0000086	AT5G59890	Bra006686
OG0000086	AT5G59880	Bra006687, Bra002522, Bra020277
OG0000086	AT3G45990, AT3G46000	Bra038266
OG0000088	AT3G45430	Bra038286
OG0000088	AT5G60310	Bra002490, Bra020258
OG0000088	AT5G60300	Bra006669, Bra002497
OG0000088	AT5G60270	Bra020259, Bra002500, Bra002499, Bra006670
OG0000088	AT5G60280	Bra002498
OG0000088	AT3G45440	Bra019469
OG0000088	AT3G45420	Bra038287, Bra002064
OG0000088	AT3G45390, AT3G45330	Bra029544, Bra038289
OG0000088	AT5G60320	Bra006666, Bra006668
OG0000090	AT2G29330	Bra018400
OG0000090	AT2G30670	Bra018391, Bra039974, Bra039969, Bra018393, Bra018396
OG0000090	AT2G29300, AT2G29320	Bra039513, Bra018399, Bra039971, Bra039973, Bra039967, Bra000477
OG0000093	AT5G19270	Bra021561
OG0000094	AT1G61370	Bra027089
OG0000094	AT1G61500	Bra027084, Bra031429
OG0000094	AT1G61420, AT1G61460, AT1G61475, AT1G61480	Bra027087, Bra031433
OG0000094	AT1G11280	Bra034257
OG0000094	AT1G61390	Bra027088
OG0000094	AT1G61380	Bra031434
OG0000094	AT1G61360	Bra038579
OG0000095	AT4G23670, AT4G23680	Bra013721, Bra034099
OG0000095	AT3G26460, AT3G26450	Bra019280, Bra019278
OG0000095	AT1G30990, AT1G14960	Bra026176
OG0000095	AT2G01530, AT4G14060	Bra026653
OG0000096	AT3G53240	Bra003124
OG0000096	AT1G74190	Bra008138
OG0000096	AT2G25470, AT1G54470	Bra032058, Bra034253
OG0000096	AT1G74180	Bra015929
OG0000098	AT1G66950, AT2G36380	Bra017241, Bra023065
OG0000098	AT2G26910	Bra034314
OG0000098	AT3G30842	Bra025424
OG0000098	AT1G15520	Bra026124
OG0000098	AT1G15210	Bra026156, Bra026157, Bra016669
OG0000098	AT1G59870	Bra003527
OG0000098	AT3G16340	Bra021173, Bra027171
OG0000099	AT1G02440, AT1G02430	Bra032602
OG0000099	AT5G14670	Bra008746
OG0000099	AT1G10630	Bra007917
OG0000099	AT3G62290	Bra004475
OG0000099	AT2G47170	Bra016344
OG0000099	AT1G23490, AT1G70490	Bra016215
OG0000100	AT3G26616	Bra014286, Bra012565, Bra010905
OG0000103	AT4G10530, AT4G10520	Bra033170
OG0000103	AT4G21650, AT4G21640, AT4G21630	Bra013544, Bra038768, Bra038766
OG0000103	AT4G10540	Bra037906
OG0000103	AT1G32950, AT1G32960	Bra023300, Bra023297
OG0000104	AT2G41930	Bra004659, Bra016901
OG0000104	AT2G42550	Bra004707
OG0000104	AT5G12090	Bra014070, Bra014188, Bra014215, Bra015604
OG0000106	AT1G65200	Bra022489
OG0000106	AT1G65110, AT1G65120	Bra040199, Bra040200
OG0000106	AT1G65130	Bra022491
OG0000106	AT1G52450, AT1G52430, AT5G61950, AT5G61940, AT5G51530, AT2G27630, AT2G27650	Bra029304, Bra029303, Bra029299
OG0000108	AT3G54700	Bra014798, Bra007090
OG0000108	AT2G38940	Bra005071, Bra005070, Bra005069, Bra000107, Bra017275, Bra017093
OG0000108	AT5G43360, AT5G43350, AT5G43370	Bra027463, Bra027488, Bra035979, Bra027490, Bra035978, Bra033673, Bra035977, Bra033675, Bra027487
OG0000109	AT1G50790, AT1G48145	Bra018879, Bra018880
OG0000109	AT4G16050	Bra038047
OG0000109	AT5G18510, AT1G50830	Bra018874
OG0000110	AT4G16730	Bra038504
OG0000110	AT4G16740	Bra021082
OG0000110	AT2G24210	Bra000568, Bra000727
OG0000110	AT3G25820, AT3G25830, AT3G25810	Bra025164, Bra025163
OG0000113	AT3G58960	Bra031480
OG0000114	AT5G18600	Bra002171, Bra023688, Bra006467
OG0000114	AT4G15670, AT4G15660	Bra033499
OG0000114	AT4G15690, AT4G15700	Bra038076
OG0000114	AT4G15680	Bra033503, Bra033501
OG0000115	AT5G17760	Bra002103, Bra006418, Bra023635
OG0000115	AT2G18193, AT2G18190	Bra024477, Bra037232
OG0000115	AT3G50930	Bra036846, Bra012877
OG0000116	AT5G60380	Bra014352
OG0000116	AT5G25415	Bra038027, Bra020514, Bra020515, Bra020478
OG0000116	AT5G11660	Bra002860, Bra008946, Bra008944
OG0000116	AT5G04933, AT5G04937	Bra028614
OG0000117	AT2G43510	Bra004768
OG0000117	AT2G43535	Bra037705, Bra037707
OG0000117	AT1G47540, AT2G43520	Bra000309
OG0000119	AT2G43260, AT2G43445, AT2G43440	Bra004755
OG0000119	AT2G42955, AT2G30615, AT2G30385, AT1G49790	Bra006331
OG0000120	AT1G01380	Bra032635
OG0000120	AT4G01060	Bra037388, Bra008539, Bra000941
OG0000120	AT5G53200	Bra022637, Bra029089, Bra026297
OG0000121	AT1G75830	Bra015809
OG0000121	AT1G55010	Bra025396
OG0000123	AT3G60640, AT2G45170	Bra003310, Bra000376
OG0000123	AT4G16520	Bra040738, Bra012710
OG0000123	AT2G05630	Bra013172
OG0000123	AT4G04620	Bra029509
OG0000123	AT4G21980	Bra013578, Bra019407
OG0000124	AT1G21280	Bra025885
OG0000125	AT1G64840	Bra032068
OG0000125	AT2G24250	Bra032065, Bra032064
OG0000126	AT5G38344	Bra039483, Bra031955
OG0000128	AT2G13630, AT3G04660	Bra036715, Bra040124, Bra021590, Bra040128, Bra032811, Bra032858
OG0000129	AT1G47390	Bra023232, Bra029851
OG0000129	AT3G16590	Bra021260
OG0000130	ATMG00850	Bra017917
OG0000130	ATMG00860	Bra040265
OG0000132	AT2G18328	Bra039617
OG0000132	AT4G36570	Bra010560, Bra011691
OG0000132	AT1G19510	Bra012183, Bra025745
OG0000132	AT1G75250	Bra008186
OG0000132	AT4G39250	Bra011870
OG0000132	AT2G21650	Bra000579, Bra031209, Bra030285
OG0000133	AT5G28000, AT5G28010	Bra012362, Bra016364
OG0000133	AT1G70880	Bra016180, Bra016181
OG0000134	AT5G46520, AT5G46510, AT5G46490, AT1G31540, AT5G46260, AT5G46500, AT5G46270	Bra022071, Bra022034, Bra001175
OG0000134	AT5G40060	Bra022037, Bra022039
OG0000134	AT5G46450	Bra022036
OG0000134	AT5G46470	Bra017544
OG0000135	AT1G69660, AT1G69650	Bra003989, Bra007873, Bra007874
OG0000137	AT1G29450	Bra032322, Bra032317
OG0000137	AT1G29460	Bra010827, Bra010826, Bra032321, Bra010828
OG0000138	AT1G78400	Bra035034
OG0000138	AT2G33160	Bra021830, Bra022928
OG0000138	AT1G17150	Bra025997
OG0000138	AT1G43080, AT1G43090, AT1G43100, AT2G40310, AT4G13760, AT2G26620, AT2G15470, AT2G15460, AT2G15450	Bra000327, Bra014753, Bra000645, Bra004111, Bra000183, Bra017014
OG0000140	AT2G07200	Bra015114
OG0000143	AT3G18650	Bra037571, Bra022341
OG0000143	AT4G02235, AT5G65330, AT4G11250	Bra031864
OG0000143	AT5G40070, AT5G40120, AT5G41200, AT5G40220, AT5G38740, AT5G37415, AT5G39810, AT5G39750	Bra025619, Bra025607, Bra025609
OG0000144	AT2G45570, AT2G45560	Bra039327, Bra039328
OG0000144	AT1G33730, AT1G33720	Bra039329
OG0000144	AT3G61040	Bra007571
OG0000144	AT2G45580	Bra004921
OG0000146	AT4G35200	Bra020804, Bra017704
OG0000146	AT4G35210	Bra020805
OG0000146	AT2G17070, AT2G17080	Bra002019, Bra013031
OG0000149	AT1G56145	Bra003333
OG0000149	AT1G56140, AT1G56130, AT1G56120	Bra030813
OG0000150	AT1G35035, AT1G34840, AT1G34850, AT1G34795, AT1G34830, AT1G34810, AT1G34815, AT1G34792, AT1G34825, AT1G34805, AT1G34820, AT1G34800, AT1G34930, AT1G34860, AT1G21835	Bra012328
OG0000150	AT1G21864, AT1G21866	Bra009566
OG0000153	AT1G21620	Bra002580, Bra002553, Bra006705, Bra006704, Bra006703, Bra002550, Bra002551, Bra002548, Bra020306
OG0000153	AT5G60110, AT5G60180	Bra020291, Bra006678, Bra038408, Bra002507, Bra002511, Bra002534
OG0000154	AT3G60140	Bra014510, Bra007510
OG0000154	AT2G44460	Bra004837, Bra037650
OG0000155	AT2G26720, AT2G31050	Bra018283, Bra018282, Bra021616, Bra021613, Bra029251
OG0000156	AT5G57260	Bra006829
OG0000156	AT2G02580	Bra032928
OG0000156	AT3G26330, AT3G26320	Bra040819
OG0000156	AT3G26300, AT3G26310	Bra040821
OG0000156	AT3G26290	Bra034237
OG0000158	AT1G48660	Bra040812
OG0000158	AT5G51470	Bra029173, Bra022550
OG0000159	AT4G26280	Bra026450, Bra041015
OG0000159	AT5G43690	Bra027666, Bra034521, Bra034520, Bra009164, Bra005879, Bra005876, Bra005878
OG0000160	AT1G70120	Bra007897
OG0000160	AT3G54410, AT1G70040	Bra016243, Bra016242, Bra016222
OG0000162	AT1G09665	Bra020002
OG0000162	AT2G03030, AT2G03300	Bra026558, Bra017391
OG0000162	AT1G47370, AT1G57850	Bra038144
OG0000163	AT2G05540	Bra013175
OG0000163	AT2G05530	Bra013176
OG0000164	AT4G21860	Bra013565, Bra038753
OG0000164	AT4G21850	Bra020868
OG0000164	AT4G04830, AT4G04810	Bra000806
OG0000166	AT3G05650, AT3G05660	Bra034278
OG0000166	AT2G15080, AT2G15042	Bra013112, Bra008930
OG0000166	AT3G28890, AT3G11010, AT5G27060, AT3G11080	Bra001388, Bra034161, Bra034163
OG0000167	AT3G12580	Bra038734
OG0000167	AT1G16030	Bra016644, Bra026084
OG0000167	AT5G02500	Bra009583
OG0000170	AT2G29735	Bra039998
OG0000170	AT5G63230	Bra038618
OG0000171	AT4G03440	Bra034211
OG0000171	AT4G03500	Bra020727
OG0000173	AT1G60880, AT1G60920	Bra040965, Bra027116
OG0000173	AT5G04640, AT4G14530, AT1G46408	Bra009436
OG0000174	AT1G66850	Bra040627
OG0000174	AT5G38197, AT5G38195, AT5G38180	Bra028162
OG0000174	AT3G57310	Bra030699, Bra008375, Bra027114, Bra027111, Bra018687
OG0000178	AT1G05920	Bra015465
OG0000178	AT1G32030	Bra023229
OG0000178	AT5G24050, AT3G24850	Bra027159
OG0000178	AT1G05930	Bra015425
OG0000179	AT1G47620, AT1G66030	Bra033624
OG0000179	AT5G02900	Bra028210
OG0000179	AT4G39510	Bra011859
OG0000179	AT4G32170	Bra033625, Bra033626
OG0000180	AT1G75630	Bra025781
OG0000180	AT4G34720	Bra011556
OG0000180	AT4G34720	Bra017674
OG0000180	AT4G34720	Bra013066
OG0000180	AT4G34720	Bra034649
OG0000180	AT4G34720	Bra033584
OG0000180	AT4G38920	Bra011556
OG0000180	AT4G38920	Bra017674
OG0000180	AT4G38920	Bra013066
OG0000180	AT4G38920	Bra034649
OG0000180	AT4G38920	Bra033584
OG0000180	AT2G16510	Bra011556
OG0000180	AT2G16510	Bra017674
OG0000180	AT2G16510	Bra013066
OG0000180	AT2G16510	Bra034649
OG0000180	AT2G16510	Bra033584
OG0000182	AT4G19975	Bra012524
