Orthogroup	Arabidopsis_thaliana	Arabis_alpina
OG0000032	AT5G38260, AT5G38250, AT5G38240	AALP_AA6G351400
OG0000032	AT1G66930, AT1G67000	AALP_AA2G085000, AALP_AA8G115600
OG0000033	AT1G62630, AT1G63360, AT1G63350	AALP_AA2G014400, AALP_AA3G336200, AALP_AAs55447U000100, AALP_AA2G014600, AALP_AA2G015600
OG0000033	AT1G12210	AALP_AA8G086900, AALP_AA1G131900
OG0000033	AT1G12220	AALP_AA2G014300
OG0000033	AT5G63020	AALP_AA8G461900, AALP_AA8G462000
OG0000037	AT3G18780, AT1G49240	AALP_AAs41934U000200
OG0000038	AT3G26920, AT3G26930	AALP_AA6G354700
OG0000038	AT3G26922	AALP_AA5G036700
OG0000038	AT3G51530	AALP_AA8G448900, AALP_AA3G045900, AALP_AA1G046900, AALP_AA5G156600
OG0000038	AT3G55670	AALP_AA8G448800, AALP_AA6G282500
OG0000039	AT4G23200	AALP_AA7G060300, AALP_AA7G060600
OG0000039	AT4G23190	AALP_AA7G059500
OG0000039	AT4G23220	AALP_AA7G060200
OG0000039	AT4G11480, AT4G11470	AALP_AA6G305600
OG0000040	AT3G12220	AALP_AA3G132800
OG0000040	AT2G22980, AT2G22920, AT2G22970, AT2G23000, AT2G22990, AT2G23010	AALP_AA2G118800
OG0000040	AT3G10450	AALP_AA3G112600, AALP_AA3G112800, AALP_AA3G112700
OG0000040	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270	AALP_AA3G248300
OG0000042	AT3G59000, AT5G38390, AT5G38386, AT5G38391, AT1G52650, AT4G13960, AT5G38396, AT5G38392, AT3G58820, AT3G58910	AALP_AA5G239800, AALP_AA5G240300
OG0000042	AT3G58900	AALP_AA5G239700
OG0000042	AT3G03040, AT3G03030	AALP_AA3G024400, AALP_AA3G024600, AALP_AA6G020000
OG0000042	AT3G58950	AALP_AAs68706U000100
OG0000043	AT3G47570	AALP_AA5G105200
OG0000044	AT1G61990	AALP_AAs50016U000200
OG0000044	AT1G62150, AT1G62010, AT1G62120	AALP_AA2G021700, AALP_AA3G075200, AALP_AA2G020700, AALP_AA2G016400, AALP_AA2G016300, AALP_AA2G021800, AALP_AAs60874U000100
OG0000045	AT4G23130	AALP_AA6G028000
OG0000045	AT4G23180	AALP_AAs48628U000100, AALP_AAs43447U000100
OG0000045	AT4G23230	AALP_AA7G174300, AALP_AA6G028200, AALP_AA6G028400
OG0000046	AT4G36150	AALP_AAs64007U000100, AALP_AAs64007U000500, AALP_AA7G236900
OG0000046	AT4G19530, AT3G51570	AALP_AA5G140300
OG0000046	AT5G45200	AALP_AA4G059000
OG0000046	AT2G17060	AALP_AA3G328900
OG0000046	AT5G45230	AALP_AAs46094U000400
OG0000048	AT4G00155	AALP_AA5G271800, AALP_AAs73464U000100
OG0000048	AT5G28190	AALP_AAs49867U000100
OG0000050	AT5G10980	AALP_AA2G198300
OG0000050	AT5G10980	AALP_AA6G242400
OG0000050	AT4G40040	AALP_AA2G198300
OG0000050	AT4G40040	AALP_AA6G242400
OG0000050	AT1G09200	AALP_AA1G095700
OG0000050	AT1G09200	AALP_AA8G099100
OG0000050	AT1G09200	AALP_AA8G487900
OG0000050	AT1G09200	AALP_AA8G487700
OG0000050	AT1G09200	AALP_AA8G099000
OG0000050	AT5G65360	AALP_AA1G095700
OG0000050	AT5G65360	AALP_AA8G099100
OG0000050	AT5G65360	AALP_AA8G487900
OG0000050	AT5G65360	AALP_AA8G487700
OG0000050	AT5G65360	AALP_AA8G099000
OG0000050	AT5G10390	AALP_AA1G095700
OG0000050	AT5G10390	AALP_AA8G099100
OG0000050	AT5G10390	AALP_AA8G487900
OG0000050	AT5G10390	AALP_AA8G487700
OG0000050	AT5G10390	AALP_AA8G099000
OG0000050	AT5G10400	AALP_AA1G095700
OG0000050	AT5G10400	AALP_AA8G099100
OG0000050	AT5G10400	AALP_AA8G487900
OG0000050	AT5G10400	AALP_AA8G487700
OG0000050	AT5G10400	AALP_AA8G099000
OG0000050	AT3G27360	AALP_AA1G095700
OG0000050	AT3G27360	AALP_AA8G099100
OG0000050	AT3G27360	AALP_AA8G487900
OG0000050	AT3G27360	AALP_AA8G487700
OG0000050	AT3G27360	AALP_AA8G099000
OG0000050	AT1G13370, AT1G75600	AALP_AA8G105500
OG0000051	AT5G08391	AALP_AA8G080900
OG0000051	AT3G01950	AALP_AA3G010700
OG0000051	AT5G14110	AALP_AA8G141200
OG0000051	AT3G01940	AALP_AA3G010600
OG0000051	AT3G48660	AALP_AA5G109200
OG0000051	AT5G63500	AALP_AA8G466600
OG0000053	AT4G14640	AALP_AAs70636U001500
OG0000053	AT3G22930	AALP_AA3G262000
OG0000053	AT3G56800	AALP_AA4G194800
OG0000053	AT3G56800	AALP_AA5G210400
OG0000053	AT2G41110, AT2G27030	AALP_AA6G241500
OG0000054	AT1G12090	AALP_AA1G129700
OG0000054	AT1G62510	AALP_AA8G178400
OG0000054	AT4G12520, AT4G12510	AALP_AA6G185200
OG0000054	AT2G45180	AALP_AA4G240600
OG0000054	AT4G22460	AALP_AA7G051200
OG0000057	AT5G57350	AALP_AA8G362400
OG0000057	AT2G24520	AALP_AA6G270500
OG0000057	AT1G80660	AALP_AA2G258100
OG0000057	AT3G42640	AALP_AA5G067500
OG0000057	AT2G07560	AALP_AA8G439300, AALP_AA3G306500
OG0000057	AT4G30190	AALP_AA7G152400
OG0000057	AT2G18960	AALP_AA3G353600
OG0000060	AT5G22880	AALP_AA8G405800
OG0000060	AT5G02570, AT3G09480	AALP_AA8G015300
OG0000060	AT3G53650	AALP_AA3G100500
OG0000060	AT2G37470	AALP_AA5G168600
OG0000060	AT5G59910, AT3G45980, AT3G46030	AALP_AA8G395500
OG0000062	AT2G27010, AT2G27000	AALP_AA7G164900
OG0000062	AT2G14100, AT3G32047	AALP_AA3G231600, AALP_AA8G485600
OG0000062	AT3G20100	AALP_AA7G094400
OG0000064	AT2G20290	AALP_AA3G369800, AALP_AA3G256100
OG0000064	AT1G04160	AALP_AA1G035800
OG0000064	AT1G17580	AALP_AA1G194000
OG0000064	AT5G20490	AALP_AA8G226900
OG0000064	AT1G08730	AALP_AA1G091000
OG0000065	AT1G75780	AALP_AA2G200900
OG0000065	AT5G44340	AALP_AA6G140100
OG0000065	AT4G20890	AALP_AA7G033000
OG0000065	AT5G23860	AALP_AA8G414100
OG0000065	AT2G29550	AALP_AA1G232100
OG0000065	AT5G62690, AT5G62700	AALP_AA5G090900, AALP_AA8G459200
OG0000066	AT4G11700	AALP_AA1G008400, AALP_AA1G005600
OG0000066	AT1G02770, AT1G19060	AALP_AA8G037600
OG0000066	AT1G27860, AT1G28500	AALP_AA4G073300, AALP_AA4G073200
OG0000066	AT5G41640, AT3G57210	AALP_AA6G028700, AALP_AA8G036100
OG0000068	AT2G25700, AT1G20140	AALP_AA1G220400, AALP_AA5G237300
OG0000068	AT1G75950	AALP_AA2G203200
OG0000068	AT3G60010	AALP_AA4G072500, AALP_AA4G072600
OG0000068	AT3G53060, AT3G60020, AT3G21860, AT3G21830, AT3G21840, AT3G21850, AT4G34470, AT4G34210	AALP_AA5G254800, AALP_AA5G254700
OG0000069	AT3G53730	AALP_AA1G077500
OG0000069	AT3G53730	AALP_AA4G151600
OG0000069	AT3G53730	AALP_AA5G083600
OG0000069	AT3G53730	AALP_AA5G170000
OG0000069	AT3G53730	AALP_AA5G083900
OG0000069	AT3G53730	AALP_AA8G392100
OG0000069	AT3G53730	AALP_AA8G395900
OG0000069	AT1G07820	AALP_AA1G077500
OG0000069	AT1G07820	AALP_AA4G151600
OG0000069	AT1G07820	AALP_AA5G083600
OG0000069	AT1G07820	AALP_AA5G170000
OG0000069	AT1G07820	AALP_AA5G083900
OG0000069	AT1G07820	AALP_AA8G392100
OG0000069	AT1G07820	AALP_AA8G395900
OG0000069	AT5G59690	AALP_AA1G077500
OG0000069	AT5G59690	AALP_AA4G151600
OG0000069	AT5G59690	AALP_AA5G083600
OG0000069	AT5G59690	AALP_AA5G170000
OG0000069	AT5G59690	AALP_AA5G083900
OG0000069	AT5G59690	AALP_AA8G392100
OG0000069	AT5G59690	AALP_AA8G395900
OG0000069	AT3G46320	AALP_AA1G077500
OG0000069	AT3G46320	AALP_AA4G151600
OG0000069	AT3G46320	AALP_AA5G083600
OG0000069	AT3G46320	AALP_AA5G170000
OG0000069	AT3G46320	AALP_AA5G083900
OG0000069	AT3G46320	AALP_AA8G392100
OG0000069	AT3G46320	AALP_AA8G395900
OG0000069	AT2G28740	AALP_AA1G077500
OG0000069	AT2G28740	AALP_AA4G151600
OG0000069	AT2G28740	AALP_AA5G083600
OG0000069	AT2G28740	AALP_AA5G170000
OG0000069	AT2G28740	AALP_AA5G083900
OG0000069	AT2G28740	AALP_AA8G392100
OG0000069	AT2G28740	AALP_AA8G395900
OG0000069	AT1G07660	AALP_AA1G077500
OG0000069	AT1G07660	AALP_AA4G151600
OG0000069	AT1G07660	AALP_AA5G083600
OG0000069	AT1G07660	AALP_AA5G170000
OG0000069	AT1G07660	AALP_AA5G083900
OG0000069	AT1G07660	AALP_AA8G392100
OG0000069	AT1G07660	AALP_AA8G395900
OG0000069	AT3G45930	AALP_AA1G077500
OG0000069	AT3G45930	AALP_AA4G151600
OG0000069	AT3G45930	AALP_AA5G083600
OG0000069	AT3G45930	AALP_AA5G170000
OG0000069	AT3G45930	AALP_AA5G083900
OG0000069	AT3G45930	AALP_AA8G392100
OG0000069	AT3G45930	AALP_AA8G395900
OG0000069	AT5G59970	AALP_AA1G077500
OG0000069	AT5G59970	AALP_AA4G151600
OG0000069	AT5G59970	AALP_AA5G083600
OG0000069	AT5G59970	AALP_AA5G170000
OG0000069	AT5G59970	AALP_AA5G083900
OG0000069	AT5G59970	AALP_AA8G392100
OG0000069	AT5G59970	AALP_AA8G395900
OG0000070	AT4G38860	AALP_AA7G266200
OG0000070	AT2G21220	AALP_AA2G165700
OG0000070	AT2G18010	AALP_AA3G340300
OG0000070	AT4G36110	AALP_AA7G235900
OG0000070	AT1G75580	AALP_AA2G198100
OG0000070	AT1G19830	AALP_AA1G217300
OG0000070	AT2G16580	AALP_AA3G326200
OG0000070	AT4G34760	AALP_AA7G218300
OG0000071	AT4G27050	AALP_AA8G062000
OG0000071	AT5G12450, AT1G48400, AT1G47920, AT1G48390	AALP_AA4G080600
OG0000072	AT4G07445, AT2G07505, AT2G06265, AT3G30165	AALP_AA1G177000
OG0000073	AT1G43760, AT1G40390	AALP_AA7G055000, AALP_AA4G116900, AALP_AAs69811U000200
OG0000074	AT5G59190	AALP_AA8G385200
OG0000074	AT3G46840, AT3G46850	AALP_AA5G090000
OG0000074	AT5G59100	AALP_AA8G381300
OG0000074	AT5G59090, AT5G59120	AALP_AA8G381500
OG0000074	AT5G59110	AALP_AAs64312U000100
OG0000077	AT2G33060	AALP_AA6G066400
OG0000077	AT2G33050	AALP_AA6G066500
OG0000077	AT3G25010, AT3G25020, AT3G24982, AT3G24900	AALP_AA6G074600, AALP_AA8G145500
OG0000078	AT1G20090	AALP_AA1G219700
OG0000078	AT1G75840	AALP_AA2G202200
OG0000078	AT4G35020	AALP_AA7G222000, AALP_AA4G166100
OG0000078	AT5G45970	AALP_AA6G120700
OG0000078	AT4G35950	AALP_AA3G337500, AALP_AA7G234300
OG0000078	AT3G51300	AALP_AA5G136700
OG0000079	AT4G32410	AALP_AA7G186800
OG0000079	AT5G44030	AALP_AA6G143600
OG0000079	AT5G17420	AALP_AA8G184200
OG0000079	AT5G09870	AALP_AA8G091900
OG0000083	AT4G25350	AALP_AA7G080800
OG0000083	AT1G26730, AT1G35350	AALP_AA1G278500
OG0000083	AT1G14040	AALP_AA1G154500, AALP_AA1G155200, AALP_AA1G154600
OG0000083	AT2G03250	AALP_AA5G020900
OG0000083	AT2G03260	AALP_AA5G021000
OG0000083	AT2G03240	AALP_AA5G019500
OG0000084	AT4G27960	AALP_AA7G117600
OG0000085	AT1G05080	AALP_AA8G373900
OG0000085	AT3G53550	AALP_AA7G240300
OG0000086	AT5G52360	AALP_AA8G300400
OG0000086	AT5G59890	AALP_AA8G395300
OG0000086	AT5G59880	AALP_AA8G395200
OG0000086	AT3G45990, AT3G46000	AALP_AA5G084200
OG0000088	AT5G60300	AALP_AA8G400300
OG0000088	AT5G60270	AALP_AA8G399900, AALP_AA8G400100
OG0000088	AT3G45410	AALP_AA5G080000
OG0000089	AT2G06420	AALP_AAs43157U000100
OG0000090	AT2G29330	AALP_AA3G342400, AALP_AAs67532U000400
OG0000090	AT2G29340	AALP_AA3G304100
OG0000090	AT2G29300, AT2G29320	AALP_AAs48252U001400
OG0000093	AT5G19270	AALP_AA8G456200
OG0000094	AT1G61370	AALP_AA2G031600
OG0000094	AT1G61550, AT1G61500, AT1G61430, AT1G61400, AT1G61440, AT1G61490, AT1G61420, AT1G61460, AT1G61475, AT1G61480	AALP_AA2G029700
OG0000095	AT4G23670, AT4G23680	AALP_AA2G045800, AALP_AA7G066600
OG0000095	AT3G26460, AT3G26450	AALP_AA7G066500
OG0000095	AT1G14950	AALP_AA1G240300
OG0000095	AT1G14930, AT1G14940	AALP_AA7G200900
OG0000095	AT2G01520	AALP_AA5G005500
OG0000096	AT1G74170, AT1G74190	AALP_AA2G180500
OG0000098	AT1G66950, AT2G36380	AALP_AA4G110300
OG0000098	AT2G26910	AALP_AA6G243800
OG0000098	AT3G30842	AALP_AA5G065100
OG0000098	AT1G15520	AALP_AA1G175900
OG0000098	AT1G59870	AALP_AA2G248800
OG0000098	AT3G16340	AALP_AA3G185300
OG0000099	AT1G02440, AT1G02430	AALP_AA1G017400
OG0000100	AT3G26616	AALP_AA2G073500, AALP_AAs44455U000100, AALP_AAs61703U000100, AALP_AA7G184200, AALP_AA1G085800
OG0000103	AT4G21650, AT4G21640, AT4G21630	AALP_AA7G041500
OG0000103	AT4G10510	AALP_AA6G166800
OG0000103	AT4G10550	AALP_AA6G166900
OG0000103	AT1G32950, AT1G32960, AT1G32940	AALP_AA1G336300, AALP_AA1G336600, AALP_AAs60950U000100
OG0000103	AT1G32970	AALP_AA1G336500
OG0000104	AT5G12090	AALP_AA8G255200, AALP_AA8G249800
OG0000106	AT1G65200	AALP_AA1G326800
OG0000106	AT1G65110, AT1G65120	AALP_AA3G326900
OG0000106	AT1G52450, AT1G52430, AT5G61950, AT5G61940, AT5G51530, AT2G27630, AT2G27650	AALP_AA8G449800, AALP_AA8G450500, AALP_AA8G449900
OG0000108	AT5G43360, AT5G43350, AT5G43370	AALP_AA6G150400, AALP_AA6G150600, AALP_AA6G150500
OG0000109	AT4G16050	AALP_AA1G229600
OG0000109	AT1G51538	AALP_AA5G194000, AALP_AA4G044500, AALP_AA4G044400, AALP_AAs41122U000300
OG0000110	AT4G16730	AALP_AAs66747U002500
OG0000110	AT2G24210	AALP_AAs42086U000100
OG0000110	AT3G25820, AT3G25830, AT3G25810	AALP_AA5G230300
OG0000113	AT3G58980	AALP_AA5G174500
OG0000113	AT3G62440	AALP_AA3G179500
OG0000114	AT5G18600	AALP_AA8G202600
OG0000114	AT4G15670, AT4G15660	AALP_AA1G115200, AALP_AAs55560U000200, AALP_AAs55560U000300, AALP_AAs50914U000200
OG0000114	AT4G15690, AT4G15700	AALP_AA1G115300, AALP_AAs55560U000100
OG0000115	AT5G17740, AT5G17750, AT5G17730	AALP_AA8G189900
OG0000115	AT5G17760	AALP_AA8G190000
OG0000115	AT2G18193, AT2G18190	AALP_AA3G342000
OG0000115	AT3G50940	AALP_AA5G132900
OG0000115	AT3G50930	AALP_AA5G132800
OG0000116	AT5G25410, AT5G60380, AT5G25415	AALP_AA3G050500, AALP_AA8G423000, AALP_AA8G429100
OG0000117	AT1G47540, AT2G43520	AALP_AA6G233000, AALP_AA6G232800, AALP_AA6G233100, AALP_AA6G232900
OG0000119	AT2G43270	AALP_AA1G344300
OG0000120	AT1G01380	AALP_AA1G006200
OG0000120	AT4G01060	AALP_AA6G014300
OG0000120	AT5G53200	AALP_AA8G313200
OG0000120	AT2G30424	AALP_AAs72293U000200
OG0000120	AT2G46410	AALP_AA4G252900
OG0000121	AT2G26020, AT2G26010, AT5G44430, AT5G44420	AALP_AA2G201500
OG0000123	AT4G16520	AALP_AA8G261100
OG0000125	AT1G64840	AALP_AA8G326500
OG0000126	AT4G04110	AALP_AAs59823U000400
OG0000126	AT1G57630	AALP_AA1G262200
OG0000129	AT2G14710, AT3G16580, AT3G16590	AALP_AA3G355700
OG0000130	ATMG00850	AALP_AA7G088600, AALP_AA6G158300, AALP_AA6G157100, AALP_AA6G158000, AALP_AAs56513U000200, AALP_AAs58075U000100, AALP_AA5G271700, AALP_AAs58004U000100
OG0000130	ATMG00860	AALP_AA3G341400, AALP_AA3G106900, AALP_AA7G109500, AALP_AAs73216U000100, AALP_AAs71112U000100, AALP_AA1G173500, AALP_AA8G317800, AALP_AAs48021U000700, AALP_AA6G202700, AALP_AA2G041700, AALP_AA1G163700, AALP_AA7G098300, AALP_AA2G041600, AALP_AAs54367U000800, AALP_AAs52132U000100, AALP_AA1G251300, AALP_AA6G350400, AALP_AA7G152200, AALP_AA8G499800, AALP_AAs67984U000100, AALP_AAs43195U000200, AALP_AAs67613U000200, AALP_AA3G336600, AALP_AA4G124900, AALP_AA2G074100, AALP_AAs42979U000100, AALP_AAs46225U000100, AALP_AA1G340100, AALP_AA2G009700, AALP_AA3G368400, AALP_AA5G106200, AALP_AA6G281200, AALP_AA3G181900, AALP_AA2G052000, AALP_AA6G346300, AALP_AA1G155400, AALP_AA8G165200, AALP_AA3G264600, AALP_AAs39056U000500
OG0000132	AT2G18328	AALP_AA3G346800
OG0000132	AT1G19510	AALP_AA1G213900
OG0000132	AT1G75250	AALP_AA2G194600
OG0000132	AT4G39250	AALP_AA7G270400
OG0000132	AT2G21650	AALP_AA6G298600
OG0000133	AT5G28000, AT5G28010	AALP_AA1G252600, AALP_AA1G252500
OG0000133	AT1G70840	AALP_AA2G139300
OG0000133	AT1G70880	AALP_AA2G139600
OG0000134	AT4G08450	AALP_AA6G115400
OG0000135	AT2G15710	AALP_AA8G053600
OG0000135	AT1G69660, AT1G69650	AALP_AA2G066400, AALP_AAs50688U000100, AALP_AAs64263U000100
OG0000137	AT1G29510, AT1G29440, AT1G29430, AT5G27780, AT1G29420	AALP_AA1G301800
OG0000137	AT1G29460	AALP_AA1G300600, AALP_AA8G354200, AALP_AA1G300400, AALP_AA1G302500
OG0000138	AT2G33160	AALP_AA3G273300, AALP_AA6G065400
OG0000138	AT1G43080, AT1G43090, AT1G43100, AT2G40310, AT4G13760, AT2G26620, AT2G15470, AT2G15460, AT2G15450	AALP_AA4G190200
OG0000140	AT2G07200	AALP_AA8G186400
OG0000143	AT3G18650	AALP_AA3G214200
OG0000144	AT2G45550	AALP_AA4G244600
OG0000144	AT2G45570, AT2G45560	AALP_AA4G244800, AALP_AA8G146600
OG0000144	AT2G45580	AALP_AA4G245200
OG0000146	AT4G35210	AALP_AA7G225000
OG0000146	AT2G17070, AT2G17080	AALP_AA3G329700
OG0000149	AT1G56145	AALP_AA4G003000
OG0000149	AT1G56140, AT1G56130, AT1G56120	AALP_AA4G003100
OG0000150	AT3G24465, AT5G36720, AT5G36805, AT5G38378, AT5G34828, AT1G58242, AT1G54775, AT1G58245, AT1G58248, AT1G35035, AT1G34840, AT1G34850, AT1G34795, AT1G34830, AT1G34810, AT1G34815, AT1G34792, AT1G34825, AT1G34805, AT1G34820, AT1G34800, AT1G34930, AT1G34860, AT1G21835, AT1G21928, AT1G21925, AT1G21864, AT1G21866	AALP_AA1G240200
OG0000153	AT1G21620	AALP_AA8G389800, AALP_AA8G382700, AALP_AAs55710U000100
OG0000153	AT5G60110, AT5G60180	AALP_AA8G397500
OG0000154	AT5G24550, AT5G24540	AALP_AAs43395U000100
OG0000154	AT3G60140	AALP_AA5G255600, AALP_AA5G255500
OG0000154	AT2G44470	AALP_AA4G233600
OG0000154	AT2G44460	AALP_AA4G233500
OG0000155	AT2G26720, AT2G31050	AALP_AA6G088600
OG0000156	AT5G57260	AALP_AA8G361500
OG0000156	AT3G26330, AT3G26320	AALP_AA5G030000
OG0000156	AT3G26300, AT3G26310	AALP_AA5G029900
OG0000156	AT3G26290	AALP_AA5G031400, AALP_AA5G029400, AALP_AA5G029300, AALP_AA5G031500
OG0000158	AT5G51470	AALP_AA5G274100
OG0000160	AT3G60700, AT1G70120, AT3G54410, AT1G70040, AT1G70020, AT5G39330	AALP_AA3G080900
OG0000162	AT1G09665	AALP_AA1G101500
OG0000162	AT1G57830, AT1G60320	AALP_AA1G101800
OG0000163	AT2G05540	AALP_AAs71754U000100, AALP_AA3G363200, AALP_AA3G363100
OG0000163	AT2G05380, AT2G05520	AALP_AA3G241000, AALP_AA3G232900
OG0000163	AT2G05530	AALP_AAs50142U000100
OG0000164	AT4G21860	AALP_AA7G044300
OG0000164	AT4G04840	AALP_AA6G054500
OG0000164	AT4G21830, AT4G21840	AALP_AA7G043600, AALP_AA7G043500
OG0000164	AT4G21850	AALP_AA7G044100, AALP_AA7G044000, AALP_AA7G043800, AALP_AA7G043700, AALP_AA7G043900
OG0000164	AT4G04830	AALP_AA6G054300, AALP_AA6G054400
OG0000167	AT3G09440	AALP_AA3G100200
OG0000167	AT5G02500	AALP_AA8G018100
OG0000167	AT1G56410	AALP_AA4G218800, AALP_AA6G274700
OG0000170	AT2G29735	AALP_AAs58904U000400
OG0000173	AT5G04640, AT4G14530, AT1G46408	AALP_AA8G133900
OG0000174	AT1G66850	AALP_AA2G084400
OG0000174	AT5G38197, AT5G38195, AT5G38180	AALP_AA6G352500
OG0000174	AT3G57310	AALP_AA1G079200
OG0000178	AT1G32030	AALP_AA5G193700, AALP_AA1G056500
OG0000179	AT1G47620, AT1G66030	AALP_AAs38949U000100
OG0000179	AT4G39510	AALP_AA7G273500
OG0000179	AT4G32170	AALP_AA3G060700, AALP_AA6G057700
OG0000180	AT1G19910	AALP_AA1G217500
OG0000180	AT4G34720	AALP_AA3G325100
OG0000180	AT4G34720	AALP_AA7G266800
OG0000180	AT4G34720	AALP_AA7G217800
OG0000180	AT4G38920	AALP_AA3G325100
OG0000180	AT4G38920	AALP_AA7G266800
OG0000180	AT4G38920	AALP_AA7G217800
OG0000180	AT2G16510	AALP_AA3G325100
OG0000180	AT2G16510	AALP_AA7G266800
OG0000180	AT2G16510	AALP_AA7G217800
OG0000182	AT4G15970	AALP_AA1G317200
OG0000182	AT4G19975	AALP_AA7G026100
OG0000182	AT5G44820	AALP_AA6G137600
OG0000182	AT1G14590	AALP_AA5G011000
OG0000183	AT3G47790	AALP_AA5G099500
OG0000183	AT5G61740	AALP_AA8G447700
