Orthogroup	Thellungiella_parvula	Capsella_rubella
OG0000051	Sp3g00160.1	Carub.0003s0015.1.p
OG0000051	Sp6g12730.1	Carub.0008s1065.1.p
OG0000051	Sp5g13350.1	Carub.0005s1480.1.p
OG0000051	Sp2g26580.1	Carub.0008s2420.1.p
OG0000053	Sp7g04290.1, Sp5g21490.1	Carub.0007s3294.1.p, Carub.0002s1246.1.p
OG0000053	Sp7g12750.1	Carub.0007s2756.1.p
OG0000053	Sp3g20610.1	Carub.0003s2306.1.p
OG0000053	Sp5g05790.1	Carub.0005s2353.1.p
OG0000053	Sp4g23420.1	Carub.0005s2353.1.p
OG0000053	Sp5g05790.1	Carub.0004s2342.1.p
OG0000053	Sp4g23420.1	Carub.0004s2342.1.p
OG0000054	Sp1g10770.1	Carub.0001s1178.1.p
OG0000054	Sp2g02080.1	Carub.0002s0247.1.p
OG0000054	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1	Carub.0006s3168.1.p, Carub.0006s3169.1.p
OG0000054	Sp4g27230.1, SpUn0031_0090.1	Carub.0004s2780.1.p
OG0000054	Sp6g04960.1	Carub.0006s3175.1.p, Carub.0006s3182.1.p
OG0000054	SpUn0055_0010.1, Sp6g04970.1	Carub.0006s3172.1.p
OG0000057	Sp6g19080.1	Carub.0008s1787.1.p
OG0000057	Sp1g15390.1	Carub.0001s1701.1.p
OG0000057	Sp5g02900.1	Carub.0005s2708.1.p
OG0000057	Sp2g25850.1	Carub.0008s2342.1.p
OG0000057	Sp5g35100.1	Carub.0002s2690.1.p
OG0000057	Sp5g18280.1	Carub.0016s0001.1.p
OG0000057	Sp3g25350.1	Carub.0013s0011.1.p
OG0000057	Sp7g28060.1	Carub.0007s1042.1.p
OG0000057	Sp3g32410.1	Carub.0003s3319.1.p
OG0000060	Sp6g22520.1	Carub.0006s2066.1.p
OG0000060	Sp6g21620.1	Carub.0008s2052.1.p
OG0000062	Sp3g18120.1	Carub.0003s2005.1.p
OG0000062	Sp7g09440.1, Sp3g18110.1	Carub.0003s2000.1.p
OG0000064	Sp3g33520.1	Carub.0003s3462.1.p
OG0000064	Sp7g26710.1	Carub.0007s1193.1.p
OG0000064	Sp2g08710.1	Carub.0008s0469.1.p
OG0000064	Sp1g02980.1	Carub.0001s0331.1.p
OG0000064	Sp4g14250.1	Carub.0004s1320.1.p
OG0000064	Sp1g15710.1	Carub.0001s1734.1.p
OG0000064	Sp6g23970.1	Carub.0006s1882.1.p
OG0000064	Sp5g04560.1	Carub.0005s2501.1.p
OG0000064	SpUn0001_0160.1	Carub.0002s0909.1.p
OG0000064	Sp1g07380.1	Carub.0001s0808.1.p
OG0000065	Sp5g30900.1	Carub.0002s2263.1.p
OG0000065	Sp2g09180.1	Carub.0008s0413.1.p
OG0000065	Sp7g18980.1	Carub.0007s2054.1.p
OG0000065	Sp6g31390.1	Carub.0006s1076.1.p
OG0000065	Sp2g23430.1	Carub.0006s2158.1.p
OG0000065	Sp4g12280.1	Carub.0004s1060.1.p
OG0000065	Sp5g14830.1	Carub.0005s1313.1.p, Carub.0005s1309.1.p
OG0000066	Sp7g00780.1	Carub.0003s1935.1.p, Carub.0003s1934.1.p, Carub.0001s2694.1.p, Carub.0001s2632.1.p, Carub.0001s2342.1.p
OG0000068	Sp5g31070.1	Carub.0002s2286.1.p
OG0000068	Sp4g08260.1, Sp5g03170.1	Carub.0005s2675.1.p, Carub.0003s2192.1.p, Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p
OG0000069	Sp5g08650.1	Carub.0005s1176.1.p
OG0000069	Sp6g21360.1	Carub.0005s1176.1.p
OG0000069	Sp4g11600.1	Carub.0005s1176.1.p
OG0000069	Sp4g19900.1	Carub.0005s1176.1.p
OG0000069	Sp1g06390.1	Carub.0005s1176.1.p
OG0000069	Sp5g08650.1	Carub.0005s2031.1.p
OG0000069	Sp6g21360.1	Carub.0005s2031.1.p
OG0000069	Sp4g11600.1	Carub.0005s2031.1.p
OG0000069	Sp4g19900.1	Carub.0005s2031.1.p
OG0000069	Sp1g06390.1	Carub.0005s2031.1.p
OG0000069	Sp5g08650.1	Carub.0005s1217.1.p
OG0000069	Sp6g21360.1	Carub.0005s1217.1.p
OG0000069	Sp4g11600.1	Carub.0005s1217.1.p
OG0000069	Sp4g19900.1	Carub.0005s1217.1.p
OG0000069	Sp1g06390.1	Carub.0005s1217.1.p
OG0000069	Sp5g08650.1	Carub.0001s0700.1.p
OG0000069	Sp6g21360.1	Carub.0001s0700.1.p
OG0000069	Sp4g11600.1	Carub.0001s0700.1.p
OG0000069	Sp4g19900.1	Carub.0001s0700.1.p
OG0000069	Sp1g06390.1	Carub.0001s0700.1.p
OG0000069	Sp5g08650.1	Carub.0001s0717.1.p
OG0000069	Sp6g21360.1	Carub.0001s0717.1.p
OG0000069	Sp4g11600.1	Carub.0001s0717.1.p
OG0000069	Sp4g19900.1	Carub.0001s0717.1.p
OG0000069	Sp1g06390.1	Carub.0001s0717.1.p
OG0000069	Sp5g08650.1	Carub.0004s0975.1.p
OG0000069	Sp6g21360.1	Carub.0004s0975.1.p
OG0000069	Sp4g11600.1	Carub.0004s0975.1.p
OG0000069	Sp4g19900.1	Carub.0004s0975.1.p
OG0000069	Sp1g06390.1	Carub.0004s0975.1.p
OG0000069	Sp5g08650.1	Carub.0008s2033.1.p
OG0000069	Sp6g21360.1	Carub.0008s2033.1.p
OG0000069	Sp4g11600.1	Carub.0008s2033.1.p
OG0000069	Sp4g19900.1	Carub.0008s2033.1.p
OG0000069	Sp1g06390.1	Carub.0008s2033.1.p
OG0000070	Sp7g36970.1	Carub.0007s0072.1.p
OG0000070	Sp4g00400.1	Carub.0004s0025.1.p
OG0000070	Sp3g31440.1	Carub.0003s3215.1.p
OG0000070	Sp7g33890.1	Carub.0007s0412.1.p
OG0000070	Sp5g30700.1	Carub.0002s2243.1.p
OG0000070	Sp1g17620.1	Carub.0001s1934.1.p
OG0000070	Sp3g29850.1	Carub.0003s3033.1.p
OG0000070	Sp7g32540.1	Carub.0007s0553.1.p
OG0000071	Sp4g12490.1	Carub.0004s1101.1.p, Carub.0004s1100.1.p
OG0000072	Sp7g12150.1, Sp7g02510.1	Carub.0008s0706.1.p
OG0000074	Sp6g20800.1	Carub.0008s1976.1.p
OG0000074	Sp5g14890.1	Carub.0005s1307.1.p
OG0000074	Sp6g20890.1	Carub.0008s1984.1.p
OG0000074	Sp6g20510.1	Carub.0008s1946.1.p, Carub.0008s1945.1.p, Carub.0008s1947.1.p
OG0000074	Sp6g20870.1	Carub.0008s1985.1.p, Carub.0008s1983.1.p
OG0000077	Sp4g15410.1	Carub.0004s1453.1.p
OG0000077	Sp4g14900.1	Carub.0004s1404.1.p, Carub.0004s1403.1.p
OG0000078	Sp1g17860.1	Carub.0001s1962.1.p
OG0000078	Sp5g30980.1	Carub.0002s2275.1.p
OG0000078	Sp7g32780.1, Sp3g29990.1	Carub.0007s0529.1.p
OG0000078	Sp2g10850.1	Carub.0008s0195.1.p
OG0000078	Sp3g31210.1	Carub.0005s1767.1.p
OG0000079	Sp4g04890.1	Carub.0004s0525.1.p
OG0000079	Sp7g30200.1	Carub.0007s0816.1.p
OG0000079	Sp3g09190.1	Carub.0003s1011.1.p
OG0000079	Sp6g37660.1	Carub.0006s0410.1.p
OG0000079	Sp2g08870.1	Carub.0008s0451.1.p
OG0000079	Sp6g26800.1	Carub.0006s1564.1.p
OG0000079	Sp7g36530.1	Carub.0007s0125.1.p
OG0000079	Sp2g27810.1	Carub.0008s2555.1.p
OG0000079	Sp6g33540.1	Carub.0006s0830.1.p
OG0000080	Sp7g14750.1	Carub.0001s2878.1.p
OG0000083	Sp7g23370.1	Carub.0007s1566.1.p
OG0000083	Sp1g22080.1	Carub.0001s2429.1.p, Carub.0001s3299.1.p
OG0000083	Sp1g12400.1	Carub.0001s1373.1.p
OG0000083	Sp2g14180.1	Carub.0005s0217.1.p
OG0000083	Sp2g14170.1	Carub.0005s0216.1.p
OG0000084	Sp7g25920.1	Carub.0007s1287.1.p
OG0000084	Sp6g15450.1	Carub.0008s1348.1.p
OG0000084	Sp7g00370.1	Carub.0007s3378.1.p
OG0000084	Sp2g00510.1	Carub.0002s0056.1.p
OG0000084	Sp3g29980.1	Carub.0003s3054.1.p
OG0000084	Sp6g18000.1	Carub.0008s1647.1.p
OG0000084	Sp3g07130.1	Carub.0003s0782.1.p
OG0000085	Sp3g09080.1	Carub.0003s0998.1.p
OG0000085	Sp3g31850.1	Carub.0007s2619.1.p
OG0000086	Sp7g23620.1	Carub.0007s1539.1.p
OG0000086	Sp1g00550.1	Carub.0001s0046.1.p
OG0000086	Sp6g00670.1	Carub.0006s3653.1.p
OG0000086	Sp5g15590.1	Carub.0005s1187.1.p
OG0000086	Sp6g21600.1	Carub.0008s2054.1.p
OG0000086	Sp6g21590.1	Carub.0008s2056.1.p
OG0000086	Sp5g15610.1	Carub.0005s1186.1.p
OG0000088	Sp5g15930.1	Carub.0005s1126.1.p
OG0000088	Sp6g21910.1	Carub.0008s2101.1.p
OG0000088	Sp6g21880.1	Carub.0008s2099.1.p
OG0000088	Sp6g21890.1	Carub.0008s2100.1.p
OG0000088	Sp5g15920.1	Carub.0005s1127.1.p
OG0000088	Sp5g15950.1	Carub.0005s1123.1.p
OG0000088	Sp5g15940.1	Carub.0005s1125.1.p
OG0000088	Sp5g15970.1	Carub.0005s1121.1.p
OG0000088	Sp6g21920.1	Carub.0008s2103.1.p
OG0000089	Sp7g02635.1	Carub.0007s3074.1.p, Carub.0002s1014.1.p, Carub.0002s1016.1.p, Carub.0004s0685.1.p
OG0000090	Sp4g12090.1, Sp4g12160.1	Carub.0004s1184.1.p, Carub.0004s1182.1.p
OG0000090	Sp4g12085.1, Sp4g12060.1	Carub.0004s1036.1.p
OG0000090	Sp4g12080.1	Carub.0004s1035.1.p, Carub.0004s1034.1.p
OG0000094	Sp2g03070.1	Carub.0002s0372.1.p
OG0000094	Sp2g03090.1, Sp2g03117.1	Carub.0002s0374.1.p, Carub.0002s0375.1.p
OG0000094	Sp2g03110.1	Carub.0002s0379.1.p
OG0000094	Sp2g03120.1	Carub.0002s0380.1.p
OG0000095	Sp7g21600.1	Carub.0007s1745.1.p, Carub.0007s1744.1.p
OG0000095	Sp7g21610.1	Carub.0005s0443.1.p, Carub.0005s0446.1.p, Carub.0005s0445.1.p, Carub.0005s0444.1.p
OG0000096	Sp5g29380.1	Carub.0002s1339.1.p
OG0000098	Sp4g17010.1, Sp4g18670.1	Carub.0002s1323.1.p, Carub.0004s1818.1.p
OG0000098	Sp4g08450.1	Carub.0004s0741.1.p
OG0000098	Sp2g18270.1	Carub.0005s0873.1.p
OG0000098	Sp1g13880.1	Carub.0001s1530.1.p
OG0000098	Sp1g13520.1	Carub.0001s1496.1.p
OG0000098	Sp5g36020.1	Carub.0002s0539.1.p
OG0000098	Sp3g14720.1	Carub.0003s1609.1.p
OG0000099	Sp6g29370.1	Carub.0006s1284.1.p
OG0000099	Sp5g01100.1	Carub.0005s2901.1.p
OG0000099	Sp4g29160.1	Carub.0005s2901.1.p
OG0000099	Sp5g01100.1	Carub.0004s2991.1.p
OG0000099	Sp4g29160.1	Carub.0004s2991.1.p
OG0000099	Sp1g09310.1, Sp2g04250.1	Carub.0001s1010.1.p
OG0000103	Sp6g06900.1	Carub.0006s2928.1.p, Carub.0006s2927.1.p, Carub.0006s2929.1.p
OG0000103	Sp6g06870.1	Carub.0006s2931.1.p, Carub.0006s2925.1.p, Carub.0006s2932.1.p
OG0000103	Sp1g28050.1	Carub.0001s3127.1.p
OG0000103	Sp1g28060.1	Carub.0001s3126.1.p
OG0000103	Sp1g28020.1	Carub.0001s3128.1.p
OG0000104	Sp4g24190.1	Carub.0004s2425.1.p
OG0000104	Sp1g33950.1	Carub.0006s1060.1.p
OG0000104	Sp6g31530.1	Carub.0006s2504.1.p
OG0000104	Sp5g13700.1, Sp4g24500.1	Carub.0004s2472.1.p, Carub.0004s2471.1.p, Carub.0004s2468.1.p, Carub.0006s2711.1.p
OG0000106	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1	Carub.0002s1057.1.p, Carub.0002s1060.1.p
OG0000106	Sp2g25130.1	Carub.0001s4142.1.p, Carub.0008s2264.1.p, Carub.0008s2263.1.p, Carub.0008s2262.1.p, Carub.0004s0829.1.p, Carub.0004s0831.1.p
OG0000108	Sp5g07750.1	Carub.0005s2130.1.p
OG0000108	Sp4g21310.1	Carub.0004s2097.1.p
OG0000109	Sp1g37590.1	Carub.0001s3978.1.p
OG0000110	Sp2g15055.1, Sp2g15060.1	Carub.0005s0364.1.p
OG0000113	Sp5g11010.1	Carub.0005s2596.1.p, Carub.0005s2575.1.p
OG0000113	Sp5g11020.1	Carub.0003s3283.1.p, Carub.0006s3253.1.p
OG0000114	Sp7g13960.1	Carub.0007s2614.1.p, Carub.0007s2612.1.p
OG0000114	Sp7g13930.1	Carub.0007s2611.1.p
OG0000115	Sp6g26490.1	Carub.0006s1597.1.p, Carub.0006s1598.1.p, Carub.0006s1599.1.p
OG0000115	Sp3g31620.1	Carub.0007s3256.1.p, Carub.0003s3235.1.p, Carub.0003s3234.1.p
OG0000115	Sp5g11270.1	Carub.0005s1733.1.p
OG0000115	Sp5g11280.1	Carub.0005s1732.1.p
OG0000116	Sp1g31050.1, Sp1g31170.1	Carub.0008s2108.1.p
OG0000116	Sp2g22120.1	Carub.0006s2323.1.p
OG0000116	Sp6g39360.1	Carub.0006s0122.1.p, Carub.0006s0397.1.p
OG0000117	Sp4g25600.1	Carub.0004s2597.1.p
OG0000117	Sp3g24100.1	Carub.0004s2598.1.p
OG0000118	Sp7g03745.1	Carub.0007s3605.1.p
OG0000119	Sp1g31660.1	Carub.0004s1931.1.p
OG0000120	Sp1g00910.1	Carub.0001s0085.1.p
OG0000120	Sp6g01080.1	Carub.0006s3612.1.p
OG0000120	Sp6g15380.1	Carub.0008s1340.1.p
OG0000120	Sp4g28430.1	Carub.0004s2911.1.p
OG0000121	Sp5g30950.1	Carub.0002s2274.1.p
OG0000123	Sp5g02600.1	Carub.0005s2737.1.p
OG0000123	Sp4g27220.1, SpUn0031_0100.1	Carub.0004s2779.1.p
OG0000123	Sp7g15090.1	Carub.0007s2497.1.p
OG0000123	Sp3g24090.1	Carub.0003s2690.1.p
OG0000123	Sp2g02520.1	Carub.0002s0298.1.p
OG0000123	Sp7g20170.1	Carub.0007s1936.1.p
OG0000125	Sp4g03230.1, Sp4g03220.1	Carub.0004s0423.1.p, Carub.0004s0427.1.p, Carub.0004s0430.1.p, Carub.0004s0352.1.p, Carub.0004s0353.1.p, Carub.0004s0356.1.p, Carub.0004s0354.1.p, Carub.0004s0357.1.p, Carub.0004s0426.1.p
OG0000128	Sp3g03510.1	Carub.0006s1027.1.p, Carub.0006s1026.1.p, Carub.0006s1025.1.p
OG0000129	Sp5g16370.1, Sp1g27690.1	Carub.0001s3616.1.p
OG0000130	Sp4g08820.1	Carub.0001s3392.1.p
OG0000132	SpUn0030_0110.1, Sp3g31720.1	Carub.0003s3248.1.p
OG0000132	Sp7g34210.1	Carub.0007s0376.1.p
OG0000132	Sp1g17380.1	Carub.0001s1908.1.p
OG0000132	Sp5g30410.1	Carub.0002s2207.1.p
OG0000132	Sp4g00810.1	Carub.0004s0070.1.p
OG0000133	Sp5g26020.1	Carub.0002s1763.1.p
OG0000133	Sp5g26010.1	Carub.0002s1761.1.p, Carub.0002s1762.1.p
OG0000133	Sp5g26030.1	Carub.0002s1766.1.p
OG0000134	Sp2g11320.1	Carub.0008s0650.1.p
OG0000134	Sp2g11310.1	Carub.0008s0142.1.p, Carub.0008s0139.1.p
OG0000134	Sp3g28820.1	Carub.0008s0143.1.p
OG0000135	Sp1g33820.1	Carub.0003s2224.1.p
OG0000137	Sp1g25370.1	Carub.0001s2763.1.p, Carub.0001s2772.1.p
OG0000137	Sp1g25430.1	Carub.0001s2773.1.p
OG0000137	Sp1g25360.1, Sp1g25450.1	Carub.0001s2766.1.p, Carub.0001s2768.1.p
OG0000138	Sp5g33500.1	Carub.0002s2530.1.p
OG0000138	Sp4g15460.1	Carub.0004s1459.1.p
