Orthogroup	Thellungiella_parvula	Arabidopsis_halleri
OG0000019	Sp5g15300.1	g12698
OG0000019	Sp4g11820.1	g07014
OG0000019	Sp4g11810.1	g07015
OG0000019	Sp1g34570.1	g19686, g19681, g02416
OG0000024	Sp6g22630.1	g27108
OG0000024	Sp2g05350.1	g27647, g25133, g28163, g28159
OG0000024	Sp2g04940.1, Sp2g04960.1	g25154
OG0000029	Sp2g05870.1, SpUn0028_0070.1	g19413, g19412
OG0000029	Sp6g39690.1	g19414
OG0000031	Sp5g18230.1	g10892
OG0000031	Sp7g03460.1	g25344
OG0000031	SpUn0035_0040.1, Sp1g38380.1, Sp7g03360.1, Sp7g03470.1	g25045, g25048, g25046, g25047, g32121
OG0000031	Sp6g18230.1, Sp5g07520.1	g11514
OG0000032	Sp7g03860.1	g17895
OG0000032	Sp7g03780.1	g20812
OG0000032	Sp5g21900.1	g23296, g08573, g23297
OG0000032	Sp7g03770.1	g23298
OG0000033	Sp1g10900.1	g04848
OG0000034	Sp3g26825.1	g13244
OG0000037	Sp5g08630.1, Sp4g19980.1	g11382, g03690
OG0000037	Sp3g16870.1	g31441, g21632
OG0000037	Sp4g24310.1	g17276, g17275, g17277
OG0000037	Sp3g10340.1	g05823
OG0000037	Sp1g28660.1, Sp6g33600.1	g19152
OG0000038	Sp4g09920.1	g16757, g16755, g16756, g16754, g16761, g16759, g16758
OG0000039	Sp7g21010.1	g32065, g32153
OG0000039	Sp6g05930.1	g20693
OG0000039	Sp6g06040.1	g20690
OG0000039	Sp6g05940.1, Sp6g05950.1	g20687
OG0000039	Sp6g05970.1	g20686, g20685
OG0000040	Sp6g27520.1, Sp6g27530.1	g00106
OG0000040	Sp1g26630.1	g05807
OG0000040	Sp7g01830.1, Sp4g02040.1	g20976
OG0000040	Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1	g20979
OG0000040	SpUn0245_0010.1	g17644, g04081, g32325, g04080
OG0000041	Sp1g31240.1, Sp1g33340.1, Sp3g25050.1, Sp5g17980.1, Sp5g16800.1, Sp6g09290.1, Sp6g12650.1, Sp4g07700.1, Sp3g24690.1, Sp1g33610.1, Sp1g29320.1, Sp6g12660.1, Sp4g08700.1, SpUn0002_0030.1, Sp5g17520.1, SpUn0001_0560.1	g28291
OG0000041	Sp7g09260.1, Sp1g16530.1, Sp3g28380.1	g28563
OG0000042	Sp5g03990.1	g16481, g16503
OG0000042	Sp5g03860.1	g16498
OG0000042	Sp3g28560.1, Sp3g28550.1, Sp3g28540.1	g16490
OG0000043	Sp6g23980.1	g12072
OG0000043	Sp2g09620.1	g23662
OG0000043	Sp1g34070.1	g12827
OG0000044	Sp5g14790.1	g12776
OG0000044	Sp2g02570.1	g17768
OG0000044	Sp2g02100.1, Sp2g02560.1, Sp2g02600.1	g17798, g17779, g17761, g08499, g17774
OG0000045	Sp7g21190.1	g14345
OG0000045	Sp7g21200.1	g32297, g32183
OG0000045	Sp1g30740.1, Sp1g30850.1	g14338
OG0000046	Sp2g09710.1	g23673, g23672
OG0000046	Sp2g09700.1	g15496
OG0000046	Sp2g10050.1	g29353
OG0000046	Sp2g10100.1	g26409
OG0000046	Sp2g10070.1	g32475
OG0000048	Sp1g29630.1	g02678
OG0000049	Sp1g30605.1	g19174
OG0000050	Sp7g35840.1, Sp7g35830.1	g10563, g32436
OG0000050	Sp6g31050.1	g10728
OG0000051	Sp6g34560.1	g30313
OG0000051	Sp7g00950.1	g22403
OG0000051	Sp7g00940.1	g22404
OG0000051	Sp3g00160.1	g25824
OG0000051	Sp5g13350.1	g16714
OG0000053	Sp7g04290.1	g22060, g20617
OG0000053	Sp7g12750.1	g23213
OG0000053	Sp3g20610.1	g22774
OG0000053	Sp5g05790.1, Sp4g23420.1	g26203
OG0000054	Sp1g10770.1	g04868
OG0000054	Sp2g02080.1	g17837
OG0000054	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1	g30076, g30075
OG0000054	Sp4g27230.1, SpUn0031_0090.1	g09829
OG0000054	Sp7g20540.1	g14432
OG0000057	Sp6g19080.1	g16820, g26590
OG0000057	Sp1g15390.1	g09864
OG0000057	Sp5g02900.1	g05593
OG0000057	Sp2g25850.1	g12266
OG0000057	Sp4g03520.1	g08857
OG0000057	Sp5g35100.1	g01581
OG0000057	Sp5g18280.1	g30478
OG0000057	Sp3g25350.1	g29566
OG0000057	Sp7g28060.1	g04206
OG0000057	Sp3g32410.1	g22678
OG0000060	Sp6g22520.1	g27279
OG0000060	Sp3g07850.1	g19444, g06108
OG0000060	Sp5g08710.1	g03675
OG0000060	Sp6g21620.1	g10964
OG0000064	Sp3g33520.1	g20861
OG0000064	Sp7g26710.1	g04373
OG0000064	Sp2g08710.1	g17542
OG0000064	Sp1g02980.1	g02046
OG0000064	Sp4g14250.1	g07946
OG0000064	Sp1g15710.1	g25933
OG0000064	Sp6g23970.1	g12071
OG0000064	Sp5g04560.1	g16576
OG0000064	SpUn0001_0160.1	g30786
OG0000064	Sp1g07380.1	g18228
OG0000065	Sp2g09180.1	g28608
OG0000065	Sp2g23430.1	g29092
OG0000066	Sp7g00780.1	g13518, g07527, g22529, g22530, g13011, g12932, g13009, g13008, g13611, g13612, g13610
OG0000068	Sp5g31070.1	g01147
OG0000068	Sp1g35760.1, Sp1g35770.1, Sp1g36050.1	g05634
OG0000068	Sp4g08260.1, Sp5g03170.1	g05633, g11296, g11297, g31556, g00482
OG0000069	Sp5g15350.1	g31068
OG0000070	Sp7g36970.1	g02758
OG0000070	Sp4g00400.1	g23929
OG0000070	Sp3g31440.1	g24982
OG0000070	Sp7g33890.1	g03107
OG0000070	Sp5g30700.1	g01101
OG0000070	Sp1g17620.1	g13868
OG0000070	Sp3g29850.1	g31172
OG0000070	Sp7g32540.1	g00451
OG0000071	Sp4g12490.1	g24271, g24246, g32083, g12446, g05722, g30656, g30654, g18444
OG0000072	Sp7g12150.1, Sp7g02510.1	g04325
OG0000073	Sp2g01620.1	g26544
OG0000074	Sp6g20800.1	g11051
OG0000074	Sp5g14890.1	g12760, g12761
OG0000074	Sp6g20890.1	g11043
OG0000074	Sp6g22300.1	g30273
OG0000074	Sp6g20510.1	g30274, g08319
OG0000074	Sp6g20870.1	g11042, g11044
OG0000077	Sp4g15410.1	g03196, g03193, g03227, g03229, g03202, g03228, g03198
OG0000077	Sp4g15020.1	g18504
OG0000077	Sp4g14900.1	g03154, g03155, g03194
OG0000078	Sp1g17860.1	g13567
OG0000078	Sp5g30980.1	g01133
OG0000078	Sp7g32780.1, Sp3g29990.1	g00426
OG0000078	Sp3g31210.1	g14899
OG0000079	Sp4g04890.1	g30240
OG0000079	Sp7g30200.1	g00728
OG0000079	Sp6g37660.1	g26050
OG0000079	Sp2g08870.1	g17521
OG0000079	Sp6g26800.1	g00028
OG0000079	Sp7g36530.1	g02814
OG0000079	Sp2g27810.1	g07500
OG0000079	Sp6g33540.1	g19159
OG0000080	Sp7g14750.1	g19048, g09324, g09297, g09235, g09237, g09331, g09336, g09226, g09216, g10937, g30568, g10935, g09334, g16964, g19049
OG0000083	Sp1g22080.1	g08067, g24424
OG0000083	Sp1g12400.1	g04657
OG0000083	Sp2g14180.1	g23619
OG0000083	Sp2g14170.1	g13835
OG0000084	Sp7g25920.1	g04459
OG0000084	Sp6g15450.1	g23032
OG0000084	Sp7g00370.1	g28548
OG0000084	Sp2g00510.1	g29756
OG0000084	Sp3g29980.1	g23262
OG0000084	Sp6g18000.1	g23468
OG0000084	Sp3g07130.1	g11731
OG0000085	Sp5g13500.1	g20362
OG0000086	Sp7g23620.1	g10264
OG0000086	Sp1g00550.1	g01733
OG0000086	Sp6g00670.1	g19785
OG0000086	Sp5g15590.1	g29044
OG0000086	Sp6g21600.1	g10966
OG0000086	Sp6g21590.1	g10967
OG0000086	Sp5g15610.1	g29038, g29042
OG0000088	Sp5g15930.1	g29875
OG0000088	Sp6g21910.1	g10916
OG0000088	Sp6g21880.1	g10918
OG0000088	Sp6g21890.1	g10917
OG0000088	Sp5g15920.1	g29874, g29877
OG0000088	Sp5g15950.1	g29879
OG0000088	Sp5g15940.1	g29878
OG0000088	Sp5g15970.1	g29881
OG0000088	Sp6g21920.1	g10915
OG0000089	Sp7g02635.1	g08251, g08250
OG0000090	Sp4g12090.1, Sp4g12160.1	g30732
OG0000090	Sp1g06180.1	g02403
OG0000090	Sp4g12085.1, Sp4g12060.1	g06984
OG0000094	Sp2g03130.1	g19843
OG0000094	Sp2g03070.1	g19834
OG0000094	Sp2g03090.1, Sp2g03117.1	g19839, g19836
OG0000094	Sp2g03110.1	g19841
OG0000094	Sp2g03120.1	g19842
OG0000094	Sp2g03140.1	g19844
OG0000095	Sp7g21600.1	g10463, g10462
OG0000095	Sp7g21610.1	g20738
OG0000096	Sp5g29380.1	g00957, g00961, g00960, g00958
OG0000098	Sp4g17010.1, Sp4g18670.1	g23302, g03543
OG0000098	Sp4g08450.1	g29608
OG0000098	Sp2g18270.1	g28224
OG0000098	Sp1g13880.1	g10027
OG0000098	Sp1g13520.1	g31982
OG0000098	Sp5g36020.1	g26652
OG0000098	Sp3g14720.1	g06580
OG0000103	Sp6g06900.1	g25327
OG0000103	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1	g21758
OG0000103	Sp6g06870.1	g25325, g25328, g25324
OG0000103	Sp1g28050.1	g17624, g17625
OG0000103	Sp1g28060.1	g17623
OG0000103	Sp1g28020.1	g17626
OG0000104	Sp4g24190.1	g17258
OG0000104	Sp1g33950.1	g10679
OG0000104	Sp6g31530.1	g17952
OG0000104	Sp5g13700.1, Sp4g24500.1	g17304
OG0000106	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1	g26082, g26081
OG0000106	Sp2g25130.1	g15143, g08387, g28720
OG0000108	Sp5g07750.1	g11491
OG0000108	Sp4g21310.1	g12450
OG0000109	Sp7g14520.1	g30901
OG0000109	Sp1g38170.1	g21932
OG0000109	Sp1g37590.1	g13237, g13236, g25584, g25583, g25581, g25580
OG0000110	Sp2g15055.1, Sp2g15060.1	g19568, g21052, g19570
OG0000112	Sp7g12400.1, Sp3g28520.1, Sp7g03450.1	g19703
OG0000113	Sp5g11010.1	g16477, g22901, g31934, g32120
OG0000114	Sp7g13940.1	g00155
OG0000114	Sp7g13960.1	g20252, g20253
OG0000114	Sp7g13930.1	g20251
OG0000115	Sp6g26490.1	g13332, g13331, g13335, g13330
OG0000115	Sp3g31620.1	g24947, g24948, g24949
OG0000115	Sp5g11270.1	g14934
OG0000115	Sp5g11280.1	g14935
OG0000117	Sp4g25600.1	g29441, g18018
OG0000117	Sp3g24100.1	g18019
OG0000118	Sp1g21910.1	g17660
OG0000118	Sp7g03745.1	g14837, g31170, g31949, g20620, g01088, g16376, g19499, g03430, g18753, g02588, g15053
OG0000118	Sp2g04440.1	g14183
OG0000118	Sp7g04630.1, Sp5g28990.1	g26123, g10061, g00741, g02892, g14652, g13083, g30373, g20745, g27518, g28067, g18346
OG0000118	Sp2g02350.1, Sp1g34110.1	g30303, g19316, g27989, g27062
OG0000119	Sp1g31660.1	g03664
OG0000120	Sp1g00910.1	g01785
OG0000120	Sp4g28430.1	g09688
OG0000121	Sp5g30950.1	g01132, g25399
OG0000123	Sp5g02600.1	g05556
OG0000123	Sp4g27220.1, SpUn0031_0100.1	g09830
OG0000123	Sp7g15090.1	g23081
OG0000123	Sp3g24090.1	g29627
OG0000123	Sp2g02520.1	g17785
OG0000123	Sp7g20170.1	g21809
OG0000124	Sp5g18880.1	g17750, g11761
OG0000125	Sp4g03230.1, Sp4g03220.1	g08911, g30742, g08908, g28283, g28284, g08907, g08803, g08804, g08802, g08799, g08800, g08902, g08906
OG0000126	Sp3g02980.1	g26618
OG0000128	Sp3g03500.1	g06215, g06214
OG0000128	Sp3g03510.1	g06165, g10655, g10645, g10644
OG0000129	Sp5g16370.1, Sp1g27690.1	g19000
OG0000130	Sp3g25725.1	g25818
OG0000130	Sp5g19285.1, SpUn0293_0017.1, SpUn0040_0003.1	g25066
OG0000130	Sp4g04515.1	g04959
OG0000130	Sp4g08820.1	g07141
OG0000132	SpUn0030_0110.1, Sp3g31720.1	g21971
OG0000132	Sp7g34210.1	g03067
OG0000132	Sp1g17380.1	g13895
OG0000132	Sp5g30410.1	g01063
OG0000132	Sp4g00810.1	g23975
OG0000133	Sp5g26020.1	g03830
OG0000133	Sp5g26010.1	g03828
OG0000134	Sp2g11310.1	g07703
OG0000134	Sp3g28820.1	g27849
OG0000137	Sp1g25440.1	g13097
OG0000137	Sp1g25430.1	g13102
OG0000137	Sp1g25360.1, Sp1g25450.1	g13107
OG0000138	Sp5g33500.1	g01402
OG0000138	Sp4g15460.1	g03208
OG0000138	Sp1g15300.1	g09875
OG0000138	Sp4g22640.1, Sp1g21630.1	g26114, g12614, g12618
OG0000141	Sp6g03390.1	g23060
OG0000143	Sp3g16720.1	g21615
OG0000143	Sp2g28440.1	g07431
OG0000144	Sp7g18740.1, Sp4g27620.1	g09786
OG0000144	Sp4g27610.1	g17709
OG0000144	Sp4g27630.1	g09784
OG0000146	Sp7g32960.1	g00403
OG0000146	Sp3g30370.1	g30039
OG0000146	Sp3g30350.1	g09323, g30040
OG0000146	Sp3g30360.1	g30036, g30035
OG0000149	Sp1g41790.1	g24610
OG0000149	Sp1g41780.1	g24609, g24608, g24606
OG0000153	Sp6g20950.1, Sp1g28540.1, Sp6g21310.1	g13399
OG0000153	Sp6g21810.1, Sp6g21760.1, SpUn1070_0010.1	g10925, g10938
OG0000154	Sp4g26560.1	g27602, g27600, g27599
OG0000154	Sp5g03070.1	g05617
OG0000154	Sp4g26550.1	g18129
OG0000154	Sp4g26540.1	g18127
OG0000155	Sp4g13520.1	g25757, g06941, g25772
OG0000156	Sp6g18990.1	g32541, g32461
OG0000156	Sp2g15480.1	g20723
OG0000156	Sp2g15470.1	g20721, g20722
OG0000156	Sp2g15450.1	g20719
OG0000158	Sp1g05640.1	g27625
OG0000159	Sp1g38860.1	g10188, g11873
OG0000161	Sp2g03860.1, Sp2g02500.1	g12063, g20691, g26281, g07674, g09785
OG0000162	Sp2g05800.1	g27035
OG0000162	Sp2g14240.1	g23609, g23614
OG0000162	Sp2g05790.1	g27039
OG0000163	Sp3g24040.1, Sp3g24050.1, Sp3g24030.1	g31176, g17038
OG0000164	Sp7g20000.1	g21786
OG0000164	Sp6g04140.1	g21467
OG0000165	SpUn0001_0880.1, Sp1g30980.1	g08349, g14089, g26520, g22130, g29534, g29833
OG0000166	Sp7g03130.1	g06342
OG0000167	Sp3g10720.1	g05774
OG0000167	Sp1g14350.1	g09988
OG0000167	Sp3g07820.1	g06111
OG0000167	Sp6g40010.1	g19451
OG0000170	Sp2g26350.1	g12330
OG0000171	Sp6g03520.1	g08993
OG0000171	Sp6g04290.1	g01993
OG0000172	Sp3g24340.1	g30746
OG0000172	Sp3g27670.1	g27850
OG0000173	Sp2g03710.1, Sp2g03770.1	g19923
OG0000173	Sp5g22450.1	g20720, g15716, g23313
OG0000174	Sp5g21840.1	g23287
OG0000174	Sp4g02860.1, Sp5g05290.1	g16663
OG0000178	Sp1g04760.1	g02240
OG0000178	SpUn1102_0010.1, Sp6g07490.1	g16062
OG0000178	Sp1g04320.1	g02241, g04530, g25054
OG0000179	Sp1g38300.1	g19031, g19032
OG0000179	Sp7g36370.1	g02825
OG0000179	Sp7g12040.1	g00755
OG0000179	Sp3g27400.1	g31473
OG0000180	Sp7g32500.1	g02764, g00456, g26536
OG0000180	Sp7g36920.1	g00568
OG0000181	Sp6g06510.1, SpUn0001_0050.1, Sp3g26840.1	g07483, g31577, g14613, g16766, g27414, g14305, g27374, g24640, g12141, g26400, g28909, g29759, g29750, g25130, g26942, g25101, g18554, g13186, g07048, g18726, g29293, g06851, g11489, g01096, g29347, g01366, g00111, g14281, g12820
OG0000182	Sp7g14460.1	g20202
OG0000182	Sp7g18420.1	g05139
OG0000182	Sp2g09660.1	g23667
OG0000182	Sp2g13480.1	g10137
OG0000183	Sp5g14170.1	g12857
OG0000183	Sp2g24900.1	g31954
OG0000183	Sp2g24940.1	g30996
OG0000183	Sp5g14180.1	g12856
OG0000183	Sp5g14185.1	g12854, g12855
OG0000183	Sp5g14187.1	g12853
OG0000184	Sp3g20240.1	g22727, g04805
OG0000185	Sp7g04470.1	g28436, g20600
OG0000186	SpUn0988_0010.1	g26228
OG0000186	Sp1g24835.1, Sp1g24830.1, Sp1g24820.1	g13018, g13017
OG0000188	Sp2g07590.1, Sp1g33580.1, Sp3g24280.1, Sp5g19020.1, SpUn0171_0010.1	g25534, g20605, g31445, g26431, g31582, g17003, g19645, g26509
OG0000188	Sp3g29180.1, Sp4g02630.1	g31677, g22061, g29191, g29190, g21290
OG0000189	Sp4g10190.1	g22883, g21387
OG0000190	Sp1g11260.1	g04809
OG0000190	Sp1g11270.1	g04808
OG0000191	Sp6g18380.1	g24076
OG0000191	Sp3g33100.1	g20920
OG0000191	Sp3g33090.1	g20921
OG0000191	Sp7g27230.1	g04303
OG0000192	Sp7g16080.1	g22622
OG0000192	Sp7g13560.1	g20293
OG0000192	Sp1g01570.1	g01861, g01862
OG0000192	Sp6g01670.1	g09185
OG0000192	Sp5g01220.1	g05376
OG0000192	Sp4g29000.1	g09624
OG0000193	Sp1g35420.1	g17422
OG0000193	Sp3g15940.1	g16121
OG0000193	Sp5g21260.1	g22086
OG0000193	Sp7g04500.1	g20595
OG0000193	Sp6g27590.1	g00114
OG0000194	Sp4g22790.1	g27521
OG0000194	Sp7g13200.1	g16374, g15934, g15933
OG0000194	Sp6g04670.1	g31438
OG0000196	Sp1g34960.1	g27354
OG0000197	Sp2g17840.1	g00411, g12358
OG0000197	Sp6g15130.1	g08207, g08205, g08203
OG0000198	Sp4g06090.1	g27380, g27379, g27375
OG0000198	Sp5g15900.1	g30685, g30683, g30682, g30828, g30684
OG0000199	Sp6g21520.1	g10974
OG0000199	Sp5g15550.1	g27038, g29048
OG0000199	Sp6g39230.1	g15847
OG0000199	Sp3g08250.1	g06069
OG0000199	Sp5g08740.1	g11368
OG0000201	Sp4g03720.1	g21881, g31285
OG0000202	Sp1g37610.1, Sp1g37770.1	g17471
OG0000203	Sp6g38430.1	g26025
OG0000203	Sp6g39340.1	g15863
OG0000205	Sp1g12430.1	g04653
OG0000205	Sp3g28690.1	g14244, g14243
OG0000205	Sp1g12450.1, Sp1g12440.1	g04652
OG0000206	Sp7g08150.1	g29773, g28421, g08170
OG0000206	Sp3g27120.1, Sp1g30880.1, Sp6g11810.1, Sp4g07510.1, Sp3g24510.1	g17642
OG0000206	Sp6g23650.1	g12032
OG0000207	Sp5g16920.1, Sp1g32350.1, Sp3g29360.1, Sp5g26950.1, Sp4g02440.1, Sp5g17950.1, SpUn0431_0020.1, Sp4g11850.1, Sp6g00200.1, Sp3g33800.1, SpUn0738_0010.1, Sp3g33810.1, Sp6g04560.1, Sp7g04240.1, Sp3g29490.1, Sp3g27860.1, Sp7g12620.1, Sp1g31030.1, Sp1g29450.1, Sp2g06040.1, Sp7g04070.1, SpUn0002_0800.1, Sp7g08950.1, Sp7g05880.1, Sp3g24950.1, Sp6g07960.1	g07107
OG0000210	Sp7g10800.1	g19984
OG0000210	Sp7g12870.1	g28593
OG0000210	Sp7g14120.1	g05173
OG0000210	Sp4g13260.1, Sp4g13270.1	g30723, g25722
OG0000212	Sp2g07330.1	g09135
OG0000213	Sp1g20770.1	g22718, g18392, g18416, g32416, g18393, g18429, g18396
OG0000214	Sp6g04370.1	g21416
OG0000214	Sp6g04390.1	g21419
OG0000214	Sp6g04380.1	g21417
OG0000216	Sp7g15710.1	g22584
OG0000216	Sp3g12720.1	g06801
OG0000216	Sp3g12710.1	g06802
OG0000217	Sp5g26550.1	g03892, g03894, g03893, g24658
OG0000218	SpUn1204_0010.1	g19123, g17576
OG0000218	Sp2g26200.1	g12311
OG0000218	Sp2g08430.1, Sp1g03080.1	g02057
OG0000219	Sp5g02207.1	g14715
OG0000220	Sp7g14110.1	g05172
OG0000222	Sp7g13630.1	g20285
OG0000222	Sp2g02300.1	g17817
OG0000222	Sp6g04510.1	g21403
OG0000222	Sp7g20270.1	g14478, g14479
OG0000223	Sp3g18520.1	g11135
OG0000223	Sp6g17360.1	g09278
OG0000223	Sp5g21930.1	g23307, g23306
OG0000223	Sp7g24660.1	g04595
OG0000224	Sp7g31430.1	g03013
OG0000225	Sp5g24500.1, Sp5g26900.1, SpUn0020_0070.1, Sp5g26910.1, Sp5g24210.1	g31258, g31259
OG0000226	Sp5g25170.1, Sp5g25160.1, Sp5g25150.1	g27396
OG0000227	SpUn0270_0010.1	g13632
OG0000228	Sp7g21310.1	g14313
OG0000228	Sp6g00460.1	g19810
OG0000228	Sp1g00700.1	g01756
OG0000228	Sp5g01970.1	g05468
OG0000228	Sp4g28030.1	g09740
OG0000229	SpUn0416_0020.1, Sp6g03620.1	g08967, g19972, g19973, g08953, g08962, g08958, g08951
OG0000230	Sp1g25630.1	g26347
OG0000232	Sp6g18220.1	g02482, g23432, g23431
OG0000234	Sp5g33440.1	g01396
OG0000234	Sp5g33470.1	g01399
OG0000234	Sp1g15320.1, Sp1g15325.1	g09872
OG0000235	Sp3g12880.1	g06785
OG0000235	Sp3g12920.1	g06781, g06782, g06779
OG0000235	Sp3g12910.1	g06783
OG0000237	Sp3g31650.1	g24941
OG0000237	Sp4g02310.1	g21020
OG0000237	Sp4g00760.1	g23968
OG0000237	Sp7g36620.1	g02801
OG0000238	Sp6g33260.1	g19190
OG0000238	Sp2g28130.1	g07462, g01263
OG0000238	Sp2g28150.1	g07460
OG0000240	Sp4g01330.1	g21673
OG0000240	Sp2g28070.1	g07468
OG0000240	Sp4g26700.1	g18143
OG0000241	Sp6g39490.1	g24863
OG0000242	Sp4g21040.1, Sp7g18880.1, Sp7g18900.1, Sp7g18870.1	g05205, g05206
OG0000242	Sp1g22300.1	g08102, g08101, g08104, g08100
OG0000242	Sp1g22310.1	g08103
OG0000244	Sp2g15540.1	g04173, g26073, g05156
OG0000244	Sp7g05090.1	g17617, g23649, g04306
OG0000245	Sp7g19500.1	g21726
OG0000245	Sp3g10230.1	g05838
OG0000245	Sp7g19490.1	g11521
OG0000246	Sp3g21990.1	g18592, g27669, g08916, g02481, g27664, g20009, g20012, g20008, g20011
OG0000247	Sp7g01900.1	g29022
OG0000247	Sp5g27880.1	g04042
OG0000248	Sp3g15570.1	g16169
OG0000248	Sp6g01690.1	g09183
OG0000249	Sp7g07730.1, Sp5g17540.1, Sp5g13405.1, Sp5g20850.1	g20724, g17551, g08871, g24432, g21530, g23572, g31896, g17552
OG0000250	Sp6g15520.1	g23043
OG0000250	Sp6g31210.1, Sp6g31220.1	g00142, g10715
OG0000251	Sp7g13500.1	g20116
OG0000251	Sp7g13540.1	g30622
OG0000251	Sp7g13550.1	g30270, g30269
OG0000252	Sp1g19860.1	g13773
OG0000252	Sp1g19850.1	g13774
OG0000252	Sp1g19830.1	g13775
OG0000252	Sp1g19880.1	g27551, g13772
OG0000253	Sp3g28800.1, Sp5g18420.1	g14042
OG0000256	Sp6g15740.1	g29980, g29977, g09495, g09496, g21912, g09497, g09500, g31651
OG0000257	Sp2g05830.1, Sp1g08280.1, Sp1g08200.1, Sp2g05630.1	g28836
OG0000258	Sp2g16930.1	g18957
OG0000258	Sp1g22530.1	g08125
OG0000258	Sp5g23810.1	g14719
OG0000258	SpUn0138_0010.1, Sp1g11730.1	g04748
OG0000258	Sp2g14890.1	g19601
OG0000259	Sp7g03610.1	g04978
OG0000261	Sp3g19130.1	g11207
OG0000262	Sp5g33780.1	g25185
OG0000264	Sp2g28600.1	g11100
OG0000265	Sp2g06570.1, Sp2g06540.1	g24788
OG0000265	Sp5g00940.1	g05338
OG0000265	Sp1g01620.1	g09151
OG0000266	Sp6g34590.1	g23802, g30317
OG0000266	Sp2g23810.1, Sp2g23800.1	g27744, g27743, g27745
OG0000267	Sp6g04860.1	g06369
OG0000268	Sp4g26460.1	g18116
OG0000268	Sp4g26440.1	g07121
OG0000268	Sp4g26470.1	g18117
OG0000268	Sp4g26430.1	g18113
OG0000269	Sp1g20160.1	g13744
OG0000269	Sp5g27070.1	g03954
OG0000269	Sp7g32630.1	g00441
OG0000269	Sp1g30310.1	g26451
OG0000269	Sp6g08130.1	g18552
OG0000270	Sp2g04010.1	g25453
OG0000270	Sp2g04020.1	g25450, g25445
OG0000271	Sp2g11740.1, Sp2g11750.1, Sp2g11730.1	g07763
OG0000271	Sp2g11720.1	g07762
OG0000271	Sp2g11760.1	g07764
OG0000272	Sp1g20220.1	g13738
OG0000272	Sp6g36710.1	g30943, g15539
OG0000272	Sp5g26960.1	g03941, g03940
