Orthogroup	Thellungiella_parvula	Arabidopsis_lyrata
OG0000014	Sp5g04460.1	fgenesh2_kg.5__2279__AT3G58350.1
OG0000014	Sp5g04500.1	Al_scaffold_0005_2743
OG0000015	SpUn0004_0050.1	Al_scaffold_0001_5070, Al_scaffold_0002_571
OG0000015	SpUn0002_0230.1	scaffold_104090.1, scaffold_501139.1, scaffold_500453.1
OG0000015	Sp7g02710.1, Sp1g01750.1, Sp7g01630.1	fgenesh1_pg.C_scaffold_251000003, Al_scaffold_0007_516
OG0000016	Sp7g11580.1	fgenesh2_kg.7__2968__AT4G13790.1
OG0000016	Sp7g36980.1	scaffold_700077.1
OG0000016	Sp4g00370.1, Sp4g00380.1	fgenesh2_kg.7__81__AT4G38820.1, fgenesh2_kg.4__36__AT2G21200.1
OG0000016	Sp3g02800.1	scaffold_300370.1
OG0000016	Sp6g26280.1, Sp6g26260.1	scaffold_601873.1, fgenesh2_kg.6__1802__AT5G18060.1, scaffold_601870.1, scaffold_601864.1
OG0000017	Sp1g27840.1	scaffold_104276.1
OG0000017	Sp5g12630.1	scaffold_501934.1, scaffold_501943.1
OG0000017	SpUn0074_0030.1	scaffold_200364.1, scaffold_200367.1
OG0000018	Sp7g00500.1	Al_scaffold_0007_3497
OG0000018	Sp2g00780.1	Al_scaffold_0002_102
OG0000018	Sp2g00920.1	fgenesh2_kg.2__106__AT1G63740.1, Al_scaffold_0002_117
OG0000018	Sp5g13400.1	Al_scaffold_0002_103
OG0000018	Sp2g00800.1	Al_scaffold_0002_105
OG0000019	Sp6g12470.1, Sp6g21340.1, Sp6g21350.1, Sp6g21330.1	Al_scaffold_0008_2459
OG0000019	Sp5g15300.1	Al_scaffold_0005_1419
OG0000019	Sp4g11820.1	Al_scaffold_0109_2
OG0000019	Sp4g11810.1	scaffold_401359.1
OG0000024	Sp6g22630.1	Al_scaffold_0006_2144
OG0000024	Sp2g05350.1	Al_scaffold_0001_5139, Al_scaffold_0002_658, Al_scaffold_0002_643
OG0000024	Sp2g04940.1, Sp2g04960.1	fgenesh2_kg.2__481__AT1G59620.1
OG0000025	Sp4g07220.1	scaffold_800953.1, scaffold_800808.1, scaffold_800810.1, fgenesh2_kg.474__9__AT5G42955.1, fgenesh2_kg.474__14__AT5G42957.1, scaffold_800809.1, scaffold_58500002.1, fgenesh2_kg.585__1__AT5G42955.1, scaffold_47400001.1, fgenesh2_kg.8__538__AT5G42955.1, fgenesh1_pm.C_scaffold_1006000001, scaffold_800803.1, scaffold_800804.1, scaffold_800805.1, scaffold_800806.1, fgenesh2_kg.8__562__AT5G42955.1, scaffold_105715.1, Al_scaffold_0001_5285, fgenesh2_kg.1__4819__AT4G08025.1, fgenesh2_kg.2__596__AT4G08025.1, fgenesh2_kg.637__6__AT1G57775.1, scaffold_105713.1, scaffold_200844.1, scaffold_105717.1, scaffold_105716.1, scaffold_200845.1, fgenesh2_kg.637__2__AT4G08025.1, scaffold_200838.1, scaffold_200840.1, scaffold_105714.1, scaffold_105720.1, scaffold_200839.1, scaffold_200843.1, fgenesh2_kg.2__601__AT3G44117.1, fgenesh2_kg.2__594__AT1G57760.1, scaffold_200841.1, fgenesh2_kg.637__1__AT3G44115.1, fgenesh1_pm.C_scaffold_2000424
OG0000026	Sp2g07580.1, Sp6g10040.1, Sp3g27990.1, Sp6g07480.1, Sp7g05250.1, Sp6g11510.1, Sp6g11540.1, Sp4g07040.1, SpUn0099_0030.1, SpUn0012_0150.1, Sp1g33550.1, Sp7g08360.1, Sp7g09000.1, Sp5g17720.1, Sp6g06910.1, Sp1g27740.1, Sp6g07470.1, Sp6g09430.1, Sp4g03810.1, SpUn1041_0010.1, Sp6g09180.1, Sp5g19640.1, Sp7g06310.1, Sp7g15680.1, Sp2g03930.1, Sp1g28040.1, Sp3g28330.1, Sp2g04150.1, Sp3g26560.1, Sp4g06760.1, Sp6g09530.1, Sp7g04650.1, SpUn1343_0010.1, Sp6g12850.1, Sp2g01940.1, SpUn0005_0320.1, SpUn0040_0030.1, SpUn0384_0010.1, Sp4g03200.1, Sp5g19860.1, Sp3g22100.1, Sp3g16820.1, Sp1g22890.1, Sp3g30250.1, Sp7g04440.1, SpUn0012_0110.1, Sp4g09730.1, SpUn0012_0100.1, Sp6g12950.1, Sp7g04770.1, Sp1g31220.1, Sp7g03240.1, Sp4g06510.1, Sp1g30010.1, Sp1g33200.1, Sp3g23530.1, Sp2g02140.1, Sp2g06390.1, SpUn0766_0010.1, Sp4g08570.1, Sp7g05060.1, Sp7g09870.1, Sp4g09830.1, Sp6g10070.1, Sp7g07910.1, Sp5g17500.1, SpUn0012_0070.1, Sp4g09760.1, SpUn0012_0080.1, Sp1g26850.1, Sp1g26860.1, Sp3g32060.1, Sp6g13690.1, Sp3g24900.1, SpUn1473_0010.1, Sp3g26100.1, SpUn0964_0010.1, SpUn0475_0010.1, SpUn0895_0010.1, Sp4g08290.1, Sp3g25020.1, Sp3g24960.1, Sp3g24980.1, Sp6g09520.1, Sp3g26070.1, Sp3g26520.1, Sp7g02020.1, Sp1g31950.1, Sp4g07990.1, Sp3g25310.1, Sp4g07790.1, Sp1g31580.1, Sp5g20480.1, Sp3g27550.1, SpUn0001_1030.1, Sp5g20210.1, SpUn0002_0660.1, Sp2g06130.1, SpUn0001_0270.1, Sp4g12960.1, Sp1g26170.1, Sp1g30450.1, Sp6g09190.1, Sp1g30190.1, Sp3g24810.1, Sp5g13270.1, Sp4g08540.1, Sp4g08530.1, Sp7g09320.1, Sp1g34280.1, Sp5g19670.1, Sp4g08090.1, Sp6g08050.1, SpUn0002_0240.1, SpUn0005_0200.1, Sp5g16110.1, Sp2g06660.1, Sp1g29710.1, Sp2g06320.1, SpUn0007_0220.1, SpUn0115_0010.1, Sp4g05400.1, Sp1g32220.1, Sp2g07180.1, Sp3g26990.1, Sp5g25660.1, Sp6g08950.1, Sp6g10780.1, SpUn1205_0010.1, Sp7g04600.1, Sp4g07350.1, SpUn1591_0010.1, Sp6g12230.1, Sp6g06180.1, SpUn0002_0330.1, Sp4g08340.1, SpUn0110_0030.1, Sp6g04590.1, SpUn0614_0010.1, Sp3g28940.1, Sp1g29160.1, Sp4g10560.1, Sp7g05320.1, Sp3g28320.1, Sp1g29170.1, Sp3g27590.1, Sp6g07770.1, Sp6g07780.1, SpUn1945_0010.1, Sp1g36360.1, SpUn0385_0010.1, Sp3g27610.1, Sp2g05070.1, Sp1g26390.1, SpUn0079_0010.1, Sp5g17940.1, Sp4g08690.1, SpUn1064_0010.1, SpUn0001_0100.1, Sp1g36950.1, Sp5g17780.1, Sp1g38460.1, Sp2g06500.1, Sp4g05650.1, Sp1g31780.1, Sp3g27530.1, Sp1g36560.1, Sp5g17960.1, SpUn0390_0010.1, Sp7g01860.1, Sp5g20530.1, Sp3g23670.1, Sp6g09760.1, Sp1g31760.1, Sp6g11380.1, Sp2g05050.1, Sp5g20110.1, Sp3g24890.1	scaffold_503287.1
OG0000029	Sp2g05870.1, SpUn0028_0070.1	fgenesh1_pg.C_scaffold_6000171, fgenesh1_pg.C_scaffold_6000172, Al_scaffold_0006_194
OG0000029	Sp6g39690.1	fgenesh2_kg.6__203__AT5G02910.1
OG0000031	SpUn0035_0040.1, Sp1g38380.1, Sp7g03360.1, Sp7g03470.1	fgenesh2_kg.315__1__AT5G38580.1, fgenesh2_kg.7__3542__AT5G38580.1
OG0000033	Sp2g03980.1	fgenesh1_pg.C_scaffold_2000218
OG0000037	Sp5g08630.1, Sp4g19980.1	fgenesh1_pm.C_scaffold_4001519, fgenesh1_pm.C_scaffold_5001458
OG0000037	Sp3g16870.1	fgenesh1_pg.C_scaffold_3001782, fgenesh2_kg.1__4019__AT1G49240.1
OG0000037	Sp4g24310.1	scaffold_403057.1, Al_scaffold_0004_2842, fgenesh1_pg.C_scaffold_4002350
OG0000037	Sp3g10340.1	fgenesh2_kg.3__1268__AT3G12110.1
OG0000037	Sp1g28660.1, Sp6g33600.1	fgenesh2_kg.6__937__AT5G09810.1
OG0000038	Sp4g09920.1	fgenesh2_kg.5__1273__AT2G04230.1
OG0000039	Sp7g21010.1	Al_scaffold_0007_1833
OG0000039	Sp6g05930.1	Al_scaffold_0001_5203
OG0000039	Sp6g05940.1, Sp6g05950.1	Al_scaffold_0006_3320
OG0000039	Sp6g05970.1	fgenesh2_kg.6__3109__AT4G11480.1, Al_scaffold_0006_3317
OG0000040	Sp1g26630.1	scaffold_301404.1
OG0000040	Sp7g01830.1, Sp4g02040.1	fgenesh2_kg.4__225__AT2G22980.2
OG0000040	Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1	scaffold_400259.1
OG0000040	Sp3g08720.1	fgenesh2_kg.3__1078__AT3G10450.1
OG0000040	SpUn0245_0010.1	fgenesh2_kg.2__1589__AT1G73270.1
OG0000043	Sp5g14630.1	fgenesh1_pg.C_scaffold_5001209
OG0000043	Sp6g23980.1	fgenesh2_kg.6__2087__AT5G20480.1
OG0000043	Sp1g34070.1	fgenesh1_pg.C_scaffold_5001243
OG0000044	Sp5g14790.1	fgenesh2_kg.5__1064__AT3G46950.1
OG0000044	Sp2g02570.1	fgenesh2_kg.2__266__AT1G61990.1
OG0000044	Sp2g02100.1, Sp2g02560.1, Sp2g02600.1	scaffold_200344.1, scaffold_200354.1, scaffold_200374.1, scaffold_201141.1, fgenesh1_pg.C_scaffold_2000271, scaffold_200357.1
OG0000045	Sp7g21190.1	Al_scaffold_0007_1835
OG0000045	Sp7g21200.1	fgenesh2_kg.7__1979__AT4G23180.1
OG0000045	Sp1g30850.1	Al_scaffold_0002_253
OG0000046	Sp2g09710.1	Al_scaffold_0008_436, fgenesh1_pm.C_scaffold_8000247
OG0000046	Sp2g09700.1	scaffold_702414.1
OG0000046	Sp2g10050.1	Al_scaffold_0008_363
OG0000046	Sp2g10150.1	fgenesh1_pm.C_scaffold_4000305
OG0000046	Sp2g10140.1	scaffold_400468.1
OG0000046	Sp2g10100.1	fgenesh2_kg.8__276__AT5G45230.1
OG0000046	Sp2g10070.1	Al_scaffold_0008_351
OG0000050	Sp7g35840.1, Sp7g35830.1	fgenesh2_kg.6__1062__AT5G10980.1
OG0000050	Sp6g31050.1	scaffold_601295.1
OG0000051	Sp6g34560.1	fgenesh2_kg.6__807__AT5G08391.1
OG0000051	Sp2g16170.1	fgenesh1_pm.C_scaffold_5000374
OG0000051	Sp7g00950.1	fgenesh2_kg.7__3312__AT5G40970.1
OG0000051	Sp7g00940.1	scaffold_703863.1
OG0000051	Sp3g00160.1	fgenesh2_kg.3__19__AT3G01940.1
OG0000051	Sp6g12730.1	fgenesh2_kg.8__936__AT5G50660.1
OG0000051	Sp5g13350.1	fgenesh1_pm.C_scaffold_5001003
OG0000051	Sp2g26580.1	scaffold_803038.1
OG0000053	Sp7g04290.1	scaffold_201361.1, scaffold_703671.1
OG0000053	Sp7g12750.1	fgenesh1_pm.C_scaffold_7002276
OG0000053	Sp3g20610.1	fgenesh2_kg.3__2503__AT3G22930.1
OG0000053	Sp5g05790.1, Sp4g23420.1	fgenesh2_kg.4__642__AT2G27030.3
OG0000054	Sp1g10770.1	fgenesh2_kg.1__1313__AT1G12090.1
OG0000054	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1	scaffold_603708.1, scaffold_603709.1
OG0000054	Sp4g27230.1, SpUn0031_0090.1	fgenesh2_kg.4__2714__AT2G45180.1
OG0000054	Sp7g20540.1	scaffold_702112.1
OG0000057	Sp6g19080.1	fgenesh1_pm.C_scaffold_6002529
OG0000057	Sp2g25850.1	scaffold_802942.1
OG0000057	Sp5g18280.1	fgenesh1_pm.C_scaffold_5000607
OG0000057	Sp3g32410.1	fgenesh2_kg.3__3537__AT2G18960.1
OG0000060	Sp6g22520.1	fgenesh2_kg.6__2278__AT5G22880.1
OG0000060	Sp3g07850.1	scaffold_600180.1, fgenesh2_kg.3__969__AT3G09480.1
OG0000060	Sp5g08710.1	fgenesh2_kg.4__1800__AT2G37470.1
OG0000060	Sp6g21620.1	fgenesh1_pm.C_scaffold_189000001, fgenesh2_kg.8__1944__AT5G59910.1
OG0000062	Sp3g18120.1	fgenesh2_kg.3__2233__AT3G20140.1
OG0000064	Sp3g33520.1	fgenesh1_pm.C_scaffold_3002552
OG0000064	Sp7g26710.1	Al_scaffold_0007_1247
OG0000064	Sp2g08710.1	fgenesh2_kg.8__431__AT5G43900.1
OG0000064	Sp1g02980.1	scaffold_100373.1
OG0000064	Sp4g14250.1	fgenesh2_kg.4__1175__AT2G31900.1
OG0000064	Sp1g15710.1	scaffold_101959.1
OG0000064	Sp6g23970.1	Al_scaffold_0006_1977
OG0000064	Sp5g04560.1	scaffold_502994.1
OG0000064	Sp1g07380.1	Al_scaffold_0001_833
OG0000065	Sp5g30900.1	fgenesh2_kg.2__1855__AT1G75780.1
OG0000065	Sp2g09180.1	scaffold_800574.1
OG0000065	Sp7g18980.1	fgenesh2_kg.7__2230__AT4G20890.1
OG0000065	Sp6g31390.1	Al_scaffold_0006_1146
OG0000065	Sp2g23430.1	fgenesh2_kg.6__2379__AT5G23860.1
OG0000065	Sp4g12280.1	fgenesh2_kg.4__930__AT2G29550.1
OG0000065	Sp5g14830.1	fgenesh2_kg.8__2267__AT5G62690.1, fgenesh2_kg.5__1054__AT5G62700.1
OG0000066	Sp7g00780.1	Al_scaffold_0009_171, fgenesh1_pg.C_scaffold_7002157, fgenesh1_pm.C_scaffold_1000090, fgenesh1_pg.C_scaffold_3001850, Al_scaffold_0003_2060, scaffold_103186.1, fgenesh2_kg.1__2612__AT1G23970.1
OG0000068	Sp1g35760.1, Sp1g35770.1, Sp1g36050.1	scaffold_503225.1
OG0000068	Sp4g08260.1, Sp5g03170.1	scaffold_502393.1, scaffold_503226.1, scaffold_302606.1, scaffold_302607.1, scaffold_302608.1, scaffold_700685.1
OG0000069	Sp5g15350.1	fgenesh2_kg.1__747__AT1G07820.2, fgenesh2_kg.1__768__AT1G07820.2
OG0000069	Sp5g08650.1, Sp6g21360.1, Sp4g11600.1, Sp4g19900.1, Sp1g06390.1	fgenesh2_kg.781__1__AT5G59970.1, fgenesh2_kg.8__1950__AT5G59970.1
OG0000070	Sp7g36970.1	scaffold_700078.1
OG0000070	Sp4g00400.1	scaffold_400034.1
OG0000070	Sp3g31440.1	scaffold_304129.1
OG0000070	Sp7g33890.1	fgenesh2_kg.7__453__AT4G36110.1
OG0000070	Sp5g30700.1	fgenesh2_kg.2__1835__AT1G75580.1
OG0000070	Sp1g17620.1	fgenesh2_kg.1__2161__AT1G19830.1
OG0000070	Sp3g29850.1	scaffold_303940.1
OG0000070	Sp7g32540.1	fgenesh2_kg.7__612__AT4G34760.1
OG0000071	Sp4g12490.1	scaffold_401462.1, scaffold_401461.1, scaffold_401458.1, fgenesh2_kg.3__1364__AT3G12981.1
OG0000074	Sp6g20800.1	scaffold_802534.1
OG0000074	Sp5g14890.1	scaffold_501597.1, fgenesh2_kg.5__1049__AT3G46850.1, Al_scaffold_0005_1477
OG0000074	Sp6g20890.1	fgenesh2_kg.8__1863__AT5G59100.1
OG0000074	Sp6g22300.1	Al_scaffold_0008_2366, fgenesh1_pg.C_scaffold_279000002
OG0000074	Sp6g20510.1	fgenesh2_kg.8__1825__AT5G58830.1, scaffold_28500001.1, scaffold_802490.1, fgenesh2_kg.8__1780__AT5G58820.1, Al_scaffold_0008_1574, Al_scaffold_0008_2368, fgenesh1_pm.C_scaffold_285000001
OG0000074	Sp6g20870.1	scaffold_4800001.1, fgenesh2_kg.8__1861__AT5G59120.1
OG0000076	Sp4g08780.1, Sp4g07410.1, SpUn0004_0210.1	Al_scaffold_0007_3163
OG0000077	Sp4g15410.1	fgenesh2_kg.348__3__AT2G33060.1, fgenesh2_kg.4__1304__AT2G33060.1, fgenesh2_kg.4__1303__AT2G33050.1
OG0000078	Sp1g17860.1	fgenesh2_kg.1__2189__AT1G20090.1
OG0000078	Sp5g30980.1	scaffold_202533.1
OG0000078	Sp7g32780.1, Sp3g29990.1	fgenesh2_kg.7__588__AT4G35020.1
OG0000078	Sp2g10850.1	fgenesh2_kg.8__197__AT5G45970.1
OG0000078	Sp3g31210.1	scaffold_502181.1
OG0000079	Sp4g04890.1	fgenesh2_kg.4__465__AT2G25540.1
OG0000079	Sp7g30200.1	fgenesh2_kg.7__919__AT4G32410.1
OG0000079	Sp6g37660.1	fgenesh2_kg.6__440__AT5G05170.1
OG0000079	Sp2g08870.1	fgenesh2_kg.8__409__AT5G44030.1
OG0000079	Sp6g26800.1	scaffold_601794.1
OG0000079	Sp7g36530.1	fgenesh2_kg.7__145__AT4G39350.1
OG0000079	Sp2g27810.1	Al_scaffold_0485_1, fgenesh2_kg.8__2505__AT5G64740.1
OG0000079	Sp6g33540.1	scaffold_600993.1
OG0000080	Sp7g14750.1	fgenesh2_kg.8__1429__AT5G55270.1, fgenesh2_kg.236__1__AT5G55880.1, fgenesh2_kg.8__1485__AT5G55890.1, fgenesh2_kg.8__1338__AT5G54320.1, fgenesh2_kg.8__1337__AT5G54330.1
OG0000083	Sp1g22080.1	scaffold_103971.1
OG0000084	Sp7g25920.1	scaffold_701472.1
OG0000084	Sp6g15450.1	fgenesh1_pm.C_scaffold_8001028
OG0000084	Sp7g00370.1	fgenesh2_kg.7__3249__AT5G41700.4
OG0000084	Sp2g00510.1	Al_scaffold_0002_69
OG0000084	Sp3g29980.1	fgenesh2_kg.3__3258__AT2G16740.1
OG0000084	Sp6g18000.1	fgenesh2_kg.8__1517__AT5G56150.1
OG0000084	Sp3g07130.1	fgenesh2_kg.3__873__AT3G08690.1
OG0000085	Sp3g31850.1	scaffold_702911.1
OG0000085	Sp5g13500.1	fgenesh2_kg.5__1728__AT3G53550.1
OG0000086	Sp7g23620.1	fgenesh2_kg.7__1701__AT4G25590.1
OG0000086	Sp1g00550.1	scaffold_100061.1
OG0000086	Sp6g00670.1	fgenesh2_kg.6__3635__AT4G00680.1
OG0000086	Sp5g15590.1	fgenesh2_kg.5__973__AT3G46010.1
OG0000086	Sp6g21600.1	fgenesh1_pm.C_scaffold_8001603
OG0000086	Sp6g21590.1	fgenesh2_kg.8__1940__AT5G59880.1
OG0000086	Sp5g15610.1	fgenesh1_pm.C_scaffold_5000802, fgenesh2_kg.5__971__AT3G46000.1
OG0000088	Sp6g21910.1	fgenesh2_kg.8__1982__AT5G60300.2
OG0000088	Sp6g21880.1	fgenesh2_kg.8__1979__AT5G60270.1
OG0000088	Sp6g21890.1	scaffold_802669.1
OG0000088	Sp5g15920.1	scaffold_501398.1
OG0000088	Sp5g15950.1	scaffold_501396.1
OG0000088	Sp5g15940.1	scaffold_501397.1
OG0000088	Sp5g15970.1	scaffold_501394.1
OG0000088	Sp6g21920.1	fgenesh2_kg.8__1985__AT5G60320.1
OG0000090	Sp4g12090.1, Sp4g12160.1	scaffold_401560.1
OG0000090	Sp1g06180.1	fgenesh2_kg.1__721__AT1G07450.1
OG0000094	Sp2g03130.1	Al_scaffold_0002_396
OG0000094	Sp2g03070.1	Al_scaffold_0002_384
OG0000094	Sp2g03090.1, Sp2g03117.1	fgenesh2_kg.2__311__AT1G61420.1, fgenesh2_kg.2__308__AT1G61460.1, scaffold_200445.1
OG0000094	Sp4g04840.1	fgenesh2_kg.1__1218__AT1G11280.2
OG0000094	Sp2g03110.1	Al_scaffold_0002_394
OG0000094	Sp2g03120.1	fgenesh2_kg.2__315__AT1G61380.1
OG0000094	Sp1g09940.1	Al_scaffold_0001_1133
OG0000094	Sp2g03140.1	fgenesh2_kg.2__317__AT1G61360.1
OG0000095	Sp7g21600.1	scaffold_701972.1, fgenesh2_kg.7__1933__AT4G23680.1
OG0000095	Sp7g21610.1	fgenesh2_kg.5__401__AT3G26460.1
OG0000096	Sp5g29380.1	fgenesh2_kg.2__1688__AT1G74190.1
OG0000098	Sp4g17010.1, Sp4g18670.1	scaffold_201480.1, fgenesh2_kg.4__1673__AT2G36380.1
OG0000098	Sp4g08450.1	fgenesh2_kg.4__626__AT2G26910.1
OG0000098	Sp2g18270.1	fgenesh2_kg.5__745__AT3G30842.1
OG0000098	Sp1g13880.1	fgenesh2_kg.1__1707__AT1G15520.1
OG0000098	Sp1g13520.1	fgenesh2_kg.1__1667__AT1G15210.1
OG0000098	Sp5g36020.1	fgenesh2_kg.2__450__AT1G59870.1
OG0000098	Sp3g14720.1	fgenesh1_pm.C_scaffold_3001425
OG0000099	Sp6g29370.1	fgenesh1_pm.C_scaffold_6001155
OG0000099	Sp5g01100.1, Sp4g29160.1	fgenesh2_kg.2__831__AT3G62290.1, fgenesh2_kg.5__2727__AT3G62290.1
OG0000099	Sp1g09310.1, Sp2g04250.1	scaffold_101133.1
OG0000103	Sp6g06900.1	fgenesh2_kg.6__3031__AT4G10520.1
OG0000103	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1	fgenesh2_kg.7__2143__AT4G21650.1
OG0000103	Sp6g06870.1	fgenesh2_kg.6__3033__AT4G10540.1, Al_scaffold_0006_3187, scaffold_603416.1
OG0000103	Sp1g28050.1	Al_scaffold_0001_3370, scaffold_103673.1
OG0000103	Sp1g28060.1	fgenesh2_kg.1__3430__AT1G32940.1
OG0000103	Sp1g28020.1	fgenesh2_kg.1__3433__AT1G32970.1
OG0000104	Sp4g24190.1	fgenesh2_kg.4__2339__AT2G41930.1
OG0000104	Sp6g31530.1	fgenesh2_kg.6__2711__AT5G27510.1
OG0000104	Sp5g13700.1, Sp4g24500.1	fgenesh1_pg.C_scaffold_4002371, scaffold_403089.1
OG0000106	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1	fgenesh1_pm.C_scaffold_2000507, scaffold_200953.1, fgenesh2_kg.2__651__AT1G65120.1
OG0000106	Sp2g25130.1	scaffold_105048.1, fgenesh1_pm.C_scaffold_8001772, Al_scaffold_0008_2698, fgenesh2_kg.8__1041__AT5G51530.1, Al_scaffold_0004_1234, scaffold_401271.1, Al_scaffold_0004_1230
OG0000108	Sp5g07750.1	fgenesh2_kg.5__1867__AT3G54700.1
OG0000108	Sp4g21310.1	fgenesh2_kg.4__1973__AT2G38940.1
OG0000109	Sp1g37590.1	fgenesh1_pm.C_scaffold_6001480, fgenesh1_pg.C_scaffold_1003793
OG0000110	Sp2g15055.1, Sp2g15060.1	scaffold_500454.1, Al_scaffold_0005_401, scaffold_500460.1, fgenesh1_pm.C_scaffold_5000266
OG0000112	Sp7g12400.1, Sp3g28520.1, Sp7g03450.1	fgenesh1_pg.C_scaffold_6002504, Al_scaffold_0006_2910, scaffold_603124.1, scaffold_603123.1, scaffold_49600002.1, scaffold_604139.1, scaffold_49600001.1, scaffold_604136.1
OG0000113	Sp7g01320.1	scaffold_503096.1
OG0000114	Sp6g25730.1	fgenesh2_kg.6__1878__AT5G18600.1
OG0000114	Sp7g13960.1	scaffold_702973.1
OG0000114	Sp7g13930.1	fgenesh2_kg.7__2751__AT4G15680.1
OG0000115	Sp6g26490.1	fgenesh1_pg.C_scaffold_6001475, fgenesh1_pg.C_scaffold_6001478
OG0000115	Sp5g11270.1	scaffold_502143.1
OG0000116	Sp1g31050.1, Sp1g31170.1	fgenesh1_pm.C_scaffold_8001637
OG0000116	Sp2g22120.1	fgenesh1_pg.C_scaffold_6002146, scaffold_602654.1
OG0000116	Sp6g39360.1	scaffold_600162.1
OG0000117	Sp4g25600.1	Al_scaffold_0002_1289, fgenesh2_kg.4__2523__AT2G43510.1
OG0000117	Sp3g24100.1	fgenesh2_kg.1__3851__AT1G47540.2, fgenesh2_kg.4__2524__AT2G43520.1
OG0000118	Sp7g03745.1	scaffold_200886.1, Al_scaffold_0005_1532
OG0000119	Sp1g31660.1	scaffold_402379.1, Al_scaffold_0004_2258
OG0000120	Sp1g00910.1	Al_scaffold_0001_92
OG0000120	Sp6g01080.1	fgenesh1_pm.C_scaffold_6002892
OG0000120	Sp6g15380.1	fgenesh1_pg.C_scaffold_8001350
OG0000121	Sp5g30950.1	fgenesh2_kg.2__1861__AT1G75830.1
OG0000123	Sp5g02600.1	scaffold_503299.1
OG0000123	Sp4g27220.1, SpUn0031_0100.1	fgenesh2_kg.4__2712__AT2G45170.1
OG0000123	Sp7g15090.1	scaffold_702834.1
OG0000123	Sp3g24090.1	fgenesh2_kg.3__2886__AT2G05630.1
OG0000123	Sp2g02520.1	fgenesh2_kg.2__262__AT1G62040.1
OG0000123	Sp7g20170.1	Al_scaffold_0007_1962
