Orthogroup	Thellungiella_parvula	Boechera_stricta
OG0000065	Sp2g09180.1	Bostr.3148s0022.1.p
OG0000065	Sp7g18980.1	Bostr.10689s0041.1.p
OG0000065	Sp6g31390.1	Bostr.20055s0004.1.p
OG0000065	Sp2g23430.1	Bostr.10199s0050.1.p
OG0000065	Sp4g12280.1	Bostr.27991s0217.1.p
OG0000065	Sp2g25870.1	Bostr.0568s0538.1.p
OG0000068	Sp5g31070.1	Bostr.20129s0032.1.p
OG0000068	Sp1g35760.1, Sp1g35770.1, Sp1g36050.1	Bostr.29344s0008.1.p
OG0000068	Sp4g08260.1, Sp5g03170.1	Bostr.29344s0009.1.p, Bostr.7867s1306.1.p
OG0000069	Sp5g08650.1	Bostr.23794s0323.1.p
OG0000069	Sp5g08650.1	Bostr.26833s0238.1.p
OG0000069	Sp5g08650.1	Bostr.18473s0344.1.p
OG0000069	Sp5g08650.1	Bostr.18473s0314.1.p
OG0000069	Sp5g08650.1	Bostr.25219s0165.1.p
OG0000069	Sp5g08650.1	Bostr.25219s0194.1.p
OG0000069	Sp5g08650.1	Bostr.27991s0042.1.p
OG0000069	Sp5g08650.1	Bostr.11793s0019.1.p
OG0000069	Sp6g21360.1	Bostr.23794s0323.1.p
OG0000069	Sp6g21360.1	Bostr.26833s0238.1.p
OG0000069	Sp6g21360.1	Bostr.18473s0344.1.p
OG0000069	Sp6g21360.1	Bostr.18473s0314.1.p
OG0000069	Sp6g21360.1	Bostr.25219s0165.1.p
OG0000069	Sp6g21360.1	Bostr.25219s0194.1.p
OG0000069	Sp6g21360.1	Bostr.27991s0042.1.p
OG0000069	Sp6g21360.1	Bostr.11793s0019.1.p
OG0000069	Sp4g11600.1	Bostr.23794s0323.1.p
OG0000069	Sp4g11600.1	Bostr.26833s0238.1.p
OG0000069	Sp4g11600.1	Bostr.18473s0344.1.p
OG0000069	Sp4g11600.1	Bostr.18473s0314.1.p
OG0000069	Sp4g11600.1	Bostr.25219s0165.1.p
OG0000069	Sp4g11600.1	Bostr.25219s0194.1.p
OG0000069	Sp4g11600.1	Bostr.27991s0042.1.p
OG0000069	Sp4g11600.1	Bostr.11793s0019.1.p
OG0000069	Sp4g19900.1	Bostr.23794s0323.1.p
OG0000069	Sp4g19900.1	Bostr.26833s0238.1.p
OG0000069	Sp4g19900.1	Bostr.18473s0344.1.p
OG0000069	Sp4g19900.1	Bostr.18473s0314.1.p
OG0000069	Sp4g19900.1	Bostr.25219s0165.1.p
OG0000069	Sp4g19900.1	Bostr.25219s0194.1.p
OG0000069	Sp4g19900.1	Bostr.27991s0042.1.p
OG0000069	Sp4g19900.1	Bostr.11793s0019.1.p
OG0000069	Sp1g06390.1	Bostr.23794s0323.1.p
OG0000069	Sp1g06390.1	Bostr.26833s0238.1.p
OG0000069	Sp1g06390.1	Bostr.18473s0344.1.p
OG0000069	Sp1g06390.1	Bostr.18473s0314.1.p
OG0000069	Sp1g06390.1	Bostr.25219s0165.1.p
OG0000069	Sp1g06390.1	Bostr.25219s0194.1.p
OG0000069	Sp1g06390.1	Bostr.27991s0042.1.p
OG0000069	Sp1g06390.1	Bostr.11793s0019.1.p
OG0000070	Sp7g36970.1	Bostr.25542s0066.1.p
OG0000070	Sp4g00400.1	Bostr.5022s0115.1.p
OG0000070	Sp3g31440.1	Bostr.18351s0268.1.p
OG0000070	Sp7g33890.1	Bostr.7867s1475.1.p
OG0000070	Sp5g30700.1	Bostr.3288s0210.1.p
OG0000070	Sp1g17620.1	Bostr.7128s0580.1.p
OG0000070	Sp3g29850.1	Bostr.18351s0119.1.p
OG0000070	Sp7g32540.1	Bostr.7867s1336.1.p
OG0000071	Sp4g12490.1	Bostr.3640s0075.1.p
OG0000072	Sp5g21400.1	Bostr.3640s0164.1.p
OG0000074	Sp6g20800.1	Bostr.26833s0325.1.p
OG0000074	Sp5g14890.1	Bostr.18473s0275.1.p
OG0000074	Sp6g20890.1	Bostr.26833s0334.1.p
OG0000074	Sp6g22300.1	Bostr.26833s0365.1.p
OG0000074	Sp6g20510.1	Bostr.26833s0363.1.p, Bostr.26833s0364.1.p
OG0000074	Sp6g20870.1	Bostr.26833s0331.1.p
OG0000076	Sp4g08780.1, Sp4g07410.1, SpUn0004_0210.1	Bostr.7903s0085.1.p
OG0000077	Sp4g15410.1	Bostr.23794s0775.1.p, Bostr.23794s0795.1.p, Bostr.23794s0774.1.p, Bostr.23794s0796.1.p
OG0000077	Sp4g14900.1	Bostr.10199s0149.1.p
OG0000078	Sp1g17860.1	Bostr.7128s0610.1.p
OG0000078	Sp5g30980.1	Bostr.20129s0021.1.p
OG0000078	Sp7g32780.1, Sp3g29990.1	Bostr.7867s1361.1.p
OG0000078	Sp2g10850.1	Bostr.8819s0127.1.p
OG0000078	Sp7g33730.1	Bostr.18351s0249.1.p
OG0000079	Sp4g04890.1	Bostr.26326s0105.1.p
OG0000079	Sp7g30200.1	Bostr.7867s1095.1.p
OG0000079	Sp3g09190.1	Bostr.19424s1012.1.p
OG0000079	Sp6g37660.1	Bostr.13129s0448.1.p
OG0000079	Sp2g08870.1	Bostr.3148s0056.1.p
OG0000079	Sp6g26800.1	Bostr.26527s0472.1.p
OG0000079	Sp7g36530.1	Bostr.25542s0122.1.p
OG0000079	Sp2g27810.1	Bostr.0568s0321.1.p
OG0000079	Sp6g33540.1	Bostr.13129s0005.1.p
OG0000080	Sp7g14750.1	Bostr.14511s0001.1.p
OG0000083	Sp7g23370.1	Bostr.7867s0344.1.p
OG0000083	Sp1g22080.1	Bostr.12659s0327.1.p, Bostr.1774s0033.1.p
OG0000083	Sp1g12400.1	Bostr.13671s0049.1.p
OG0000083	Sp2g14180.1	Bostr.0556s0141.1.p
OG0000083	Sp2g14170.1	Bostr.0556s0140.1.p
OG0000084	Sp7g25920.1	Bostr.7867s0627.1.p
OG0000084	Sp6g15450.1	Bostr.26833s0951.1.p
OG0000084	Sp7g00370.1	Bostr.7200s0198.1.p
OG0000084	Sp2g00510.1	Bostr.29223s0101.1.p
OG0000084	Sp3g29980.1	Bostr.18351s0135.1.p
OG0000084	Sp6g18000.1	Bostr.26833s0648.1.p
OG0000084	Sp3g07130.1	Bostr.22252s0201.1.p
OG0000085	Sp3g31850.1	Bostr.17016s0018.1.p
OG0000085	Sp5g13500.1	Bostr.3853s0001.1.p
OG0000086	Sp7g23620.1	Bostr.7867s0370.1.p
OG0000086	Sp1g00550.1	Bostr.5325s0099.1.p
OG0000086	Sp6g00670.1	Bostr.10064s0040.1.p
OG0000086	Sp5g15590.1	Bostr.18473s0339.1.p
OG0000086	Sp6g21590.1	Bostr.26833s0246.1.p
OG0000086	Sp5g15610.1	Bostr.18473s0340.1.p
OG0000087	Sp3g27040.1, Sp4g06670.1, Sp6g08540.1, Sp3g26320.1	Bostr.10199s0085.1.p
OG0000088	Sp5g15930.1	Bostr.18473s0382.1.p
OG0000088	Sp6g21910.1	Bostr.26833s0208.1.p
OG0000088	Sp6g21880.1	Bostr.20905s0001.1.p
OG0000088	Sp6g21890.1	Bostr.26833s0209.1.p
OG0000088	Sp5g15920.1	Bostr.18473s0381.1.p
OG0000088	Sp5g15950.1	Bostr.18473s0384.1.p
OG0000088	Sp5g15940.1	Bostr.18473s0383.1.p
OG0000088	Sp5g15970.1	Bostr.18473s0386.1.p
OG0000089	Sp7g02635.1	Bostr.26527s0460.1.p, Bostr.13083s0051.1.p, Bostr.29827s0219.1.p, Bostr.13129s0037.1.p, Bostr.10273s0348.1.p, Bostr.1040s0053.1.p, Bostr.26959s0421.1.p, Bostr.24513s0035.1.p, Bostr.29044s0112.1.p, Bostr.15654s0018.1.p, Bostr.24399s0021.1.p, Bostr.18351s0044.1.p
OG0000090	Sp4g12090.1, Sp4g12160.1	Bostr.24513s0167.1.p, Bostr.24513s0164.1.p, Bostr.24513s0169.1.p
OG0000090	Sp1g06180.1	Bostr.25219s0327.1.p
OG0000090	Sp4g12085.1, Sp4g12060.1	Bostr.27991s0189.1.p
OG0000094	Sp2g03130.1	Bostr.10040s0054.1.p
OG0000094	Sp2g03090.1, Sp2g03117.1	Bostr.10040s0044.1.p, Bostr.10040s0036.1.p, Bostr.10040s0041.1.p, Bostr.10040s0042.1.p, Bostr.10040s0045.1.p
OG0000094	Sp2g03110.1	Bostr.10040s0050.1.p
OG0000094	Sp2g03140.1	Bostr.10040s0055.1.p
OG0000095	Sp7g21600.1	Bostr.7867s0165.1.p, Bostr.7867s0166.1.p
OG0000095	Sp7g21610.1	Bostr.0556s0318.1.p
OG0000096	Sp5g29380.1	Bostr.10058s0054.1.p
OG0000098	Sp4g17010.1, Sp4g18670.1	Bostr.11223s0001.1.p
OG0000098	Sp4g08450.1	Bostr.29505s0021.1.p
OG0000098	Sp2g18270.1	Bostr.0556s0634.1.p
OG0000098	Sp1g13880.1	Bostr.7128s0167.1.p
OG0000098	Sp1g13520.1	Bostr.7128s0134.1.p
OG0000098	Sp5g36020.1	Bostr.10040s0237.1.p
OG0000098	Sp3g14720.1	Bostr.28625s0056.1.p
OG0000099	Sp6g29370.1	Bostr.2902s0202.1.p
OG0000099	Sp5g01100.1	Bostr.25993s0047.1.p
OG0000099	Sp4g29160.1	Bostr.25993s0047.1.p
OG0000099	Sp1g09310.1, Sp2g04250.1	Bostr.10040s0168.1.p
OG0000099	Sp1g20910.1	Bostr.12659s0208.1.p
OG0000103	Sp6g06900.1	Bostr.25463s0267.1.p
OG0000103	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1	Bostr.10689s0110.1.p
OG0000103	Sp6g06870.1	Bostr.25463s0266.1.p, Bostr.25463s0268.1.p, Bostr.25463s0265.1.p
OG0000103	Sp1g28060.1	Bostr.3359s0066.1.p
OG0000104	Sp4g24190.1	Bostr.25993s0586.1.p
OG0000104	Sp6g31530.1	Bostr.29827s0049.1.p
OG0000104	Sp5g13700.1, Sp4g24500.1	Bostr.19983s0002.1.p
OG0000106	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1	Bostr.26959s0430.1.p, Bostr.26959s0429.1.p
