Orthogroup	Thellungiella_parvula	Arabidopsis_thaliana
OG0000014	Sp1g34680.1	AT2G05420, AT2G05400, AT2G05410
OG0000014	Sp5g04453.1	AT3G58340
OG0000014	Sp5g04480.1	AT3G58240
OG0000014	Sp5g04460.1	AT3G58350, AT3G58400
OG0000014	Sp5g04500.1	AT3G58250
OG0000015	SpUn0004_0050.1	AT4G09490
OG0000015	SpUn0002_0230.1	AT3G26855
OG0000015	Sp7g02710.1, Sp1g01750.1, Sp7g01630.1, Sp4g05790.1, Sp6g18960.1, Sp3g26350.1	AT1G10000
OG0000016	Sp7g11580.1	AT4G13790
OG0000016	Sp7g36980.1	AT4G38850
OG0000016	Sp4g00370.1, Sp4g00380.1	AT4G38825, AT2G21200
OG0000016	Sp3g02800.1	AT3G03820
OG0000016	Sp6g26280.1, Sp6g26260.1	AT5G18080, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18010
OG0000017	Sp1g33140.1, Sp1g34250.1, Sp1g27840.1	AT1G46984
OG0000017	Sp5g12630.1	AT3G49450
OG0000018	Sp7g00500.1	AT5G41540
OG0000018	Sp7g00490.1	AT5G35510
OG0000018	Sp2g00920.1	AT1G63740, AT1G63730
OG0000018	Sp2g00800.1	AT1G63870
OG0000018	Sp2g00810.1	AT1G63860
OG0000019	Sp4g11780.1	AT2G28990
OG0000019	Sp4g10470.1	AT1G49100
OG0000019	Sp3g19400.1	AT3G21340, AT2G04300
OG0000019	Sp1g38470.1	AT1G51805
OG0000019	Sp1g38480.1	AT1G51830, AT1G51850, AT1G51820
OG0000019	Sp6g21340.1	AT5G59670, AT5G59660
OG0000019	Sp6g21330.1	AT5G59650
OG0000019	Sp5g15300.1	AT3G46340
OG0000019	Sp4g11770.1	AT2G28960
OG0000019	Sp4g11810.1	AT2G29000
OG0000019	Sp1g34570.1	AT2G14440, AT2G14510, AT1G07550
OG0000024	Sp2g05350.1	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848, AT1G58390, AT1G58400, AT1G58410
OG0000024	Sp2g04940.1, Sp2g04960.1	AT1G59620
OG0000025	Sp4g07220.1	AT5G42567, AT5G34882, AT5G34905, AT5G34881, AT5G34887, AT5G34885, AT5G34883, AT5G34908, AT5G42955, AT5G42957, AT3G30383, AT3G30387, AT3G30385, AT1G45223, AT1G45221, AT1G45215, AT1G57760, AT1G57775, AT1G57777, AT3G44115, AT4G08025, AT4G07515
OG0000026	SpUn1377_0010.1	AT3G30739
OG0000029	Sp2g05870.1, SpUn0028_0070.1	AT5G02930, AT5G02920
OG0000029	Sp6g39690.1	AT5G02910
OG0000031	Sp7g03460.1	AT4G10400, AT4G09920, AT4G10410, AT4G10420
OG0000031	SpUn0035_0040.1, Sp1g38380.1, Sp7g03360.1, Sp7g03470.1	AT5G38570, AT5G38565, AT5G38580, AT5G38590
OG0000031	Sp6g18230.1, Sp5g07520.1	AT3G54910
OG0000032	Sp7g03870.1	AT5G38260
OG0000032	Sp5g21900.1	AT1G66910
OG0000033	Sp2g03980.1	AT1G62630, AT1G63360, AT1G63350
OG0000033	Sp1g10900.1	AT1G12290
OG0000034	Sp7g04575.1	ATMG00300
OG0000037	Sp5g08630.1, Sp4g19980.1	AT3G53750, AT2G37620
OG0000037	Sp3g16870.1	AT3G18780, AT1G49240
OG0000037	Sp4g24310.1	AT2G42170, AT2G42090, AT2G42100
OG0000037	Sp3g10340.1	AT3G12110
OG0000037	Sp5g15160.1, Sp6g21050.1	AT5G59370
OG0000037	Sp1g28660.1, Sp6g33600.1	AT5G09810
OG0000038	Sp4g09920.1	AT3G49020, AT3G49040, AT2G04230, AT3G49030
OG0000039	Sp7g21010.1	AT4G23190
OG0000039	Sp6g05930.1	AT4G11530
OG0000039	Sp6g05970.1	AT4G11480, AT4G11470
OG0000040	Sp1g26630.1	AT3G12230, AT3G12240
OG0000040	Sp7g01830.1, Sp4g02040.1	AT2G22980
OG0000040	Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1	AT2G23000
OG0000040	Sp3g08720.1	AT3G10450
OG0000040	SpUn0245_0010.1	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270
OG0000042	Sp5g03990.1	AT3G58820
OG0000042	Sp5g03860.1	AT3G58860
OG0000043	Sp5g14630.1	AT3G47110
OG0000043	Sp6g23980.1	AT5G20480
OG0000043	Sp1g34070.1	AT3G47570
OG0000044	Sp5g14790.1	AT3G46950
OG0000044	Sp2g02570.1	AT1G61990
OG0000044	Sp2g02100.1, Sp2g02560.1, Sp2g02600.1	AT1G62150, AT1G62010, AT1G62120
OG0000045	Sp7g21200.1	AT4G23180
OG0000045	Sp1g30740.1, Sp1g30850.1	AT4G23230
OG0000046	Sp2g09710.1	AT5G44870
OG0000046	Sp2g10100.1	AT5G45230
OG0000049	Sp1g30605.1	AT1G41920, AT2G06541, AT3G29450
OG0000050	Sp7g35840.1, Sp7g35830.1	AT5G10980, AT4G40040
OG0000050	Sp6g32510.1, Sp5g30720.1, Sp3g29820.1	AT4G40030
OG0000050	Sp6g31050.1	AT5G12910
OG0000051	Sp6g34560.1	AT5G08391
OG0000051	Sp2g16170.1, Sp7g00950.1	AT3G27030
OG0000051	Sp7g00940.1	AT5G40980
OG0000051	Sp3g00160.1	AT3G01940
OG0000051	Sp6g12730.1	AT5G50660, AT5G50560
OG0000051	Sp5g13350.1	AT3G48660
OG0000051	Sp2g26580.1	AT5G63500
OG0000053	Sp7g04290.1	AT5G37780
OG0000053	Sp7g12750.1	AT4G14640
OG0000053	Sp3g20610.1	AT3G22930
OG0000053	Sp5g05790.1, Sp4g23420.1	AT2G41110, AT2G27030
OG0000054	Sp1g10770.1	AT1G12090
OG0000054	Sp2g02080.1	AT1G62510
OG0000054	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1	AT4G12520, AT4G12510
OG0000054	Sp4g27230.1, SpUn0031_0090.1	AT2G45180
OG0000054	Sp6g04960.1	AT4G12550, AT4G12545
OG0000054	Sp7g20540.1	AT4G22460
OG0000057	Sp6g19080.1	AT5G57350
OG0000057	Sp1g15390.1	AT1G17260
OG0000057	Sp5g02900.1	AT3G60330
OG0000057	Sp2g25850.1	AT5G62670
OG0000057	Sp4g03520.1	AT2G24520
OG0000057	Sp5g35100.1	AT1G80660
OG0000057	Sp5g18280.1	AT3G42640
OG0000057	Sp3g25350.1	AT2G07560
OG0000057	Sp7g28060.1	AT4G30190
OG0000057	Sp3g32410.1	AT2G18960
OG0000060	Sp6g22520.1	AT5G22880
OG0000060	Sp3g07850.1	AT5G02570, AT3G09480
OG0000060	Sp5g08710.1	AT2G37470
OG0000060	Sp6g21620.1	AT5G59910
OG0000062	Sp3g18120.1	AT3G20140
OG0000062	Sp7g09440.1, Sp3g18110.1	AT2G14100, AT3G32047
OG0000062	Sp3g18105.1	AT3G20100
OG0000064	Sp3g33520.1	AT2G20290
OG0000064	Sp7g26710.1	AT4G28710
OG0000064	Sp2g08710.1	AT5G43900
OG0000064	Sp1g02980.1	AT1G04160
OG0000064	Sp4g14250.1	AT2G31900
OG0000064	Sp1g15710.1	AT1G17580
OG0000064	Sp6g23970.1	AT5G20490
OG0000064	Sp5g04560.1	AT3G58160
OG0000064	SpUn0001_0160.1	AT1G54560
OG0000064	Sp1g07380.1	AT1G08730
OG0000065	Sp5g30900.1	AT1G75780
OG0000065	Sp2g09180.1	AT5G44340
OG0000065	Sp7g18980.1	AT4G20890
OG0000065	Sp6g31390.1	AT5G12250
OG0000065	Sp2g23430.1	AT5G23860
OG0000065	Sp4g12280.1	AT2G29550
OG0000065	Sp2g25870.1, Sp5g14830.1	AT5G62690, AT5G62700
OG0000066	Sp7g00780.1	AT1G02770, AT1G19060, AT3G19520, AT1G27860, AT1G28500, AT1G23960, AT1G23950, AT1G23970
OG0000068	Sp5g31070.1	AT1G75950
OG0000068	Sp2g14110.1, Sp2g14120.1	AT2G03170
OG0000068	Sp1g35760.1, Sp1g35770.1, Sp1g36050.1	AT3G60010
OG0000068	Sp4g08260.1, Sp5g03170.1	AT3G53060, AT3G60020, AT3G21860, AT3G21830, AT3G21840, AT3G21850, AT4G34470, AT4G34210
OG0000070	Sp7g36970.1	AT4G38860
OG0000070	Sp4g00400.1	AT2G21220
OG0000070	Sp3g31440.1	AT2G18010
OG0000070	Sp7g33890.1	AT4G36110
OG0000070	Sp5g30700.1	AT1G75580
OG0000070	Sp1g17620.1	AT1G19830
OG0000070	Sp3g29850.1	AT2G16580
OG0000070	Sp7g32540.1	AT4G34760
OG0000071	Sp4g12490.1	AT2G29930, AT2G29910
OG0000073	Sp5g21235.1, Sp4g09140.1, Sp2g01620.1	AT1G43760, AT1G40390
OG0000074	Sp6g20800.1	AT5G59190
OG0000074	Sp5g14890.1	AT3G46840, AT3G46850
OG0000074	Sp6g20890.1	AT5G59100
OG0000074	Sp6g20510.1	AT5G58830, AT5G58820, AT5G58840
OG0000074	Sp6g20870.1	AT5G59090, AT5G59120
OG0000077	Sp4g15410.1	AT2G33060, AT2G33050
OG0000077	Sp4g14900.1	AT2G32680, AT2G33020, AT2G33080
OG0000078	Sp1g17860.1	AT1G20090
OG0000078	Sp5g30980.1	AT1G75840
OG0000078	Sp7g32780.1, Sp3g29990.1	AT4G35020
OG0000078	Sp2g10850.1	AT5G45970
OG0000078	Sp3g31210.1	AT3G51300
OG0000079	Sp4g04890.1	AT2G25540
OG0000079	Sp7g30200.1	AT4G32410
OG0000079	Sp6g37660.1	AT5G05170
OG0000079	Sp2g08870.1	AT5G44030
OG0000079	Sp6g26800.1	AT5G17420
OG0000079	Sp7g36530.1	AT4G39350
OG0000079	Sp2g27810.1	AT5G64740
OG0000079	Sp6g33540.1	AT5G09870
OG0000080	Sp7g14750.1	AT5G53230, AT5G53240, AT5G55270, AT5G55890, AT5G55880, AT5G54320, AT5G55870, AT5G54330, AT3G43170
OG0000083	Sp7g23370.1	AT4G25350
OG0000083	Sp1g22080.1	AT1G26730, AT1G35350
OG0000083	Sp1g12400.1	AT1G14040
OG0000083	Sp2g14180.1	AT2G03250
OG0000083	Sp2g14170.1	AT2G03240
OG0000084	Sp7g25920.1	AT4G27960
OG0000084	Sp6g15450.1	AT5G53300
OG0000084	Sp7g00370.1	AT5G41700
OG0000084	Sp3g29980.1	AT2G16740
OG0000084	Sp6g18000.1	AT5G56150
OG0000084	Sp3g07130.1	AT3G08690
OG0000085	Sp5g13500.1	AT3G53550
OG0000086	Sp7g23620.1	AT4G25590
OG0000086	Sp1g00550.1	AT1G01750
OG0000086	Sp6g00670.1	AT4G00680
OG0000086	Sp5g15590.1	AT3G46010
OG0000086	Sp6g21600.1	AT5G59890
OG0000086	Sp6g21590.1	AT5G59880
OG0000086	Sp5g15610.1	AT3G45990, AT3G46000
OG0000087	SpUn0060_0030.1	AT4G10200
OG0000087	Sp3g27040.1, Sp4g06670.1, Sp6g08540.1, Sp3g26320.1	AT2G16040
OG0000087	Sp4g09900.1	AT1G35150, AT2G06500
OG0000087	Sp5g13100.1	AT5G35475, AT3G29794
OG0000088	Sp5g15930.1	AT3G45430
OG0000088	Sp6g21910.1	AT5G60300
OG0000088	Sp6g21880.1	AT5G60270
OG0000088	Sp6g21890.1	AT5G60280
OG0000088	Sp5g15920.1	AT3G45440
OG0000088	Sp5g15950.1	AT3G45410
OG0000088	Sp5g15940.1	AT3G45420
OG0000088	Sp5g15970.1	AT3G45390, AT3G45330
OG0000088	Sp6g21920.1	AT5G60320
OG0000089	Sp7g02635.1	AT2G06420
OG0000090	Sp4g12090.1, Sp4g12160.1	AT2G30670
OG0000090	Sp4g12085.1, Sp4g12060.1	AT2G29300, AT2G29320
OG0000094	Sp2g03130.1	AT1G61370
OG0000094	Sp2g03070.1	AT1G61500
OG0000094	Sp2g03090.1, Sp2g03117.1	AT1G61420, AT1G61460, AT1G61475, AT1G61480
OG0000094	Sp4g04840.1	AT1G11280
OG0000094	Sp2g03110.1	AT1G61390
OG0000094	Sp2g03120.1	AT1G61380
OG0000094	Sp2g03140.1	AT1G61360
OG0000095	Sp7g21600.1	AT4G23670, AT4G23680
OG0000095	Sp7g21610.1	AT3G26460, AT3G26450
OG0000096	Sp5g29380.1	AT1G74170, AT1G74190
OG0000098	Sp4g17010.1, Sp4g18670.1	AT1G66950, AT2G36380
OG0000098	Sp4g08450.1	AT2G26910
OG0000098	Sp2g18270.1	AT3G30842
OG0000098	Sp1g13880.1	AT1G15520
OG0000098	Sp1g13520.1	AT1G15210
OG0000098	Sp5g36020.1	AT1G59870
OG0000098	Sp3g14720.1	AT3G16340
OG0000099	Sp6g29370.1	AT5G14670
OG0000103	Sp6g06900.1	AT4G10530, AT4G10520
OG0000103	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1	AT4G21650, AT4G21640, AT4G21630
OG0000103	Sp6g06870.1	AT4G10540, AT4G10510, AT4G10550
OG0000103	Sp1g28050.1	AT1G32950, AT1G32960
OG0000103	Sp1g28060.1	AT1G32940
OG0000103	Sp1g28020.1	AT1G32970
OG0000104	Sp4g24190.1	AT2G41930
OG0000104	Sp1g33950.1	AT5G12090
OG0000104	Sp6g31530.1	AT5G27510
OG0000106	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1	AT1G65110, AT1G65120
OG0000106	Sp2g25130.1	AT1G52450, AT1G52430, AT5G61950, AT5G61940, AT5G51530, AT2G27630, AT2G27650
OG0000108	Sp5g07750.1	AT3G54700
OG0000108	Sp4g21310.1	AT2G38940
OG0000109	Sp7g14520.1	AT4G16050
OG0000109	Sp1g38170.1	AT1G51538
OG0000109	Sp1g37590.1	AT5G18510, AT1G50830
OG0000110	Sp2g15055.1, Sp2g15060.1	AT3G25820, AT3G25830, AT3G25810
OG0000112	Sp7g12400.1, Sp3g28520.1, Sp7g03450.1	AT1G45063
OG0000113	Sp5g11010.1	AT3G58920
OG0000114	Sp6g25730.1	AT5G18600
OG0000114	Sp7g13960.1	AT4G15670, AT4G15660
OG0000114	Sp7g13930.1	AT4G15680
OG0000115	Sp6g26490.1	AT5G17740, AT5G17750, AT5G17730, AT5G17760
OG0000115	Sp3g31620.1	AT2G18193, AT2G18190
OG0000115	Sp5g11280.1	AT3G50930
OG0000116	Sp1g31050.1, Sp1g31170.1	AT5G60380
OG0000116	Sp2g22120.1	AT5G25415
OG0000116	Sp6g31960.1	AT5G11660
OG0000117	Sp4g25600.1	AT2G43510
OG0000117	Sp3g24100.1	AT1G47540, AT2G43520
OG0000120	Sp1g00910.1	AT1G01380
OG0000120	Sp6g01080.1	AT4G01060
OG0000120	Sp6g15380.1	AT5G53200
OG0000120	Sp4g28430.1	AT2G46410
OG0000121	Sp5g30950.1	AT1G75830
OG0000123	Sp5g02600.1	AT3G60640
OG0000123	Sp4g27220.1, SpUn0031_0100.1	AT2G45170
OG0000123	Sp7g15090.1	AT4G16520
OG0000123	Sp3g24090.1	AT2G05630
OG0000123	Sp2g02520.1	AT1G62040
OG0000123	Sp7g20170.1	AT4G21980
OG0000125	Sp4g03230.1, Sp4g03220.1	AT1G64840, AT2G24250
OG0000126	Sp3g02980.1	AT5G38344
OG0000129	Sp5g16370.1, Sp1g27690.1	AT1G47390
OG0000130	Sp6g13955.1, Sp3g25725.1, Sp5g19285.1, SpUn0293_0017.1, SpUn0040_0003.1, SpUn0293_0015.1, Sp4g04515.1	ATMG00850
OG0000130	Sp4g08820.1	ATMG00860
OG0000132	SpUn0030_0110.1, Sp3g31720.1	AT2G18328
OG0000132	Sp7g34210.1	AT4G36570
OG0000132	Sp1g17380.1	AT1G19510
OG0000132	Sp5g30410.1	AT1G75250
OG0000132	Sp4g00810.1	AT2G21650
OG0000133	Sp5g26030.1	AT1G70880
OG0000134	Sp6g04660.1, Sp2g11320.1	AT5G40060
OG0000134	Sp3g28820.1	AT5G46450
OG0000135	Sp1g33820.1	AT2G15710
OG0000137	Sp1g25420.1	AT1G29450
OG0000137	Sp1g25440.1	AT1G29500
OG0000137	Sp1g25430.1	AT1G29460
OG0000138	Sp5g33500.1	AT1G78400
OG0000138	Sp4g15460.1	AT2G33160
OG0000138	Sp1g15300.1	AT1G17150
OG0000138	Sp4g22640.1, Sp1g21630.1	AT1G43080, AT1G43090, AT1G43100, AT2G40310, AT4G13760, AT2G26620, AT2G15470, AT2G15460, AT2G15450
OG0000143	Sp3g16720.1	AT3G18650
OG0000143	Sp2g28440.1	AT4G02235, AT5G65330, AT4G11250
OG0000144	Sp4g27590.1	AT2G45550
OG0000144	Sp7g18740.1, Sp4g27620.1	AT2G45570, AT2G45560
OG0000144	Sp4g27610.1	AT1G33730, AT1G33720
OG0000144	Sp4g27630.1	AT2G45580
OG0000146	Sp7g32970.1	AT4G35200
OG0000146	Sp7g32960.1	AT4G35210
OG0000146	Sp3g30360.1	AT2G17070, AT2G17080
OG0000149	Sp1g41790.1	AT1G56145
OG0000149	Sp1g41780.1	AT1G56140, AT1G56130, AT1G56120
OG0000153	Sp6g20950.1, Sp1g28540.1, Sp6g21310.1	AT1G21620
OG0000153	Sp6g21810.1, Sp6g21760.1, SpUn1070_0010.1	AT5G60110, AT5G60180
OG0000154	Sp4g26560.1	AT5G24550, AT5G24540
OG0000154	Sp5g03070.1	AT3G60140
OG0000154	Sp4g26550.1	AT2G44470
OG0000154	Sp4g26540.1	AT2G44460
OG0000155	Sp4g13520.1	AT2G26720, AT2G31050
OG0000156	Sp6g18990.1	AT5G57260
OG0000156	Sp2g15480.1	AT3G26330, AT3G26320
OG0000156	Sp2g15470.1	AT3G26300, AT3G26310
OG0000156	Sp2g15450.1	AT3G26290
OG0000158	SpUn0333_0010.1	AT1G48660
OG0000159	Sp1g38860.1	AT4G26280, AT2G27570, AT3G45080, AT3G45070
OG0000159	Sp1g35030.1	AT5G43690
OG0000161	Sp2g03860.1, Sp2g02500.1	AT4G10305
OG0000162	Sp2g05800.1	AT1G57830, AT1G60320
OG0000162	Sp2g14240.1	AT2G03030, AT2G03300
OG0000162	Sp2g05790.1	AT1G47370, AT1G57850
OG0000163	Sp3g23960.1	AT2G05440, AT2G05510
OG0000163	Sp3g24040.1, Sp3g24050.1, Sp3g24030.1	AT2G05530
OG0000164	Sp7g20000.1	AT4G21860
OG0000164	Sp6g04140.1	AT4G04800
OG0000166	Sp7g03130.1	AT3G05650, AT3G05660
OG0000167	Sp3g10720.1	AT3G12580
OG0000167	Sp1g14350.1	AT1G16030
OG0000167	Sp3g07820.1	AT3G09440
OG0000167	Sp6g40010.1	AT5G02500
OG0000170	Sp4g12440.1	AT2G29735
OG0000170	Sp2g26350.1	AT5G63230
OG0000171	Sp6g03520.1	AT4G03505, AT4G03470
OG0000171	Sp6g04290.1	AT1G03670
OG0000173	Sp2g03710.1, Sp2g03770.1	AT1G60880, AT1G60920
OG0000173	Sp5g22450.1	AT5G04640, AT4G14530, AT1G46408
OG0000174	Sp5g21840.1	AT1G66850
OG0000174	Sp7g03900.1	AT5G38197, AT5G38195, AT5G38180
OG0000174	Sp4g02860.1, Sp5g05290.1	AT3G57310
OG0000178	Sp1g04760.1	AT1G05920
OG0000178	SpUn1102_0010.1, Sp6g07490.1	AT1G32030
OG0000178	Sp1g04320.1	AT1G05930
OG0000179	Sp1g38300.1	AT1G47620, AT1G66030
OG0000179	Sp7g36370.1	AT4G39510
OG0000179	Sp7g12040.1	AT4G32170
OG0000179	Sp3g27400.1	AT4G39500
OG0000180	Sp7g32500.1	AT4G34720, AT4G38920, AT2G16510
OG0000181	SpUn0001_0050.1, Sp3g26840.1	AT1G32225
OG0000182	Sp7g14460.1	AT4G15970
OG0000182	Sp7g18420.1	AT4G19975
OG0000182	Sp2g09660.1	AT5G44820
OG0000182	Sp2g13480.1	AT1G14590
OG0000183	Sp5g14170.1	AT3G47790
OG0000183	Sp2g24900.1	AT5G61700
OG0000183	Sp2g24940.1	AT5G61740
OG0000183	Sp5g14180.1	AT3G47780
OG0000183	Sp5g14185.1	AT3G47750, AT3G47760, AT3G47770
OG0000183	Sp5g14187.1	AT3G47740
OG0000184	Sp3g20240.1	AT3G22470, AT1G12700
OG0000185	Sp7g04470.1	AT5G37400, AT5G37650
OG0000185	Sp7g01300.1	AT2G03010
OG0000186	SpUn0988_0010.1	AT1G28610, AT2G27360
OG0000186	Sp1g24835.1, Sp1g24830.1, Sp1g24820.1	AT1G28580, AT1G28570
OG0000188	Sp2g07590.1, Sp1g33580.1, Sp3g24280.1, Sp5g19020.1, SpUn0171_0010.1	AT3G32904
OG0000188	Sp3g29180.1	AT5G36080
OG0000189	Sp4g10190.1	AT4G14103, AT4G14096
OG0000190	Sp1g11270.1	AT1G12672
OG0000191	Sp6g18380.1	AT5G56600
OG0000191	Sp3g33100.1	AT2G19770
OG0000191	Sp7g27220.1	AT4G29340
OG0000191	Sp3g33090.1	AT2G19760
OG0000191	Sp7g27230.1	AT4G29350
OG0000192	Sp7g16080.1	AT4G18050
OG0000192	Sp1g01570.1	AT1G02520, AT1G02530
OG0000192	Sp6g01670.1	AT4G01820, AT4G01830
OG0000192	Sp5g01220.1	AT3G62150
OG0000192	Sp4g29000.1	AT2G47000
OG0000193	Sp1g35420.1	AT1G48470
OG0000193	Sp3g15940.1	AT3G17820
OG0000193	Sp5g21260.1	AT1G66200
OG0000193	Sp7g04500.1	AT5G37600
OG0000193	Sp6g27590.1	AT5G16570
OG0000194	Sp7g13200.1	AT2G05330, AT5G48510
OG0000197	Sp2g17840.1	AT2G14378, AT4G35165
OG0000197	Sp6g15130.1	AT5G52975, AT5G52965
OG0000198	Sp4g06090.1	AT2G26135, AT2G26130
OG0000198	Sp5g15900.1	AT3G45540
OG0000199	Sp6g21520.1	AT5G59840
OG0000199	Sp5g15550.1	AT3G46060
OG0000199	Sp6g39230.1	AT5G03520
OG0000199	Sp3g08250.1	AT3G09900
OG0000199	Sp5g08740.1	AT3G53610
OG0000202	Sp1g37610.1, Sp1g37770.1	AT1G47730, AT1G48060
OG0000202	Sp1g34800.1	AT3G10240, AT1G47765
OG0000203	Sp6g39340.1	AT5G03390
OG0000205	Sp1g12430.1	AT1G14080
OG0000205	Sp3g28690.1	AT2G15390, AT2G15360, AT2G15370, AT2G15350
OG0000205	Sp1g12450.1, Sp1g12440.1	AT1G14110
OG0000206	Sp7g08150.1	AT1G67020
OG0000208	Sp7g07650.1, Sp3g32460.1, SpUn1255_0010.1, Sp3g31250.1, Sp3g31220.1, Sp7g00850.1, Sp4g10780.1, Sp6g08720.1, Sp6g08680.1, Sp5g03380.1, Sp5g03390.1, Sp5g03400.1, Sp5g03420.1, Sp5g03410.1, Sp2g03760.1, Sp2g03780.1	AT3G59930, AT5G33355, AT1G34047
OG0000210	Sp7g10800.1	AT4G13290, AT4G13310
OG0000210	Sp7g14120.1	AT4G20235
OG0000210	Sp4g13260.1, Sp4g13270.1	AT1G11610, AT2G30750, AT2G30770
OG0000211	Sp1g18850.1	AT1G21210
OG0000213	Sp1g20770.1	AT3G22940, AT3G22421, AT2G38590, AT5G41490, AT5G41500, AT5G41510, AT4G33290
OG0000214	Sp6g04370.1	AT4G04510
OG0000214	Sp6g04390.1	AT4G04570
OG0000214	Sp6g04380.1	AT4G04540
OG0000216	Sp7g15710.1	AT4G18360
OG0000216	Sp3g12720.1	AT3G14420
OG0000216	Sp3g12710.1	AT3G14415
OG0000217	Sp5g26550.1	AT1G71400, AT1G71390
OG0000218	SpUn1204_0010.1	AT5G09500, AT5G43640
OG0000218	Sp2g26200.1	AT5G63070
OG0000218	Sp2g08430.1, Sp1g03080.1	AT1G04270
OG0000219	Sp5g02207.1	AT3G43505, AT1G49435
OG0000219	Sp5g02203.1	AT3G61172
OG0000222	Sp7g13630.1	AT4G15430
OG0000222	Sp3g19640.1	AT3G21620
OG0000222	Sp1g10650.1	AT1G11960
OG0000222	Sp2g02300.1	AT1G62320
OG0000222	Sp6g04510.1	AT4G04340
OG0000222	Sp7g20270.1	AT4G22120
OG0000223	Sp3g18520.1	AT3G20520
OG0000223	Sp6g17360.1	AT5G55480
OG0000223	Sp5g21930.1	AT1G66980, AT1G66970
OG0000223	Sp7g24660.1	AT4G26690
OG0000226	Sp1g21550.1	AT1G27220, AT1G27250
OG0000226	Sp5g25130.1	AT1G70030
OG0000228	Sp7g21310.1	AT4G23400
OG0000228	Sp6g00460.1	AT4G00430
OG0000228	Sp1g00700.1	AT1G01620
OG0000228	Sp5g01970.1	AT3G61430
OG0000228	Sp4g28030.1	AT2G45960
OG0000229	Sp1g06280.1	AT4G03625
OG0000229	SpUn0416_0020.1, Sp6g03620.1	AT4G05460
OG0000230	Sp1g25630.1	AT1G29730, AT1G29740
OG0000230	Sp1g25620.1	AT1G29720
OG0000234	Sp5g33440.1	AT1G78340
OG0000234	Sp5g33470.1	AT1G78380
OG0000234	Sp1g15320.1, Sp1g15325.1	AT1G17180
OG0000235	Sp3g12880.1	AT3G14610
OG0000235	Sp3g12900.1	AT3G14630
OG0000235	Sp3g12920.1	AT3G14650, AT3G14660, AT3G14690
OG0000235	Sp3g12910.1	AT3G14680, AT3G14640
OG0000237	Sp3g31650.1	AT2G18240
OG0000237	Sp4g02310.1	AT2G23310
OG0000237	Sp4g00760.1	AT2G21600
OG0000237	Sp7g36620.1	AT4G39220
OG0000238	Sp6g33260.1	AT5G10140
OG0000238	Sp2g28130.1	AT5G65050, AT5G65060, AT1G77080
OG0000238	Sp2g28150.1	AT5G65080, AT5G65070
OG0000240	Sp4g01330.1	AT2G22290
OG0000240	Sp7g36000.1	AT4G39890
