Orthogroup	Thellungiella_parvula	Aethionema_arabicum
OG0000005	Sp2g07455.1, Sp1g31095.1	AA67G00008, AA93G00025, AA244G00005, AA70G00007, AA87G00206, AA70G00006, AA127G00003, AA102G00221, AA28G00017, AA123G00151, AA46G00210, AA109G00006, AA145G00004, AA109G00005, AA46G00211, AA116G00010, AA131G00059, AA131G00058, AA390G00002, AA111G00012, AA111G00013, AA994G00001, AA231G00017, AA31G00035, AA123G00152, AA1173G00001, AA42G00042, AA24G00016, AA787G00002, AA149G00002, AA496G00001, AA136G00005, AA149G00003, AA496G00003, AA732G00002, AA50G00029, AA136G00011, AA130G00003, AA192G00002, AA130G00002, AA985G00002, AA182G00002, AA192G00003, AA37G00005, AA95G00006, AA65G00002, AA37G00006, AA332G00002, AA183G00002, AA49G00053, AA49G00054, AA74G00024, AA341G00005, AA183G00003, AA261G00005, AA102G00213, AA65G00148, AA161G00012, AA273G00005, AA60G00010, AA26G00187, AA60G00169
OG0000005	Sp3g27245.1	AA7G00127, AA140G00004, AA90G00075, AA50G00022, AA188G00003, AA187G00005, AA312G00010, AA312G00007, AA537G00001, AA352G00001, AA246G00002, AA145G00013, AA22G00087, AA142G00005, AA232G00008, AA196G00009, AA22G00096
OG0000005	Sp6g06905.1	AA136G00012
OG0000005	SpUn0005_0147.1	AA31G00396, AA53G01119
OG0000006	Sp5g16870.1	AA97G00035, AA123G00087, AA63G00031, AA168G00034, AA1107G00002, AA1052G00001, AA166G00008, AA144G00004, AA102G00338, AA1045G00002, AA102G00245, AA166G00009, AA468G00003
OG0000006	Sp7g07780.1	AA240G00003
OG0000006	Sp3g32180.1	AA42G00058, AA57G00520, AA318G00002, AA296G00007, AA239G00003, AA134G00016, AA149G00009, AA34G00009, AA67G00027, AA658G00001, AA254G00004, AA34G00010, AA68G00027, AA420G00002, AA87G00300, AA196G00005, AA112G00010, AA658G00003, AA329G00004, AA17G00133, AA320G00004, AA70G00015, AA140G00009, AA30G00335, AA116G00008, AA57G00521, AA68G00040, AA40G00001, AA154G00003, AA805G00001, AA131G00049, AA90G00013
OG0000006	Sp6g08085.1	AA168G00018, AA118G00002, AA85G00001, AA224G00001, AA1558G00001, AA90G00071, AA68G00021, AA118G00058, AA157G00007, AA168G00025, AA93G00208, AA1659G00001, AA177G00003, AA35G00073, AA83G00019, AA177G00002, AA15G00056, AA468G00005, AA118G00031, AA39G00774, AA118G00032, AA69G00017, AA62G00009, AA136G00003, AA67G00038, AA92G00009, AA28G00036, AA45G00006, AA355G00003, AA115G00013, AA70G00035, AA420G00003, AA547G00003, AA819G00001, AA206G00001, AA331G00003, AA371G00009, AA113G00008, AA209G00001, AA36G00005, AA123G00134, AA22G00015, AA136G00004, AA229G00008, AA375G00006, AA111G00014, AA480G00001, AA54G00079, AA1011G00001, AA118G00001, AA108G00001, AA94G00002, AA147G00003, AA617G00001, AA49G00011, AA62G00048, AA65G00065, AA270G00003, AA116G00011, AA283G00001, AA161G00009, AA82G00023, AA134G00033, AA83G00027, AA134G00034, AA137G00004, AA66G00002, AA66G00001, AA87G00384, AA139G00003, AA273G00004, AA45G00007, AA65G00265, AA115G00006, AA68G00035, AA33G00230, AA468G00001, AA54G00349, AA40G00076, AA148G00006, AA1111G00001, AA224G00003, AA109G00011, AA13G00029, AA8G00277, AA65G00266, AA33G00229, AA195G00003, AA479G00003, AA179G00001, AA157G00009, AA39G00146, AA67G00024, AA1469G00001, AA125G00008, AA1469G00002, AA930G00001, AA85G00010, AA245G00007, AA101G00003, AA49G00029, AA386G00003, AA18G00039, AA348G00001, AA65G00008, AA28G00030, AA272G00003, AA28G00029, AA65G00258, AA59G00019, AA537G00002, AA65G00357, AA192G00001, AA462G00005, AA73G00009, AA86G00007, AA209G00007, AA446G00001, AA22G00033, AA295G00004, AA888G00002, AA209G00006, AA200G00001, AA125G00002
OG0000007	Sp1g31770.1	AA86G00008
OG0000007	Sp7g07680.1	AA467G00002, AA721G00001
OG0000007	SpUn0003_0370.1	AA26G00727
OG0000007	Sp6g09400.1	AA82G00007
OG0000007	Sp1g36550.1, Sp7g01850.1, Sp3g27520.1, Sp6g09750.1, Sp3g28000.1, Sp2g06330.1, Sp7g02850.1, Sp1g34290.1, SpUn0013_0030.1, SpUn0007_0130.1, SpUn0005_0180.1, SpUn0005_0190.1, SpUn0002_0670.1, Sp5g20470.1, Sp2g06140.1, Sp1g31200.1, Sp3g26530.1, Sp1g31210.1, Sp7g06300.1, Sp7g06320.1, Sp7g08350.1, Sp4g02360.1, Sp5g17740.1, Sp5g19660.1, Sp7g08990.1, Sp4g07030.1, Sp4g08150.1, Sp5g19650.1, Sp4g06480.1, Sp5g17390.1, SpUn0166_0010.1, Sp5g17400.1	AA82G00006
OG0000009	Sp4g10390.1	AA81G00011, AA52G00020, AA361G00002, AA36G00058, AA93G00036, AA12G00153, AA82G00020, AA60G00004, AA60G00115, AA22G00078, AA12G00152, AA70G00010, AA105G00010, AA342G00004, AA87G00400, AA56G00078, AA61G00026, AA57G00403, AA40G00332, AA33G00293, AA44G00709, AA123G00095, AA58G00005, AA93G00288, AA66G00014, AA61G00004, AA263G00002, AA79G00005, AA55G00039, AA102G00146, AA71G00006, AA128G00012, AA29G00231, AA2373G00001, AA30G00025, AA82G00019, AA946G00001
OG0000011	Sp2g09300.1	AA57G00416, AA57G00411
OG0000011	Sp7g20140.1, Sp3g23450.1, Sp3g29100.1	AA29G00226
OG0000014	Sp5g04457.1, Sp5g04460.1, Sp5g04500.1	AA61G00259, AA70G00018, AA61G00258, AA61G00256, AA102G00309, AA102G00307, AA61G00261, AA61G00260, AA61G00257
OG0000016	Sp4g00370.1, Sp4g00380.1	AA46G00047, AA225G00005
OG0000017	Sp3g17210.1	AA19G00435
OG0000019	Sp4g11780.1	AA32G00796
OG0000019	Sp4g10470.1, Sp3g19400.1, Sp1g38470.1, Sp1g38480.1	AA93G00031
OG0000019	Sp6g12470.1, Sp6g21340.1, Sp6g21350.1, Sp6g21330.1	AA97G00020
OG0000019	Sp5g15300.1	AA16G00053
OG0000019	Sp4g11770.1	AA32G00797
OG0000019	Sp4g11810.1	AA32G00794
OG0000019	Sp1g34570.1	AA90G00072, AA1016G00004, AA113G00014
OG0000023	Sp1g27610.1	AA29G00248
OG0000024	Sp2g04760.1	AA53G00378, AA53G00379, AA53G00375, AA53G00377, AA40G00307, AA53G00397, AA53G00366, AA53G00396, AA53G00393, AA53G00381, AA53G00410
OG0000024	Sp3g23090.1	AA65G00084
OG0000029	Sp2g05870.1, SpUn0028_0070.1, Sp6g39690.1	AA19G00269
OG0000032	Sp7g03870.1, Sp7g03860.1	AA84G00010, AA57G00056
OG0000034	Sp7g04575.1	AA111G00008, AA117G00006, AA90G00074, AA369G00003, AA82G00012, AA369G00002, AA117G00005, AA82G00011, AA355G00002, AA90G00073, AA117G00001
OG0000034	Sp3g26825.1	AA111G00004, AA1016G00005, AA491G00005, AA491G00003, AA134G00035, AA491G00004, AA346G00002, AA268G00003, AA7G00128, AA395G00003, AA675G00001, AA260G00001, AA54G00358, AA68G00051, AA1056G00001, AA90G00002, AA90G00001, AA65G00131, AA215G00011, AA22G00086, AA70G00028, AA37G00010, AA70G00029, AA362G00002, AA52G00004, AA66G00007, AA41G00058, AA66G00006, AA131G00064, AA374G00003, AA394G00007, AA39G00744, AA827G00001, AA40G00041, AA40G00027, AA61G00039, AA54G00006, AA87G00151, AA185G00002, AA53G00046, AA28G00013, AA168G00029, AA742G00003, AA50G00021, AA371G00001, AA69G00022, AA46G00150, AA31G00014, AA282G00003, AA145G00012, AA246G00003, AA46G00022, AA246G00004, AA69G00023, AA135G00003, AA75G00004, AA246G00012, AA176G00004, AA168G00013, AA428G00002, AA665G00003, AA296G00002, AA82G00024, AA126G00001, AA40G00018, AA51G00027, AA22G00104, AA30G00242, AA22G00105, AA168G00014, AA4G00022, AA1114G00001, AA73G00018, AA424G00001, AA355G00001, AA348G00002, AA367G00003, AA127G00009, AA246G00001, AA120G00016
OG0000036	Sp7g06680.1	AA461G00001
OG0000037	Sp5g08630.1, Sp4g19980.1	AA62G00013
OG0000037	Sp3g16870.1	AA26G00546
OG0000037	Sp5g15160.1, Sp6g21050.1	AA16G00045
OG0000037	Sp6g33600.1	AA44G00244
OG0000039	Sp7g21220.1	AA54G00316
OG0000040	Sp6g27520.1, Sp6g27530.1	AA40G00443
OG0000040	Sp3g10450.1, Sp1g26630.1	AA49G00027, AA230G00005, AA201G00003, AA230G00002, AA87G00338, AA87G00325, AA94G00015, AA87G00340, AA87G00324, AA87G00333, AA87G00329, AA87G00335, AA87G00323, AA87G00334, AA87G00337, AA87G00339, AA87G00327, AA87G00330, AA168G00007, AA168G00005
OG0000043	Sp5g14630.1	AA96G00004
OG0000043	Sp6g23980.1, Sp2g09620.1, Sp1g34070.1	AA96G00003, AA82G00005, AA16G00126, AA16G00125, AA16G00128, AA16G00121, AA16G00133, AA16G00122, AA16G00124
OG0000044	Sp3g04430.1, Sp3g28660.1, Sp5g14790.1, Sp2g02570.1, Sp7g03520.1, Sp2g02550.1, Sp2g02100.1, Sp2g02560.1, Sp2g02600.1, Sp2g02110.1	AA53G00586
OG0000045	Sp7g21190.1	AA54G00319, AA57G00519
OG0000045	Sp7g21200.1, Sp1g30740.1, Sp1g30850.1	AA54G00317, AA57G00510, AA57G00517, AA996G00003, AA996G00004, AA54G00318, AA57G00513, AA57G00514
OG0000046	Sp2g10050.1	AA6G00078, AA6G00073
OG0000046	Sp2g10140.1, Sp2g10100.1, Sp2g10070.1	AA31G00206
OG0000046	Sp6g06620.1	AA35G00034
OG0000049	Sp1g30605.1	AA78G00046, AA68G00024, AA488G00001, AA106G00009, AA80G00016, AA103G00001, AA68G00022, AA134G00001, AA68G00023, AA80G00015
OG0000050	Sp7g35840.1, Sp7g35830.1	AA31G00393, AA44G00357, AA30G00333, AA30G00332
OG0000051	Sp6g34560.1	AA44G00161
OG0000051	Sp7g00950.1	AA87G00077
OG0000051	Sp6g12730.1	AA75G00011
OG0000051	Sp5g13350.1	AA96G00122
OG0000051	Sp2g26580.1	AA4G00080
OG0000053	Sp6g23330.1, Sp5g17420.1	AA8G00226, AA32G00928
OG0000053	Sp7g04290.1	AA406G00003
OG0000053	Sp7g12750.1	AA87G00252
OG0000053	Sp3g20610.1	AA17G00089
OG0000054	Sp1g10770.1	AA65G00256
OG0000054	Sp2g02080.1	AA53G01420
OG0000054	Sp4g27230.1, SpUn0031_0090.1	AA21G00261
OG0000054	Sp6g04960.1	AA6G00302
OG0000054	Sp7g20540.1	AA6G00304
OG0000057	Sp6g19080.1	AA44G00654
OG0000057	Sp1g15390.1	AA39G00025
OG0000057	Sp5g02900.1	AA61G00396
OG0000057	Sp2g25850.1	AA96G00063
OG0000057	Sp5g35100.1	AA31G00865
OG0000057	Sp5g18280.1	AA74G00033
OG0000057	Sp3g25350.1	AA412G00001
OG0000057	Sp7g28060.1	AA102G00165
OG0000057	Sp3g32410.1	AA33G00191
OG0000060	Sp6g22520.1	AA8G00298
OG0000060	Sp3g07850.1	AA19G00290
OG0000060	Sp5g08710.1	AA62G00022
OG0000060	Sp6g21620.1	AA16G00076, AA97G00039
OG0000060	Sp5g15570.1	AA16G00072
OG0000062	Sp3g18120.1, Sp7g14050.1, Sp7g09440.1, Sp3g18110.1, Sp3g18105.1	AA26G00678, AA26G00677, AA7G00112
OG0000064	Sp3g33520.1, Sp7g26710.1	AA102G00029
OG0000064	Sp2g08710.1	AA32G00398
OG0000064	Sp1g02980.1	AA19G00134
OG0000064	Sp4g14250.1	AA32G00557
OG0000064	Sp1g15710.1	AA39G00052
OG0000064	Sp6g23970.1	AA8G00155
OG0000064	Sp5g04560.1	AA61G00250
OG0000064	SpUn0001_0160.1	AA53G00353
OG0000064	Sp1g07380.1	AA103G00009
OG0000065	Sp5g30900.1	AA31G00378
OG0000065	Sp2g09180.1	AA6G00166
OG0000065	Sp7g18980.1	AA57G00297
OG0000065	Sp6g31390.1	AA44G00470
OG0000065	Sp2g23430.1	AA96G00146
OG0000065	Sp4g12280.1	AA32G00741
OG0000065	Sp5g14830.1	AA16G00011
OG0000068	Sp5g31070.1, Sp2g14110.1, Sp2g14120.1, Sp1g35760.1, Sp1g35770.1, Sp1g36050.1, Sp4g08260.1, Sp5g03170.1, Sp1g33740.1	AA31G00363
OG0000070	Sp7g36970.1	AA20G00056
OG0000070	Sp4g00400.1	AA46G00050
OG0000070	Sp3g31440.1, Sp7g33890.1, Sp5g30700.1, Sp1g17620.1	AA31G00395
OG0000070	Sp3g29850.1	AA123G00001
OG0000070	Sp7g32540.1	AA45G00038
OG0000073	Sp4g09140.1	AA51G00033, AA24G00061, AA93G00290, AA51G00014, AA23G00097, AA174G00001, AA90G00079, AA362G00006, AA1024G00002, AA40G00331, AA61G00008, AA34G00023, AA39G00747, AA105G00030, AA4G00027, AA63G00026, AA305G00002, AA48G00039, AA31G00220, AA17G00005, AA23G00055, AA96G00170, AA61G00009, AA93G00037, AA200G00005, AA29G00238, AA48G00043, AA34G00002, AA48G00042, AA200G00006
OG0000073	Sp2g01620.1	AA31G00219, AA109G00010, AA34G00056, AA54G00346, AA109G00009, AA311G00002, AA87G00404, AA63G00025, AA54G00345, AA123G00109, AA85G00017, AA53G00813, AA61G00005, AA51G00034, AA83G00002, AA51G00002, AA87G00402, AA65G00211, AA935G00001, AA28G00040, AA60G00094, AA60G00090, AA51G00009, AA54G00321, AA60G00091, AA51G00010, AA154G00001, AA118G00041, AA16G00063, AA87G00405, AA39G00752, AA114G00024, AA114G00023, AA60G00114, AA6G00093, AA2236G00001, AA399G00004, AA87G00233, AA118G00025, AA2024G00002, AA448G00001, AA53G00030, AA109G00002
OG0000074	Sp5g14890.1	AA16G00016
OG0000074	Sp6g20880.1	AA61G00254
OG0000074	Sp6g20520.1, Sp6g22300.1, Sp6g20510.1, Sp6g20870.1	AA56G00016, AA1G00185
OG0000076	Sp4g08780.1, Sp4g07410.1, SpUn0004_0210.1, Sp1g31060.1, Sp4g06100.1, Sp6g08450.1, Sp1g34520.1, Sp3g33160.1, Sp4g04140.1	AA55G00014, AA23G00044, AA110G00008, AA131G00047, AA217G00005, AA46G00178, AA298G00002, AA395G00002, AA42G00059, AA62G00006, AA87G00178, AA102G00301, AA110G00007, AA46G00209, AA52G00064, AA105G00013, AA31G00086, AA202G00002, AA318G00008, AA110G00002, AA59G00017, AA347G00011, AA148G00004, AA87G00332, AA61G00015, AA102G00076, AA279G00006, AA337G00006, AA45G00003, AA87G00130, AA113G00015, AA148G00003, AA34G00019, AA123G00076, AA134G00007, AA102G00133, AA65G00307, AA127G00002, AA245G00008, AA50G00018, AA24G00008, AA65G00115, AA100G00010, AA1584G00001, AA50G00017, AA14G00075, AA70G00016, AA65G00052, AA123G00176, AA343G00009, AA252G00001, AA48G00032, AA125G00004, AA125G00003, AA64G00016, AA54G00002, AA208G00007, AA54G00434
OG0000077	Sp4g15410.1	AA32G00473
OG0000077	Sp4g15360.1, Sp4g15020.1, Sp4g14900.1	AA439G00002
OG0000078	Sp1g17860.1	AA39G00266
OG0000078	Sp5g30980.1	AA31G00371
OG0000078	Sp2g10850.1	AA56G00081
OG0000078	Sp3g31210.1	AA13G00006
OG0000079	Sp4g04890.1, Sp7g30200.1	AA66G00015
OG0000079	Sp3g09190.1, Sp6g37660.1	AA35G00006
OG0000079	Sp2g08870.1	AA32G00384
OG0000079	Sp6g26800.1	AA40G00374
OG0000079	Sp7g36530.1	AA20G00013
OG0000079	Sp2g27810.1, Sp6g33540.1	AA44G00248
OG0000083	Sp7g23370.1, Sp1g22080.1	AA39G00629
OG0000083	Sp1g12400.1	AA14G00015, AA14G00011, AA169G00013
OG0000083	Sp2g14180.1, Sp2g14170.1	AA53G00745
OG0000084	Sp7g25920.1, Sp6g15450.1	AA1G00075
OG0000084	Sp2g00510.1	AA53G01315
OG0000084	Sp6g18000.1	AA25G00148
OG0000084	Sp3g07130.1	AA29G00201
OG0000086	Sp1g00550.1	AA1G00098
OG0000086	Sp6g00670.1	AA32G00032
OG0000087	Sp5g19890.1	AA58G00021
OG0000087	Sp3g27040.1, Sp4g06670.1, Sp6g08540.1, Sp3g26320.1	AA168G00045, AA203G00005
OG0000087	Sp3g17010.1, SpUn0007_0210.1	AA336G00013, AA245G00003
OG0000087	Sp4g09900.1	AA83G00009, AA441G00002, AA101G00009, AA83G00010, AA101G00008, AA371G00006, AA106G00003, AA127G00004
OG0000087	Sp5g13100.1	AA217G00002, AA529G00001, AA172G00005, AA124G00015, AA2430G00001, AA216G00007, AA58G00022, AA123G00157, AA106G00004, AA123G00156
OG0000088	Sp5g15930.1, Sp6g21910.1, Sp6g21880.1	AA8G00342
OG0000089	Sp7g02635.1	AA106G00015
OG0000094	Sp4g04840.1	AA65G00184
OG0000094	Sp2g03110.1, Sp2g03120.1, Sp1g09940.1, Sp2g03140.1	AA53G00548
OG0000095	Sp7g21600.1	AA53G00636
OG0000096	Sp5g29380.1	AA31G00523
OG0000098	Sp4g17010.1, Sp4g18670.1	AA60G00154
OG0000098	Sp4g08450.1	AA32G00973
OG0000098	Sp2g18270.1	AA318G00003
OG0000098	Sp1g13880.1	AA37G00179
OG0000098	Sp1g13520.1	AA37G00199
OG0000098	Sp5g36020.1	AA57G00485
OG0000098	Sp3g14720.1	AA26G00336
OG0000099	Sp6g29370.1	AA40G00612
OG0000099	Sp5g01100.1, Sp4g29160.1	AA61G00578
OG0000099	Sp1g09310.1	AA53G00483
OG0000103	Sp6g06900.1	AA3G00089
OG0000103	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1	AA57G00364
OG0000103	Sp1g28020.1	AA54G00209
OG0000104	Sp4g12780.1	AA38G00063, AA86G00010, AA21G00046, AA21G00060
OG0000106	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1, Sp2g25130.1	AA53G01180, AA53G01201
OG0000108	Sp5g07750.1	AA163G00013
OG0000108	Sp4g21310.1	AA60G00229
OG0000109	Sp1g38180.1	AA2G00207
OG0000109	Sp7g14520.1, Sp1g38170.1, Sp1g37590.1	AA44G00671, AA2G00206
OG0000110	Sp2g15055.1, Sp2g15060.1	AA53G00820
OG0000112	Sp7g12400.1, Sp3g28520.1, Sp7g03450.1	AA19G00309, AA318G00007, AA123G00133, AA32G00112, AA32G00105, AA145G00002, AA32G00224, AA32G00220
OG0000114	Sp6g25730.1	AA40G00252
OG0000114	Sp7g13970.1, Sp7g13940.1, Sp7g13960.1, Sp7g13950.1, Sp7g13930.1	AA87G00183
OG0000115	Sp6g26490.1	AA40G00329
OG0000115	Sp3g31620.1	AA169G00004, AA33G00150
OG0000115	Sp5g11270.1, Sp5g11280.1	AA13G00031, AA13G00030, AA13G00028
OG0000117	Sp3g24200.1, Sp4g25600.1, Sp4g25610.1, Sp3g24100.1	AA21G00133, AA21G00095
OG0000120	Sp1g00910.1	AA1G00082
OG0000120	Sp6g15380.1	AA77G00034
OG0000123	Sp5g02600.1	AA61G00444
OG0000123	Sp7g15090.1	AA53G00314
OG0000123	Sp3g24090.1	AA116G00005
OG0000123	Sp7g20170.1	AA57G00394
OG0000124	Sp5g25877.1, SpUn0004_0250.1	AA121G00010
OG0000124	Sp1g19405.1	AA6G00296, AA109G00004, AA40G00062, AA1664G00001, AA361G00007
OG0000128	Sp3g03500.1, Sp3g03510.1	AA10G00184, AA10G00183
OG0000130	Sp6g13955.1	AA42G00005, AA439G00006
OG0000130	Sp3g25725.1	AA181G00003, AA352G00002, AA181G00004
OG0000130	Sp5g19285.1, SpUn0293_0017.1, SpUn0040_0003.1, SpUn0293_0015.1	AA394G00005, AA491G00006, AA58G00012
OG0000130	Sp4g04515.1	AA623G00002, AA223G00002, AA87G00336
OG0000132	SpUn0030_0110.1, Sp3g31720.1	AA33G00143
OG0000132	Sp7g34210.1	AA30G00164
OG0000132	Sp1g17380.1	AA31G00430
OG0000132	Sp4g00810.1	AA46G00088
OG0000133	Sp5g26030.1	AA38G00018, AA38G00017
OG0000137	Sp1g25420.1, Sp1g25440.1, Sp1g25370.1, Sp1g25430.1, Sp1g25360.1, Sp1g25450.1	AA54G00359, AA54G00361, AA496G00004
OG0000138	Sp5g33500.1	AA12G00218
OG0000138	Sp4g15460.1	AA32G00538, AA32G00462
OG0000138	Sp4g22640.1, Sp1g21630.1	AA39G00018, AA52G00022
OG0000142	Sp5g12970.1, Sp3g26190.1	AA68G00016
OG0000142	Sp5g12335.1	AA366G00001
OG0000144	Sp5g02320.1	AA61G00464
OG0000144	Sp4g27590.1, Sp4g27600.1, Sp7g18740.1, Sp4g27620.1, Sp4g27610.1	AA103G00017
OG0000144	Sp4g27630.1	AA21G00293
OG0000146	Sp7g32980.1, Sp7g32970.1, Sp7g32960.1	AA832G00002, AA79G00004, AA832G00001, AA79G00003, AA79G00009, AA79G00006
OG0000149	Sp1g41790.1	AA15G00319
OG0000149	Sp5g25410.1, Sp2g08080.1, Sp1g41770.1	AA15G00318
OG0000149	Sp1g41780.1	AA15G00317
OG0000153	Sp6g20950.1, Sp1g28540.1, Sp6g21310.1, Sp6g21810.1, Sp6g21760.1, SpUn1070_0010.1	AA8G00306, AA102G00310, AA1G00146
OG0000154	Sp4g26560.1	AA21G00201, AA21G00200
OG0000155	Sp4g13520.1	AA40G00171
OG0000156	Sp6g18990.1	AA44G00661
OG0000156	Sp2g15480.1, Sp2g15630.1, Sp2g15470.1, Sp2g15450.1, Sp2g15440.1, Sp2g15460.1	AA53G00852
OG0000158	SpUn0333_0010.1	AA2G00024, AA2G00022, AA2G00020, AA9G00015, AA90G00023, AA425G00002, AA73G00001, AA2G00019, AA2G00023, AA2G00021
OG0000159	Sp1g38860.1, Sp1g35030.1, Sp7g03310.1, Sp1g12250.1	AA163G00005
OG0000164	Sp7g20000.1	AA57G00387
OG0000167	Sp3g10720.1	AA92G00001, AA250G00002, AA250G00001, AA226G00003, AA226G00001, AA250G00004, AA31G00015
OG0000167	Sp1g14350.1	AA37G00145
OG0000167	Sp3g07820.1	AA93G00109
OG0000167	Sp6g40010.1	AA19G00295
OG0000170	Sp2g26350.1	AA71G00010
OG0000171	Sp6g03520.1, Sp6g04290.1	AA32G00354
OG0000174	Sp5g21840.1, Sp7g03900.1, Sp2g17750.1, Sp4g02860.1, Sp5g05290.1	AA27G00041, AA27G00039, AA27G00040
OG0000178	Sp1g04760.1, SpUn1102_0010.1, Sp6g07490.1, Sp1g04320.1	AA114G00014, AA114G00022, AA114G00015, AA114G00011
OG0000179	Sp5g16830.1	AA57G00402
OG0000179	Sp7g36370.1, Sp7g12040.1, Sp3g27400.1	AA53G01010, AA53G01008
OG0000180	Sp1g17700.1, Sp5g30740.1	AA39G00254, AA31G00389
OG0000180	Sp7g36920.1	AA45G00034
OG0000182	Sp7g14460.1	AA9G00067
OG0000182	Sp7g14440.1	AA9G00066
OG0000182	Sp1g26920.1, Sp1g26930.1, Sp1g26940.1	AA79G00038
OG0000182	Sp2g09660.1	AA6G00125
OG0000182	Sp2g13480.1, Sp1g12940.1	AA53G00685
OG0000183	Sp5g14170.1	AA96G00044
OG0000183	Sp2g24900.1	AA5G00267
OG0000183	Sp2g24940.1	AA5G00129
OG0000183	Sp5g14180.1	AA96G00043, AA96G00042
OG0000183	Sp5g14185.1, Sp5g14187.1	AA96G00039
OG0000185	Sp7g04470.1, Sp4g15990.1, Sp7g04850.1, Sp7g04910.1, Sp7g01300.1	AA347G00003, AA227G00004
OG0000186	SpUn0988_0010.1, Sp1g24835.1, Sp1g24830.1, Sp1g24820.1	AA49G00020, AA49G00028, AA49G00026, AA49G00034, AA49G00024, AA49G00022, AA49G00021, AA49G00033, AA49G00039, AA49G00040, AA49G00031, AA49G00030
OG0000191	Sp6g18380.1	AA44G00723
OG0000191	Sp3g33100.1	AA33G00255
OG0000191	Sp7g27220.1	AA102G00084
OG0000191	Sp3g33090.1	AA33G00254
OG0000191	Sp7g27230.1	AA102G00085
OG0000192	Sp7g16080.1, Sp7g13560.1	AA57G00079
OG0000192	Sp1g01570.1, Sp6g01670.1	AA32G00225
OG0000192	Sp5g01220.1	AA61G00571
OG0000192	Sp4g29000.1	AA21G00428
OG0000193	Sp1g35420.1	AA18G00244
OG0000193	Sp3g15940.1	AA26G00456
OG0000193	Sp5g21260.1	AA53G01122
OG0000193	Sp7g04500.1	AA27G00066
OG0000193	Sp6g27590.1	AA40G00454
OG0000194	Sp7g13200.1	AA439G00003, AA240G00009
OG0000197	Sp2g17840.1	AA4G00088
OG0000198	Sp4g06090.1, Sp5g15900.1	AA120G00013, AA200G00002, AA16G00108
OG0000199	Sp6g21520.1, Sp5g15550.1	AA97G00034
OG0000199	Sp6g39230.1	AA19G00231
OG0000199	Sp3g08250.1	AA93G00155
OG0000201	Sp3g09390.1	AA82G00013, AA82G00009
OG0000201	Sp4g03630.1, Sp4g03720.1	AA82G00014, AA394G00001, AA82G00015
