Orthogroup	Thellungiella_parvula	Camelina_sativa
OG0000044	Sp2g02100.1, Sp2g02560.1, Sp2g02600.1	Csa16g053880
OG0000045	Sp7g21200.1	Csa10g019910, Csa11g022850, Csa12g033420
OG0000045	Sp1g30740.1	Csa11g022730
OG0000046	Sp2g09710.1	Csa20g072230, Csa18g008660, Csa11g069720
OG0000046	Sp2g10050.1	Csa20g076020
OG0000046	Sp2g10140.1	Csa20g075880
OG0000046	Sp6g06620.1	Csa02g024770, Csa13g047990
OG0000048	Sp7g08750.1, Sp4g06220.1	Csa10g051690
OG0000050	Sp7g35840.1, Sp7g35830.1	Csa03g053100, Csa20g015710, Csa13g012160, Csa08g002110, Csa12g003040, Csa10g002880, Csa20g016350, Csa11g003200
OG0000051	Sp6g34560.1	Csa13g010440, Csa20g011840
OG0000051	Sp7g00950.1	Csa10g049510, Csa12g077610
OG0000051	Sp3g00160.1	Csa00555s140, Csa19g001000, Csa19g001010
OG0000051	Sp6g12730.1	Csa02g039250, Csa11g081990, Csa18g021340
OG0000051	Sp5g13350.1	Csa06g022420, Csa09g050710
OG0000051	Sp2g26580.1	Csa18g037030, Csa11g100440
OG0000053	Sp7g04290.1	Csa05g072060, Csa10g042810, Csa12g076230, Csa16g023910
OG0000053	Sp5g21490.1	Csa07g030590, Csa08380s010
OG0000053	Sp7g12750.1	Csa11g037310
OG0000053	Sp3g20610.1	Csa01g027300, Csa19g033220
OG0000053	Sp5g05790.1, Sp4g23420.1	Csa06g031510
OG0000054	Sp2g02080.1	Csa07g063800, Csa16g055260, Csa09g097130, Csa12520s010
OG0000054	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1	Csa02g014360, Csa02g014350, Csa13g050920, Csa13g050930, Csa13g050910, Csa08g044830, Csa08g044820
OG0000054	Sp4g27230.1, SpUn0031_0090.1	Csa05g004080, Csa04g063080, Csa06g051570
OG0000054	SpUn0055_0010.1, Sp6g04970.1	Csa08g044870, Csa13g050960, Csa02g014300
OG0000054	Sp7g20540.1	Csa10g020760, Csa12g034400, Csa11g023770
OG0000057	Sp6g19080.1	Csa11g090900
OG0000057	Sp1g15390.1	Csa14g021480, Csa03g021030
OG0000057	Sp5g02900.1	Csa16g005570, Csa07g004720
OG0000057	Sp2g25850.1	Csa18g036100
OG0000057	Sp4g03520.1	Csa09g088690
OG0000057	Sp5g35100.1	Csa07g059180, Csa16g049760
OG0000057	Sp5g18280.1	Csa09g028410, Csa06g013070
OG0000057	Sp3g25350.1	Csa19g041080
OG0000057	Sp7g28060.1	Csa11g013220
OG0000057	Sp3g32410.1	Csa15g079720
OG0000060	Sp6g22520.1	Csa20g037720, Csa08g017210, Csa13g027500, Csa20g037650
OG0000060	Sp3g07850.1	Csa08g062070, Csa20g002640, Csa13g002470, Csa19g012960, Csa01g010270
OG0000062	Sp3g18120.1	Csa01g023190
OG0000062	Sp7g14050.1	Csa19g027880, Csa15g029230
OG0000064	Sp3g33520.1	Csa01g044140
OG0000064	Sp7g26710.1	Csa11g014810
OG0000064	Sp2g08710.1	Csa11g070910
OG0000064	Sp1g02980.1	Csa17g007260
OG0000064	Sp4g14250.1	Csa05g029250, Csa07g010910, Csa16g009640
OG0000064	Sp1g15710.1	Csa17g023320
OG0000064	Sp6g23970.1	Csa13g023400, Csa08g014300
OG0000064	Sp5g04560.1	Csa04g044690, Csa09g070760
OG0000064	Sp1g07380.1	Csa17g012230
OG0000065	Sp5g30900.1	Csa16g039800
OG0000065	Sp2g09180.1	Csa20g071430
OG0000065	Sp7g18980.1	Csa10g022620
OG0000065	Sp4g12280.1	Csa07g014850, Csa16g015400
OG0000065	Sp2g25870.1	Csa02g070900
OG0000066	Sp7g00780.1	Csa08g024210, Csa19g022980, Csa01g018760, Csa15g020950, Csa19g011220, Csa19g027100, Csa15g027370, Csa19g027080, Csa15g027330, Csa15g027380, Csa19g027110, Csa15g027340, Csa14g035410, Csa17g037600, Csa14g036190, Csa03g031090, Csa14g038290, Csa03g027720, Csa17g031060, Csa14g031050, Csa03g027750, Csa03g027710, Csa17g031040, Csa17g031110
OG0000068	Sp5g31070.1	Csa07g047470, Csa16g040060, Csa09g080670
OG0000068	Sp1g35760.1, Sp1g35770.1, Sp1g36050.1	Csa16g005950, Csa07g005060, Csa05g091620
OG0000068	Sp4g08260.1, Sp5g03170.1	Csa16g005940, Csa05g091640, Csa01g025080, Csa11g055610, Csa10g046980, Csa11g053590, Csa12g083980, Csa10g044710, Csa12g081860, Csa10g007660, Csa12g009110, Csa11g007460
OG0000068	Sp1g33740.1	Csa03g024000
OG0000069	Sp5g15350.1	Csa03g011110
OG0000069	Sp5g08650.1, Sp6g21360.1, Sp4g11600.1, Sp4g19900.1, Sp1g06390.1	Csa07g015750, Csa07g015740
OG0000070	Sp7g36970.1	Csa11g001760, Csa12g001660, Csa10g001580
OG0000070	Sp4g00400.1	Csa09g085600, Csa07g051410
OG0000070	Sp3g31440.1	Csa15g076460, Csa01g039620, Csa19g054990
OG0000070	Sp7g33890.1	Csa11g005580, Csa12g006260
OG0000070	Sp5g30700.1	Csa16g039520, Csa07g047060, Csa09g080200
OG0000070	Sp1g17620.1	Csa14g025090, Csa03g023670, Csa17g025620
OG0000070	Sp3g29850.1	Csa01g034500, Csa12973s010, Csa15g072380
OG0000070	Sp7g32540.1	Csa10g007380, Csa12g008830, Csa11g007180
OG0000071	Sp4g12490.1	Csa16g015040, Csa05g034010, Csa07g013420, Csa05g033700, Csa16g014780, Csa07g013120, Csa04013s010, Csa17g078990
OG0000072	Sp7g12150.1, Sp7g02510.1	Csa20g020760, Csa13g031570, Csa11g064230, Csa04g003110, Csa19g018440, Csa14g048540, Csa16g040970, Csa16g016130, Csa07g037270, Csa16g048090, Csa12g075220
OG0000074	Sp6g20800.1	Csa02g064810, Csa11g092920
OG0000074	Sp5g14890.1	Csa06g020630, Csa04g029720, Csa09g044110
OG0000074	Sp6g20890.1	Csa18g032460, Csa11g093010
OG0000074	Sp6g20510.1	Csa02g064480, Csa18g032000
OG0000074	Sp6g20870.1	Csa18g032480, Csa11g093020, Csa02g064890, Csa18g032470, Csa11g092980, Csa18g032450, Csa11664s010, Csa02g064870
OG0000077	Sp4g15410.1	Csa16g008280, Csa07g008160, Csa07g008170, Csa16g008000, Csa05g023150, Csa16g008220, Csa07g008450, Csa16g008260
OG0000077	Sp4g14900.1	Csa07g009870, Csa05g024010, Csa05g023500
OG0000078	Sp1g17860.1	Csa14g025360, Csa03g023940
OG0000078	Sp5g30980.1	Csa09g080590, Csa16g039950, Csa07g047390
OG0000078	Sp7g32780.1, Sp3g29990.1	Csa12g008620, Csa11g006860
OG0000078	Sp2g10850.1	Csa20g077950, Csa11g066080, Csa18g005160
OG0000078	Sp7g33730.1	Csa01g039860
OG0000078	Sp3g31210.1	Csa06g025470, Csa09g058290, Csa04g037090
OG0000079	Sp4g04890.1	Csa16g047170, Csa09g091730
OG0000079	Sp7g30200.1	Csa10g010050
OG0000079	Sp3g09190.1	Csa15g014460
OG0000079	Sp6g37660.1	Csa13g007150
OG0000079	Sp2g08870.1	Csa20g070070, Csa18g009790
OG0000079	Sp6g26800.1	Csa08g009610
OG0000079	Sp7g36530.1	Csa10g002100, Csa11g002360
OG0000079	Sp2g27810.1	Csa18g038430
OG0000079	Sp6g33540.1	Csa13g011570, Csa20g013060
OG0000080	Sp7g14750.1	Csa17g043240, Csa03g033460, Csa14g037930, Csa02g057740, Csa18g026720, Csa02g058650, Csa02g058610, Csa18g028440, Csa11g094100, Csa18g033500, Csa11g092300, Csa12g051440, Csa10g029020, Csa11g033210
OG0000083	Sp7g23370.1	Csa11g019220, Csa12g027880, Csa10g017620
OG0000083	Sp1g22080.1	Csa14g031980, Csa17g034160, Csa03g028800, Csa17g063450, Csa14g046670, Csa03g038920, Csa14g046660
OG0000083	Sp1g12400.1	Csa17g019420, Csa14g017010, Csa03g017780
OG0000083	Sp2g14180.1	Csa06g003200
OG0000083	Sp2g14170.1	Csa09g005520, Csa04g008740, Csa06g003190
OG0000084	Sp7g25920.1	Csa20g030630
OG0000084	Sp6g15450.1	Csa18g024310, Csa11g085130, Csa02g049620
OG0000084	Sp7g00370.1	Csa11g061240, Csa02g055100
OG0000084	Sp2g00510.1	Csa16g056960
OG0000084	Sp3g29980.1	Csa01g033210, Csa01g033230, Csa00626s010, Csa19g053440
OG0000084	Sp6g18000.1	Csa02g059040, Csa11g089470, Csa18g028840
OG0000084	Sp3g07130.1	Csa01g009330, Csa15g009970
OG0000086	Sp7g23620.1	Csa11g018930, Csa10g017320, Csa12g026570
OG0000086	Sp1g00550.1	Csa14g001370, Csa03g001470, Csa17g002270
OG0000086	Sp6g00670.1	Csa02g001740, Csa08g001790, Csa13g056730
OG0000086	Sp5g15590.1	Csa06g019760, Csa04g028750
OG0000086	Sp6g21600.1	Csa02g065720, Csa11g093760, Csa18g033200
OG0000086	Sp6g21590.1	Csa11g093750, Csa18g033190, Csa02g065710
OG0000086	Sp5g15610.1	Csa04g028740, Csa06g019750
OG0000088	Sp5g15930.1	Csa06g019140
OG0000088	Sp6g21910.1	Csa02g067210, Csa18g033620
OG0000088	Sp6g21880.1	Csa02g067200, Csa18g033600, Csa11g094160
OG0000088	Sp5g15920.1	Csa09g039410, Csa06g019170
OG0000088	Sp5g15950.1	Csa06g019130, Csa09g039370
OG0000088	Sp6g21920.1	Csa02g067220
OG0000090	Sp4g12090.1, Sp4g12160.1	Csa05g031970, Csa16g014130, Csa05g031930, Csa05g031920, Csa17g098540, Csa16g014180, Csa05g031950, Csa03g050930, Csa07g012420
OG0000090	Sp4g12080.1	Csa05g034980, Csa05g034930
OG0000094	Sp2g03070.1	Csa07g062630
OG0000094	Sp4g04840.1	Csa17g015320, Csa03g014920, Csa14g014030
OG0000094	Sp2g03120.1	Csa16g053250, Csa07g062580, Csa04306s010
OG0000095	Sp7g21600.1	Csa11g021230, Csa05g016100, Csa00903s010, Csa10g019460, Csa11g021220, Csa11g021200, Csa10g019430, Csa12g030780, Csa12g030770, Csa11g021210
OG0000095	Sp7g21610.1	Csa04g011980, Csa06g006000, Csa09g009760, Csa09g009770, Csa09g010000
OG0000096	Sp5g29380.1	Csa07g044540, Csa07g044550, Csa07g045580, Csa16g038120, Csa07g044520, Csa09g078780, Csa07g044430, Csa16g038110
OG0000098	Sp4g17010.1, Sp4g18670.1	Csa00495s180, Csa05g079710, Csa06g039020, Csa04g049870
OG0000098	Sp4g08450.1	Csa16g051070, Csa07g060470
OG0000098	Sp2g18270.1	Csa00427s050, Csa06g013030
OG0000098	Sp1g13880.1	Csa03g019340
OG0000098	Sp1g13520.1	Csa17g020750, Csa03g018990
OG0000098	Sp5g36020.1	Csa07g016960, Csa05g048580, Csa16g017450
OG0000098	Sp3g14720.1	Csa15g021230
OG0000099	Sp6g29370.1	Csa13g017490, Csa20g021200
OG0000103	Sp6g06900.1	Csa02g026130, Csa02g026190, Csa08g040520, Csa02g026110, Csa08g040530, Csa13g047690
OG0000103	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1	Csa11g024730, Csa12g036630
OG0000103	Sp6g06870.1	Csa02g026210
OG0000103	Sp1g28050.1	Csa14g042920
OG0000103	Sp1g28020.1	Csa14g042930, Csa03g037270
OG0000104	Sp4g24190.1	Csa05g009640, Csa06g047920, Csa04g057390
OG0000104	Sp1g33950.1	Csa13g014620, Csa20g017340, Csa08g002950, Csa14g036210
OG0000104	Sp6g31530.1	Csa13g036350, Csa08g028150, Csa20g055660
OG0000104	Sp5g13700.1, Sp4g24500.1	Csa05g009250, Csa04g057860, Csa06g048390, Csa19g015340, Csa15g015030, Csa01g012330
OG0000106	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1	Csa16g021590, Csa05g067300, Csa05g067320, Csa07g027970, Csa07g027960, Csa16g021610
OG0000106	Sp2g25130.1	Csa14g061720, Csa02g069960, Csa05g041310, Csa16g051800, Csa07g061160, Csa16g051820, Csa05g041280
OG0000108	Sp5g07750.1	Csa04g040820, Csa06g029160
OG0000108	Sp4g21310.1	Csa05g014350, Csa06g042880
OG0000109	Sp7g14520.1	Csa12g053450, Csa11g034100, Csa10g029860
OG0000109	Sp1g38170.1	Csa03g058440, Csa14g059780, Csa17g090430
OG0000109	Sp1g37590.1	Csa13g021410, Csa08g011030, Csa08g011050, Csa20g026900, Csa08g011020, Csa03g056760, Csa17g088590, Csa03g055770, Csa17g088600, Csa07g002730, Csa14g051490, Csa05113s010, Csa14g059130
OG0000110	Sp2g15055.1, Sp2g15060.1	Csa04g011050, Csa09g008970, Csa09g008980, Csa06g005400, Csa09g008950, Csa09g009000, Csa06g005410, Csa04g011060, Csa09g008930, Csa04g011040, Csa06g005380
OG0000113	Sp5g11010.1	Csa05g089500, Csa04g046480, Csa04g046470, Csa06g036680, Csa04g046460, Csa05g089420, Csa05g089380, Csa06g036660, Csa04g046440, Csa05g089760, Csa16g006610, Csa05g089480
OG0000114	Sp6g25730.1	Csa08g011150, Csa13g021520
OG0000114	Sp7g13940.1	Csa10g030310
OG0000114	Sp7g13960.1	Csa11g034770, Csa10g030380, Csa11g034750, Csa12g054140, Csa11g034760, Csa10g030370
OG0000114	Sp7g13930.1	Csa12g054130, Csa10g030350, Csa11g034740
OG0000115	Sp6g26490.1	Csa20g025920, Csa13g020530, Csa08g010010, Csa14776s010, Csa13g020580
OG0000115	Sp3g31620.1	Csa15g076690, Csa01g041330, Csa15g076700, Csa19g057770, Csa15g076680, Csa04g020090
OG0000115	Sp5g11270.1	Csa04g036690, Csa09g057900
OG0000115	Sp5g11280.1	Csa20987s010, Csa04g036680, Csa10990s010, Csa09g002400, Csa06g025060
OG0000116	Sp1g31050.1, Sp1g31170.1	Csa02g067310, Csa18g033700, Csa11g094230
OG0000116	Sp2g22120.1	Csa05g089010, Csa08g023070, Csa20g048780, Csa13g031330, Csa20g048760, Csa09g048760, Csa06g021830, Csa09g048780, Csa18g002650
OG0000117	Sp4g25600.1	Csa05g006950, Csa04g056050, Csa04g061150, Csa06g049740
OG0000117	Sp3g24100.1	Csa06g049750, Csa04g061160
OG0000118	Sp7g03745.1	Csa08g043720, Csa04g011130, Csa10g046760
OG0000118	Sp2g02350.1, Sp1g34110.1	Csa03g053830
OG0000119	Sp1g31660.1	Csa06g040100, Csa04g050960
OG0000120	Sp1g00910.1	Csa17g001840, Csa03g001830, Csa14g001750
OG0000120	Sp6g01080.1	Csa13g056270, Csa02g002230, Csa08g053430
OG0000120	Sp6g15380.1	Csa18g024230, Csa11g085060, Csa02g049550
OG0000120	Sp4g28430.1	Csa05g002790, Csa04g065460, Csa06g052900
OG0000121	Sp5g30950.1	Csa07g047380, Csa09g080580, Csa16g039940
OG0000121	Sp5g30970.1	Csa16g039900, Csa07g047350, Csa16g039890, Csa07g047340, Csa09g080490
OG0000123	Sp5g02600.1	Csa16g004260, Csa07g004300, Csa05g092450
OG0000123	Sp4g27220.1, SpUn0031_0100.1	Csa04g063070, Csa05g004090
OG0000123	Sp7g15090.1	Csa10g029120, Csa12g051580, Csa11g033390, Csa04243s010
OG0000123	Sp3g24090.1	Csa19g040540, Csa15g058440, Csa01g038060
OG0000123	Sp2g02520.1	Csa09g096660, Csa16g053820, Csa07g063370
OG0000123	Sp7g20170.1	Csa11g024270, Csa10g021290, Csa12g036110
OG0000124	Sp5g18880.1	Csa10g012170
OG0000124	Sp3g26345.1	Csa09g013070, Csa04g015010
OG0000124	Sp3g23235.1, Sp1g19405.1, Sp2g02943.1, Sp5g16405.1	Csa08g047210
OG0000124	Sp3g24930.1, Sp5g16780.1	Csa03g050740
OG0000125	Sp4g03230.1, Sp4g03220.1	Csa16g046440, Csa09g089980, Csa09g088390, Csa16g045880, Csa02197s010, Csa07g054150, Csa09g088400, Csa16g045890, Csa16g046450
OG0000126	Sp3g02980.1	Csa17g098330
OG0000128	Sp3g03500.1	Csa19g006820, Csa15g005620, Csa15g005630, Csa19g006830
OG0000128	Sp3g03510.1	Csa20g017320, Csa13g014590, Csa08g002920, Csa20g017300, Csa08g002890, Csa20g017290, Csa13g014570, Csa13g014580, Csa20g017310, Csa08g002910, Csa13g014130, Csa20g017280, Csa08g002460, Csa20g016780
OG0000129	Sp5g16370.1, Sp1g27690.1	Csa14g051250, Csa17g072880, Csa03g051080, Csa07g011900
OG0000130	Sp6g13955.1	Csa09g005190
OG0000132	SpUn0030_0110.1, Sp3g31720.1	Csa01g041460, Csa28725s010, Csa15g076870
OG0000132	Sp7g34210.1	Csa11g005220, Csa12g004910, Csa10g004700
OG0000132	Sp1g17380.1	Csa14g024820, Csa03g023320
OG0000132	Sp5g30410.1	Csa07g046690, Csa09g079840
OG0000132	Sp4g00810.1	Csa07g051790, Csa16g043450, Csa09g086050, Csa07857s010
OG0000133	Sp5g26020.1	Csa07g037740, Csa09g072150, Csa16g032490, Csa09g072170, Csa07g037730, Csa16g032480
OG0000133	Sp5g26010.1	Csa16g032470
OG0000133	Sp5g26030.1	Csa16g032520, Csa07g037760
OG0000134	Sp2g11310.1	Csa11g070190, Csa18g003540, Csa20g080630
OG0000135	Sp1g33820.1	Csa15g034640, Csa07g029700
OG0000137	Sp1g25370.1	Csa17g042320, Csa17g042370
OG0000137	Sp1g25430.1	Csa17g042390, Csa03g032610
OG0000137	Sp1g25360.1, Sp1g25450.1	Csa17g042330, Csa14g037060, Csa17g042260, Csa17g042280
OG0000138	Sp5g33500.1	Csa09g085190, Csa16g042620, Csa07g051050
OG0000138	Sp4g15460.1	Csa07g008360, Csa05g023400, Csa16g008160
OG0000138	Sp1g15300.1	Csa17g022810, Csa17g030330, Csa03g020920, Csa17g022800, Csa14g021360
OG0000138	Sp4g22640.1, Sp1g21630.1	Csa05g012470, Csa06g044680, Csa04g054630, Csa17g099110, Csa07g026610, Csa07g016860, Csa16g017360, Csa05g048510
