Orthogroup	Thellungiella_parvula	Brassica_rapa
OG0000032	Sp5g21900.1	Bra034042, Bra004198, Bra038467
OG0000033	Sp2g03980.1	Bra031482
OG0000033	Sp1g10900.1	Bra026979
OG0000036	Sp7g06680.1	Bra003051
OG0000037	Sp5g08630.1, Sp4g19980.1	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010
OG0000037	Sp3g16870.1	Bra037560
OG0000037	Sp1g36120.1	Bra022356
OG0000037	Sp3g10340.1	Bra034778
OG0000037	Sp5g15160.1, Sp6g21050.1	Bra006719, Bra018210, Bra002571, Bra019486
OG0000037	Sp6g33600.1	Bra006033
OG0000038	Sp4g09920.1	Bra040480
OG0000039	Sp7g21010.1	Bra013661, Bra013659, Bra013658, Bra013660, Bra020828, Bra020827, Bra013657
OG0000039	Sp6g06030.1	Bra035221
OG0000039	Sp6g05930.1	Bra035217
OG0000039	Sp6g06040.1	Bra035222
OG0000039	Sp7g21220.1	Bra019317
OG0000039	Sp6g05950.1	Bra000745
OG0000039	Sp6g05980.1	Bra000744
OG0000040	Sp6g27520.1	Bra006362
OG0000040	Sp3g10450.1	Bra001440
OG0000040	Sp1g26630.1	Bra023128
OG0000040	Sp7g01830.1	Bra025601
OG0000040	Sp4g02040.1	Bra032189
OG0000040	Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1	Bra012153
OG0000040	Sp3g08720.1	Bra029842, Bra025640
OG0000040	SpUn0245_0010.1	Bra016001
OG0000041	Sp1g31240.1, Sp1g33340.1, Sp3g25050.1, Sp5g17980.1, Sp5g16800.1, Sp6g09290.1, Sp6g12650.1, Sp4g07700.1, Sp3g24690.1, Sp1g33610.1, Sp1g29320.1, Sp6g12660.1, Sp4g08700.1, SpUn0002_0030.1, Sp5g17520.1, SpUn0001_0560.1	Bra029501
OG0000041	Sp7g09260.1, Sp1g16530.1, Sp3g28380.1	Bra033922, Bra017679, Bra035991, Bra018033, Bra028038, Bra035314, Bra038115, Bra014805, Bra040867, Bra038304, Bra014058, Bra037613, Bra030392
OG0000042	Sp3g28560.1, Sp3g28550.1, Sp3g28540.1	Bra024503
OG0000043	Sp5g14630.1	Bra018164
OG0000043	Sp6g23980.1	Bra002305, Bra006560
OG0000043	Sp2g09620.1	Bra029191, Bra006717, Bra021289, Bra007256, Bra027572
OG0000043	Sp1g34070.1	Bra015204, Bra027938
OG0000044	Sp3g04430.1, Sp3g28660.1	Bra039426
OG0000044	Sp5g14790.1	Bra018182
OG0000044	Sp2g02570.1	Bra028374
OG0000044	Sp2g02100.1	Bra036658
OG0000044	Sp2g02560.1	Bra027069
OG0000044	Sp2g02600.1	Bra028375
OG0000044	Sp2g02110.1	Bra036659, Bra027041
OG0000045	Sp7g21190.1	Bra019329
OG0000045	Sp7g21200.1	Bra013678
OG0000045	Sp1g30740.1	Bra019323, Bra012544, Bra019320
OG0000045	Sp1g30850.1	Bra019325
OG0000046	Sp2g10070.1	Bra021956
OG0000048	Sp4g06220.1	Bra040797
OG0000050	Sp7g35840.1, Sp7g35830.1	Bra003745
OG0000050	Sp6g32510.1, Sp5g30720.1, Sp3g29820.1	Bra011813
OG0000051	Sp6g34560.1	Bra005989, Bra028659
OG0000051	Sp2g16170.1	Bra025246
OG0000051	Sp7g00950.1	Bra028480
OG0000051	Sp2g16160.1, Sp7g00940.1, Sp3g00160.1	Bra040553
OG0000051	Sp6g12730.1	Bra014066
OG0000051	Sp5g13350.1	Bra019556, Bra029911, Bra018044
OG0000051	Sp2g26580.1	Bra038639
OG0000053	Sp6g23330.1, Sp5g17420.1	Bra002368, Bra020155, Bra006595, Bra034981
OG0000053	Sp7g04290.1	Bra025438
OG0000053	Sp7g12750.1	Bra039723
OG0000053	Sp3g20610.1	Bra033898
OG0000053	Sp5g05790.1, Sp4g23420.1	Bra007269
OG0000054	Sp1g10770.1	Bra019742, Bra016791
OG0000054	Sp2g02080.1	Bra034519, Bra027039
OG0000054	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1	Bra000777, Bra000778
OG0000054	Sp4g27230.1, SpUn0031_0090.1	Bra000377
OG0000054	SpUn0055_0010.1, Sp6g04970.1	Bra029458
OG0000054	Sp7g20540.1	Bra013619
OG0000057	Sp6g19080.1	Bra020447, Bra002733
OG0000057	Sp1g15390.1	Bra016610
OG0000057	Sp5g02900.1	Bra007524, Bra014496
OG0000057	Sp2g25850.1	Bra029249
OG0000057	Sp4g03520.1	Bra007845
OG0000057	Sp5g35100.1	Bra003576, Bra035163
OG0000057	Sp5g18280.1	Bra008288
OG0000057	Sp3g25350.1	Bra013168
OG0000057	Sp7g28060.1	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101
OG0000057	Sp3g32410.1	Bra024452
OG0000060	Sp4g11580.1	Bra000483, Bra035677, Bra011930
OG0000060	Sp6g22520.1	Bra006685, Bra006639, Bra002436
OG0000060	Sp3g07850.1	Bra003150
OG0000060	Sp5g08710.1	Bra039810, Bra007018
OG0000060	Sp5g15620.1, Sp6g21620.1	Bra020275, Bra002520
OG0000060	Sp5g15570.1	Bra038267
OG0000062	Sp3g18120.1	Bra035813
OG0000062	Sp7g14050.1	Bra001774
OG0000062	Sp7g09440.1, Sp3g18110.1	Bra035814
OG0000062	Sp3g18105.1	Bra035818
OG0000064	Sp3g33520.1	Bra036460, Bra036688
OG0000064	Sp7g26710.1	Bra011053
OG0000064	Sp2g08710.1	Bra033704
OG0000064	Sp1g02980.1	Bra032526
OG0000064	Sp4g14250.1	Bra022871
OG0000064	Sp1g15710.1	Bra030993
OG0000064	Sp6g23970.1	Bra006561, Bra020105
OG0000064	Sp5g04560.1	Bra014582, Bra003324
OG0000064	SpUn0001_0160.1	Bra027968
OG0000064	Sp1g07380.1	Bra030739, Bra018605
OG0000065	Sp5g30900.1	Bra015815
OG0000065	Sp2g09180.1	Bra033737, Bra039506, Bra027544
OG0000065	Sp7g18980.1	Bra020912, Bra013481, Bra038795
OG0000065	Sp6g31390.1	Bra008903
OG0000065	Sp2g23430.1	Bra009710
OG0000065	Sp4g12280.1	Bra018379, Bra039987
OG0000065	Sp5g14830.1	Bra018184, Bra033796
OG0000066	Sp7g00780.1	Bra009339, Bra012391, Bra012394, Bra012395, Bra012392
OG0000068	Sp5g31070.1	Bra015801, Bra008231, Bra003735
OG0000068	Sp2g14110.1, Sp2g14120.1	Bra017397
OG0000068	Sp1g35770.1	Bra014159
OG0000068	Sp1g36050.1	Bra018757
OG0000068	Sp4g08260.1, Sp5g03170.1	Bra014519
OG0000069	Sp5g15350.1	Bra020297, Bra030704
OG0000069	Sp5g08650.1, Sp6g21360.1, Sp4g11600.1, Sp4g19900.1, Sp1g06390.1	Bra000006
OG0000070	Sp7g36970.1	Bra011889, Bra033581
OG0000070	Sp4g00400.1	Bra031171
OG0000070	Sp3g31440.1	Bra037243, Bra039909, Bra024482
OG0000070	Sp7g33890.1	Bra010501, Bra017747, Bra011662
OG0000070	Sp5g30700.1	Bra003746, Bra015832
OG0000070	Sp1g17620.1	Bra025770
OG0000070	Sp3g29850.1	Bra013061
OG0000070	Sp7g32540.1	Bra011560, Bra017676
OG0000071	Sp4g12490.1	Bra000470
OG0000072	Sp5g21400.1	Bra034491
OG0000072	Sp1g34950.1, Sp7g13130.1, Sp6g09820.1, SpUn1230_0020.1	Bra038572
OG0000072	Sp5g15320.1, Sp6g12290.1	Bra015152, Bra038404
OG0000072	Sp7g12150.1, Sp7g02510.1	Bra002449
OG0000074	Sp6g20800.1	Bra002592
OG0000074	Sp5g14890.1	Bra018188
OG0000074	Sp6g20880.1	Bra020333
OG0000074	Sp6g20510.1	Bra020349, Bra020347, Bra020348, Bra020350, Bra020351
OG0000074	Sp6g20870.1	Bra006728, Bra002586
OG0000077	Sp4g15410.1	Bra021824, Bra005510, Bra005525, Bra005528, Bra005527, Bra021842, Bra022907, Bra005530, Bra005529
OG0000077	Sp4g15360.1	Bra005534
OG0000077	Sp4g15020.1	Bra021751, Bra021750, Bra021806, Bra032039, Bra021868, Bra021805, Bra021913, Bra021746, Bra021749, Bra021748, Bra005567
OG0000078	Sp1g17860.1	Bra016477, Bra012210
OG0000078	Sp5g30980.1	Bra015807
OG0000078	Sp7g32780.1	Bra011578
OG0000078	Sp3g29990.1	Bra001994
OG0000078	Sp2g10850.1	Bra022004, Bra025045
OG0000078	Sp3g31210.1	Bra038892, Bra036819, Bra012858
OG0000079	Sp7g30200.1	Bra023952, Bra011345
OG0000079	Sp3g09190.1	Bra029874
OG0000079	Sp6g37660.1	Bra005845, Bra028768
OG0000079	Sp2g08870.1	Bra033714
OG0000079	Sp6g26800.1	Bra006407
OG0000079	Sp7g36530.1	Bra011865
OG0000079	Sp2g27810.1	Bra037793, Bra031904, Bra024324
OG0000079	Sp6g33540.1	Bra006036
OG0000080	Sp7g14750.1	Bra002990, Bra024630
OG0000083	Sp1g22080.1	Bra016284, Bra024691
OG0000083	Sp1g12400.1	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690
OG0000083	Sp2g14180.1	Bra017393
OG0000083	Sp2g14170.1	Bra017394, Bra017395, Bra026565, Bra024784
OG0000084	Sp6g15450.1	Bra029076, Bra022645
OG0000084	Sp2g00510.1	Bra027749
OG0000084	Sp3g29980.1	Bra013049, Bra001995
OG0000084	Sp6g18000.1	Bra002842
OG0000084	Sp3g07130.1	Bra001347, Bra041101
OG0000085	Sp5g13500.1	Bra039802, Bra007010
OG0000086	Sp7g23620.1	Bra013901, Bra019151, Bra010456
OG0000086	Sp1g00550.1	Bra033236
OG0000086	Sp6g21600.1	Bra006686
OG0000086	Sp6g21590.1	Bra006687, Bra002522, Bra020277
OG0000086	Sp5g15610.1	Bra038266
OG0000088	Sp5g15930.1	Bra038286
OG0000088	Sp6g21910.1	Bra006669, Bra002497
OG0000088	Sp6g21880.1	Bra020259, Bra002500, Bra002499, Bra006670
OG0000088	Sp6g21890.1	Bra002498
OG0000088	Sp5g15920.1	Bra019469
OG0000088	Sp5g15940.1	Bra038287, Bra002064
OG0000088	Sp5g15970.1	Bra029544, Bra038289
OG0000088	Sp6g21920.1	Bra006666, Bra006668
OG0000090	Sp4g12090.1	Bra039974, Bra039969
OG0000090	Sp4g12160.1	Bra018393, Bra018396
OG0000090	Sp1g06180.1	Bra039966
OG0000090	Sp4g12085.1	Bra039513
OG0000090	Sp4g12060.1	Bra018399, Bra039971, Bra039973, Bra039967, Bra000477
OG0000090	Sp4g12080.1	Bra039514, Bra000476, Bra018401, Bra018402, Bra018405, Bra018404
OG0000094	Sp2g03130.1	Bra027089
OG0000094	Sp2g03070.1	Bra027084, Bra031429
OG0000094	Sp2g03090.1	Bra027087
OG0000094	Sp4g04840.1	Bra034257
OG0000094	Sp2g03110.1	Bra027088
OG0000094	Sp2g03120.1	Bra031434
OG0000094	Sp1g09940.1	Bra016844
OG0000094	Sp2g03140.1	Bra038579
OG0000095	Sp7g21600.1	Bra034099
OG0000096	Sp5g29380.1	Bra008138, Bra015930, Bra003729, Bra008137, Bra003816
OG0000098	Sp4g17010.1, Sp4g18670.1	Bra017241, Bra023065
OG0000098	Sp4g08450.1	Bra034314
OG0000098	Sp2g18270.1	Bra025424
OG0000098	Sp1g13880.1	Bra026124
OG0000098	Sp1g13520.1	Bra026156, Bra026157, Bra016669
OG0000098	Sp5g36020.1	Bra003527
OG0000098	Sp3g14720.1	Bra021173, Bra027171
OG0000099	Sp6g29370.1	Bra008746
OG0000099	Sp5g01100.1, Sp4g29160.1, Sp1g09310.1, Sp2g04250.1	Bra027153
OG0000099	Sp1g20910.1	Bra024604
OG0000103	Sp6g06900.1	Bra033170
OG0000103	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1	Bra038768, Bra038766
OG0000103	Sp6g06870.1	Bra037906
OG0000103	Sp1g28050.1	Bra023300, Bra023297
OG0000104	Sp4g24190.1	Bra004659, Bra016901
OG0000104	Sp4g12780.1	Bra018274
OG0000104	Sp1g33950.1	Bra014070, Bra014188, Bra014215, Bra015604
OG0000104	Sp5g13700.1, Sp4g24500.1	Bra004684
OG0000106	Sp6g11660.1, Sp3g03240.1	Bra040199, Bra040200
OG0000106	Sp2g25130.1	Bra029304, Bra029303, Bra029299
OG0000108	Sp5g07750.1	Bra014798, Bra007090
OG0000108	Sp4g21310.1	Bra005071, Bra005070, Bra005069, Bra000107, Bra017275, Bra017093
OG0000109	Sp1g38180.1	Bra018914
OG0000109	Sp7g14520.1	Bra038047
OG0000109	Sp1g37590.1	Bra018874, Bra018913, Bra018915
OG0000110	Sp2g15055.1	Bra025164
OG0000113	Sp7g01320.1	Bra025562
OG0000114	Sp6g25730.1	Bra023688, Bra006467
OG0000114	Sp7g13960.1	Bra033499
OG0000114	Sp7g13930.1	Bra033503, Bra033501
OG0000115	Sp6g26490.1	Bra002103, Bra006418, Bra023635
OG0000115	Sp3g31620.1	Bra024477, Bra037232
OG0000115	Sp5g11270.1	Bra038874
OG0000115	Sp5g11280.1	Bra036846, Bra012877
OG0000116	Sp1g31050.1, Sp1g31170.1	Bra014352
OG0000116	Sp2g22120.1	Bra038027
OG0000116	Sp6g39360.1	Bra005841
OG0000116	Sp6g31960.1	Bra002860, Bra008946, Bra008944
OG0000117	Sp4g25600.1	Bra004768
OG0000117	Sp4g25610.1	Bra037706
OG0000117	Sp3g24100.1	Bra000309
OG0000118	Sp2g02350.1, Sp1g34110.1	Bra022306, Bra033020, Bra016175
OG0000120	Sp1g00910.1	Bra032635
OG0000120	Sp6g01080.1	Bra037388, Bra008539, Bra000941
OG0000120	Sp6g15380.1	Bra022637, Bra029089
OG0000120	Sp4g28430.1	Bra004539, Bra039283
OG0000121	Sp5g30950.1	Bra015809
OG0000121	Sp5g30970.1	Bra008226
OG0000123	Sp5g02600.1, Sp4g27220.1, SpUn0031_0100.1	Bra003310, Bra000376
OG0000123	Sp7g15090.1	Bra040738, Bra012710
OG0000123	Sp3g24090.1	Bra013172
OG0000123	Sp7g20170.1	Bra013578
OG0000124	Sp3g26345.1	Bra029965
OG0000125	Sp4g03230.1, Sp4g03220.1	Bra032068, Bra032065, Bra032064, Bra032113, Bra032112
OG0000126	Sp3g02980.1	Bra031955
OG0000128	Sp3g03500.1	Bra040127, Bra040270
OG0000129	Sp5g16370.1, Sp1g27690.1	Bra023232, Bra029851
OG0000130	Sp6g13955.1	Bra017917
OG0000130	Sp4g08820.1	Bra040265
OG0000132	SpUn0030_0110.1, Sp3g31720.1	Bra039617
OG0000132	Sp7g34210.1	Bra010560, Bra011691
OG0000132	Sp1g17380.1	Bra012183
OG0000132	Sp5g30410.1	Bra008186
OG0000132	Sp4g00810.1	Bra000579, Bra031209, Bra030285
OG0000133	Sp5g26020.1	Bra016178
OG0000133	Sp5g26010.1	Bra007945, Bra016182
OG0000133	Sp5g26030.1	Bra016180, Bra016181
OG0000134	Sp2g11320.1	Bra022037
OG0000134	Sp3g28820.1	Bra022036
OG0000137	Sp1g25420.1	Bra032322, Bra032317
OG0000137	Sp1g25430.1	Bra010826
OG0000138	Sp5g33500.1	Bra035034
OG0000138	Sp4g15460.1	Bra021830, Bra022928
OG0000138	Sp1g15300.1	Bra025997
OG0000138	Sp6g09060.1	Bra015210
OG0000138	Sp4g22640.1, Sp1g21630.1	Bra000327, Bra014753, Bra000645, Bra004111, Bra000183, Bra017014
OG0000141	Sp6g03390.1	Bra033932, Bra003479
OG0000142	Sp5g12335.1	Bra022382
OG0000143	Sp3g16720.1	Bra037571, Bra022341
OG0000143	Sp2g28440.1	Bra031864
OG0000144	Sp5g02320.1	Bra014462, Bra014461
OG0000144	Sp4g27600.1	Bra014953
OG0000144	Sp7g18740.1	Bra039327
OG0000144	Sp4g27620.1	Bra039328
OG0000144	Sp4g27610.1	Bra039329
OG0000144	Sp4g27630.1	Bra004921
OG0000146	Sp7g32970.1	Bra020804, Bra017704
OG0000146	Sp7g32960.1	Bra020805
OG0000146	Sp3g30370.1	Bra002020
OG0000146	Sp3g30350.1	Bra013032
OG0000146	Sp3g30360.1	Bra002019, Bra013031
OG0000149	Sp1g41790.1	Bra003333
OG0000149	Sp5g25410.1	Bra007907, Bra007909, Bra007908
OG0000149	Sp2g08080.1	Bra027477, Bra035966, Bra033958, Bra033670
OG0000149	Sp1g41770.1	Bra030815
OG0000149	Sp1g41780.1	Bra030813
OG0000153	Sp6g20950.1	Bra002580
OG0000153	Sp1g28540.1	Bra002553
OG0000153	Sp6g21310.1	Bra006705, Bra006704, Bra006703, Bra002550, Bra002551, Bra002548, Bra020306
OG0000153	Sp6g21810.1, Sp6g21760.1, SpUn1070_0010.1	Bra020291, Bra006678, Bra038408, Bra002507, Bra002511, Bra002534
OG0000154	Sp4g26560.1	Bra004838, Bra037648
OG0000154	Sp5g03070.1	Bra014510, Bra007510
OG0000154	Sp4g26540.1	Bra004837, Bra037650
OG0000155	Sp4g13520.1	Bra018283, Bra018282
OG0000156	Sp6g18990.1	Bra006829
OG0000156	Sp2g15480.1	Bra040819
OG0000156	Sp2g15470.1	Bra040821
OG0000156	Sp2g15450.1	Bra034237, Bra025198
OG0000156	Sp2g15440.1	Bra025196
OG0000156	Sp2g15460.1	Bra025199
OG0000157	Sp3g29560.1	Bra008578
OG0000158	SpUn0333_0010.1	Bra040812
OG0000158	Sp1g09230.1	Bra031720, Bra031719, Bra031718, Bra019921, Bra019922, Bra019920
OG0000159	Sp1g38860.1	Bra026450, Bra041015
OG0000159	Sp1g35030.1	Bra009164
OG0000159	Sp1g12250.1	Bra004046, Bra004349, Bra016726
OG0000162	Sp2g14240.1	Bra026555, Bra026558, Bra017391
OG0000162	Sp2g05790.1	Bra038144
OG0000163	Sp3g23980.1, Sp3g23870.1, Sp3g23860.1	Bra040817
OG0000163	Sp3g24040.1, Sp3g24050.1, Sp3g24030.1	Bra013176
OG0000164	Sp7g20000.1	Bra013565, Bra038753
OG0000165	SpUn0001_0880.1, Sp1g30980.1	Bra034940, Bra037852, Bra040462
OG0000166	Sp7g03130.1	Bra034278
OG0000167	Sp3g10720.1	Bra038734
OG0000167	Sp1g14350.1	Bra016644, Bra026084
OG0000167	Sp6g40010.1	Bra009583
OG0000170	Sp4g12440.1	Bra039998
OG0000170	Sp2g26350.1	Bra038618
OG0000173	Sp2g03710.1, Sp2g03770.1	Bra040965, Bra027116
OG0000173	Sp5g22450.1	Bra009436
OG0000174	Sp5g21840.1	Bra040627
OG0000174	Sp7g03900.1	Bra028162
OG0000174	Sp4g02860.1	Bra030699, Bra008375, Bra027114, Bra027111, Bra018687
OG0000178	Sp1g04760.1	Bra015465
OG0000178	SpUn1102_0010.1, Sp6g07490.1	Bra023229
OG0000178	Sp1g04320.1	Bra015425
OG0000179	Sp1g38300.1	Bra033624
OG0000179	Sp5g16830.1	Bra010680
OG0000179	Sp7g36370.1	Bra011859
OG0000179	Sp7g12040.1	Bra033625, Bra033626
OG0000180	Sp1g17700.1, Sp5g30740.1	Bra016488
OG0000180	Sp7g32500.1	Bra010719, Bra011556, Bra017674, Bra013066, Bra034649, Bra033584
OG0000182	Sp1g26930.1	Bra038406
OG0000182	Sp7g18420.1	Bra012524
OG0000182	Sp2g09660.1	Bra025100
OG0000182	Sp2g13480.1	Bra024835
OG0000183	Sp5g14170.1	Bra019513
OG0000183	Sp5g14180.1	Bra033785, Bra018113
OG0000183	Sp5g14185.1	Bra018115
OG0000183	Sp5g14187.1	Bra015049
OG0000184	Sp3g20240.1	Bra026957
OG0000185	Sp7g04470.1	Bra011005
OG0000185	Sp7g04850.1	Bra030824
OG0000185	Sp7g04910.1	Bra028116, Bra020175, Bra028117
OG0000186	SpUn0988_0010.1	Bra032917
OG0000186	Sp1g24835.1	Bra030108
OG0000186	Sp1g24830.1	Bra030107
OG0000186	Sp1g24820.1	Bra030106
OG0000188	Sp2g07590.1, Sp1g33580.1, Sp3g24280.1, Sp5g19020.1, SpUn0171_0010.1	Bra017689, Bra023147, Bra032406, Bra041113, Bra020565
