Orthogroup	Thellungiella_parvula	Tarenaya_hassleriana
OG0000024	Sp6g22630.1, Sp2g05350.1, Sp2g04940.1, Sp2g04960.1, Sp2g04760.1, Sp3g23090.1	Th2v12915, Th2v22610, Th2v12940, Th2v22637, Th2v12916, Th2v22611, Th2v23248, Th2v22826, Th2v12914, Th2v22609
OG0000025	Sp4g07220.1	Th2v06587, Th2v15286, Th2v06585, Th2v15284, Th2v06586, Th2v15285, Th2v07577, Th2v15711, Th2v05214, Th2v05190, Th2v05184, Th2v05185, Th2v05186, Th2v05174, Th2v05215, Th2v05217, Th2v05216, Th2v05213, Th2v05175, Th2v05189, Th2v10795, Th2v05176, Th2v05188, Th2v19139, Th2v24293
OG0000029	Sp2g05870.1, SpUn0028_0070.1, Sp6g39690.1	Th2v20665
OG0000030	Sp2g01710.1	Th2v17285, Th2v20358, Th2v20357, Th2v17290, Th2v17287, Th2v17243, Th2v17245, Th2v01243, Th2v17307, Th2v01666, Th2v30470, Th2v30468, Th2v01665, Th2v30471, Th2v01795, Th2v16920, Th2v17271, Th2v29086
OG0000032	Sp7g03870.1, Sp7g03860.1, Sp7g03780.1, Sp5g21950.1, Sp5g21900.1, Sp5g20600.1, Sp5g21920.1, Sp7g15860.1, Sp7g15830.1, Sp7g03770.1	Th2v06297, Th2v05322
OG0000034	Sp3g26825.1	Th2v31511, Th2v31463, Th2v31383
OG0000036	Sp7g06680.1	Th2v30259
OG0000037	Sp5g08630.1, Sp4g19980.1	Th2v03678, Th2v16949
OG0000037	Sp3g16870.1, Sp1g36120.1	Th2v31526
OG0000037	Sp4g24310.1	Th2v06838, Th2v15536
OG0000037	Sp5g15160.1, Sp6g21050.1	Th2v21285
OG0000037	Sp1g28660.1	Th2v04632
OG0000037	Sp6g33600.1	Th2v24213, Th2v13675
OG0000039	Sp7g21250.1, Sp7g05450.1, Sp7g21210.1, Sp7g21010.1	Th2v04532, Th2v16789, Th2v16796, Th2v16782, Th2v16787, Th2v16794
OG0000039	Sp6g06030.1, Sp6g05930.1, Sp6g06040.1	Th2v16783, Th2v16784, Th2v16785, Th2v16793
OG0000039	Sp6g05940.1, Sp6g05950.1, Sp6g05970.1, Sp6g05980.1	Th2v04533, Th2v16790, Th2v16791
OG0000040	Sp6g27520.1, Sp6g27530.1, Sp3g10450.1, Sp1g26630.1, Sp7g01830.1, Sp4g02040.1, Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1, Sp4g02020.1, Sp4g02060.1, Sp3g08720.1, SpUn0245_0010.1	Th2v28851, Th2v28853, Th2v28647
OG0000043	Sp5g14630.1	Th2v18719, Th2v21320
OG0000043	Sp6g23980.1, Sp2g09620.1, Sp1g34070.1	Th2v18720, Th2v06689, Th2v31259, Th2v29328, Th2v20344, Th2v20345, Th2v20347, Th2v20348
OG0000045	Sp7g21190.1	Th2v04530, Th2v16767, Th2v16779
OG0000045	Sp7g21200.1, Sp1g30740.1, Sp1g30850.1	Th2v04531
OG0000046	Sp2g10050.1, Sp2g10160.1, Sp2g10150.1, Sp2g10140.1, Sp2g10100.1, Sp2g10070.1, Sp6g06620.1	Th2v04273
OG0000050	Sp7g35840.1, Sp7g35830.1	Th2v02356, Th2v02588, Th2v04070, Th2v04071, Th2v05831, Th2v20926, Th2v28063
OG0000050	Sp6g33050.1, Sp6g33060.1, Sp2g05210.1, Sp2g06530.1, Sp1g07810.1	Th2v11775
OG0000051	Sp6g34560.1	Th2v29800, Th2v30556
OG0000051	Sp2g16160.1, Sp7g00940.1, Sp3g00160.1	Th2v28486
OG0000051	Sp6g12730.1	Th2v29741
OG0000051	Sp2g26580.1	Th2v14074
OG0000053	Sp6g23330.1, Sp5g17420.1	Th2v08417
OG0000053	Sp7g04290.1, Sp5g21490.1	Th2v00534, Th2v05294, Th2v17972
OG0000053	Sp7g12750.1, Sp3g20610.1	Th2v15574
OG0000054	Sp1g10770.1, Sp2g02080.1	Th2v06009, Th2v14718
OG0000054	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1	Th2v04460
OG0000054	Sp4g27230.1, SpUn0031_0090.1	Th2v12814, Th2v22503
OG0000054	SpUn0055_0010.1, Sp6g04970.1, Sp7g20540.1	Th2v04452, Th2v16720, Th2v04453
OG0000057	Sp6g19080.1	Th2v05564, Th2v21740, Th2v05785
OG0000057	Sp1g15390.1	Th2v23285
OG0000057	Sp5g02900.1	Th2v31231
OG0000057	Sp2g25850.1	Th2v14006
OG0000057	Sp4g03520.1	Th2v01825, Th2v02081
OG0000057	Sp5g35100.1	Th2v10190
OG0000057	Sp5g18280.1	Th2v18022, Th2v19007
OG0000057	Sp3g25350.1	Th2v19705
OG0000057	Sp7g28060.1, Sp3g32410.1	Th2v01717, Th2v02145, Th2v12432
OG0000060	Sp4g11580.1	Th2v07562, Th2v15722
OG0000060	Sp5g15570.1	Th2v18814, Th2v17861, Th2v18811, Th2v21274, Th2v17863
OG0000064	Sp3g33520.1, Sp7g26710.1	Th2v01593, Th2v02228
OG0000064	Sp2g08710.1, Sp1g02980.1	Th2v16137
OG0000064	Sp1g15710.1	Th2v09991
OG0000064	Sp6g23970.1	Th2v18997
OG0000064	Sp5g04560.1	Th2v06859
OG0000064	SpUn0001_0160.1, Sp1g07380.1	Th2v06200, Th2v14903, Th2v23236
OG0000065	Sp5g30900.1	Th2v05817, Th2v20913, Th2v28085
OG0000065	Sp2g09180.1, Sp7g18980.1	Th2v04327
OG0000065	Sp6g31390.1	Th2v15561, Th2v19216
OG0000065	Sp4g12280.1	Th2v01110, Th2v07494, Th2v15777, Th2v08264
OG0000065	Sp2g25870.1, Sp5g14830.1	Th2v17813, Th2v21305, Th2v18739
OG0000068	Sp5g31070.1, Sp2g14110.1, Sp2g14120.1, Sp1g35760.1, Sp1g35770.1, Sp1g36050.1, Sp4g08260.1, Sp5g03170.1, Sp1g33740.1	Th2v28107
OG0000070	Sp7g36970.1	Th2v03273
OG0000070	Sp4g00400.1, Sp3g31440.1, Sp7g33890.1, Sp5g30700.1, Sp1g17620.1, Sp3g29850.1, Sp7g32540.1	Th2v02802, Th2v12095
OG0000072	Sp5g21400.1, Sp1g34950.1, Sp7g13130.1, Sp6g09820.1, SpUn1230_0020.1, Sp5g15320.1, Sp6g12290.1, Sp7g12150.1, Sp7g02510.1	Th2v23932, Th2v26503, Th2v29778, Th2v12157, Th2v23678, Th2v29868
OG0000073	Sp5g21235.1	Th2v26017, Th2v23472, Th2v01337, Th2v29928, Th2v29834
OG0000074	Sp6g20800.1	Th2v18648, Th2v18649, Th2v19318, Th2v19319
OG0000074	Sp5g14890.1, Sp6g20890.1, Sp6g20880.1, Sp6g20520.1, Sp6g22300.1, Sp6g20510.1, Sp6g20870.1	Th2v17820, Th2v17822
OG0000078	Sp1g17860.1, Sp5g30980.1	Th2v04085
OG0000078	Sp7g32780.1, Sp3g29990.1	Th2v12107
OG0000078	Sp2g10850.1	Th2v07388, Th2v10688, Th2v16538
OG0000078	Sp3g31210.1	Th2v11648, Th2v13434
OG0000079	Sp4g04890.1, Sp7g30200.1	Th2v01887, Th2v02043
OG0000079	Sp3g09190.1, Sp6g37660.1	Th2v23568, Th2v08612, Th2v11547
OG0000079	Sp2g08870.1	Th2v08012
OG0000079	Sp6g26800.1	Th2v21769
OG0000079	Sp7g36530.1	Th2v02334
OG0000079	Sp2g27810.1, Sp6g33540.1	Th2v13666, Th2v11795, Th2v24218
OG0000083	Sp7g23370.1, Sp1g22080.1	Th2v30473
OG0000083	Sp1g12400.1, Sp2g14180.1, Sp2g14170.1	Th2v00125
OG0000084	Sp7g25920.1, Sp6g15450.1	Th2v26933
OG0000084	Sp7g00370.1	Th2v16391, Th2v06067, Th2v14775, Th2v04829, Th2v20464, Th2v10451, Th2v15846
OG0000084	Sp3g29980.1	Th2v08986, Th2v12108
OG0000086	Sp1g00550.1, Sp6g00670.1	Th2v24520
OG0000086	Sp5g15590.1, Sp6g21600.1, Sp6g21590.1	Th2v18813
OG0000086	Sp5g15610.1	Th2v09212, Th2v14285, Th2v22109
OG0000087	Sp5g19890.1, SpUn0060_0030.1, Sp3g27040.1, Sp4g06670.1, Sp6g08540.1, Sp3g26320.1, Sp3g17010.1, SpUn0007_0210.1, Sp4g09900.1, Sp5g13100.1, SpUn1024_0010.1	Th2v02360, Th2v05287
OG0000088	Sp5g15930.1, Sp6g21910.1	Th2v17880
OG0000088	Sp6g21880.1	Th2v21255
OG0000088	Sp5g15950.1, Sp5g15940.1, Sp5g15970.1, Sp6g21920.1	Th2v21257
OG0000089	Sp7g02635.1	Th2v12193, Th2v27346, Th2v23807, Th2v27356, Th2v29410, Th2v29393, Th2v31221, Th2v03296
OG0000090	Sp1g06180.1	Th2v07511, Th2v15762, Th2v07515
OG0000095	Sp7g21600.1, Sp7g21610.1	Th2v05429, Th2v06545, Th2v15244
OG0000096	Sp5g29380.1	Th2v03606, Th2v25101
OG0000098	Sp4g17010.1, Sp4g18670.1	Th2v14665, Th2v29108, Th2v30314
OG0000098	Sp4g08450.1	Th2v19789
OG0000098	Sp2g18270.1	Th2v19035
OG0000098	Sp1g13880.1	Th2v23425, Th2v10229
OG0000098	Sp1g13520.1, Sp5g36020.1	Th2v07760
OG0000098	Sp3g14720.1	Th2v00841, Th2v21911
OG0000099	Sp6g29370.1	Th2v06999, Th2v18163, Th2v06375, Th2v15075, Th2v23159, Th2v24711, Th2v25689
OG0000099	Sp1g09310.1	Th2v20731
OG0000103	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1	Th2v04362, Th2v16673
OG0000103	Sp6g06870.1, Sp1g28050.1, Sp1g28060.1	Th2v04621
OG0000103	Sp1g28020.1	Th2v04622, Th2v16850, Th2v16851, Th2v04623
OG0000104	Sp4g24190.1, Sp4g12780.1, Sp1g33950.1, Sp6g31530.1, Sp5g13700.1, Sp4g24500.1	Th2v13213, Th2v13214, Th2v28378, Th2v13260, Th2v25895, Th2v20552, Th2v20620
OG0000106	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1, Sp2g25130.1	Th2v05230, Th2v05235
OG0000108	Sp5g07750.1, Sp4g21310.1	Th2v29171, Th2v03551, Th2v14691
OG0000109	Sp1g38180.1, Sp7g14520.1, Sp1g38170.1, Sp1g37590.1	Th2v21820
OG0000110	Sp2g15055.1, Sp2g15060.1	Th2v20363, Th2v05137, Th2v05138, Th2v00751, Th2v00752, Th2v11008
OG0000114	Sp6g25730.1	Th2v26245
OG0000114	Sp7g13970.1, Sp7g13940.1, Sp7g13960.1, Sp7g13950.1, Sp7g13930.1	Th2v18224
OG0000115	Sp6g26490.1	Th2v22897
OG0000115	Sp3g31620.1	Th2v12233
OG0000115	Sp5g11270.1, Sp5g11280.1	Th2v12552, Th2v13448
OG0000116	Sp1g31050.1, Sp1g31170.1, Sp2g22120.1, Sp6g39360.1, Sp6g31960.1	Th2v21431, Th2v21430
OG0000117	Sp3g24200.1, Sp4g25600.1, Sp4g25610.1, Sp3g24100.1	Th2v03343, Th2v31327, Th2v13350, Th2v25972, Th2v13354, Th2v13352, Th2v13353, Th2v13355, Th2v13351, Th2v25973
OG0000120	Sp1g00910.1	Th2v07836, Th2v24542
OG0000120	Sp6g15380.1	Th2v28972, Th2v09721, Th2v26938
OG0000123	Sp5g02600.1, Sp4g27220.1, SpUn0031_0100.1	Th2v07064, Th2v18110
OG0000123	Sp3g24090.1	Th2v08541, Th2v19652
OG0000124	Sp5g25877.1, SpUn0004_0250.1, Sp5g18880.1	Th2v16742
OG0000124	Sp1g19405.1	Th2v24102, Th2v27441
OG0000124	Sp2g02943.1, Sp5g16405.1	Th2v31579
OG0000126	Sp6g26320.1, Sp3g02580.1, Sp3g02980.1	Th2v31160
OG0000128	Sp3g03500.1, Sp3g03510.1	Th2v00760, Th2v05131, Th2v05132
OG0000130	Sp3g25725.1	Th2v30545, Th2v31049
OG0000130	Sp5g19285.1, SpUn0293_0017.1, SpUn0040_0003.1	Th2v31400
OG0000130	SpUn0293_0015.1	Th2v30878, Th2v30652
OG0000130	Sp4g08820.1	Th2v30537, Th2v30941, Th2v30241, Th2v02964
OG0000132	SpUn0030_0110.1, Sp3g31720.1, Sp7g34210.1	Th2v03024, Th2v21531
OG0000132	Sp1g17380.1	Th2v05854
OG0000132	Sp5g30410.1	Th2v14619
OG0000132	Sp4g00810.1	Th2v12544
OG0000133	Sp5g26020.1, Sp5g26050.1, Sp5g26010.1, Sp5g26030.1	Th2v04051, Th2v25728, Th2v25729
OG0000137	Sp1g25420.1, Sp1g25440.1, Sp1g25370.1, Sp1g25430.1, Sp1g25360.1, Sp1g25450.1	Th2v26551
OG0000138	Sp5g33500.1, Sp4g15460.1, Sp1g15300.1, Sp6g09060.1, Sp4g22640.1, Sp1g21630.1	Th2v05972, Th2v21097
OG0000141	Sp6g03390.1	Th2v25360, Th2v31079
OG0000142	Sp5g12970.1, Sp3g26190.1, Sp1g33720.1, Sp5g16050.1, Sp7g11640.1, SpUn1230_0010.1, Sp5g12335.1	Th2v06241, Th2v14942, Th2v27452, Th2v00233, Th2v23931, Th2v12459, Th2v21615, Th2v17456, Th2v23679, Th2v30901, Th2v29447, Th2v11099, Th2v29770, Th2v10101, Th2v25178, Th2v29719
OG0000143	Sp3g16720.1, Sp2g28440.1	Th2v17659
OG0000144	Sp5g02320.1, Sp4g27590.1, Sp4g27600.1, Sp7g18740.1, Sp4g27620.1, Sp4g27610.1, Sp4g27630.1	Th2v12845, Th2v22535, Th2v07141, Th2v00713, Th2v07139, Th2v22537, Th2v07142, Th2v12846, Th2v22536
OG0000146	Sp7g32980.1, Sp7g32970.1, Sp7g32960.1, Sp3g30380.1, Sp3g30370.1, Sp3g30350.1, Sp3g30360.1	Th2v12130, Th2v12137
OG0000149	Sp1g41790.1	Th2v13403
OG0000149	Sp5g25410.1, Sp2g08080.1, Sp1g41770.1, Sp1g41780.1	Th2v13402
OG0000153	Sp6g20950.1, Sp1g28540.1, Sp6g21310.1, Sp6g21810.1, Sp6g21760.1, SpUn1070_0010.1	Th2v24202, Th2v24201, Th2v24203, Th2v24200, Th2v24204
OG0000154	Sp4g26560.1, Sp5g03070.1, Sp4g26550.1, Sp4g26540.1	Th2v31191, Th2v07114, Th2v18064
OG0000155	Sp4g13520.1	Th2v00749, Th2v15888
OG0000156	Sp6g18990.1, Sp2g15480.1, Sp2g15630.1, Sp2g15470.1, Sp2g15450.1, Sp2g15440.1, Sp2g15460.1	Th2v28524, Th2v28527
OG0000159	Sp1g38860.1, Sp1g35030.1, Sp7g03310.1, Sp1g12250.1	Th2v22006, Th2v28730, Th2v06471, Th2v15168, Th2v28732
OG0000161	Sp2g03860.1, Sp2g02500.1	Th2v19852
OG0000162	Sp2g05800.1, Sp2g10170.1, Sp2g14240.1, Sp2g05790.1	Th2v06156, Th2v14863
OG0000163	Sp3g23980.1, Sp3g23870.1, Sp3g23860.1, Sp3g23960.1, Sp3g24040.1, Sp3g24050.1, Sp3g24030.1	Th2v08546, Th2v08545, Th2v25209, Th2v25210
OG0000164	Sp7g20000.1, Sp6g04140.1	Th2v04403
OG0000166	Sp7g03130.1	Th2v11191, Th2v11196
OG0000167	Sp3g10720.1, Sp1g14350.1	Th2v10163
OG0000167	Sp3g07820.1, Sp6g40010.1, Sp6g40020.1, Sp2g05640.1	Th2v14287, Th2v22112, Th2v09213, Th2v17748, Th2v12608, Th2v08924, Th2v14466
OG0000170	Sp4g12440.1, Sp2g26350.1	Th2v07254
OG0000171	Sp6g03520.1, Sp6g04290.1	Th2v16193
OG0000172	Sp3g24340.1, Sp3g27670.1	Th2v18594, Th2v30880, Th2v30734, Th2v30989, Th2v31333, Th2v02956, Th2v31394, Th2v29978, Th2v30539, Th2v30363, Th2v31303, Th2v30055, Th2v30165, Th2v30352, Th2v30925, Th2v30646, Th2v30192, Th2v30945, Th2v31230, Th2v31228, Th2v30028, Th2v30915, Th2v30611, Th2v30743, Th2v31123, Th2v31129, Th2v30614, Th2v30934, Th2v29922, Th2v30618, Th2v30890, Th2v30162, Th2v30697, Th2v29907, Th2v30733, Th2v30774, Th2v30608, Th2v30912, Th2v30570, Th2v31309, Th2v30833, Th2v30591, Th2v30590, Th2v31355, Th2v31233, Th2v30832, Th2v31177, Th2v30906, Th2v31180, Th2v31428, Th2v31064, Th2v30422, Th2v30400, Th2v30836, Th2v30736, Th2v29893, Th2v31046, Th2v30495, Th2v30008, Th2v30962, Th2v30871, Th2v31011, Th2v30744, Th2v30359, Th2v30542, Th2v30935, Th2v31035, Th2v30609, Th2v10116, Th2v30798, Th2v31334, Th2v30996
OG0000173	Sp2g03710.1, Sp2g03770.1, Sp5g22450.1	Th2v11970, Th2v11980, Th2v23790, Th2v23791, Th2v27370, Th2v27371, Th2v23793, Th2v27369, Th2v11934, Th2v12111
OG0000174	Sp5g21840.1, Sp7g03900.1, Sp2g17750.1, Sp4g02860.1, Sp5g05290.1	Th2v00511
OG0000176	SpUn0008_0060.1, SpUn0041_0090.1, SpUn0016_0090.1, Sp3g23680.1, SpUn0002_0560.1, SpUn0516_0010.1, Sp4g04500.1, Sp3g27370.1, Sp7g07300.1, SpUn0394_0010.1, Sp1g21810.1, Sp5g19430.1, Sp7g08340.1, Sp7g09130.1, Sp3g24530.1, Sp4g08030.1, Sp3g24850.1, Sp3g24000.1, Sp7g07110.1, SpUn1028_0010.1, SpUn1035_0010.1, Sp6g11770.1, Sp4g05410.1, Sp1g33320.1, Sp3g26110.1, SpUn0016_0070.1, Sp3g27210.1, Sp7g09650.1, Sp7g05150.1, Sp7g10000.1, Sp5g19880.1, Sp4g06080.1, Sp4g06870.1, SpUn0158_0010.1, SpUn0002_0760.1, SpUn0035_0100.1, SpUn0005_0270.1, Sp7g03400.1, Sp3g25220.1, Sp3g25520.1, Sp3g26550.1, Sp3g25260.1, SpUn0002_0430.1, SpUn0001_0340.1, Sp4g07690.1, Sp4g07770.1, Sp4g09110.1, Sp4g06840.1, SpUn0045_0040.1, SpUn0043_0050.1, Sp6g12070.1, Sp7g10270.1, Sp4g07650.1, SpUn0043_0010.1, SpUn1243_0010.1, SpUn0016_0050.1, SpUn0016_0060.1, SpUn0016_0020.1, SpUn0041_0070.1, SpUn0005_0290.1, SpUn0150_0030.1, SpUn0144_0010.1, Sp7g08720.1, Sp5g18860.1, Sp7g08730.1, SpUn0002_0410.1, Sp7g06950.1, SpUn0041_0060.1, Sp4g07610.1, Sp1g30780.1, Sp3g23910.1, Sp7g06930.1, Sp5g18310.1, SpUn0016_0140.1, SpUn0112_0010.1, SpUn0016_0130.1, SpUn0112_0020.1, Sp7g06690.1	Th2v31107
OG0000178	Sp1g04760.1, SpUn1102_0010.1, Sp6g07490.1, Sp1g04320.1	Th2v08177, Th2v08160, Th2v08159
OG0000180	Sp1g17700.1, Sp5g30740.1	Th2v05693, Th2v05827, Th2v20775, Th2v20922
OG0000180	Sp7g32500.1	Th2v02305, Th2v02524, Th2v12572
OG0000182	Sp7g14460.1, Sp7g14440.1, Sp1g26920.1, Sp1g26930.1, Sp1g26940.1, Sp7g18420.1, Sp2g09660.1	Th2v16609
OG0000182	Sp2g13480.1	Th2v00065
OG0000183	Sp5g14170.1	Th2v13988
OG0000183	Sp2g24900.1, Sp2g24940.1, Sp5g14180.1, Sp5g14185.1, Sp5g14187.1	Th2v13987
OG0000186	SpUn0988_0010.1, Sp1g24835.1, Sp1g24830.1, Sp1g24820.1	Th2v01307, Th2v01308
OG0000190	Sp1g11250.1, Sp1g11260.1, Sp1g11270.1	Th2v06034, Th2v14743, Th2v06035, Th2v14744, Th2v20539, Th2v20540
OG0000191	Sp6g18380.1	Th2v02188, Th2v01645, Th2v12490
OG0000191	Sp3g33100.1, Sp7g27220.1	Th2v02189
OG0000191	Sp3g33090.1, Sp7g27230.1	Th2v01644, Th2v09531
OG0000192	Sp7g16080.1, Sp7g13560.1	Th2v27159
OG0000192	Sp1g01570.1, Sp6g01670.1	Th2v16340
OG0000192	Sp5g01220.1, Sp4g29000.1	Th2v07247, Th2v12980, Th2v22680
OG0000193	Sp1g35420.1, Sp3g15940.1	Th2v25548, Th2v26332, Th2v27637
OG0000193	Sp5g21260.1, Sp7g04500.1	Th2v00554, Th2v06285, Th2v14986
OG0000193	Sp6g27590.1	Th2v18588
OG0000194	Sp4g22790.1, Sp1g34650.1, Sp7g13200.1, Sp6g04670.1	Th2v06734
OG0000197	Sp2g17840.1, Sp6g09890.1, Sp6g15130.1	Th2v02682, Th2v02690, Th2v02687, Th2v02681, Th2v02692, Th2v29030, Th2v02691, Th2v02689, Th2v19142, Th2v20319, Th2v19150, Th2v19149, Th2v30073, Th2v19768, Th2v19769
OG0000199	Sp6g21520.1, Sp5g15550.1	Th2v18809, Th2v17860, Th2v21277
OG0000199	Sp6g39230.1, Sp3g08250.1, Sp5g08740.1	Th2v14614
OG0000201	Sp3g09390.1, Sp4g03630.1, Sp4g03720.1	Th2v12403, Th2v01847
OG0000203	Sp6g38430.1, Sp6g39340.1	Th2v16898, Th2v29156, Th2v29144, Th2v29157
OG0000205	Sp1g12420.1, Sp1g12430.1, Sp3g28690.1, Sp1g12450.1, Sp1g12440.1	Th2v28694
OG0000206	Sp2g06830.1	Th2v30276
OG0000206	Sp6g23650.1	Th2v14283, Th2v22107
OG0000211	Sp7g03550.1, Sp1g18850.1	Th2v09832
OG0000212	Sp2g07330.1	Th2v30640, Th2v30741, Th2v25118, Th2v28038, Th2v28922, Th2v30164, Th2v29859, Th2v30142
OG0000214	Sp6g04370.1, Sp6g04390.1, Sp6g04380.1	Th2v04419, Th2v10796
OG0000216	Sp3g12390.1	Th2v23694, Th2v26123
OG0000216	Sp7g15710.1	Th2v07402, Th2v10676
OG0000216	Sp5g33480.1, Sp3g12720.1, Sp3g12710.1	Th2v00910
OG0000218	Sp6g33840.1, SpUn1204_0010.1, Sp2g26200.1, Sp2g08430.1, Sp1g03080.1	Th2v08033, Th2v16117, Th2v19289, Th2v24582
OG0000219	Sp5g02207.1, Sp5g02203.1	Th2v04662, Th2v04663
OG0000220	Sp7g14110.1	Th2v24410, Th2v26018, Th2v31556, Th2v26019
OG0000222	Sp7g13630.1, Sp3g19640.1	Th2v26221
OG0000222	Sp1g10650.1, Sp2g02300.1	Th2v04921
OG0000222	Sp6g04510.1, Sp7g20270.1	Th2v04430
OG0000223	Sp3g18520.1	Th2v21819
OG0000223	Sp6g17360.1, Sp5g21930.1, Sp7g24660.1	Th2v09446, Th2v21656
OG0000226	Sp1g21550.1, Sp5g25130.1, Sp5g25170.1, Sp5g25160.1, Sp5g25150.1	Th2v07013
OG0000227	SpUn0270_0010.1, SpUn0270_0020.1, Sp1g21120.1, Sp7g03410.1, SpUn2053_0010.1, Sp7g16780.1	Th2v30189
OG0000228	Sp7g21310.1, Sp6g00460.1, Sp1g00700.1, Sp5g01970.1, Sp4g28030.1	Th2v07170, Th2v12873, Th2v22568, Th2v20231, Th2v20501, Th2v07809
OG0000229	Sp1g06280.1, SpUn0416_0020.1, Sp6g03620.1	Th2v04341
OG0000230	Sp1g25630.1	Th2v26562, Th2v26564
OG0000230	Sp1g25610.1, Sp1g25600.1, Sp1g25590.1, Sp1g25620.1	Th2v26563
OG0000234	Sp5g33440.1, Sp5g33470.1	Th2v10044
