Orthogroup	Thellungiella_parvula	Eutrema_salsugineum
OG0000019	Sp1g38470.1	EUTSA_v10011227mg, EUTSA_v10011248mg, EUTSA_v10011230mg
OG0000019	Sp6g12470.1	EUTSA_v10012629mg
OG0000019	Sp6g21350.1	EUTSA_v10012638mg
OG0000019	Sp6g21330.1	EUTSA_v10012805mg
OG0000019	Sp5g15300.1	EUTSA_v10003111mg
OG0000019	Sp4g11820.1	EUTSA_v10017766mg
OG0000019	Sp4g11770.1	EUTSA_v10017541mg, EUTSA_v10016227mg
OG0000019	Sp1g34570.1	EUTSA_v10006769mg, EUTSA_v10023262mg
OG0000023	Sp1g27610.1	EUTSA_v10028258mg, EUTSA_v10009680mg
OG0000024	Sp6g22630.1	EUTSA_v10012605mg
OG0000024	Sp2g05350.1	EUTSA_v10023235mg
OG0000024	Sp2g04960.1	EUTSA_v10023237mg, EUTSA_v10023945mg
OG0000024	Sp2g04760.1	EUTSA_v10024072mg
OG0000024	Sp3g23090.1	EUTSA_v10002442mg
OG0000025	Sp4g07220.1	EUTSA_v10002255mg, EUTSA_v10002198mg, EUTSA_v10002239mg, EUTSA_v10002251mg, EUTSA_v10002278mg, EUTSA_v10002291mg, EUTSA_v10002277mg, EUTSA_v10002218mg, EUTSA_v10002314mg, EUTSA_v10002224mg, EUTSA_v10002265mg, EUTSA_v10002305mg, EUTSA_v10002250mg, EUTSA_v10002207mg, EUTSA_v10002243mg, EUTSA_v10002161mg, EUTSA_v10002202mg, EUTSA_v10002263mg, EUTSA_v10002325mg, EUTSA_v10002260mg, EUTSA_v10002163mg, EUTSA_v10002222mg, EUTSA_v10002170mg, EUTSA_v10002276mg, EUTSA_v10002294mg
OG0000029	Sp6g39690.1	EUTSA_v10014018mg
OG0000031	Sp5g18230.1	EUTSA_v10011562mg
OG0000031	Sp7g03370.1, Sp7g04110.1	EUTSA_v10027789mg, EUTSA_v10028332mg, EUTSA_v10028223mg, EUTSA_v10028222mg, EUTSA_v10027798mg
OG0000031	Sp7g03460.1	EUTSA_v10019567mg
OG0000031	Sp7g03360.1, Sp7g03470.1	EUTSA_v10012401mg, EUTSA_v10027772mg, EUTSA_v10027812mg, EUTSA_v10027746mg, EUTSA_v10028103mg, EUTSA_v10019535mg, EUTSA_v10028269mg, EUTSA_v10009959mg, EUTSA_v10028237mg, EUTSA_v10028128mg, EUTSA_v10027767mg, EUTSA_v10009391mg
OG0000031	Sp6g18230.1	EUTSA_v10015524mg
OG0000031	Sp5g07520.1	EUTSA_v10010416mg
OG0000032	Sp7g03870.1	EUTSA_v10027672mg
OG0000032	Sp5g21920.1	EUTSA_v10019823mg, EUTSA_v10019689mg
OG0000032	Sp7g15860.1, Sp7g15830.1, Sp7g03770.1	EUTSA_v10028202mg
OG0000033	Sp2g03980.1	EUTSA_v10023255mg
OG0000033	Sp1g10900.1	EUTSA_v10006784mg
OG0000037	Sp5g08630.1, Sp4g19980.1	EUTSA_v10016809mg, EUTSA_v10010455mg
OG0000037	Sp3g16870.1	EUTSA_v10020906mg
OG0000037	Sp3g10340.1	EUTSA_v10020950mg
OG0000037	Sp5g15160.1, Sp6g21050.1	EUTSA_v10002572mg
OG0000037	Sp1g28660.1	EUTSA_v10028132mg
OG0000038	Sp4g09920.1	EUTSA_v10010336mg, EUTSA_v10010364mg, EUTSA_v10011064mg, EUTSA_v10010911mg, EUTSA_v10010427mg, EUTSA_v10011042mg, EUTSA_v10001210mg
OG0000039	Sp6g05930.1	EUTSA_v10028491mg
OG0000039	Sp6g06040.1	EUTSA_v10028508mg
OG0000039	Sp6g05940.1, Sp6g05950.1	EUTSA_v10029153mg
OG0000039	Sp6g05970.1	EUTSA_v10028502mg, EUTSA_v10029336mg
OG0000039	Sp6g05980.1	EUTSA_v10028499mg
OG0000040	Sp3g10450.1	EUTSA_v10003211mg
OG0000040	Sp1g26630.1	EUTSA_v10007675mg
OG0000040	Sp7g01830.1, Sp4g02040.1	EUTSA_v10000651mg
OG0000040	Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1	EUTSA_v10000461mg
OG0000040	Sp3g08720.1	EUTSA_v10020743mg
OG0000040	SpUn0245_0010.1	EUTSA_v10018572mg
OG0000041	Sp1g31430.1, SpUn0002_0370.1, Sp4g06340.1, Sp7g07960.1, Sp5g20030.1, SpUn0001_1070.1, Sp3g26420.1, Sp1g34590.1, Sp5g20720.1, Sp6g11390.1	EUTSA_v10002115mg
OG0000041	Sp6g04550.1, Sp2g07530.1, Sp6g09680.1, Sp6g04730.1, SpUn0257_0010.1, SpUn0025_0070.1, SpUn0606_0010.1, Sp1g33990.1, Sp5g17180.1, Sp7g10820.1, Sp5g18380.1, Sp6g10520.1, Sp4g07210.1, Sp3g26930.1, Sp7g07460.1, Sp6g07890.1, SpUn1776_0010.1, Sp1g32360.1, Sp3g23630.1, Sp6g11020.1, Sp4g04600.1, Sp6g10600.1, Sp7g03480.1, Sp7g08130.1, Sp5g21220.1, Sp6g10400.1, Sp4g05320.1, SpUn0001_0870.1, Sp6g09170.1, Sp6g11310.1	EUTSA_v10012328mg
OG0000041	Sp7g09260.1, Sp1g16530.1, Sp3g28380.1	EUTSA_v10003397mg, EUTSA_v10017779mg, EUTSA_v10005260mg, EUTSA_v10027529mg, EUTSA_v10019512mg, EUTSA_v10011992mg, EUTSA_v10003335mg, EUTSA_v10000620mg, EUTSA_v10005429mg, EUTSA_v10005542mg, EUTSA_v10002297mg, EUTSA_v10015762mg, EUTSA_v10022993mg, EUTSA_v10009841mg, EUTSA_v10002827mg, EUTSA_v10015514mg, EUTSA_v10012321mg, EUTSA_v10011945mg, EUTSA_v10019737mg, EUTSA_v10002274mg, EUTSA_v10001142mg, EUTSA_v10027058mg, EUTSA_v10028246mg, EUTSA_v10026902mg, EUTSA_v10015686mg
OG0000042	Sp5g03990.1	EUTSA_v10005914mg, EUTSA_v10005932mg
OG0000042	Sp5g03860.1	EUTSA_v10006456mg
OG0000042	Sp3g28560.1, Sp3g28550.1, Sp3g28540.1	EUTSA_v10022609mg
OG0000043	Sp5g14630.1	EUTSA_v10010172mg, EUTSA_v10010088mg
OG0000043	Sp6g23980.1	EUTSA_v10015316mg
OG0000043	Sp2g09620.1	EUTSA_v10001203mg, EUTSA_v10000757mg
OG0000043	Sp1g34070.1	EUTSA_v10012566mg
OG0000044	Sp3g04430.1, Sp3g28660.1	EUTSA_v10022427mg
OG0000044	Sp2g02570.1	EUTSA_v10024090mg
OG0000044	Sp7g03520.1	EUTSA_v10028140mg
OG0000044	Sp2g02550.1	EUTSA_v10023447mg
OG0000044	Sp2g02100.1	EUTSA_v10023467mg, EUTSA_v10023461mg, EUTSA_v10024124mg, EUTSA_v10024076mg, EUTSA_v10023505mg, EUTSA_v10024167mg, EUTSA_v10023470mg, EUTSA_v10024133mg, EUTSA_v10019750mg, EUTSA_v10023445mg, EUTSA_v10023472mg, EUTSA_v10023868mg, EUTSA_v10023911mg, EUTSA_v10023838mg
OG0000044	Sp2g02110.1	EUTSA_v10023457mg
OG0000045	Sp7g21190.1	EUTSA_v10024603mg
OG0000045	Sp7g21200.1	EUTSA_v10000811mg
OG0000045	Sp1g30740.1, Sp1g30850.1	EUTSA_v10024843mg
OG0000046	Sp2g10050.1	EUTSA_v10001215mg
OG0000046	Sp2g10150.1	EUTSA_v10000021mg
OG0000046	Sp2g10140.1	EUTSA_v10000019mg
OG0000046	Sp2g10100.1	EUTSA_v10000747mg
OG0000048	Sp1g29630.1	EUTSA_v10015409mg, EUTSA_v10016056mg, EUTSA_v10009839mg, EUTSA_v10019697mg
OG0000048	Sp7g08750.1, Sp4g06220.1	EUTSA_v10002819mg
OG0000049	Sp1g30605.1	EUTSA_v10002288mg, EUTSA_v10022494mg, EUTSA_v10024100mg, EUTSA_v10029343mg, EUTSA_v10023825mg, EUTSA_v10015352mg, EUTSA_v10002275mg, EUTSA_v10005675mg, EUTSA_v10023867mg, EUTSA_v10005333mg, EUTSA_v10012191mg
OG0000050	Sp7g35840.1, Sp7g35830.1	EUTSA_v10026962mg, EUTSA_v10014984mg, EUTSA_v10019309mg
OG0000050	Sp6g31050.1	EUTSA_v10015270mg
OG0000051	Sp6g34560.1	EUTSA_v10015314mg
OG0000051	Sp2g16170.1	EUTSA_v10005506mg
OG0000051	Sp7g00950.1	EUTSA_v10028016mg
OG0000051	Sp7g00940.1	EUTSA_v10028017mg
OG0000051	Sp3g00160.1	EUTSA_v10021883mg
OG0000051	Sp6g12730.1	EUTSA_v10015879mg
OG0000051	Sp5g13350.1	EUTSA_v10010885mg
OG0000051	Sp2g26580.1	EUTSA_v10005243mg
OG0000053	Sp6g23330.1, Sp5g17420.1	EUTSA_v10002700mg
OG0000053	Sp7g04290.1	EUTSA_v10027976mg, EUTSA_v10019293mg
OG0000053	Sp7g12750.1	EUTSA_v10026490mg
OG0000053	Sp3g20610.1	EUTSA_v10021692mg
OG0000053	Sp5g05790.1, Sp4g23420.1	EUTSA_v10002103mg
OG0000054	Sp1g10770.1	EUTSA_v10009061mg
OG0000054	Sp2g02080.1	EUTSA_v10023747mg
OG0000054	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1	EUTSA_v10029060mg
OG0000054	Sp4g27230.1, SpUn0031_0090.1	EUTSA_v10001680mg
OG0000054	Sp6g04960.1	EUTSA_v10029045mg
OG0000054	SpUn0055_0010.1, Sp6g04970.1	EUTSA_v10029313mg
OG0000054	Sp7g20540.1	EUTSA_v10026536mg
OG0000057	Sp6g19080.1	EUTSA_v10015530mg
OG0000057	Sp1g15390.1	EUTSA_v10006710mg
OG0000057	Sp5g02900.1	EUTSA_v10005774mg
OG0000057	Sp2g25850.1	EUTSA_v10003603mg
OG0000057	Sp5g35100.1	EUTSA_v10018080mg
OG0000057	Sp5g18280.1	EUTSA_v10002391mg
OG0000057	Sp3g25350.1	EUTSA_v10002390mg
OG0000057	Sp7g28060.1	EUTSA_v10024335mg
OG0000057	Sp3g32410.1	EUTSA_v10022531mg
OG0000060	Sp4g11580.1	EUTSA_v10017370mg
OG0000060	Sp6g22520.1	EUTSA_v10014958mg
OG0000060	Sp3g07850.1	EUTSA_v10017408mg
OG0000060	Sp5g08710.1	EUTSA_v10010811mg
OG0000060	Sp6g21620.1	EUTSA_v10014927mg
OG0000062	Sp3g18120.1	EUTSA_v10022051mg
OG0000064	Sp3g33520.1	EUTSA_v10001881mg
OG0000064	Sp7g26710.1	EUTSA_v10024210mg
OG0000064	Sp2g08710.1	EUTSA_v10003130mg
OG0000064	Sp1g02980.1	EUTSA_v10006554mg
OG0000064	Sp4g14250.1	EUTSA_v10016137mg
OG0000064	Sp1g15710.1	EUTSA_v10006551mg
OG0000064	Sp6g23970.1	EUTSA_v10012431mg
OG0000064	Sp5g04560.1	EUTSA_v10006411mg
OG0000064	SpUn0001_0160.1	EUTSA_v10023213mg
OG0000064	Sp1g07380.1	EUTSA_v10006560mg
OG0000065	Sp5g30900.1	EUTSA_v10018544mg
OG0000065	Sp2g09180.1	EUTSA_v10003210mg
OG0000065	Sp7g18980.1	EUTSA_v10025207mg
OG0000065	Sp6g31390.1	EUTSA_v10013524mg
OG0000065	Sp2g23430.1	EUTSA_v10004208mg
OG0000065	Sp4g12280.1	EUTSA_v10016651mg
OG0000065	Sp2g25870.1	EUTSA_v10005520mg
OG0000065	Sp5g14830.1	EUTSA_v10010368mg, EUTSA_v10010369mg
OG0000066	Sp7g00780.1	EUTSA_v10009833mg, EUTSA_v10009725mg, EUTSA_v10009578mg
OG0000068	Sp5g31070.1	EUTSA_v10019260mg
OG0000068	Sp1g35760.1, Sp1g35770.1, Sp1g36050.1	EUTSA_v10011957mg, EUTSA_v10012113mg, EUTSA_v10012186mg, EUTSA_v10012032mg, EUTSA_v10012272mg, EUTSA_v10012026mg, EUTSA_v10012363mg, EUTSA_v10012168mg, EUTSA_v10012355mg
OG0000070	Sp7g36970.1	EUTSA_v10026642mg
OG0000070	Sp4g00400.1	EUTSA_v10000385mg
OG0000070	Sp3g31440.1	EUTSA_v10023080mg
OG0000070	Sp7g33890.1	EUTSA_v10026647mg
OG0000070	Sp5g30700.1	EUTSA_v10019345mg
OG0000070	Sp1g17620.1	EUTSA_v10009412mg
OG0000070	Sp3g29850.1	EUTSA_v10023118mg
OG0000070	Sp7g32540.1	EUTSA_v10026631mg
OG0000071	Sp4g12490.1	EUTSA_v10016490mg
OG0000072	Sp5g21400.1	EUTSA_v10011039mg, EUTSA_v10003362mg
OG0000072	Sp7g12150.1, Sp7g02510.1	EUTSA_v10022239mg, EUTSA_v10017745mg, EUTSA_v10002853mg
OG0000074	Sp6g20800.1	EUTSA_v10015491mg
OG0000074	Sp5g14890.1	EUTSA_v10010149mg
OG0000074	Sp6g20890.1	EUTSA_v10015507mg
OG0000074	Sp6g22300.1	EUTSA_v10015822mg
OG0000074	Sp6g20510.1	EUTSA_v10015631mg, EUTSA_v10012810mg, EUTSA_v10012872mg, EUTSA_v10015939mg
OG0000074	Sp6g20870.1	EUTSA_v10012780mg
OG0000076	Sp4g08780.1, Sp4g07410.1, SpUn0004_0210.1	EUTSA_v10009492mg
OG0000076	Sp1g31060.1, Sp4g06100.1, Sp6g08450.1, Sp1g34520.1, Sp3g33160.1, Sp4g04140.1	EUTSA_v10005664mg
OG0000077	Sp4g15410.1	EUTSA_v10017694mg, EUTSA_v10016323mg, EUTSA_v10016279mg, EUTSA_v10016266mg, EUTSA_v10016267mg
OG0000077	Sp4g15360.1	EUTSA_v10016223mg
OG0000077	Sp4g14900.1	EUTSA_v10022625mg
OG0000078	Sp1g17860.1	EUTSA_v10008827mg
OG0000078	Sp5g30980.1	EUTSA_v10019171mg
OG0000078	Sp7g32780.1	EUTSA_v10026291mg
OG0000078	Sp3g29990.1	EUTSA_v10022857mg
OG0000078	Sp2g10850.1	EUTSA_v10001030mg
OG0000078	Sp7g33730.1	EUTSA_v10026296mg
OG0000078	Sp3g31210.1	EUTSA_v10022861mg
OG0000079	Sp4g04890.1	EUTSA_v10000022mg
OG0000079	Sp7g30200.1	EUTSA_v10024278mg
OG0000079	Sp6g37660.1	EUTSA_v10012528mg
OG0000079	Sp2g08870.1	EUTSA_v10003137mg
OG0000079	Sp6g26800.1	EUTSA_v10012538mg
OG0000079	Sp7g36530.1	EUTSA_v10024277mg
OG0000079	Sp2g27810.1	EUTSA_v100035740mg, EUTSA_v100035741mg
OG0000079	Sp6g33540.1	EUTSA_v10012521mg
OG0000083	Sp7g23370.1	EUTSA_v10024522mg
OG0000083	Sp1g22080.1	EUTSA_v10028451mg, EUTSA_v10006900mg
OG0000083	Sp1g12400.1	EUTSA_v10006818mg
OG0000083	Sp2g14180.1	EUTSA_v10003709mg
OG0000083	Sp2g14170.1	EUTSA_v10003656mg
OG0000084	Sp7g25920.1	EUTSA_v10026967mg
OG0000084	Sp6g15450.1	EUTSA_v10014941mg
OG0000084	Sp7g00370.1	EUTSA_v10027977mg
OG0000084	Sp2g00510.1	EUTSA_v10023744mg
OG0000084	Sp3g29980.1	EUTSA_v10022898mg
OG0000084	Sp6g18000.1	EUTSA_v10014935mg
OG0000084	Sp3g07130.1	EUTSA_v10021705mg
OG0000085	Sp3g09080.1	EUTSA_v10022347mg
OG0000085	Sp5g13500.1	EUTSA_v10011126mg
OG0000086	Sp7g23620.1	EUTSA_v10026532mg
OG0000086	Sp1g00550.1	EUTSA_v10009057mg
OG0000086	Sp6g00670.1	EUTSA_v10029050mg
OG0000086	Sp5g15590.1	EUTSA_v10002704mg
OG0000086	Sp6g21590.1	EUTSA_v10014975mg
OG0000086	Sp5g15610.1	EUTSA_v10002714mg
OG0000087	Sp3g27040.1, Sp4g06670.1, Sp6g08540.1, Sp3g26320.1	EUTSA_v10009558mg, EUTSA_v10009736mg
OG0000087	Sp5g13100.1, SpUn1024_0010.1	EUTSA_v10017956mg
OG0000088	Sp6g21910.1	EUTSA_v10012788mg
OG0000088	Sp6g21880.1	EUTSA_v10012889mg
OG0000088	Sp6g21890.1	EUTSA_v10012851mg
OG0000088	Sp5g15950.1	EUTSA_v10002842mg
OG0000088	Sp5g15970.1	EUTSA_v10002427mg
OG0000088	Sp6g21920.1	EUTSA_v10015671mg
OG0000089	Sp7g02635.1	EUTSA_v10000512mg
OG0000090	Sp4g12090.1, Sp4g12160.1	EUTSA_v10017106mg
OG0000090	Sp1g06180.1	EUTSA_v10009420mg
OG0000090	Sp4g12060.1	EUTSA_v10017079mg, EUTSA_v10017118mg
OG0000090	Sp4g12080.1	EUTSA_v10017657mg
OG0000094	Sp2g03130.1	EUTSA_v10023284mg
OG0000094	Sp4g04840.1	EUTSA_v10023836mg, EUTSA_v10023852mg
OG0000094	Sp2g03110.1	EUTSA_v10023295mg
OG0000094	Sp2g03120.1	EUTSA_v10023279mg, EUTSA_v10023335mg
OG0000094	Sp1g09940.1	EUTSA_v10006804mg
OG0000094	Sp2g03140.1	EUTSA_v10023278mg
OG0000095	Sp7g21600.1	EUTSA_v10026489mg
OG0000095	Sp7g21610.1	EUTSA_v10026372mg
OG0000096	Sp5g29380.1	EUTSA_v10018087mg, EUTSA_v10018093mg, EUTSA_v10018082mg, EUTSA_v10018202mg, EUTSA_v10018158mg, EUTSA_v10018074mg
OG0000098	Sp4g17010.1, Sp4g18670.1	EUTSA_v10016140mg
OG0000098	Sp4g08450.1	EUTSA_v10001880mg
OG0000098	Sp2g18270.1	EUTSA_v10005611mg
OG0000098	Sp1g13880.1	EUTSA_v10006564mg
OG0000098	Sp1g13520.1	EUTSA_v10006563mg
OG0000098	Sp5g36020.1	EUTSA_v10018005mg
OG0000098	Sp3g14720.1	EUTSA_v10019897mg
OG0000099	Sp6g29370.1	EUTSA_v10014797mg
OG0000099	Sp1g09310.1, Sp2g04250.1	EUTSA_v10008885mg
OG0000103	Sp6g06900.1	EUTSA_v10028454mg
OG0000103	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1	EUTSA_v10027359mg, EUTSA_v10024480mg
OG0000103	Sp6g06870.1	EUTSA_v10028468mg, EUTSA_v10028448mg
OG0000103	Sp1g28060.1	EUTSA_v10006855mg
OG0000103	Sp1g28020.1	EUTSA_v10006863mg
OG0000104	Sp4g24190.1	EUTSA_v10016824mg
OG0000104	Sp4g12780.1	EUTSA_v10017904mg
OG0000104	Sp1g33950.1	EUTSA_v10012027mg, EUTSA_v10012148mg, EUTSA_v10012166mg, EUTSA_v10012137mg, EUTSA_v10027196mg, EUTSA_v10000714mg, EUTSA_v10019424mg, EUTSA_v10015481mg, EUTSA_v10019430mg
OG0000104	Sp6g31530.1	EUTSA_v10015480mg
OG0000104	Sp5g13700.1, Sp4g24500.1	EUTSA_v10017907mg
OG0000106	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1	EUTSA_v10019959mg
OG0000106	Sp2g25130.1	EUTSA_v10005405mg, EUTSA_v10005598mg, EUTSA_v10005669mg
OG0000108	Sp5g07750.1	EUTSA_v10010274mg
OG0000108	Sp4g21310.1	EUTSA_v10016497mg
OG0000109	Sp1g38180.1	EUTSA_v10012297mg
OG0000109	Sp7g14520.1	EUTSA_v10027173mg
OG0000109	Sp1g38170.1	EUTSA_v10012017mg
OG0000109	Sp1g37590.1	EUTSA_v10011263mg, EUTSA_v10011749mg
OG0000112	Sp7g12400.1, Sp3g28520.1, Sp7g03450.1	EUTSA_v10027422mg
OG0000113	Sp7g01320.1	EUTSA_v10027779mg, EUTSA_v10027744mg
OG0000114	Sp7g13940.1	EUTSA_v10026652mg, EUTSA_v10027082mg, EUTSA_v10027336mg
OG0000114	Sp7g13950.1	EUTSA_v10027374mg
OG0000115	Sp6g26490.1	EUTSA_v10015279mg, EUTSA_v10013330mg
OG0000115	Sp3g31620.1	EUTSA_v10022958mg
OG0000115	Sp5g11280.1	EUTSA_v10010287mg, EUTSA_v10023809mg
OG0000116	Sp2g22120.1	EUTSA_v10005554mg
OG0000116	Sp6g39360.1	EUTSA_v10000484mg, EUTSA_v10015555mg
OG0000116	Sp6g31960.1	EUTSA_v10015562mg, EUTSA_v10015383mg
OG0000117	Sp3g24200.1	EUTSA_v10001746mg
OG0000117	Sp3g24100.1	EUTSA_v10001697mg
OG0000118	SpUn0003_0140.1	EUTSA_v10029194mg
OG0000118	Sp7g04630.1, Sp5g28990.1, Sp2g02350.1, Sp1g34110.1	EUTSA_v10026817mg, EUTSA_v10009777mg
OG0000119	Sp1g31660.1	EUTSA_v10001524mg
OG0000120	Sp1g00910.1	EUTSA_v10009233mg
OG0000120	Sp6g01080.1	EUTSA_v10029104mg
OG0000120	Sp4g28430.1	EUTSA_v10001695mg
OG0000121	Sp5g30950.1	EUTSA_v10019398mg
OG0000121	Sp5g30970.1	EUTSA_v10019396mg
OG0000123	Sp5g02600.1	EUTSA_v10006314mg
OG0000123	Sp7g15090.1	EUTSA_v10026582mg
OG0000123	Sp2g02520.1	EUTSA_v10023763mg
OG0000124	Sp5g18880.1	EUTSA_v10011978mg
OG0000124	Sp3g26345.1	EUTSA_v10002979mg, EUTSA_v10029485mg, EUTSA_v10003107mg, EUTSA_v10012212mg, EUTSA_v10002201mg, EUTSA_v10003354mg
OG0000124	Sp3g23235.1, Sp1g19405.1, Sp2g02943.1, Sp5g16405.1	EUTSA_v10029155mg
OG0000124	Sp3g24930.1	EUTSA_v10002805mg
OG0000124	Sp5g16780.1	EUTSA_v10027425mg, EUTSA_v10009346mg
OG0000125	Sp4g03230.1, Sp4g03220.1	EUTSA_v10000198mg
OG0000126	Sp3g02580.1	EUTSA_v10028291mg
OG0000128	Sp3g03500.1	EUTSA_v10022001mg
OG0000129	Sp5g16370.1, Sp1g27690.1	EUTSA_v10017596mg, EUTSA_v10009548mg
OG0000132	SpUn0030_0110.1, Sp3g31720.1	EUTSA_v10023187mg
OG0000132	Sp7g34210.1	EUTSA_v10026710mg
OG0000132	Sp1g17380.1	EUTSA_v10009748mg
OG0000132	Sp5g30410.1	EUTSA_v10019367mg
OG0000132	Sp4g00810.1	EUTSA_v10000389mg
OG0000133	Sp5g26010.1	EUTSA_v10019117mg
OG0000133	Sp5g26030.1	EUTSA_v10019433mg
OG0000134	Sp6g04660.1	EUTSA_v10028756mg
OG0000134	Sp2g11320.1	EUTSA_v10000753mg
OG0000134	Sp2g11310.1	EUTSA_v10001229mg
OG0000134	Sp3g28820.1	EUTSA_v10001234mg
OG0000137	Sp1g25440.1	EUTSA_v10009397mg, EUTSA_v10009068mg
OG0000137	Sp1g25370.1	EUTSA_v10009028mg
OG0000137	Sp1g25360.1, Sp1g25450.1	EUTSA_v10009049mg, EUTSA_v10009531mg
OG0000138	Sp5g33500.1	EUTSA_v10018650mg
OG0000138	Sp4g15460.1	EUTSA_v10017763mg
OG0000138	Sp1g15300.1	EUTSA_v10009641mg
OG0000138	Sp4g22640.1, Sp1g21630.1	EUTSA_v10017738mg
OG0000141	Sp6g03390.1	EUTSA_v10011433mg
OG0000143	Sp3g16720.1	EUTSA_v10022126mg
OG0000143	Sp2g28440.1	EUTSA_v10005313mg
OG0000144	Sp5g02320.1	EUTSA_v10005888mg
OG0000144	Sp4g27590.1, Sp4g27600.1	EUTSA_v10010304mg
OG0000144	Sp7g18740.1, Sp4g27620.1	EUTSA_v10016531mg
OG0000144	Sp4g27610.1	EUTSA_v10001282mg
OG0000144	Sp4g27630.1	EUTSA_v10001412mg
OG0000146	Sp7g32970.1	EUTSA_v10027560mg, EUTSA_v10027348mg
OG0000146	Sp7g32960.1	EUTSA_v10026047mg
OG0000146	Sp3g30360.1	EUTSA_v10023068mg
OG0000149	Sp1g41790.1	EUTSA_v10012006mg
OG0000149	Sp5g25410.1	EUTSA_v10018064mg
OG0000149	Sp2g08080.1	EUTSA_v10019658mg, EUTSA_v10016175mg
OG0000149	Sp1g41770.1	EUTSA_v10012222mg
