Orthogroup	Thellungiella_parvula	Arabis_alpina
OG0000020	Sp6g10010.1	AALP_AA2G078500, AALP_AAs41740U000100, AALP_AA1G196900, AALP_AAs50609U000200, AALP_AA7G118900, AALP_AA1G180100, AALP_AA6G219900, AALP_AAs55088U000200, AALP_AAs39296U000100, AALP_AAs74635U000300, AALP_AA8G163800, AALP_AAs73797U000100, AALP_AAs60946U000300, AALP_AAs42893U000200, AALP_AAs73343U000100, AALP_AAs60104U000600, AALP_AAs62636U000100, AALP_AA6G222800, AALP_AAs75038U000200, AALP_AA6G196400, AALP_AA4G015400, AALP_AA6G220000, AALP_AAs41740U000200, AALP_AA2G109600, AALP_AA7G152700, AALP_AA4G103000, AALP_AA8G193100, AALP_AA6G186300, AALP_AAs73299U000200, AALP_AA7G154700, AALP_AA6G337800, AALP_AA7G056100, AALP_AAs67875U000200, AALP_AA7G093000, AALP_AA6G188500, AALP_AA8G265600, AALP_AA6G203100, AALP_AAs50665U000700, AALP_AA2G083600, AALP_AA8G314300, AALP_AA8G274900, AALP_AA6G192500, AALP_AA8G165400, AALP_AAs44530U000100, AALP_AAs39993U000300, AALP_AA8G267300, AALP_AA2G072500, AALP_AA4G208900, AALP_AA7G055800, AALP_AA2G105100, AALP_AA7G153800, AALP_AAs46422U000100, AALP_AAs72208U000100, AALP_AAs71535U000400, AALP_AA8G357600, AALP_AAs44880U000200, AALP_AA5G157100, AALP_AA6G336600, AALP_AA5G135600, AALP_AA6G192600, AALP_AA2G048800, AALP_AA2G048900, AALP_AA1G342800, AALP_AA2G072400, AALP_AAs55885U000100, AALP_AAs60350U000200, AALP_AA8G186900, AALP_AAs40209U000100, AALP_AA6G244400, AALP_AA7G101800, AALP_AA7G142900, AALP_AA6G299800, AALP_AAs53151U000100, AALP_AA3G283200, AALP_AA6G195400, AALP_AA6G259900, AALP_AA2G019700, AALP_AA7G195400, AALP_AA6G235500, AALP_AAs73735U000300, AALP_AAs49362U000200, AALP_AA4G103100, AALP_AA7G063800, AALP_AA3G299300, AALP_AA4G073400, AALP_AA6G229400, AALP_AA7G137800, AALP_AAs63292U000100, AALP_AAs43195U000100, AALP_AA7G137700, AALP_AA2G071900, AALP_AA8G270500, AALP_AA6G110500, AALP_AA7G093200, AALP_AAs56774U000300, AALP_AAs56774U000100, AALP_AAs67825U000100, AALP_AA6G229500, AALP_AA7G055600, AALP_AAs69785U000100, AALP_AA6G246100, AALP_AAs43988U000100, AALP_AAs49767U000200, AALP_AAs61185U000200, AALP_AAs50814U000100, AALP_AAs50814U000200, AALP_AA3G343300, AALP_AA8G296700, AALP_AA6G200800, AALP_AAs58988U000100, AALP_AAs54771U000100, AALP_AAs42893U000900, AALP_AA7G146800, AALP_AA7G060400, AALP_AA6G219000, AALP_AA3G265400, AALP_AA4G103800, AALP_AA7G125800, AALP_AAs70313U000100, AALP_AAs52820U000100, AALP_AAs60122U000100, AALP_AA4G103700, AALP_AA3G247500, AALP_AA8G247100, AALP_AA6G092200, AALP_AA7G121000, AALP_AA1G149600, AALP_AA6G108100, AALP_AA1G165000, AALP_AA2G084200, AALP_AAs67853U000100, AALP_AAs68732U000100, AALP_AA1G343400, AALP_AA8G194500, AALP_AA3G249500, AALP_AA8G277100, AALP_AA3G275200, AALP_AAs67435U000100, AALP_AA6G287300, AALP_AAs67875U000400, AALP_AAs49101U000200, AALP_AA7G169700, AALP_AA6G230200, AALP_AA2G165500, AALP_AA7G054000, AALP_AA2G090900, AALP_AAs44858U000300, AALP_AAs74593U000100, AALP_AA3G240100, AALP_AAs68695U000300, AALP_AA2G042400, AALP_AA3G300100, AALP_AAs59053U000100, AALP_AA8G346100, AALP_AAs42214U000100, AALP_AA2G088800, AALP_AA7G216000, AALP_AA6G092100, AALP_AAs48615U000400, AALP_AAs60876U000100, AALP_AAs72829U000100, AALP_AAs68711U000100, AALP_AAs59243U000100, AALP_AA2G089000, AALP_AAs39862U000100, AALP_AA8G153300, AALP_AAs52695U000100, AALP_AAs53942U000100, AALP_AAs58182U000100, AALP_AA2G074800, AALP_AAs65984U000200, AALP_AA1G200400, AALP_AAs41372U000100, AALP_AA8G393400, AALP_AAs60350U000100, AALP_AA1G338900, AALP_AAs50054U000100, AALP_AAs69126U000100, AALP_AAs65158U000100, AALP_AA2G099000, AALP_AA5G046600, AALP_AAs39759U000100, AALP_AAs62195U000100, AALP_AAs44740U000100, AALP_AAs47289U000100, AALP_AA1G178700, AALP_AAs68684U000100, AALP_AA6G255000, AALP_AAs55437U000100, AALP_AAs50883U000100, AALP_AA6G335900, AALP_AAs69984U000100, AALP_AAs63346U000100, AALP_AAs43732U000100, AALP_AA2G058100, AALP_AAs53687U000100, AALP_AA3G286800, AALP_AAs61233U000100, AALP_AAs42440U000100, AALP_AA6G022700, AALP_AA3G293400, AALP_AAs64964U000100, AALP_AAs48625U000100, AALP_AAs40207U000100, AALP_AAs42616U000100, AALP_AA7G138100, AALP_AAs47133U000100, AALP_AA3G348600, AALP_AAs43319U000100, AALP_AAs66767U000100, AALP_AAs42339U000100, AALP_AAs53620U000200, AALP_AAs51340U000100, AALP_AAs73982U000100, AALP_AAs72514U000100, AALP_AAs66543U000100, AALP_AA6G241100, AALP_AA6G229900, AALP_AA6G125000, AALP_AA7G136500, AALP_AAs74511U000100, AALP_AA2G040500, AALP_AA2G181300
OG0000030	Sp2g01710.1	AALP_AA2G029900
OG0000031	Sp5g18230.1	AALP_AAs47338U000100
OG0000031	Sp5g07520.1	AALP_AA5G194400
OG0000032	Sp7g03870.1, Sp7g03860.1	AALP_AA6G351400
OG0000032	Sp5g21920.1	AALP_AA2G243300
OG0000033	Sp2g03980.1	AALP_AA2G014400, AALP_AA3G336200, AALP_AAs55447U000100, AALP_AA2G014600, AALP_AA2G015600
OG0000037	Sp3g16870.1	AALP_AAs41934U000200
OG0000037	Sp1g36120.1	AALP_AAs39419U000100
OG0000038	Sp4g09920.1	AALP_AA8G168300
OG0000039	Sp7g21250.1, Sp7g05450.1, Sp7g21210.1	AALP_AA7G059700
OG0000039	Sp7g21010.1	AALP_AA7G059500
OG0000039	Sp6g05940.1, Sp6g05950.1	AALP_AAs50850U000200
OG0000039	Sp6g05970.1	AALP_AA6G305600
OG0000040	Sp6g27520.1, Sp6g27530.1	AALP_AA8G176200, AALP_AA8G174700
OG0000040	Sp3g10450.1	AALP_AA3G132700
OG0000040	Sp7g01830.1, Sp4g02040.1, Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1, Sp4g02020.1, Sp4g02060.1	AALP_AA2G118800
OG0000040	Sp3g08720.1	AALP_AA3G112600, AALP_AA3G112800, AALP_AA3G112700
OG0000040	SpUn0245_0010.1	AALP_AA3G248300
OG0000042	Sp5g03990.1	AALP_AA5G239800, AALP_AA5G240300
OG0000042	Sp3g28560.1, Sp3g28550.1, Sp3g28540.1	AALP_AA3G317500
OG0000043	Sp1g34070.1	AALP_AA5G105200
OG0000044	Sp3g04430.1, Sp3g28660.1	AALP_AA3G052900
OG0000044	Sp2g02570.1	AALP_AAs50016U000200
OG0000044	Sp2g02100.1	AALP_AA2G021700, AALP_AA3G075200
OG0000044	Sp2g02560.1, Sp2g02600.1	AALP_AA2G020700, AALP_AA2G016400, AALP_AA2G016300, AALP_AA2G021800, AALP_AAs60874U000100
OG0000045	Sp7g21190.1	AALP_AA6G028000
OG0000045	Sp7g21200.1	AALP_AAs48628U000100, AALP_AAs43447U000100
OG0000045	Sp1g30740.1, Sp1g30850.1	AALP_AA7G174300, AALP_AA6G028200
OG0000046	Sp2g10050.1	AALP_AAs52473U000100
OG0000046	Sp2g10160.1	AALP_AAs46094U000200
OG0000046	Sp2g10140.1	AALP_AA6G131200
OG0000046	Sp2g10100.1, Sp2g10070.1	AALP_AAs46094U000400
OG0000048	Sp1g29630.1	AALP_AA2G183700, AALP_AA8G459300
OG0000048	Sp7g08750.1, Sp4g06220.1	AALP_AAs49867U000100
OG0000050	Sp7g35840.1, Sp7g35830.1	AALP_AA2G198300, AALP_AA6G242400
OG0000051	Sp6g34560.1	AALP_AA8G080900
OG0000051	Sp3g00160.1	AALP_AA3G010600
OG0000051	Sp5g13350.1	AALP_AA5G109200
OG0000051	Sp2g26580.1	AALP_AA8G466600
OG0000053	Sp6g23330.1, Sp5g17420.1	AALP_AA5G069900
OG0000053	Sp7g12750.1	AALP_AAs70636U001500
OG0000053	Sp3g20610.1	AALP_AA3G262000
OG0000053	Sp4g08270.1	AALP_AA8G238300
OG0000053	Sp5g05790.1, Sp4g23420.1	AALP_AA6G241500
OG0000054	Sp1g10770.1	AALP_AA1G129700
OG0000054	Sp2g02080.1	AALP_AA8G178400
OG0000054	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1	AALP_AA6G185200
OG0000054	Sp4g27230.1, SpUn0031_0090.1	AALP_AA4G240600
OG0000054	Sp7g20540.1	AALP_AA7G051200
OG0000057	Sp6g19080.1	AALP_AA8G362400
OG0000057	Sp4g03520.1	AALP_AA6G270500
OG0000057	Sp5g35100.1	AALP_AA2G258100
OG0000057	Sp5g18280.1	AALP_AA5G067500
OG0000057	Sp3g25350.1	AALP_AA3G306500
OG0000057	Sp7g28060.1	AALP_AA7G152400
OG0000057	Sp3g32410.1	AALP_AA3G353600
OG0000060	Sp4g11580.1	AALP_AA6G220100
OG0000060	Sp6g22520.1	AALP_AA8G405800
OG0000060	Sp3g07850.1	AALP_AA8G015300
OG0000060	Sp5g08710.1	AALP_AA5G168600
OG0000060	Sp5g15620.1, Sp6g21620.1	AALP_AA8G395500
OG0000060	Sp5g15570.1	AALP_AA5G084100, AALP_AA5G084300
OG0000062	Sp7g09440.1, Sp3g18110.1	AALP_AA3G231600, AALP_AA8G485600
OG0000062	Sp3g18105.1	AALP_AA7G094400
OG0000064	Sp3g33520.1	AALP_AA3G369800, AALP_AA3G256100
OG0000064	Sp1g02980.1	AALP_AA1G035800
OG0000064	Sp1g15710.1	AALP_AA1G194000
OG0000064	Sp6g23970.1	AALP_AA8G226900
OG0000064	Sp1g07380.1	AALP_AA1G091000
OG0000065	Sp5g30900.1	AALP_AA2G200900
OG0000065	Sp2g09180.1	AALP_AA6G140100
OG0000065	Sp7g18980.1	AALP_AA7G033000
OG0000065	Sp2g23430.1	AALP_AA8G414100
OG0000065	Sp4g12280.1	AALP_AA1G232100
OG0000065	Sp2g25870.1	AALP_AA5G090900, AALP_AA8G459200
OG0000066	Sp7g00780.1	AALP_AA7G215800, AALP_AA8G037600, AALP_AA4G073300, AALP_AA4G073200
OG0000068	Sp5g31070.1	AALP_AA2G203200
OG0000068	Sp1g35760.1, Sp1g35770.1, Sp1g36050.1	AALP_AA4G072500, AALP_AA4G072600
OG0000068	Sp4g08260.1, Sp5g03170.1	AALP_AA5G254800, AALP_AA5G254700
OG0000070	Sp7g36970.1	AALP_AA7G266200
OG0000070	Sp4g00400.1	AALP_AA2G165700
OG0000070	Sp3g31440.1	AALP_AA3G340300
OG0000070	Sp7g33890.1	AALP_AA7G235900
OG0000070	Sp5g30700.1	AALP_AA2G198100
OG0000070	Sp1g17620.1	AALP_AA1G217300
OG0000070	Sp3g29850.1	AALP_AA3G326200
OG0000070	Sp7g32540.1	AALP_AA7G218300
OG0000072	Sp5g21400.1, Sp1g34950.1, Sp7g13130.1, Sp6g09820.1, SpUn1230_0020.1, Sp5g15320.1, Sp6g12290.1, Sp7g12150.1, Sp7g02510.1	AALP_AA1G177000
OG0000074	Sp6g20800.1	AALP_AA8G385200
OG0000074	Sp5g14890.1	AALP_AA5G090000
OG0000074	Sp6g20890.1	AALP_AA8G381300
OG0000074	Sp6g20870.1	AALP_AA8G381500
OG0000077	Sp4g15410.1	AALP_AA6G066400, AALP_AA6G063700, AALP_AA6G066500
OG0000078	Sp1g17860.1	AALP_AA1G219700
OG0000078	Sp5g30980.1	AALP_AA2G202200
OG0000078	Sp3g29990.1	AALP_AA7G222000, AALP_AA4G166100
OG0000078	Sp2g10850.1	AALP_AA6G120700
OG0000078	Sp3g31210.1	AALP_AA5G136700
OG0000079	Sp7g30200.1	AALP_AA7G186800
OG0000079	Sp2g08870.1	AALP_AA6G143600
OG0000079	Sp6g26800.1	AALP_AA8G184200
OG0000079	Sp6g33540.1	AALP_AA8G091900
OG0000083	Sp7g23370.1	AALP_AA7G080800
OG0000083	Sp1g22080.1	AALP_AA1G278500
OG0000083	Sp1g12400.1	AALP_AA1G154500, AALP_AA1G155200, AALP_AA1G154600
OG0000083	Sp2g14180.1	AALP_AA5G020900
OG0000083	Sp2g14170.1	AALP_AA5G019500
OG0000084	Sp7g25920.1	AALP_AA7G117600
OG0000084	Sp3g29980.1	AALP_AA4G166200
OG0000085	Sp3g09080.1	AALP_AA3G116600
OG0000085	Sp3g31850.1, Sp5g13500.1	AALP_AA7G240300
OG0000086	Sp6g21600.1	AALP_AA8G395300
OG0000086	Sp6g21590.1	AALP_AA8G395200
OG0000086	Sp5g15610.1	AALP_AA5G084200
OG0000088	Sp6g21910.1	AALP_AA8G400300
OG0000088	Sp6g21880.1	AALP_AA8G399900, AALP_AA8G400100
OG0000088	Sp5g15950.1	AALP_AA5G080000
OG0000089	Sp7g02635.1	AALP_AAs43157U000100
OG0000090	Sp4g12085.1, Sp4g12060.1	AALP_AAs48252U001400
OG0000094	Sp2g03130.1	AALP_AA2G031600
OG0000094	Sp2g03070.1, Sp2g03090.1, Sp2g03117.1	AALP_AA2G029700
OG0000094	Sp1g09940.1	AALP_AA4G160600
OG0000095	Sp7g21600.1	AALP_AA2G045800, AALP_AA7G066600
OG0000095	Sp7g21610.1	AALP_AA7G066500
OG0000096	Sp5g29380.1	AALP_AA2G180500
OG0000098	Sp4g17010.1, Sp4g18670.1	AALP_AA4G110300
OG0000098	Sp4g08450.1	AALP_AA6G243800
OG0000098	Sp2g18270.1	AALP_AA5G065100
OG0000098	Sp1g13880.1	AALP_AA1G175900
OG0000098	Sp5g36020.1	AALP_AA2G248800
OG0000098	Sp3g14720.1	AALP_AA3G185300
OG0000103	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1	AALP_AA7G041500
OG0000103	Sp6g06870.1	AALP_AA6G166800, AALP_AA6G166900
OG0000103	Sp1g28050.1, Sp1g28060.1	AALP_AA1G336300, AALP_AA1G336600, AALP_AAs60950U000100
OG0000103	Sp1g28020.1	AALP_AA1G336500
OG0000104	Sp1g33950.1	AALP_AA8G255200, AALP_AA8G249800
OG0000106	SpUn0054_0050.1, Sp6g11660.1, Sp3g03240.1	AALP_AA3G326900
OG0000106	Sp2g25130.1	AALP_AA8G449800, AALP_AA8G450500, AALP_AA8G449900
OG0000109	Sp7g14520.1	AALP_AA1G229600
OG0000109	Sp1g38170.1	AALP_AA5G194000, AALP_AA4G044500, AALP_AA4G044400, AALP_AAs41122U000300
OG0000110	Sp2g15055.1, Sp2g15060.1	AALP_AA5G230300
OG0000113	Sp5g11020.1	AALP_AA6G117100
OG0000113	Sp7g01320.1	AALP_AA6G330900
OG0000114	Sp6g25730.1	AALP_AA8G202600
OG0000114	Sp7g13960.1	AALP_AA1G115200, AALP_AAs55560U000200, AALP_AAs55560U000300, AALP_AAs50914U000200
OG0000115	Sp6g26490.1	AALP_AA8G189900, AALP_AA8G190000
OG0000115	Sp3g31620.1	AALP_AA3G342000
OG0000115	Sp5g11280.1	AALP_AA5G132800
OG0000116	Sp1g31050.1, Sp1g31170.1, Sp2g22120.1	AALP_AA3G050500, AALP_AA8G423000, AALP_AA8G429100
OG0000117	Sp3g24200.1	AALP_AA4G224500
OG0000117	Sp3g24100.1	AALP_AA6G233000, AALP_AA6G232800, AALP_AA6G233100, AALP_AA6G232900
OG0000118	Sp6g06080.1	AALP_AA5G241000
OG0000120	Sp1g00910.1	AALP_AA1G006200
OG0000120	Sp6g01080.1	AALP_AA6G014300
OG0000120	Sp6g15380.1	AALP_AA8G313200
OG0000120	Sp4g28430.1	AALP_AA4G252900
OG0000121	Sp5g30970.1	AALP_AAs55472U000100
OG0000123	Sp7g15090.1	AALP_AA8G261100
OG0000125	Sp4g03230.1, Sp4g03220.1	AALP_AA8G326500
OG0000128	Sp3g03500.1	AALP_AA3G041200, AALP_AA5G119800
OG0000128	Sp3g03510.1	AALP_AA3G149800
OG0000130	Sp3g25725.1	AALP_AA7G088600, AALP_AA6G158300, AALP_AA6G157100, AALP_AA6G158000
OG0000130	SpUn0293_0015.1	AALP_AAs56513U000200
OG0000130	Sp4g04515.1	AALP_AAs58075U000100, AALP_AA5G271700, AALP_AAs58004U000100
OG0000130	Sp4g08820.1	AALP_AA3G341400, AALP_AA3G106900, AALP_AA7G109500, AALP_AAs73216U000100, AALP_AAs71112U000100, AALP_AA1G173500, AALP_AA8G317800, AALP_AAs48021U000700, AALP_AA6G202700, AALP_AA2G041700, AALP_AA1G163700, AALP_AA7G098300, AALP_AA2G041600, AALP_AAs54367U000800, AALP_AAs52132U000100, AALP_AA1G251300, AALP_AA6G350400, AALP_AA7G152200, AALP_AA8G499800, AALP_AAs67984U000100, AALP_AAs43195U000200, AALP_AAs67613U000200, AALP_AA3G336600, AALP_AA4G124900, AALP_AA2G074100, AALP_AAs42979U000100, AALP_AAs46225U000100, AALP_AA1G340100, AALP_AA2G009700, AALP_AA3G368400, AALP_AA5G106200, AALP_AA6G281200, AALP_AA3G181900, AALP_AA2G052000, AALP_AA6G346300, AALP_AA1G155400, AALP_AA8G165200, AALP_AA3G264600, AALP_AAs39056U000500
OG0000132	SpUn0030_0110.1, Sp3g31720.1	AALP_AA3G346800
OG0000132	Sp1g17380.1	AALP_AA1G213900
OG0000132	Sp5g30410.1	AALP_AA2G194600
OG0000132	Sp4g00810.1	AALP_AA6G298600
OG0000133	Sp5g26010.1	AALP_AA2G139000
OG0000133	Sp5g26030.1	AALP_AA2G139600
OG0000135	Sp1g33820.1	AALP_AA8G053600
OG0000137	Sp1g25430.1	AALP_AA1G300600, AALP_AA8G354200
OG0000138	Sp4g15460.1	AALP_AA3G273300, AALP_AA6G065400
OG0000138	Sp4g22640.1, Sp1g21630.1	AALP_AA4G190200
OG0000141	Sp6g03390.1	AALP_AAs71109U000200, AALP_AA4G148600, AALP_AAs54961U000100, AALP_AA6G279100, AALP_AA1G235300, AALP_AA8G286100, AALP_AA2G039000
OG0000143	Sp3g16720.1	AALP_AA3G214200
OG0000144	Sp5g02320.1	AALP_AA5G265500
OG0000144	Sp4g27590.1, Sp4g27600.1	AALP_AA4G244600
OG0000144	Sp7g18740.1, Sp4g27620.1	AALP_AA4G244800, AALP_AA8G146600
OG0000144	Sp4g27630.1	AALP_AA4G245200
OG0000146	Sp7g32960.1	AALP_AA7G225000
OG0000149	Sp1g41790.1	AALP_AA4G003000
OG0000149	Sp5g25410.1	AALP_AA2G132100
OG0000149	Sp1g41770.1	AALP_AA1G295500, AALP_AA4G003200
OG0000149	Sp1g41780.1	AALP_AA4G003100
OG0000153	Sp6g20950.1, Sp1g28540.1, Sp6g21310.1	AALP_AA8G389800, AALP_AA8G382700, AALP_AAs55710U000100
OG0000153	Sp6g21810.1, Sp6g21760.1, SpUn1070_0010.1	AALP_AA8G397500
OG0000154	Sp4g26560.1	AALP_AAs43395U000100
OG0000154	Sp5g03070.1	AALP_AA5G255600, AALP_AA5G255500
OG0000154	Sp4g26550.1	AALP_AA4G233600
OG0000154	Sp4g26540.1	AALP_AA4G233500
OG0000155	Sp4g13520.1	AALP_AA6G088600
OG0000156	Sp6g18990.1	AALP_AA8G361500
OG0000156	Sp2g15480.1	AALP_AA5G030000
OG0000156	Sp2g15470.1	AALP_AA5G029900
OG0000156	Sp2g15450.1	AALP_AA5G031400, AALP_AA5G029400, AALP_AA5G029300, AALP_AA5G031500
OG0000159	Sp7g03310.1, Sp1g12250.1	AALP_AA1G119500, AALP_AA4G074200, AALP_AA1G119200, AALP_AA1G119300
OG0000162	Sp2g05800.1	AALP_AA1G101800
OG0000162	Sp2g14240.1	AALP_AA5G021400
OG0000163	Sp3g23980.1, Sp3g23870.1, Sp3g23860.1	AALP_AA5G045100, AALP_AA5G045200
OG0000163	Sp3g23960.1	AALP_AA5G054900
OG0000163	Sp3g24040.1, Sp3g24050.1, Sp3g24030.1	AALP_AAs50142U000100
OG0000164	Sp7g20000.1	AALP_AA7G044300
OG0000165	SpUn0001_0880.1, Sp1g30980.1	AALP_AA5G072800, AALP_AA2G023700, AALP_AA6G286200, AALP_AA5G155700, AALP_AA8G225200, AALP_AA2G030500, AALP_AAs71504U000100, AALP_AA6G123000, AALP_AAs40902U000100
OG0000167	Sp3g07820.1	AALP_AA3G100200
OG0000167	Sp6g40010.1	AALP_AA8G018100
OG0000170	Sp4g12440.1	AALP_AAs58904U000400
OG0000172	Sp3g24340.1, Sp3g27670.1	AALP_AA6G086000, AALP_AAs40209U000400
OG0000173	Sp5g22450.1	AALP_AA8G133900
OG0000174	Sp5g21840.1	AALP_AA2G084400
OG0000174	Sp7g03900.1	AALP_AA6G352500
OG0000174	Sp2g17750.1, Sp4g02860.1, Sp5g05290.1	AALP_AA1G079200
OG0000176	Sp4g07770.1, Sp4g09110.1, Sp4g06840.1, SpUn0045_0040.1, SpUn0043_0050.1, Sp6g12070.1, Sp7g10270.1, Sp4g07650.1, SpUn0043_0010.1, SpUn1243_0010.1, SpUn0016_0050.1, SpUn0016_0060.1, SpUn0016_0020.1, SpUn0041_0070.1, SpUn0005_0290.1, SpUn0150_0030.1, SpUn0144_0010.1, Sp7g08720.1, Sp5g18860.1, Sp7g08730.1, SpUn0002_0410.1, Sp7g06950.1, SpUn0041_0060.1, Sp4g07610.1, Sp1g30780.1, Sp3g23910.1, Sp7g06930.1, Sp5g18310.1, SpUn0016_0140.1, SpUn0112_0010.1, SpUn0016_0130.1, SpUn0112_0020.1, Sp7g06690.1	AALP_AAs73801U000100
OG0000178	SpUn1102_0010.1, Sp6g07490.1	AALP_AA5G193700, AALP_AA1G056500
OG0000179	Sp1g38300.1, Sp5g16830.1	AALP_AAs38949U000100
OG0000179	Sp7g36370.1	AALP_AA7G273500
OG0000179	Sp7g12040.1	AALP_AA3G060700, AALP_AA6G057700
OG0000180	Sp7g32500.1	AALP_AA3G325100, AALP_AA7G266800, AALP_AA7G217800
OG0000181	Sp6g06510.1	AALP_AA8G466200, AALP_AAs50665U000400
OG0000182	Sp7g14460.1, Sp7g14440.1, Sp1g26920.1, Sp1g26930.1, Sp1g26940.1	AALP_AA1G317200
OG0000182	Sp7g18420.1	AALP_AA7G026100
OG0000182	Sp2g09660.1	AALP_AA6G137600
OG0000182	Sp2g13480.1, Sp1g12940.1	AALP_AA5G011000
OG0000183	Sp5g14170.1	AALP_AA5G099500
OG0000183	Sp2g24940.1	AALP_AA8G447700
OG0000183	Sp5g14180.1	AALP_AA5G099400
OG0000183	Sp5g14185.1	AALP_AA5G099200
OG0000183	Sp5g14187.1	AALP_AAs66804U000100
OG0000185	Sp4g15990.1	AALP_AA1G298700
OG0000185	Sp7g04910.1	AALP_AA8G245700, AALP_AA2G027400, AALP_AA6G051100
OG0000186	SpUn0988_0010.1	AALP_AA1G296900
OG0000186	Sp1g24835.1, Sp1g24830.1, Sp1g24820.1	AALP_AA1G297000
OG0000189	Sp4g10190.1	AALP_AA5G246200
OG0000190	Sp1g11270.1	AALP_AA1G138600
OG0000191	Sp6g18380.1	AALP_AA8G353900
OG0000191	Sp3g33100.1	AALP_AA3G361600
OG0000191	Sp7g27220.1	AALP_AA7G141400
OG0000191	Sp7g27230.1	AALP_AA3G361400, AALP_AA7G141900
OG0000192	Sp7g16080.1, Sp7g13560.1	AALP_AAs50902U000500
OG0000192	Sp6g01670.1	AALP_AA5G059200, AALP_AA6G020200
OG0000192	Sp5g01220.1	AALP_AA5G280000
OG0000193	Sp1g35420.1	AALP_AA4G076200
OG0000193	Sp3g15940.1	AALP_AA3G202500
OG0000193	Sp5g21260.1	AALP_AA2G077900
OG0000193	Sp7g04500.1	AALP_AA6G357500
OG0000193	Sp6g27590.1	AALP_AA8G173600
OG0000196	Sp7g03430.1, Sp3g27390.1, Sp6g12310.1, Sp5g15340.1, Sp4g09550.1, Sp5g15330.1, Sp6g02770.1, Sp5g18510.1, Sp5g22230.1, Sp6g09910.1, Sp7g06810.1, Sp7g13120.1, Sp6g09830.1, Sp6g12280.1, Sp1g34970.1, Sp4g05230.1	AALP_AA4G095700
OG0000197	Sp2g17840.1	AALP_AA8G466800
OG0000198	Sp5g15900.1	AALP_AA6G289400
OG0000199	Sp6g39230.1	AALP_AA8G027200
OG0000199	Sp3g08250.1	AALP_AA3G101800
OG0000201	Sp3g09390.1	AALP_AA3G119800, AALP_AA3G119900
OG0000203	Sp6g39340.1	AALP_AA8G033100, AALP_AAs74908U000200, AALP_AA6G004200, AALP_AAs47945U000100, AALP_AA3G106200, AALP_AAs74908U000300, AALP_AA8G027500, AALP_AAs47945U000300, AALP_AAs43189U000100, AALP_AAs44809U000200, AALP_AAs66664U000100
OG0000205	Sp1g12430.1	AALP_AA1G154900
OG0000205	Sp3g28690.1	AALP_AA3G319400
