Orthogroup	Capsella_rubella	Arabidopsis_thaliana
OG0000001	Carub.0005s0589.1.p, Carub.0005s0590.1.p, Carub.0005s0591.1.p, Carub.0005s0592.1.p	AT3G27490
OG0000001	Carub.0002s1575.1.p	AT1G69150, AT3G43890
OG0000001	Carub.0006s3058.1.p, Carub.0006s3056.1.p	AT4G11550
OG0000001	Carub.0006s3498.1.p, Carub.0006s3499.1.p	AT4G02180
OG0000001	Carub.0006s3544.1.p	AT4G01740
OG0000002	Carub.0004s1930.1.p	AT3G47680
OG0000002	Carub.0004s0729.1.p, Carub.0007s3067.1.p, Carub.0336s0001.1.p, Carub.0006s1187.1.p	AT2G06555
OG0000003	Carub.0003s1727.1.p	AT3G17570
OG0000003	Carub.0002s0273.1.p	AT1G62270
OG0000003	Carub.0003s1703.1.p	AT3G17320
OG0000003	Carub.0003s2043.1.p	AT3G17620
OG0000003	Carub.0003s2561.1.p, Carub.0003s2560.1.p, Carub.0003s2562.1.p	AT3G24580, AT3G22770, AT3G19470
OG0000003	Carub.0003s2067.1.p	AT3G20710
OG0000003	Carub.0002s1378.1.p	AT1G67450
OG0000003	Carub.0003s1362.1.p	AT3G14030
OG0000003	Carub.0005s1634.1.p	AT3G49980
OG0000003	Carub.0002s0522.1.p	AT5G47300
OG0000003	Carub.0003s1813.1.p	AT3G18980
OG0000003	Carub.0003s1874.1.p	AT3G18320, AT2G07140, AT3G44120, AT3G18330, AT3G19410, AT3G18910, AT3G18905
OG0000003	Carub.0003s2110.1.p	AT3G17490
OG0000003	Carub.0003s1721.1.p	AT3G17500
OG0000003	Carub.0003s2286.1.p	AT3G22700, AT3G22710, AT3G22720, AT3G22350
OG0000003	Carub.0003s2657.1.p	AT2G04920
OG0000007	Carub.0005s1781.1.p	AT3G51700, AT3G51690
OG0000009	Carub.0005s1087.1.p	AT1G44941
OG0000009	Carub.0005s2988.1.p, Carub.0006s0619.1.p	AT4G05095, AT1G34440, AT5G28615, AT4G04650, AT1G43730
OG0000009	Carub.0003s3092.1.p	AT5G16486, AT3G25727, AT2G02520
OG0000009	Carub.0002s1832.1.p	AT2G11035
OG0000011	Carub.0002s0705.1.p, Carub.0002s1622.1.p, Carub.0002s1621.1.p, Carub.0002s1620.1.p	AT1G69550
OG0000011	Carub.0007s3773.1.p	AT5G38340
OG0000011	Carub.0007s3771.1.p	AT5G38350
OG0000011	Carub.0003s2583.1.p	AT3G25505
OG0000011	Carub.0005s1033.1.p, Carub.0005s1034.1.p, Carub.0015s0016.1.p, Carub.0015s0014.1.p, Carub.0015s0013.1.p, Carub.0005s1030.1.p, Carub.0005s1035.1.p, Carub.0015s0011.1.p, Carub.0005s1028.1.p, Carub.0005s1032.1.p, Carub.0005s1029.1.p, Carub.0005s1027.1.p, Carub.0005s1036.1.p, Carub.0015s0010.1.p	AT3G44670, AT3G44480, AT3G44630, AT3G44400
OG0000011	Carub.0001s3553.1.p	AT2G14080
OG0000013	Carub.0005s2443.1.p, Carub.0001s3326.1.p	AT3G57580, AT3G56890
OG0000013	Carub.0001s3612.1.p, Carub.0001s3614.1.p	AT1G47350
OG0000013	Carub.0001s2925.1.p, Carub.0001s2929.1.p, Carub.0001s2927.1.p	AT1G30925
OG0000013	Carub.0001s2930.1.p, Carub.0001s2943.1.p, Carub.0001s2944.1.p, Carub.0001s2932.1.p	AT1G31163, AT1G30930
OG0000013	Carub.0001s3225.1.p, Carub.0001s3230.1.p, Carub.0001s3224.1.p, Carub.0001s3227.1.p, Carub.0001s3228.1.p, Carub.0001s3226.1.p	AT5G42430
OG0000014	Carub.0005s2508.1.p	AT3G58270
OG0000014	Carub.0005s2517.1.p	AT3G58380
OG0000014	Carub.0005s2516.1.p	AT3G58370
OG0000014	Carub.0005s2506.1.p	AT3G58200
OG0000014	Carub.0005s1051.1.p	AT3G44800
OG0000014	Carub.0005s1052.1.p	AT3G44805, AT3G44790
OG0000014	Carub.0005s2513.1.p	AT3G58340
OG0000014	Carub.0005s2515.1.p	AT3G58360
OG0000014	Carub.0001s2982.1.p	AT1G31390
OG0000016	Carub.0007s2867.1.p	AT4G13790
OG0000016	Carub.0007s0071.1.p	AT4G38850
OG0000016	Carub.0007s0068.1.p	AT4G38825
OG0000016	Carub.0003s0304.1.p	AT3G03840
OG0000016	Carub.0003s0303.1.p	AT3G03850, AT3G03830
OG0000016	Carub.0006s1637.1.p	AT5G18020
OG0000016	Carub.0006s1621.1.p, Carub.0006s1625.1.p, Carub.0006s1627.1.p	AT5G18010
OG0000017	Carub.0001s3590.1.p	AT1G46840, AT1G46912
OG0000017	Carub.0001s3582.1.p	AT1G46984
OG0000017	Carub.0005s1563.1.p	AT3G49440
OG0000017	Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p	AT3G49450
OG0000017	Carub.0001s0357.1.p	AT2G31470
OG0000017	Carub.0003s2424.1.p	AT3G23960
OG0000017	Carub.0004s1364.1.p	AT5G44345, AT5G65850
OG0000018	Carub.0007s3369.1.p	AT5G41750, AT5G41740
OG0000018	Carub.0007s3397.1.p	AT5G41550
OG0000018	Carub.0007s3458.1.p	AT5G40910
OG0000018	Carub.0002s0747.1.p	AT1G56540
OG0000018	Carub.0007s2787.1.p	AT4G14370
OG0000018	Carub.0002s0109.1.p	AT1G63730
OG0000018	Carub.0002s0143.1.p	AT1G63750
OG0000018	Carub.0002s0108.1.p	AT1G63880
OG0000018	Carub.0002s0095.1.p	AT1G63870
OG0000018	Carub.0002s0072.1.p	AT2G16870, AT1G64070
OG0000019	Carub.0004s0998.1.p, Carub.0004s0996.1.p	AT2G28970
OG0000019	Carub.0001s3825.1.p	AT1G49100
OG0000019	Carub.0002s1143.1.p, Carub.0003s2137.1.p	AT3G21340
OG0000019	Carub.0001s4075.1.p	AT1G51850
OG0000019	Carub.0001s4074.1.p	AT1G51820
OG0000019	Carub.0008s2032.1.p	AT5G59680
OG0000019	Carub.0008s2030.1.p	AT5G59650
OG0000019	Carub.0005s1221.1.p	AT3G46400
OG0000019	Carub.0005s1220.1.p	AT3G46370
OG0000019	Carub.0005s1218.1.p	AT3G46330
OG0000019	Carub.0004s0997.1.p, Carub.0004s0995.1.p	AT2G28960
OG0000019	Carub.0004s0999.1.p	AT2G29000
OG0000019	Carub.0001s0687.1.p	AT2G14440, AT2G14510
OG0000019	Carub.0001s0689.1.p	AT1G07560
OG0000023	Carub.0006s0880.1.p, Carub.0003s2506.1.p	AT5G10340
OG0000023	Carub.0001s1404.1.p	AT1G09650, AT1G12490
OG0000023	Carub.0006s1692.1.p	AT5G16285
OG0000024	Carub.0002s0598.1.p	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848
OG0000024	Carub.0002s0610.1.p	AT1G58400, AT1G58410
OG0000024	Carub.0002s0583.1.p	AT1G59620
OG0000024	Carub.0001s1050.1.p	AT1G10920
OG0000024	Carub.0001s4253.1.p	AT1G53350
OG0000024	Carub.0008s0829.1.p, Carub.0005s0819.1.p, Carub.0008s0828.1.p, Carub.0007s3034.1.p	AT5G35450, AT5G48620, AT5G43470
OG0000025	Carub.0008s0584.1.p, Carub.0008s0580.1.p, Carub.0002s0930.1.p, Carub.0002s0927.1.p, Carub.0002s0931.1.p, Carub.0002s0924.1.p, Carub.0002s0926.1.p, Carub.0002s0921.1.p, Carub.0046s0007.1.p, Carub.0002s0928.1.p, Carub.0002s0925.1.p, Carub.0046s0006.1.p, Carub.0002s0922.1.p, Carub.0002s0923.1.p, Carub.0046s0004.1.p, Carub.0046s0001.1.p, Carub.0002s0932.1.p, Carub.0046s0002.1.p, Carub.0046s0003.1.p, Carub.0002s0929.1.p, Carub.0046s0005.1.p	AT5G42567, AT5G34882, AT5G34905, AT5G34881, AT5G34887, AT5G34885, AT5G34883, AT5G34908, AT5G42955, AT5G42957, AT3G30383, AT3G30387, AT3G30385
OG0000025	Carub.0002s0807.1.p, Carub.0002s0806.1.p, Carub.0002s0805.1.p, Carub.0002s0808.1.p, Carub.0002s0809.1.p, Carub.0002s0810.1.p, Carub.0002s0887.1.p, Carub.0002s0885.1.p, Carub.0002s0886.1.p, Carub.0002s0884.1.p, Carub.0002s0881.1.p, Carub.0002s0888.1.p, Carub.0002s0882.1.p, Carub.0002s0883.1.p, Carub.0193s0001.1.p, Carub.0002s0878.1.p, Carub.0002s0879.1.p, Carub.0193s0002.1.p, Carub.0002s0880.1.p, Carub.0001s3190.1.p	AT1G45223, AT1G45221, AT1G45215, AT1G57760, AT1G57775, AT1G57777, AT3G44115, AT4G08025, AT4G07515
OG0000029	Carub.0006s0158.1.p	AT3G28410, AT5G02700
OG0000029	Carub.0006s0171.1.p	AT5G02910
OG0000030	Carub.0002s0110.1.p	AT1G63070, AT1G63080
OG0000030	Carub.0002s0209.1.p, Carub.0002s0210.1.p, Carub.0002s0190.1.p, Carub.0002s0192.1.p, Carub.0002s0191.1.p	AT1G62670
OG0000031	Carub.0004s0736.1.p, Carub.0004s0735.1.p, Carub.0004s0734.1.p	AT2G26860
OG0000031	Carub.0008s2368.1.p	AT5G56410, AT5G62970
OG0000031	Carub.0008s1687.1.p	AT5G11370
OG0000031	Carub.0006s2905.1.p	AT4G10400, AT4G09920, AT4G10410, AT4G10420
OG0000031	Carub.0007s3593.1.p, Carub.0007s3733.1.p	AT5G38580
OG0000031	Carub.0007s3726.1.p	AT5G38590
OG0000031	Carub.0005s2152.1.p	AT3G54910
OG0000032	Carub.0005s1268.1.p	AT5G38260
OG0000032	Carub.0005s1263.1.p	AT5G38240
OG0000032	Carub.0002s1321.1.p	AT1G66930
OG0000032	Carub.0002s1315.1.p, Carub.0002s1319.1.p	AT1G36005
OG0000032	Carub.0002s1320.1.p	AT1G66920
OG0000032	Carub.0001s3353.1.p, Carub.0002s1318.1.p, Carub.0002s1317.1.p	AT1G66910
OG0000033	Carub.0002s0234.1.p, Carub.0006s2588.1.p, Carub.0002s0239.1.p, Carub.0002s0236.1.p	AT1G62630, AT1G63360
OG0000033	Carub.0001s1196.1.p	AT1G12280
OG0000033	Carub.0001s1197.1.p	AT1G12290
OG0000037	Carub.0005s2033.1.p, Carub.0004s1955.1.p	AT3G53750, AT2G37620
OG0000037	Carub.0001s3843.1.p	AT1G49240
OG0000037	Carub.0004s2444.1.p	AT2G42100
OG0000037	Carub.0003s1145.1.p	AT3G12110
OG0000037	Carub.0008s2004.1.p	AT3G46520
OG0000037	Carub.0005s1279.1.p	AT5G59370
OG0000037	Carub.0006s0823.1.p	AT5G09810
OG0000038	Carub.0005s0501.1.p	AT3G26930
OG0000038	Carub.0005s0502.1.p	AT3G26922
OG0000038	Carub.0005s0503.1.p	AT4G13965
OG0000038	Carub.0005s0506.1.p, Carub.0005s0504.1.p, Carub.0002s0814.1.p, Carub.0002s0815.1.p	AT1G55030
OG0000038	Carub.0005s1791.1.p	AT3G51530
OG0000038	Carub.0005s1911.1.p	AT3G55670
OG0000038	Carub.0005s1912.1.p	AT3G52690
OG0000038	Carub.0005s1194.1.p, Carub.0005s1909.1.p	AT3G52680, AT4G00160
OG0000038	Carub.0008s0938.1.p, Carub.0008s0939.1.p	AT3G49040
OG0000038	Carub.0005s1522.1.p	AT2G04230
OG0000038	Carub.0001s3364.1.p	AT3G49030
OG0000039	Carub.0007s1795.1.p	AT4G23200
OG0000039	Carub.0007s1800.1.p	AT4G23210
OG0000039	Carub.0007s1794.1.p	AT4G23220
OG0000039	Carub.0006s3044.1.p	AT4G11480
OG0000039	Carub.0006s3043.1.p, Carub.0006s3041.1.p, Carub.0006s3042.1.p	AT4G11470
OG0000040	Carub.0003s1159.1.p	AT3G12230, AT3G12240
OG0000040	Carub.0003s1717.1.p	AT3G12220
OG0000040	Carub.0004s0220.1.p	AT2G23000
OG0000040	Carub.0004s0222.1.p, Carub.0004s0221.1.p	AT2G23010
OG0000040	Carub.0003s0966.1.p, Carub.0003s2578.1.p	AT3G10450
OG0000040	Carub.0002s2006.1.p	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270
OG0000042	Carub.0005s2595.1.p	AT3G59000
OG0000042	Carub.0007s3423.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3764.1.p, Carub.0007s3768.1.p, Carub.0007s3765.1.p	AT5G38390, AT5G38386
OG0000042	Carub.0007s3762.1.p	AT1G52650, AT4G13960
OG0000042	Carub.0007s3763.1.p	AT5G38396, AT5G38392
OG0000042	Carub.0005s2560.1.p	AT3G58820
OG0000042	Carub.0005s2565.1.p	AT3G58860
OG0000042	Carub.0005s2566.1.p	AT3G58880
OG0000042	Carub.0003s0219.1.p	AT3G03040
OG0000042	Carub.0003s0218.1.p	AT3G03030
OG0000042	Carub.0005s2569.1.p	AT3G58940
OG0000042	Carub.0005s2568.1.p	AT3G58930
OG0000042	Carub.0005s2741.1.p	AT3G58950
OG0000043	Carub.0219s0002.1.p, Carub.0006s1881.1.p	AT5G20480
OG0000043	Carub.0005s1366.1.p	AT3G47570
OG0000044	Carub.0005s1317.1.p	AT3G46950
OG0000044	Carub.0002s0310.1.p	AT1G61960
OG0000044	Carub.0002s0305.1.p	AT1G61990
OG0000044	Carub.0002s0291.1.p	AT1G62150
OG0000044	Carub.0002s0311.1.p	AT1G62010, AT1G62120
OG0000044	Carub.0002s0294.1.p, Carub.0002s0295.1.p	AT1G62110, AT1G62085
OG0000044	Carub.0002s0308.1.p	AT1G61970
OG0000044	Carub.0002s0306.1.p	AT1G61980
OG0000044	Carub.0002s0249.1.p	AT1G62490
OG0000045	Carub.0007s1788.1.p	AT4G23270, AT4G23280
OG0000045	Carub.0007s1786.1.p, Carub.0007s1787.1.p	AT4G23310
OG0000045	Carub.0005s1171.1.p	AT3G45860
OG0000045	Carub.0007s1813.1.p	AT4G23130
OG0000045	Carub.0007s1803.1.p	AT4G23180
OG0000045	Carub.0007s1810.1.p	AT4G23140
OG0000045	Carub.0007s1811.1.p	AT4G23150
OG0000045	Carub.0007s1796.1.p, Carub.0007s1809.1.p, Carub.0007s1793.1.p	AT4G23230
OG0000046	Carub.0007s0407.1.p	AT4G36150
OG0000046	Carub.0007s2167.1.p	AT4G19530, AT3G51570
OG0000046	Carub.0008s0325.1.p	AT5G45060
OG0000046	Carub.0008s0294.1.p	AT5G45250
OG0000046	Carub.0008s0297.1.p	AT2G17060
OG0000046	Carub.0007s2929.1.p	AT5G45230
OG0000050	Carub.0001s1941.1.p	AT1G19890
OG0000050	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p	AT5G10980, AT4G40040
OG0000051	Carub.0006s0729.1.p	AT5G08391
OG0000051	Carub.0003s0014.1.p	AT3G01950
OG0000051	Carub.0006s1231.1.p	AT5G14110
OG0000051	Carub.0007s3453.1.p	AT3G27030
OG0000051	Carub.0005s0523.1.p	AT3G27027
OG0000051	Carub.0007s3452.1.p	AT5G40980
OG0000051	Carub.0003s0015.1.p	AT3G01940
OG0000051	Carub.0008s1065.1.p	AT5G50660, AT5G50560
OG0000051	Carub.0005s1480.1.p	AT3G48660
OG0000051	Carub.0008s2420.1.p	AT5G63500
OG0000052	Carub.0001s3517.1.p, Carub.0008s0754.1.p, Carub.0004s0679.1.p, Carub.0001s3651.1.p, Carub.0013s0007.1.p, Carub.0011s0007.1.p, Carub.0007s3247.1.p, Carub.0006s2637.1.p, Carub.0003s3392.1.p, Carub.0005s2382.1.p, Carub.0001s3741.1.p, Carub.0001s3383.1.p, Carub.0007s3522.1.p	AT1G52950
OG0000053	Carub.0005s0961.1.p, Carub.0006s1950.1.p	AT3G43810, AT5G21274
OG0000053	Carub.0007s3294.1.p, Carub.0002s1246.1.p	AT5G37780
OG0000053	Carub.0007s2756.1.p	AT4G14640
OG0000053	Carub.0003s2306.1.p	AT3G22930
OG0000053	Carub.0004s0751.1.p, Carub.0005s2353.1.p, Carub.0004s2342.1.p	AT2G41110, AT2G27030
OG0000054	Carub.0001s1178.1.p	AT1G12090
OG0000054	Carub.0002s0247.1.p	AT1G62510
OG0000054	Carub.0006s3168.1.p, Carub.0006s3169.1.p	AT4G12520, AT4G12510
OG0000054	Carub.0004s2780.1.p	AT2G45180
OG0000054	Carub.0006s3180.1.p, Carub.0006s3177.1.p, Carub.0006s3176.1.p, Carub.0006s3175.1.p, Carub.0006s3182.1.p, Carub.0006s3179.1.p, Carub.0006s3181.1.p	AT4G12550, AT4G12545
OG0000057	Carub.0008s1787.1.p	AT5G57350
OG0000057	Carub.0001s1701.1.p	AT1G17260
OG0000057	Carub.0005s2708.1.p	AT3G60330
OG0000057	Carub.0008s2342.1.p	AT5G62670
OG0000057	Carub.0005s1407.1.p	AT3G47950
OG0000057	Carub.0002s2690.1.p	AT1G80660
OG0000057	Carub.0016s0001.1.p	AT3G42640
OG0000057	Carub.0013s0011.1.p	AT2G07560
OG0000057	Carub.0007s1042.1.p	AT4G30190
OG0000057	Carub.0003s3319.1.p	AT2G18960
OG0000060	Carub.0006s2066.1.p	AT5G22880
OG0000060	Carub.0008s2052.1.p	AT5G59910
OG0000060	Carub.0005s1183.1.p	AT3G45980
OG0000060	Carub.0005s1189.1.p	AT3G46030
OG0000061	Carub.0005s0981.1.p, Carub.0006s2979.1.p	AT1G66100
OG0000062	Carub.0003s2005.1.p	AT3G20140
OG0000062	Carub.0003s2001.1.p	AT4G15380
OG0000062	Carub.0003s2002.1.p	AT3G20080
OG0000062	Carub.0004s0748.1.p, Carub.0004s0749.1.p	AT2G27010, AT2G27000
OG0000062	Carub.0003s2000.1.p	AT2G14100, AT3G32047
OG0000062	Carub.0003s2092.1.p	AT3G20960
OG0000062	Carub.0003s2669.1.p	AT2G05180
OG0000062	Carub.0003s2004.1.p	AT3G20120
OG0000062	Carub.0003s2003.1.p	AT3G20110
OG0000064	Carub.0003s3462.1.p	AT2G20290
OG0000064	Carub.0007s1193.1.p	AT4G28710
OG0000064	Carub.0008s0469.1.p	AT5G43900
OG0000064	Carub.0001s0331.1.p	AT1G04160
OG0000064	Carub.0004s1320.1.p	AT2G31900
OG0000064	Carub.0001s1734.1.p	AT1G17580
OG0000064	Carub.0006s1882.1.p	AT5G20490
OG0000064	Carub.0005s2501.1.p	AT3G58160
OG0000064	Carub.0002s0909.1.p	AT1G54560
OG0000064	Carub.0001s0808.1.p	AT1G08730
OG0000065	Carub.0002s2263.1.p	AT1G75780
OG0000065	Carub.0001s1954.1.p	AT1G20010
OG0000065	Carub.0008s0413.1.p	AT5G44340
OG0000065	Carub.0007s2054.1.p	AT4G20890
OG0000065	Carub.0006s1076.1.p	AT5G12250
OG0000065	Carub.0006s2158.1.p	AT5G23860
OG0000065	Carub.0004s1060.1.p	AT2G29550
OG0000065	Carub.0005s1313.1.p, Carub.0005s1309.1.p	AT5G62690, AT5G62700
OG0000066	Carub.0006s3079.1.p, Carub.0006s2997.1.p	AT4G11700
OG0000066	Carub.0003s1935.1.p, Carub.0003s1934.1.p	AT3G19520
OG0000066	Carub.0001s2632.1.p	AT1G27860, AT1G28500
OG0000066	Carub.0001s2342.1.p	AT1G23960, AT1G23950, AT1G23970
OG0000066	Carub.0007s3406.1.p, Carub.0007s3405.1.p	AT5G41640
OG0000066	Carub.0005s1849.1.p	AT3G57210
OG0000068	Carub.0008s0711.1.p	AT5G42190
OG0000068	Carub.0001s3799.1.p	AT2G25700, AT1G20140
OG0000068	Carub.0002s2286.1.p	AT1G75950
OG0000068	Carub.0005s2675.1.p	AT3G53060, AT3G60020
OG0000068	Carub.0003s2192.1.p	AT3G21860, AT3G21830, AT3G21840, AT3G21850
OG0000068	Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p	AT4G34470, AT4G34210
OG0000070	Carub.0007s0072.1.p	AT4G38860
OG0000070	Carub.0004s0025.1.p	AT2G21220
OG0000070	Carub.0003s3215.1.p	AT2G18010
OG0000070	Carub.0007s0412.1.p	AT4G36110
OG0000070	Carub.0002s2243.1.p	AT1G75580
OG0000070	Carub.0001s1934.1.p	AT1G19830
OG0000070	Carub.0003s3033.1.p	AT2G16580
OG0000070	Carub.0007s0553.1.p	AT4G34760
OG0000071	Carub.0004s1101.1.p	AT2G29930
OG0000071	Carub.0004s1100.1.p	AT2G29910
OG0000071	Carub.0007s3312.1.p	AT5G35995
OG0000071	Carub.0001s3703.1.p	AT1G47920
OG0000071	Carub.0001s3751.1.p	AT1G48390
OG0000073	Carub.0001s3395.1.p, Carub.0002s1008.1.p	AT1G43760, AT1G40390
OG0000074	Carub.0008s1976.1.p	AT5G59190
OG0000074	Carub.0005s1307.1.p	AT3G46840, AT3G46850
OG0000074	Carub.0008s1984.1.p	AT5G59100
OG0000074	Carub.0008s1982.1.p	AT5G59130
OG0000074	Carub.0008s1946.1.p	AT5G58830
OG0000074	Carub.0008s1945.1.p	AT5G58820
OG0000074	Carub.0008s1947.1.p	AT5G58840
OG0000074	Carub.0008s1985.1.p	AT5G59090
OG0000074	Carub.0008s1983.1.p	AT5G59120
OG0000077	Carub.0004s1453.1.p	AT2G33050
OG0000077	Carub.0003s2713.1.p, Carub.0003s2530.1.p, Carub.0003s2529.1.p, Carub.0003s2534.1.p, Carub.0003s2532.1.p, Carub.0003s2531.1.p, Carub.0148s0001.1.p	AT3G25010, AT3G25020, AT3G24982, AT3G24900
OG0000077	Carub.0004s1404.1.p	AT2G32680, AT2G33020
OG0000077	Carub.0004s1403.1.p	AT2G33080
OG0000078	Carub.0001s1962.1.p	AT1G20090
OG0000078	Carub.0002s2275.1.p	AT1G75840
OG0000078	Carub.0007s0529.1.p	AT4G35020
OG0000078	Carub.0008s0195.1.p	AT5G45970
OG0000078	Carub.0007s0427.1.p	AT4G35950
OG0000078	Carub.0003s3195.1.p	AT2G17800
OG0000078	Carub.0005s1767.1.p	AT3G51300
OG0000079	Carub.0004s0525.1.p	AT2G25540
OG0000079	Carub.0007s0816.1.p	AT4G32410
OG0000079	Carub.0006s0410.1.p	AT5G05170
OG0000079	Carub.0008s0451.1.p	AT5G44030
OG0000079	Carub.0006s1564.1.p	AT5G17420
OG0000079	Carub.0007s0125.1.p	AT4G39350
OG0000079	Carub.0008s2555.1.p	AT5G64740
OG0000079	Carub.0006s0830.1.p	AT5G09870
OG0000083	Carub.0007s1566.1.p	AT4G25350
OG0000083	Carub.0001s2429.1.p	AT1G26730
OG0000083	Carub.0001s3299.1.p	AT1G35350
OG0000083	Carub.0001s1373.1.p	AT1G14040
OG0000083	Carub.0005s0217.1.p	AT2G03250
OG0000083	Carub.0005s0218.1.p	AT2G03260
OG0000083	Carub.0005s0216.1.p	AT2G03240
OG0000084	Carub.0007s1287.1.p	AT4G27960
OG0000084	Carub.0008s1348.1.p	AT5G53300
OG0000084	Carub.0007s3378.1.p	AT5G41700
OG0000084	Carub.0002s0056.1.p	AT1G64230
OG0000084	Carub.0003s3054.1.p	AT2G16740
OG0000084	Carub.0008s1647.1.p	AT5G56150
OG0000084	Carub.0003s0783.1.p	AT3G08700
OG0000084	Carub.0003s0782.1.p	AT3G08690
OG0000085	Carub.0001s0436.1.p	AT1G05080
OG0000086	Carub.0007s1539.1.p	AT4G25590
OG0000086	Carub.0008s1247.1.p	AT5G52360
OG0000086	Carub.0001s0046.1.p	AT1G01750
OG0000086	Carub.0006s3653.1.p	AT4G00680
OG0000086	Carub.0005s1187.1.p	AT3G46010
OG0000086	Carub.0008s2054.1.p	AT5G59890
OG0000086	Carub.0008s2056.1.p	AT5G59880
OG0000086	Carub.0005s1186.1.p	AT3G46000
OG0000088	Carub.0005s1126.1.p	AT3G45430
OG0000088	Carub.0008s2102.1.p	AT5G60310
OG0000088	Carub.0008s2101.1.p	AT5G60300
OG0000088	Carub.0008s2099.1.p	AT5G60270
OG0000088	Carub.0008s2100.1.p	AT5G60280
OG0000088	Carub.0005s1127.1.p	AT3G45440
OG0000088	Carub.0005s1123.1.p	AT3G45410
OG0000088	Carub.0005s1125.1.p	AT3G45420
OG0000088	Carub.0005s1121.1.p	AT3G45390, AT3G45330
OG0000088	Carub.0008s2103.1.p	AT5G60320
OG0000089	Carub.0007s3074.1.p, Carub.0002s1014.1.p, Carub.0002s1016.1.p, Carub.0004s0685.1.p	AT2G06420
OG0000090	Carub.0004s1037.1.p	AT2G29330
OG0000090	Carub.0004s1184.1.p	AT2G30670
OG0000090	Carub.0004s1038.1.p	AT2G29340
OG0000090	Carub.0004s1036.1.p	AT2G29300, AT2G29320
OG0000094	Carub.0002s0367.1.p	AT1G61550
OG0000094	Carub.0002s0372.1.p	AT1G61500
OG0000094	Carub.0002s0378.1.p	AT1G61430, AT1G61400, AT1G61440
OG0000094	Carub.0002s0373.1.p	AT1G61490
OG0000094	Carub.0002s0374.1.p, Carub.0002s0375.1.p	AT1G61475
OG0000094	Carub.0002s0379.1.p	AT1G61390
OG0000094	Carub.0002s0380.1.p	AT1G61380
OG0000095	Carub.0007s1745.1.p	AT4G23670
OG0000095	Carub.0007s1744.1.p	AT4G23680
OG0000095	Carub.0005s0443.1.p, Carub.0005s0446.1.p, Carub.0005s0445.1.p, Carub.0005s0444.1.p	AT3G26460, AT3G26450
OG0000095	Carub.0001s1473.1.p	AT1G30990
OG0000095	Carub.0001s1472.1.p	AT1G14950
OG0000095	Carub.0005s0049.1.p	AT2G01520
OG0000096	Carub.0002s0642.1.p	AT1G58190
OG0000096	Carub.0004s0513.1.p	AT2G25470
OG0000096	Carub.0002s0936.1.p	AT1G54470
