Orthogroup	Capsella_rubella	Boechera_stricta
OG0000002	Carub.0004s0729.1.p, Carub.0007s3067.1.p, Carub.0336s0001.1.p, Carub.0006s1187.1.p	Bostr.20625s0001.1.p, Bostr.0556s0046.1.p, Bostr.20055s0103.1.p
OG0000002	Carub.0003s1041.1.p, Carub.0008s0770.1.p, Carub.0001s3179.1.p, Carub.0007s3111.1.p, Carub.0007s3077.1.p, Carub.0001s3377.1.p, Carub.0002s0950.1.p	Bostr.28625s0130.1.p
OG0000003	Carub.0002s0273.1.p	Bostr.3640s0104.1.p
OG0000003	Carub.0003s1760.1.p, Carub.0003s1761.1.p	Bostr.19424s0881.1.p
OG0000003	Carub.0003s2043.1.p	Bostr.19424s0924.1.p
OG0000003	Carub.0001s3457.1.p, Carub.0002s0781.1.p, Carub.0003s2631.1.p, Carub.0003s2632.1.p, Carub.0003s2633.1.p	Bostr.19424s0163.1.p
OG0000003	Carub.0003s1362.1.p, Carub.0001s1047.1.p, Carub.0003s1334.1.p, Carub.0003s1235.1.p, Carub.0003s1313.1.p, Carub.0003s1310.1.p	Bostr.12659s0296.1.p
OG0000003	Carub.0006s3223.1.p, Carub.0006s3222.1.p	Bostr.25463s0012.1.p
OG0000003	Carub.0005s1634.1.p	Bostr.6864s0242.1.p
OG0000003	Carub.0002s0522.1.p	Bostr.19424s0718.1.p, Bostr.19424s0979.1.p
OG0000003	Carub.0003s1813.1.p, Carub.0003s1811.1.p	Bostr.5022s0073.1.p, Bostr.27991s0015.1.p
OG0000003	Carub.0003s1874.1.p, Carub.0003s2707.1.p	Bostr.19424s0515.1.p
OG0000003	Carub.0002s0776.1.p	Bostr.18351s0209.1.p
OG0000003	Carub.0003s2657.1.p, Carub.0003s2655.1.p, Carub.0003s2666.1.p, Carub.0003s2730.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p	Bostr.19424s0010.1.p
OG0000007	Carub.0013s0008.1.p	Bostr.11568s0036.1.p, Bostr.2199s0042.1.p, Bostr.3359s0073.1.p, Bostr.15774s0014.1.p, Bostr.18473s0020.1.p, Bostr.0597s0007.1.p, Bostr.0142s0001.1.p
OG0000007	Carub.0007s3073.1.p	Bostr.4825s0016.1.p, Bostr.9017s0003.1.p, Bostr.15774s0354.1.p, Bostr.12302s0110.1.p, Bostr.26326s0113.1.p
OG0000007	Carub.0004s0617.1.p	Bostr.30057s0062.1.p, Bostr.10689s0085.1.p, Bostr.30275s0278.1.p
OG0000009	Carub.0007s1219.1.p	Bostr.7200s0068.1.p
OG0000009	Carub.0005s2988.1.p, Carub.0006s0619.1.p, Carub.0003s3092.1.p, Carub.0001s4199.1.p, Carub.0003s2082.1.p	Bostr.12659s0253.1.p
OG0000011	Carub.0007s3773.1.p, Carub.0007s3771.1.p	Bostr.12645s0023.1.p
OG0000011	Carub.0007s3772.1.p	Bostr.12645s0022.1.p
OG0000011	Carub.0005s0813.1.p	Bostr.0556s0596.1.p
OG0000011	Carub.0008s0597.1.p, Carub.0008s0599.1.p, Carub.0008s0598.1.p, Carub.0008s0589.1.p, Carub.0008s0591.1.p, Carub.0008s0593.1.p, Carub.0008s0595.1.p, Carub.0008s0596.1.p	Bostr.2570s0335.1.p, Bostr.2570s0342.1.p, Bostr.2570s0295.1.p, Bostr.2570s0292.1.p, Bostr.10267s0002.1.p, Bostr.2570s0346.1.p
OG0000011	Carub.0005s1033.1.p, Carub.0005s1034.1.p, Carub.0015s0016.1.p, Carub.0015s0014.1.p, Carub.0015s0013.1.p, Carub.0005s1030.1.p, Carub.0005s1035.1.p, Carub.0015s0011.1.p, Carub.0005s1028.1.p, Carub.0005s1032.1.p, Carub.0005s1029.1.p, Carub.0005s1027.1.p, Carub.0005s1036.1.p, Carub.0015s0010.1.p	Bostr.29514s0002.1.p, Bostr.0556s0747.1.p, Bostr.21132s0003.1.p, Bostr.0556s0496.1.p, Bostr.18473s0359.1.p, Bostr.18473s0378.1.p, Bostr.0556s0798.1.p, Bostr.23202s0001.1.p, Bostr.0556s0745.1.p, Bostr.18473s0352.1.p, Bostr.18473s0376.1.p, Bostr.18473s0374.1.p, Bostr.18351s0417.1.p, Bostr.26326s0044.1.p, Bostr.2983s0062.1.p, Bostr.7200s0014.1.p, Bostr.7200s0011.1.p
OG0000011	Carub.0002s0700.1.p, Carub.0002s0699.1.p	Bostr.30057s0027.1.p, Bostr.13129s0194.1.p, Bostr.30057s0025.1.p, Bostr.0556s0387.1.p, Bostr.10040s0342.1.p
OG0000011	Carub.0002s1260.1.p	Bostr.7200s0053.1.p, Bostr.7200s0050.1.p, Bostr.19424s0040.1.p, Bostr.25993s0382.1.p, Bostr.13671s0391.1.p, Bostr.19424s0243.1.p, Bostr.7867s0935.1.p, Bostr.19424s0015.1.p, Bostr.19424s0041.1.p
OG0000012	Carub.0004s3021.1.p	Bostr.9638s0025.1.p
OG0000012	Carub.0003s2796.1.p	Bostr.21554s0001.1.p
OG0000013	Carub.0005s2442.1.p	Bostr.0556s0701.1.p, Bostr.18351s0115.1.p, Bostr.20903s0011.1.p
OG0000013	Carub.0005s2443.1.p, Carub.0001s3326.1.p	Bostr.20129s0144.1.p
OG0000013	Carub.0002s0685.1.p, Carub.0001s2947.1.p, Carub.0001s2948.1.p	Bostr.3359s0100.1.p, Bostr.3359s0099.1.p, Bostr.15697s0412.1.p, Bostr.9600s0003.1.p, Bostr.9600s0001.1.p, Bostr.15697s0414.1.p
OG0000014	Carub.0005s2508.1.p	Bostr.20903s0073.1.p
OG0000014	Carub.0005s1052.1.p	Bostr.0556s0770.1.p
OG0000014	Carub.0002s0729.1.p	Bostr.10094s0001.1.p
OG0000014	Carub.0005s2515.1.p	Bostr.20903s0078.1.p
OG0000014	Carub.0001s2982.1.p	Bostr.15697s0453.1.p, Bostr.15697s0452.1.p
OG0000016	Carub.0007s2867.1.p	Bostr.9017s0030.1.p
OG0000016	Carub.0007s0071.1.p	Bostr.25542s0065.1.p
OG0000016	Carub.0007s0068.1.p	Bostr.25542s0062.1.p
OG0000016	Carub.0006s1634.1.p	Bostr.26527s0407.1.p
OG0000016	Carub.0003s0304.1.p	Bostr.2570s0291.1.p, Bostr.2570s0294.1.p, Bostr.2570s0347.1.p
OG0000016	Carub.0003s0303.1.p	Bostr.2570s0340.1.p, Bostr.2570s0325.1.p, Bostr.2570s0330.1.p, Bostr.2570s0281.1.p, Bostr.2570s0345.1.p
OG0000016	Carub.0006s1628.1.p	Bostr.26527s0406.1.p
OG0000016	Carub.0006s1621.1.p, Carub.0006s1625.1.p, Carub.0006s1627.1.p	Bostr.26527s0405.1.p
OG0000017	Carub.0001s3590.1.p	Bostr.12302s0140.1.p, Bostr.15654s0085.1.p
OG0000017	Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p	Bostr.18473s0005.1.p
OG0000017	Carub.0004s1336.1.p	Bostr.24513s0095.1.p, Bostr.24513s0017.1.p
OG0000017	Carub.0001s0357.1.p	Bostr.24513s0074.1.p
OG0000017	Carub.0003s2424.1.p	Bostr.7867s1381.1.p
OG0000017	Carub.0004s1364.1.p	Bostr.29223s0124.1.p, Bostr.0568s0200.1.p
OG0000018	Carub.0007s3369.1.p, Carub.0007s3397.1.p	Bostr.7200s0138.1.p, Bostr.7200s0175.1.p, Bostr.7200s0118.1.p, Bostr.7200s0177.1.p, Bostr.7200s0167.1.p, Bostr.7200s0100.1.p, Bostr.25375s0030.1.p, Bostr.7200s0099.1.p, Bostr.25375s0028.1.p, Bostr.7200s0180.1.p
OG0000018	Carub.0007s3372.1.p	Bostr.25375s0037.1.p
OG0000018	Carub.0002s0747.1.p	Bostr.8169s0018.1.p, Bostr.8169s0020.1.p, Bostr.8169s0027.1.p
OG0000018	Carub.0002s0748.1.p	Bostr.1040s0084.1.p, Bostr.1040s0006.1.p, Bostr.1774s0040.1.p
OG0000018	Carub.0002s0749.1.p	Bostr.2983s0178.1.p
OG0000018	Carub.0002s0098.1.p	Bostr.10040s0224.1.p
OG0000018	Carub.0002s0108.1.p	Bostr.8169s0059.1.p, Bostr.8169s0058.1.p, Bostr.29223s0155.1.p, Bostr.29223s0031.1.p, Bostr.29223s0172.1.p, Bostr.29044s0113.1.p, Bostr.29223s0033.1.p, Bostr.29223s0024.1.p, Bostr.29223s0198.1.p, Bostr.29223s0029.1.p, Bostr.29223s0183.1.p, Bostr.29223s0151.1.p, Bostr.29223s0147.1.p, Bostr.29223s0184.1.p, Bostr.29223s0181.1.p, Bostr.29223s0160.1.p, Bostr.29223s0114.1.p, Bostr.29223s0121.1.p, Bostr.29223s0162.1.p, Bostr.29223s0026.1.p, Bostr.29223s0027.1.p
OG0000018	Carub.0002s0461.1.p	Bostr.10040s0141.1.p
OG0000019	Carub.0004s0998.1.p, Carub.0004s0996.1.p	Bostr.27991s0023.1.p
OG0000019	Carub.0001s4075.1.p	Bostr.26675s0016.1.p
OG0000019	Carub.0001s4074.1.p	Bostr.26675s0017.1.p
OG0000019	Carub.0004s1000.1.p	Bostr.27991s0162.1.p
OG0000019	Carub.0004s0997.1.p, Carub.0004s0995.1.p	Bostr.27991s0024.1.p
OG0000019	Carub.0004s0999.1.p	Bostr.26833s0919.1.p
OG0000019	Carub.0001s0689.1.p	Bostr.25219s0205.1.p
OG0000023	Carub.0001s1404.1.p, Carub.0006s1692.1.p, Carub.0001s2401.1.p	Bostr.12659s0297.1.p
OG0000023	Carub.0001s2993.1.p	Bostr.15697s0468.1.p
OG0000024	Carub.0006s2051.1.p	Bostr.10199s0167.1.p
OG0000024	Carub.0002s0610.1.p	Bostr.10040s0277.1.p, Bostr.10040s0332.1.p, Bostr.10040s0017.1.p, Bostr.10040s0312.1.p, Bostr.10040s0304.1.p, Bostr.10040s0300.1.p, Bostr.10040s0324.1.p, Bostr.7200s0195.1.p, Bostr.10040s0334.1.p, Bostr.25375s0006.1.p, Bostr.10040s0305.1.p, Bostr.10040s0313.1.p, Bostr.10040s0328.1.p, Bostr.10040s0322.1.p
OG0000024	Carub.0002s0575.1.p, Carub.0002s0573.1.p, Carub.0002s0574.1.p	Bostr.10040s0278.1.p
OG0000024	Carub.0002s0582.1.p	Bostr.13404s0084.1.p, Bostr.8819s0141.1.p
OG0000024	Carub.0002s0550.1.p	Bostr.20129s0404.1.p
OG0000024	Carub.0002s0811.1.p	Bostr.13671s0460.1.p, Bostr.10040s0330.1.p
OG0000024	Carub.0001s4253.1.p	Bostr.0124s0128.1.p
OG0000024	Carub.0008s0829.1.p, Carub.0005s0819.1.p, Carub.0008s0828.1.p, Carub.0007s3034.1.p, Carub.0008s0827.1.p	Bostr.0556s0548.1.p
OG0000024	Carub.0007s2552.1.p	Bostr.30275s0049.1.p
OG0000025	Carub.0008s0584.1.p, Carub.0008s0580.1.p, Carub.0002s0930.1.p, Carub.0002s0927.1.p, Carub.0002s0931.1.p, Carub.0002s0924.1.p, Carub.0002s0926.1.p, Carub.0002s0921.1.p, Carub.0046s0007.1.p, Carub.0002s0928.1.p, Carub.0002s0925.1.p, Carub.0046s0006.1.p, Carub.0002s0922.1.p, Carub.0002s0923.1.p, Carub.0046s0004.1.p, Carub.0046s0001.1.p, Carub.0002s0932.1.p, Carub.0046s0002.1.p, Carub.0046s0003.1.p, Carub.0002s0929.1.p, Carub.0046s0005.1.p	Bostr.3148s0185.1.p, Bostr.29998s0001.1.p, Bostr.3148s0186.1.p, Bostr.3148s0188.1.p, Bostr.3148s0187.1.p
OG0000025	Carub.0002s0807.1.p, Carub.0002s0806.1.p, Carub.0002s0805.1.p, Carub.0002s0808.1.p, Carub.0002s0809.1.p, Carub.0002s0810.1.p, Carub.0002s0887.1.p, Carub.0002s0885.1.p, Carub.0002s0886.1.p, Carub.0002s0884.1.p, Carub.0002s0881.1.p, Carub.0002s0888.1.p, Carub.0002s0882.1.p, Carub.0002s0883.1.p, Carub.0193s0001.1.p, Carub.0002s0878.1.p, Carub.0002s0879.1.p, Carub.0193s0002.1.p, Carub.0002s0880.1.p, Carub.0001s3190.1.p	Bostr.0556s0766.1.p, Bostr.0556s0767.1.p, Bostr.0556s0765.1.p, Bostr.13404s0014.1.p, Bostr.30057s0043.1.p, Bostr.13404s0013.1.p, Bostr.26675s0106.1.p, Bostr.3148s0189.1.p, Bostr.30057s0042.1.p, Bostr.30057s0037.1.p, Bostr.30057s0036.1.p, Bostr.30057s0035.1.p
OG0000029	Carub.0006s0158.1.p	Bostr.2128s0162.1.p
OG0000029	Carub.0002s0692.1.p	Bostr.30057s0026.1.p
OG0000029	Carub.0006s0171.1.p	Bostr.2128s0174.1.p
OG0000030	Carub.0002s0150.1.p	Bostr.9600s0028.1.p
OG0000030	Carub.0002s0110.1.p	Bostr.29223s0186.1.p, Bostr.0597s0124.1.p
OG0000030	Carub.0002s0209.1.p, Carub.0002s0210.1.p, Carub.0002s0190.1.p, Carub.0002s0192.1.p, Carub.0002s0191.1.p	Bostr.22157s0042.1.p, Bostr.9600s0035.1.p, Bostr.22157s0035.1.p, Bostr.22157s0040.1.p, Bostr.22157s0013.1.p, Bostr.22157s0036.1.p, Bostr.22157s0037.1.p, Bostr.22157s0014.1.p, Bostr.22157s0012.1.p, Bostr.22157s0015.1.p, Bostr.14881s0004.1.p, Bostr.14881s0005.1.p, Bostr.10040s0004.1.p, Bostr.26959s0055.1.p, Bostr.10040s0197.1.p, Bostr.10040s0192.1.p, Bostr.10040s0195.1.p, Bostr.10040s0203.1.p, Bostr.22157s0135.1.p, Bostr.10040s0266.1.p, Bostr.10040s0145.1.p, Bostr.10040s0262.1.p, Bostr.10040s0260.1.p, Bostr.10040s0267.1.p, Bostr.10040s0212.1.p, Bostr.10040s0265.1.p
OG0000030	Carub.0002s0148.1.p	Bostr.2199s0026.1.p, Bostr.29223s0189.1.p, Bostr.29223s0149.1.p, Bostr.29223s0163.1.p, Bostr.9600s0030.1.p
OG0000030	Carub.0002s0787.1.p	Bostr.8169s0052.1.p
OG0000031	Carub.0004s0736.1.p, Carub.0004s0735.1.p, Carub.0004s0734.1.p	Bostr.0556s0648.1.p, Bostr.29505s0015.1.p
OG0000031	Carub.0007s3726.1.p	Bostr.17584s0015.1.p, Bostr.25219s0531.1.p, Bostr.17584s0014.1.p, Bostr.9638s0123.1.p
OG0000031	Carub.0005s2152.1.p	Bostr.0697s0107.1.p
OG0000032	Carub.0005s1269.1.p	Bostr.17775s0030.1.p, Bostr.25101s0001.1.p
OG0000032	Carub.0005s1261.1.p	Bostr.12645s0038.1.p
OG0000032	Carub.0120s0001.1.p, Carub.0002s1326.1.p, Carub.0002s1328.1.p	Bostr.26959s0212.1.p
OG0000032	Carub.0002s1315.1.p, Carub.0002s1319.1.p	Bostr.26959s0220.1.p
OG0000032	Carub.0002s1320.1.p	Bostr.26959s0222.1.p, Bostr.26959s0237.1.p
OG0000032	Carub.0001s3353.1.p, Carub.0002s1318.1.p, Carub.0002s1317.1.p	Bostr.26959s0229.1.p, Bostr.26959s0228.1.p
OG0000032	Carub.0007s2307.1.p	Bostr.2021s0086.1.p
OG0000033	Carub.0001s1196.1.p	Bostr.13671s0231.1.p
OG0000033	Carub.0001s1197.1.p	Bostr.13671s0230.1.p
OG0000037	Carub.0005s2033.1.p	Bostr.23794s0315.1.p
OG0000037	Carub.0005s2033.1.p	Bostr.11793s0017.1.p
OG0000037	Carub.0004s1955.1.p	Bostr.23794s0315.1.p
OG0000037	Carub.0004s1955.1.p	Bostr.11793s0017.1.p
OG0000037	Carub.0001s3843.1.p	Bostr.26675s0249.1.p
OG0000037	Carub.0004s2443.1.p	Bostr.25993s0569.1.p
OG0000037	Carub.0004s2444.1.p	Bostr.25993s0568.1.p
OG0000037	Carub.0003s1145.1.p	Bostr.19424s1148.1.p
OG0000037	Carub.0005s1279.1.p	Bostr.26833s0307.1.p
OG0000037	Carub.0006s0823.1.p	Bostr.13129s0011.1.p
OG0000038	Carub.0005s0506.1.p, Carub.0005s0504.1.p, Carub.0002s0814.1.p, Carub.0002s0815.1.p	Bostr.13404s0040.1.p, Bostr.6192s0005.1.p, Bostr.25375s0027.1.p
OG0000038	Carub.0005s1791.1.p	Bostr.6864s0092.1.p
OG0000038	Carub.0005s1910.1.p	Bostr.11793s0119.1.p
OG0000039	Carub.0007s1808.1.p	Bostr.25542s0085.1.p
OG0000039	Carub.0007s1807.1.p	Bostr.7867s0106.1.p
OG0000039	Carub.0007s1792.1.p	Bostr.7867s0120.1.p
OG0000039	Carub.0006s3043.1.p, Carub.0006s3041.1.p, Carub.0006s3042.1.p	Bostr.25463s0206.1.p, Bostr.25463s0175.1.p
OG0000040	Carub.0003s1159.1.p	Bostr.19424s1118.1.p
OG0000040	Carub.0004s0220.1.p	Bostr.21942s0009.1.p
OG0000040	Carub.0004s0216.1.p, Carub.0004s0219.1.p, Carub.0004s0218.1.p, Carub.0004s0215.1.p, Carub.0004s0217.1.p	Bostr.21942s0008.1.p, Bostr.13129s0218.1.p
OG0000040	Carub.0004s0222.1.p, Carub.0004s0221.1.p	Bostr.21942s0010.1.p
OG0000040	Carub.0003s0966.1.p, Carub.0003s2578.1.p	Bostr.22252s0018.1.p
OG0000040	Carub.0002s2006.1.p	Bostr.10273s0027.1.p
OG0000041	Carub.0008s0709.1.p, Carub.0024s0015.1.p	Bostr.29268s0005.1.p, Bostr.10040s0264.1.p
OG0000042	Carub.0007s3423.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3764.1.p, Carub.0007s3768.1.p, Carub.0007s3765.1.p	Bostr.12645s0008.1.p, Bostr.12645s0016.1.p, Bostr.12645s0017.1.p, Bostr.12645s0015.1.p, Bostr.12645s0006.1.p
OG0000042	Carub.0007s3762.1.p, Carub.0007s3763.1.p	Bostr.12645s0010.1.p, Bostr.12645s0014.1.p
OG0000042	Carub.0005s2560.1.p	Bostr.15774s0042.1.p
OG0000042	Carub.0005s2565.1.p	Bostr.20903s0148.1.p
OG0000042	Carub.0005s2566.1.p	Bostr.20903s0127.1.p
OG0000042	Carub.0003s0219.1.p, Carub.0003s0218.1.p	Bostr.19046s0015.1.p
OG0000042	Carub.0005s2568.1.p	Bostr.20903s0054.1.p
OG0000042	Carub.0005s2741.1.p	Bostr.18473s0321.1.p
OG0000043	Carub.0219s0002.1.p, Carub.0006s1881.1.p	Bostr.26527s0156.1.p
OG0000043	Carub.0004s1293.1.p, Carub.0004s1294.1.p	Bostr.26675s0167.1.p
OG0000043	Carub.0005s1367.1.p	Bostr.22157s0028.1.p, Bostr.29223s0171.1.p
OG0000043	Carub.0005s1366.1.p	Bostr.18473s0210.1.p
OG0000043	Carub.0005s1372.1.p	Bostr.2199s0016.1.p, Bostr.2199s0017.1.p, Bostr.18351s0013.1.p
OG0000044	Carub.0005s1317.1.p	Bostr.18473s0264.1.p
OG0000044	Carub.0002s0310.1.p	Bostr.22157s0170.1.p
OG0000044	Carub.0002s0300.1.p	Bostr.22157s0171.1.p, Bostr.22157s0141.1.p
OG0000044	Carub.0002s0305.1.p	Bostr.22157s0137.1.p
OG0000044	Carub.0002s0291.1.p	Bostr.22157s0134.1.p
OG0000044	Carub.0002s0294.1.p, Carub.0002s0295.1.p	Bostr.22157s0138.1.p
OG0000044	Carub.0002s0308.1.p	Bostr.22157s0162.1.p
OG0000044	Carub.0002s0306.1.p	Bostr.22157s0161.1.p, Bostr.22157s0166.1.p
OG0000044	Carub.0002s0249.1.p	Bostr.22157s0091.1.p
OG0000045	Carub.0007s1788.1.p	Bostr.7867s0124.1.p
OG0000045	Carub.0007s1786.1.p, Carub.0007s1787.1.p	Bostr.7867s0126.1.p, Bostr.7867s0129.1.p
OG0000045	Carub.0007s1813.1.p	Bostr.7867s0103.1.p
OG0000045	Carub.0007s1812.1.p	Bostr.7867s0104.1.p
OG0000045	Carub.0007s1804.1.p	Bostr.7867s0108.1.p
OG0000045	Carub.0007s1806.1.p	Bostr.7867s0107.1.p, Bostr.10040s0346.1.p
OG0000045	Carub.0007s1803.1.p	Bostr.7867s0109.1.p, Bostr.7867s0121.1.p
OG0000045	Carub.0007s2975.1.p	Bostr.9081s0002.1.p
OG0000045	Carub.0002s0140.1.p	Bostr.9600s0018.1.p, Bostr.9600s0019.1.p, Bostr.9600s0023.1.p
OG0000045	Carub.0007s1810.1.p	Bostr.7867s0105.1.p
OG0000045	Carub.0007s1809.1.p	Bostr.25542s0087.1.p
OG0000046	Carub.0007s0407.1.p	Bostr.7867s1479.1.p
OG0000046	Carub.0007s2167.1.p	Bostr.30275s0434.1.p
OG0000046	Carub.0008s0325.1.p	Bostr.5342s0008.1.p
OG0000046	Carub.0008s0294.1.p	Bostr.25599s0001.1.p
OG0000046	Carub.0008s0297.1.p	Bostr.8819s0008.1.p
OG0000046	Carub.0004s0374.1.p	Bostr.27895s0043.1.p
OG0000046	Carub.0008s0292.1.p	Bostr.8819s0037.1.p, Bostr.8819s0028.1.p, Bostr.8819s0025.1.p
OG0000046	Carub.0006s2909.1.p	Bostr.8819s0019.1.p
OG0000047	Carub.0007s3164.1.p	Bostr.26959s0288.1.p, Bostr.18351s0204.1.p, Bostr.25463s0052.1.p, Bostr.13158s0348.1.p, Bostr.21942s0006.1.p, Bostr.7128s0450.1.p, Bostr.7305s0007.1.p, Bostr.3053s0007.1.p, Bostr.12302s0046.1.p, Bostr.2021s0036.1.p, Bostr.10273s0376.1.p, Bostr.12302s0047.1.p, Bostr.13404s0011.1.p
OG0000049	Carub.0006s0246.1.p	Bostr.3148s0133.1.p
OG0000050	Carub.0001s1941.1.p	Bostr.7128s0589.1.p
OG0000050	Carub.0007s0200.1.p	Bostr.13175s0006.1.p
OG0000050	Carub.0007s0200.1.p	Bostr.25542s0196.1.p
OG0000050	Carub.0007s0200.1.p	Bostr.25542s0197.1.p
OG0000050	Carub.0007s0200.1.p	Bostr.3288s0212.1.p
OG0000050	Carub.0007s0201.1.p	Bostr.13175s0006.1.p
OG0000050	Carub.0007s0201.1.p	Bostr.25542s0196.1.p
OG0000050	Carub.0007s0201.1.p	Bostr.25542s0197.1.p
OG0000050	Carub.0007s0201.1.p	Bostr.3288s0212.1.p
OG0000050	Carub.0002s2245.1.p	Bostr.13175s0006.1.p
OG0000050	Carub.0002s2245.1.p	Bostr.25542s0196.1.p
OG0000050	Carub.0002s2245.1.p	Bostr.25542s0197.1.p
OG0000050	Carub.0002s2245.1.p	Bostr.3288s0212.1.p
OG0000050	Carub.0006s0948.1.p	Bostr.13175s0006.1.p
OG0000050	Carub.0006s0948.1.p	Bostr.25542s0196.1.p
OG0000050	Carub.0006s0948.1.p	Bostr.25542s0197.1.p
OG0000050	Carub.0006s0948.1.p	Bostr.3288s0212.1.p
OG0000050	Carub.0005s0567.1.p	Bostr.13175s0061.1.p
OG0000050	Carub.0005s0567.1.p	Bostr.13175s0060.1.p
OG0000050	Carub.0005s0567.1.p	Bostr.0556s0417.1.p
OG0000050	Carub.0005s0567.1.p	Bostr.0568s0252.1.p
OG0000050	Carub.0005s0567.1.p	Bostr.25219s0026.1.p
OG0000050	Carub.0001s0853.1.p	Bostr.13175s0061.1.p
OG0000050	Carub.0001s0853.1.p	Bostr.13175s0060.1.p
OG0000050	Carub.0001s0853.1.p	Bostr.0556s0417.1.p
OG0000050	Carub.0001s0853.1.p	Bostr.0568s0252.1.p
OG0000050	Carub.0001s0853.1.p	Bostr.25219s0026.1.p
OG0000050	Carub.0002s0124.1.p	Bostr.13175s0061.1.p
OG0000050	Carub.0002s0124.1.p	Bostr.13175s0060.1.p
OG0000050	Carub.0002s0124.1.p	Bostr.0556s0417.1.p
OG0000050	Carub.0002s0124.1.p	Bostr.0568s0252.1.p
OG0000050	Carub.0002s0124.1.p	Bostr.25219s0026.1.p
OG0000050	Carub.0006s0887.1.p	Bostr.13175s0061.1.p
OG0000050	Carub.0006s0887.1.p	Bostr.13175s0060.1.p
OG0000050	Carub.0006s0887.1.p	Bostr.0556s0417.1.p
OG0000050	Carub.0006s0887.1.p	Bostr.0568s0252.1.p
OG0000050	Carub.0006s0887.1.p	Bostr.25219s0026.1.p
OG0000050	Carub.0006s0886.1.p	Bostr.13175s0061.1.p
OG0000050	Carub.0006s0886.1.p	Bostr.13175s0060.1.p
OG0000050	Carub.0006s0886.1.p	Bostr.0556s0417.1.p
OG0000050	Carub.0006s0886.1.p	Bostr.0568s0252.1.p
