Orthogroup	Capsella_rubella	Arabidopsis_halleri
OG0000013	Carub.0001s3225.1.p, Carub.0001s3230.1.p, Carub.0001s3224.1.p, Carub.0001s3227.1.p, Carub.0001s3228.1.p, Carub.0001s3226.1.p	g18873
OG0000013	Carub.0001s3050.1.p	g16044
OG0000014	Carub.0005s2508.1.p	g16565
OG0000014	Carub.0005s2517.1.p	g16550
OG0000014	Carub.0005s2516.1.p	g16551
OG0000014	Carub.0005s2506.1.p	g16571
OG0000014	Carub.0005s1051.1.p	g28581, g30559, g11915, g11910
OG0000014	Carub.0005s1052.1.p	g11914, g11913, g11909
OG0000014	Carub.0002s0729.1.p	g16252, g30513, g16253, g16245
OG0000014	Carub.0005s2513.1.p	g16556
OG0000014	Carub.0001s2982.1.p	g27573
OG0000014	Carub.0005s0528.1.p, Carub.0005s0527.1.p	g20502
OG0000016	Carub.0007s0068.1.p	g02755
OG0000016	Carub.0003s0304.1.p	g06125
OG0000016	Carub.0003s0303.1.p	g06124
OG0000016	Carub.0006s1637.1.p	g13288
OG0000016	Carub.0006s1628.1.p	g13294, g13291
OG0000017	Carub.0001s3582.1.p	g18973
OG0000017	Carub.0001s2013.1.p	g13502
OG0000017	Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p	g22307, g22324, g22323
OG0000017	Carub.0004s1336.1.p	g07969
OG0000017	Carub.0001s0357.1.p	g07887
OG0000017	Carub.0002s0292.1.p, Carub.0006s2775.1.p, Carub.0006s2776.1.p, Carub.0002s0293.1.p	g17770
OG0000017	Carub.0004s1364.1.p	g28606, g28605, g28607, g07365
OG0000018	Carub.0007s3369.1.p	g27183, g28543
OG0000018	Carub.0007s3397.1.p	g22462
OG0000018	Carub.0007s3458.1.p	g22396
OG0000018	Carub.0007s3393.1.p	g24395
OG0000018	Carub.0002s0747.1.p	g16273, g16276
OG0000018	Carub.0002s0098.1.p	g26670
OG0000018	Carub.0002s0109.1.p	g22947
OG0000018	Carub.0002s0143.1.p	g16909
OG0000018	Carub.0002s0095.1.p, Carub.0002s0461.1.p, Carub.0002s0526.1.p	g22960
OG0000018	Carub.0002s0072.1.p	g17734
OG0000018	Carub.0002s0812.1.p	g28453, g28455
OG0000019	Carub.0002s1143.1.p, Carub.0003s2137.1.p	g11236
OG0000019	Carub.0001s4075.1.p	g28797
OG0000019	Carub.0001s4074.1.p	g28799
OG0000019	Carub.0008s2032.1.p	g10989
OG0000019	Carub.0005s1221.1.p, Carub.0005s1220.1.p	g12702
OG0000019	Carub.0005s1218.1.p	g12697
OG0000019	Carub.0004s1000.1.p	g07014
OG0000019	Carub.0004s0999.1.p	g07015
OG0000019	Carub.0001s0687.1.p	g19686, g19681
OG0000019	Carub.0001s0689.1.p	g02417
OG0000023	Carub.0006s0880.1.p, Carub.0003s2506.1.p	g10499
OG0000023	Carub.0001s1342.1.p	g31479
OG0000023	Carub.0345s0001.1.p	g04887
OG0000023	Carub.0001s1404.1.p	g15439, g28846, g04828
OG0000023	Carub.0006s1692.1.p	g00148
OG0000023	Carub.0001s2401.1.p	g32457
OG0000024	Carub.0006s2051.1.p	g27108
OG0000024	Carub.0002s0598.1.p	g25133
OG0000024	Carub.0002s0610.1.p	g28159
OG0000024	Carub.0002s0583.1.p	g25154
OG0000024	Carub.0002s0575.1.p	g25161
OG0000024	Carub.0002s0573.1.p	g25162
OG0000024	Carub.0002s0616.1.p, Carub.0002s0614.1.p, Carub.0002s0582.1.p	g25153
OG0000024	Carub.0001s4253.1.p	g15032
OG0000024	Carub.0008s0829.1.p, Carub.0005s0819.1.p, Carub.0008s0828.1.p, Carub.0007s3034.1.p	g15958
OG0000024	Carub.0008s0827.1.p	g15960
OG0000024	Carub.0002s0736.1.p	g16259
OG0000024	Carub.0007s2552.1.p	g23134
OG0000029	Carub.0006s0158.1.p	g19426
OG0000029	Carub.0002s0692.1.p	g26291
OG0000029	Carub.0004s0321.1.p	g08765
OG0000029	Carub.0002s0507.1.p, Carub.0002s0506.1.p	g28816
OG0000029	Carub.0006s0172.1.p	g19413
OG0000029	Carub.0006s0173.1.p	g19411
OG0000029	Carub.0006s0171.1.p	g19414
OG0000030	Carub.0002s0110.1.p	g32403, g22944
OG0000030	Carub.0002s0209.1.p, Carub.0002s0210.1.p, Carub.0002s0190.1.p, Carub.0002s0192.1.p, Carub.0002s0191.1.p	g18741, g27018, g18744, g31958, g32451, g27019, g18743, g32357, g18775, g18750, g18748, g18749
OG0000031	Carub.0004s0736.1.p, Carub.0004s0735.1.p, Carub.0004s0734.1.p	g31133
OG0000031	Carub.0008s1716.1.p	g24088, g24087
OG0000031	Carub.0008s1718.1.p	g22417, g24086
OG0000031	Carub.0008s2368.1.p	g23427, g12298
OG0000031	Carub.0006s2905.1.p	g25344
OG0000031	Carub.0007s3593.1.p, Carub.0007s3733.1.p	g25045, g25048, g25046, g25047
OG0000031	Carub.0007s3726.1.p	g32121
OG0000031	Carub.0005s2152.1.p	g11514
OG0000032	Carub.0005s1269.1.p	g24635
OG0000032	Carub.0005s1261.1.p	g17895
OG0000032	Carub.0002s1321.1.p	g23300
OG0000032	Carub.0002s1316.1.p	g23304
OG0000032	Carub.0002s1315.1.p, Carub.0002s1319.1.p	g30630
OG0000032	Carub.0001s3353.1.p, Carub.0002s1318.1.p, Carub.0002s1317.1.p	g23296, g08573, g23297
OG0000033	Carub.0001s1196.1.p	g04849
OG0000033	Carub.0001s1197.1.p	g04848
OG0000037	Carub.0005s2033.1.p, Carub.0004s1955.1.p	g11382, g03690
OG0000037	Carub.0004s2443.1.p	g17276
OG0000037	Carub.0004s2444.1.p	g17277
OG0000037	Carub.0003s1145.1.p	g05823
OG0000037	Carub.0008s2004.1.p	g11023, g12716, g12714
OG0000037	Carub.0006s0823.1.p	g19152
OG0000038	Carub.0005s0502.1.p	g08500, g20794
OG0000038	Carub.0005s0503.1.p	g20776
OG0000038	Carub.0005s0506.1.p, Carub.0005s0504.1.p	g20486
OG0000038	Carub.0002s0814.1.p, Carub.0002s0815.1.p	g27649, g28458, g28459, g27650, g28457
OG0000038	Carub.0005s1913.1.p, Carub.0005s1914.1.p	g20461, g32377
OG0000038	Carub.0005s1791.1.p	g14872
OG0000038	Carub.0005s1912.1.p, Carub.0005s1915.1.p	g20458, g20457
OG0000038	Carub.0005s1910.1.p	g20463
OG0000038	Carub.0005s1194.1.p, Carub.0005s1909.1.p	g23746, g20462
OG0000038	Carub.0005s1519.1.p	g16757
OG0000038	Carub.0005s1521.1.p, Carub.0005s1520.1.p	g16756
OG0000038	Carub.0008s0938.1.p, Carub.0008s0939.1.p	g16761
OG0000038	Carub.0005s1522.1.p	g16759
OG0000038	Carub.0001s3364.1.p	g16758
OG0000039	Carub.0007s1795.1.p	g14335
OG0000039	Carub.0007s1800.1.p	g14340
OG0000039	Carub.0007s1794.1.p, Carub.0007s1807.1.p	g14341
OG0000039	Carub.0006s3049.1.p	g20690
OG0000039	Carub.0006s3044.1.p	g20686
OG0000039	Carub.0006s3043.1.p, Carub.0006s3041.1.p, Carub.0006s3042.1.p	g20685
OG0000040	Carub.0003s1159.1.p	g05807
OG0000040	Carub.0004s0220.1.p	g20979
OG0000040	Carub.0004s0222.1.p, Carub.0004s0221.1.p	g20981
OG0000040	Carub.0002s2006.1.p	g17644, g04081, g32325, g04080
OG0000041	Carub.0008s0709.1.p, Carub.0024s0015.1.p	g26902
OG0000041	Carub.0008s0594.1.p, Carub.0007s3055.1.p, Carub.0007s3157.1.p, Carub.0007s3143.1.p, Carub.0004s0616.1.p, Carub.0007s3038.1.p, Carub.0004s0523.1.p, Carub.0001s1088.1.p, Carub.0003s2750.1.p, Carub.0003s2772.1.p, Carub.0008s1087.1.p	g28563
OG0000042	Carub.0005s2595.1.p	g32119, g31933
OG0000042	Carub.0007s3423.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3764.1.p, Carub.0007s3768.1.p, Carub.0007s3765.1.p	g25068, g25065
OG0000042	Carub.0007s3762.1.p	g21364
OG0000042	Carub.0007s3763.1.p	g25069
OG0000042	Carub.0005s2560.1.p	g16481, g16503
OG0000042	Carub.0005s2565.1.p	g16498
OG0000042	Carub.0005s2566.1.p	g08744, g16497
OG0000042	Carub.0003s0219.1.p	g31595
OG0000042	Carub.0003s0218.1.p	g02459
OG0000042	Carub.0005s2569.1.p	g16485
OG0000042	Carub.0005s2568.1.p	g16486
OG0000042	Carub.0005s2741.1.p	g05536, g16484
OG0000043	Carub.0008s1038.1.p	g25539
OG0000043	Carub.0219s0002.1.p, Carub.0006s1881.1.p	g12072
OG0000043	Carub.0004s1293.1.p, Carub.0004s1294.1.p	g12793
OG0000043	Carub.0005s1367.1.p	g12837, g12828
OG0000043	Carub.0005s1366.1.p	g12827
OG0000043	Carub.0005s1371.1.p	g12836
OG0000044	Carub.0005s1317.1.p	g12776
OG0000044	Carub.0002s0310.1.p	g17762
OG0000044	Carub.0002s0305.1.p	g17768
OG0000044	Carub.0002s0291.1.p	g17798
OG0000044	Carub.0002s0311.1.p	g17761, g08499, g17774
OG0000044	Carub.0002s0294.1.p, Carub.0002s0295.1.p	g17790
OG0000044	Carub.0002s0308.1.p	g17764
OG0000044	Carub.0002s0306.1.p	g17766
OG0000044	Carub.0002s0249.1.p	g17835
OG0000045	Carub.0007s1788.1.p	g14326, g14328
OG0000045	Carub.0007s1813.1.p	g14350
OG0000045	Carub.0007s1803.1.p	g32297, g32183
OG0000045	Carub.0007s1810.1.p	g14349
OG0000045	Carub.0007s1811.1.p	g14347
OG0000045	Carub.0007s1796.1.p, Carub.0007s1809.1.p, Carub.0007s1793.1.p	g14338
OG0000046	Carub.0008s0325.1.p	g26404, g05063, g28495
OG0000046	Carub.0008s0294.1.p	g26397
OG0000046	Carub.0008s0297.1.p	g29355
OG0000046	Carub.0007s2929.1.p	g26409
OG0000046	Carub.0006s2909.1.p	g32475
OG0000047	Carub.0007s3164.1.p	g08259, g07862
OG0000050	Carub.0001s1941.1.p	g13859
OG0000050	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p	g10563, g32436
OG0000051	Carub.0006s0729.1.p	g30313
OG0000051	Carub.0005s0524.1.p	g20500
OG0000051	Carub.0003s0014.1.p	g25825
OG0000051	Carub.0007s3453.1.p	g22403
OG0000051	Carub.0007s3452.1.p	g22404
OG0000051	Carub.0003s0015.1.p	g25824
OG0000051	Carub.0005s1480.1.p	g16714
OG0000052	Carub.0001s3517.1.p, Carub.0008s0754.1.p	g31228, g09250
OG0000052	Carub.0004s0679.1.p, Carub.0001s3651.1.p, Carub.0013s0007.1.p	g28300
OG0000053	Carub.0005s0961.1.p, Carub.0006s1950.1.p	g11997
OG0000053	Carub.0007s3294.1.p, Carub.0002s1246.1.p	g22060, g20617
OG0000053	Carub.0007s2756.1.p	g23213
OG0000053	Carub.0003s2306.1.p	g22774
OG0000053	Carub.0004s0751.1.p, Carub.0005s2353.1.p, Carub.0004s2342.1.p	g26203
OG0000054	Carub.0001s1178.1.p	g04868
OG0000054	Carub.0002s0247.1.p	g17837
OG0000054	Carub.0006s3168.1.p, Carub.0006s3169.1.p	g30076, g30075
OG0000054	Carub.0004s2780.1.p	g09829
OG0000057	Carub.0008s1787.1.p	g16820
OG0000057	Carub.0001s1701.1.p	g09864
OG0000057	Carub.0005s2708.1.p	g05593
OG0000057	Carub.0008s2342.1.p	g12266
OG0000057	Carub.0002s2690.1.p	g01581
OG0000057	Carub.0016s0001.1.p	g30478
OG0000057	Carub.0013s0011.1.p	g29566
OG0000057	Carub.0007s1042.1.p	g04206
OG0000057	Carub.0003s3319.1.p	g22678
OG0000059	Carub.0099s0002.1.p	g26631
OG0000059	Carub.0011s0002.1.p	g27799, g07619
OG0000060	Carub.0006s2066.1.p	g27279
OG0000060	Carub.0008s2052.1.p	g10964
OG0000060	Carub.0005s1183.1.p	g29037
OG0000060	Carub.0005s1189.1.p	g29046
OG0000062	Carub.0003s2002.1.p	g29002
OG0000062	Carub.0004s0748.1.p, Carub.0004s0749.1.p	g26205
OG0000062	Carub.0003s2092.1.p	g11185
OG0000062	Carub.0003s2669.1.p	g08601, g08602
OG0000062	Carub.0003s2004.1.p	g11079
OG0000064	Carub.0003s3462.1.p	g20861
OG0000064	Carub.0007s1193.1.p	g04373
OG0000064	Carub.0008s0469.1.p	g17542
OG0000064	Carub.0001s0331.1.p	g02046
OG0000064	Carub.0004s1320.1.p	g07946
OG0000064	Carub.0001s1734.1.p	g25933
OG0000064	Carub.0006s1882.1.p	g12071
OG0000064	Carub.0005s2501.1.p	g16576
OG0000064	Carub.0002s0909.1.p	g30786
OG0000064	Carub.0001s0808.1.p	g18228
OG0000065	Carub.0001s1954.1.p	g13845
OG0000065	Carub.0008s0413.1.p	g28608
OG0000065	Carub.0006s2158.1.p	g29092
OG0000066	Carub.0003s3340.1.p	g22677, g29390, g29411
OG0000066	Carub.0003s1935.1.p, Carub.0003s1934.1.p	g22529, g22530
OG0000066	Carub.0001s2694.1.p	g13011
OG0000066	Carub.0001s2632.1.p	g12932, g13009, g13008
OG0000066	Carub.0001s2342.1.p	g13611, g13612, g13610
OG0000066	Carub.0007s3406.1.p, Carub.0007s3405.1.p	g28515
OG0000066	Carub.0005s1849.1.p	g21124
OG0000068	Carub.0008s0711.1.p	g28323
OG0000068	Carub.0001s3799.1.p	g28073, g28075, g13562
OG0000068	Carub.0002s2286.1.p	g01147
OG0000068	Carub.0005s2675.1.p	g05633
OG0000068	Carub.0003s2192.1.p	g11296, g11297
OG0000068	Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p	g31556, g00482
OG0000070	Carub.0007s0072.1.p	g02758
OG0000070	Carub.0004s0025.1.p	g23929
OG0000070	Carub.0003s3215.1.p	g24982
OG0000070	Carub.0007s0412.1.p	g03107
OG0000070	Carub.0002s2243.1.p	g01101
OG0000070	Carub.0001s1934.1.p	g13868
OG0000070	Carub.0003s3033.1.p	g31172
OG0000070	Carub.0007s0553.1.p	g00451
OG0000071	Carub.0007s3253.1.p	g20580
OG0000071	Carub.0006s0530.1.p	g32211, g15573
OG0000071	Carub.0004s1101.1.p	g24271
OG0000071	Carub.0004s1100.1.p	g30656, g30654, g18444
OG0000071	Carub.0007s3312.1.p	g16306
OG0000071	Carub.0001s3703.1.p	g04735, g04736, g17492
OG0000071	Carub.0001s3751.1.p	g17432
OG0000072	Carub.0003s3077.1.p	g27353, g26095
OG0000072	Carub.0008s0706.1.p	g04325
OG0000073	Carub.0002s1008.1.p	g21535, g18475, g00837, g26679, g28881, g30432
OG0000074	Carub.0008s1976.1.p	g11051
OG0000074	Carub.0005s1307.1.p	g12760, g12761
OG0000074	Carub.0008s1984.1.p	g11043
OG0000074	Carub.0008s1982.1.p	g11045
OG0000074	Carub.0008s1946.1.p	g30274
OG0000074	Carub.0008s1945.1.p	g08319
OG0000074	Carub.0008s1985.1.p	g11042
OG0000074	Carub.0008s1983.1.p	g11044
OG0000077	Carub.0004s1453.1.p	g03198
OG0000077	Carub.0003s2713.1.p, Carub.0003s2530.1.p, Carub.0003s2529.1.p, Carub.0003s2534.1.p, Carub.0003s2532.1.p, Carub.0003s2531.1.p, Carub.0148s0001.1.p	g28243, g16470
OG0000077	Carub.0004s1404.1.p	g03154, g03155
OG0000077	Carub.0004s1403.1.p	g03194
OG0000078	Carub.0001s1962.1.p	g13567
OG0000078	Carub.0002s2275.1.p	g01133
OG0000078	Carub.0007s0529.1.p	g00426
OG0000078	Carub.0007s0427.1.p	g00309
OG0000078	Carub.0003s3195.1.p	g25005
OG0000078	Carub.0005s1767.1.p	g14899
OG0000079	Carub.0004s0525.1.p	g30240
OG0000079	Carub.0007s0816.1.p	g00728
OG0000079	Carub.0006s0410.1.p	g26050
OG0000079	Carub.0008s0451.1.p	g17521
OG0000079	Carub.0006s1564.1.p	g00028
OG0000079	Carub.0007s0125.1.p	g02814
OG0000079	Carub.0008s2555.1.p	g07500
OG0000079	Carub.0006s0830.1.p	g19159
OG0000080	Carub.0008s1461.1.p	g09414, g29853
OG0000080	Carub.0001s2878.1.p	g19048
OG0000083	Carub.0001s2429.1.p	g08067
OG0000083	Carub.0001s3299.1.p	g24424
OG0000083	Carub.0001s1373.1.p	g04657
OG0000083	Carub.0005s0217.1.p	g23619
OG0000083	Carub.0005s0218.1.p	g23618
OG0000083	Carub.0005s0216.1.p	g13835
OG0000084	Carub.0007s1287.1.p	g04459
OG0000084	Carub.0008s1348.1.p	g23032
OG0000084	Carub.0007s3378.1.p	g28548
OG0000084	Carub.0002s0056.1.p	g29756
OG0000084	Carub.0003s3054.1.p	g23262
OG0000084	Carub.0008s1647.1.p	g23468
OG0000084	Carub.0003s0783.1.p	g11730
OG0000084	Carub.0003s0782.1.p	g11731
OG0000085	Carub.0001s0436.1.p	g02141
OG0000085	Carub.0007s0781.1.p	g00692
OG0000085	Carub.0008s0420.1.p, Carub.0008s0416.1.p	g29116
OG0000085	Carub.0002s0899.1.p, Carub.0008s0417.1.p	g21448
OG0000085	Carub.0006s2253.1.p	g27619, g29091
OG0000086	Carub.0007s1539.1.p	g10264
OG0000086	Carub.0001s0046.1.p	g01733
OG0000086	Carub.0006s3653.1.p	g19785
OG0000086	Carub.0005s1187.1.p	g29044
OG0000086	Carub.0008s2054.1.p	g10966
OG0000086	Carub.0008s2056.1.p	g10967
OG0000086	Carub.0005s1186.1.p	g29042
OG0000088	Carub.0005s1126.1.p	g29875
OG0000088	Carub.0008s2101.1.p	g10916
OG0000088	Carub.0008s2099.1.p	g10918
OG0000088	Carub.0008s2100.1.p	g10917
OG0000088	Carub.0005s1127.1.p	g29874, g29877
OG0000088	Carub.0005s1123.1.p	g29879
OG0000088	Carub.0005s1125.1.p	g29878
OG0000088	Carub.0005s1121.1.p	g29881
OG0000088	Carub.0008s2103.1.p	g10915
OG0000089	Carub.0093s0002.1.p	g30071
OG0000089	Carub.0007s3074.1.p, Carub.0002s1014.1.p, Carub.0002s1016.1.p, Carub.0004s0685.1.p	g08251, g08250
OG0000090	Carub.0004s1037.1.p	g06983, g06982
OG0000090	Carub.0004s1184.1.p	g30732
OG0000090	Carub.0004s1039.1.p	g06978
OG0000090	Carub.0004s1036.1.p	g06984
OG0000094	Carub.0002s0367.1.p	g19828, g32109
OG0000094	Carub.0002s0372.1.p	g19834
OG0000094	Carub.0002s0378.1.p	g19838
OG0000094	Carub.0002s0379.1.p	g19841
OG0000094	Carub.0002s0380.1.p	g19842
OG0000095	Carub.0007s1745.1.p	g10463
OG0000095	Carub.0007s1744.1.p	g10462
OG0000095	Carub.0005s0443.1.p, Carub.0005s0446.1.p, Carub.0005s0445.1.p, Carub.0005s0444.1.p	g20738
OG0000095	Carub.0001s1472.1.p	g10090
OG0000095	Carub.0005s0049.1.p	g14536
OG0000096	Carub.0002s0642.1.p	g24735
OG0000096	Carub.0002s1339.1.p	g00958
OG0000096	Carub.0004s0512.1.p	g13227
OG0000096	Carub.0004s0513.1.p	g30231
OG0000096	Carub.0004s0514.1.p, Carub.0002s0936.1.p	g30233
OG0000097	Carub.0005s0343.1.p	g31366, g31431, g28704, g23226, g32021, g17027, g28208, g19635
OG0000098	Carub.0002s1323.1.p	g23302
OG0000098	Carub.0004s1818.1.p	g03543
OG0000098	Carub.0004s0741.1.p	g29608
OG0000098	Carub.0005s0873.1.p	g28224
OG0000098	Carub.0001s1530.1.p	g10027
OG0000098	Carub.0001s1496.1.p	g31982
OG0000098	Carub.0002s0539.1.p	g26652
OG0000098	Carub.0003s1609.1.p	g06580
OG0000099	Carub.0001s0151.1.p	g28351
OG0000100	Carub.0003s3035.1.p	g19684, g21041
OG0000102	Carub.0003s2678.1.p	g06981
OG0000103	Carub.0006s2929.1.p	g25327
OG0000103	Carub.0006s2931.1.p	g25325
OG0000103	Carub.0006s2925.1.p	g25328
OG0000103	Carub.0006s2932.1.p	g25324
OG0000103	Carub.0001s3127.1.p	g17624, g17625
OG0000103	Carub.0001s3126.1.p	g17623
OG0000103	Carub.0001s3128.1.p	g17626
OG0000104	Carub.0004s2425.1.p	g17258
OG0000104	Carub.0004s2500.1.p	g17336
OG0000104	Carub.0006s1060.1.p	g10679
OG0000104	Carub.0006s2504.1.p	g17952
OG0000104	Carub.0004s2472.1.p, Carub.0004s2471.1.p, Carub.0004s2468.1.p, Carub.0006s2711.1.p	g17304
OG0000106	Carub.0002s1066.1.p, Carub.0002s1069.1.p, Carub.0002s1065.1.p	g27836
OG0000106	Carub.0002s1057.1.p	g26082
OG0000106	Carub.0002s1060.1.p	g26081
OG0000106	Carub.0002s1061.1.p	g26080
OG0000106	Carub.0001s4142.1.p	g15143
OG0000106	Carub.0004s0831.1.p	g28720
OG0000108	Carub.0005s2130.1.p	g11491
OG0000108	Carub.0004s2097.1.p	g12450
OG0000108	Carub.0008s0524.1.p, Carub.0008s0526.1.p, Carub.0008s0525.1.p	g17604, g17603, g17607
OG0000109	Carub.0001s3556.1.p	g25587
OG0000109	Carub.0001s3978.1.p	g13236
OG0000110	Carub.0007s2466.1.p	g17198
OG0000110	Carub.0007s2465.1.p	g17196
OG0000110	Carub.0004s0348.1.p	g08795
OG0000110	Carub.0005s0364.1.p	g19568
OG0000112	Carub.0006s2793.1.p, Carub.0006s3642.1.p, Carub.0006s3581.1.p, Carub.0006s3569.1.p	g08616, g31407, g19715
OG0000113	Carub.0005s2571.1.p	g09918, g16483
OG0000113	Carub.0005s2572.1.p	g16479
