Orthogroup	Capsella_rubella	Arabidopsis_lyrata
OG0000029	Carub.0006s0171.1.p	fgenesh2_kg.6__203__AT5G02910.1
OG0000031	Carub.0008s1716.1.p, Carub.0008s1718.1.p	fgenesh2_kg.8__1576__AT5G56700.1
OG0000031	Carub.0008s2368.1.p	fgenesh2_kg.493__1__AT5G56410.1
OG0000031	Carub.0007s3593.1.p, Carub.0007s3733.1.p	fgenesh2_kg.315__1__AT5G38580.1, fgenesh2_kg.7__3542__AT5G38580.1
OG0000032	Carub.0002s1321.1.p	fgenesh2_kg.2__916__AT1G66930.1
OG0000032	Carub.0002s1320.1.p	scaffold_201476.1
OG0000033	Carub.0002s0234.1.p, Carub.0006s2588.1.p, Carub.0002s0239.1.p, Carub.0002s0236.1.p	fgenesh1_pg.C_scaffold_2000218
OG0000033	Carub.0001s1196.1.p	fgenesh1_pm.C_scaffold_1001035
OG0000037	Carub.0005s2033.1.p, Carub.0004s1955.1.p	fgenesh1_pm.C_scaffold_4001519, fgenesh1_pm.C_scaffold_5001458
OG0000037	Carub.0004s2443.1.p	scaffold_403057.1
OG0000037	Carub.0004s2444.1.p	fgenesh1_pg.C_scaffold_4002350
OG0000037	Carub.0003s1145.1.p	fgenesh2_kg.3__1268__AT3G12110.1
OG0000037	Carub.0008s2004.1.p	fgenesh2_kg.5__1015__AT3G46520.1, fgenesh2_kg.8__1881__AT5G59370.1
OG0000037	Carub.0006s0823.1.p	fgenesh2_kg.6__937__AT5G09810.1
OG0000038	Carub.0002s0814.1.p, Carub.0002s0815.1.p	fgenesh2_kg.1__4731__AT1G55030.1
OG0000038	Carub.0005s1791.1.p	fgenesh2_kg.5__1496__AT3G51530.1
OG0000038	Carub.0005s1522.1.p	fgenesh2_kg.5__1273__AT2G04230.1
OG0000039	Carub.0007s1800.1.p	fgenesh2_kg.7__1977__AT4G23210.2
OG0000039	Carub.0007s1794.1.p	Al_scaffold_0007_1825, fgenesh2_kg.7__1976__AT4G23220.1
OG0000039	Carub.0006s3047.1.p	Al_scaffold_0006_3322
OG0000039	Carub.0006s3044.1.p	fgenesh2_kg.6__3109__AT4G11480.1
OG0000039	Carub.0006s3043.1.p, Carub.0006s3041.1.p, Carub.0006s3042.1.p	Al_scaffold_0006_3317
OG0000040	Carub.0003s1159.1.p	scaffold_301404.1
OG0000040	Carub.0003s1717.1.p	fgenesh2_kg.3__1283__AT3G12220.1
OG0000040	Carub.0004s0220.1.p	scaffold_400259.1
OG0000040	Carub.0004s0222.1.p, Carub.0004s0221.1.p	fgenesh2_kg.4__232__AT2G23010.2
OG0000040	Carub.0003s0966.1.p, Carub.0003s2578.1.p	fgenesh2_kg.3__1078__AT3G10450.1
OG0000040	Carub.0002s2006.1.p	fgenesh2_kg.2__1589__AT1G73270.1
OG0000041	Carub.0008s0709.1.p	scaffold_800947.1
OG0000042	Carub.0005s2595.1.p	Al_scaffold_0005_2828
OG0000042	Carub.0005s2569.1.p	Al_scaffold_0005_2819
OG0000043	Carub.0008s1038.1.p	scaffold_801444.1
OG0000043	Carub.0219s0002.1.p, Carub.0006s1881.1.p	fgenesh2_kg.6__2087__AT5G20480.1
OG0000043	Carub.0005s1367.1.p	scaffold_501690.1
OG0000043	Carub.0005s1366.1.p	fgenesh1_pg.C_scaffold_5001243
OG0000043	Carub.0005s1333.1.p	fgenesh1_pg.C_scaffold_5001207
OG0000043	Carub.0005s1371.1.p	fgenesh1_pm.C_scaffold_5000914
OG0000043	Carub.0005s1372.1.p	Al_scaffold_0003_3359
OG0000044	Carub.0005s1317.1.p	fgenesh2_kg.5__1064__AT3G46950.1
OG0000044	Carub.0002s0310.1.p	fgenesh1_pm.C_scaffold_2000223
OG0000044	Carub.0002s0305.1.p	fgenesh2_kg.2__266__AT1G61990.1
OG0000044	Carub.0002s0291.1.p	scaffold_200344.1
OG0000044	Carub.0002s0311.1.p	scaffold_200374.1, scaffold_201141.1, fgenesh1_pg.C_scaffold_2000271, scaffold_200357.1
OG0000044	Carub.0002s0294.1.p, Carub.0002s0295.1.p	fgenesh1_pm.C_scaffold_2000210
OG0000044	Carub.0002s0308.1.p	scaffold_200372.1
OG0000044	Carub.0002s0306.1.p	fgenesh2_kg.2__267__AT1G61980.1
OG0000044	Carub.0002s0249.1.p	scaffold_200307.1
OG0000045	Carub.0005s1171.1.p	fgenesh2_kg.5__957__AT3G45860.1
OG0000045	Carub.0007s1813.1.p	fgenesh2_kg.7__1981__AT4G23130.2
OG0000045	Carub.0007s1803.1.p	fgenesh2_kg.7__1979__AT4G23180.1
OG0000045	Carub.0007s1810.1.p	Al_scaffold_0007_1838
OG0000045	Carub.0007s1811.1.p	Al_scaffold_0007_1836, fgenesh2_kg.7__1980__AT4G23150.1
OG0000045	Carub.0007s1793.1.p	Al_scaffold_0007_1824
OG0000046	Carub.0007s0407.1.p	Al_scaffold_0007_426
OG0000046	Carub.0007s2167.1.p	fgenesh2_kg.5__1501__AT3G51570.1
OG0000046	Carub.0008s0325.1.p	scaffold_800382.1, scaffold_800453.1, fgenesh2_kg.8__291__AT5G45060.1
OG0000046	Carub.0008s0294.1.p	scaffold_800359.1
OG0000046	Carub.0008s0297.1.p	Al_scaffold_0008_371
OG0000046	Carub.0004s0374.1.p	fgenesh1_pm.C_scaffold_4000305
OG0000046	Carub.0004s0373.1.p	scaffold_400468.1
OG0000046	Carub.0007s2929.1.p	fgenesh2_kg.8__276__AT5G45230.1
OG0000046	Carub.0006s2909.1.p	Al_scaffold_0008_351
OG0000047	Carub.0007s3164.1.p	fgenesh1_pg.C_scaffold_1004379
OG0000050	Carub.0001s1941.1.p	fgenesh2_kg.1__2168__AT1G19890.1
OG0000050	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p	fgenesh2_kg.6__1062__AT5G10980.1
OG0000051	Carub.0006s0729.1.p	fgenesh2_kg.6__807__AT5G08391.1
OG0000051	Carub.0003s0014.1.p	fgenesh2_kg.3__18__AT3G01950.1
OG0000051	Carub.0006s1231.1.p	scaffold_601425.1
OG0000051	Carub.0007s3453.1.p	fgenesh2_kg.7__3312__AT5G40970.1
OG0000051	Carub.0005s0523.1.p	scaffold_500615.1
OG0000051	Carub.0007s3452.1.p	scaffold_703863.1
OG0000051	Carub.0003s0015.1.p	fgenesh2_kg.3__19__AT3G01940.1
OG0000051	Carub.0008s1065.1.p	fgenesh2_kg.8__936__AT5G50660.1
OG0000051	Carub.0005s1480.1.p	fgenesh1_pm.C_scaffold_5001003
OG0000051	Carub.0008s2420.1.p	scaffold_803038.1
OG0000052	Carub.0001s3517.1.p, Carub.0008s0754.1.p	Al_scaffold_0004_827
OG0000052	Carub.0011s0007.1.p, Carub.0007s3247.1.p, Carub.0006s2637.1.p, Carub.0003s3392.1.p, Carub.0005s2382.1.p, Carub.0001s3741.1.p, Carub.0001s3383.1.p, Carub.0007s3522.1.p	scaffold_501113.1
OG0000053	Carub.0005s0961.1.p, Carub.0006s1950.1.p	fgenesh2_kg.6__2164__AT5G21274.1
OG0000053	Carub.0007s3294.1.p, Carub.0002s1246.1.p	scaffold_201361.1, scaffold_703671.1
OG0000053	Carub.0007s2756.1.p	fgenesh1_pm.C_scaffold_7002276
OG0000053	Carub.0003s2306.1.p	fgenesh2_kg.3__2503__AT3G22930.1
OG0000053	Carub.0004s0751.1.p, Carub.0005s2353.1.p, Carub.0004s2342.1.p	fgenesh2_kg.4__642__AT2G27030.3
OG0000054	Carub.0001s1178.1.p	fgenesh2_kg.1__1313__AT1G12090.1
OG0000054	Carub.0006s3168.1.p, Carub.0006s3169.1.p	scaffold_603708.1, scaffold_603709.1
OG0000054	Carub.0004s2780.1.p	fgenesh2_kg.4__2714__AT2G45180.1
OG0000057	Carub.0008s1787.1.p	fgenesh1_pm.C_scaffold_6002529
OG0000057	Carub.0008s2342.1.p	scaffold_802942.1
OG0000057	Carub.0016s0001.1.p	fgenesh1_pm.C_scaffold_5000607
OG0000057	Carub.0003s3319.1.p	fgenesh2_kg.3__3537__AT2G18960.1
OG0000059	Carub.0011s0002.1.p	scaffold_100612.1
OG0000060	Carub.0006s2066.1.p	fgenesh2_kg.6__2278__AT5G22880.1
OG0000060	Carub.0008s2052.1.p	fgenesh1_pm.C_scaffold_189000001, fgenesh2_kg.8__1944__AT5G59910.1
OG0000060	Carub.0005s1183.1.p	fgenesh2_kg.5__969__AT3G45980.1
OG0000060	Carub.0005s1189.1.p	fgenesh2_kg.5__975__AT3G46030.1
OG0000061	Carub.0002s0647.1.p	scaffold_201146.1
OG0000062	Carub.0003s2005.1.p	fgenesh2_kg.3__2233__AT3G20140.1
OG0000062	Carub.0003s2002.1.p	fgenesh2_kg.3__2232__AT3G20080.1
OG0000062	Carub.0003s2092.1.p	scaffold_302501.1
OG0000064	Carub.0003s3462.1.p	fgenesh1_pm.C_scaffold_3002552
OG0000064	Carub.0007s1193.1.p	Al_scaffold_0007_1247
OG0000064	Carub.0008s0469.1.p	fgenesh2_kg.8__431__AT5G43900.1
OG0000064	Carub.0001s0331.1.p	scaffold_100373.1
OG0000064	Carub.0004s1320.1.p	fgenesh2_kg.4__1175__AT2G31900.1
OG0000064	Carub.0001s1734.1.p	scaffold_101959.1
OG0000064	Carub.0006s1882.1.p	Al_scaffold_0006_1977
OG0000064	Carub.0005s2501.1.p	scaffold_502994.1
OG0000064	Carub.0001s0808.1.p	Al_scaffold_0001_833
OG0000065	Carub.0002s2263.1.p	fgenesh2_kg.2__1855__AT1G75780.1
OG0000065	Carub.0001s1954.1.p	fgenesh2_kg.1__2180__AT1G20010.1
OG0000065	Carub.0008s0413.1.p	scaffold_800574.1
OG0000065	Carub.0007s2054.1.p	fgenesh2_kg.7__2230__AT4G20890.1
OG0000065	Carub.0006s1076.1.p	Al_scaffold_0006_1146
OG0000065	Carub.0006s2158.1.p	fgenesh2_kg.6__2379__AT5G23860.1
OG0000065	Carub.0004s1060.1.p	fgenesh2_kg.4__930__AT2G29550.1
OG0000065	Carub.0005s1313.1.p, Carub.0005s1309.1.p	fgenesh2_kg.8__2267__AT5G62690.1, fgenesh2_kg.5__1054__AT5G62700.1
OG0000066	Carub.0003s3340.1.p	scaffold_304320.1, Al_scaffold_0003_3910, scaffold_303933.1
OG0000066	Carub.0006s3079.1.p, Carub.0006s2997.1.p	scaffold_201490.1
OG0000066	Carub.0003s1935.1.p, Carub.0003s1934.1.p	fgenesh1_pg.C_scaffold_3001850, Al_scaffold_0003_2060
OG0000066	Carub.0001s2632.1.p	scaffold_103186.1
OG0000066	Carub.0001s2342.1.p	fgenesh2_kg.1__2612__AT1G23970.1
OG0000066	Carub.0007s3406.1.p, Carub.0007s3405.1.p	scaffold_703737.1
OG0000066	Carub.0005s1849.1.p	Al_scaffold_0005_2628
OG0000068	Carub.0008s0711.1.p	scaffold_800989.1
OG0000068	Carub.0001s3799.1.p	fgenesh2_kg.4__129__AT1G20140.1, scaffold_102256.1, scaffold_201394.1
OG0000068	Carub.0005s2675.1.p	scaffold_502393.1, scaffold_503226.1
OG0000068	Carub.0003s2192.1.p	scaffold_302606.1, scaffold_302607.1, scaffold_302608.1
OG0000068	Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p	scaffold_700685.1
OG0000069	Carub.0005s1176.1.p, Carub.0005s2031.1.p, Carub.0005s1217.1.p, Carub.0001s0700.1.p, Carub.0001s0717.1.p, Carub.0004s0975.1.p, Carub.0008s2033.1.p	fgenesh2_kg.781__1__AT5G59970.1, fgenesh2_kg.8__1950__AT5G59970.1
OG0000070	Carub.0007s0072.1.p	scaffold_700078.1
OG0000070	Carub.0004s0025.1.p	scaffold_400034.1
OG0000070	Carub.0003s3215.1.p	scaffold_304129.1
OG0000070	Carub.0007s0412.1.p	fgenesh2_kg.7__453__AT4G36110.1
OG0000070	Carub.0002s2243.1.p	fgenesh2_kg.2__1835__AT1G75580.1
OG0000070	Carub.0001s1934.1.p	fgenesh2_kg.1__2161__AT1G19830.1
OG0000070	Carub.0003s3033.1.p	scaffold_303940.1
OG0000070	Carub.0007s0553.1.p	fgenesh2_kg.7__612__AT4G34760.1
OG0000071	Carub.0004s1101.1.p	scaffold_401462.1
OG0000071	Carub.0001s3703.1.p	fgenesh2_kg.1__3882__AT5G12450.1
OG0000071	Carub.0001s3751.1.p	fgenesh1_pg.C_scaffold_1003520
OG0000074	Carub.0008s1976.1.p	scaffold_802534.1
OG0000074	Carub.0005s1307.1.p	fgenesh2_kg.5__1049__AT3G46850.1, Al_scaffold_0005_1477
OG0000074	Carub.0008s1984.1.p	fgenesh2_kg.8__1863__AT5G59100.1
OG0000074	Carub.0008s1982.1.p	fgenesh2_kg.48__4__AT5G59130.1, fgenesh2_kg.8__1860__AT5G59130.1
OG0000074	Carub.0008s1946.1.p	fgenesh2_kg.8__1825__AT5G58830.1, scaffold_28500001.1
OG0000074	Carub.0008s1945.1.p	scaffold_802490.1, fgenesh2_kg.8__1780__AT5G58820.1, Al_scaffold_0008_1574
OG0000074	Carub.0008s1947.1.p	Al_scaffold_0008_2368, fgenesh1_pm.C_scaffold_285000001
OG0000074	Carub.0008s1985.1.p	scaffold_4800001.1
OG0000074	Carub.0008s1983.1.p	fgenesh2_kg.8__1861__AT5G59120.1
OG0000077	Carub.0004s1453.1.p	fgenesh2_kg.4__1303__AT2G33050.1
OG0000077	Carub.0003s2713.1.p, Carub.0003s2530.1.p, Carub.0003s2529.1.p, Carub.0003s2534.1.p, Carub.0003s2532.1.p, Carub.0003s2531.1.p, Carub.0148s0001.1.p	fgenesh2_kg.3__2709__AT3G24900.1, fgenesh2_kg.3__2774__AT3G24982.1
OG0000078	Carub.0001s1962.1.p	fgenesh2_kg.1__2189__AT1G20090.1
OG0000078	Carub.0002s2275.1.p	scaffold_202533.1
OG0000078	Carub.0007s0529.1.p	fgenesh2_kg.7__588__AT4G35020.1
