Orthogroup	Capsella_rubella	Camelina_sativa
OG0000003	Carub.0006s3223.1.p, Carub.0006s3222.1.p	Csa00511s230, Csa02g012760
OG0000003	Carub.0005s1634.1.p	Csa09g052810, Csa04g035580, Csa09g052800, Csa04g035560, Csa06g024060
OG0000003	Carub.0004s0845.1.p, Carub.0004s0842.1.p, Carub.0004s0838.1.p, Carub.0004s0843.1.p	Csa05g041180, Csa05g041100
OG0000003	Carub.0002s0522.1.p	Csa01g022480, Csa19g026980, Csa01g011470, Csa19g014240, Csa16g053850, Csa09g096690
OG0000003	Carub.0003s1813.1.p	Csa15g020300, Csa15g028080
OG0000003	Carub.0003s2707.1.p	Csa01g022440, Csa15g027170, Csa15g027190, Csa01g022450
OG0000003	Carub.0003s1721.1.p	Csa19g024630, Csa15g023700, Csa01g019970
OG0000003	Carub.0003s2286.1.p	Csa15g039390, Csa15g040400, Csa19g031970, Csa19g031980, Csa01g025950, Csa19g031960, Csa14g063900, Csa17g093720, Csa17g093710, Csa01g025960, Csa01g025970
OG0000003	Carub.0002s0776.1.p	Csa15g040430
OG0000007	Carub.0013s0009.1.p, Carub.0013s0008.1.p, Carub.0007s3073.1.p, Carub.0005s1781.1.p, Carub.0045s0003.1.p	Csa20g073340
OG0000009	Carub.0005s1087.1.p	Csa12g022600
OG0000009	Carub.0002s1832.1.p	Csa09g007230, Csa05g038740, Csa19g031300, Csa13g043430
OG0000011	Carub.0002s1622.1.p	Csa07g036290
OG0000011	Carub.0002s1621.1.p	Csa16g030940, Csa14g049360
OG0000011	Carub.0007s3773.1.p	Csa12g084400, Csa11g052190
OG0000011	Carub.0007s3771.1.p	Csa12g084380, Csa10g044400, Csa11g052170
OG0000011	Carub.0006s3063.1.p	Csa02g019930, Csa08g043780, Csa02g019920, Csa08g043790, Csa13g048720
OG0000011	Carub.0005s0813.1.p, Carub.0003s2583.1.p	Csa15g003680, Csa19g006040
OG0000011	Carub.0008s0597.1.p, Carub.0008s0599.1.p, Carub.0008s0598.1.p, Carub.0008s0589.1.p, Carub.0008s0591.1.p, Carub.0008s0593.1.p, Carub.0008s0595.1.p, Carub.0008s0596.1.p	Csa20g066700, Csa18g011010, Csa12g054220, Csa11g072100, Csa20g016160
OG0000011	Carub.0005s1033.1.p, Carub.0005s1034.1.p, Carub.0015s0016.1.p, Carub.0015s0014.1.p, Carub.0015s0013.1.p, Carub.0005s1030.1.p, Carub.0005s1035.1.p, Carub.0015s0011.1.p, Carub.0005s1028.1.p, Carub.0005s1032.1.p, Carub.0005s1029.1.p, Carub.0005s1027.1.p	Csa04g024310, Csa09g034510, Csa09g034500, Csa05g018420, Csa09g050290, Csa09g050260, Csa06g017220
OG0000011	Carub.0005s1036.1.p, Carub.0015s0010.1.p	Csa04g024330
OG0000011	Carub.0002s1260.1.p	Csa09g050230
OG0000012	Carub.0004s3021.1.p	Csa11g044830
OG0000013	Carub.0005s2443.1.p, Carub.0001s3326.1.p	Csa06g025910, Csa04g044080, Csa09g070070, Csa04g044060, Csa09g070060, Csa06g033310, Csa04g044050, Csa16g032320, Csa07g037620, Csa09g072030
OG0000013	Carub.0001s2934.1.p, Carub.0001s2933.1.p	Csa17g059410
OG0000013	Carub.0001s3612.1.p, Carub.0001s3614.1.p	Csa03g051060
OG0000013	Carub.0001s2925.1.p, Carub.0001s2929.1.p, Carub.0001s2927.1.p	Csa03g034320, Csa17g047400
OG0000013	Carub.0001s2930.1.p, Carub.0001s2943.1.p, Carub.0001s2944.1.p	Csa14g039150, Csa17g047420, Csa03g056800, Csa08g049630, Csa13g053460, Csa17g047410, Csa03g034340, Csa14g038800
OG0000013	Carub.0001s2932.1.p	Csa17g048520, Csa14g039040, Csa17g048510
OG0000013	Carub.0002s0685.1.p, Carub.0001s2947.1.p, Carub.0001s2948.1.p	Csa03g034470, Csa17g048580
OG0000013	Carub.0001s3225.1.p, Carub.0001s3230.1.p, Carub.0001s3224.1.p, Carub.0001s3227.1.p, Carub.0001s3228.1.p, Carub.0001s3226.1.p	Csa03g038300
OG0000013	Carub.0001s3050.1.p	Csa03g036510, Csa17g050510
OG0000014	Carub.0005s2508.1.p	Csa09g070910, Csa06g034100
OG0000014	Carub.0005s2517.1.p	Csa09g071000, Csa06g034200
OG0000014	Carub.0005s2516.1.p	Csa06g034190, Csa04g044900, Csa09g070990
OG0000014	Carub.0005s1051.1.p	Csa04g024570, Csa06g018410, Csa06g017410
OG0000014	Carub.0005s1052.1.p	Csa05g033400, Csa09g035710, Csa04g024580
OG0000014	Carub.0005s2513.1.p	Csa04g044860, Csa09g070930, Csa06g034150
OG0000014	Carub.0005s2515.1.p	Csa04g044890, Csa09g070980
OG0000014	Carub.0001s2982.1.p	Csa17g060900, Csa14g039410
OG0000014	Carub.0005s0528.1.p, Carub.0005s0527.1.p	Csa09g011780, Csa06g006930, Csa09g011800
OG0000016	Carub.0007s2867.1.p	Csa00382s030, Csa12g061670
OG0000016	Carub.0007s0071.1.p	Csa12g001650, Csa10g001570, Csa11g001750
OG0000016	Carub.0007s0068.1.p	Csa11g001730, Csa12g001620, Csa10g001540
OG0000016	Carub.0006s1634.1.p	Csa13g020940, Csa08g010480, Csa20g026370, Csa08g029840
OG0000016	Carub.0003s0303.1.p	Csa15g003670, Csa01g003550, Csa19g006000, Csa19g005990, Csa15g003660
OG0000016	Carub.0006s1637.1.p	Csa20g026340, Csa08g029820, Csa13g037890, Csa13g020960, Csa08g010370, Csa20g026390, Csa08g010500, Csa20g057390, Csa20g026300, Csa08g010380, Csa13g020910, Csa08g010400, Csa08g010440, Csa13g020900, Csa13g020870, Csa08g010430
OG0000016	Carub.0006s1623.1.p, Carub.0006s1622.1.p	Csa20g026330, Csa08g029810
OG0000016	Carub.0006s1621.1.p, Carub.0006s1625.1.p, Carub.0006s1627.1.p	Csa20g026360, Csa08g010460, Csa13g020930
OG0000017	Carub.0001s3582.1.p	Csa17g071580, Csa14g050920
OG0000017	Carub.0001s2013.1.p	Csa03g024470, Csa17g026460
OG0000017	Carub.0005s1563.1.p	Csa06g023410
OG0000017	Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p	Csa04g034910, Csa09g051770, Csa09g051990, Csa09g051930, Csa06g023470, Csa04g034450, Csa04g034880, Csa06g023460
OG0000017	Carub.0004s1336.1.p	Csa06g005770, Csa05g028000, Csa09g009550, Csa06g005760, Csa04g011550
OG0000017	Carub.0001s0357.1.p	Csa17g007570, Csa17g007580, Csa15g014560, Csa05g029740, Csa07g011400, Csa07g011360, Csa16g012180, Csa07g011390, Csa05g029730, Csa07g011370, Csa15g002260, Csa01g002180, Csa19g004710, Csa05g009580, Csa06g048000, Csa04g057470
OG0000017	Carub.0003s2424.1.p	Csa01g029740, Csa15g047280, Csa19g035660
OG0000017	Carub.0004s1365.1.p	Csa07g010030, Csa16g008800, Csa16g009140, Csa05g025630, Csa05g025660, Csa05g025680
OG0000017	Carub.0002s0292.1.p, Carub.0006s2775.1.p, Carub.0006s2776.1.p, Carub.0002s0293.1.p	Csa07g063300, Csa09g096580, Csa09g096600, Csa09g096560, Csa07g063290, Csa16g052620
OG0000017	Carub.0004s1364.1.p	Csa11g055070, Csa16g009150, Csa07g010420
OG0000018	Carub.0007s3392.1.p	Csa02g054900
OG0000018	Carub.0007s3369.1.p	Csa02g055230, Csa11g061400
OG0000018	Carub.0007s3458.1.p	Csa11g059460
OG0000018	Carub.0002s0747.1.p	Csa17g098890, Csa05g063300, Csa07g026440
OG0000018	Carub.0002s0143.1.p	Csa09g098560
OG0000018	Carub.0002s0093.1.p, Carub.0002s0097.1.p	Csa07g065360
OG0000018	Carub.0002s0108.1.p	Csa16g056570
OG0000018	Carub.0002s0095.1.p, Carub.0002s0461.1.p, Carub.0002s0526.1.p	Csa07g063320
OG0000018	Carub.0002s0072.1.p	Csa07g065580
OG0000018	Carub.0002s0812.1.p	Csa07g023960
OG0000019	Carub.0004s0998.1.p, Carub.0004s0996.1.p	Csa07g015410, Csa05g035350
OG0000019	Carub.0001s3825.1.p	Csa17g080720, Csa03g054920
OG0000019	Carub.0002s1143.1.p, Carub.0003s2137.1.p	Csa15g031760, Csa19g029400
OG0000019	Carub.0001s4075.1.p	Csa03g058840
OG0000019	Carub.0008s2031.1.p	Csa02g065380
OG0000019	Carub.0008s2032.1.p	Csa02g065400, Csa18g032950
OG0000019	Carub.0008s2030.1.p	Csa02g065360
OG0000019	Carub.0005s1221.1.p, Carub.0005s1220.1.p	Csa09g034540
OG0000019	Carub.0005s1218.1.p	Csa04g029140, Csa06g020140, Csa09g042480
OG0000019	Carub.0004s1000.1.p	Csa16g015940, Csa07g015400, Csa05g035270
OG0000019	Carub.0004s0995.1.p	Csa16g015990
OG0000019	Carub.0001s0687.1.p	Csa17g010920, Csa03g010950
OG0000019	Carub.0001s0688.1.p	Csa17g010940
OG0000019	Carub.0001s0689.1.p	Csa17g010950, Csa14g008940, Csa03g010980
OG0000023	Carub.0006s0880.1.p, Carub.0003s2506.1.p	Csa13g012100, Csa20g015630, Csa08g054220
OG0000023	Carub.0001s1342.1.p	Csa17g019030, Csa14g016660
OG0000023	Carub.0345s0001.1.p	Csa14g014810
OG0000023	Carub.0001s1404.1.p	Csa14g016670, Csa17g018980, Csa03g017440, Csa17g016960, Csa19g039720, Csa15g055640, Csa17g015960, Csa03g016510, Csa03g015550, Csa14g015680, Csa14g014690
OG0000023	Carub.0006s1692.1.p	Csa20g023490, Csa08g008110, Csa20g023500, Csa13g018770, Csa08g008430, Csa20g024420, Csa08g008720
OG0000023	Carub.0001s2401.1.p	Csa17g033800, Csa17g033870, Csa17g040610, Csa03g031980, Csa14g036400
OG0000023	Carub.0001s2993.1.p	Csa15g003470, Csa09g071010, Csa19g005780
OG0000024	Carub.0006s2051.1.p	Csa20g037540
OG0000024	Carub.0002s0611.1.p	Csa16g018240, Csa05g052410, Csa07g017880
OG0000024	Carub.0002s0598.1.p	Csa05g052240
OG0000024	Carub.0002s0610.1.p	Csa16g018250
OG0000024	Carub.0002s0583.1.p	Csa12g044430, Csa07g017450
OG0000024	Carub.0002s0575.1.p	Csa07g017360, Csa05g050880
OG0000024	Carub.0002s0616.1.p, Carub.0002s0614.1.p	Csa07g017920, Csa16g018270, Csa05g052440
OG0000024	Carub.0002s0582.1.p	Csa07g017460, Csa12g044420, Csa02153s010
OG0000024	Carub.0001s1050.1.p	Csa14g013640, Csa03g014560
OG0000024	Carub.0001s4253.1.p	Csa14g063890, Csa17g093690
OG0000024	Carub.0008s0829.1.p, Carub.0005s0819.1.p, Carub.0008s0828.1.p, Carub.0007s3034.1.p	Csa10g040620
OG0000024	Carub.0008s0827.1.p	Csa18g014750, Csa20g041580, Csa11g074780, Csa20g041590
OG0000024	Carub.0002s0736.1.p	Csa17g098940
OG0000024	Carub.0007s2552.1.p	Csa12g053350, Csa10g029780
OG0000025	Carub.0002s0807.1.p, Carub.0002s0806.1.p, Carub.0002s0805.1.p, Carub.0002s0808.1.p, Carub.0002s0809.1.p, Carub.0002s0810.1.p, Carub.0002s0887.1.p, Carub.0002s0885.1.p, Carub.0002s0886.1.p, Carub.0002s0884.1.p, Carub.0002s0881.1.p, Carub.0002s0888.1.p, Carub.0002s0882.1.p, Carub.0002s0883.1.p, Carub.0193s0001.1.p, Carub.0002s0878.1.p, Carub.0002s0879.1.p, Carub.0193s0002.1.p, Carub.0002s0880.1.p, Carub.0001s3190.1.p	Csa18g012380, Csa00441s430, Csa15g084570, Csa00441s420
OG0000029	Carub.0006s0158.1.p	Csa08g061930, Csa20g002710, Csa20g003110, Csa20g002820, Csa08g061980, Csa08g061990, Csa08g061530
OG0000029	Carub.0002s0692.1.p	Csa05g064800, Csa07g027870
OG0000029	Carub.0001s3548.1.p, Carub.0001s3546.1.p, Carub.0001s3549.1.p, Carub.0001s3547.1.p	Csa17g079000, Csa14g054420, Csa03g053170, Csa17g079030, Csa14g039570, Csa14g054430, Csa03g047260, Csa14g049600, Csa17g071250
OG0000029	Carub.0004s0321.1.p	Csa09g088160
OG0000029	Carub.0002s0507.1.p, Carub.0002s0506.1.p	Csa05g048290, Csa19g008120, Csa05g016900, Csa07g061510, Csa16g052180, Csa14g036030, Csa03g031700
OG0000029	Carub.0006s0172.1.p	Csa20g002970
OG0000029	Carub.0006s0173.1.p	Csa20g002990
OG0000029	Carub.0006s0171.1.p	Csa20g002950, Csa08g061710, Csa13g002830
OG0000030	Carub.0002s0150.1.p	Csa11g065660
OG0000030	Carub.0002s0110.1.p	Csa09g097820
OG0000030	Carub.0002s0209.1.p, Carub.0002s0210.1.p, Carub.0002s0190.1.p, Carub.0002s0192.1.p, Carub.0002s0191.1.p	Csa07g064410, Csa09g097810, Csa16g055620, Csa07g065080, Csa09g098390, Csa09g098220, Csa09g097600, Csa07g063990, Csa09g097320, Csa07g063060, Csa09g097290, Csa07g064880, Csa09g070720
OG0000030	Carub.0002s0148.1.p	Csa09g070730, Csa09g098660, Csa09g098650, Csa16g056140, Csa09g098200, Csa07g064890, Csa09g098190, Csa16g056110, Csa07g064830, Csa07g064840, Csa09g098160, Csa18g008360, Csa07g064920, Csa19g018400, Csa07g064870
OG0000030	Carub.0002s0787.1.p	Csa05g062090, Csa17g098610, Csa07g026170
OG0000031	Carub.0008s1716.1.p	Csa18g029590, Csa11g090120
OG0000031	Carub.0008s1718.1.p	Csa02g059970, Csa02g059980, Csa02g076660, Csa11g104820, Csa18g029600
OG0000031	Carub.0008s2368.1.p	Csa02g071190, Csa18g036430
OG0000031	Carub.0008s1688.1.p	Csa02g059580, Csa02g059570, Csa18g029210
OG0000031	Carub.0006s2905.1.p	Csa02g026390, Csa13g047530
OG0000031	Carub.0007s3593.1.p	Csa12g083940, Csa12g081590
OG0000031	Carub.0007s3726.1.p	Csa12g083960, Csa12g083930
OG0000031	Carub.0005s2152.1.p	Csa04g041080, Csa09g064690, Csa06g029410
OG0000032	Carub.0005s1268.1.p	Csa12g085520, Csa10g043240
OG0000032	Carub.0005s1269.1.p	Csa12g082420, Csa11g052070, Csa12g085510
OG0000032	Carub.0005s1261.1.p	Csa12g086530, Csa11g052050, Csa10g043200
OG0000032	Carub.0005s1263.1.p	Csa10g043230, Csa12g085530, Csa11g052060
OG0000032	Carub.0002s1321.1.p	Csa05g079660, Csa07g032110, Csa16g025530
OG0000032	Carub.0120s0001.1.p	Csa07g032260, Csa00495s120, Csa16g026610
OG0000032	Carub.0002s1326.1.p	Csa16g026710, Csa07g032200
OG0000032	Carub.0002s1328.1.p	Csa07g032240, Csa16g026670
OG0000032	Carub.0002s1316.1.p	Csa05g079620
OG0000032	Carub.0002s1315.1.p	Csa07g032100, Csa05g079610, Csa16g025480
OG0000032	Carub.0002s1319.1.p	Csa11g089270
OG0000032	Carub.0002s1320.1.p	Csa07g032090, Csa16g025510
OG0000032	Carub.0001s3353.1.p, Carub.0002s1318.1.p, Carub.0002s1317.1.p	Csa07g032080, Csa31641s010, Csa05g079590
OG0000032	Carub.0007s2307.1.p	Csa06g046700, Csa11g030260
OG0000033	Carub.0002s0234.1.p, Carub.0006s2588.1.p, Carub.0002s0239.1.p, Carub.0002s0236.1.p	Csa07g063890, Csa09g097240, Csa07g063900, Csa16g055330, Csa09g097220, Csa07g063880
OG0000033	Carub.0001s1196.1.p	Csa17g016500
OG0000033	Carub.0001s1197.1.p	Csa14g015220
OG0000037	Carub.0005s2033.1.p, Carub.0004s1955.1.p	Csa04g051240, Csa05g016060, Csa04g039780, Csa06g028220, Csa06g040380, Csa09g062180
OG0000037	Carub.0001s3843.1.p	Csa14g055430, Csa03g055080, Csa17g080920
OG0000037	Carub.0004s2443.1.p	Csa06g048120
OG0000037	Carub.0004s2444.1.p	Csa05g009470, Csa06g048140, Csa04g057580
OG0000037	Carub.0003s1145.1.p	Csa01g013210, Csa19g016340, Csa15g015990
OG0000037	Carub.0008s2004.1.p	Csa04g029280, Csa09g042590, Csa06g020290
OG0000038	Carub.0005s0501.1.p	Csa06g006690, Csa04g013580
OG0000038	Carub.0005s0502.1.p	Csa18g002560
OG0000038	Carub.0005s0503.1.p	Csa06g006700
OG0000038	Carub.0002s0814.1.p, Carub.0002s0815.1.p	Csa07g023950, Csa05g061860
OG0000038	Carub.0005s1914.1.p	Csa04g038580, Csa09g059820
OG0000038	Carub.0005s1791.1.p	Csa06g025660, Csa04g037320, Csa09g058560
OG0000038	Carub.0005s1912.1.p	Csa06g027050
OG0000038	Carub.0005s1915.1.p	Csa09g059840, Csa04g038590
OG0000038	Carub.0005s1910.1.p	Csa04g038560, Csa09g059790
OG0000038	Carub.0005s1194.1.p, Carub.0005s1909.1.p	Csa06g027060, Csa09g059800, Csa04g038570
OG0000038	Carub.0005s1519.1.p	Csa09g051340
OG0000038	Carub.0005s1521.1.p, Carub.0005s1520.1.p	Csa18g009750, Csa09g051240, Csa06g022870, Csa04g034220, Csa09g051300, Csa04g034240, Csa09g051320, Csa16g035620, Csa09g077460, Csa07g040060, Csa06g022900, Csa09g051350, Csa04g034270
OG0000038	Carub.0008s0938.1.p, Carub.0008s0939.1.p	Csa04g034310, Csa13g034260
OG0000038	Carub.0005s1522.1.p	Csa04g034300, Csa06g022920, Csa09g051370
OG0000039	Carub.0007s1798.1.p	Csa12g033310, Csa11g022760
OG0000039	Carub.0007s1797.1.p	Csa12g032290
OG0000039	Carub.0007s1808.1.p	Csa11g022930
OG0000039	Carub.0007s1795.1.p	Csa11g084410
OG0000039	Carub.0007s1800.1.p	Csa11g022780, Csa12g033330
OG0000039	Carub.0007s1807.1.p	Csa12g033460, Csa11g022880
OG0000039	Carub.0006s3054.1.p	Csa08g043740, Csa13g048680
OG0000039	Carub.0007s1792.1.p	Csa12g032260
OG0000039	Carub.0006s3041.1.p, Carub.0006s3042.1.p	Csa02g020100, Csa13g048620, Csa08g043730
OG0000040	Carub.0003s1159.1.p	Csa15g016130
OG0000040	Carub.0003s1717.1.p	Csa15g023630, Csa01g013350
OG0000040	Carub.0004s0220.1.p	Csa09g087290
OG0000040	Carub.0004s0216.1.p, Carub.0004s0219.1.p, Carub.0004s0218.1.p, Carub.0004s0215.1.p	Csa04g049310
OG0000040	Carub.0004s0217.1.p	Csa09g087260
OG0000040	Carub.0004s0222.1.p, Carub.0004s0221.1.p	Csa07g053050
OG0000040	Carub.0003s0966.1.p	Csa09g052050, Csa04g034950, Csa06g023520
OG0000040	Carub.0003s2578.1.p	Csa01g011310, Csa19g014070
OG0000040	Carub.0002s2006.1.p	Csa16g036020, Csa07g040480
OG0000041	Carub.0008s0709.1.p	Csa05g059220, Csa09g066020, Csa03g050710
OG0000041	Carub.0024s0015.1.p	Csa07g034430, Csa07g030170
OG0000041	Carub.0008s0594.1.p, Carub.0007s3055.1.p, Carub.0007s3157.1.p, Carub.0007s3143.1.p, Carub.0004s0616.1.p, Carub.0007s3038.1.p, Carub.0004s0523.1.p, Carub.0001s1088.1.p, Carub.0003s2750.1.p, Carub.0003s2772.1.p, Carub.0008s1087.1.p	Csa16g026580
OG0000042	Carub.0007s3423.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3764.1.p, Carub.0007s3768.1.p, Carub.0007s3765.1.p	Csa12g074250, Csa11g046510, Csa11g053250, Csa12g084320, Csa10g044450, Csa12g084310
OG0000042	Carub.0007s3763.1.p	Csa12g084290, Csa10g044460, Csa11g053270
OG0000042	Carub.0005s2560.1.p	Csa06g036570, Csa04g046340, Csa09g071440, Csa07g004880, Csa16g005740
OG0000042	Carub.0005s2565.1.p	Csa05g089410, Csa16g006810
OG0000042	Carub.0005s2566.1.p	Csa09g071480, Csa02240s010
OG0000042	Carub.0003s0219.1.p	Csa15g002750
OG0000042	Carub.0005s2569.1.p	Csa05g089340
OG0000042	Carub.0005s2568.1.p	Csa05g089330, Csa06g036640, Csa04g046400
OG0000042	Carub.0005s2741.1.p	Csa05g092530, Csa04g039850, Csa16g004190, Csa07g004200, Csa07g004240, Csa05g092490
OG0000043	Carub.0008s1038.1.p	Csa18g021010
OG0000043	Carub.0219s0002.1.p	Csa13g023390
OG0000043	Carub.0006s1881.1.p	Csa08g014290
OG0000043	Carub.0004s1293.1.p, Carub.0004s1294.1.p	Csa05g029530
OG0000043	Carub.0005s1366.1.p	Csa04g030490, Csa09g047930
OG0000043	Carub.0005s1333.1.p	Csa04g030030
OG0000044	Carub.0005s1317.1.p	Csa04g029830, Csa06g020750, Csa09g045300, Csa09g045280
OG0000044	Carub.0002s0291.1.p	Csa16g053880
OG0000044	Carub.0002s0294.1.p, Carub.0002s0295.1.p	Csa07g063420, Csa09g096730, Csa16g053860
OG0000044	Carub.0002s0306.1.p	Csa09g096530, Csa16g053760
OG0000044	Carub.0002s0249.1.p	Csa07g063780, Csa16g055240, Csa09g097110
OG0000045	Carub.0007s1788.1.p	Csa12g032250, Csa12g032160
OG0000045	Carub.0007s1786.1.p, Carub.0007s1787.1.p	Csa12g032210, Csa11g022650
