Orthogroup	Capsella_rubella	Arabis_alpina
OG0000018	Carub.0002s0109.1.p	AALP_AA3G060200, AALP_AA3G061500
OG0000018	Carub.0002s0093.1.p, Carub.0002s0097.1.p	AALP_AA7G040900
OG0000019	Carub.0001s3825.1.p	AALP_AA4G041600
OG0000019	Carub.0001s4075.1.p, Carub.0001s4074.1.p	AALP_AA8G474600
OG0000019	Carub.0008s2031.1.p, Carub.0008s2032.1.p	AALP_AA8G391800, AALP_AA8G391600, AALP_AA8G392000
OG0000019	Carub.0001s0689.1.p	AALP_AA1G076100
OG0000023	Carub.0008s0923.1.p, Carub.0001s1342.1.p, Carub.0345s0001.1.p	AALP_AA6G080600
OG0000029	Carub.0006s0158.1.p	AALP_AAs42163U000200
OG0000029	Carub.0002s0692.1.p, Carub.0001s3548.1.p, Carub.0001s3546.1.p, Carub.0001s3549.1.p, Carub.0001s3547.1.p	AALP_AA4G213100
OG0000029	Carub.0006s0173.1.p	AALP_AA8G020200, AALP_AA8G020100
OG0000030	Carub.0002s0150.1.p, Carub.0002s0110.1.p, Carub.0002s0209.1.p, Carub.0002s0210.1.p, Carub.0002s0190.1.p, Carub.0002s0192.1.p, Carub.0002s0191.1.p, Carub.0002s0148.1.p, Carub.0002s0787.1.p	AALP_AA2G029900
OG0000031	Carub.0008s2368.1.p, Carub.0008s1688.1.p, Carub.0008s1687.1.p	AALP_AA8G116400
OG0000031	Carub.0005s2152.1.p	AALP_AA8G107400, AALP_AA5G194400
OG0000032	Carub.0005s1268.1.p, Carub.0005s1269.1.p, Carub.0005s1261.1.p, Carub.0005s1263.1.p	AALP_AA6G351400
OG0000032	Carub.0002s1321.1.p, Carub.0120s0001.1.p, Carub.0002s1326.1.p, Carub.0002s1328.1.p	AALP_AA2G085000, AALP_AA8G115600
OG0000032	Carub.0002s1316.1.p	AALP_AA2G085100
OG0000033	Carub.0002s0234.1.p, Carub.0006s2588.1.p, Carub.0002s0239.1.p, Carub.0002s0236.1.p	AALP_AA2G014400, AALP_AA3G336200, AALP_AAs55447U000100, AALP_AA2G014600, AALP_AA2G015600
OG0000037	Carub.0003s1860.1.p, Carub.0001s3843.1.p	AALP_AAs41934U000200
OG0000038	Carub.0005s0501.1.p	AALP_AA6G354700
OG0000038	Carub.0005s0502.1.p	AALP_AA5G036700
OG0000038	Carub.0005s1791.1.p	AALP_AA8G448900, AALP_AA3G045900, AALP_AA1G046900, AALP_AA5G156600
OG0000038	Carub.0005s1911.1.p	AALP_AA8G448800, AALP_AA6G282500
OG0000038	Carub.0005s1519.1.p	AALP_AA8G168300
OG0000039	Carub.0007s1798.1.p, Carub.0007s1797.1.p, Carub.0007s1808.1.p	AALP_AA6G028500
OG0000039	Carub.0007s1795.1.p	AALP_AA7G060300, AALP_AA7G060600, AALP_AAs67984U000300
OG0000039	Carub.0007s1794.1.p, Carub.0007s1807.1.p	AALP_AA7G060200
OG0000039	Carub.0006s3047.1.p	AALP_AA6G175100, AALP_AAs50850U000500
OG0000039	Carub.0006s3044.1.p, Carub.0006s3043.1.p, Carub.0006s3041.1.p, Carub.0006s3042.1.p	AALP_AA6G305600
OG0000040	Carub.0003s1717.1.p	AALP_AA3G132800
OG0000040	Carub.0004s0220.1.p, Carub.0004s0216.1.p, Carub.0004s0219.1.p, Carub.0004s0218.1.p, Carub.0004s0215.1.p, Carub.0004s0217.1.p, Carub.0004s0222.1.p, Carub.0004s0221.1.p	AALP_AA2G118800
OG0000040	Carub.0003s0966.1.p, Carub.0003s2578.1.p	AALP_AA3G112600, AALP_AA3G112800, AALP_AA3G112700
OG0000040	Carub.0002s2006.1.p	AALP_AA3G248300
OG0000041	Carub.0024s0015.1.p	AALP_AA5G041400
OG0000042	Carub.0005s2595.1.p, Carub.0007s3423.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3764.1.p, Carub.0007s3768.1.p, Carub.0007s3765.1.p, Carub.0007s3762.1.p, Carub.0007s3763.1.p, Carub.0005s2560.1.p	AALP_AA5G239800, AALP_AA5G240300
OG0000042	Carub.0003s0219.1.p, Carub.0003s0218.1.p	AALP_AA3G024400, AALP_AA3G024600, AALP_AA6G020000
OG0000042	Carub.0005s2741.1.p	AALP_AAs68706U000100
OG0000043	Carub.0005s1366.1.p	AALP_AA5G105200
OG0000044	Carub.0002s0305.1.p	AALP_AAs50016U000200
OG0000044	Carub.0002s0291.1.p, Carub.0002s0311.1.p	AALP_AA2G021700, AALP_AA3G075200, AALP_AA2G020700, AALP_AA2G016400, AALP_AA2G016300, AALP_AA2G021800, AALP_AAs60874U000100
OG0000045	Carub.0007s1813.1.p	AALP_AA6G028000
OG0000045	Carub.0007s1803.1.p	AALP_AAs48628U000100, AALP_AAs43447U000100
OG0000045	Carub.0007s1796.1.p	AALP_AA7G174300, AALP_AA6G028200
OG0000045	Carub.0007s1809.1.p	AALP_AA6G028400
OG0000046	Carub.0007s0407.1.p	AALP_AAs64007U000100, AALP_AAs64007U000500, AALP_AA7G236900
OG0000046	Carub.0007s2167.1.p	AALP_AA5G140300
OG0000046	Carub.0004s0373.1.p, Carub.0008s0292.1.p	AALP_AA6G131200
OG0000046	Carub.0007s2929.1.p, Carub.0006s2909.1.p	AALP_AAs46094U000400
OG0000050	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p	AALP_AA2G198300, AALP_AA6G242400
OG0000051	Carub.0006s0729.1.p	AALP_AA8G080900
OG0000051	Carub.0005s0524.1.p	AALP_AA5G038000
OG0000051	Carub.0003s0014.1.p	AALP_AA3G010700
OG0000051	Carub.0006s1231.1.p	AALP_AA8G141200
OG0000051	Carub.0003s0015.1.p	AALP_AA3G010600
OG0000051	Carub.0005s1480.1.p	AALP_AA5G109200
OG0000051	Carub.0008s2420.1.p	AALP_AA8G466600
OG0000053	Carub.0007s2756.1.p	AALP_AAs70636U001500
OG0000053	Carub.0003s2306.1.p	AALP_AA3G262000
OG0000053	Carub.0004s0751.1.p, Carub.0005s2353.1.p, Carub.0004s2342.1.p	AALP_AA6G241500
OG0000054	Carub.0001s1178.1.p	AALP_AA1G129700
OG0000054	Carub.0002s0247.1.p	AALP_AA8G178400
OG0000054	Carub.0006s3168.1.p, Carub.0006s3169.1.p	AALP_AA6G185200
OG0000054	Carub.0004s2780.1.p	AALP_AA4G240600
OG0000057	Carub.0008s1787.1.p	AALP_AA8G362400
OG0000057	Carub.0002s2690.1.p	AALP_AA2G258100
OG0000057	Carub.0016s0001.1.p	AALP_AA5G067500
OG0000057	Carub.0013s0011.1.p	AALP_AA8G439300, AALP_AA3G306500
OG0000057	Carub.0007s1042.1.p	AALP_AA7G152400
OG0000057	Carub.0003s3319.1.p	AALP_AA3G353600
OG0000060	Carub.0006s2066.1.p	AALP_AA8G405800
OG0000060	Carub.0008s2052.1.p, Carub.0005s1183.1.p, Carub.0005s1189.1.p	AALP_AA8G395500
OG0000061	Carub.0002s0647.1.p	AALP_AA3G108600, AALP_AA8G310400
OG0000062	Carub.0004s0748.1.p, Carub.0004s0749.1.p	AALP_AA7G164900
OG0000062	Carub.0003s2000.1.p	AALP_AA3G231600, AALP_AA8G485600
OG0000062	Carub.0005s0773.1.p	AALP_AA3G231200, AALP_AA5G078700, AALP_AA5G035800
OG0000064	Carub.0003s3462.1.p	AALP_AA3G369800, AALP_AA3G256100
OG0000064	Carub.0001s0331.1.p	AALP_AA1G035800
OG0000064	Carub.0001s1734.1.p	AALP_AA1G194000
OG0000064	Carub.0006s1882.1.p	AALP_AA8G226900
OG0000064	Carub.0001s0808.1.p	AALP_AA1G091000
OG0000065	Carub.0002s2263.1.p	AALP_AA2G200900
OG0000065	Carub.0008s0413.1.p	AALP_AA6G140100
OG0000065	Carub.0007s2054.1.p	AALP_AA7G033000
OG0000065	Carub.0006s2158.1.p	AALP_AA8G414100
OG0000065	Carub.0004s1060.1.p	AALP_AA1G232100
OG0000066	Carub.0003s3340.1.p, Carub.0006s3079.1.p, Carub.0006s2997.1.p	AALP_AA1G008400, AALP_AA1G005600
OG0000066	Carub.0001s2694.1.p, Carub.0001s2632.1.p	AALP_AA4G073300, AALP_AA4G073200
OG0000066	Carub.0007s3406.1.p, Carub.0007s3405.1.p, Carub.0005s1849.1.p	AALP_AA6G028700, AALP_AA8G036100
OG0000068	Carub.0001s3799.1.p	AALP_AA1G220400, AALP_AA5G237300
OG0000068	Carub.0002s2286.1.p	AALP_AA2G203200
OG0000068	Carub.0005s2675.1.p, Carub.0003s2192.1.p, Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p	AALP_AA5G254800, AALP_AA5G254700
OG0000070	Carub.0007s0072.1.p	AALP_AA7G266200
OG0000070	Carub.0004s0025.1.p	AALP_AA2G165700
OG0000070	Carub.0003s3215.1.p	AALP_AA3G340300
OG0000070	Carub.0007s0412.1.p	AALP_AA7G235900
OG0000070	Carub.0002s2243.1.p	AALP_AA2G198100
OG0000070	Carub.0001s1934.1.p	AALP_AA1G217300
OG0000070	Carub.0003s3033.1.p	AALP_AA3G326200
OG0000070	Carub.0007s0553.1.p	AALP_AA7G218300
OG0000071	Carub.0007s3253.1.p	AALP_AA3G297400
OG0000071	Carub.0001s3703.1.p, Carub.0001s3751.1.p, Carub.0001s3702.1.p, Carub.0006s1098.1.p	AALP_AA4G080600
OG0000072	Carub.0003s3077.1.p, Carub.0008s0706.1.p	AALP_AA1G177000
OG0000074	Carub.0008s1976.1.p	AALP_AA8G385200
OG0000074	Carub.0005s1307.1.p	AALP_AA5G090000
OG0000074	Carub.0008s1984.1.p	AALP_AA8G381300
OG0000074	Carub.0008s1985.1.p, Carub.0008s1983.1.p	AALP_AA8G381500
OG0000077	Carub.0004s1453.1.p	AALP_AA6G066500
OG0000077	Carub.0003s2713.1.p, Carub.0003s2530.1.p, Carub.0003s2529.1.p, Carub.0003s2534.1.p, Carub.0003s2532.1.p, Carub.0003s2531.1.p, Carub.0148s0001.1.p	AALP_AA6G074600, AALP_AA8G145500
OG0000078	Carub.0001s1962.1.p	AALP_AA1G219700
OG0000078	Carub.0002s2275.1.p	AALP_AA2G202200
OG0000078	Carub.0007s0529.1.p	AALP_AA7G222000, AALP_AA4G166100
OG0000078	Carub.0008s0195.1.p	AALP_AA6G120700
OG0000078	Carub.0007s0427.1.p	AALP_AA3G337500, AALP_AA7G234300
OG0000078	Carub.0005s1767.1.p	AALP_AA5G136700
OG0000079	Carub.0007s0816.1.p	AALP_AA7G186800
OG0000079	Carub.0008s0451.1.p	AALP_AA6G143600
OG0000079	Carub.0006s1564.1.p	AALP_AA8G184200
OG0000079	Carub.0006s0830.1.p	AALP_AA8G091900
OG0000080	Carub.0008s1461.1.p	AALP_AA8G330800
OG0000083	Carub.0007s1566.1.p	AALP_AA7G080800
OG0000083	Carub.0001s2429.1.p, Carub.0001s3299.1.p	AALP_AA1G278500
OG0000083	Carub.0001s1373.1.p	AALP_AA1G154500, AALP_AA1G155200, AALP_AA1G154600
OG0000083	Carub.0005s0217.1.p	AALP_AA5G020900
OG0000083	Carub.0005s0218.1.p	AALP_AA5G021000
OG0000083	Carub.0005s0216.1.p	AALP_AA5G019500
OG0000084	Carub.0007s1287.1.p	AALP_AA7G117600
OG0000085	Carub.0001s0436.1.p	AALP_AA8G373900
OG0000085	Carub.0007s0781.1.p	AALP_AA8G438200
OG0000085	Carub.0008s0420.1.p, Carub.0008s0416.1.p	AALP_AA3G349600
OG0000085	Carub.0006s0548.1.p	AALP_AAs57002U000100
OG0000085	Carub.0002s0899.1.p, Carub.0008s0417.1.p	AALP_AA8G040000
OG0000085	Carub.0003s0998.1.p	AALP_AA3G116600
OG0000085	Carub.0007s2619.1.p, Carub.0006s2253.1.p	AALP_AA7G240300
OG0000086	Carub.0008s1247.1.p	AALP_AA8G300400
OG0000086	Carub.0008s2054.1.p	AALP_AA8G395300
OG0000086	Carub.0008s2056.1.p	AALP_AA8G395200
OG0000086	Carub.0005s1186.1.p	AALP_AA5G084200
OG0000088	Carub.0008s2101.1.p	AALP_AA8G400300
OG0000088	Carub.0008s2099.1.p	AALP_AA8G399900, AALP_AA8G400100
OG0000088	Carub.0005s1123.1.p	AALP_AA5G080000
OG0000089	Carub.0007s3074.1.p, Carub.0002s1014.1.p, Carub.0002s1016.1.p, Carub.0004s0685.1.p	AALP_AAs43157U000100
OG0000090	Carub.0004s1037.1.p	AALP_AA3G342400, AALP_AAs67532U000400
OG0000090	Carub.0004s1033.1.p	AALP_AA2G169200, AALP_AA2G169000
OG0000090	Carub.0004s1038.1.p	AALP_AA3G304100
OG0000090	Carub.0004s1036.1.p	AALP_AAs48252U001400
OG0000094	Carub.0002s0367.1.p, Carub.0002s0372.1.p, Carub.0002s0378.1.p, Carub.0002s0373.1.p, Carub.0002s0374.1.p, Carub.0002s0375.1.p	AALP_AA2G029700
OG0000095	Carub.0007s1745.1.p, Carub.0007s1744.1.p	AALP_AA2G045800, AALP_AA7G066600
OG0000095	Carub.0005s0443.1.p, Carub.0005s0446.1.p, Carub.0005s0445.1.p, Carub.0005s0444.1.p	AALP_AA7G066500
OG0000095	Carub.0001s1472.1.p	AALP_AA1G240300
OG0000095	Carub.0005s0049.1.p	AALP_AA5G005500
OG0000096	Carub.0002s1339.1.p	AALP_AA2G180500
OG0000098	Carub.0002s1323.1.p, Carub.0004s1818.1.p	AALP_AA4G110300
OG0000098	Carub.0004s0741.1.p	AALP_AA6G243800
OG0000098	Carub.0005s0873.1.p	AALP_AA5G065100
OG0000098	Carub.0001s1530.1.p	AALP_AA1G175900
OG0000098	Carub.0002s0539.1.p	AALP_AA2G248800
OG0000098	Carub.0003s1609.1.p	AALP_AA3G185300
OG0000099	Carub.0001s0151.1.p	AALP_AA1G017400
OG0000100	Carub.0003s3035.1.p	AALP_AA2G073500, AALP_AAs44455U000100, AALP_AAs61703U000100, AALP_AA7G184200, AALP_AA1G085800, AALP_AA2G032300, AALP_AA5G199700
OG0000100	Carub.0007s3665.1.p, Carub.0005s0879.1.p, Carub.0003s3297.1.p, Carub.0002s0096.1.p	AALP_AA8G083500, AALP_AA4G030400, AALP_AA7G122800, AALP_AA6G046000, AALP_AA6G212400, AALP_AA5G156300, AALP_AA4G101100
OG0000100	Carub.0001s4487.1.p	AALP_AA4G103300
OG0000103	Carub.0006s2925.1.p	AALP_AA6G166800
OG0000103	Carub.0006s2932.1.p	AALP_AA6G166900
OG0000103	Carub.0001s3127.1.p, Carub.0001s3126.1.p	AALP_AA1G336300, AALP_AA1G336600, AALP_AAs60950U000100
OG0000103	Carub.0001s3128.1.p	AALP_AA1G336500
OG0000104	Carub.0006s1060.1.p	AALP_AA8G255200, AALP_AA8G249800
OG0000106	Carub.0002s1066.1.p, Carub.0002s1069.1.p, Carub.0002s1065.1.p	AALP_AA1G326800
OG0000106	Carub.0002s1057.1.p, Carub.0002s1060.1.p	AALP_AA3G326900
OG0000106	Carub.0001s4142.1.p, Carub.0008s2264.1.p, Carub.0008s2263.1.p, Carub.0008s2262.1.p, Carub.0004s0829.1.p, Carub.0004s0831.1.p	AALP_AA8G449800, AALP_AA8G450500, AALP_AA8G449900
OG0000108	Carub.0008s0524.1.p, Carub.0008s0526.1.p, Carub.0008s0525.1.p	AALP_AA6G150400, AALP_AA6G150600, AALP_AA6G150500
OG0000110	Carub.0007s2466.1.p	AALP_AAs66747U002500
OG0000110	Carub.0004s0348.1.p	AALP_AAs42086U000100
OG0000110	Carub.0005s0364.1.p	AALP_AA5G230300
OG0000113	Carub.0005s2572.1.p	AALP_AA5G174500
OG0000113	Carub.0003s3283.1.p, Carub.0006s3253.1.p	AALP_AA6G117100
OG0000113	Carub.0005s2917.1.p	AALP_AA3G179500
OG0000114	Carub.0006s1688.1.p	AALP_AA8G202600
OG0000114	Carub.0007s2614.1.p, Carub.0007s2612.1.p	AALP_AA1G115200, AALP_AAs55560U000200, AALP_AAs55560U000300, AALP_AAs50914U000200
OG0000114	Carub.0007s2610.1.p	AALP_AA1G115300, AALP_AAs55560U000100
OG0000115	Carub.0006s1597.1.p, Carub.0006s1598.1.p	AALP_AA8G189900
OG0000115	Carub.0006s1599.1.p	AALP_AA8G190000
OG0000115	Carub.0007s3256.1.p, Carub.0003s3235.1.p, Carub.0003s3234.1.p	AALP_AA3G342000
OG0000115	Carub.0005s1734.1.p	AALP_AA5G132900
OG0000115	Carub.0005s1732.1.p	AALP_AA5G132800
OG0000116	Carub.0002s1094.1.p, Carub.0002s1096.1.p, Carub.0008s0170.1.p, Carub.0008s2108.1.p, Carub.0006s2323.1.p	AALP_AA3G050500, AALP_AA8G423000, AALP_AA8G429100
OG0000117	Carub.0004s2598.1.p	AALP_AA6G233000, AALP_AA6G232800, AALP_AA6G233100, AALP_AA6G232900
OG0000120	Carub.0001s0085.1.p	AALP_AA1G006200
OG0000120	Carub.0006s3612.1.p	AALP_AA6G014300
OG0000120	Carub.0008s1340.1.p	AALP_AA8G313200
OG0000120	Carub.0004s1159.1.p	AALP_AAs72293U000200
OG0000120	Carub.0005s2840.1.p	AALP_AA5G274400
OG0000120	Carub.0004s2911.1.p	AALP_AA4G252900
OG0000123	Carub.0007s2497.1.p	AALP_AA8G261100
OG0000125	Carub.0004s0423.1.p, Carub.0004s0427.1.p, Carub.0004s0430.1.p	AALP_AA8G326500
OG0000126	Carub.0007s3394.1.p, Carub.0007s3395.1.p	AALP_AA2G003200, AALP_AA5G111000, AALP_AA3G061700, AALP_AA1G349500, AALP_AA1G327000, AALP_AA6G323700, AALP_AAs55662U000100
OG0000128	Carub.0006s1027.1.p, Carub.0006s1026.1.p, Carub.0006s1025.1.p	AALP_AA3G149800
OG0000129	Carub.0003s2873.1.p, Carub.0003s2860.1.p, Carub.0003s2861.1.p, Carub.0003s2859.1.p, Carub.0003s2868.1.p, Carub.0003s2862.1.p, Carub.0003s2875.1.p, Carub.0003s2850.1.p, Carub.0003s1631.1.p, Carub.0003s2661.1.p, Carub.0003s2658.1.p, Carub.0003s1632.1.p	AALP_AA3G355700
OG0000130	Carub.0001s3392.1.p	AALP_AA3G341400, AALP_AA3G106900, AALP_AA7G109500, AALP_AAs73216U000100, AALP_AAs71112U000100, AALP_AA1G173500, AALP_AA8G317800, AALP_AAs48021U000700, AALP_AA6G202700, AALP_AA2G041700, AALP_AA1G163700, AALP_AA7G098300, AALP_AA2G041600, AALP_AAs54367U000800, AALP_AAs52132U000100, AALP_AA1G251300, AALP_AA6G350400, AALP_AA7G152200, AALP_AA8G499800, AALP_AAs67984U000100, AALP_AAs43195U000200, AALP_AAs67613U000200, AALP_AA3G336600, AALP_AA4G124900, AALP_AA2G074100, AALP_AAs42979U000100, AALP_AAs46225U000100, AALP_AA1G340100, AALP_AA2G009700, AALP_AA3G368400, AALP_AA5G106200, AALP_AA6G281200, AALP_AA3G181900, AALP_AA2G052000, AALP_AA6G346300, AALP_AA1G155400, AALP_AA8G165200, AALP_AA3G264600, AALP_AAs39056U000500
OG0000132	Carub.0003s3248.1.p	AALP_AA3G346800
OG0000132	Carub.0001s1908.1.p	AALP_AA1G213900
OG0000132	Carub.0002s2207.1.p	AALP_AA2G194600
OG0000132	Carub.0007s0117.1.p	AALP_AA7G270400
OG0000132	Carub.0004s0070.1.p	AALP_AA6G298600
OG0000133	Carub.0006s2553.1.p	AALP_AA1G252600, AALP_AA1G252500
OG0000133	Carub.0002s1760.1.p	AALP_AA2G139300
OG0000133	Carub.0002s1761.1.p, Carub.0002s1762.1.p	AALP_AA2G139000
OG0000133	Carub.0002s1766.1.p	AALP_AA2G139600
OG0000134	Carub.0008s0627.1.p, Carub.0008s1088.1.p	AALP_AA7G168400
OG0000135	Carub.0003s2224.1.p	AALP_AA8G053600
OG0000135	Carub.0002s1632.1.p	AALP_AA2G066400, AALP_AAs50688U000100, AALP_AAs64263U000100
OG0000137	Carub.0001s2767.1.p, Carub.0001s2771.1.p, Carub.0001s2765.1.p	AALP_AA1G301800
OG0000137	Carub.0001s2773.1.p	AALP_AA1G300600, AALP_AA8G354200, AALP_AA1G300400, AALP_AA1G302500
OG0000138	Carub.0004s1459.1.p	AALP_AA3G273300, AALP_AA6G065400
OG0000138	Carub.0004s2255.1.p, Carub.0002s0725.1.p, Carub.0001s4371.1.p	AALP_AA4G190200
OG0000140	Carub.0007s3161.1.p, Carub.0004s0698.1.p	AALP_AA8G186400
OG0000141	Carub.0002s1911.1.p	AALP_AA6G279100, AALP_AA1G235300, AALP_AA8G286100
OG0000143	Carub.0003s1843.1.p	AALP_AA3G214200
OG0000144	Carub.0005s2768.1.p	AALP_AA5G265500
OG0000144	Carub.0004s2818.1.p, Carub.0004s2817.1.p	AALP_AA4G244600
OG0000144	Carub.0004s2821.1.p, Carub.0004s2819.1.p	AALP_AA4G244800, AALP_AA8G146600
OG0000144	Carub.0004s2822.1.p	AALP_AA4G245200
OG0000146	Carub.0007s0510.1.p, Carub.0007s0519.1.p	AALP_AA7G225000
OG0000146	Carub.0003s3101.1.p, Carub.0003s3102.1.p	AALP_AA3G329700
OG0000149	Carub.0001s4475.1.p	AALP_AA4G003000
OG0000149	Carub.0001s4474.1.p, Carub.0001s4473.1.p	AALP_AA4G003100
OG0000150	Carub.0002s0633.1.p, Carub.0001s2150.1.p, Carub.0001s2131.1.p, Carub.0006s2922.1.p, Carub.0005s1133.1.p, Carub.0001s2128.1.p, Carub.0001s2130.1.p, Carub.0001s2141.1.p, Carub.0001s2140.1.p	AALP_AA1G240200
OG0000153	Carub.0008s2083.1.p, Carub.0008s2091.1.p	AALP_AA8G397500
OG0000154	Carub.0006s2239.1.p, Carub.0006s2241.1.p, Carub.0006s2238.1.p, Carub.0006s2240.1.p, Carub.0001s3511.1.p, Carub.0004s2705.1.p	AALP_AAs43395U000100
OG0000154	Carub.0005s2687.1.p, Carub.0004s0629.1.p	AALP_AA5G255600, AALP_AA5G255500
OG0000154	Carub.0002s0665.1.p, Carub.0002s0666.1.p	AALP_AA4G233600
OG0000154	Carub.0004s2704.1.p	AALP_AA4G233500
OG0000155	Carub.0006s2585.1.p, Carub.0004s1242.1.p, Carub.0004s1240.1.p, Carub.0004s1227.1.p, Carub.0004s1241.1.p, Carub.0006s2584.1.p	AALP_AA6G088600
OG0000156	Carub.0008s1776.1.p	AALP_AA8G361500
OG0000156	Carub.0005s0423.1.p, Carub.0005s0421.1.p	AALP_AA5G030000
OG0000156	Carub.0005s0357.1.p, Carub.0005s0420.1.p	AALP_AA5G029900
OG0000156	Carub.0005s0419.1.p, Carub.0005s0418.1.p, Carub.0005s0417.1.p	AALP_AA5G031400, AALP_AA5G029400, AALP_AA5G029300, AALP_AA5G031500
OG0000158	Carub.0008s1151.1.p	AALP_AA5G274100
OG0000159	Carub.0007s2881.1.p, Carub.0007s2883.1.p	AALP_AA1G119500, AALP_AA4G074200, AALP_AA1G119200, AALP_AA1G119300
