Orthogroup	Capsella_rubella	Tarenaya_hassleriana
OG0000053	Carub.0007s3294.1.p, Carub.0002s1246.1.p	Th2v00534, Th2v05294, Th2v17972
OG0000053	Carub.0007s2756.1.p, Carub.0003s2306.1.p	Th2v15574
OG0000054	Carub.0001s1178.1.p, Carub.0002s0247.1.p	Th2v06009, Th2v14718
OG0000054	Carub.0006s3168.1.p, Carub.0006s3169.1.p	Th2v04460
OG0000054	Carub.0004s2780.1.p	Th2v12814, Th2v22503
OG0000054	Carub.0006s3172.1.p, Carub.0007s1886.1.p	Th2v04452, Th2v16720, Th2v04453
OG0000057	Carub.0008s1787.1.p	Th2v05564, Th2v21740, Th2v05785
OG0000057	Carub.0001s1701.1.p	Th2v23285
OG0000057	Carub.0005s2708.1.p	Th2v31231
OG0000057	Carub.0008s2342.1.p, Carub.0005s1407.1.p	Th2v14006
OG0000057	Carub.0002s2690.1.p	Th2v10190
OG0000057	Carub.0016s0001.1.p	Th2v18022, Th2v19007
OG0000057	Carub.0013s0011.1.p	Th2v19705
OG0000057	Carub.0007s1042.1.p, Carub.0003s3319.1.p	Th2v01717, Th2v02145, Th2v12432
OG0000064	Carub.0003s3462.1.p, Carub.0007s1193.1.p	Th2v01593, Th2v02228
OG0000064	Carub.0008s0469.1.p, Carub.0001s0331.1.p	Th2v16137
OG0000064	Carub.0001s1734.1.p	Th2v09991
OG0000064	Carub.0006s1882.1.p	Th2v18997
OG0000064	Carub.0005s2501.1.p	Th2v06859
OG0000064	Carub.0002s0909.1.p, Carub.0001s0808.1.p	Th2v06200, Th2v14903, Th2v23236
OG0000065	Carub.0002s2263.1.p	Th2v05817, Th2v20913, Th2v28085
OG0000065	Carub.0001s1954.1.p	Th2v04082
OG0000065	Carub.0008s0413.1.p, Carub.0007s2054.1.p	Th2v04327
OG0000065	Carub.0006s1076.1.p	Th2v15561, Th2v19216
OG0000065	Carub.0004s1060.1.p	Th2v01110, Th2v07494, Th2v15777, Th2v08264
OG0000065	Carub.0005s1313.1.p, Carub.0005s1309.1.p	Th2v17813, Th2v21305, Th2v18739
OG0000068	Carub.0008s0711.1.p	Th2v11055, Th2v30364
OG0000068	Carub.0001s3799.1.p, Carub.0002s2286.1.p, Carub.0005s2675.1.p, Carub.0003s2192.1.p, Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p	Th2v28107
OG0000070	Carub.0007s0072.1.p	Th2v03273
OG0000070	Carub.0004s0025.1.p, Carub.0003s3215.1.p, Carub.0007s0412.1.p, Carub.0002s2243.1.p, Carub.0001s1934.1.p, Carub.0003s3033.1.p, Carub.0007s0553.1.p	Th2v02802, Th2v12095
OG0000072	Carub.0003s3077.1.p, Carub.0008s0706.1.p	Th2v23932, Th2v26503, Th2v29778, Th2v12157, Th2v23678, Th2v29868
OG0000073	Carub.0001s3395.1.p	Th2v30285, Th2v30498, Th2v11085
OG0000073	Carub.0002s1008.1.p	Th2v28340
OG0000074	Carub.0008s1976.1.p	Th2v18648, Th2v18649, Th2v19318, Th2v19319
OG0000074	Carub.0005s1307.1.p, Carub.0008s1984.1.p, Carub.0008s1982.1.p, Carub.0008s1946.1.p, Carub.0008s1945.1.p, Carub.0008s1947.1.p, Carub.0008s1985.1.p, Carub.0008s1983.1.p	Th2v17820, Th2v17822
OG0000078	Carub.0001s1962.1.p, Carub.0002s2275.1.p	Th2v04085
OG0000078	Carub.0007s0529.1.p	Th2v12107
OG0000078	Carub.0008s0195.1.p	Th2v07388, Th2v10688, Th2v16538
OG0000078	Carub.0005s1767.1.p	Th2v11648, Th2v13434
OG0000079	Carub.0004s0525.1.p, Carub.0007s0816.1.p	Th2v01887, Th2v02043
OG0000079	Carub.0003s1011.1.p, Carub.0006s0410.1.p	Th2v23568, Th2v08612, Th2v11547
OG0000079	Carub.0008s0451.1.p	Th2v08012
OG0000079	Carub.0006s1564.1.p	Th2v21769
OG0000079	Carub.0007s0125.1.p	Th2v02334
OG0000079	Carub.0008s2555.1.p, Carub.0006s0830.1.p	Th2v13666, Th2v11795, Th2v24218
OG0000083	Carub.0007s1566.1.p, Carub.0001s2429.1.p, Carub.0001s3299.1.p	Th2v30473
OG0000083	Carub.0001s1373.1.p, Carub.0005s0217.1.p, Carub.0005s0218.1.p, Carub.0005s0216.1.p	Th2v00125
OG0000084	Carub.0007s1287.1.p, Carub.0008s1348.1.p	Th2v26933
OG0000084	Carub.0007s3378.1.p	Th2v16391, Th2v06067, Th2v14775, Th2v04829, Th2v20464, Th2v10451, Th2v15846
OG0000084	Carub.0003s3054.1.p	Th2v08986, Th2v12108
OG0000086	Carub.0008s1247.1.p	Th2v28940, Th2v09763, Th2v26908
OG0000086	Carub.0001s0046.1.p, Carub.0006s3653.1.p	Th2v24520
OG0000086	Carub.0005s1187.1.p, Carub.0008s2054.1.p, Carub.0008s2056.1.p	Th2v18813
OG0000086	Carub.0005s1186.1.p	Th2v09212, Th2v14285, Th2v22109
OG0000088	Carub.0005s1126.1.p, Carub.0008s2102.1.p, Carub.0008s2101.1.p	Th2v17880
OG0000088	Carub.0008s2099.1.p	Th2v21255
OG0000088	Carub.0005s1123.1.p, Carub.0005s1125.1.p, Carub.0005s1121.1.p, Carub.0008s2103.1.p	Th2v21257
OG0000089	Carub.0093s0002.1.p, Carub.0007s3074.1.p, Carub.0002s1014.1.p, Carub.0002s1016.1.p, Carub.0004s0685.1.p	Th2v12193, Th2v27346, Th2v23807, Th2v27356, Th2v29410, Th2v29393, Th2v31221, Th2v03296
OG0000095	Carub.0007s1745.1.p, Carub.0007s1744.1.p, Carub.0005s0443.1.p, Carub.0005s0446.1.p, Carub.0005s0445.1.p, Carub.0005s0444.1.p, Carub.0001s1473.1.p, Carub.0001s1472.1.p, Carub.0005s0049.1.p	Th2v05429, Th2v06545, Th2v15244
OG0000096	Carub.0002s0642.1.p, Carub.0002s1339.1.p, Carub.0007s3543.1.p, Carub.0004s0512.1.p, Carub.0004s0515.1.p, Carub.0004s0513.1.p, Carub.0004s0514.1.p, Carub.0002s0936.1.p	Th2v03606, Th2v25101
OG0000098	Carub.0002s1323.1.p, Carub.0004s1818.1.p	Th2v14665, Th2v29108, Th2v30314
OG0000098	Carub.0004s0741.1.p	Th2v19789
OG0000098	Carub.0005s0873.1.p	Th2v19035
OG0000098	Carub.0001s1530.1.p	Th2v23425, Th2v10229
OG0000098	Carub.0001s1496.1.p, Carub.0002s0539.1.p	Th2v07760
OG0000098	Carub.0003s1609.1.p	Th2v00841, Th2v21911
OG0000099	Carub.0001s0151.1.p	Th2v16330
OG0000099	Carub.0002s1717.1.p	Th2v11724
OG0000099	Carub.0006s1284.1.p	Th2v06999, Th2v18163, Th2v06375, Th2v15075, Th2v23159, Th2v24711, Th2v25689
OG0000099	Carub.0004s2990.1.p	Th2v12990, Th2v22692
OG0000099	Carub.0001s1010.1.p	Th2v20731
OG0000103	Carub.0006s2931.1.p, Carub.0006s2925.1.p, Carub.0006s2932.1.p, Carub.0001s3127.1.p, Carub.0001s3126.1.p	Th2v04621
OG0000103	Carub.0001s3128.1.p	Th2v04622, Th2v16850, Th2v16851, Th2v04623
OG0000104	Carub.0004s2425.1.p, Carub.0004s2500.1.p, Carub.0006s1060.1.p, Carub.0006s2504.1.p, Carub.0004s2472.1.p, Carub.0004s2471.1.p, Carub.0004s2468.1.p, Carub.0006s2711.1.p	Th2v13213, Th2v13214, Th2v28378, Th2v13260, Th2v25895, Th2v20552, Th2v20620
OG0000106	Carub.0002s1066.1.p, Carub.0002s1069.1.p, Carub.0002s1065.1.p, Carub.0002s1057.1.p, Carub.0002s1060.1.p, Carub.0002s1061.1.p, Carub.0001s4142.1.p, Carub.0008s2264.1.p, Carub.0008s2263.1.p, Carub.0008s2262.1.p, Carub.0004s0829.1.p, Carub.0004s0831.1.p	Th2v05230, Th2v05235
OG0000108	Carub.0005s2130.1.p, Carub.0004s2097.1.p	Th2v29171, Th2v03551, Th2v14691
OG0000108	Carub.0008s0524.1.p, Carub.0008s0526.1.p, Carub.0008s0525.1.p, Carub.0008s0523.1.p	Th2v08041, Th2v08044, Th2v08042, Th2v08043
OG0000109	Carub.0001s3556.1.p, Carub.0001s3978.1.p	Th2v21820
OG0000110	Carub.0007s2466.1.p, Carub.0007s2465.1.p	Th2v05855, Th2v20955, Th2v21803, Th2v20744, Th2v21802
OG0000110	Carub.0004s0348.1.p, Carub.0005s0364.1.p	Th2v20363, Th2v05137, Th2v05138, Th2v00751, Th2v00752, Th2v11008
OG0000114	Carub.0006s1688.1.p	Th2v26245
OG0000114	Carub.0007s2614.1.p, Carub.0007s2612.1.p, Carub.0007s2610.1.p, Carub.0007s2603.1.p, Carub.0007s2605.1.p, Carub.0007s2607.1.p, Carub.0007s2608.1.p, Carub.0007s2611.1.p	Th2v18224
OG0000115	Carub.0006s1597.1.p, Carub.0006s1598.1.p, Carub.0006s1599.1.p	Th2v22897
OG0000115	Carub.0007s3256.1.p, Carub.0003s3235.1.p, Carub.0003s3234.1.p	Th2v12233
OG0000115	Carub.0005s1734.1.p, Carub.0005s1733.1.p, Carub.0005s1732.1.p	Th2v12552, Th2v13448
OG0000116	Carub.0007s3200.1.p, Carub.0007s3199.1.p, Carub.0002s1094.1.p, Carub.0002s1096.1.p, Carub.0008s0170.1.p, Carub.0008s2108.1.p, Carub.0006s2323.1.p, Carub.0006s0122.1.p, Carub.0006s0397.1.p, Carub.0006s0373.1.p	Th2v21431, Th2v21430
OG0000117	Carub.0004s2597.1.p, Carub.0004s2599.1.p, Carub.0002s0551.1.p, Carub.0004s2602.1.p, Carub.0004s2604.1.p, Carub.0004s2601.1.p, Carub.0004s2598.1.p	Th2v03343, Th2v31327, Th2v13350, Th2v25972, Th2v13354, Th2v13352, Th2v13353, Th2v13355, Th2v13351, Th2v25973
OG0000120	Carub.0001s0085.1.p	Th2v07836, Th2v24542
OG0000120	Carub.0008s1340.1.p, Carub.0004s1160.1.p, Carub.0004s1159.1.p, Carub.0004s1158.1.p	Th2v28972, Th2v09721, Th2v26938
OG0000120	Carub.0005s2840.1.p	Th2v27537
OG0000123	Carub.0005s2737.1.p, Carub.0004s2779.1.p	Th2v07064, Th2v18110
OG0000123	Carub.0003s2690.1.p	Th2v08541, Th2v19652
OG0000126	Carub.0007s3394.1.p, Carub.0007s3395.1.p	Th2v31160
OG0000128	Carub.0007s1067.1.p, Carub.0003s1002.1.p, Carub.0006s1027.1.p, Carub.0006s1026.1.p, Carub.0006s1025.1.p	Th2v00760, Th2v05131, Th2v05132
OG0000130	Carub.0001s3392.1.p	Th2v30537, Th2v30941, Th2v30241, Th2v02964
OG0000132	Carub.0003s3248.1.p, Carub.0007s0376.1.p	Th2v03024, Th2v21531
OG0000132	Carub.0001s1908.1.p	Th2v05854
OG0000132	Carub.0002s2207.1.p	Th2v14619
OG0000132	Carub.0007s0117.1.p, Carub.0004s0070.1.p	Th2v12544
OG0000133	Carub.0002s1763.1.p, Carub.0002s1767.1.p, Carub.0006s2553.1.p, Carub.0001s2267.1.p, Carub.0002s1760.1.p, Carub.0002s1761.1.p, Carub.0002s1762.1.p, Carub.0002s1766.1.p	Th2v04051, Th2v25728, Th2v25729
OG0000137	Carub.0001s2763.1.p, Carub.0001s2772.1.p, Carub.0001s2767.1.p, Carub.0001s2771.1.p, Carub.0001s2765.1.p, Carub.0001s2773.1.p, Carub.0001s2766.1.p, Carub.0001s2768.1.p, Carub.0001s2774.1.p	Th2v26551
OG0000138	Carub.0002s2530.1.p, Carub.0004s1459.1.p, Carub.0004s2255.1.p, Carub.0002s0725.1.p, Carub.0001s4371.1.p	Th2v05972, Th2v21097
OG0000141	Carub.0002s1911.1.p	Th2v25360, Th2v31079
OG0000143	Carub.0003s1843.1.p, Carub.0008s2621.1.p, Carub.0007s3594.1.p, Carub.0007s3559.1.p, Carub.0003s3325.1.p, Carub.0007s3561.1.p, Carub.0007s3592.1.p	Th2v17659
OG0000144	Carub.0005s2768.1.p, Carub.0004s2818.1.p, Carub.0004s2817.1.p, Carub.0004s2821.1.p, Carub.0004s2819.1.p, Carub.0004s2820.1.p, Carub.0001s3189.1.p, Carub.0004s2822.1.p	Th2v12845, Th2v22535, Th2v07141, Th2v00713, Th2v07139, Th2v22537, Th2v07142, Th2v12846, Th2v22536
OG0000146	Carub.0007s0518.1.p, Carub.0007s0510.1.p, Carub.0007s0519.1.p, Carub.0003s3100.1.p, Carub.0003s3099.1.p, Carub.0003s3101.1.p, Carub.0003s3102.1.p	Th2v12130, Th2v12137
OG0000149	Carub.0001s4475.1.p	Th2v13403
OG0000149	Carub.0001s4390.1.p, Carub.0001s4392.1.p, Carub.0001s4394.1.p, Carub.0001s4391.1.p, Carub.0001s4474.1.p, Carub.0001s4473.1.p	Th2v13402
OG0000150	Carub.0002s0633.1.p, Carub.0001s2150.1.p, Carub.0001s2131.1.p, Carub.0006s2922.1.p, Carub.0005s1133.1.p, Carub.0001s2128.1.p, Carub.0001s2130.1.p, Carub.0001s2141.1.p, Carub.0001s2140.1.p	Th2v06605, Th2v15305, Th2v27999, Th2v28000
OG0000153	Carub.0008s1994.1.p, Carub.0008s2083.1.p, Carub.0008s2091.1.p	Th2v24202, Th2v24201, Th2v24203, Th2v24200, Th2v24204
OG0000154	Carub.0006s2239.1.p, Carub.0006s2241.1.p, Carub.0006s2238.1.p, Carub.0006s2240.1.p, Carub.0001s3511.1.p, Carub.0004s2705.1.p, Carub.0005s2687.1.p, Carub.0004s0629.1.p, Carub.0002s0665.1.p, Carub.0002s0666.1.p, Carub.0004s2704.1.p	Th2v31191, Th2v07114, Th2v18064
OG0000155	Carub.0006s2585.1.p, Carub.0004s1242.1.p, Carub.0004s1240.1.p, Carub.0004s1227.1.p, Carub.0004s1241.1.p, Carub.0006s2584.1.p	Th2v00749, Th2v15888
OG0000155	Carub.0004s1228.1.p	Th2v13092, Th2v22799
OG0000156	Carub.0008s1776.1.p, Carub.0005s0415.1.p, Carub.0005s0425.1.p, Carub.0005s0423.1.p, Carub.0005s0421.1.p, Carub.0005s0357.1.p, Carub.0005s0420.1.p, Carub.0005s0419.1.p, Carub.0005s0418.1.p, Carub.0005s0417.1.p	Th2v28524, Th2v28527
