Orthogroup	Capsella_rubella	Aethionema_arabicum
OG0000045	Carub.0007s1806.1.p, Carub.0007s1803.1.p, Carub.0007s2975.1.p, Carub.0002s0140.1.p, Carub.0007s1810.1.p, Carub.0007s1811.1.p, Carub.0007s1796.1.p, Carub.0007s1809.1.p, Carub.0007s1793.1.p	AA54G00317, AA57G00510, AA57G00517, AA996G00003, AA996G00004, AA54G00318, AA57G00513, AA57G00514
OG0000046	Carub.0007s2167.1.p, Carub.0008s0325.1.p, Carub.0008s0294.1.p	AA40G00319, AA40G00317
OG0000046	Carub.0008s0297.1.p	AA6G00084
OG0000046	Carub.0004s0373.1.p, Carub.0008s0292.1.p, Carub.0007s2929.1.p, Carub.0006s2909.1.p	AA31G00206
OG0000049	Carub.0006s0246.1.p	AA64G00012, AA51G00011, AA34G00051, AA1054G00002, AA124G00021
OG0000050	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p	AA31G00393, AA44G00357, AA30G00333, AA30G00332
OG0000051	Carub.0006s0729.1.p	AA44G00161
OG0000051	Carub.0005s0524.1.p	AA53G00909
OG0000051	Carub.0006s1231.1.p	AA32G01194
OG0000051	Carub.0007s3453.1.p	AA87G00077
OG0000051	Carub.0008s1065.1.p	AA75G00011
OG0000051	Carub.0005s1480.1.p	AA96G00122
OG0000051	Carub.0008s2420.1.p	AA4G00080
OG0000052	Carub.0001s3517.1.p, Carub.0008s0754.1.p, Carub.0004s0679.1.p, Carub.0001s3651.1.p, Carub.0013s0007.1.p, Carub.0011s0007.1.p, Carub.0007s3247.1.p, Carub.0006s2637.1.p, Carub.0003s3392.1.p, Carub.0005s2382.1.p, Carub.0001s3741.1.p, Carub.0001s3383.1.p, Carub.0007s3522.1.p	AA167G00004
OG0000053	Carub.0007s3294.1.p, Carub.0002s1246.1.p	AA406G00003
OG0000053	Carub.0007s2756.1.p	AA87G00252
OG0000053	Carub.0003s2306.1.p	AA17G00089
OG0000054	Carub.0001s1178.1.p	AA65G00256
OG0000054	Carub.0002s0247.1.p	AA53G01420
OG0000054	Carub.0004s2780.1.p	AA21G00261
OG0000054	Carub.0006s3180.1.p, Carub.0006s3177.1.p, Carub.0006s3176.1.p, Carub.0006s3175.1.p, Carub.0006s3182.1.p, Carub.0006s3179.1.p, Carub.0006s3181.1.p	AA6G00302
OG0000054	Carub.0007s1886.1.p	AA57G00446, AA57G00445
OG0000057	Carub.0008s1787.1.p	AA44G00654
OG0000057	Carub.0001s1701.1.p	AA39G00025
OG0000057	Carub.0005s2708.1.p	AA61G00396
OG0000057	Carub.0008s2342.1.p, Carub.0005s1407.1.p	AA96G00063
OG0000057	Carub.0002s2690.1.p	AA31G00865
OG0000057	Carub.0016s0001.1.p	AA74G00033
OG0000057	Carub.0013s0011.1.p	AA412G00001
OG0000057	Carub.0007s1042.1.p	AA102G00165
OG0000057	Carub.0003s3319.1.p	AA33G00191
OG0000060	Carub.0006s2066.1.p	AA8G00298
OG0000060	Carub.0005s2023.1.p	AA60G00025
OG0000060	Carub.0008s2052.1.p	AA16G00076, AA97G00039
OG0000062	Carub.0003s2005.1.p, Carub.0003s2001.1.p, Carub.0003s2002.1.p, Carub.0004s0748.1.p, Carub.0004s0749.1.p, Carub.0003s2000.1.p, Carub.0005s0773.1.p, Carub.0003s2092.1.p, Carub.0003s2669.1.p, Carub.0006s3567.1.p, Carub.0003s2004.1.p, Carub.0003s2003.1.p	AA26G00678, AA26G00677, AA7G00112
OG0000064	Carub.0003s3462.1.p, Carub.0007s1193.1.p	AA102G00029
OG0000064	Carub.0008s0469.1.p	AA32G00398
OG0000064	Carub.0001s0331.1.p	AA19G00134
OG0000064	Carub.0004s1320.1.p	AA32G00557
OG0000064	Carub.0001s1734.1.p	AA39G00052
OG0000064	Carub.0006s1882.1.p	AA8G00155
OG0000064	Carub.0005s2501.1.p	AA61G00250
OG0000064	Carub.0002s0909.1.p	AA53G00353
OG0000064	Carub.0001s0808.1.p	AA103G00009
OG0000065	Carub.0002s2263.1.p	AA31G00378
OG0000065	Carub.0008s0413.1.p	AA6G00166
OG0000065	Carub.0007s2054.1.p	AA57G00297
OG0000065	Carub.0006s1076.1.p	AA44G00470
OG0000065	Carub.0006s2158.1.p	AA96G00146
OG0000065	Carub.0004s1060.1.p	AA32G00741
OG0000065	Carub.0005s1313.1.p, Carub.0005s1309.1.p	AA16G00011
OG0000068	Carub.0008s0711.1.p	AA3G00173
OG0000068	Carub.0002s2286.1.p, Carub.0005s2675.1.p, Carub.0003s2192.1.p, Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p	AA31G00363
OG0000070	Carub.0007s0072.1.p	AA20G00056
OG0000070	Carub.0004s0025.1.p	AA46G00050
OG0000070	Carub.0003s3215.1.p, Carub.0007s0412.1.p, Carub.0002s2243.1.p, Carub.0001s1934.1.p	AA31G00395
OG0000070	Carub.0003s3033.1.p	AA123G00001
OG0000070	Carub.0007s0553.1.p	AA45G00038
OG0000074	Carub.0005s1307.1.p	AA16G00016
OG0000074	Carub.0008s1982.1.p, Carub.0008s1946.1.p, Carub.0008s1945.1.p, Carub.0008s1947.1.p, Carub.0008s1985.1.p, Carub.0008s1983.1.p	AA56G00016, AA1G00185
OG0000077	Carub.0004s1453.1.p	AA32G00473
OG0000077	Carub.0003s2713.1.p, Carub.0003s2530.1.p, Carub.0003s2529.1.p, Carub.0003s2534.1.p, Carub.0003s2532.1.p, Carub.0003s2531.1.p, Carub.0148s0001.1.p, Carub.0004s1404.1.p, Carub.0004s1403.1.p	AA439G00002
OG0000078	Carub.0001s1962.1.p	AA39G00266
OG0000078	Carub.0002s2275.1.p	AA31G00371
OG0000078	Carub.0008s0195.1.p	AA56G00081
OG0000078	Carub.0007s0427.1.p	AA30G00117
OG0000078	Carub.0005s1767.1.p	AA13G00006
OG0000079	Carub.0004s0525.1.p, Carub.0007s0816.1.p	AA66G00015
OG0000079	Carub.0003s1011.1.p, Carub.0006s0410.1.p	AA35G00006
OG0000079	Carub.0008s0451.1.p	AA32G00384
OG0000079	Carub.0006s1564.1.p	AA40G00374
OG0000079	Carub.0007s0125.1.p	AA20G00013
OG0000079	Carub.0008s2555.1.p, Carub.0006s0830.1.p	AA44G00248
OG0000083	Carub.0007s1566.1.p, Carub.0001s2429.1.p, Carub.0001s3299.1.p	AA39G00629
OG0000083	Carub.0001s1373.1.p	AA14G00015, AA14G00011, AA169G00013
OG0000083	Carub.0005s0217.1.p, Carub.0005s0218.1.p, Carub.0005s0216.1.p	AA53G00745
OG0000084	Carub.0007s1287.1.p, Carub.0008s1348.1.p	AA1G00075
OG0000084	Carub.0002s0056.1.p	AA53G01315
OG0000084	Carub.0008s1647.1.p	AA25G00148
OG0000084	Carub.0003s0782.1.p	AA29G00201
OG0000086	Carub.0008s1247.1.p	AA55G00018, AA136G00006
OG0000086	Carub.0001s0046.1.p	AA1G00098
OG0000086	Carub.0006s3653.1.p	AA32G00032
OG0000088	Carub.0005s1126.1.p, Carub.0008s2102.1.p, Carub.0008s2101.1.p, Carub.0008s2099.1.p	AA8G00342
OG0000089	Carub.0007s3074.1.p, Carub.0002s1014.1.p, Carub.0002s1016.1.p, Carub.0004s0685.1.p	AA106G00015
OG0000094	Carub.0002s0379.1.p, Carub.0002s0380.1.p	AA53G00548
OG0000095	Carub.0007s1745.1.p, Carub.0007s1744.1.p	AA53G00636
OG0000095	Carub.0001s1473.1.p, Carub.0001s1472.1.p, Carub.0005s0049.1.p	AA53G00635, AA53G00634
OG0000096	Carub.0002s1339.1.p	AA31G00523
OG0000098	Carub.0002s1323.1.p, Carub.0004s1818.1.p	AA60G00154
OG0000098	Carub.0004s0741.1.p	AA32G00973
OG0000098	Carub.0005s0873.1.p	AA318G00003
OG0000098	Carub.0001s1530.1.p	AA37G00179
OG0000098	Carub.0001s1496.1.p	AA37G00199
OG0000098	Carub.0002s0539.1.p	AA57G00485
OG0000098	Carub.0003s1609.1.p	AA26G00336
OG0000099	Carub.0001s0151.1.p	AA30G00261
OG0000099	Carub.0006s1284.1.p	AA40G00612
OG0000099	Carub.0004s2990.1.p	AA21G00443
OG0000099	Carub.0005s2901.1.p, Carub.0004s2991.1.p	AA61G00578
OG0000099	Carub.0001s1010.1.p	AA53G00483
OG0000102	Carub.0003s2678.1.p	AA160G00002, AA134G00005
OG0000103	Carub.0006s2928.1.p, Carub.0006s2927.1.p, Carub.0006s2929.1.p	AA3G00089
OG0000103	Carub.0001s3128.1.p	AA54G00209
OG0000106	Carub.0002s1066.1.p, Carub.0002s1069.1.p, Carub.0002s1065.1.p, Carub.0002s1057.1.p, Carub.0002s1060.1.p, Carub.0002s1061.1.p, Carub.0001s4142.1.p, Carub.0008s2264.1.p, Carub.0008s2263.1.p, Carub.0008s2262.1.p, Carub.0004s0829.1.p, Carub.0004s0831.1.p	AA53G01180, AA53G01201
OG0000108	Carub.0005s2130.1.p	AA163G00013
OG0000108	Carub.0004s2097.1.p	AA60G00229
OG0000108	Carub.0008s0524.1.p, Carub.0008s0526.1.p, Carub.0008s0525.1.p, Carub.0008s0523.1.p	AA32G00432
OG0000109	Carub.0001s3556.1.p	AA2G00207
OG0000109	Carub.0001s3978.1.p	AA44G00671, AA2G00206
OG0000110	Carub.0007s2465.1.p	AA53G00288
OG0000110	Carub.0005s0364.1.p	AA53G00820
OG0000112	Carub.0006s2793.1.p, Carub.0006s3642.1.p, Carub.0006s3581.1.p, Carub.0006s3569.1.p	AA19G00309, AA318G00007, AA123G00133, AA32G00112, AA32G00105, AA145G00002, AA32G00224, AA32G00220
OG0000114	Carub.0006s1688.1.p	AA40G00252
OG0000114	Carub.0007s2614.1.p, Carub.0007s2612.1.p, Carub.0007s2610.1.p, Carub.0007s2603.1.p, Carub.0007s2605.1.p, Carub.0007s2607.1.p, Carub.0007s2608.1.p, Carub.0007s2611.1.p	AA87G00183
OG0000115	Carub.0006s1597.1.p, Carub.0006s1598.1.p, Carub.0006s1599.1.p	AA40G00329
OG0000115	Carub.0007s3256.1.p, Carub.0003s3235.1.p, Carub.0003s3234.1.p	AA169G00004, AA33G00150
OG0000115	Carub.0005s1734.1.p, Carub.0005s1733.1.p, Carub.0005s1732.1.p	AA13G00031, AA13G00030, AA13G00028
OG0000117	Carub.0004s2597.1.p, Carub.0004s2599.1.p, Carub.0002s0551.1.p, Carub.0004s2602.1.p, Carub.0004s2604.1.p, Carub.0004s2601.1.p, Carub.0004s2598.1.p	AA21G00133, AA21G00095
OG0000120	Carub.0001s0085.1.p	AA1G00082
OG0000120	Carub.0008s1340.1.p, Carub.0004s1160.1.p, Carub.0004s1159.1.p, Carub.0004s1158.1.p	AA77G00034
OG0000120	Carub.0005s2840.1.p	AA61G00519
OG0000123	Carub.0005s2737.1.p	AA61G00444
OG0000123	Carub.0007s2497.1.p	AA53G00314
OG0000123	Carub.0003s2690.1.p	AA116G00005
OG0000123	Carub.0006s3246.1.p	AA6G00269
OG0000123	Carub.0007s1936.1.p	AA57G00394
OG0000128	Carub.0007s1067.1.p, Carub.0003s1002.1.p, Carub.0006s1027.1.p, Carub.0006s1026.1.p, Carub.0006s1025.1.p	AA10G00184, AA10G00183
OG0000132	Carub.0003s3248.1.p	AA33G00143
OG0000132	Carub.0007s0376.1.p	AA30G00164
OG0000132	Carub.0001s1908.1.p	AA31G00430
OG0000132	Carub.0004s0070.1.p	AA46G00088
OG0000133	Carub.0006s2553.1.p	AA39G00504
OG0000133	Carub.0002s1766.1.p	AA38G00018, AA38G00017
OG0000135	Carub.0003s2225.1.p	AA1177G00002, AA9G00082, AA18G00225
OG0000135	Carub.0002s1632.1.p, Carub.0006s2811.1.p	AA2143G00001, AA17G00006, AA26G00829, AA17G00008, AA17G00001, AA17G00002, AA17G00020, AA17G00012, AA17G00003, AA26G00830, AA17G00007, AA26G00828, AA17G00009, AA1611G00001, AA26G00827, AA17G00013, AA17G00010, AA17G00011, AA17G00016, AA17G00015, AA17G00014, AA26G00826, AA396G00004
OG0000137	Carub.0001s2763.1.p, Carub.0001s2772.1.p, Carub.0001s2767.1.p, Carub.0001s2771.1.p, Carub.0001s2765.1.p, Carub.0001s2773.1.p, Carub.0001s2766.1.p, Carub.0001s2768.1.p, Carub.0001s2774.1.p	AA54G00359, AA54G00361, AA496G00004
OG0000138	Carub.0002s2530.1.p	AA12G00218
OG0000138	Carub.0004s1459.1.p	AA32G00538, AA32G00462
OG0000138	Carub.0004s2255.1.p, Carub.0002s0725.1.p, Carub.0001s4371.1.p	AA39G00018, AA52G00022
OG0000144	Carub.0005s2768.1.p	AA61G00464
OG0000144	Carub.0004s2818.1.p, Carub.0004s2817.1.p, Carub.0004s2821.1.p, Carub.0004s2819.1.p, Carub.0004s2820.1.p, Carub.0001s3189.1.p	AA103G00017
OG0000144	Carub.0004s2822.1.p	AA21G00293
OG0000146	Carub.0007s0518.1.p, Carub.0007s0510.1.p, Carub.0007s0519.1.p	AA832G00002, AA79G00004, AA832G00001, AA79G00003, AA79G00009, AA79G00006
OG0000149	Carub.0001s4475.1.p	AA15G00319
OG0000149	Carub.0001s4390.1.p, Carub.0001s4392.1.p, Carub.0001s4394.1.p, Carub.0001s4391.1.p	AA15G00318
OG0000149	Carub.0001s4474.1.p, Carub.0001s4473.1.p	AA15G00317
OG0000150	Carub.0002s0633.1.p, Carub.0001s2150.1.p, Carub.0001s2131.1.p, Carub.0006s2922.1.p, Carub.0005s1133.1.p, Carub.0001s2128.1.p, Carub.0001s2130.1.p, Carub.0001s2141.1.p, Carub.0001s2140.1.p	AA39G00398, AA132G00001
OG0000153	Carub.0008s1994.1.p, Carub.0008s2083.1.p, Carub.0008s2091.1.p	AA8G00306, AA102G00310, AA1G00146
OG0000154	Carub.0006s2239.1.p, Carub.0006s2241.1.p, Carub.0006s2238.1.p, Carub.0006s2240.1.p, Carub.0001s3511.1.p, Carub.0004s2705.1.p	AA21G00201, AA21G00200
OG0000155	Carub.0006s2585.1.p, Carub.0004s1242.1.p, Carub.0004s1240.1.p, Carub.0004s1227.1.p, Carub.0004s1241.1.p, Carub.0006s2584.1.p, Carub.0004s1228.1.p	AA40G00171
OG0000156	Carub.0008s1776.1.p	AA44G00661
OG0000156	Carub.0005s0415.1.p, Carub.0005s0425.1.p, Carub.0005s0423.1.p, Carub.0005s0421.1.p, Carub.0005s0357.1.p, Carub.0005s0420.1.p, Carub.0005s0419.1.p, Carub.0005s0418.1.p, Carub.0005s0417.1.p	AA53G00852
OG0000158	Carub.0001s3782.1.p, Carub.0001s3784.1.p, Carub.0001s3783.1.p, Carub.0001s3781.1.p	AA2G00024, AA2G00022, AA2G00020, AA9G00015, AA90G00023, AA425G00002, AA73G00001, AA2G00019, AA2G00023, AA2G00021
OG0000158	Carub.0008s1151.1.p	AA39G00321
OG0000159	Carub.0001s1313.1.p	AA65G00373
OG0000159	Carub.0005s1086.1.p, Carub.0001s1339.1.p, Carub.0007s2881.1.p, Carub.0007s2883.1.p	AA163G00005
OG0000164	Carub.0007s1952.1.p	AA57G00387
OG0000164	Carub.0006s3275.1.p, Carub.0007s1957.1.p, Carub.0007s1956.1.p, Carub.0007s1955.1.p, Carub.0222s0003.1.p, Carub.0007s1953.1.p, Carub.0222s0001.1.p, Carub.0007s1954.1.p, Carub.0222s0002.1.p	AA57G00383
OG0000167	Carub.0003s1192.1.p	AA92G00001, AA250G00002, AA250G00001, AA226G00003, AA226G00001, AA250G00004, AA31G00015
OG0000167	Carub.0001s1584.1.p	AA37G00145
OG0000167	Carub.0003s0854.1.p	AA93G00109
OG0000167	Carub.0006s0130.1.p	AA19G00295
OG0000170	Carub.0002s1306.1.p, Carub.0002s1308.1.p	AA53G01117
OG0000170	Carub.0008s2398.1.p, Carub.0008s1380.1.p	AA71G00010
OG0000171	Carub.0106s0002.1.p, Carub.0006s3356.1.p, Carub.0006s3359.1.p, Carub.0006s3357.1.p, Carub.0006s3358.1.p, Carub.0006s3302.1.p, Carub.0007s2782.1.p, Carub.0007s2784.1.p, Carub.0007s2783.1.p, Carub.0006s3362.1.p, Carub.0006s3360.1.p, Carub.0008s1779.1.p, Carub.0006s3361.1.p	AA32G00354
OG0000174	Carub.0002s1305.1.p, Carub.0005s1254.1.p, Carub.0005s1256.1.p, Carub.0005s1255.1.p, Carub.0005s0785.1.p, Carub.0005s0784.1.p, Carub.0005s2416.1.p	AA27G00041, AA27G00039, AA27G00040
OG0000178	Carub.0001s0529.1.p, Carub.0003s2555.1.p, Carub.0001s0530.1.p, Carub.0007s1353.1.p	AA114G00014, AA114G00022, AA114G00015, AA114G00011
OG0000179	Carub.0007s3700.1.p, Carub.0008s1243.1.p, Carub.0008s1242.1.p, Carub.0006s2387.1.p, Carub.0005s0601.1.p, Carub.0008s1196.1.p, Carub.0008s1194.1.p, Carub.0008s1198.1.p, Carub.0007s0139.1.p, Carub.0007s0839.1.p	AA53G01010, AA53G01008
OG0000180	Carub.0003s3030.1.p	AA20G00051
OG0000182	Carub.0007s2566.1.p	AA9G00067
OG0000182	Carub.0001s2951.1.p	AA79G00038
OG0000182	Carub.0008s0344.1.p	AA6G00125
OG0000182	Carub.0001s1435.1.p	AA53G00685
OG0000183	Carub.0005s1390.1.p	AA96G00044
OG0000183	Carub.0172s0002.1.p	AA5G00267
OG0000183	Carub.0008s2243.1.p	AA5G00129
OG0000183	Carub.0005s1389.1.p	AA96G00043, AA96G00042
OG0000183	Carub.0005s1388.1.p	AA96G00039
OG0000185	Carub.0007s3252.1.p, Carub.0007s3280.1.p, Carub.0007s3260.1.p, Carub.0007s3259.1.p, Carub.0007s3255.1.p, Carub.0007s3702.1.p, Carub.0007s3254.1.p	AA347G00003, AA227G00004
OG0000186	Carub.0001s2703.1.p	AA49G00019, AA49G00018
OG0000186	Carub.0001s2994.1.p, Carub.0001s3030.1.p, Carub.0370s0001.1.p, Carub.0001s3028.1.p, Carub.0001s3029.1.p, Carub.0001s2706.1.p, Carub.0004s0798.1.p, Carub.0001s2704.1.p, Carub.0001s2705.1.p	AA49G00020, AA49G00028, AA49G00026, AA49G00034, AA49G00024, AA49G00022, AA49G00021, AA49G00033, AA49G00039, AA49G00040, AA49G00031, AA49G00030
OG0000191	Carub.0008s1708.1.p	AA44G00723
OG0000191	Carub.0003s3405.1.p	AA33G00255
OG0000191	Carub.0007s1122.1.p	AA102G00084
OG0000191	Carub.0003s3404.1.p	AA33G00254
OG0000191	Carub.0007s1121.1.p	AA102G00085
OG0000192	Carub.0007s2328.1.p	AA57G00079
OG0000192	Carub.0001s0158.1.p	AA32G00225
OG0000192	Carub.0004s2973.1.p	AA21G00428
OG0000193	Carub.0001s3760.1.p	AA18G00244
OG0000193	Carub.0003s1753.1.p	AA26G00456
OG0000193	Carub.0002s1219.1.p	AA53G01122
OG0000193	Carub.0007s3276.1.p	AA27G00066
OG0000193	Carub.0006s1478.1.p	AA40G00454
OG0000194	Carub.0003s2674.1.p, Carub.0008s0809.1.p	AA439G00003, AA240G00009
OG0000197	Carub.0007s0514.1.p, Carub.0008s2422.1.p	AA4G00088
OG0000198	Carub.0004s0598.1.p, Carub.0004s0597.1.p, Carub.0005s1136.1.p, Carub.0005s1131.1.p, Carub.0005s1135.1.p	AA120G00013, AA200G00002, AA16G00108
OG0000199	Carub.0008s2063.1.p, Carub.0005s1191.1.p	AA97G00034
OG0000199	Carub.0006s0232.1.p	AA19G00231
OG0000199	Carub.0003s0922.1.p, Carub.0003s0900.1.p	AA93G00155
OG0000201	Carub.0007s0893.1.p	AA203G00002, AA102G00318, AA102G00327, AA102G00326
OG0000201	Carub.0007s0885.1.p	AA102G00329, AA1594G00001
OG0000201	Carub.0003s1035.1.p	AA82G00013, AA82G00009
OG0000201	Carub.0004s0425.1.p, Carub.0004s0431.1.p	AA82G00014, AA394G00001, AA82G00015
