Orthogroup	Capsella_rubella	Eutrema_salsugineum
OG0000003	Carub.0003s2657.1.p, Carub.0003s2655.1.p, Carub.0003s2666.1.p, Carub.0003s2730.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p	EUTSA_v10015889mg, EUTSA_v10015377mg, EUTSA_v10021918mg, EUTSA_v10022006mg
OG0000003	Carub.0006s2841.1.p	EUTSA_v10022401mg, EUTSA_v10003040mg, EUTSA_v10002999mg, EUTSA_v10002817mg
OG0000009	Carub.0005s1087.1.p	EUTSA_v10017884mg
OG0000011	Carub.0002s0705.1.p, Carub.0002s1622.1.p, Carub.0002s1621.1.p, Carub.0002s1620.1.p	EUTSA_v10011939mg
OG0000011	Carub.0002s1260.1.p	EUTSA_v10019540mg, EUTSA_v10019468mg
OG0000011	Carub.0001s3553.1.p	EUTSA_v100028561mg
OG0000012	Carub.0004s3021.1.p, Carub.0003s2796.1.p	EUTSA_v10000500mg
OG0000013	Carub.0005s2443.1.p, Carub.0001s3326.1.p	EUTSA_v10006464mg
OG0000013	Carub.0001s2934.1.p, Carub.0001s2933.1.p	EUTSA_v10009829mg, EUTSA_v10009318mg, EUTSA_v10009617mg, EUTSA_v10009762mg
OG0000013	Carub.0001s3612.1.p, Carub.0001s3614.1.p	EUTSA_v10012217mg, EUTSA_v10012070mg, EUTSA_v10012242mg
OG0000013	Carub.0001s2925.1.p, Carub.0001s2929.1.p, Carub.0001s2927.1.p	EUTSA_v10009610mg
OG0000013	Carub.0001s2930.1.p, Carub.0001s2943.1.p, Carub.0001s2944.1.p, Carub.0001s2932.1.p, Carub.0001s3824.1.p, Carub.0002s0685.1.p, Carub.0001s2947.1.p, Carub.0001s2948.1.p, Carub.0001s3225.1.p, Carub.0001s3230.1.p, Carub.0001s3224.1.p, Carub.0001s3227.1.p, Carub.0001s3228.1.p, Carub.0001s3226.1.p	EUTSA_v10007859mg, EUTSA_v10019467mg, EUTSA_v10009733mg, EUTSA_v10009883mg
OG0000014	Carub.0005s2508.1.p	EUTSA_v10006412mg
OG0000014	Carub.0005s2517.1.p	EUTSA_v10028053mg
OG0000014	Carub.0005s2516.1.p	EUTSA_v10028307mg
OG0000014	Carub.0005s2506.1.p	EUTSA_v10006467mg
OG0000014	Carub.0005s1051.1.p, Carub.0005s1052.1.p	EUTSA_v10016883mg
OG0000014	Carub.0005s2515.1.p	EUTSA_v10010958mg
OG0000016	Carub.0007s2867.1.p	EUTSA_v10027048mg
OG0000016	Carub.0007s0071.1.p	EUTSA_v10027066mg
OG0000016	Carub.0006s1634.1.p	EUTSA_v10015141mg
OG0000016	Carub.0003s0300.1.p	EUTSA_v10022178mg
OG0000016	Carub.0003s0303.1.p	EUTSA_v10022142mg
OG0000016	Carub.0006s1637.1.p, Carub.0006s1628.1.p, Carub.0006s1623.1.p, Carub.0006s1622.1.p, Carub.0006s1621.1.p, Carub.0006s1625.1.p, Carub.0006s1627.1.p	EUTSA_v10015121mg, EUTSA_v10002886mg, EUTSA_v10015858mg, EUTSA_v10015119mg, EUTSA_v10015118mg, EUTSA_v10015117mg
OG0000017	Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p	EUTSA_v10010942mg, EUTSA_v10010425mg, EUTSA_v10011009mg, EUTSA_v10011080mg, EUTSA_v10011044mg
OG0000017	Carub.0004s1336.1.p	EUTSA_v10017547mg
OG0000017	Carub.0004s1365.1.p	EUTSA_v10025406mg, EUTSA_v10027150mg
OG0000017	Carub.0002s0292.1.p, Carub.0006s2775.1.p, Carub.0006s2776.1.p, Carub.0002s0293.1.p	EUTSA_v10021999mg
OG0000018	Carub.0007s3458.1.p	EUTSA_v10023155mg
OG0000018	Carub.0007s3393.1.p	EUTSA_v10019585mg
OG0000018	Carub.0007s3372.1.p	EUTSA_v10028092mg
OG0000018	Carub.0002s0747.1.p	EUTSA_v10000023mg
OG0000018	Carub.0002s0098.1.p	EUTSA_v10023884mg
OG0000018	Carub.0003s3049.1.p	EUTSA_v10009635mg, EUTSA_v10023951mg
OG0000018	Carub.0002s0093.1.p, Carub.0002s0097.1.p	EUTSA_v10000510mg
OG0000018	Carub.0002s0108.1.p	EUTSA_v10015487mg
OG0000018	Carub.0002s0095.1.p, Carub.0002s0461.1.p, Carub.0002s0526.1.p	EUTSA_v10023230mg
OG0000018	Carub.0002s0072.1.p, Carub.0002s0812.1.p	EUTSA_v10018052mg
OG0000019	Carub.0004s0998.1.p, Carub.0004s0996.1.p	EUTSA_v10016229mg
OG0000019	Carub.0001s3825.1.p	EUTSA_v10011224mg
OG0000019	Carub.0002s1143.1.p, Carub.0003s2137.1.p	EUTSA_v10020016mg
OG0000019	Carub.0008s2031.1.p	EUTSA_v10012663mg
OG0000019	Carub.0008s2030.1.p	EUTSA_v10012805mg
OG0000019	Carub.0005s1221.1.p, Carub.0005s1220.1.p	EUTSA_v10002396mg, EUTSA_v10003004mg
OG0000019	Carub.0005s1218.1.p	EUTSA_v10002794mg
OG0000019	Carub.0004s1000.1.p	EUTSA_v10017766mg
OG0000019	Carub.0004s0997.1.p, Carub.0004s0995.1.p	EUTSA_v10017541mg, EUTSA_v10016227mg
OG0000019	Carub.0001s0687.1.p	EUTSA_v10006769mg
OG0000019	Carub.0001s0689.1.p	EUTSA_v10006786mg
OG0000023	Carub.0006s0880.1.p, Carub.0003s2506.1.p	EUTSA_v10021998mg
OG0000023	Carub.0001s1404.1.p	EUTSA_v10009459mg
OG0000023	Carub.0006s1692.1.p	EUTSA_v10026946mg, EUTSA_v10007821mg, EUTSA_v10009873mg
OG0000023	Carub.0001s2993.1.p	EUTSA_v10021927mg, EUTSA_v100283121mg, EUTSA_v10017844mg, EUTSA_v10028258mg, EUTSA_v10009680mg
OG0000024	Carub.0006s2051.1.p	EUTSA_v10012605mg
OG0000024	Carub.0002s0611.1.p, Carub.0002s0613.1.p, Carub.0002s0598.1.p, Carub.0002s0610.1.p, Carub.0002s1052.1.p, Carub.0002s1045.1.p, Carub.0002s1050.1.p, Carub.0002s1047.1.p, Carub.0002s1055.1.p	EUTSA_v10023235mg
OG0000024	Carub.0002s0583.1.p	EUTSA_v10023237mg, EUTSA_v10023945mg
OG0000024	Carub.0002s0575.1.p, Carub.0002s0573.1.p, Carub.0002s0574.1.p	EUTSA_v10023259mg
OG0000024	Carub.0002s0616.1.p, Carub.0002s0614.1.p, Carub.0002s0582.1.p, Carub.0002s0550.1.p	EUTSA_v10023289mg, EUTSA_v10023861mg
OG0000024	Carub.0002s0811.1.p	EUTSA_v10002442mg
OG0000024	Carub.0001s1050.1.p, Carub.0001s4253.1.p	EUTSA_v10012230mg
OG0000025	Carub.0008s0584.1.p, Carub.0008s0580.1.p, Carub.0002s0930.1.p, Carub.0002s0927.1.p, Carub.0002s0931.1.p, Carub.0002s0924.1.p, Carub.0002s0926.1.p, Carub.0002s0921.1.p, Carub.0046s0007.1.p, Carub.0002s0928.1.p, Carub.0002s0925.1.p, Carub.0046s0006.1.p, Carub.0002s0922.1.p, Carub.0002s0923.1.p, Carub.0046s0004.1.p, Carub.0046s0001.1.p, Carub.0002s0932.1.p, Carub.0046s0002.1.p, Carub.0046s0003.1.p, Carub.0002s0929.1.p, Carub.0046s0005.1.p, Carub.0002s0807.1.p, Carub.0002s0806.1.p, Carub.0002s0805.1.p, Carub.0002s0808.1.p, Carub.0002s0809.1.p, Carub.0002s0810.1.p, Carub.0002s0887.1.p, Carub.0002s0885.1.p, Carub.0002s0886.1.p, Carub.0002s0884.1.p, Carub.0002s0881.1.p, Carub.0002s0888.1.p, Carub.0002s0882.1.p, Carub.0002s0883.1.p, Carub.0193s0001.1.p, Carub.0002s0878.1.p, Carub.0002s0879.1.p, Carub.0193s0002.1.p, Carub.0002s0880.1.p, Carub.0001s3190.1.p	EUTSA_v10002255mg, EUTSA_v10002198mg, EUTSA_v10002239mg, EUTSA_v10002251mg, EUTSA_v10002278mg, EUTSA_v10002291mg, EUTSA_v10002277mg, EUTSA_v10002218mg, EUTSA_v10002314mg, EUTSA_v10002224mg, EUTSA_v10002265mg, EUTSA_v10002305mg, EUTSA_v10002250mg, EUTSA_v10002207mg, EUTSA_v10002243mg, EUTSA_v10002161mg, EUTSA_v10002202mg, EUTSA_v10002263mg, EUTSA_v10002325mg, EUTSA_v10002260mg, EUTSA_v10002163mg, EUTSA_v10002222mg, EUTSA_v10002170mg, EUTSA_v10002276mg, EUTSA_v10002294mg
OG0000029	Carub.0006s0158.1.p	EUTSA_v10013441mg
OG0000029	Carub.0004s0321.1.p	EUTSA_v10022165mg, EUTSA_v10021970mg
OG0000029	Carub.0006s0171.1.p	EUTSA_v10014018mg
OG0000030	Carub.0002s0209.1.p, Carub.0002s0210.1.p, Carub.0002s0190.1.p, Carub.0002s0192.1.p, Carub.0002s0191.1.p	EUTSA_v10015983mg
OG0000031	Carub.0004s0736.1.p, Carub.0004s0735.1.p, Carub.0004s0734.1.p	EUTSA_v10000196mg
OG0000031	Carub.0008s1717.1.p	EUTSA_v10017597mg
OG0000031	Carub.0008s2368.1.p, Carub.0008s1688.1.p, Carub.0008s1687.1.p	EUTSA_v10013701mg
OG0000031	Carub.0006s2905.1.p	EUTSA_v10019567mg
OG0000031	Carub.0007s3593.1.p, Carub.0007s3733.1.p, Carub.0007s3726.1.p	EUTSA_v10028023mg, EUTSA_v10012401mg, EUTSA_v10027772mg, EUTSA_v10027812mg, EUTSA_v10027746mg, EUTSA_v10028103mg, EUTSA_v10019535mg, EUTSA_v10028269mg, EUTSA_v10009959mg, EUTSA_v10028237mg, EUTSA_v10028128mg, EUTSA_v10027767mg, EUTSA_v10009391mg
OG0000031	Carub.0005s2152.1.p	EUTSA_v10018645mg, EUTSA_v10028666mg, EUTSA_v10019578mg, EUTSA_v10018628mg, EUTSA_v10015524mg, EUTSA_v10010416mg
OG0000032	Carub.0005s1268.1.p	EUTSA_v10027672mg
OG0000032	Carub.0002s1316.1.p	EUTSA_v10019715mg
OG0000032	Carub.0007s2307.1.p	EUTSA_v10028202mg
OG0000033	Carub.0002s0234.1.p, Carub.0006s2588.1.p, Carub.0002s0239.1.p, Carub.0002s0236.1.p	EUTSA_v10023255mg, EUTSA_v10000112mg, EUTSA_v10023246mg, EUTSA_v10023263mg
OG0000033	Carub.0002s0161.1.p	EUTSA_v10023256mg
OG0000033	Carub.0001s1197.1.p	EUTSA_v10006784mg
OG0000037	Carub.0005s2033.1.p, Carub.0004s1955.1.p	EUTSA_v10016809mg, EUTSA_v10010455mg
OG0000037	Carub.0003s1860.1.p, Carub.0001s3843.1.p	EUTSA_v10020906mg
OG0000037	Carub.0003s1145.1.p	EUTSA_v10020950mg
OG0000037	Carub.0005s1279.1.p	EUTSA_v10002572mg
OG0000038	Carub.0005s0506.1.p, Carub.0005s0504.1.p, Carub.0002s0814.1.p, Carub.0002s0815.1.p	EUTSA_v10005660mg
OG0000038	Carub.0005s1791.1.p	EUTSA_v10009690mg
OG0000038	Carub.0005s1519.1.p	EUTSA_v10010336mg, EUTSA_v10010364mg
OG0000038	Carub.0005s1521.1.p, Carub.0005s1520.1.p, Carub.0008s0938.1.p, Carub.0008s0939.1.p, Carub.0005s1522.1.p, Carub.0001s3364.1.p	EUTSA_v10011042mg, EUTSA_v10001210mg
OG0000039	Carub.0007s1798.1.p, Carub.0007s1797.1.p, Carub.0007s1808.1.p	EUTSA_v100246151mg
OG0000039	Carub.0007s1794.1.p, Carub.0007s1807.1.p	EUTSA_v10024579mg
OG0000039	Carub.0006s3054.1.p	EUTSA_v10028521mg, EUTSA_v10028517mg
OG0000039	Carub.0006s3049.1.p	EUTSA_v10028508mg
OG0000039	Carub.0006s3047.1.p	EUTSA_v10028496mg
OG0000039	Carub.0006s3044.1.p, Carub.0006s3043.1.p, Carub.0006s3041.1.p, Carub.0006s3042.1.p	EUTSA_v10028502mg, EUTSA_v10029336mg
OG0000040	Carub.0003s1159.1.p	EUTSA_v10007675mg, EUTSA_v10022069mg
OG0000040	Carub.0004s0220.1.p	EUTSA_v10000461mg
OG0000040	Carub.0003s0966.1.p, Carub.0003s2578.1.p	EUTSA_v10020743mg
OG0000040	Carub.0002s2006.1.p	EUTSA_v10018572mg
OG0000041	Carub.0024s0015.1.p	EUTSA_v10003487mg
OG0000041	Carub.0008s0594.1.p, Carub.0007s3055.1.p, Carub.0007s3157.1.p, Carub.0007s3143.1.p, Carub.0004s0616.1.p, Carub.0007s3038.1.p, Carub.0004s0523.1.p, Carub.0001s1088.1.p, Carub.0003s2750.1.p, Carub.0003s2772.1.p, Carub.0008s1087.1.p	EUTSA_v10003397mg, EUTSA_v10017779mg, EUTSA_v10005260mg, EUTSA_v10027529mg, EUTSA_v10019512mg, EUTSA_v10011992mg, EUTSA_v10003335mg, EUTSA_v10000620mg, EUTSA_v10005429mg, EUTSA_v10005542mg, EUTSA_v10002297mg, EUTSA_v10015762mg, EUTSA_v10022993mg, EUTSA_v10009841mg, EUTSA_v10002827mg, EUTSA_v10015514mg, EUTSA_v10012321mg, EUTSA_v10011945mg, EUTSA_v10019737mg, EUTSA_v10002274mg, EUTSA_v10001142mg, EUTSA_v10027058mg, EUTSA_v10028246mg, EUTSA_v10026902mg, EUTSA_v10015686mg
OG0000042	Carub.0005s2595.1.p, Carub.0007s3423.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3764.1.p, Carub.0007s3768.1.p, Carub.0007s3765.1.p, Carub.0007s3762.1.p, Carub.0007s3763.1.p, Carub.0005s2560.1.p	EUTSA_v10005914mg, EUTSA_v10005932mg
OG0000042	Carub.0005s2565.1.p	EUTSA_v10006456mg
OG0000042	Carub.0005s2566.1.p	EUTSA_v10006457mg
OG0000042	Carub.0003s0219.1.p, Carub.0003s0218.1.p	EUTSA_v10022023mg
OG0000042	Carub.0005s2569.1.p, Carub.0005s2568.1.p	EUTSA_v10005926mg, EUTSA_v10028613mg
OG0000043	Carub.0219s0002.1.p, Carub.0006s1881.1.p	EUTSA_v10015316mg
OG0000043	Carub.0004s1293.1.p, Carub.0004s1294.1.p	EUTSA_v10002388mg
OG0000043	Carub.0005s1367.1.p	EUTSA_v10028397mg
OG0000043	Carub.0005s1366.1.p	EUTSA_v10012566mg
OG0000044	Carub.0002s0305.1.p	EUTSA_v10024090mg
OG0000044	Carub.0002s0291.1.p, Carub.0002s0311.1.p	EUTSA_v10023467mg, EUTSA_v10023461mg, EUTSA_v10024124mg, EUTSA_v10024076mg, EUTSA_v10023505mg, EUTSA_v10024167mg, EUTSA_v10023470mg, EUTSA_v10024133mg, EUTSA_v10019750mg, EUTSA_v10023445mg, EUTSA_v10023472mg, EUTSA_v10023868mg, EUTSA_v10023911mg, EUTSA_v10023838mg
OG0000044	Carub.0002s0309.1.p	EUTSA_v10023915mg
OG0000045	Carub.0007s1812.1.p, Carub.0007s1804.1.p	EUTSA_v10024643mg
OG0000045	Carub.0007s1803.1.p	EUTSA_v10000811mg, EUTSA_v10024630mg
OG0000045	Carub.0007s2975.1.p, Carub.0002s0140.1.p, Carub.0007s1810.1.p, Carub.0007s1811.1.p, Carub.0007s1796.1.p, Carub.0007s1809.1.p, Carub.0007s1793.1.p	EUTSA_v10024843mg
OG0000046	Carub.0007s2167.1.p	EUTSA_v10027412mg, EUTSA_v10010076mg
OG0000046	Carub.0008s0325.1.p, Carub.0008s0294.1.p	EUTSA_v10000750mg
OG0000046	Carub.0008s0297.1.p	EUTSA_v10000765mg
OG0000046	Carub.0004s0374.1.p	EUTSA_v10000021mg
OG0000046	Carub.0004s0373.1.p	EUTSA_v10000019mg
OG0000046	Carub.0007s2929.1.p	EUTSA_v10000747mg
OG0000047	Carub.0007s3164.1.p	EUTSA_v10000631mg, EUTSA_v10015425mg, EUTSA_v10002232mg, EUTSA_v10019486mg
OG0000049	Carub.0006s0246.1.p	EUTSA_v10012171mg
OG0000050	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p	EUTSA_v10026962mg, EUTSA_v10014984mg, EUTSA_v10019309mg
OG0000051	Carub.0006s0729.1.p	EUTSA_v10015314mg
OG0000051	Carub.0006s1231.1.p	EUTSA_v10015204mg
OG0000051	Carub.0007s3453.1.p	EUTSA_v10028016mg
OG0000051	Carub.0005s0523.1.p	EUTSA_v10005242mg
OG0000051	Carub.0007s3452.1.p	EUTSA_v10028017mg
OG0000051	Carub.0003s0015.1.p	EUTSA_v10021883mg
OG0000051	Carub.0008s1065.1.p	EUTSA_v10015879mg
OG0000051	Carub.0005s1480.1.p	EUTSA_v10010885mg
OG0000051	Carub.0008s2420.1.p	EUTSA_v10005243mg
OG0000052	Carub.0001s3517.1.p, Carub.0008s0754.1.p	EUTSA_v10027192mg
OG0000053	Carub.0007s3294.1.p, Carub.0002s1246.1.p	EUTSA_v10027976mg, EUTSA_v10019293mg
OG0000053	Carub.0007s2756.1.p	EUTSA_v10026490mg
OG0000053	Carub.0003s2306.1.p	EUTSA_v10021692mg
OG0000053	Carub.0004s0751.1.p, Carub.0005s2353.1.p, Carub.0004s2342.1.p	EUTSA_v10002103mg
OG0000054	Carub.0001s1178.1.p	EUTSA_v10009061mg
OG0000054	Carub.0002s0247.1.p	EUTSA_v10023747mg
OG0000054	Carub.0006s3168.1.p, Carub.0006s3169.1.p	EUTSA_v10029060mg
OG0000054	Carub.0004s2780.1.p	EUTSA_v10001680mg
OG0000054	Carub.0006s3180.1.p, Carub.0006s3177.1.p, Carub.0006s3176.1.p, Carub.0006s3175.1.p, Carub.0006s3182.1.p, Carub.0006s3179.1.p, Carub.0006s3181.1.p	EUTSA_v10029045mg
OG0000054	Carub.0006s3172.1.p	EUTSA_v10029313mg
OG0000057	Carub.0008s1787.1.p	EUTSA_v10015530mg
OG0000057	Carub.0001s1701.1.p	EUTSA_v10006710mg
OG0000057	Carub.0005s2708.1.p	EUTSA_v10005774mg
OG0000057	Carub.0008s2342.1.p	EUTSA_v10003603mg
OG0000057	Carub.0002s2690.1.p	EUTSA_v10018080mg
OG0000057	Carub.0016s0001.1.p	EUTSA_v10002391mg
OG0000057	Carub.0013s0011.1.p	EUTSA_v10002390mg
OG0000057	Carub.0007s1042.1.p	EUTSA_v10024335mg
OG0000057	Carub.0003s3319.1.p	EUTSA_v10022531mg
OG0000060	Carub.0006s2066.1.p	EUTSA_v10014958mg
OG0000060	Carub.0005s2023.1.p	EUTSA_v10017408mg
OG0000060	Carub.0008s2052.1.p	EUTSA_v10014927mg
OG0000060	Carub.0005s1183.1.p, Carub.0005s1189.1.p	EUTSA_v10002699mg
OG0000061	Carub.0002s0647.1.p	EUTSA_v10002936mg
OG0000062	Carub.0003s2005.1.p	EUTSA_v10022051mg
OG0000062	Carub.0004s0748.1.p, Carub.0004s0749.1.p	EUTSA_v10001846mg
OG0000062	Carub.0006s3567.1.p	EUTSA_v10020513mg
OG0000064	Carub.0003s3462.1.p	EUTSA_v10001881mg
OG0000064	Carub.0007s1193.1.p	EUTSA_v10024210mg
OG0000064	Carub.0008s0469.1.p	EUTSA_v10003130mg
OG0000064	Carub.0001s0331.1.p	EUTSA_v10006554mg
OG0000064	Carub.0004s1320.1.p	EUTSA_v10016137mg
OG0000064	Carub.0001s1734.1.p	EUTSA_v10006551mg
OG0000064	Carub.0006s1882.1.p	EUTSA_v10012431mg
OG0000064	Carub.0005s2501.1.p	EUTSA_v10006411mg
OG0000064	Carub.0002s0909.1.p	EUTSA_v10023213mg
OG0000064	Carub.0001s0808.1.p	EUTSA_v10006560mg
OG0000065	Carub.0002s2263.1.p	EUTSA_v10018544mg
OG0000065	Carub.0008s0413.1.p	EUTSA_v10003210mg
OG0000065	Carub.0007s2054.1.p	EUTSA_v10025207mg
OG0000065	Carub.0006s1076.1.p	EUTSA_v10013524mg
OG0000065	Carub.0006s2158.1.p	EUTSA_v10004208mg
OG0000065	Carub.0004s1060.1.p	EUTSA_v10016651mg
OG0000065	Carub.0005s1313.1.p, Carub.0005s1309.1.p	EUTSA_v10010368mg, EUTSA_v10010369mg
OG0000066	Carub.0006s3079.1.p, Carub.0006s2997.1.p	EUTSA_v10028175mg
OG0000066	Carub.0001s2342.1.p	EUTSA_v10009725mg, EUTSA_v10009578mg
OG0000068	Carub.0001s3799.1.p	EUTSA_v10008964mg
OG0000068	Carub.0002s2286.1.p	EUTSA_v10019260mg
OG0000070	Carub.0007s0072.1.p	EUTSA_v10026642mg
OG0000070	Carub.0004s0025.1.p	EUTSA_v10000385mg
OG0000070	Carub.0003s3215.1.p	EUTSA_v10023080mg
OG0000070	Carub.0007s0412.1.p	EUTSA_v10026647mg
OG0000070	Carub.0002s2243.1.p	EUTSA_v10019345mg
OG0000070	Carub.0001s1934.1.p	EUTSA_v10009412mg
OG0000070	Carub.0003s3033.1.p	EUTSA_v10023118mg
OG0000070	Carub.0007s0553.1.p	EUTSA_v10026631mg
OG0000071	Carub.0007s3253.1.p	EUTSA_v10028052mg
OG0000071	Carub.0006s0530.1.p	EUTSA_v10026785mg
OG0000071	Carub.0004s1101.1.p, Carub.0004s1100.1.p	EUTSA_v10016490mg
OG0000071	Carub.0001s3703.1.p, Carub.0001s3751.1.p, Carub.0001s3702.1.p, Carub.0006s1098.1.p	EUTSA_v10012238mg
OG0000072	Carub.0008s0706.1.p	EUTSA_v10022239mg, EUTSA_v10017745mg, EUTSA_v10002853mg
OG0000074	Carub.0008s1976.1.p	EUTSA_v10015491mg
OG0000074	Carub.0005s1307.1.p	EUTSA_v10010149mg
OG0000074	Carub.0008s1984.1.p	EUTSA_v10015507mg
OG0000074	Carub.0008s1982.1.p	EUTSA_v10015748mg
OG0000074	Carub.0008s1946.1.p, Carub.0008s1945.1.p, Carub.0008s1947.1.p	EUTSA_v10015631mg, EUTSA_v10012810mg, EUTSA_v10012872mg, EUTSA_v10015939mg
OG0000074	Carub.0008s1985.1.p, Carub.0008s1983.1.p	EUTSA_v10012780mg
OG0000077	Carub.0004s1453.1.p	EUTSA_v10016266mg, EUTSA_v10016267mg
OG0000077	Carub.0003s2713.1.p, Carub.0003s2530.1.p, Carub.0003s2529.1.p, Carub.0003s2534.1.p, Carub.0003s2532.1.p, Carub.0003s2531.1.p, Carub.0148s0001.1.p	EUTSA_v10010006mg
OG0000077	Carub.0004s1404.1.p, Carub.0004s1403.1.p	EUTSA_v10022625mg
OG0000078	Carub.0001s1962.1.p	EUTSA_v10008827mg
OG0000078	Carub.0002s2275.1.p	EUTSA_v10019171mg
OG0000078	Carub.0007s0529.1.p	EUTSA_v10026291mg, EUTSA_v10022857mg
OG0000078	Carub.0008s0195.1.p	EUTSA_v10001030mg
OG0000078	Carub.0005s1767.1.p	EUTSA_v10022861mg
OG0000079	Carub.0004s0525.1.p	EUTSA_v10000022mg
OG0000079	Carub.0007s0816.1.p	EUTSA_v10024278mg
OG0000079	Carub.0006s0410.1.p	EUTSA_v10012528mg
OG0000079	Carub.0008s0451.1.p	EUTSA_v10003137mg
OG0000079	Carub.0006s1564.1.p	EUTSA_v10012538mg
OG0000079	Carub.0007s0125.1.p	EUTSA_v10024277mg
OG0000079	Carub.0008s2555.1.p	EUTSA_v100035741mg
OG0000079	Carub.0006s0830.1.p	EUTSA_v10012521mg
OG0000083	Carub.0007s1566.1.p	EUTSA_v10024522mg
OG0000083	Carub.0001s2429.1.p, Carub.0001s3299.1.p	EUTSA_v10028451mg, EUTSA_v10006900mg
OG0000083	Carub.0001s1373.1.p	EUTSA_v10006818mg
OG0000083	Carub.0005s0217.1.p	EUTSA_v10003709mg
OG0000083	Carub.0005s0218.1.p	EUTSA_v10003663mg
OG0000083	Carub.0005s0216.1.p	EUTSA_v10003656mg
OG0000084	Carub.0007s1287.1.p	EUTSA_v10026967mg
OG0000084	Carub.0008s1348.1.p	EUTSA_v10014941mg
OG0000084	Carub.0007s3378.1.p	EUTSA_v10027977mg
