Orthogroup	Brassica_oleracea	Boechera_stricta
OG0000002	Bo2g007310, Bo4g133450, Bo8g051570, Bo00285s480, Bo1g046590, Bo5g139980, Bo12205s010, Bo3g171040, Bo7g049910, Bo2g012710, Bo9g024280, Bo6g099360, Bo2g024370, Bo6g074520, Bo5g013610, Bo3g086940, Bo8g050550, Bo6g018150, Bo3g037470, Bo1g059330, Bo1g148930, Bo19462s010, Bo4g013180, Bo5g027830, Bo3g043190, Bo9g035260, Bo5g019470, Bo9g117240, Bo7g106770, Bo6g086400, Bo2g076780, Bo2g017620, Bo6g110990, Bo9g174590, Bo2g041390, Bo3g153570, Bo9g024540, Bo1g003690, Bo7g081610, Bo3g155680, Bo8g080700, Bo4g177990, Bo4g034560, Bo1g049560, Bo8g081120, Bo4g190150, Bo18421s010, Bo1g028460, Bo6g064800, Bo7g088720, Bo6g015760, Bo1g098700, Bo9g091290, Bo5g010840, Bo1g138410, Bo1g150450, Bo7g061950, Bo3g074480, Bo5g027910, Bo9g137260, Bo1g008540, Bo16268s010, Bo7g030620, Bo4g188330, Bo9g114030, Bo8g059250, Bo3g173500, Bo7g105480, Bo9g034140, Bo7g073950, Bo9g034150, Bo2g062550, Bo5g017630, Bo00826s010, Bo06402s010, Bo4g034520, Bo3g170910, Bo9g070040, Bo4g021160, Bo6g116290, Bo2g132460, Bo5g104690, Bo6g119320, Bo4g136850, Bo9g022560, Bo9g067060, Bo7g075430, Bo1g082410, Bo8g028600, Bo1g030690, Bo1g017190, Bo4g026560, Bo4g108160, Bo9g135330, Bo4g056190, Bo9g084320, Bo8g047230, Bo2g075660, Bo1g058830, Bo8g088460, Bo1g123060, Bo8g040590, Bo22078s010, Bo5g131920, Bo11601s010, Bo18126s010, Bo01132s020, Bo01160s030, Bo2g144990, Bo01153s030, Bo3g116260, Bo5g030220, Bo5g020630, Bo1g058840, Bo8g015190, Bo15908s010, Bo9g151710, Bo4g084980, Bo9g017660	Bostr.28625s0130.1.p
OG0000002	Bo2g049360, Bo7g059630, Bo1g007290, Bo4g052310, Bo2g127590, Bo1g123300, Bo9g150180, Bo5g036340, Bo6g118880, Bo09855s010, Bo6g086640, Bo3g143190, Bo9g018630, Bo3g103510, Bo4g165380, Bo5g113660, Bo9g050990, Bo8g052690, Bo8g052700, Bo1g042980, Bo4g139720, Bo11396s010, Bo4g156030, Bo6g081930, Bo4g027210, Bo7g044970, Bo1g031920, Bo9g152350, Bo7g044960, Bo1g138470, Bo9g036950, Bo4g070520, Bo9g021960, Bo8g007300, Bo6g086280, Bo4g092500, Bo3g147700, Bo4g019810, Bo23299s010, Bo5g128770, Bo1g016690, Bo9g013990, Bo2g021980, Bo5g124950, Bo2g021970, Bo2g009780, Bo6g076830, Bo5g124940, Bo7g042360, Bo5g122550, Bo7g078270, Bo4g117060, Bo3g169370, Bo7g080270, Bo9g146880, Bo9g146890, Bo7g099300, Bo01041s040, Bo5g076330, Bo2g149690, Bo6g026290, Bo4g096780, Bo3g141380, Bo2g136700, Bo8g065890, Bo3g169160, Bo01826s010, Bo1g114890, Bo5g123420, Bo4g013090, Bo8g007060, Bo7g075510, Bo6g081940, Bo8g051190, Bo9g148600, Bo9g053370, Bo8g104200, Bo3g074890, Bo9g040860, Bo3g090210, Bo8g054510, Bo1g039830, Bo6g099470, Bo9g019170, Bo7g088960, Bo2g054010, Bo5g101180, Bo2g047940, Bo7g088580, Bo02734s010, Bo2g119430, Bo22302s010, Bo9g059080, Bo4g176300, Bo4g030050, Bo9g156160, Bo3g083940, Bo3g066180, Bo9g062670, Bo07182s010, Bo3g066170, Bo4g116990, Bo4g038780, Bo5g020310, Bo3g083930, Bo1g077090, Bo2g146250, Bo1g116210, Bo3g036980, Bo9g014990, Bo9g135630, Bo8g070630, Bo5g034420, Bo9g071680, Bo9g040960, Bo9g095450, Bo4g145200, Bo5g043250, Bo1g086140, Bo3g113790, Bo3g113700, Bo3g106880, Bo03564s010, Bo03650s010, Bo2g095010, Bo08896s010, Bo4g187030, Bo2g080820, Bo4g065910, Bo6g087770, Bo7g065750, Bo25539s010, Bo7g045540, Bo5g137160, Bo6g068160, Bo4g056350, Bo3g173690, Bo7g045650, Bo6g081680, Bo02203s010, Bo3g120580, Bo5g130230, Bo2g013250, Bo01198s020, Bo3g062390, Bo3g066110, Bo5g118900, Bo9g092490, Bo9g025900, Bo8g053020, Bo9g075790, Bo7g110180, Bo5g118700, Bo9g024330, Bo21002s010, Bo1g078500, Bo5g001310, Bo16096s010, Bo3g120860, Bo2g096190, Bo9g171370, Bo3g061250, Bo9g122280, Bo8g065950, Bo2g026700, Bo2g161660, Bo9g163500, Bo1g120450, Bo7g011360, Bo8g093120, Bo8g050380, Bo7g093220, Bo1g048040, Bo1g092950, Bo2g156040, Bo6g028070, Bo3g147710, Bo5g111200, Bo9g135120, Bo4g166560, Bo1g138460, Bo8g058100, Bo9g084390, Bo6g118410, Bo9g018820, Bo1g105280, Bo5g101100, Bo9g084380, Bo8g052870, Bo2g025440, Bo4g191450, Bo7g064420, Bo2g082610, Bo4g052050, Bo4g009340, Bo2g093110, Bo4g032340, Bo00703s050, Bo1g138670, Bo3g032880, Bo16042s010, Bo4g109810, Bo4g098310, Bo3g061460, Bo03173s010, Bo6g031380, Bo4g014650, Bo2g013580, Bo6g016970, Bo6g051140, Bo3g024560, Bo3g107130, Bo31864s010, Bo8g045890, Bo7g080740, Bo9g109860, Bo9g116170, Bo2g147920, Bo1g070630, Bo7g050460, Bo4g118550, Bo8g094340, Bo01073s040, Bo1g105050, Bo7g100520, Bo1g151930, Bo4g002300, Bo6g076960, Bo6g074440, Bo5g025090, Bo6g118420, Bo9g058610, Bo4g083440, Bo2g146140, Bo2g158950, Bo2g146600, Bo2g040110, Bo8g067890, Bo04405s010, Bo4g111020, Bo9g135150, Bo1g017840, Bo6g098860, Bo2g138540, Bo5g036360, Bo8g070270, Bo7g021580, Bo5g017620, Bo2g136320, Bo3g052710, Bo21484s010, Bo9g091260, Bo7g079900, Bo8g095450, Bo5g039780, Bo5g138020, Bo5g030370, Bo2g131410, Bo8g095460, Bo8g107410, Bo7g059480, Bo1g040190, Bo2g041500, Bo8g117620, Bo1g053550, Bo9g014820, Bo6g077200, Bo2g085110, Bo26668s010, Bo01001s040, Bo4g154600, Bo4g112910, Bo4g098620, Bo1g116340, Bo8g050690, Bo3g091380, Bo5g134650, Bo3g036970, Bo3g141750, Bo3g078620, Bo3g157220, Bo00951s020, Bo4g101340, Bo5g132710, Bo1g014460, Bo3g168820, Bo3g001610, Bo9g029550, Bo03702s010, Bo3g030260, Bo4g117120, Bo4g178110, Bo7g045260, Bo4g154770, Bo4g168040, Bo3g155400, Bo6g081160, Bo1g140950, Bo2g134730, Bo9g009870, Bo8g043360, Bo4g013220, Bo2g120910, Bo3g024760, Bo5g030980, Bo1g035800, Bo2g041950, Bo8g024450, Bo12918s010, Bo8g066500, Bo6g008210, Bo2g133670, Bo9g030860, Bo1g105290, Bo01093s010, Bo3g137250, Bo01167s020, Bo08089s010, Bo6g094820, Bo9g176250, Bo6g094830, Bo7g060050, Bo3g147540, Bo04126s010, Bo4g173170, Bo5g062560, Bo7g043390	Bostr.7128s0693.1.p, Bostr.19424s0811.1.p, Bostr.13671s0382.1.p, Bostr.27991s0059.1.p, Bostr.23794s0120.1.p, Bostr.6864s0104.1.p, Bostr.0697s0013.1.p, Bostr.30275s0103.1.p, Bostr.0124s0046.1.p, Bostr.26675s0348.1.p, Bostr.25219s0363.1.p, Bostr.22252s0054.1.p, Bostr.13129s0082.1.p
OG0000003	Bo5g126740	Bostr.28625s0119.1.p
OG0000003	Bo1g122930, Bo1g124800	Bostr.10064s0017.1.p
OG0000003	Bo3g068740, Bo3g068790	Bostr.19424s0924.1.p
OG0000003	Bo3g085640, Bo3g085630	Bostr.19424s0163.1.p
OG0000003	Bo4g186150, Bo4g186130, Bo05659s010, Bo1g136180, Bo1g134840, Bo1g134860, Bo1g134850	Bostr.12659s0296.1.p
OG0000003	Bo3g081360	Bostr.18351s0209.1.p
OG0000003	Bo3g028700, Bo3g029810, Bo1g101700	Bostr.19424s0010.1.p
OG0000007	Bo7g021450	Bostr.7128s0181.1.p, Bostr.13129s0034.1.p, Bostr.18351s0010.1.p, Bostr.3877s0039.1.p, Bostr.0568s0360.1.p, Bostr.22157s0116.1.p, Bostr.8169s0009.1.p, Bostr.18351s0009.1.p, Bostr.15774s0119.1.p, Bostr.3877s0040.1.p, Bostr.9686s0012.1.p, Bostr.30057s0019.1.p, Bostr.29505s0006.1.p, Bostr.26675s0158.1.p, Bostr.7128s0106.1.p
OG0000007	Bo7g060220, Bo7g031300, Bo5g082700, Bo9g111360, Bo3g170500, Bo9g102260, Bo4g158900, Bo1g144590, Bo17204s010, Bo6g076000, Bo09183s010, Bo1g150110, Bo3g030210, Bo3g093390, Bo10550s010, Bo7g055820, Bo7g026660, Bo6g014480, Bo10111s010, Bo15164s010, Bo8g097950, Bo23745s010, Bo1g051750, Bo2g029060, Bo5g091820, Bo7g038970, Bo3g051040, Bo09521s010, Bo12579s010, Bo6g080880, Bo4g125780, Bo4g125770, Bo10260s010, Bo13377s010, Bo8g089970, Bo16015s010, Bo5g057140, Bo4g077020, Bo1g105500, Bo07519s010, Bo3g083630, Bo20653s010, Bo9g062570, Bo13417s010, Bo9g102430, Bo03418s010, Bo9g102440, Bo9g061570, Bo1g076830, Bo2g162940, Bo6g094110, Bo1g108380, Bo5g072350, Bo07736s010, Bo2g012070, Bo13331s010, Bo05334s010, Bo01186s010, Bo3g042660, Bo4g171920, Bo7g058060, Bo4g172930, Bo27833s010, Bo6g033350, Bo4g161410, Bo3g084350, Bo6g033360, Bo4g172920, Bo4g117250, Bo10733s010, Bo9g102420, Bo3g120850, Bo7g021420, Bo7g052700, Bo7g021430, Bo9g102410, Bo03441s010, Bo8g025700, Bo6g037230, Bo00689s050, Bo00689s020, Bo9g133680, Bo7g031450, Bo02157s010, Bo3g138700, Bo6g112920, Bo8g012910, Bo6g054810, Bo9g084450, Bo7g004980, Bo4g085020, Bo6g056060, Bo07128s010, Bo9g097000, Bo6g005690, Bo8g088430, Bo5g137070, Bo04735s010, Bo6g005680, Bo5g043570, Bo1g024400, Bo8g051160, Bo12111s010, Bo10053s010, Bo3g109230, Bo5g129120, Bo03741s010, Bo4g085030, Bo12871s010	Bostr.11568s0036.1.p, Bostr.2199s0042.1.p, Bostr.3359s0073.1.p, Bostr.15774s0014.1.p, Bostr.18473s0020.1.p, Bostr.0597s0007.1.p, Bostr.0142s0001.1.p
OG0000007	Bo20270s010, Bo2g061300, Bo1g051760, Bo01959s010, Bo5g141410, Bo1g084750, Bo4g119700, Bo5g082520, Bo3g089860, Bo2g050930, Bo7g021180, Bo01985s010, Bo8g083540, Bo2g133980, Bo6g066350, Bo5g082500, Bo04493s010	Bostr.4825s0016.1.p, Bostr.9017s0003.1.p, Bostr.15774s0354.1.p, Bostr.12302s0110.1.p, Bostr.26326s0113.1.p
OG0000007	Bo9g037170	Bostr.30057s0062.1.p, Bostr.10689s0085.1.p, Bostr.30275s0278.1.p
OG0000007	Bo06956s010, Bo6g026250, Bo9g150360, Bo6g098670, Bo00986s030, Bo01092s030	Bostr.21554s0011.1.p, Bostr.23794s0324.1.p, Bostr.9586s0001.1.p, Bostr.15697s0471.1.p
OG0000009	Bo9g058260	Bostr.12659s0253.1.p
OG0000011	Bo3g164050, Bo7g107740, Bo7g107710, Bo7g107730, Bo3g164040, Bo3g164020, Bo7g081210, Bo4g186200, Bo3g018390	Bostr.25463s0391.1.p
OG0000011	Bo9g171440, Bo3g007580, Bo9g059350, Bo3g006960, Bo3g006980, Bo3g006990	Bostr.2570s0335.1.p, Bostr.2570s0342.1.p, Bostr.2570s0295.1.p, Bostr.2570s0292.1.p, Bostr.10267s0002.1.p, Bostr.2570s0346.1.p
OG0000011	Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380, Bo9g029360	Bostr.19424s0067.1.p, Bostr.29514s0002.1.p, Bostr.0556s0747.1.p, Bostr.21132s0003.1.p, Bostr.0556s0496.1.p, Bostr.18473s0359.1.p, Bostr.18473s0378.1.p, Bostr.0556s0798.1.p, Bostr.23202s0001.1.p, Bostr.0556s0745.1.p, Bostr.18473s0352.1.p, Bostr.18473s0376.1.p, Bostr.18473s0374.1.p, Bostr.18351s0417.1.p, Bostr.26326s0044.1.p, Bostr.2983s0062.1.p, Bostr.7200s0014.1.p, Bostr.7200s0011.1.p, Bostr.12290s0001.1.p, Bostr.2570s0337.1.p, Bostr.2570s0327.1.p, Bostr.2570s0283.1.p, Bostr.2570s0332.1.p, Bostr.2570s0338.1.p, Bostr.30057s0027.1.p, Bostr.13129s0194.1.p, Bostr.30057s0025.1.p, Bostr.0556s0387.1.p, Bostr.10040s0342.1.p, Bostr.7200s0053.1.p, Bostr.7200s0050.1.p, Bostr.19424s0040.1.p, Bostr.25993s0382.1.p, Bostr.13671s0391.1.p, Bostr.19424s0243.1.p, Bostr.7867s0935.1.p, Bostr.19424s0015.1.p, Bostr.19424s0041.1.p
OG0000012	Bo1g101660	Bostr.9638s0025.1.p, Bostr.21554s0001.1.p, Bostr.5763s0005.1.p, Bostr.2392s0005.1.p
OG0000012	Bo00703s100, Bo00893s030, Bo00703s110, Bo10669s010, Bo3g052100, Bo3g120740, Bo8g016220, Bo9g079620, Bo2g134680, Bo6g046830, Bo4g092750, Bo1g086090, Bo7g009480, Bo9g033900, Bo2g115090, Bo1g094420, Bo7g009470, Bo2g104620, Bo2g086650, Bo3g130000, Bo2g127530, Bo9g054460, Bo1g094410, Bo9g066650, Bo6g054820, Bo8g039510, Bo7g049850, Bo2g026990, Bo9g058560, Bo1g051600, Bo7g080820, Bo2g025580, Bo2g116420, Bo9g061380, Bo9g018120, Bo1g051610, Bo2g027050, Bo3g137140, Bo6g055830, Bo6g083340, Bo19250s010, Bo6g087530, Bo1g007310, Bo8g094800, Bo3g002730, Bo9g015180, Bo8g067370, Bo7g098810, Bo1g076880, Bo5g004540, Bo6g064950, Bo7g031020, Bo6g092920, Bo3g114990, Bo3g111190, Bo00737s040, Bo7g021680, Bo5g005090, Bo8g080640, Bo4g117110, Bo5g048870, Bo1g016570, Bo8g059300, Bo6g081860, Bo2g013950, Bo7g067510, Bo2g013460, Bo5g049030, Bo8g052760, Bo4g024210, Bo2g100330, Bo1g057680, Bo7g021160, Bo5g148210, Bo5g105040, Bo4g195340, Bo1g057000, Bo7g101080, Bo3g101620, Bo7g030540, Bo9g073140, Bo9g022370, Bo9g090710, Bo6g083640, Bo3g047170, Bo6g003260, Bo1g005050, Bo3g019660, Bo3g127300, Bo5g062440, Bo5g065850, Bo1g138730, Bo2g023570, Bo6g029460, Bo2g126830, Bo3g045730, Bo4g085060, Bo6g033200, Bo9g133440, Bo4g061520, Bo8g054260, Bo3g113410, Bo1g037350, Bo00578s050, Bo8g117850, Bo5g111120, Bo5g155170, Bo9g109810, Bo4g074150, Bo2g057590, Bo9g026040, Bo1g014520, Bo4g158650, Bo1g067410, Bo4g184640, Bo4g152950, Bo7g009840, Bo3g081260, Bo9g171540, Bo5g151550, Bo4g126990, Bo2g124390, Bo8g016910, Bo7g092710, Bo6g064930, Bo5g010460, Bo8g081760, Bo9g023780, Bo7g075150, Bo5g064440, Bo9g152010, Bo9g151610, Bo7g103800, Bo8g089850, Bo7g095770, Bo8g065190, Bo5g010660, Bo8g068040, Bo6g064610, Bo9g166420, Bo7g059760, Bo3g026930, Bo4g139890, Bo4g137170, Bo8g065180, Bo8g076690, Bo2g009230, Bo4g026810, Bo1g105220, Bo2g109290, Bo1g003140, Bo00805s010, Bo8g076380, Bo2g149260, Bo3g185150, Bo1g087670, Bo4g173770, Bo4g045740, Bo8g117800, Bo4g139830, Bo6g120400, Bo3g060540, Bo3g045680, Bo4g186330, Bo7g041010, Bo3g027280, Bo3g061000, Bo2g102070, Bo8g077010, Bo1g101550, Bo4g084970, Bo3g163900, Bo4g140740, Bo4g151610, Bo4g092530, Bo8g038010, Bo2g055740, Bo2g055430, Bo3g175140, Bo8g070400, Bo9g064110, Bo8g021760, Bo3g091810, Bo2g061340, Bo6g049380, Bo1g025460, Bo9g022440, Bo2g048130, Bo8g047200, Bo5g054570, Bo2g146510, Bo7g100540, Bo1g047880, Bo3g164380, Bo5g023490, Bo8g110870, Bo9g117450, Bo1g030720, Bo1g029620, Bo9g165790, Bo9g022210, Bo6g046530, Bo8g048290, Bo2g145000, Bo7g088800, Bo00579s160, Bo1g039690, Bo2g083750, Bo01337s010, Bo9g159800, Bo1g011420, Bo9g153910, Bo5g133250, Bo7g065780, Bo5g041140, Bo4g050660, Bo5g069550, Bo3g157240, Bo8g050990, Bo2g092630, Bo3g073100, Bo7g054420, Bo9g152390, Bo3g152810, Bo4g094110, Bo6g015630, Bo3g078800, Bo4g120570, Bo1g091750, Bo5g048780, Bo02037s010, Bo2g047490, Bo1g053440, Bo3g094100, Bo3g108090, Bo2g064340, Bo1g019270, Bo3g155450, Bo16122s010, Bo9g066710, Bo1g053430, Bo7g054350, Bo8g011500, Bo8g035440, Bo01222s010, Bo15464s010, Bo8g091220, Bo4g059990, Bo7g055840, Bo2g072930, Bo5g071070, Bo1g021750, Bo5g117100, Bo6g064840, Bo2g061240, Bo5g061040, Bo9g142310, Bo1g078980, Bo1g102090, Bo7g031770	Bostr.6773s0009.1.p
OG0000013	Bo8g092760	Bostr.20129s0144.1.p
OG0000013	Bo5g088270	Bostr.3359s0100.1.p, Bostr.3359s0099.1.p, Bostr.15697s0412.1.p, Bostr.9600s0003.1.p, Bostr.9600s0001.1.p, Bostr.15697s0414.1.p, Bostr.15697s0413.1.p, Bostr.15697s0401.1.p, Bostr.15697s0419.1.p
OG0000014	Bo6g074640	Bostr.20903s0073.1.p
OG0000014	Bo4g108440	Bostr.0556s0770.1.p
OG0000014	Bo6g074810, Bo4g108430	Bostr.10094s0001.1.p
OG0000014	Bo4g108500, Bo6g074730	Bostr.20903s0078.1.p
OG0000014	Bo04151s010, Bo6g074680, Bo6g074650	Bostr.20903s0077.1.p
OG0000014	Bo3g173530	Bostr.15697s0453.1.p, Bostr.15697s0452.1.p
OG0000015	Bo3g101130, Bo01401s010, Bo01374s030, Bo1g006200, Bo9g003880, Bo2g048020, Bo1g011240, Bo7g081940, Bo7g043670, Bo9g169070, Bo7g084160, Bo5g122960, Bo2g044710, Bo6g003320, Bo6g077530, Bo3g149540, Bo7g012760, Bo8g066400, Bo09761s010, Bo6g079980, Bo4g151120, Bo5g082620, Bo8g092440, Bo2g146200, Bo6g098820, Bo7g107020, Bo8g079590, Bo6g116240, Bo1g117530, Bo3g026390, Bo3g034990, Bo7g091410, Bo5g002940, Bo5g018120, Bo2g134280, Bo8g101790, Bo6g027930, Bo7g056040, Bo7g062130, Bo7g108970	Bostr.13175s0074.1.p, Bostr.22157s0001.1.p, Bostr.30057s0022.1.p, Bostr.25494s0057.1.p, Bostr.25463s0280.1.p, Bostr.3148s0194.1.p, Bostr.13671s0245.1.p, Bostr.29246s0028.1.p, Bostr.7867s0391.1.p, Bostr.3148s0191.1.p, Bostr.17053s0001.1.p, Bostr.0556s0068.1.p, Bostr.7903s0152.1.p, Bostr.10273s0354.1.p, Bostr.5763s0029.1.p, Bostr.3053s0006.1.p, Bostr.26959s0380.1.p, Bostr.7305s0008.1.p
OG0000015	Bo7g099460	Bostr.25542s0086.1.p
OG0000015	Bo3g138660, Bo7g089660, Bo1g056570, Bo6g018180, Bo8g079450, Bo00802s040, Bo23988s010, Bo9g181120, Bo8g004710, Bo1g002140, Bo3g021730, Bo8g097790, Bo01477s010, Bo8g108860, Bo6g116300, Bo13088s010, Bo9g163030, Bo4g182830, Bo2g155290, Bo8g117440, Bo1g150030, Bo8g096220, Bo3g037390, Bo2g014220, Bo12018s010, Bo1g144790, Bo1g034400, Bo2g166320	Bostr.1109s0001.1.p
OG0000015	Bo00790s050	Bostr.10040s0283.1.p
OG0000015	Bo6g124260, Bo2g140430	Bostr.0568s0220.1.p
OG0000015	Bo3g107950	Bostr.2983s0165.1.p
OG0000015	Bo6g065160, Bo6g039980, Bo6g066390, Bo6g034500, Bo7g110670, Bo1g004950, Bo9g141270, Bo8g117180, Bo3g002540, Bo4g179370, Bo1g013170, Bo8g019360	Bostr.18351s0367.1.p
OG0000015	Bo7g041140	Bostr.0556s0102.1.p
OG0000016	Bo4g130720	Bostr.9017s0030.1.p
OG0000016	Bo7g119570	Bostr.25542s0065.1.p
OG0000016	Bo9g158560	Bostr.26527s0407.1.p
OG0000016	Bo3g012880, Bo3g012910, Bo2g014180	Bostr.26527s0402.1.p
OG0000016	Bo2g136220, Bo2g014130, Bo9g157520, Bo2g136240, Bo2g014270, Bo2g014230, Bo2g014190, Bo3g012950, Bo2g014170, Bo2g014140, Bo2g014210, Bo3g012870, Bo2g014250, Bo3g012900, Bo3g012920, Bo9g159650, Bo9g157510, Bo9g157550, Bo9g158570, Bo3g012890, Bo2g136210, Bo2g014160	Bostr.26527s0403.1.p, Bostr.26527s0410.1.p, Bostr.26527s0406.1.p, Bostr.26527s0411.1.p, Bostr.26527s0405.1.p
OG0000017	Bo8g077820, Bo8g077790, Bo8g077800	Bostr.18473s0005.1.p
OG0000017	Bo2g007040	Bostr.24513s0095.1.p, Bostr.24513s0017.1.p
OG0000017	Bo9g176950, Bo9g176970, Bo4g176340, Bo4g176330	Bostr.24513s0074.1.p
OG0000017	Bo4g177740, Bo4g177950, Bo4g188690, Bo4g177940, Bo4g178000, Bo4g177770, Bo1g104890, Bo5g131630, Bo4g177930, Bo4g177960, Bo4g178010, Bo4g177780, Bo4g179270, Bo4g177750, Bo4g177810, Bo5g003710, Bo4g195170, Bo4g169460, Bo4g178020	Bostr.19424s1031.1.p, Bostr.7867s1381.1.p
OG0000017	Bo00944s010	Bostr.29223s0124.1.p, Bostr.0568s0200.1.p
OG0000018	Bo4g142440, Bo4g142450	Bostr.25375s0037.1.p
OG0000018	Bo9g034060, Bo9g034120, Bo9g045310	Bostr.10040s0224.1.p
OG0000018	Bo9g029450, Bo9g034000, Bo9g029500	Bostr.29223s0143.1.p
OG0000018	Bo00787s050	Bostr.10040s0058.1.p, Bostr.10040s0056.1.p, Bostr.10040s0057.1.p
OG0000018	Bo9g029350, Bo9g035320, Bo9g035300, Bo9g035360	Bostr.2199s0024.1.p
OG0000018	Bo4g177630	Bostr.10040s0227.1.p
OG0000018	Bo9g034100	Bostr.10040s0141.1.p
OG0000019	Bo3g017830	Bostr.26833s0271.1.p
OG0000019	Bo2g025540	Bostr.26833s0270.1.p
OG0000019	Bo3g162240	Bostr.12659s0011.1.p
OG0000019	Bo4g065900	Bostr.27991s0162.1.p
OG0000019	Bo4g167990	Bostr.27991s0024.1.p, Bostr.26833s0919.1.p
OG0000019	Bo8g113980	Bostr.25219s0205.1.p
OG0000023	Bo8g109220, Bo8g108970, Bo2g137160, Bo2g137180, Bo01367s010, Bo3g162480	Bostr.3227s0001.1.p
OG0000023	Bo7g093630	Bostr.12659s0297.1.p
OG0000023	Bo4g187050	Bostr.15697s0468.1.p
OG0000024	Bo9g148170	Bostr.10199s0167.1.p
OG0000024	Bo1g087950, Bo9g048820	Bostr.10040s0323.1.p, Bostr.10040s0277.1.p, Bostr.10040s0332.1.p, Bostr.10040s0017.1.p, Bostr.10040s0312.1.p, Bostr.10040s0304.1.p, Bostr.10040s0300.1.p, Bostr.10040s0324.1.p, Bostr.7200s0195.1.p, Bostr.10040s0334.1.p, Bostr.25375s0006.1.p, Bostr.10040s0305.1.p, Bostr.10040s0313.1.p, Bostr.10040s0328.1.p, Bostr.10040s0322.1.p
OG0000024	Bo9g008940, Bo1g090360	Bostr.30057s0071.1.p
OG0000024	Bo9g046560	Bostr.10040s0278.1.p
OG0000024	Bo3g087240	Bostr.10040s0251.1.p, Bostr.13404s0084.1.p, Bostr.8819s0141.1.p, Bostr.10040s0269.1.p, Bostr.10040s0296.1.p, Bostr.10040s0307.1.p, Bostr.10040s0314.1.p, Bostr.10040s0311.1.p, Bostr.10040s0286.1.p, Bostr.10040s0249.1.p, Bostr.10040s0248.1.p, Bostr.19424s0017.1.p, Bostr.10040s0243.1.p, Bostr.20129s0404.1.p
OG0000024	Bo4g034680, Bo7g089600	Bostr.13671s0460.1.p, Bostr.10040s0330.1.p
