Orthogroup	Brassica_oleracea	Thellungiella_parvula
OG0000003	Bo3g027920	Sp7g11920.1
OG0000003	Bo3g071300	Sp4g16570.1
OG0000003	Bo1g101700	Sp3g21250.1
OG0000003	Bo5g122980, Bo5g123020, Bo5g122990, Bo6g112890, Bo4g108630	Sp3g15660.1
OG0000005	Bo19419s010	Sp4g09613.1
OG0000005	Bo8g037990, Bo17587s010	Sp2g07455.1, Sp1g31095.1
OG0000005	Bo6g056250, Bo6g001040	Sp3g27245.1
OG0000005	Bo3g019830	Sp6g06905.1
OG0000005	Bo3g017770	SpUn0005_0147.1
OG0000006	Bo03058s010, Bo8g109450, Bo4g104760	Sp6g08085.1
OG0000007	Bo7g060220, Bo7g031300, Bo5g082700, Bo9g111360, Bo3g170500, Bo9g102260, Bo4g158900, Bo1g144590, Bo17204s010, Bo6g076000, Bo09183s010, Bo1g150110, Bo3g030210, Bo3g093390, Bo10550s010, Bo7g055820, Bo7g026660, Bo6g014480, Bo10111s010, Bo15164s010, Bo8g097950, Bo23745s010, Bo1g051750, Bo2g029060, Bo5g091820, Bo7g038970, Bo3g051040, Bo09521s010, Bo12579s010, Bo6g080880, Bo4g125780, Bo4g125770, Bo10260s010, Bo13377s010, Bo8g089970, Bo16015s010, Bo5g057140, Bo4g077020, Bo1g105500, Bo07519s010, Bo3g083630, Bo20653s010, Bo9g062570, Bo13417s010, Bo9g102430, Bo03418s010, Bo9g102440, Bo9g061570, Bo1g076830, Bo2g162940, Bo6g094110, Bo1g108380, Bo5g072350, Bo07736s010, Bo2g012070, Bo13331s010, Bo05334s010, Bo01186s010, Bo3g042660, Bo4g171920, Bo7g058060, Bo4g172930, Bo27833s010, Bo6g033350, Bo4g161410, Bo3g084350, Bo6g033360, Bo4g172920, Bo4g117250, Bo10733s010, Bo9g102420, Bo3g120850, Bo7g021420, Bo7g052700, Bo7g021430, Bo9g102410, Bo03441s010, Bo8g025700, Bo6g037230, Bo00689s050, Bo00689s020, Bo9g133680, Bo7g031450, Bo02157s010, Bo3g138700, Bo6g112920, Bo8g012910, Bo6g054810, Bo9g084450, Bo7g004980, Bo4g085020, Bo6g056060, Bo07128s010, Bo9g097000, Bo6g005690, Bo8g088430, Bo5g137070, Bo04735s010, Bo6g005680, Bo5g043570, Bo1g024400, Bo8g051160, Bo12111s010, Bo10053s010, Bo3g109230, Bo5g129120, Bo03741s010, Bo4g085030	Sp1g31770.1
OG0000007	Bo8g081380	Sp4g05160.1
OG0000007	Bo03143s010	Sp7g07680.1
OG0000007	Bo00986s010, Bo2g115140, Bo5g082490	Sp6g09740.1
OG0000007	Bo9g037170, Bo1g084650	SpUn0003_0370.1
OG0000007	Bo08195s010, Bo02953s010, Bo01226s020, Bo02075s010, Bo02723s010, Bo01002s050, Bo00763s110, Bo7g045380, Bo4g154030, Bo5g035220, Bo19756s010, Bo7g012880, Bo23665s010, Bo03046s010, Bo2g089960, Bo3g083390, Bo5g091610, Bo9g150240, Bo01884s020, Bo3g123830, Bo9g150350, Bo3g083380, Bo2g132090	Sp6g09400.1
OG0000007	Bo8g030380, Bo8g030390, Bo00706s070, Bo5g080150, Bo3g069020, Bo5g027570, Bo1g087820, Bo2g165570, Bo8g033880, Bo5g118930, Bo5g118940, Bo9g078160, Bo7g113950, Bo6g018730, Bo9g066970, Bo00576s050, Bo00766s030, Bo5g110040, Bo29619s010, Bo05564s010, Bo09951s010, Bo19714s010, Bo2g134200, Bo00766s020, Bo00950s020, Bo7g007280, Bo4g050730, Bo1g101400, Bo10576s010, Bo01181s040, Bo01181s030	SpUn1097_0010.1
OG0000007	Bo6g098670	Sp2g06330.1, Sp7g02850.1, Sp1g34290.1, SpUn0013_0030.1, SpUn0007_0130.1, SpUn0005_0180.1
OG0000007	Bo00986s030	SpUn0005_0190.1, SpUn0002_0670.1, Sp5g20470.1, Sp2g06140.1
OG0000007	Bo01092s030	Sp1g31200.1, Sp3g26530.1, Sp1g31210.1, Sp7g06300.1, Sp7g06320.1, Sp7g08350.1, Sp4g02360.1, Sp5g17740.1, Sp5g19660.1, Sp7g08990.1, Sp4g07030.1, Sp4g08150.1, Sp5g19650.1, Sp4g06480.1, Sp5g17390.1, SpUn0166_0010.1, Sp5g17400.1
OG0000009	Bo9g045300	Sp7g19460.1, Sp6g08880.1
OG0000009	Bo9g058260, Bo4g097110, Bo04990s010, Bo4g191090, Bo4g115300, Bo3g044550, Bo8g027470, Bo00947s030, Bo9g009820, Bo2g135990, Bo1g024440, Bo3g107920, Bo7g059380, Bo9g117660, Bo4g109750, Bo9g117750, Bo4g101260	Sp4g10390.1
OG0000011	Bo3g164050, Bo7g107740, Bo7g107710, Bo7g107730, Bo3g164040, Bo3g164020, Bo7g081210, Bo4g186200	Sp7g20140.1
OG0000012	Bo00703s100, Bo00893s030, Bo00703s110, Bo10669s010, Bo3g052100, Bo3g120740, Bo8g016220, Bo9g079620, Bo2g134680, Bo6g046830, Bo4g092750, Bo1g086090, Bo7g009480, Bo9g033900, Bo2g115090, Bo1g094420, Bo7g009470, Bo2g104620, Bo2g086650, Bo3g130000, Bo2g127530, Bo9g054460, Bo1g094410, Bo9g066650, Bo6g054820, Bo8g039510, Bo7g049850, Bo2g026990, Bo9g058560, Bo1g051600, Bo7g080820, Bo2g025580, Bo2g116420, Bo9g061380, Bo9g018120, Bo1g051610, Bo2g027050, Bo3g137140, Bo6g055830, Bo6g083340, Bo19250s010, Bo6g087530, Bo1g007310, Bo8g094800, Bo3g002730, Bo9g015180, Bo8g067370, Bo7g098810, Bo1g076880, Bo5g004540, Bo6g064950, Bo7g031020, Bo6g092920, Bo3g114990, Bo3g111190, Bo00737s040, Bo7g021680, Bo5g005090, Bo8g080640, Bo4g117110, Bo5g048870, Bo1g016570, Bo8g059300, Bo6g081860, Bo2g013950, Bo7g067510, Bo2g013460, Bo5g049030, Bo8g052760, Bo4g024210, Bo2g100330, Bo1g057680, Bo7g021160, Bo5g148210, Bo5g105040, Bo4g195340, Bo1g057000, Bo7g101080, Bo3g101620, Bo7g030540, Bo9g073140, Bo9g022370, Bo9g090710, Bo6g083640, Bo3g047170, Bo6g003260, Bo1g005050, Bo3g019660, Bo3g127300, Bo5g062440, Bo5g065850, Bo1g138730, Bo2g023570, Bo6g029460, Bo2g126830, Bo3g045730, Bo4g085060, Bo6g033200, Bo9g133440, Bo4g061520, Bo8g054260, Bo3g113410, Bo1g037350, Bo00578s050, Bo8g117850, Bo5g111120, Bo5g155170, Bo9g109810, Bo4g074150, Bo2g057590, Bo9g026040, Bo1g014520, Bo4g158650, Bo1g067410, Bo4g184640, Bo4g152950, Bo7g009840, Bo3g081260, Bo9g171540, Bo5g151550, Bo4g126990, Bo2g124390, Bo8g016910, Bo7g092710, Bo6g064930, Bo5g010460, Bo8g081760, Bo9g023780, Bo7g075150, Bo5g064440, Bo9g152010, Bo9g151610, Bo7g103800, Bo8g089850, Bo7g095770, Bo8g065190, Bo5g010660, Bo8g068040, Bo6g064610, Bo9g166420, Bo7g059760, Bo3g026930, Bo4g139890, Bo4g137170, Bo8g065180, Bo8g076690, Bo2g009230, Bo4g026810, Bo1g105220, Bo2g109290, Bo1g003140, Bo00805s010, Bo8g076380, Bo2g149260, Bo3g185150, Bo1g087670, Bo4g173770, Bo4g045740, Bo8g117800, Bo4g139830, Bo6g120400, Bo3g060540, Bo3g045680, Bo4g186330, Bo7g041010, Bo3g027280, Bo3g061000, Bo2g102070, Bo8g077010, Bo1g101550, Bo4g084970, Bo3g163900, Bo4g140740, Bo4g151610, Bo4g092530, Bo8g038010, Bo2g055740, Bo2g055430, Bo3g175140, Bo8g070400, Bo9g064110, Bo8g021760, Bo3g091810, Bo2g061340, Bo6g049380, Bo1g025460, Bo9g022440, Bo2g048130, Bo8g047200, Bo5g054570, Bo2g146510, Bo7g100540, Bo1g047880, Bo3g164380, Bo5g023490, Bo8g110870, Bo9g117450, Bo1g030720, Bo1g029620, Bo9g165790, Bo9g022210, Bo6g046530, Bo8g048290, Bo2g145000, Bo7g088800, Bo00579s160, Bo1g039690, Bo2g083750, Bo01337s010, Bo9g159800, Bo1g011420, Bo9g153910, Bo5g133250, Bo7g065780, Bo5g041140, Bo4g050660, Bo5g069550, Bo3g157240, Bo8g050990, Bo2g092630, Bo3g073100, Bo7g054420, Bo9g152390, Bo3g152810, Bo4g094110, Bo6g015630, Bo3g078800, Bo4g120570, Bo1g091750, Bo5g048780, Bo02037s010, Bo2g047490, Bo1g053440, Bo3g094100, Bo3g108090, Bo2g064340, Bo1g019270, Bo3g155450, Bo16122s010, Bo9g066710, Bo1g053430, Bo7g054350, Bo8g011500, Bo8g035440, Bo01222s010, Bo15464s010, Bo8g091220, Bo4g059990, Bo7g055840, Bo2g072930, Bo5g071070, Bo1g021750, Bo5g117100, Bo6g064840, Bo2g061240, Bo5g061040, Bo9g142310, Bo1g078980, Bo1g102090, Bo7g031770	Sp3g26410.1, Sp1g30760.1, SpUn0001_0510.1, Sp4g07060.1, Sp6g10920.1, Sp7g10290.1, SpUn0001_0740.1, Sp3g26710.1
OG0000014	Bo7g105090, Bo9g164110	Sp6g09200.1
OG0000014	Bo8g092630	Sp5g04453.1
OG0000014	Bo6g074660, Bo22660s010, Bo6g074690, Bo6g074710, Bo6g074670	Sp5g04457.1
OG0000014	Bo04151s010, Bo6g074680, Bo6g074650	Sp5g04460.1
OG0000015	Bo3g101130, Bo01401s010, Bo01374s030, Bo1g006200, Bo9g003880, Bo2g048020, Bo1g011240, Bo7g081940, Bo7g043670, Bo9g169070, Bo7g084160, Bo5g122960, Bo2g044710, Bo6g003320, Bo6g077530, Bo3g149540, Bo7g012760, Bo8g066400, Bo09761s010, Bo6g079980, Bo4g151120, Bo5g082620, Bo8g092440, Bo2g146200, Bo6g098820, Bo7g107020, Bo8g079590, Bo6g116240, Bo1g117530, Bo3g026390, Bo3g034990, Bo7g091410, Bo5g002940, Bo5g018120, Bo2g134280, Bo8g101790, Bo6g027930, Bo7g056040, Bo7g062130, Bo7g108970	SpUn0004_0050.1
OG0000015	Bo3g138660, Bo7g089660, Bo1g056570, Bo6g018180, Bo8g079450, Bo00802s040, Bo23988s010, Bo9g181120, Bo8g004710, Bo1g002140, Bo3g021730, Bo8g097790, Bo01477s010, Bo8g108860, Bo6g116300, Bo13088s010, Bo9g163030, Bo4g182830, Bo2g155290, Bo8g117440, Bo1g150030, Bo8g096220, Bo3g037390, Bo2g014220, Bo12018s010, Bo1g144790, Bo1g034400, Bo2g166320, Bo00790s050	SpUn0002_0230.1
OG0000015	Bo8g059050, Bo8g017960	Sp7g02710.1, Sp1g01750.1, Sp7g01630.1
OG0000015	Bo9g058680, Bo1g141260, Bo9g148420, Bo3g018050, Bo5g145410, Bo3g062180, Bo8g095250, Bo4g136310, Bo8g102750, Bo1g103780, Bo9g028060, Bo1g003360, Bo3g078900, Bo6g003570, Bo5g009410, Bo3g154000, Bo7g063540, Bo9g093910, Bo7g002130	Sp4g05790.1
OG0000015	Bo6g092600	Sp6g18960.1
OG0000015	Bo7g041140	Sp3g26350.1
OG0000016	Bo4g130720	Sp7g11580.1
OG0000016	Bo7g119570	Sp7g36980.1
OG0000016	Bo9g158560	Sp6g26270.1
OG0000016	Bo3g012930, Bo2g014260	Sp6g26240.1
OG0000016	Bo3g012900	Sp6g26280.1
OG0000016	Bo3g012890, Bo2g136210, Bo2g014160	Sp6g26260.1
OG0000017	Bo5g093440	Sp1g33140.1, Sp1g34250.1
OG0000017	Bo5g090520, Bo3g040540	Sp1g27840.1
OG0000017	Bo8g077820, Bo8g077790, Bo8g077800	Sp5g12630.1
OG0000018	Bo6g065250	Sp7g00500.1
OG0000018	Bo4g142160	Sp7g00490.1
OG0000018	Bo4g142440, Bo4g142450	Sp7g00350.1
OG0000018	Bo9g029450, Bo9g034000, Bo9g029500	Sp2g00780.1
OG0000018	Bo9g029350, Bo9g035320, Bo9g035300, Bo9g035360	Sp2g00920.1
OG0000018	Bo4g177630	Sp5g13400.1
OG0000018	Bo9g034100	Sp2g00800.1
OG0000018	Bo9g034110	Sp2g00810.1
OG0000019	Bo4g066920	Sp4g11780.1
OG0000019	Bo6g042340	Sp4g10470.1
OG0000019	Bo3g078550	Sp3g19400.1
OG0000019	Bo6g026350, Bo8g059690	Sp1g38470.1
OG0000019	Bo3g017850	Sp6g12470.1
OG0000019	Bo3g017830	Sp6g21340.1
OG0000019	Bo2g025540	Sp6g21350.1
OG0000019	Bo2g026580, Bo9g140650	Sp6g21330.1
OG0000019	Bo6g118790, Bo3g131510	Sp5g15300.1
OG0000019	Bo4g065900	Sp4g11820.1
OG0000019	Bo4g167990	Sp4g11770.1, Sp4g11810.1
OG0000019	Bo5g008290	Sp1g34570.1
OG0000024	Bo9g148170	Sp6g22630.1
OG0000024	Bo1g087950	Sp2g05350.1
OG0000024	Bo9g008940	Sp2g04940.1
OG0000024	Bo1g090360	Sp2g04960.1
OG0000024	Bo4g034680, Bo7g089600	Sp3g23090.1
OG0000025	Bo9g085730, Bo9g085780, Bo9g085770, Bo9g085750, Bo9g085760, Bo9g085740, Bo9g086860, Bo9g086870, Bo9g086850	Sp4g07220.1
OG0000026	Bo1g081390, Bo6g026270	Sp2g07580.1, Sp6g10040.1, Sp3g27990.1, Sp6g07480.1, Sp7g05250.1, Sp6g11510.1, Sp6g11540.1, Sp4g07040.1, SpUn0099_0030.1, SpUn0012_0150.1, Sp1g33550.1, Sp7g08360.1, Sp7g09000.1, Sp5g17720.1, Sp6g06910.1, Sp1g27740.1, Sp6g07470.1, Sp6g09430.1, Sp4g03810.1, SpUn1041_0010.1, Sp6g09180.1, Sp5g19640.1, Sp7g06310.1, Sp7g15680.1, Sp2g03930.1, Sp1g28040.1, Sp3g28330.1, Sp2g04150.1, Sp3g26560.1, Sp4g06760.1, Sp6g09530.1, Sp7g04650.1, SpUn1343_0010.1, Sp6g12850.1, Sp2g01940.1, SpUn0005_0320.1, SpUn0040_0030.1, SpUn0384_0010.1, Sp4g03200.1, Sp5g19860.1, Sp3g22100.1, Sp3g16820.1, Sp1g22890.1, Sp3g30250.1, Sp7g04440.1, SpUn0012_0110.1, Sp4g09730.1, SpUn0012_0100.1, Sp6g12950.1, Sp7g04770.1, Sp1g31220.1, Sp7g03240.1, Sp4g06510.1, Sp1g30010.1, Sp1g33200.1, Sp3g23530.1, Sp2g02140.1, Sp2g06390.1, SpUn0766_0010.1, Sp4g08570.1, Sp7g05060.1, Sp7g09870.1, Sp4g09830.1, Sp6g10070.1, Sp7g07910.1, Sp5g17500.1, SpUn0012_0070.1, Sp4g09760.1, SpUn0012_0080.1, Sp1g26850.1, Sp1g26860.1, Sp3g32060.1, Sp6g13690.1, Sp3g24900.1, SpUn1473_0010.1, Sp3g26100.1, SpUn0964_0010.1, SpUn0475_0010.1, SpUn0895_0010.1, Sp4g08290.1, Sp3g25020.1, Sp3g24960.1, Sp3g24980.1, Sp6g09520.1, Sp3g26070.1, Sp3g26520.1, Sp7g02020.1, Sp1g31950.1, Sp4g07990.1, Sp3g25310.1, Sp4g07790.1, Sp1g31580.1, Sp5g20480.1, Sp3g27550.1, SpUn0001_1030.1, Sp5g20210.1, SpUn0002_0660.1, Sp2g06130.1, SpUn0001_0270.1, Sp4g12960.1, Sp1g26170.1, Sp1g30450.1, Sp6g09190.1, Sp1g30190.1, Sp3g24810.1, Sp5g13270.1, Sp4g08540.1, Sp4g08530.1, Sp7g09320.1, Sp1g34280.1, Sp5g19670.1, Sp4g08090.1, Sp6g08050.1, SpUn0002_0240.1, SpUn0005_0200.1, Sp5g16110.1, Sp2g06660.1, Sp1g29710.1, Sp2g06320.1, SpUn0007_0220.1, SpUn0115_0010.1, Sp4g05400.1, Sp1g32220.1, Sp2g07180.1, Sp3g26990.1, Sp5g25660.1, Sp6g08950.1, Sp6g10780.1, SpUn1205_0010.1, Sp7g04600.1, Sp4g07350.1, SpUn1591_0010.1, Sp6g12230.1, Sp6g06180.1, SpUn0002_0330.1, Sp4g08340.1, SpUn0110_0030.1, Sp6g04590.1, SpUn0614_0010.1, Sp3g28940.1, Sp1g29160.1, Sp4g10560.1, Sp7g05320.1, Sp3g28320.1, Sp1g29170.1, Sp3g27590.1, Sp6g07770.1, Sp6g07780.1, SpUn1945_0010.1, Sp1g36360.1, SpUn0385_0010.1, Sp3g27610.1, Sp2g05070.1, Sp1g26390.1, SpUn0079_0010.1, Sp5g17940.1, Sp4g08690.1, SpUn1064_0010.1, SpUn0001_0100.1, Sp1g36950.1, Sp5g17780.1, Sp1g38460.1, Sp2g06500.1, Sp4g05650.1, Sp1g31780.1, Sp3g27530.1, Sp1g36560.1, Sp5g17960.1, SpUn0390_0010.1, Sp7g01860.1, Sp5g20530.1, Sp3g23670.1, Sp6g09760.1, Sp1g31760.1, Sp6g11380.1, Sp2g05050.1, Sp5g20110.1, Sp3g24890.1
OG0000029	Bo1g087640, Bo9g053310, Bo9g053300, Bo9g053320, Bo9g053280	Sp2g05870.1, SpUn0028_0070.1
OG0000029	Bo9g183270	Sp6g39690.1
OG0000031	Bo3g030020	Sp7g03370.1, Sp7g04110.1
OG0000031	Bo6g042410, Bo5g081350	Sp1g38380.1
OG0000031	Bo4g137360, Bo3g025250	Sp7g03360.1, Sp7g03470.1
OG0000031	Bo01080s020, Bo9g070180, Bo9g124850	Sp6g18230.1
OG0000031	Bo8g089830, Bo8g087200, Bo8g089930, Bo8g089910, Bo8g089900, Bo8g089820, Bo8g087170, Bo8g089840, Bo8g089920, Bo8g087180, Bo8g087190, Bo8g089810	Sp5g07520.1
OG0000032	Bo4g137060, Bo6g058880	Sp7g03860.1
OG0000032	Bo2g055260	Sp5g21950.1
OG0000032	Bo2g054020, Bo6g102390, Bo1g053730	Sp5g21900.1
OG0000032	Bo2g055170	Sp5g21920.1
OG0000032	Bo1g019330	Sp7g15860.1
OG0000032	Bo7g105860, Bo7g105830	Sp7g15830.1
OG0000032	Bo4g065730, Bo4g137070, Bo2g136130, Bo4g137080	Sp7g03770.1
OG0000033	Bo1g094260	Sp2g03980.1
OG0000033	Bo8g108280	Sp1g10900.1
