Orthogroup	Brassica_oleracea	Arabidopsis_thaliana
OG0000019	Bo3g078550	AT3G21340
OG0000019	Bo6g042330, Bo6g026350, Bo8g059690	AT1G51805
OG0000019	Bo3g017830	AT5G59670, AT5G59660
OG0000019	Bo2g026580, Bo9g140650	AT5G59650
OG0000019	Bo6g118790, Bo3g131510	AT3G46340
OG0000019	Bo3g162240	AT4G20450
OG0000019	Bo4g167990	AT2G28960, AT2G29000
OG0000019	Bo5g008290	AT2G14440, AT2G14510
OG0000019	Bo8g113980	AT1G07560
OG0000023	Bo5g041310, Bo5g041300, Bo5g041270	AT5G10340
OG0000023	Bo8g109220, Bo8g108970, Bo2g137160, Bo2g137180, Bo01367s010, Bo3g162480	AT1G11270
OG0000023	Bo7g093630	AT1G09650, AT1G12490, AT5G16285
OG0000024	Bo1g087950, Bo9g048820	AT1G58602, AT1G59124, AT1G58807, AT1G59218, AT1G58848, AT1G58390, AT1G58400, AT1G58410
OG0000024	Bo9g008940, Bo1g090360	AT1G59620
OG0000025	Bo9g085730, Bo9g085780, Bo9g085770, Bo9g085750, Bo9g085760, Bo9g085740, Bo9g086860, Bo9g086870, Bo9g086850	AT5G42567, AT5G34882, AT5G34905, AT5G34881, AT5G34887, AT5G34885, AT5G34883, AT5G34908, AT5G42955, AT5G42957, AT3G30383, AT3G30387, AT3G30385
OG0000026	Bo2g037570, Bo3g146360	AT3G30730
OG0000029	Bo6g087940	AT5G03100
OG0000029	Bo7g009860, Bo3g002060	AT3G28410, AT5G02700
OG0000029	Bo4g025430	AT2G39415, AT1G49610, AT3G03360
OG0000029	Bo1g087640, Bo9g053310, Bo9g053300, Bo9g053320, Bo9g053280	AT5G02930, AT5G02920
OG0000029	Bo9g183270	AT5G02910
OG0000030	Bo5g088340	AT1G63070, AT1G63080, AT1G62930, AT1G63130, AT1G63320, AT1G62670
OG0000031	Bo3g041970, Bo4g157420, Bo01239s010	AT2G26860
OG0000031	Bo6g042410, Bo5g081350, Bo4g137360, Bo3g025250	AT5G38570, AT5G38565, AT5G38580, AT5G38590
OG0000031	Bo01080s020, Bo9g070180, Bo9g124850, Bo8g089830, Bo8g087200, Bo8g089930, Bo8g089910, Bo8g089900, Bo8g089820, Bo8g087170, Bo8g089840, Bo8g089920, Bo8g087180, Bo8g087190, Bo8g089810	AT3G54910
OG0000032	Bo2g055200, Bo02126s010, Bo2g055150, Bo6g103470, Bo6g102400	AT1G36005, AT1G66920
OG0000032	Bo2g054020, Bo6g102390, Bo1g053730	AT1G66910
OG0000033	Bo9g028510, Bo4g142510, Bo9g037090, Bo1g094260, Bo9g037120	AT1G62630, AT1G63360, AT1G63350
OG0000033	Bo8g062680, Bo6g010640	AT1G12280
OG0000033	Bo5g017050, Bo5g016990, Bo8g108270, Bo8g107600	AT1G12210
OG0000033	Bo8g062620, Bo8g062630	AT1G12220
OG0000033	Bo8g108280	AT1G12290
OG0000034	Bo1g078360	ATMG00300
OG0000034	Bo3g089900	ATMG00710
OG0000037	Bo4g121630, Bo8g083100, Bo4g187100, Bo4g030350, Bo3g031870, Bo1g040130	AT3G53750, AT2G37620
OG0000037	Bo1g116200	AT3G18780
OG0000037	Bo5g117040	AT3G18780
OG0000037	Bo5g134740	AT3G12110
OG0000037	Bo3g018230, Bo3g117300	AT3G46520, AT5G59370
OG0000037	Bo6g049540, Bo6g049530, Bo9g173750, Bo3g005290, Bo2g009550	AT5G09810
OG0000038	Bo7g084030, Bo7g084040, Bo7g084020	AT3G26920, AT3G26930
OG0000038	Bo9g008040	AT3G26922
OG0000038	Bo9g008050	AT1G55030
OG0000038	Bo5g049130	AT3G51530
OG0000038	Bo8g082120	AT3G52680, AT4G00160
OG0000038	Bo4g161340, Bo4g161360, Bo4g197420	AT3G49020, AT3G49040, AT2G04230, AT3G49030
OG0000039	Bo7g104540	AT4G23210
OG0000039	Bo6g048250, Bo1g031850, Bo3g165690, Bo3g165700, Bo1g031830, Bo7g108650	AT4G23190
OG0000039	Bo3g084330	AT4G23220
OG0000039	Bo1g033180	AT4G11460
OG0000039	Bo2g155630	AT4G11480, AT4G11470
OG0000040	Bo7g042340, Bo5g064350, Bo1g139480	AT3G12230, AT3G12240
OG0000040	Bo4g139760, Bo4g151230	AT2G22980
OG0000040	Bo8g100760	AT2G23000
OG0000040	Bo5g137400, Bo4g139150	AT3G10450
OG0000040	Bo6g116690, Bo6g087890, Bo6g087850	AT1G73280, AT1G73310, AT5G36180, AT1G73300, AT1G73290, AT1G73270
OG0000042	Bo6g076130, Bo1g116040, Bo4g025310, Bo02116s010	AT3G59000, AT5G38390, AT5G38386, AT5G38391, AT1G52650, AT4G13960, AT5G38396, AT5G38392, AT3G58820, AT3G58910
OG0000042	Bo4g108170	AT3G58860
OG0000042	Bo1g154960	AT3G03040, AT3G03030
OG0000042	Bo8g100100, Bo3g026620	AT3G58940, AT3G58930
OG0000043	Bo3g134260	AT3G47110
OG0000043	Bo9g151860, Bo3g015190	AT5G20480
OG0000044	Bo3g134070	AT3G46950
OG0000044	Bo4g090390, Bo1g098790	AT1G61990
OG0000044	Bo01976s010, Bo9g040770, Bo9g040790, Bo4g091420, Bo1g098770	AT1G62150, AT1G62010, AT1G62120
OG0000044	Bo4g107670, Bo4g091490	AT1G56380
OG0000045	Bo1g034330, Bo1g034430	AT4G23270, AT4G23280, AT4G23310, AT3G45860
OG0000045	Bo3g165780	AT4G23130
OG0000045	Bo7g108570, Bo7g108550, Bo1g033170, Bo8g030610	AT4G23180
OG0000045	Bo7g106580, Bo7g108580, Bo7g108560, Bo8g101290	AT4G23230
OG0000046	Bo3g154220, Bo7g117810	AT4G36150
OG0000046	Bo7g106700	AT4G19530
OG0000046	Bo8g081460	AT3G51570
OG0000046	Bo9g061260	AT5G45060, AT5G45250
OG0000046	Bo2g014060, Bo9g159740	AT5G17880
OG0000046	Bo9g061330, Bo3g092100	AT2G17060
OG0000048	Bo6g095610, Bo4g044080, Bo6g098660, Bo5g030450, Bo9g070330, Bo7g062270, Bo5g017330, Bo01805s020, Bo3g106910, Bo9g123570, Bo1g052860, Bo7g067010, Bo2g083730, Bo8g112620, Bo9g061150, Bo6g095730, Bo5g123770, Bo5g048910, Bo01805s010	AT4G00155
OG0000048	Bo6g031360	AT5G28190
OG0000049	Bo5g071100, Bo6g071180, Bo2g064280, Bo1g040720, Bo1g041800, Bo6g097370, Bo00947s020, Bo4g136200, Bo3g045240	AT1G42710
OG0000049	Bo21248s010, Bo4g136210, Bo9g097580, Bo9g118820, Bo7g065590, Bo4g073070	AT4G09660, AT1G19260, AT3G29765, AT3G29763
OG0000049	Bo1g040610, Bo9g111320, Bo3g170880, Bo1g040600, Bo9g130690, Bo8g030260, Bo11159s010, Bo9g069820, Bo4g154390, Bo3g043030, Bo7g014260, Bo4g078550, Bo4g038810, Bo6g010900, Bo4g107590, Bo6g058790, Bo7g095330, Bo8g027330, Bo7g095320, Bo4g038410, Bo6g058800, Bo01149s010, Bo7g014420, Bo2g075290, Bo1g048180, Bo4g029960, Bo3g158600	AT1G41920, AT2G06541, AT3G29450
OG0000050	Bo6g086210	AT5G10980
OG0000050	Bo1g003080	AT5G10980
OG0000050	Bo3g006860	AT5G10980
OG0000050	Bo6g086210	AT4G40040
OG0000050	Bo1g003080	AT4G40040
OG0000050	Bo3g006860	AT4G40040
OG0000050	Bo2g149830	AT1G09200
OG0000050	Bo2g009840	AT1G09200
OG0000050	Bo9g058450	AT1G09200
OG0000050	Bo9g018640	AT1G09200
OG0000050	Bo9g172190	AT1G09200
OG0000050	Bo4g127090	AT1G09200
OG0000050	Bo2g149830	AT5G65360
OG0000050	Bo2g009840	AT5G65360
OG0000050	Bo9g058450	AT5G65360
OG0000050	Bo9g018640	AT5G65360
OG0000050	Bo9g172190	AT5G65360
OG0000050	Bo4g127090	AT5G65360
OG0000050	Bo2g149830	AT5G10390
OG0000050	Bo2g009840	AT5G10390
OG0000050	Bo9g058450	AT5G10390
OG0000050	Bo9g018640	AT5G10390
OG0000050	Bo9g172190	AT5G10390
OG0000050	Bo4g127090	AT5G10390
OG0000050	Bo2g149830	AT5G10400
OG0000050	Bo2g009840	AT5G10400
OG0000050	Bo9g058450	AT5G10400
OG0000050	Bo9g018640	AT5G10400
OG0000050	Bo9g172190	AT5G10400
OG0000050	Bo4g127090	AT5G10400
OG0000050	Bo2g149830	AT3G27360
OG0000050	Bo2g009840	AT3G27360
OG0000050	Bo9g058450	AT3G27360
OG0000050	Bo9g018640	AT3G27360
OG0000050	Bo9g172190	AT3G27360
OG0000050	Bo4g127090	AT3G27360
OG0000051	Bo3g004900, Bo2g009070	AT5G08391
OG0000051	Bo5g153890	AT3G01950
OG0000051	Bo3g009630, Bo2g011690	AT5G14110
OG0000051	Bo2g140290, Bo4g140720	AT3G27030
OG0000051	Bo4g140730	AT5G40980
OG0000051	Bo5g153900	AT3G01940
OG0000051	Bo9g098660	AT5G50660, AT5G50560
OG0000051	Bo3g112270, Bo01539s020, Bo01539s010	AT3G48660
OG0000052	Bo4g085050, Bo1g024410, Bo9g097010, Bo8g088440, Bo6g037220, Bo00689s030, Bo00689s010, Bo1g080150, Bo9g133650, Bo7g031460, Bo1g067340, Bo3g153730, Bo8g025680, Bo3g071640, Bo6g013280, Bo4g122790, Bo8g089960, Bo3g008710, Bo8g051150, Bo1g050660, Bo6g080870, Bo00889s010, Bo8g061180, Bo1g098230, Bo3g138510, Bo6g094100, Bo08068s010, Bo9g117700, Bo1g098720, Bo9g066990, Bo4g137700, Bo4g071840, Bo8g097960, Bo2g148100, Bo01394s010, Bo9g111340, Bo7g114250, Bo7g060230, Bo1g012020, Bo8g079440, Bo9g119110, Bo4g158890, Bo2g082110, Bo2g120630, Bo4g101210	AT1G52950
OG0000053	Bo3g123590, Bo4g077000	AT5G21274
OG0000053	Bo4g143910, Bo6g100960	AT2G41090, AT1G66410
OG0000053	Bo6g055980, Bo8g038230	AT4G14640
OG0000053	Bo1g103630	AT3G22930
OG0000053	Bo3g035400	AT3G56800
OG0000053	Bo6g072350	AT3G56800
OG0000053	Bo4g112740	AT3G56800
OG0000054	Bo5g017210, Bo8g062550	AT1G12090
OG0000054	Bo02928s010, Bo9g037220	AT1G62510
OG0000054	Bo4g050960, Bo3g045750, Bo07665s010	AT4G12520, AT4G12510
OG0000054	Bo3g037620	AT2G45180
OG0000054	Bo2g055670, Bo3g045820, Bo9g079630	AT4G12550, AT4G12545
OG0000054	Bo1g027300	AT4G22460
OG0000057	Bo9g133110	AT5G57350
OG0000057	Bo8g067040	AT1G17260
OG0000057	Bo2g164300	AT5G62670
OG0000057	Bo3g124970	AT3G42640
OG0000057	Bo3g086800	AT2G07560
OG0000057	Bo7g008350, Bo9g027480	AT2G18960
OG0000060	Bo3g017650, Bo3g017110, Bo9g148120	AT5G22880
OG0000060	Bo6g067610	AT5G02570, AT3G09480, AT3G53650
OG0000060	Bo8g083030, Bo4g121670	AT2G37470
OG0000060	Bo2g025250, Bo9g140940	AT5G59910, AT3G45980, AT3G46030
OG0000061	Bo3g064000	AT5G36910, AT1G72260
OG0000062	Bo5g110080	AT3G20140
OG0000062	Bo3g074690, Bo4g142380, Bo3g074700	AT4G15380, AT3G20080
OG0000062	Bo5g110090	AT2G14100, AT3G32047
OG0000062	Bo5g110070	AT3G20130
OG0000062	Bo1g110130, Bo1g110120	AT2G05180
OG0000062	Bo5g111160	AT3G20100
OG0000064	Bo7g003750, Bo9g028130	AT2G20290
OG0000064	Bo1g017260	AT4G28710
OG0000064	Bo9g059370, Bo7g066830	AT5G43900
OG0000064	Bo8g115720	AT1G04160
OG0000064	Bo3g026490	AT2G31900
OG0000064	Bo8g104800	AT1G17580
OG0000064	Bo3g015200, Bo2g021860	AT5G20490
OG0000064	Bo4g108610, Bo6g074590	AT3G58160
OG0000064	Bo9g056070	AT1G54560
OG0000064	Bo5g009220	AT1G08730
OG0000065	Bo6g119870	AT1G75780
OG0000065	Bo7g067360, Bo9g059850, Bo2g124350	AT5G44340
OG0000065	Bo3g162350, Bo1g022580, Bo7g107230	AT4G20890
OG0000065	Bo9g169510	AT5G12250
OG0000065	Bo7g097420	AT5G23860
OG0000065	Bo4g061410, Bo4g169440	AT2G29550
OG0000065	Bo3g116270, Bo3g134050, Bo3g107240	AT5G62690, AT5G62700
OG0000066	Bo7g103970	AT4G11700
OG0000066	Bo6g018450, Bo5g042990	AT1G24388
OG0000066	Bo9g174470	AT1G02770, AT1G19060
OG0000066	Bo7g055800	AT1G27860, AT1G28500
OG0000066	Bo7g054720, Bo7g054730, Bo7g054770, Bo7g054710, Bo7g054760	AT1G23960, AT1G23950, AT1G23970
OG0000068	Bo3g155390	AT2G25700, AT1G20140
OG0000068	Bo6g119980, Bo2g086550, Bo6g085070	AT1G75950
OG0000068	Bo7g080950	AT2G03170
OG0000068	Bo6g015710, Bo8g012800, Bo6g015720	AT3G60010
OG0000068	Bo4g106410, Bo4g106400	AT3G53060, AT3G60020, AT3G21860, AT3G21830, AT3G21840, AT3G21850, AT4G34470, AT4G34210
OG0000069	Bo2g025530	AT3G53730
OG0000069	Bo3g017820	AT3G53730
OG0000069	Bo4g166750	AT3G53730
OG0000069	Bo3g040050	AT3G53730
OG0000069	Bo3g031810	AT3G53730
OG0000069	Bo3g130250	AT3G53730
OG0000069	Bo5g008410	AT3G53730
OG0000069	Bo4g030440	AT3G53730
OG0000069	Bo8g010850	AT3G53730
OG0000069	Bo8g112850	AT3G53730
OG0000069	Bo4g069210	AT3G53730
OG0000069	Bo6g120620	AT3G53730
OG0000069	Bo2g025530	AT1G07820
OG0000069	Bo3g017820	AT1G07820
OG0000069	Bo4g166750	AT1G07820
OG0000069	Bo3g040050	AT1G07820
OG0000069	Bo3g031810	AT1G07820
OG0000069	Bo3g130250	AT1G07820
OG0000069	Bo5g008410	AT1G07820
OG0000069	Bo4g030440	AT1G07820
OG0000069	Bo8g010850	AT1G07820
OG0000069	Bo8g112850	AT1G07820
OG0000069	Bo4g069210	AT1G07820
OG0000069	Bo6g120620	AT1G07820
OG0000069	Bo2g025530	AT5G59690
OG0000069	Bo3g017820	AT5G59690
OG0000069	Bo4g166750	AT5G59690
OG0000069	Bo3g040050	AT5G59690
OG0000069	Bo3g031810	AT5G59690
OG0000069	Bo3g130250	AT5G59690
OG0000069	Bo5g008410	AT5G59690
OG0000069	Bo4g030440	AT5G59690
OG0000069	Bo8g010850	AT5G59690
OG0000069	Bo8g112850	AT5G59690
OG0000069	Bo4g069210	AT5G59690
OG0000069	Bo6g120620	AT5G59690
OG0000069	Bo2g025530	AT3G46320
OG0000069	Bo3g017820	AT3G46320
OG0000069	Bo4g166750	AT3G46320
OG0000069	Bo3g040050	AT3G46320
OG0000069	Bo3g031810	AT3G46320
OG0000069	Bo3g130250	AT3G46320
OG0000069	Bo5g008410	AT3G46320
OG0000069	Bo4g030440	AT3G46320
OG0000069	Bo8g010850	AT3G46320
OG0000069	Bo8g112850	AT3G46320
OG0000069	Bo4g069210	AT3G46320
OG0000069	Bo6g120620	AT3G46320
OG0000069	Bo2g025530	AT2G28740
OG0000069	Bo3g017820	AT2G28740
OG0000069	Bo4g166750	AT2G28740
OG0000069	Bo3g040050	AT2G28740
OG0000069	Bo3g031810	AT2G28740
OG0000069	Bo3g130250	AT2G28740
OG0000069	Bo5g008410	AT2G28740
OG0000069	Bo4g030440	AT2G28740
OG0000069	Bo8g010850	AT2G28740
OG0000069	Bo8g112850	AT2G28740
OG0000069	Bo4g069210	AT2G28740
OG0000069	Bo6g120620	AT2G28740
OG0000069	Bo2g025530	AT1G07660
OG0000069	Bo3g017820	AT1G07660
OG0000069	Bo4g166750	AT1G07660
OG0000069	Bo3g040050	AT1G07660
OG0000069	Bo3g031810	AT1G07660
OG0000069	Bo3g130250	AT1G07660
OG0000069	Bo5g008410	AT1G07660
OG0000069	Bo4g030440	AT1G07660
OG0000069	Bo8g010850	AT1G07660
OG0000069	Bo8g112850	AT1G07660
OG0000069	Bo4g069210	AT1G07660
OG0000069	Bo6g120620	AT1G07660
OG0000069	Bo2g025530	AT3G45930
OG0000069	Bo3g017820	AT3G45930
OG0000069	Bo4g166750	AT3G45930
OG0000069	Bo3g040050	AT3G45930
OG0000069	Bo3g031810	AT3G45930
OG0000069	Bo3g130250	AT3G45930
OG0000069	Bo5g008410	AT3G45930
OG0000069	Bo4g030440	AT3G45930
OG0000069	Bo8g010850	AT3G45930
OG0000069	Bo8g112850	AT3G45930
OG0000069	Bo4g069210	AT3G45930
OG0000069	Bo6g120620	AT3G45930
OG0000069	Bo2g025530	AT5G59970
OG0000069	Bo3g017820	AT5G59970
OG0000069	Bo4g166750	AT5G59970
OG0000069	Bo3g040050	AT5G59970
OG0000069	Bo3g031810	AT5G59970
OG0000069	Bo3g130250	AT5G59970
OG0000069	Bo5g008410	AT5G59970
OG0000069	Bo4g030440	AT5G59970
OG0000069	Bo8g010850	AT5G59970
