Orthogroup	Brassica_oleracea	Arabidopsis_halleri
OG0000002	Bo2g007310, Bo4g133450, Bo8g051570, Bo00285s480, Bo1g046590, Bo5g139980, Bo12205s010, Bo3g171040, Bo7g049910, Bo2g012710, Bo9g024280, Bo6g099360, Bo2g024370, Bo6g074520, Bo5g013610, Bo3g086940, Bo8g050550, Bo6g018150, Bo3g037470, Bo1g059330, Bo1g148930, Bo19462s010, Bo4g013180, Bo5g027830, Bo3g043190, Bo9g035260, Bo5g019470, Bo9g117240, Bo7g106770, Bo6g086400, Bo2g076780, Bo2g017620, Bo6g110990, Bo9g174590, Bo2g041390, Bo3g153570, Bo9g024540, Bo1g003690, Bo7g081610, Bo3g155680, Bo8g080700, Bo4g177990, Bo4g034560, Bo1g049560, Bo8g081120, Bo4g190150, Bo18421s010, Bo1g028460, Bo6g064800, Bo7g088720, Bo6g015760, Bo1g098700, Bo9g091290, Bo5g010840, Bo1g138410, Bo1g150450, Bo7g061950, Bo3g074480, Bo5g027910, Bo9g137260, Bo1g008540, Bo16268s010, Bo7g030620, Bo4g188330, Bo9g114030, Bo8g059250, Bo3g173500, Bo7g105480, Bo9g034140, Bo7g073950, Bo9g034150, Bo2g062550, Bo5g017630, Bo00826s010, Bo06402s010, Bo4g034520, Bo3g170910, Bo9g070040, Bo4g021160, Bo6g116290, Bo2g132460, Bo5g104690, Bo6g119320, Bo4g136850, Bo9g022560, Bo9g067060, Bo7g075430, Bo1g082410, Bo8g028600, Bo1g030690, Bo1g017190, Bo4g026560, Bo4g108160, Bo9g135330, Bo4g056190, Bo9g084320, Bo8g047230, Bo2g075660, Bo1g058830, Bo8g088460, Bo1g123060, Bo8g040590, Bo22078s010, Bo5g131920, Bo11601s010, Bo18126s010, Bo01132s020, Bo01160s030, Bo2g144990, Bo01153s030, Bo3g116260, Bo5g030220, Bo5g020630, Bo1g058840, Bo8g015190, Bo15908s010, Bo9g151710, Bo4g084980, Bo9g017660	g08350, g03950
OG0000002	Bo6g016970, Bo6g051140, Bo3g024560, Bo3g107130, Bo31864s010, Bo8g045890, Bo7g080740, Bo9g109860, Bo9g116170, Bo2g147920, Bo1g070630, Bo7g050460, Bo4g118550, Bo8g094340, Bo01073s040, Bo1g105050, Bo7g100520, Bo1g151930, Bo4g002300, Bo6g076960	g18363
OG0000003	Bo5g126690, Bo5g126710	g06619
OG0000003	Bo5g126740	g16666
OG0000003	Bo3g058860	g07120, g07119
OG0000003	Bo02074s010, Bo00848s040	g22662
OG0000003	Bo01050s030	g16146
OG0000003	Bo1g053200, Bo9g164350, Bo1g053180	g20071, g20070, g11099, g11113, g27159
OG0000003	Bo1g108720, Bo5g107360, Bo5g113620, Bo5g107380	g11155, g11156, g11158
OG0000003	Bo4g186150, Bo4g186130	g06905, g06903
OG0000003	Bo05659s010, Bo1g136180, Bo1g134840, Bo1g134860, Bo1g134850	g05678, g06883, g29066, g05713, g05714
OG0000003	Bo3g084010	g23367, g23366, g23372, g23365
OG0000003	Bo3g081360	g11358, g22751
OG0000003	Bo3g028700, Bo3g029810, Bo1g101700	g16400, g16388, g16387, g16394
OG0000004	Bo2g058970, Bo3g132590, Bo6g007050, Bo8g020610, Bo07477s010, Bo8g034110, Bo07799s010, Bo5g121130, Bo1g057120, Bo6g004610, Bo06066s010, Bo4g050890, Bo00805s030, Bo01763s010, Bo00848s010, Bo9g084510, Bo9g096950, Bo6g010400, Bo9g128500, Bo2g099240, Bo8g040700, Bo3g140050, Bo8g033650, Bo4g067000, Bo10030s010, Bo9g072990, Bo3g179560, Bo7g030460, Bo08174s010, Bo5g057270, Bo6g022140, Bo5g086950, Bo3g132630, Bo5g080250, Bo3g119540, Bo5g038980, Bo6g055910, Bo5g085360, Bo5g048890, Bo03158s010, Bo01071s010, Bo04617s010, Bo2g119270, Bo6g003340, Bo02254s010, Bo00640s110, Bo1g108480, Bo4g084680, Bo4g161280, Bo13989s010, Bo3g083470, Bo9g071410, Bo00859s040, Bo1g049630, Bo04996s010, Bo5g035150, Bo2g136910, Bo4g027370, Bo4g090320, Bo9g064080, Bo7g067310, Bo07920s010, Bo00285s210, Bo7g030730, Bo3g172420, Bo00879s030, Bo4g086860, Bo8g028670, Bo4g089280, Bo7g050380, Bo04957s010, Bo3g113530, Bo1g094440, Bo3g083450, Bo2g139150, Bo3g153340, Bo2g139160, Bo9g066620, Bo00998s010, Bo00858s010, Bo2g130120, Bo2g118040, Bo3g135730, Bo9g081850, Bo5g041630, Bo3g123710, Bo8g020410, Bo2g099230, Bo6g106860, Bo2g064380, Bo1g086000, Bo7g025470, Bo00714s060, Bo5g062470, Bo00640s070, Bo1g080210, Bo1g126300, Bo3g126120, Bo2g126950, Bo01133s010, Bo4g056200, Bo9g066740, Bo8g027530, Bo3g132660, Bo2g104670, Bo4g079940, Bo7g023020, Bo7g022940, Bo00285s080, Bo8g033640, Bo4g086840, Bo3g124920, Bo00919s020, Bo9g074510, Bo1g072160, Bo2g102240, Bo01467s010, Bo7g031590, Bo2g103240, Bo7g014440, Bo7g054280, Bo00576s160, Bo7g082160, Bo9g098670, Bo00452s090, Bo9g098880, Bo4g080060, Bo2g149420, Bo4g081110, Bo8g021830, Bo4g089290, Bo8g028910, Bo3g132710, Bo7g031580, Bo01378s020, Bo5g069510, Bo4g092560, Bo00932s040, Bo1g068460, Bo5g098330, Bo5g104880, Bo9g125890, Bo8g028840, Bo4g079910, Bo2g113930, Bo7g005170, Bo5g048680, Bo8g016230, Bo9g097490, Bo4g128480, Bo00434s050, Bo5g104760, Bo3g130170, Bo4g054020, Bo5g084030, Bo4g078310, Bo9g094140, Bo9g077900, Bo7g030740, Bo7g030750, Bo5g118580, Bo01362s010, Bo6g046600, Bo00434s040, Bo4g081090, Bo2g116910, Bo9g096960, Bo4g070310, Bo9g104680, Bo5g069520, Bo08842s010, Bo00876s030, Bo3g123440, Bo2g092460, Bo01521s010, Bo01444s010, Bo5g121500, Bo00452s170, Bo5g057180, Bo3g122070, Bo9g084560, Bo4g086930, Bo3g123300, Bo4g115490, Bo7g045170, Bo7g007270, Bo4g078780, Bo5g070850, Bo3g149000, Bo3g109520, Bo3g134350, Bo00434s080, Bo5g070690, Bo00767s070, Bo6g003210, Bo5g048690, Bo2g110340, Bo5g069490, Bo4g094280, Bo00770s020, Bo3g123340, Bo8g034000, Bo2g110410, Bo2g110420, Bo7g045160, Bo1g078170, Bo8g034050, Bo2g112890, Bo5g072800, Bo8g011390, Bo8g011400, Bo6g043940, Bo2g116680, Bo1g051780, Bo8g028800, Bo9g038650, Bo8g035400, Bo00686s030, Bo8g036670, Bo7g024110, Bo1g063910, Bo3g118480, Bo4g092840, Bo00709s050, Bo6g043990, Bo2g099210, Bo8g025800, Bo9g079710, Bo4g078280, Bo4g080050, Bo8g019350, Bo3g123260, Bo3g132580, Bo1g078160, Bo8g025570, Bo1g078900, Bo1g085980, Bo4g117290, Bo3g116150, Bo9g097360, Bo9g084720, Bo1g108760, Bo9g081750, Bo9g081930, Bo4g026270, Bo7g030860, Bo4g118490, Bo6g081220, Bo7g030680, Bo1g107030, Bo00817s050, Bo1g126230, Bo1g126180, Bo7g005340, Bo7g004950, Bo7g036440, Bo2g032360, Bo9g033690, Bo24131s010, Bo7g031420, Bo4g103590, Bo8g015060, Bo7g030770, Bo9g068160, Bo4g087090, Bo2g096260, Bo3g141800, Bo7g078770, Bo3g075020, Bo8g026860, Bo4g094290, Bo03951s010, Bo7g016420, Bo20837s010, Bo2g091070, Bo19237s010, Bo00580s010, Bo03051s010, Bo3g081570, Bo2g137170, Bo9g061440, Bo6g072320, Bo3g119530, Bo08712s010, Bo1g101590, Bo00692s040, Bo2g109190, Bo2g130140, Bo9g088400, Bo5g067000, Bo7g030280, Bo2g156310, Bo2g102220, Bo00908s020, Bo7g050170, Bo7g027960, Bo00961s010, Bo5g043550, Bo1g068580, Bo7g043410, Bo3g079910, Bo01391s010, Bo00640s100, Bo9g104820, Bo9g073000, Bo8g011090, Bo7g052680, Bo3g128730, Bo9g108550, Bo3g170460, Bo9g066780, Bo3g083110, Bo3g134360, Bo7g017480, Bo1g051630, Bo09108s010, Bo2g108900, Bo14966s010, Bo3g083670, Bo7g052670, Bo8g047180, Bo6g020970, Bo3g039370, Bo4g109920, Bo4g107640, Bo8g026870, Bo6g007060, Bo7g014630, Bo4g086500, Bo3g134380, Bo5g086850, Bo1g056870, Bo00881s030, Bo6g003360, Bo2g110660, Bo2g080690, Bo1g053370, Bo7g062210, Bo2g055990, Bo5g072810, Bo2g127520, Bo3g100910, Bo3g094220, Bo08153s010, Bo00770s050, Bo3g173620, Bo00709s040, Bo00881s050, Bo1g078230, Bo2g105180, Bo4g059510, Bo00434s140, Bo3g134450, Bo9g095650, Bo07558s010, Bo9g035380, Bo00434s020, Bo9g094040, Bo2g065730, Bo2g115060, Bo4g124070, Bo2g118190, Bo2g091060, Bo9g128560, Bo1g090510, Bo5g112440, Bo4g135890, Bo4g085370, Bo8g027030, Bo5g057260, Bo5g123270, Bo21081s010, Bo5g057280, Bo00709s100, Bo9g089660, Bo5g062320, Bo4g038540, Bo2g088730, Bo01558s020, Bo2g155200, Bo1g114930, Bo8g040910, Bo00908s010, Bo4g100060, Bo3g116210, Bo7g067570, Bo5g070820, Bo5g072850, Bo05510s010, Bo00613s220, Bo04634s010, Bo4g026260, Bo4g107800, Bo7g017430, Bo01328s010, Bo08556s010, Bo5g095650, Bo5g055830, Bo5g070840, Bo1g101600, Bo8g033820, Bo1g086050, Bo5g062330, Bo2g095340, Bo3g073150, Bo3g135900, Bo3g094260, Bo01026s010, Bo4g110920, Bo5g083820, Bo9g028490, Bo02294s010, Bo2g092960, Bo3g110740, Bo6g056370, Bo03210s010, Bo6g087380, Bo2g093500, Bo11291s010, Bo11140s010, Bo4g056160, Bo7g075980, Bo7g038920, Bo3g147720, Bo12574s010, Bo7g028960, Bo4g092800, Bo4g114040, Bo1g053770, Bo6g056360, Bo1g041840, Bo6g065300, Bo8g033670, Bo1g064000, Bo1g063690, Bo01002s010, Bo3g128720, Bo8g024260, Bo1g085940, Bo1g101180, Bo4g086920, Bo6g086200, Bo3g140060, Bo8g049580, Bo07271s010, Bo9g097650, Bo1g053410, Bo1g076930, Bo3g122190, Bo01153s020, Bo8g028920, Bo09170s010, Bo1g025760, Bo1g108490, Bo2g100690, Bo9g091380, Bo5g095640, Bo5g083830, Bo7g022820, Bo9g097130, Bo9g035250, Bo5g121160, Bo8g016530, Bo8g058280, Bo5g086860, Bo3g170440, Bo01378s030, Bo9g071430, Bo1g063940, Bo7g027870, Bo2g097290, Bo1g053400, Bo8g050660, Bo00580s090, Bo9g095720, Bo03664s010, Bo04235s010, Bo4g110930, Bo9g104810, Bo14399s010, Bo2g104700, Bo5g088410, Bo2g104930, Bo09010s010, Bo8g032200, Bo01244s020, Bo1g101780, Bo00709s010, Bo08837s010, Bo00616s110, Bo2g116490, Bo4g149630, Bo9g128490, Bo5g043510, Bo9g136890, Bo4g082370, Bo01982s010, Bo1g085990, Bo01157s010, Bo7g056270, Bo7g030890, Bo8g028650, Bo00881s020, Bo2g127310, Bo2g105160, Bo08498s010, Bo6g064490, Bo3g083540, Bo5g043500, Bo01568s010, Bo6g101150, Bo9g088280, Bo01375s010, Bo1g065060, Bo01053s010, Bo7g081840, Bo7g075950, Bo3g103530, Bo1g098380, Bo5g062200, Bo8g030880, Bo9g084420, Bo2g136830, Bo01200s030, Bo03626s010, Bo5g030720, Bo4g085350, Bo9g066770, Bo4g087140, Bo1g126240, Bo2g075350, Bo4g089320, Bo6g043670, Bo4g144160, Bo22649s010, Bo01979s010, Bo8g033730, Bo3g125030, Bo00285s050, Bo01624s010, Bo06412s010, Bo7g029090, Bo7g021480, Bo2g110500, Bo3g134340, Bo01033s030, Bo2g113950, Bo9g112620, Bo9g036970, Bo4g129570, Bo6g068430, Bo7g029150, Bo00770s060, Bo5g069560, Bo9g071390, Bo00452s010	g32520
OG0000005	Bo7g056290	g17118
OG0000005	Bo1g051840	g19701
OG0000005	Bo9g093770	g23272, g26329
OG0000005	Bo5g132790, Bo06303s010, Bo7g046870	g29278
OG0000005	Bo8g037990, Bo17587s010	g14181
OG0000005	Bo5g105010	g26543
OG0000005	Bo6g056250, Bo6g001040	g13325
OG0000005	Bo1g005190	g08377
OG0000005	Bo3g019830	g17966, g12578, g25003, g00229, g25475
OG0000006	Bo4g078650	g27499
OG0000006	Bo03058s010, Bo8g109450, Bo4g104760	g14218, g05262, g20668
OG0000007	Bo12871s010	g08623, g30062
OG0000008	Bo6g087490, Bo08888s010, Bo2g069560, Bo1g028420, Bo4g158540, Bo7g057860, Bo09023s010, Bo1g073630, Bo1g090440, Bo3g130160, Bo9g145830, Bo3g164480, Bo09624s010, Bo2g023550, Bo2g097690, Bo5g149900, Bo1g134980, Bo2g134350, Bo4g093060, Bo7g107640, Bo3g127420, Bo4g170650, Bo01703s010, Bo4g139800, Bo9g049900, Bo2g037860, Bo3g167380, Bo8g026960, Bo3g100530, Bo4g043790, Bo3g168890, Bo8g079030, Bo05219s010, Bo1g063980, Bo9g078100, Bo4g039040, Bo2g042050, Bo6g086330, Bo7g077460, Bo4g025700, Bo4g139030, Bo4g176440, Bo9g024350, Bo5g035010, Bo15631s010, Bo4g056310, Bo4g059860, Bo02310s010, Bo6g080260, Bo3g185410, Bo1g102100, Bo2g095080, Bo9g076100, Bo3g157190, Bo2g055880, Bo01236s010, Bo7g043510, Bo2g044630, Bo2g046040, Bo1g091600, Bo7g011510, Bo8g016290, Bo9g146930, Bo2g023620, Bo3g058660, Bo8g039480, Bo3g153320, Bo01099s010, Bo1g144050, Bo9g008380, Bo9g069920, Bo5g136510, Bo13869s010, Bo4g125470, Bo7g067780, Bo3g053150, Bo8g080450, Bo5g085280, Bo2g055520, Bo2g116340, Bo1g095830, Bo9g109890, Bo3g081560, Bo6g056240, Bo4g116610, Bo6g015490, Bo4g108590, Bo6g086250, Bo3g129820, Bo2g091230, Bo9g062790, Bo1g057640, Bo5g025670, Bo7g048230, Bo2g134510, Bo2g105380, Bo6g110390, Bo2g028480, Bo9g118810, Bo01040s030, Bo9g069670, Bo3g167260, Bo4g135880, Bo4g099020, Bo2g097700, Bo00709s090, Bo5g149910, Bo7g064640, Bo7g010230, Bo4g099030, Bo3g064630, Bo6g087480, Bo1g078650, Bo3g066000, Bo7g056360, Bo3g068350, Bo8g011520, Bo9g062880, Bo3g092160, Bo00686s060, Bo4g035100, Bo9g097040, Bo3g111070, Bo7g064690, Bo8g030090, Bo14145s010, Bo2g037800, Bo04334s010, Bo1g051440, Bo05307s010, Bo03409s010, Bo5g021070, Bo05632s010, Bo4g143970, Bo4g092940, Bo1g070800, Bo9g043960, Bo4g107680, Bo2g082250, Bo9g085820, Bo4g150990, Bo4g078670, Bo8g021920, Bo5g111140, Bo4g076830, Bo4g076840, Bo01442s010, Bo9g077870, Bo3g135800, Bo1g064030, Bo5g130560, Bo5g066980, Bo7g101550, Bo5g038600, Bo00834s010, Bo3g173770, Bo5g103400, Bo1g086170, Bo5g071080, Bo7g022760, Bo7g026590, Bo6g047980, Bo5g095690, Bo7g059970, Bo2g052870, Bo09746s010, Bo2g082570, Bo01027s030, Bo4g030950, Bo3g106990, Bo7g050310, Bo5g049400, Bo2g138560, Bo31303s010, Bo5g043020, Bo7g098090, Bo3g132880, Bo6g083560, Bo8g012810, Bo5g038750, Bo3g083850, Bo9g097210, Bo5g030230, Bo04984s010, Bo8g036750, Bo7g098200, Bo8g077090, Bo3g083840, Bo9g038560, Bo9g089700, Bo8g049610, Bo9g094330, Bo2g068470, Bo8g015040, Bo8g071090, Bo9g074530, Bo02785s010, Bo9g018830, Bo01027s010, Bo2g092610, Bo7g005020, Bo6g110860, Bo3g065960, Bo5g123330, Bo3g034170, Bo5g025390, Bo6g003460, Bo9g113810, Bo6g031020, Bo3g127620, Bo8g013920, Bo4g128490, Bo8g050450, Bo6g018360, Bo6g033190, Bo9g059500, Bo9g091340, Bo2g098910, Bo7g045050, Bo1g050740, Bo4g092520, Bo4g188010, Bo2g051340, Bo1g017220, Bo8g052810, Bo1g107180, Bo1g030710, Bo6g070050, Bo2g064490, Bo5g105190, Bo01095s020, Bo2g120580, Bo2g064370, Bo1g116330, Bo3g086650, Bo8g052950, Bo7g052760, Bo3g114900, Bo9g054440, Bo9g157310, Bo1g094220, Bo2g047880, Bo4g173570, Bo3g126210, Bo7g021030, Bo1g017230, Bo4g076730, Bo7g025310, Bo4g115320, Bo2g064720, Bo2g116640, Bo3g123390, Bo9g120940, Bo4g052370, Bo2g042000, Bo2g041990, Bo2g149180, Bo5g056000, Bo5g127020, Bo4g029650, Bo3g132520, Bo1g088080, Bo7g098040, Bo6g097090, Bo2g056280, Bo4g125460, Bo1g126100, Bo7g056010, Bo7g005760, Bo1g087460, Bo5g088230, Bo3g123370, Bo3g157180, Bo7g093120, Bo9g125970, Bo8g065430, Bo7g025300, Bo4g111390, Bo3g068360, Bo3g092330, Bo6g095520, Bo01484s010, Bo4g059900, Bo9g030970, Bo3g061640, Bo01696s010, Bo3g044800, Bo9g118800, Bo3g103130, Bo9g156230, Bo8g016450, Bo8g016590, Bo6g074380, Bo5g025580, Bo5g025590, Bo2g038860, Bo7g014760, Bo3g081590, Bo7g056370, Bo3g087200, Bo1g011760, Bo1g102060, Bo9g068070, Bo1g055320, Bo3g164470, Bo5g113760, Bo9g062650, Bo3g162000, Bo5g049390, Bo7g057930, Bo5g115350, Bo4g136610, Bo3g057380, Bo2g155180, Bo3g105760, Bo9g077690, Bo8g033860, Bo3g024740, Bo9g059790, Bo3g078720, Bo4g021610, Bo6g036050, Bo1g102300, Bo2g102000, Bo9g066850, Bo6g067390, Bo3g003420, Bo8g080440, Bo4g179530, Bo3g134170, Bo2g116390, Bo6g009390, Bo9g040800, Bo3g132550, Bo1g026940, Bo4g151500, Bo3g184960, Bo6g005820, Bo8g076720, Bo6g068440, Bo9g109820, Bo5g017300, Bo2g032860, Bo7g048640, Bo1g093010, Bo2g027020, Bo25418s010, Bo06821s010, Bo01020s030, Bo8g027050, Bo7g026840, Bo23021s010, Bo3g003430, Bo01018s010, Bo13233s010, Bo2g024080, Bo3g157290, Bo1g103460, Bo9g059600, Bo26140s010, Bo6g027760, Bo5g088320, Bo3g044480, Bo01114s030, Bo4g119980, Bo4g059710, Bo15251s010, Bo3g127390, Bo16867s010, Bo4g142260, Bo5g104750, Bo7g062350, Bo1g105360, Bo18651s010, Bo2g076930, Bo1g012080, Bo4g127010, Bo3g071530, Bo3g137130, Bo4g108550, Bo1g102430, Bo9g062600, Bo3g092150, Bo06322s010, Bo3g081580, Bo07662s010, Bo7g005250, Bo2g108870, Bo00875s070, Bo7g078650, Bo6g067360, Bo5g043010, Bo7g052970, Bo2g034060, Bo5g025780, Bo04332s010, Bo1g103790, Bo1g131130, Bo8g040980, Bo9g143590, Bo5g071280, Bo2g095700	g26596
OG0000009	Bo9g045300	g18825, g12669, g28657, g10459, g21739, g03998, g18201, g30613
OG0000009	Bo9g058260	g31374, g28622, g22824, g17119, g26864, g23454, g27525, g30099, g19599, g00838, g26852, g31881, g30686, g25175, g12860, g27917, g00120, g00117, g14205, g22349, g29641, g02631, g24613, g13217, g06934, g26756, g28476, g15487
OG0000009	Bo4g097110, Bo04990s010, Bo4g191090, Bo4g115300, Bo3g044550, Bo8g027470, Bo00947s030, Bo9g009820, Bo2g135990	g22421
OG0000009	Bo3g107920, Bo7g059380, Bo9g117660	g27302, g14577, g23404, g25783, g27323, g01911, g06323, g19286, g05257, g08666
OG0000009	Bo4g109750, Bo9g117750	g22714
OG0000011	Bo3g164050, Bo7g107740, Bo7g107710, Bo7g107730, Bo3g164040, Bo3g164020, Bo7g081210, Bo4g186200	g21799
OG0000011	Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380, Bo9g029360	g26619, g31295, g26876, g26873, g29277, g27034, g26284, g26277, g26282, g16393
OG0000012	Bo1g101660	g26665, g26615
OG0000013	Bo8g092760	g16636, g21165, g16460
OG0000013	Bo8g020540	g18992
OG0000013	Bo6g009320, Bo5g043420, Bo3g085410, Bo8g018090	g18998, g18995
OG0000013	Bo3g168640	g18845
OG0000013	Bo5g088270	g18844, g18846, g18849, g14824, g18851, g18848, g18878, g24320, g24318, g18867, g28404, g18868, g18869, g18872, g18854, g18871, g18843, g18876, g18875, g18877, g23328, g18841, g18873, g21523, g08848, g08847, g24319, g17628, g16045
OG0000013	Bo1g024280	g16044
OG0000014	Bo6g074640	g16565
OG0000014	Bo8g092590, Bo8g092580, Bo8g092620, Bo8g092570, Bo8g092600	g16550
OG0000014	Bo4g108440	g16571, g28581, g30559, g11915, g11910, g11914, g11913, g11909
OG0000014	Bo4g108480	g32242
OG0000014	Bo6g074810, Bo4g108430	g16252, g30513, g16253, g16245
OG0000014	Bo8g092630	g16556
OG0000014	Bo04151s010, Bo6g074680, Bo6g074650	g16549
OG0000014	Bo3g173530	g27569, g27564, g27562, g27572, g27563, g27566, g27573, g27565, g32341, g27570, g27567, g20502, g20501
OG0000015	Bo3g101130, Bo01401s010, Bo01374s030, Bo1g006200, Bo9g003880, Bo2g048020, Bo1g011240, Bo7g081940, Bo7g043670, Bo9g169070, Bo7g084160, Bo5g122960, Bo2g044710, Bo6g003320, Bo6g077530, Bo3g149540, Bo7g012760, Bo8g066400, Bo09761s010, Bo6g079980, Bo4g151120, Bo5g082620, Bo8g092440, Bo2g146200, Bo6g098820, Bo7g107020, Bo8g079590, Bo6g116240, Bo1g117530, Bo3g026390, Bo3g034990, Bo7g091410, Bo5g002940, Bo5g018120, Bo2g134280, Bo8g101790, Bo6g027930, Bo7g056040, Bo7g062130, Bo7g108970	g29792, g03938, g16795
OG0000015	Bo3g138660, Bo7g089660, Bo1g056570, Bo6g018180, Bo8g079450, Bo00802s040, Bo23988s010, Bo9g181120, Bo8g004710, Bo1g002140, Bo3g021730, Bo8g097790, Bo01477s010, Bo8g108860, Bo6g116300, Bo13088s010, Bo9g163030, Bo4g182830, Bo2g155290, Bo8g117440, Bo1g150030, Bo8g096220, Bo3g037390, Bo2g014220, Bo12018s010, Bo1g144790, Bo1g034400, Bo2g166320, Bo00790s050	g05605, g08807, g10855, g07053, g18772, g13344, g07461, g00732, g27785, g07644, g14258, g21883, g26135, g14634, g23288, g28410, g20299, g31089, g17584, g18911
OG0000015	Bo6g124260, Bo2g140430	g08852, g20910, g14746, g13974, g08231, g04310, g25511, g16775, g11878
OG0000015	Bo3g107950	g29848, g20855
OG0000015	Bo8g059050, Bo8g017960	g27696, g06753, g18269, g21818, g18991, g15901, g20337, g05639, g10018, g15058, g29149, g22066, g30010, g12659, g00524, g07706, g18481, g18653, g18678, g24115, g26853
OG0000015	Bo6g065160, Bo6g039980, Bo6g066390, Bo6g034500, Bo7g110670, Bo1g004950, Bo9g141270, Bo8g117180, Bo3g002540, Bo4g179370, Bo1g013170, Bo8g019360	g30347, g24581
OG0000015	Bo7g041140	g29636, g24299
OG0000016	Bo3g012880, Bo3g012910, Bo2g014180, Bo2g014150, Bo2g136230, Bo2g014200	g13296
OG0000016	Bo2g136220, Bo2g014130, Bo9g157520, Bo2g136240, Bo2g014270, Bo2g014230, Bo2g014190, Bo3g012950, Bo2g014170, Bo2g014140, Bo2g014210, Bo3g012870, Bo2g014250, Bo3g012900, Bo3g012920, Bo9g159650, Bo9g157510, Bo9g157550, Bo9g158570, Bo3g012890, Bo2g136210, Bo2g014160	g13288, g13297, g13294, g13291, g13292, g13295
OG0000017	Bo5g090520, Bo3g040540	g18973
OG0000017	Bo3g109560	g29525
OG0000017	Bo8g077820, Bo8g077790, Bo8g077800	g22307, g22324, g22323
OG0000017	Bo2g055560, Bo2g055540, Bo2g007040, Bo3g026550	g07969
OG0000017	Bo9g176950, Bo9g176970, Bo4g176340, Bo4g176330	g07887
OG0000017	Bo00944s010	g28606, g28605, g28607, g07365
OG0000018	Bo6g065250	g27191
OG0000018	Bo9g034060, Bo9g034120, Bo9g045310	g26670
OG0000018	Bo9g029450, Bo9g034000, Bo9g029500	g22965
OG0000018	Bo9g029350, Bo9g035320, Bo9g035300, Bo9g035360	g22947
OG0000018	Bo9g034100	g22960
OG0000018	Bo4g096860	g17734, g28453, g28455
OG0000019	Bo3g078550	g11236
OG0000019	Bo3g017830	g10991, g10992
OG0000019	Bo2g025540	g10990
OG0000019	Bo6g118790, Bo3g131510	g12698
OG0000019	Bo3g162240	g05198
OG0000019	Bo4g065900	g07014
OG0000019	Bo4g167990	g07015
OG0000019	Bo5g008290	g19686, g19681
OG0000019	Bo8g113980	g02417
OG0000023	Bo5g041310, Bo5g041300, Bo5g041270	g10499, g10501
OG0000023	Bo8g109220, Bo8g108970, Bo2g137160, Bo2g137180, Bo01367s010, Bo3g162480	g20568, g04967, g04962
OG0000023	Bo7g003450, Bo1g118830, Bo8g027420, Bo9g151810, Bo9g151800	g29343
OG0000023	Bo7g093630	g15439, g28846, g04828, g21299, g00148, g32457
OG0000023	Bo7g116410	g15440
OG0000024	Bo9g148170	g27108
OG0000024	Bo1g087950, Bo9g048820	g27647, g25133, g28163, g28159
OG0000024	Bo9g008940, Bo1g090360	g25154
OG0000024	Bo9g046560	g25161, g25162
OG0000024	Bo3g087240	g25153
OG0000029	Bo7g009860, Bo3g002060	g19426
OG0000029	Bo14002s010	g26291
OG0000029	Bo4g025430	g12499, g15249, g15248, g02174, g02175, g02169
OG0000029	Bo1g087640, Bo9g053310, Bo9g053300, Bo9g053320, Bo9g053280	g19413, g19412
OG0000029	Bo9g183270	g19414
OG0000030	Bo04756s010, Bo5g106220, Bo8g104380, Bo1g101320	g30538
OG0000030	Bo5g088340	g32403, g22944, g22955, g32359, g22914, g18705, g18713, g18718, g18745, g18746, g32358, g22956, g18719, g18741, g27018, g18744, g31958, g32451, g27019, g18743, g32357, g18775, g18750, g18748, g18749
OG0000031	Bo3g041970, Bo4g157420, Bo01239s010	g31133
OG0000031	Bo6g042410, Bo5g081350, Bo4g137360, Bo3g025250	g25045, g25048, g25046, g25047, g32121
OG0000031	Bo2g165600	g12346, g12348
OG0000031	Bo01080s020, Bo9g070180, Bo9g124850, Bo8g089830, Bo8g087200, Bo8g089930, Bo8g089910, Bo8g089900, Bo8g089820, Bo8g087170, Bo8g089840, Bo8g089920, Bo8g087180, Bo8g087190, Bo8g089810	g11514
OG0000032	Bo4g137060, Bo6g058880	g17895
OG0000032	Bo8g075100	g23305
OG0000032	Bo2g055210	g23304
OG0000032	Bo2g055200, Bo02126s010, Bo2g055150, Bo6g103470, Bo6g102400	g30630
