Orthogroup	Brassica_oleracea	Capsella_rubella
OG0000002	Bo2g007310, Bo4g133450, Bo8g051570, Bo00285s480, Bo1g046590, Bo5g139980, Bo12205s010, Bo3g171040, Bo7g049910, Bo2g012710, Bo9g024280, Bo6g099360, Bo2g024370, Bo6g074520, Bo5g013610, Bo3g086940, Bo8g050550, Bo6g018150, Bo3g037470, Bo1g059330, Bo1g148930, Bo19462s010, Bo4g013180, Bo5g027830, Bo3g043190, Bo9g035260, Bo5g019470, Bo9g117240, Bo7g106770, Bo6g086400, Bo2g076780, Bo2g017620, Bo6g110990, Bo9g174590, Bo2g041390, Bo3g153570, Bo9g024540, Bo1g003690, Bo7g081610, Bo3g155680, Bo8g080700, Bo4g177990, Bo4g034560, Bo1g049560, Bo8g081120, Bo4g190150, Bo18421s010, Bo1g028460, Bo6g064800, Bo7g088720, Bo6g015760, Bo1g098700, Bo9g091290, Bo5g010840, Bo1g138410, Bo1g150450, Bo7g061950, Bo3g074480, Bo5g027910, Bo9g137260, Bo1g008540, Bo16268s010, Bo7g030620, Bo4g188330, Bo9g114030, Bo8g059250, Bo3g173500, Bo7g105480, Bo9g034140, Bo7g073950, Bo9g034150, Bo2g062550, Bo5g017630, Bo00826s010, Bo06402s010, Bo4g034520, Bo3g170910, Bo9g070040, Bo4g021160, Bo6g116290, Bo2g132460, Bo5g104690, Bo6g119320, Bo4g136850, Bo9g022560, Bo9g067060, Bo7g075430, Bo1g082410, Bo8g028600, Bo1g030690, Bo1g017190, Bo4g026560, Bo4g108160, Bo9g135330, Bo4g056190, Bo9g084320, Bo8g047230, Bo2g075660, Bo1g058830, Bo8g088460, Bo1g123060, Bo8g040590, Bo22078s010, Bo5g131920, Bo11601s010, Bo18126s010, Bo01132s020, Bo01160s030, Bo2g144990, Bo01153s030, Bo3g116260, Bo5g030220, Bo5g020630, Bo1g058840, Bo8g015190, Bo15908s010, Bo9g151710, Bo4g084980, Bo9g017660	Carub.0005s0926.1.p, Carub.0005s0911.1.p, Carub.0001s3357.1.p, Carub.0001s4114.1.p, Carub.0008s0718.1.p, Carub.0004s0664.1.p, Carub.0007s3064.1.p, Carub.0007s3066.1.p, Carub.0003s1041.1.p, Carub.0008s0770.1.p, Carub.0001s3179.1.p, Carub.0007s3111.1.p, Carub.0007s3077.1.p, Carub.0001s3377.1.p, Carub.0002s0950.1.p
OG0000003	Bo3g068890, Bo3g068960, Bo1g120510, Bo1g120520, Bo1g120480	Carub.0003s1727.1.p
OG0000003	Bo3g058860	Carub.0006s2303.1.p
OG0000003	Bo3g068740, Bo3g068790	Carub.0003s2043.1.p
OG0000003	Bo1g053200, Bo9g164350, Bo1g053180	Carub.0003s2561.1.p, Carub.0003s2560.1.p, Carub.0003s2562.1.p
OG0000003	Bo3g085640, Bo3g085630	Carub.0001s3457.1.p, Carub.0002s0781.1.p, Carub.0003s2631.1.p, Carub.0003s2632.1.p, Carub.0003s2633.1.p
OG0000003	Bo1g108720, Bo5g107360, Bo5g113620, Bo5g107380	Carub.0003s2067.1.p
OG0000003	Bo05659s010, Bo1g136180, Bo1g134840, Bo1g134860, Bo1g134850	Carub.0003s1334.1.p, Carub.0003s1235.1.p, Carub.0003s1313.1.p, Carub.0003s1310.1.p
OG0000003	Bo3g071300	Carub.0003s2110.1.p
OG0000003	Bo3g081360	Carub.0003s2286.1.p, Carub.0002s0776.1.p
OG0000003	Bo3g028700, Bo3g029810, Bo1g101700	Carub.0003s2657.1.p, Carub.0003s2655.1.p, Carub.0003s2666.1.p, Carub.0003s2730.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p
OG0000003	Bo5g122980, Bo5g123020, Bo5g122990, Bo6g112890, Bo4g108630	Carub.0006s2841.1.p
OG0000005	Bo6g056250, Bo6g001040, Bo8g089880, Bo9g132970	Carub.0006s2630.1.p
OG0000007	Bo4g085040	Carub.0013s0009.1.p
OG0000007	Bo7g060220, Bo7g031300, Bo5g082700, Bo9g111360, Bo3g170500, Bo9g102260, Bo4g158900, Bo1g144590, Bo17204s010, Bo6g076000, Bo09183s010, Bo1g150110, Bo3g030210, Bo3g093390, Bo10550s010, Bo7g055820, Bo7g026660, Bo6g014480, Bo10111s010, Bo15164s010, Bo8g097950, Bo23745s010, Bo1g051750, Bo2g029060, Bo5g091820, Bo7g038970, Bo3g051040, Bo09521s010, Bo12579s010, Bo6g080880, Bo4g125780, Bo4g125770, Bo10260s010, Bo13377s010, Bo8g089970, Bo16015s010, Bo5g057140, Bo4g077020, Bo1g105500, Bo07519s010, Bo3g083630, Bo20653s010, Bo9g062570, Bo13417s010, Bo9g102430, Bo03418s010, Bo9g102440, Bo9g061570, Bo1g076830, Bo2g162940, Bo6g094110, Bo1g108380, Bo5g072350, Bo07736s010, Bo2g012070, Bo13331s010, Bo05334s010, Bo01186s010, Bo3g042660, Bo4g171920, Bo7g058060, Bo4g172930, Bo27833s010, Bo6g033350, Bo4g161410, Bo3g084350, Bo6g033360, Bo4g172920, Bo4g117250, Bo10733s010, Bo9g102420, Bo3g120850, Bo7g021420, Bo7g052700, Bo7g021430, Bo9g102410, Bo03441s010, Bo8g025700, Bo6g037230, Bo00689s050, Bo00689s020, Bo9g133680, Bo7g031450, Bo02157s010, Bo3g138700, Bo6g112920, Bo8g012910, Bo6g054810, Bo9g084450, Bo7g004980, Bo4g085020, Bo6g056060, Bo07128s010, Bo9g097000, Bo6g005690, Bo8g088430, Bo5g137070, Bo04735s010, Bo6g005680, Bo5g043570, Bo1g024400, Bo8g051160, Bo12111s010, Bo10053s010, Bo3g109230, Bo5g129120, Bo03741s010, Bo4g085030, Bo12871s010	Carub.0013s0008.1.p
OG0000007	Bo2g050930, Bo7g021180, Bo01985s010, Bo8g083540, Bo2g133980, Bo6g066350, Bo5g082500	Carub.0007s3073.1.p
OG0000007	Bo8g081380	Carub.0005s1781.1.p
OG0000007	Bo01663s010, Bo8g002580, Bo09928s010, Bo8g021850, Bo5g048380, Bo7g059450, Bo01598s010, Bo9g133030, Bo5g014760, Bo5g066950, Bo4g085080, Bo6g114620, Bo6g068420, Bo7g026780, Bo10034s010, Bo04707s010, Bo5g098670, Bo8g049500, Bo00884s070, Bo3g151480, Bo5g118610, Bo00817s040, Bo5g080120, Bo5g025300, Bo5g118600	Carub.0045s0003.1.p
OG0000007	Bo9g037170	Carub.0004s0617.1.p
OG0000009	Bo9g045300	Carub.0005s1087.1.p
OG0000009	Bo9g058260	Carub.0005s2988.1.p, Carub.0006s0619.1.p, Carub.0003s3092.1.p, Carub.0001s4199.1.p, Carub.0003s2082.1.p
OG0000009	Bo3g107920, Bo7g059380, Bo9g117660	Carub.0002s0853.1.p, Carub.0003s2835.1.p, Carub.0002s1832.1.p
OG0000009	Bo4g109750, Bo9g117750	Carub.0006s1986.1.p
OG0000009	Bo4g101260	Carub.0005s2375.1.p
OG0000011	Bo3g060780	Carub.0004s0828.1.p
OG0000011	Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380, Bo9g029360	Carub.0005s1033.1.p, Carub.0005s1034.1.p, Carub.0015s0016.1.p, Carub.0015s0014.1.p, Carub.0015s0013.1.p, Carub.0005s1030.1.p, Carub.0005s1035.1.p, Carub.0015s0011.1.p, Carub.0005s1028.1.p, Carub.0005s1032.1.p, Carub.0005s1029.1.p, Carub.0005s1027.1.p, Carub.0005s1036.1.p, Carub.0015s0010.1.p, Carub.0002s0700.1.p, Carub.0002s0699.1.p, Carub.0002s1260.1.p
OG0000012	Bo1g101660	Carub.0004s3021.1.p, Carub.0003s2796.1.p
OG0000013	Bo8g092760	Carub.0005s2443.1.p, Carub.0001s3326.1.p
OG0000013	Bo6g009320, Bo5g043420, Bo3g085410, Bo8g018090	Carub.0001s3612.1.p, Carub.0001s3614.1.p
OG0000013	Bo3g168640	Carub.0001s2925.1.p, Carub.0001s2929.1.p, Carub.0001s2927.1.p
OG0000013	Bo5g088270	Carub.0001s2930.1.p, Carub.0001s2943.1.p, Carub.0001s2944.1.p, Carub.0001s2932.1.p, Carub.0001s3824.1.p, Carub.0002s0685.1.p, Carub.0001s2947.1.p, Carub.0001s2948.1.p, Carub.0001s3225.1.p, Carub.0001s3230.1.p, Carub.0001s3224.1.p, Carub.0001s3227.1.p, Carub.0001s3228.1.p, Carub.0001s3226.1.p
OG0000013	Bo1g024280	Carub.0001s3050.1.p
OG0000014	Bo6g074640	Carub.0005s2508.1.p
OG0000014	Bo8g092590, Bo8g092580, Bo8g092620, Bo8g092570, Bo8g092600	Carub.0005s2517.1.p
OG0000014	Bo4g108440	Carub.0005s2506.1.p, Carub.0005s1051.1.p, Carub.0005s1052.1.p
OG0000014	Bo6g074810, Bo4g108430	Carub.0002s0729.1.p
OG0000014	Bo8g092630	Carub.0005s2513.1.p
OG0000014	Bo4g108500, Bo6g074730	Carub.0005s2515.1.p
OG0000014	Bo3g173530	Carub.0001s2982.1.p, Carub.0005s0528.1.p, Carub.0005s0527.1.p
OG0000016	Bo4g130720	Carub.0007s2867.1.p
OG0000016	Bo7g119570	Carub.0007s0071.1.p
OG0000016	Bo9g158560	Carub.0006s1634.1.p
OG0000016	Bo2g136220, Bo2g014130, Bo9g157520, Bo2g136240, Bo2g014270, Bo2g014230, Bo2g014190, Bo3g012950, Bo2g014170, Bo2g014140, Bo2g014210, Bo3g012870, Bo2g014250, Bo3g012900, Bo3g012920, Bo9g159650, Bo9g157510, Bo9g157550, Bo9g158570, Bo3g012890, Bo2g136210, Bo2g014160	Carub.0006s1637.1.p, Carub.0006s1628.1.p, Carub.0006s1623.1.p, Carub.0006s1622.1.p, Carub.0006s1621.1.p, Carub.0006s1625.1.p, Carub.0006s1627.1.p
OG0000017	Bo5g090520, Bo3g040540	Carub.0001s3582.1.p
OG0000017	Bo8g077820, Bo8g077790, Bo8g077800	Carub.0005s1580.1.p, Carub.0005s1579.1.p, Carub.0005s1560.1.p, Carub.0005s1577.1.p
OG0000017	Bo2g007040	Carub.0004s1336.1.p
OG0000017	Bo9g176950, Bo9g176970, Bo4g176340, Bo4g176330	Carub.0001s0357.1.p
OG0000017	Bo4g177740, Bo4g177950, Bo4g188690, Bo4g177940, Bo4g178000, Bo4g177770, Bo1g104890, Bo5g131630, Bo4g177930, Bo4g177960, Bo4g178010, Bo4g177780, Bo4g179270, Bo4g177750, Bo4g177810, Bo5g003710, Bo4g195170, Bo4g169460, Bo4g178020	Carub.0003s2424.1.p
OG0000017	Bo1g057420, Bo1g057440, Bo1g057450	Carub.0004s1365.1.p
OG0000017	Bo00944s010	Carub.0004s1364.1.p
OG0000018	Bo4g070500, Bo9g017820, Bo6g065260	Carub.0007s3392.1.p
OG0000018	Bo4g142440, Bo4g142450	Carub.0007s3372.1.p
OG0000018	Bo9g034060, Bo9g034120, Bo9g045310	Carub.0002s0098.1.p
OG0000018	Bo9g029350, Bo9g035320, Bo9g035300, Bo9g035360	Carub.0002s0109.1.p
OG0000018	Bo9g034100	Carub.0002s0095.1.p, Carub.0002s0461.1.p, Carub.0002s0526.1.p
OG0000018	Bo4g096860	Carub.0002s0072.1.p, Carub.0002s0812.1.p
OG0000019	Bo6g042340	Carub.0001s3825.1.p
OG0000019	Bo3g078550	Carub.0002s1143.1.p, Carub.0003s2137.1.p
OG0000019	Bo2g025550, Bo2g025570, Bo3g017920	Carub.0008s2031.1.p
OG0000019	Bo2g026580, Bo9g140650	Carub.0008s2030.1.p
OG0000019	Bo4g065900	Carub.0004s1000.1.p
OG0000019	Bo4g167990	Carub.0004s0997.1.p, Carub.0004s0995.1.p, Carub.0004s0999.1.p
OG0000019	Bo5g008290	Carub.0001s0687.1.p
OG0000019	Bo8g113980	Carub.0001s0689.1.p
OG0000023	Bo5g041310, Bo5g041300, Bo5g041270	Carub.0006s0880.1.p, Carub.0003s2506.1.p
OG0000023	Bo9g159680, Bo9g123390	Carub.0008s0923.1.p
OG0000023	Bo7g093630	Carub.0001s1404.1.p, Carub.0006s1692.1.p, Carub.0001s2401.1.p
OG0000023	Bo4g187050	Carub.0001s2993.1.p
OG0000024	Bo9g148170	Carub.0006s2051.1.p
OG0000024	Bo1g087950, Bo9g048820	Carub.0002s0611.1.p, Carub.0002s0613.1.p, Carub.0002s0598.1.p, Carub.0002s0610.1.p, Carub.0002s1052.1.p, Carub.0002s1045.1.p, Carub.0002s1050.1.p, Carub.0002s1047.1.p, Carub.0002s1055.1.p
OG0000024	Bo9g008940, Bo1g090360	Carub.0002s0583.1.p
OG0000024	Bo9g046560	Carub.0002s0575.1.p, Carub.0002s0573.1.p, Carub.0002s0574.1.p
OG0000024	Bo3g087240	Carub.0002s0616.1.p, Carub.0002s0614.1.p, Carub.0002s0582.1.p, Carub.0002s0550.1.p
OG0000024	Bo4g034680, Bo7g089600	Carub.0002s0811.1.p
OG0000025	Bo9g085730, Bo9g085780, Bo9g085770, Bo9g085750, Bo9g085760, Bo9g085740, Bo9g086860, Bo9g086870, Bo9g086850	Carub.0008s0584.1.p, Carub.0008s0580.1.p, Carub.0002s0930.1.p, Carub.0002s0927.1.p, Carub.0002s0931.1.p, Carub.0002s0924.1.p, Carub.0002s0926.1.p, Carub.0002s0921.1.p, Carub.0046s0007.1.p, Carub.0002s0928.1.p, Carub.0002s0925.1.p, Carub.0046s0006.1.p, Carub.0002s0922.1.p, Carub.0002s0923.1.p, Carub.0046s0004.1.p, Carub.0046s0001.1.p, Carub.0002s0932.1.p, Carub.0046s0002.1.p, Carub.0046s0003.1.p, Carub.0002s0929.1.p, Carub.0046s0005.1.p
OG0000029	Bo7g009860, Bo3g002060	Carub.0006s0158.1.p
OG0000029	Bo14002s010	Carub.0002s0692.1.p
OG0000029	Bo1g087640, Bo9g053310, Bo9g053300, Bo9g053320, Bo9g053280	Carub.0006s0172.1.p
OG0000029	Bo9g183270	Carub.0006s0171.1.p
OG0000030	Bo4g154190, Bo4g154200, Bo3g184090, Bo4g094200, Bo9g029020	Carub.0002s0150.1.p
OG0000030	Bo5g088340	Carub.0002s0110.1.p, Carub.0002s0209.1.p, Carub.0002s0210.1.p, Carub.0002s0190.1.p, Carub.0002s0192.1.p, Carub.0002s0191.1.p
OG0000030	Bo9g029330	Carub.0002s0787.1.p
OG0000031	Bo3g041970, Bo4g157420, Bo01239s010	Carub.0004s0736.1.p, Carub.0004s0735.1.p, Carub.0004s0734.1.p
OG0000031	Bo6g042410, Bo5g081350, Bo4g137360, Bo3g025250	Carub.0007s3593.1.p, Carub.0007s3733.1.p, Carub.0007s3726.1.p
OG0000031	Bo01080s020, Bo9g070180, Bo9g124850, Bo8g089830, Bo8g087200, Bo8g089930, Bo8g089910, Bo8g089900, Bo8g089820, Bo8g087170, Bo8g089840, Bo8g089920, Bo8g087180, Bo8g087190, Bo8g089810	Carub.0005s2152.1.p
OG0000032	Bo4g137060, Bo6g058880	Carub.0005s1261.1.p
OG0000032	Bo2g055090	Carub.0120s0001.1.p, Carub.0002s1326.1.p, Carub.0002s1328.1.p
OG0000032	Bo2g055210	Carub.0002s1316.1.p
OG0000032	Bo2g055200, Bo02126s010, Bo2g055150, Bo6g103470, Bo6g102400	Carub.0002s1315.1.p, Carub.0002s1319.1.p, Carub.0002s1320.1.p
OG0000032	Bo2g054020, Bo6g102390, Bo1g053730	Carub.0001s3353.1.p, Carub.0002s1318.1.p, Carub.0002s1317.1.p
OG0000032	Bo7g105860, Bo7g105830	Carub.0007s2307.1.p
OG0000033	Bo9g028510, Bo4g142510, Bo9g037090, Bo1g094260, Bo9g037120	Carub.0002s0234.1.p, Carub.0006s2588.1.p, Carub.0002s0239.1.p, Carub.0002s0236.1.p
OG0000033	Bo8g062680, Bo6g010640	Carub.0001s1196.1.p
OG0000033	Bo8g108280	Carub.0001s1197.1.p
OG0000037	Bo4g121630, Bo8g083100, Bo4g187100, Bo4g030350, Bo3g031870, Bo1g040130	Carub.0005s2033.1.p, Carub.0004s1955.1.p
OG0000037	Bo5g134740	Carub.0003s1145.1.p
OG0000037	Bo3g018230, Bo3g117300	Carub.0008s2004.1.p, Carub.0005s1279.1.p
OG0000037	Bo3g005290	Carub.0006s0823.1.p
OG0000038	Bo7g084030, Bo7g084040, Bo7g084020	Carub.0005s0501.1.p
OG0000038	Bo9g008040	Carub.0005s0502.1.p
OG0000038	Bo9g008050	Carub.0005s0506.1.p, Carub.0005s0504.1.p, Carub.0002s0814.1.p, Carub.0002s0815.1.p
OG0000038	Bo9g012620	Carub.0005s1913.1.p, Carub.0005s1914.1.p
OG0000038	Bo5g049130	Carub.0005s1791.1.p
OG0000038	Bo8g082120	Carub.0005s1910.1.p, Carub.0005s1194.1.p, Carub.0005s1909.1.p
OG0000038	Bo4g161340, Bo4g161360, Bo4g197420	Carub.0005s1519.1.p, Carub.0005s1521.1.p, Carub.0005s1520.1.p, Carub.0008s0938.1.p, Carub.0008s0939.1.p, Carub.0005s1522.1.p, Carub.0001s3364.1.p
OG0000039	Bo7g108600	Carub.0007s1795.1.p
OG0000039	Bo7g104540	Carub.0007s1800.1.p
OG0000039	Bo3g084330	Carub.0007s1794.1.p, Carub.0007s1807.1.p
OG0000039	Bo9g092480	Carub.0006s3049.1.p
OG0000039	Bo2g155630	Carub.0006s3044.1.p, Carub.0006s3043.1.p, Carub.0006s3041.1.p, Carub.0006s3042.1.p
OG0000040	Bo7g042340, Bo5g064350, Bo1g139480	Carub.0003s1159.1.p
OG0000040	Bo8g100760	Carub.0004s0220.1.p
OG0000040	Bo5g137400, Bo4g139150	Carub.0003s0966.1.p, Carub.0003s2578.1.p
OG0000040	Bo6g116690, Bo6g087890, Bo6g087850	Carub.0002s2006.1.p
OG0000041	Bo9g094210, Bo01718s010	Carub.0024s0015.1.p
OG0000041	Bo5g123820, Bo9g108190, Bo7g003730, Bo7g003900, Bo3g179550, Bo9g151830, Bo7g005950, Bo5g091680, Bo8g033570, Bo1g119270, Bo5g115140, Bo4g154820, Bo01202s020	Carub.0008s0594.1.p, Carub.0007s3055.1.p, Carub.0007s3157.1.p, Carub.0007s3143.1.p, Carub.0004s0616.1.p, Carub.0007s3038.1.p, Carub.0004s0523.1.p, Carub.0001s1088.1.p, Carub.0003s2750.1.p, Carub.0003s2772.1.p, Carub.0008s1087.1.p
OG0000042	Bo6g076130, Bo1g116040, Bo4g025310, Bo02116s010	Carub.0005s2595.1.p, Carub.0007s3423.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3764.1.p, Carub.0007s3768.1.p, Carub.0007s3765.1.p, Carub.0007s3762.1.p, Carub.0007s3763.1.p, Carub.0005s2560.1.p
OG0000042	Bo4g108170	Carub.0005s2565.1.p
OG0000042	Bo1g154960	Carub.0003s0219.1.p, Carub.0003s0218.1.p
OG0000042	Bo8g100100, Bo3g026620	Carub.0005s2569.1.p, Carub.0005s2568.1.p
OG0000043	Bo4g045680	Carub.0008s1038.1.p
OG0000043	Bo9g151860, Bo3g015190	Carub.0219s0002.1.p, Carub.0006s1881.1.p
OG0000043	Bo8g081350, Bo4g165460	Carub.0004s1293.1.p, Carub.0004s1294.1.p
OG0000044	Bo3g134070	Carub.0005s1317.1.p
OG0000044	Bo4g090390, Bo1g098790	Carub.0002s0305.1.p
OG0000044	Bo01976s010, Bo9g040770, Bo9g040790, Bo4g091420, Bo1g098770	Carub.0002s0291.1.p, Carub.0002s0311.1.p
OG0000044	Bo9g040710	Carub.0002s0309.1.p
OG0000045	Bo1g034330, Bo1g034430	Carub.0007s1788.1.p, Carub.0007s1786.1.p, Carub.0007s1787.1.p, Carub.0005s1171.1.p
OG0000045	Bo3g165780	Carub.0007s1813.1.p
OG0000045	Bo7g108520	Carub.0007s1812.1.p, Carub.0007s1804.1.p
OG0000045	Bo1g033130, Bo1g033150	Carub.0007s1806.1.p
OG0000045	Bo7g108570, Bo7g108550, Bo1g033170, Bo8g030610	Carub.0007s1803.1.p
OG0000045	Bo4g128440, Bo4g133160	Carub.0007s2975.1.p
OG0000045	Bo7g106580, Bo7g108580, Bo7g108560	Carub.0007s1796.1.p
OG0000045	Bo8g101290	Carub.0007s1809.1.p
OG0000046	Bo3g154220, Bo7g117810	Carub.0007s0407.1.p
OG0000046	Bo7g106700, Bo8g081460	Carub.0007s2167.1.p
OG0000046	Bo9g061260	Carub.0008s0325.1.p, Carub.0008s0294.1.p
OG0000046	Bo9g061330	Carub.0008s0297.1.p
OG0000046	Bo3g027680	Carub.0004s0374.1.p
OG0000046	Bo3g027690	Carub.0004s0373.1.p
OG0000046	Bo2g126920	Carub.0006s2909.1.p
OG0000047	Bo8g092120, Bo4g064660, Bo8g081170, Bo9g148090, Bo9g084480, Bo12113s010, Bo6g049520, Bo6g039810, Bo7g026820, Bo7g026860, Bo1g053190, Bo6g018250, Bo4g045990, Bo3g153580, Bo2g100730, Bo3g151510, Bo6g094420, Bo9g076400, Bo1g098750, Bo5g128810, Bo6g033260, Bo6g056150, Bo3g143520, Bo9g062700, Bo7g037660, Bo3g100950, Bo9g043990, Bo5g122930, Bo5g122920, Bo5g082540, Bo5g125030, Bo1g102020, Bo7g062120, Bo8g021870, Bo6g110370, Bo5g041520, Bo6g048130, Bo7g104720, Bo8g002880, Bo4g043750, Bo5g103580, Bo7g080070, Bo9g123720, Bo4g021720, Bo4g112980, Bo5g010760, Bo5g049510, Bo2g045920, Bo4g106240, Bo3g044820, Bo2g025280, Bo6g029200, Bo13785s010, Bo7g014490, Bo3g117330, Bo2g085190, Bo3g099240, Bo10218s010, Bo9g092750, Bo5g115160, Bo9g059130, Bo3g054780, Bo2g138570, Bo9g175220, Bo4g149690, Bo5g118440, Bo5g136780, Bo1g051100, Bo7g090990, Bo00923s030, Bo5g017180, Bo7g038990, Bo3g052660, Bo5g072410, Bo3g084140, Bo3g084130, Bo2g130170, Bo5g048700, Bo2g068420, Bo2g112900, Bo5g049500, Bo6g104060, Bo1g025500, Bo01073s010, Bo7g010130, Bo3g122150, Bo4g188540, Bo3g181170, Bo00883s090, Bo5g027870, Bo2g049400, Bo9g152150, Bo6g056110, Bo4g137260, Bo18661s010, Bo6g041120, Bo4g182220, Bo5g082580, Bo15892s010, Bo7g094870, Bo7g065700, Bo5g057020, Bo6g068330, Bo09555s010, Bo8g054670, Bo5g105030, Bo8g023000, Bo1g122860, Bo2g094940, Bo4g116930, Bo2g105100, Bo2g105090, Bo3g045690, Bo5g132660, Bo8g051050, Bo3g128740, Bo3g107430, Bo15803s010, Bo3g107420, Bo25235s010, Bo9g021520	Carub.0007s3164.1.p
OG0000049	Bo9g134720, Bo5g053530, Bo3g048270, Bo08732s010, Bo8g098410, Bo7g080610, Bo4g065850, Bo7g031480, Bo10344s010, Bo19898s010, Bo2g095060, Bo2g095050, Bo7g087270, Bo3g132750, Bo9g142400, Bo4g135960	Carub.0006s0246.1.p
OG0000050	Bo7g017540, Bo2g085140, Bo6g086210, Bo1g003080, Bo3g006860	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p
OG0000050	Bo3g005560	Carub.0005s0567.1.p, Carub.0001s0853.1.p, Carub.0002s0124.1.p, Carub.0006s0887.1.p, Carub.0006s0886.1.p
OG0000051	Bo3g004900, Bo2g009070	Carub.0006s0729.1.p
OG0000051	Bo2g140300, Bo7g084170	Carub.0005s0524.1.p
OG0000051	Bo5g153890	Carub.0003s0014.1.p
OG0000051	Bo3g009630, Bo2g011690	Carub.0006s1231.1.p
OG0000051	Bo4g140720	Carub.0007s3453.1.p
OG0000051	Bo4g140730	Carub.0007s3452.1.p
OG0000051	Bo5g153900	Carub.0003s0015.1.p
OG0000051	Bo9g098660	Carub.0008s1065.1.p
OG0000051	Bo3g112270, Bo01539s020, Bo01539s010, Bo8g077180	Carub.0005s1480.1.p
OG0000052	Bo4g085050, Bo1g024410, Bo9g097010, Bo8g088440, Bo6g037220, Bo00689s030, Bo00689s010, Bo1g080150, Bo9g133650, Bo7g031460, Bo1g067340, Bo3g153730, Bo8g025680, Bo3g071640, Bo6g013280, Bo4g122790, Bo8g089960, Bo3g008710, Bo8g051150, Bo1g050660, Bo6g080870, Bo00889s010, Bo8g061180, Bo1g098230, Bo3g138510, Bo6g094100, Bo08068s010, Bo9g117700, Bo1g098720, Bo9g066990, Bo4g137700, Bo4g071840, Bo8g097960, Bo2g148100, Bo01394s010, Bo9g111340, Bo7g114250, Bo7g060230, Bo1g012020, Bo8g079440, Bo9g119110, Bo4g158890	Carub.0001s3517.1.p, Carub.0008s0754.1.p
OG0000052	Bo2g082110, Bo2g120630, Bo4g101210	Carub.0004s0679.1.p, Carub.0001s3651.1.p, Carub.0013s0007.1.p, Carub.0011s0007.1.p, Carub.0007s3247.1.p, Carub.0006s2637.1.p, Carub.0003s3392.1.p, Carub.0005s2382.1.p, Carub.0001s3741.1.p, Carub.0001s3383.1.p, Carub.0007s3522.1.p
OG0000053	Bo3g123590, Bo4g077000	Carub.0005s0961.1.p, Carub.0006s1950.1.p
OG0000053	Bo6g055980, Bo8g038230	Carub.0007s2756.1.p
OG0000053	Bo1g103630	Carub.0003s2306.1.p
OG0000054	Bo5g017210, Bo8g062550	Carub.0001s1178.1.p
OG0000054	Bo02928s010, Bo9g037220	Carub.0002s0247.1.p
OG0000054	Bo4g050960, Bo3g045750, Bo07665s010	Carub.0006s3168.1.p, Carub.0006s3169.1.p
OG0000054	Bo3g037620	Carub.0004s2780.1.p
OG0000054	Bo2g055670	Carub.0006s3180.1.p, Carub.0006s3177.1.p, Carub.0006s3176.1.p
OG0000054	Bo3g045820	Carub.0006s3175.1.p, Carub.0006s3182.1.p
OG0000054	Bo3g045810, Bo9g079600	Carub.0006s3172.1.p
