Orthogroup	Brassica_oleracea	Tarenaya_hassleriana
OG0000009	Bo4g101260	Th2v13143, Th2v08131, Th2v27228, Th2v30493, Th2v29750, Th2v30777, Th2v31043, Th2v29039, Th2v29664, Th2v10432, Th2v27894, Th2v29309, Th2v29025, Th2v02789, Th2v23229, Th2v23231, Th2v27711, Th2v29773, Th2v20604, Th2v24330, Th2v30678, Th2v29637, Th2v26635, Th2v14246, Th2v19838, Th2v22066, Th2v26909, Th2v29015, Th2v29477, Th2v09454, Th2v28392, Th2v15712, Th2v30387, Th2v30809, Th2v25144, Th2v17348, Th2v25431, Th2v21315, Th2v30682, Th2v17327, Th2v14345, Th2v22169, Th2v31044, Th2v24482, Th2v05323, Th2v24256, Th2v30597, Th2v28868, Th2v21468, Th2v13142, Th2v09311, Th2v31362, Th2v29598, Th2v03368, Th2v05206, Th2v21357, Th2v11588, Th2v05368, Th2v03125, Th2v11101, Th2v28975, Th2v30344, Th2v12476, Th2v30416, Th2v11086, Th2v30051, Th2v30497, Th2v21610, Th2v26854
OG0000014	Bo6g074640, Bo8g092590, Bo8g092580, Bo8g092620, Bo8g092570, Bo8g092600, Bo7g105090, Bo9g164110, Bo4g108440, Bo4g108480, Bo6g074810, Bo4g108430, Bo8g092630, Bo6g074780, Bo6g074660, Bo22660s010, Bo6g074690, Bo6g074710, Bo6g074670, Bo4g108500, Bo6g074730, Bo04151s010, Bo6g074680, Bo6g074650, Bo3g173530	Th2v03495
OG0000016	Bo4g130720	Th2v02301, Th2v12576
OG0000016	Bo9g158560, Bo9g157540, Bo3g012930, Bo2g014260, Bo3g012880, Bo3g012910, Bo2g014180, Bo2g014150, Bo2g136230, Bo2g014200, Bo2g136220, Bo2g014130, Bo9g157520, Bo2g136240, Bo2g014270, Bo2g014230, Bo2g014190, Bo3g012950, Bo2g014170, Bo2g014140, Bo2g014210, Bo3g012870, Bo2g014250, Bo3g012900, Bo3g012920, Bo9g159650, Bo9g157510, Bo9g157550, Bo9g158570, Bo3g012890, Bo2g136210, Bo2g014160	Th2v19148, Th2v19151, Th2v28793
OG0000017	Bo5g093440, Bo5g090520, Bo3g040540, Bo3g109560, Bo8g077820, Bo8g077790, Bo8g077800, Bo2g055560, Bo2g055540, Bo2g007040, Bo3g026550, Bo9g176950, Bo9g176970, Bo4g176340, Bo4g176330, Bo4g177740, Bo4g177950, Bo4g188690, Bo4g177940, Bo4g178000, Bo4g177770, Bo1g104890, Bo5g131630, Bo4g177930, Bo4g177960, Bo4g178010, Bo4g177780, Bo4g179270, Bo4g177750, Bo4g177810, Bo5g003710, Bo4g195170, Bo4g169460, Bo4g178020, Bo4g046240, Bo02391s010, Bo01740s010, Bo3g026560, Bo1g057420, Bo1g057440, Bo1g057450, Bo00944s010	Th2v01232
OG0000018	Bo6g065250, Bo4g070500, Bo9g017820, Bo6g065260, Bo4g142160, Bo4g142440, Bo4g142450, Bo9g034060, Bo9g034120, Bo9g045310, Bo9g029450, Bo9g034000, Bo9g029500, Bo00787s050, Bo9g029350, Bo9g035320, Bo9g035300, Bo9g035360, Bo4g177630, Bo9g034100, Bo9g034110, Bo4g096860	Th2v00785, Th2v23478
OG0000019	Bo4g066920	Th2v07540
OG0000019	Bo6g042340, Bo3g078550, Bo6g042330, Bo6g026350, Bo8g059690	Th2v21173, Th2v23895, Th2v27433, Th2v21892, Th2v23892, Th2v23894, Th2v21895
OG0000019	Bo5g008290	Th2v15742, Th2v07538, Th2v07539
OG0000019	Bo8g113980	Th2v01098
OG0000023	Bo6g076430, Bo5g041310, Bo5g041300, Bo5g041270, Bo9g159680, Bo9g123390, Bo8g109220, Bo8g108970, Bo2g137160, Bo2g137180, Bo01367s010, Bo3g162480, Bo7g003450, Bo1g118830, Bo8g027420, Bo9g151810, Bo9g151800, Bo6g034510, Bo02936s010, Bo8g066040, Bo7g093630, Bo7g116410, Bo4g187050	Th2v00745
OG0000024	Bo9g148170, Bo1g087950, Bo9g048820, Bo9g008940, Bo1g090360, Bo9g046560, Bo3g087240, Bo4g034680, Bo7g089600	Th2v12915, Th2v22610, Th2v12940, Th2v22637, Th2v12916, Th2v22611, Th2v23248, Th2v22826, Th2v12914, Th2v22609
OG0000025	Bo9g085730, Bo9g085780, Bo9g085770, Bo9g085750, Bo9g085760, Bo9g085740, Bo9g086860, Bo9g086870, Bo9g086850, Bo7g072780, Bo6g099770, Bo6g099760	Th2v06587, Th2v15286, Th2v06585, Th2v15284, Th2v06586, Th2v15285, Th2v07577, Th2v15711, Th2v05214, Th2v05190, Th2v05184, Th2v05185, Th2v05186, Th2v05174, Th2v05215, Th2v05217, Th2v05216, Th2v05213, Th2v05175, Th2v05189, Th2v10795, Th2v05176, Th2v05188, Th2v19139, Th2v24293
OG0000029	Bo6g087940, Bo4g071960, Bo9g183390, Bo7g009860, Bo3g002060, Bo9g183190, Bo9g183290, Bo9g183280, Bo3g002120, Bo5g116970, Bo5g116980, Bo1g006480, Bo14002s010, Bo00828s100, Bo01919s010, Bo00828s080, Bo00828s120, Bo5g118920, Bo5g120120, Bo00828s090, Bo9g074630, Bo4g025440, Bo4g025430, Bo1g087640, Bo9g053310, Bo9g053300, Bo9g053320, Bo9g053280, Bo9g183270	Th2v20665
OG0000030	Bo04756s010, Bo5g106220, Bo8g104380, Bo1g101320	Th2v29012
OG0000030	Bo9g036930, Bo4g094380, Bo23196s010, Bo8g092480, Bo3g084220, Bo9g032220, Bo4g154190, Bo4g154200, Bo3g184090, Bo4g094200, Bo9g029020, Bo5g088340, Bo9g029330	Th2v17285, Th2v20358, Th2v20357, Th2v17290, Th2v17287, Th2v17243, Th2v17245, Th2v01243, Th2v17307, Th2v01666, Th2v30470, Th2v30468, Th2v01665, Th2v30471, Th2v01795, Th2v16920, Th2v17271, Th2v29086
OG0000032	Bo6g121540, Bo4g137060, Bo6g058880, Bo2g055260, Bo8g075100, Bo2g055090, Bo2g054070, Bo7g114650, Bo2g055210, Bo2g055200, Bo02126s010, Bo2g055150, Bo6g103470, Bo6g102400, Bo2g054020, Bo6g102390, Bo1g053730, Bo6g103490, Bo6g103450, Bo2g055170, Bo8g050020, Bo1g019330, Bo7g105860, Bo7g105830, Bo9g163940, Bo4g065730, Bo4g137070, Bo2g136130, Bo4g137080, Bo6g059890, Bo5g043300, Bo5g043320, Bo5g043330, Bo6g103460, Bo6g103440	Th2v06297, Th2v05322
OG0000034	Bo5g057290, Bo6g001050, Bo00871s050, Bo3g044740	Th2v31383
OG0000036	Bo4g195330, Bo8g011480, Bo2g136390, Bo8g011490, Bo08453s010, Bo7g037590, Bo00616s170, Bo8g049340, Bo3g052310, Bo9g066690, Bo4g046200, Bo5g043800, Bo02037s020, Bo2g124580, Bo7g038890, Bo9g093880, Bo4g038530, Bo6g041170, Bo3g155460, Bo4g142120, Bo9g140600, Bo9g029270, Bo6g108850, Bo8g079580, Bo8g091230, Bo7g065770, Bo8g028980, Bo4g133180, Bo6g069790, Bo7g059490, Bo00915s010, Bo8g016850, Bo3g031330, Bo1g033200, Bo1g084800, Bo00941s020, Bo9g142560, Bo6g064500, Bo1g102070, Bo5g083770, Bo1g102080, Bo2g158740, Bo1g031750, Bo9g054620, Bo6g054770, Bo7g049840, Bo9g141010, Bo5g029030, Bo9g058550, Bo5g098310, Bo9g090780, Bo2g116440, Bo7g080810, Bo9g058540, Bo3g170770, Bo2g134690, Bo3g167510, Bo7g047010, Bo5g085390, Bo4g139380, Bo6g011010, Bo7g021260, Bo1g094430, Bo9g108380, Bo9g054450, Bo8g034310, Bo9g033880, Bo2g104630, Bo9g033890, Bo2g041510, Bo6g084790, Bo2g116870, Bo1g094640, Bo4g107990, Bo7g040430, Bo15184s010, Bo12094s010, Bo2g126970, Bo1g021760, Bo1g037560, Bo01358s010, Bo9g159810, Bo5g048770, Bo01644s010, Bo3g047260, Bo7g075320, Bo9g043590, Bo3g094090, Bo2g160660, Bo8g030230, Bo9g037140, Bo5g039220, Bo5g021840, Bo2g136380, Bo7g067110, Bo1g055520, Bo6g050980, Bo00858s040, Bo2g030280, Bo01889s010, Bo7g097350, Bo6g047910, Bo4g107810, Bo7g011280, Bo3g156940, Bo1g039860, Bo5g085250, Bo9g097560, Bo1g067320, Bo1g017660, Bo2g093280, Bo7g031370, Bo00285s300, Bo3g051090, Bo6g041160, Bo9g097180, Bo1g101770, Bo3g127280, Bo4g099040, Bo9g090840, Bo9g163110, Bo5g112400, Bo5g143060, Bo7g041260, Bo9g030700, Bo1g144440, Bo7g048250, Bo07779s010, Bo5g019290, Bo7g040930, Bo8g076510, Bo1g041850, Bo9g037020, Bo5g058600, Bo3g095290, Bo5g130470, Bo5g122730, Bo01389s010, Bo01008s020, Bo03614s010, Bo6g022490, Bo3g078810, Bo4g107980, Bo3g047270, Bo1g104880, Bo3g152890, Bo9g126130, Bo5g098510, Bo6g064560, Bo9g037130, Bo1g123590, Bo3g109330, Bo9g070020, Bo5g062830, Bo5g021830, Bo5g071310	Th2v30259
OG0000037	Bo4g121630, Bo8g083100, Bo4g187100, Bo4g030350, Bo3g031870, Bo1g040130	Th2v03678, Th2v16949
OG0000037	Bo1g116200, Bo5g117040, Bo3g071760	Th2v31526
OG0000037	Bo3g018230	Th2v21285
OG0000037	Bo2g026760, Bo1g070760	Th2v18783
OG0000037	Bo6g049540, Bo6g049530	Th2v04632
OG0000037	Bo3g005290	Th2v24213, Th2v13675
OG0000039	Bo7g108600, Bo7g104540, Bo6g048250, Bo1g031850, Bo3g165690, Bo3g165700, Bo1g031830, Bo7g108650	Th2v04532, Th2v16789, Th2v16796, Th2v16782, Th2v16787, Th2v16794
OG0000039	Bo3g084330, Bo9g092530, Bo9g092480	Th2v16783, Th2v16784, Th2v16785, Th2v16793
OG0000039	Bo9g092570, Bo2g155630, Bo3g045310	Th2v04533, Th2v16790, Th2v16791
OG0000040	Bo9g162990, Bo1g139500, Bo7g042340, Bo5g064350, Bo1g139480, Bo4g139760, Bo4g151230, Bo8g100760, Bo5g137400, Bo4g139150, Bo6g116690, Bo6g087890, Bo6g087850	Th2v28851, Th2v28853, Th2v28647
OG0000043	Bo3g134260	Th2v18719, Th2v21320
OG0000043	Bo3g134250, Bo3g184230, Bo3g110840, Bo4g045680, Bo9g151860, Bo3g015190, Bo3g018170, Bo3g018130, Bo1g131070, Bo3g017490, Bo00418s060, Bo3g052730, Bo5g115120, Bo4g038950, Bo3g134690, Bo7g014680, Bo8g081350, Bo4g165460	Th2v18720, Th2v06689, Th2v31259, Th2v29328, Th2v20344, Th2v20345, Th2v20347, Th2v20348
OG0000045	Bo1g033270, Bo1g033210, Bo1g034330, Bo1g034430, Bo7g108510, Bo3g165780, Bo7g108520	Th2v04530, Th2v16767, Th2v16779
OG0000045	Bo1g033130, Bo1g033150, Bo7g108570, Bo7g108550, Bo1g033170, Bo8g030610, Bo4g128440, Bo4g133160, Bo7g106580, Bo7g108580, Bo7g108560, Bo8g101290	Th2v04531
OG0000046	Bo3g154220, Bo7g117810	Th2v04252
OG0000046	Bo9g061330, Bo3g092100, Bo7g070250, Bo3g027680, Bo3g027690, Bo7g070170, Bo7g070210, Bo2g126920, Bo3g045090, Bo2g126880	Th2v04273
OG0000050	Bo6g086210	Th2v02356
OG0000050	Bo6g086210	Th2v02588
OG0000050	Bo6g086210	Th2v04070
OG0000050	Bo6g086210	Th2v04071
OG0000050	Bo6g086210	Th2v05831
OG0000050	Bo6g086210	Th2v20926
OG0000050	Bo6g086210	Th2v28063
OG0000050	Bo1g003080	Th2v02356
OG0000050	Bo1g003080	Th2v02588
OG0000050	Bo1g003080	Th2v04070
OG0000050	Bo1g003080	Th2v04071
OG0000050	Bo1g003080	Th2v05831
OG0000050	Bo1g003080	Th2v20926
OG0000050	Bo1g003080	Th2v28063
OG0000050	Bo3g006860	Th2v02356
OG0000050	Bo3g006860	Th2v02588
OG0000050	Bo3g006860	Th2v04070
OG0000050	Bo3g006860	Th2v04071
OG0000050	Bo3g006860	Th2v05831
OG0000050	Bo3g006860	Th2v20926
OG0000050	Bo3g006860	Th2v28063
OG0000050	Bo2g149830	Th2v06180
OG0000050	Bo2g149830	Th2v13609
OG0000050	Bo2g149830	Th2v14884
OG0000050	Bo2g149830	Th2v19162
OG0000050	Bo2g149830	Th2v24391
OG0000050	Bo2g009840	Th2v06180
OG0000050	Bo2g009840	Th2v13609
OG0000050	Bo2g009840	Th2v14884
OG0000050	Bo2g009840	Th2v19162
OG0000050	Bo2g009840	Th2v24391
OG0000050	Bo9g058450	Th2v06180
OG0000050	Bo9g058450	Th2v13609
OG0000050	Bo9g058450	Th2v14884
OG0000050	Bo9g058450	Th2v19162
OG0000050	Bo9g058450	Th2v24391
OG0000050	Bo9g018640	Th2v06180
OG0000050	Bo9g018640	Th2v13609
OG0000050	Bo9g018640	Th2v14884
OG0000050	Bo9g018640	Th2v19162
OG0000050	Bo9g018640	Th2v24391
OG0000050	Bo9g172190	Th2v06180
OG0000050	Bo9g172190	Th2v13609
OG0000050	Bo9g172190	Th2v14884
OG0000050	Bo9g172190	Th2v19162
OG0000050	Bo9g172190	Th2v24391
OG0000050	Bo4g127090	Th2v06180
OG0000050	Bo4g127090	Th2v13609
OG0000050	Bo4g127090	Th2v14884
OG0000050	Bo4g127090	Th2v19162
OG0000050	Bo4g127090	Th2v24391
OG0000050	Bo4g127240, Bo3g005560	Th2v11775
OG0000051	Bo3g004900, Bo2g009070	Th2v29800, Th2v30556
OG0000051	Bo2g140300, Bo7g084170	Th2v00272, Th2v28485
OG0000051	Bo3g009630, Bo2g011690	Th2v24733
OG0000051	Bo2g140280, Bo4g140730, Bo5g153900	Th2v28486
OG0000051	Bo9g098660	Th2v29741
OG0000053	Bo2g023510	Th2v08417
OG0000053	Bo3g015550	Th2v08417
OG0000053	Bo9g149940	Th2v08417
OG0000053	Bo4g143910, Bo6g100960	Th2v00534, Th2v05294, Th2v17972
OG0000053	Bo6g055980, Bo8g038230, Bo1g103630, Bo3g081480	Th2v15574
OG0000054	Bo5g017210, Bo8g062550, Bo02928s010, Bo9g037220	Th2v06009, Th2v14718
OG0000054	Bo4g050960, Bo3g045750, Bo07665s010	Th2v04460
OG0000054	Bo3g037620	Th2v12814, Th2v22503
OG0000054	Bo3g045810, Bo9g079600, Bo1g027300	Th2v04452, Th2v16720, Th2v04453
OG0000057	Bo9g133110	Th2v05564, Th2v21740, Th2v05785
OG0000057	Bo8g067040	Th2v23285
OG0000057	Bo2g164300	Th2v14006
OG0000057	Bo3g124970	Th2v18022, Th2v19007
OG0000057	Bo3g086800	Th2v19705
OG0000057	Bo7g008350, Bo9g027480	Th2v01717, Th2v02145, Th2v12432
OG0000060	Bo3g040070, Bo4g166700, Bo4g069220	Th2v07562, Th2v15722
OG0000060	Bo3g130260	Th2v18814, Th2v17861, Th2v18811, Th2v21274, Th2v17863
OG0000064	Bo7g003750, Bo9g028130, Bo1g017260	Th2v01593, Th2v02228
OG0000064	Bo9g059370, Bo7g066830, Bo8g115720	Th2v16137
OG0000064	Bo8g104800	Th2v09991
OG0000064	Bo3g015200, Bo2g021860	Th2v18997
OG0000064	Bo4g108610, Bo6g074590	Th2v06859
OG0000064	Bo9g056070, Bo5g009220	Th2v06200, Th2v14903, Th2v23236
OG0000065	Bo6g119870	Th2v05817, Th2v20913, Th2v28085
OG0000065	Bo7g067360, Bo9g059850, Bo2g124350, Bo3g162350, Bo1g022580, Bo7g107230	Th2v04327
OG0000065	Bo4g039350	Th2v01410, Th2v27873
OG0000065	Bo9g169510	Th2v15561, Th2v19216
OG0000065	Bo4g061410, Bo4g169440	Th2v01110, Th2v07494, Th2v15777, Th2v08264
OG0000065	Bo3g116270, Bo3g134050, Bo3g107240	Th2v17813, Th2v21305, Th2v18739
OG0000068	Bo3g155390, Bo6g119980, Bo2g086550, Bo6g085070, Bo7g080950, Bo6g015710, Bo8g012800, Bo6g015720, Bo4g106410, Bo4g106400	Th2v28107
OG0000069	Bo2g025530	Th2v01072
OG0000069	Bo2g025530	Th2v01108
OG0000069	Bo2g025530	Th2v07501
OG0000069	Bo2g025530	Th2v07560
OG0000069	Bo2g025530	Th2v08295
OG0000069	Bo2g025530	Th2v08302
OG0000069	Bo2g025530	Th2v17850
OG0000069	Bo2g025530	Th2v17851
OG0000069	Bo2g025530	Th2v15724
OG0000069	Bo2g025530	Th2v15770
OG0000069	Bo2g025530	Th2v21284
OG0000069	Bo3g017820	Th2v01072
OG0000069	Bo3g017820	Th2v01108
OG0000069	Bo3g017820	Th2v07501
OG0000069	Bo3g017820	Th2v07560
OG0000069	Bo3g017820	Th2v08295
OG0000069	Bo3g017820	Th2v08302
OG0000069	Bo3g017820	Th2v17850
OG0000069	Bo3g017820	Th2v17851
OG0000069	Bo3g017820	Th2v15724
OG0000069	Bo3g017820	Th2v15770
OG0000069	Bo3g017820	Th2v21284
OG0000069	Bo4g166750	Th2v01072
OG0000069	Bo4g166750	Th2v01108
OG0000069	Bo4g166750	Th2v07501
OG0000069	Bo4g166750	Th2v07560
OG0000069	Bo4g166750	Th2v08295
OG0000069	Bo4g166750	Th2v08302
OG0000069	Bo4g166750	Th2v17850
OG0000069	Bo4g166750	Th2v17851
OG0000069	Bo4g166750	Th2v15724
OG0000069	Bo4g166750	Th2v15770
OG0000069	Bo4g166750	Th2v21284
OG0000069	Bo3g040050	Th2v01072
OG0000069	Bo3g040050	Th2v01108
OG0000069	Bo3g040050	Th2v07501
OG0000069	Bo3g040050	Th2v07560
OG0000069	Bo3g040050	Th2v08295
OG0000069	Bo3g040050	Th2v08302
OG0000069	Bo3g040050	Th2v17850
OG0000069	Bo3g040050	Th2v17851
OG0000069	Bo3g040050	Th2v15724
OG0000069	Bo3g040050	Th2v15770
OG0000069	Bo3g040050	Th2v21284
OG0000069	Bo3g031810	Th2v01072
OG0000069	Bo3g031810	Th2v01108
OG0000069	Bo3g031810	Th2v07501
OG0000069	Bo3g031810	Th2v07560
OG0000069	Bo3g031810	Th2v08295
OG0000069	Bo3g031810	Th2v08302
OG0000069	Bo3g031810	Th2v17850
OG0000069	Bo3g031810	Th2v17851
OG0000069	Bo3g031810	Th2v15724
OG0000069	Bo3g031810	Th2v15770
OG0000069	Bo3g031810	Th2v21284
OG0000069	Bo3g130250	Th2v01072
OG0000069	Bo3g130250	Th2v01108
OG0000069	Bo3g130250	Th2v07501
OG0000069	Bo3g130250	Th2v07560
OG0000069	Bo3g130250	Th2v08295
OG0000069	Bo3g130250	Th2v08302
OG0000069	Bo3g130250	Th2v17850
OG0000069	Bo3g130250	Th2v17851
OG0000069	Bo3g130250	Th2v15724
OG0000069	Bo3g130250	Th2v15770
OG0000069	Bo3g130250	Th2v21284
OG0000069	Bo5g008410	Th2v01072
OG0000069	Bo5g008410	Th2v01108
OG0000069	Bo5g008410	Th2v07501
OG0000069	Bo5g008410	Th2v07560
OG0000069	Bo5g008410	Th2v08295
OG0000069	Bo5g008410	Th2v08302
OG0000069	Bo5g008410	Th2v17850
OG0000069	Bo5g008410	Th2v17851
OG0000069	Bo5g008410	Th2v15724
OG0000069	Bo5g008410	Th2v15770
OG0000069	Bo5g008410	Th2v21284
OG0000069	Bo4g030440	Th2v01072
OG0000069	Bo4g030440	Th2v01108
OG0000069	Bo4g030440	Th2v07501
OG0000069	Bo4g030440	Th2v07560
OG0000069	Bo4g030440	Th2v08295
OG0000069	Bo4g030440	Th2v08302
OG0000069	Bo4g030440	Th2v17850
OG0000069	Bo4g030440	Th2v17851
OG0000069	Bo4g030440	Th2v15724
OG0000069	Bo4g030440	Th2v15770
OG0000069	Bo4g030440	Th2v21284
OG0000069	Bo8g010850	Th2v01072
OG0000069	Bo8g010850	Th2v01108
OG0000069	Bo8g010850	Th2v07501
OG0000069	Bo8g010850	Th2v07560
OG0000069	Bo8g010850	Th2v08295
OG0000069	Bo8g010850	Th2v08302
OG0000069	Bo8g010850	Th2v17850
OG0000069	Bo8g010850	Th2v17851
OG0000069	Bo8g010850	Th2v15724
OG0000069	Bo8g010850	Th2v15770
OG0000069	Bo8g010850	Th2v21284
OG0000069	Bo8g112850	Th2v01072
OG0000069	Bo8g112850	Th2v01108
OG0000069	Bo8g112850	Th2v07501
OG0000069	Bo8g112850	Th2v07560
OG0000069	Bo8g112850	Th2v08295
OG0000069	Bo8g112850	Th2v08302
OG0000069	Bo8g112850	Th2v17850
OG0000069	Bo8g112850	Th2v17851
OG0000069	Bo8g112850	Th2v15724
OG0000069	Bo8g112850	Th2v15770
OG0000069	Bo8g112850	Th2v21284
OG0000069	Bo4g069210	Th2v01072
OG0000069	Bo4g069210	Th2v01108
OG0000069	Bo4g069210	Th2v07501
OG0000069	Bo4g069210	Th2v07560
OG0000069	Bo4g069210	Th2v08295
OG0000069	Bo4g069210	Th2v08302
OG0000069	Bo4g069210	Th2v17850
OG0000069	Bo4g069210	Th2v17851
OG0000069	Bo4g069210	Th2v15724
OG0000069	Bo4g069210	Th2v15770
OG0000069	Bo4g069210	Th2v21284
OG0000069	Bo6g120620	Th2v01072
OG0000069	Bo6g120620	Th2v01108
OG0000069	Bo6g120620	Th2v07501
OG0000069	Bo6g120620	Th2v07560
OG0000069	Bo6g120620	Th2v08295
OG0000069	Bo6g120620	Th2v08302
OG0000069	Bo6g120620	Th2v17850
OG0000069	Bo6g120620	Th2v17851
OG0000069	Bo6g120620	Th2v15724
OG0000069	Bo6g120620	Th2v15770
OG0000069	Bo6g120620	Th2v21284
OG0000070	Bo1g002200, Bo7g119560	Th2v03273
OG0000070	Bo8g101930, Bo9g026290, Bo7g012710, Bo3g093920, Bo8g050070, Bo7g117780, Bo1g005930, Bo2g084030, Bo6g086220, Bo6g119730, Bo7g062200, Bo5g027790, Bo3g167560, Bo7g017530, Bo3g091420, Bo1g006970, Bo7g117030	Th2v02802, Th2v12095
OG0000072	Bo6g066330, Bo7g033040, Bo8g098430, Bo5g123040, Bo5g069390, Bo4g125800, Bo2g105080, Bo08071s010, Bo06352s010, Bo5g027810, Bo3g107450, Bo5g027880, Bo2g002370, Bo4g137370, Bo1g033100, Bo9g043690, Bo6g095190, Bo4g098480	Th2v23932, Th2v26503, Th2v29778, Th2v12157, Th2v23678, Th2v29868
OG0000072	Bo4g139480, Bo8g024490, Bo4g052650	Th2v30224
OG0000072	Bo9g018670, Bo7g030690, Bo1g071030, Bo2g104780, Bo4g069250	Th2v10014
OG0000073	Bo7g062110	Th2v26017, Th2v23472, Th2v01337, Th2v29928, Th2v29834
OG0000073	Bo2g070710	Th2v30285, Th2v30498, Th2v11085
OG0000073	Bo6g121630, Bo2g160850, Bo9g024040, Bo4g158570	Th2v03443, Th2v30202
OG0000073	Bo5g095850, Bo1g088100	Th2v19101
OG0000073	Bo22511s010	Th2v28340
OG0000074	Bo9g137000	Th2v18648, Th2v18649, Th2v19318, Th2v19319
OG0000074	Bo3g132990, Bo2g026940, Bo3g018340, Bo9g135670, Bo2g028300, Bo2g094780, Bo2g028330, Bo2g028350, Bo9g137050	Th2v17820, Th2v17822
OG0000075	Bo5g123830, Bo8g067260	Th2v07796, Th2v29694
OG0000075	Bo4g142540, Bo7g120810, Bo4g013440, Bo9g058650, Bo00846s020	Th2v30265
OG0000075	Bo8g104320, Bo9g135280	Th2v05654, Th2v10944, Th2v10943, Th2v05653, Th2v05749, Th2v20844, Th2v09318, Th2v30503, Th2v16443, Th2v29586, Th2v29166
OG0000078	Bo8g069990, Bo7g061840, Bo6g086100, Bo2g086490, Bo6g119920	Th2v04085
OG0000078	Bo1g006800, Bo7g016350	Th2v12107
OG0000078	Bo2g127620, Bo7g073960	Th2v07388, Th2v10688, Th2v16538
OG0000078	Bo1g059260, Bo8g081690, Bo7g100890	Th2v11648, Th2v13434
OG0000079	Bo7g115740, Bo1g010450	Th2v01887, Th2v02043
OG0000079	Bo3g003250, Bo2g006860	Th2v23568, Th2v08612, Th2v11547
OG0000079	Bo7g066970	Th2v08012
OG0000079	Bo3g012630	Th2v21769
OG0000079	Bo1g002500	Th2v02334
OG0000079	Bo9g018320, Bo2g166370, Bo3g100970, Bo3g005320	Th2v13666, Th2v11795, Th2v24218
OG0000083	Bo7g110200, Bo8g050640, Bo7g110210, Bo1g025610, Bo5g045030	Th2v30473
