Orthogroup	Brassica_oleracea	Arabidopsis_lyrata
OG0000050	Bo4g127090	scaffold_105618.1
OG0000050	Bo2g149830	scaffold_601051.1
OG0000050	Bo2g009840	scaffold_601051.1
OG0000050	Bo9g058450	scaffold_601051.1
OG0000050	Bo9g018640	scaffold_601051.1
OG0000050	Bo9g172190	scaffold_601051.1
OG0000050	Bo4g127090	scaffold_601051.1
OG0000051	Bo3g004900, Bo2g009070	fgenesh2_kg.6__807__AT5G08391.1
OG0000051	Bo5g153890	fgenesh2_kg.3__18__AT3G01950.1
OG0000051	Bo3g009630, Bo2g011690	scaffold_601425.1
OG0000051	Bo2g140290	fgenesh1_pm.C_scaffold_5000374
OG0000051	Bo4g140720	fgenesh2_kg.7__3312__AT5G40970.1
OG0000051	Bo4g140730	scaffold_703863.1
OG0000051	Bo5g153900	fgenesh2_kg.3__19__AT3G01940.1
OG0000051	Bo9g098660	fgenesh2_kg.8__936__AT5G50660.1
OG0000051	Bo3g112270, Bo01539s020, Bo01539s010, Bo8g077180	fgenesh1_pm.C_scaffold_5001003
OG0000052	Bo4g085050, Bo1g024410, Bo9g097010, Bo8g088440, Bo6g037220, Bo00689s030, Bo00689s010, Bo1g080150, Bo9g133650, Bo7g031460, Bo1g067340, Bo3g153730, Bo8g025680, Bo3g071640, Bo6g013280, Bo4g122790, Bo8g089960, Bo3g008710, Bo8g051150, Bo1g050660, Bo6g080870, Bo00889s010, Bo8g061180, Bo1g098230, Bo3g138510, Bo6g094100, Bo08068s010, Bo9g117700, Bo1g098720, Bo9g066990, Bo4g137700, Bo4g071840, Bo8g097960, Bo2g148100, Bo01394s010, Bo9g111340, Bo7g114250, Bo7g060230, Bo1g012020, Bo8g079440, Bo9g119110, Bo4g158890	Al_scaffold_0004_827
OG0000052	Bo2g082110, Bo2g120630, Bo4g101210	Al_scaffold_0003_2448, Al_scaffold_0006_3453, Al_scaffold_0003_3869, Al_scaffold_0005_2878, Al_scaffold_0007_3799, Al_scaffold_0007_3456, Al_scaffold_0006_2707, Al_scaffold_0007_1387, Al_scaffold_0006_2984, Al_scaffold_0002_2719, Al_scaffold_0004_310, Al_scaffold_0008_1266, Al_scaffold_0003_3164, Al_scaffold_0004_745, Al_scaffold_0001_3215, fgenesh1_pg.C_scaffold_3002431, Al_scaffold_0006_3420, Al_scaffold_0002_1050, Al_scaffold_0002_847, Al_scaffold_0008_2176, Al_scaffold_0003_3043, Al_scaffold_0005_1334, Al_scaffold_0003_2769, Al_scaffold_0005_1336, scaffold_501113.1
OG0000053	Bo3g123590, Bo4g077000	fgenesh2_kg.6__2164__AT5G21274.1
OG0000053	Bo6g055980, Bo8g038230	fgenesh1_pm.C_scaffold_7002276
OG0000053	Bo1g103630	fgenesh2_kg.3__2503__AT3G22930.1
OG0000053	Bo3g035400	scaffold_402918.1
OG0000053	Bo6g072350	scaffold_402918.1
OG0000053	Bo4g112740	scaffold_402918.1
OG0000053	Bo3g035400	scaffold_502831.1
OG0000053	Bo6g072350	scaffold_502831.1
OG0000053	Bo4g112740	scaffold_502831.1
OG0000054	Bo5g017210, Bo8g062550	fgenesh2_kg.1__1313__AT1G12090.1
OG0000054	Bo4g050960, Bo3g045750, Bo07665s010	scaffold_603708.1, scaffold_603709.1
OG0000054	Bo3g037620	fgenesh2_kg.4__2714__AT2G45180.1
OG0000054	Bo1g027300	scaffold_702112.1
OG0000057	Bo9g133110	fgenesh1_pm.C_scaffold_6002529
OG0000057	Bo2g164300	scaffold_802942.1
OG0000057	Bo3g124970	fgenesh1_pm.C_scaffold_5000607
OG0000057	Bo7g008350, Bo9g027480	fgenesh2_kg.3__3537__AT2G18960.1
OG0000059	Bo3g109590, Bo6g079190, Bo1g021890, Bo9g019090, Bo2g167900, Bo9g165760, Bo1g153360, Bo3g028450, Bo4g182880, Bo7g057800, Bo4g049620, Bo4g101300, Bo4g086750, Bo6g115950, Bo9g014550, Bo5g116940, Bo5g104920, Bo8g104220, Bo00934s080, Bo17064s010, Bo11770s010, Bo18419s010, Bo4g137850, Bo9g009300, Bo03957s010, Bo04452s010, Bo7g105440, Bo6g095910, Bo7g040540, Bo5g017260, Bo6g072850, Bo4g191190, Bo4g068080, Bo6g098460, Bo6g087660, Bo4g165070, Bo5g004890, Bo3g068810, Bo2g082640, Bo6g039780, Bo2g116510	scaffold_200866.1, scaffold_100612.1
OG0000060	Bo3g017650, Bo3g017110, Bo9g148120	fgenesh2_kg.6__2278__AT5G22880.1
OG0000060	Bo6g067610	scaffold_600180.1, fgenesh2_kg.3__969__AT3G09480.1, Al_scaffold_0005_2266
OG0000060	Bo8g083030, Bo4g121670	fgenesh2_kg.4__1800__AT2G37470.1
OG0000060	Bo2g025250, Bo9g140940	fgenesh1_pm.C_scaffold_189000001, fgenesh2_kg.8__1944__AT5G59910.1, fgenesh2_kg.5__969__AT3G45980.1, fgenesh2_kg.5__975__AT3G46030.1
OG0000061	Bo3g064000	scaffold_303693.1, Al_scaffold_0007_3261, scaffold_201146.1
OG0000062	Bo5g110080	fgenesh2_kg.3__2233__AT3G20140.1
OG0000062	Bo3g074690, Bo4g142380, Bo3g074700	fgenesh2_kg.3__2232__AT3G20080.1
OG0000064	Bo7g003750, Bo9g028130	fgenesh1_pm.C_scaffold_3002552
OG0000064	Bo1g017260	Al_scaffold_0007_1247
OG0000064	Bo9g059370, Bo7g066830	fgenesh2_kg.8__431__AT5G43900.1
OG0000064	Bo8g115720	scaffold_100373.1
OG0000064	Bo3g026490	fgenesh2_kg.4__1175__AT2G31900.1
OG0000064	Bo8g104800	scaffold_101959.1
OG0000064	Bo3g015200, Bo2g021860	Al_scaffold_0006_1977
OG0000064	Bo4g108610, Bo6g074590	scaffold_502994.1
OG0000064	Bo5g009220	Al_scaffold_0001_833
OG0000065	Bo6g119870	fgenesh2_kg.2__1855__AT1G75780.1
OG0000065	Bo7g067360, Bo9g059850, Bo2g124350	scaffold_800574.1
OG0000065	Bo3g162350, Bo1g022580, Bo7g107230	fgenesh2_kg.7__2230__AT4G20890.1
OG0000065	Bo4g039350	scaffold_402064.1
OG0000065	Bo9g169510	Al_scaffold_0006_1146
OG0000065	Bo7g097420	fgenesh2_kg.6__2379__AT5G23860.1
OG0000065	Bo4g061410, Bo4g169440	fgenesh2_kg.4__930__AT2G29550.1
