Orthogroup	Brassica_oleracea	Aethionema_arabicum
OG0000002	Bo2g007310, Bo4g133450, Bo8g051570, Bo00285s480, Bo1g046590, Bo5g139980, Bo12205s010, Bo3g171040, Bo7g049910, Bo2g012710, Bo9g024280, Bo6g099360, Bo2g024370, Bo6g074520, Bo5g013610, Bo3g086940, Bo8g050550, Bo6g018150, Bo3g037470, Bo1g059330, Bo1g148930, Bo19462s010, Bo4g013180, Bo5g027830, Bo3g043190, Bo9g035260, Bo5g019470, Bo9g117240, Bo7g106770, Bo6g086400, Bo2g076780, Bo2g017620, Bo6g110990, Bo9g174590, Bo2g041390, Bo3g153570, Bo9g024540, Bo1g003690, Bo7g081610, Bo3g155680, Bo8g080700, Bo4g177990, Bo4g034560, Bo1g049560, Bo8g081120, Bo4g190150, Bo18421s010, Bo1g028460, Bo6g064800, Bo7g088720, Bo6g015760, Bo1g098700, Bo9g091290, Bo5g010840, Bo1g138410, Bo1g150450, Bo7g061950, Bo3g074480, Bo5g027910, Bo9g137260, Bo1g008540, Bo16268s010, Bo7g030620, Bo4g188330, Bo9g114030, Bo8g059250, Bo3g173500, Bo7g105480, Bo9g034140, Bo7g073950, Bo9g034150, Bo2g062550, Bo5g017630, Bo00826s010, Bo06402s010, Bo4g034520, Bo3g170910, Bo9g070040, Bo4g021160, Bo6g116290, Bo2g132460, Bo5g104690, Bo6g119320, Bo4g136850, Bo9g022560, Bo9g067060, Bo7g075430, Bo1g082410, Bo8g028600, Bo1g030690, Bo1g017190, Bo4g026560, Bo4g108160, Bo9g135330, Bo4g056190, Bo9g084320, Bo8g047230, Bo2g075660, Bo1g058830, Bo8g088460, Bo1g123060, Bo8g040590, Bo22078s010, Bo5g131920, Bo11601s010, Bo18126s010, Bo01132s020, Bo01160s030, Bo2g144990, Bo01153s030, Bo3g116260, Bo5g030220, Bo5g020630, Bo1g058840, Bo8g015190, Bo15908s010, Bo9g151710, Bo4g084980, Bo9g017660	AA6G00009, AA1077G00001
OG0000002	Bo9g040960, Bo9g095450	AA238G00004
OG0000003	Bo5g126740	AA439G00005
OG0000003	Bo8g082630	AA55G00071, AA55G00073, AA55G00072, AA75G00041
OG0000003	Bo6g114390, Bo5g115470, Bo3g084010, Bo1g099970, Bo00890s010, Bo02791s010, Bo1g012110, Bo01308s030, Bo06333s010, Bo3g027920, Bo1g114670	AA1028G00001, AA240G00010, AA439G00004, AA718G00001, AA240G00008
OG0000005	Bo3g084400, Bo6g007070	AA69G00026
OG0000005	Bo7g063580	AA345G00003
OG0000005	Bo9g007920	AA290G00001, AA1141G00001, AA224G00007, AA447G00004, AA312G00011, AA54G00008, AA162G00003, AA90G00006, AA92G00005, AA162G00002, AA318G00004, AA454G00004
OG0000005	Bo9g093770	AA46G00204
OG0000005	Bo5g132790, Bo06303s010, Bo7g046870	AA163G00008, AA175G00003
OG0000005	Bo19419s010	AA12G00024, AA1379G00002, AA150G00005, AA12G00023, AA1379G00003, AA210G00010, AA103G00020, AA302G00004, AA997G00001, AA75G00017, AA997G00002, AA2255G00001, AA363G00002, AA204G00011, AA99G00015, AA186G00004, AA164G00002, AA301G00002, AA301G00001, AA314G00001, AA575G00001, AA372G00001, AA102G00341, AA242G00004, AA634G00002, AA49G00052, AA388G00001, AA160G00008, AA3165G00001, AA281G00004, AA747G00001, AA479G00001, AA210G00009, AA309G00005, AA117G00003, AA143G00012, AA1166G00001, AA50G00031, AA65G00369, AA136G00001, AA104G00010, AA134G00009, AA305G00004, AA264G00004, AA511G00001, AA528G00003, AA264G00003, AA580G00002, AA102G00252, AA50G00023, AA104G00011, AA40G00021, AA52G00046, AA53G00835
OG0000005	Bo8g037990, Bo17587s010	AA70G00007, AA87G00206, AA70G00006, AA127G00003, AA102G00221, AA28G00017, AA123G00151, AA46G00210, AA109G00006, AA145G00004, AA109G00005
OG0000005	Bo5g105010	AA161G00011
OG0000005	Bo6g056250	AA90G00075
OG0000005	Bo6g001040	AA50G00022
OG0000005	Bo8g089880, Bo9g132970	AA161G00010, AA149G00010, AA73G00004, AA280G00003, AA969G00002
OG0000005	Bo9g108230, Bo7g081730	AA447G00002, AA66G00003, AA135G00013, AA175G00006, AA363G00003, AA447G00001, AA39G00689
OG0000005	Bo01912s010	AA91G00001
OG0000005	Bo1g005190	AA669G00001
OG0000005	Bo3g019830	AA66G00008, AA136G00012
OG0000005	Bo3g017770	AA244G00003, AA18G00026, AA106G00002, AA31G00396, AA53G01119, AA7G00099, AA131G00067, AA140G00005
OG0000006	Bo3g031360	AA123G00175, AA40G00121, AA88G00016, AA123G00174, AA134G00022, AA12G00137, AA646G00001, AA98G00001, AA80G00003, AA80G00002, AA134G00021, AA185G00007, AA23G00067, AA46G00042, AA219G00009, AA46G00041, AA1367G00001, AA62G00061, AA143G00005, AA123G00120, AA123G00121, AA125G00012, AA171G00003, AA123G00124, AA9G00156, AA264G00007, AA60G00075, AA264G00006, AA158G00002, AA284G00003, AA284G00004, AA50G00057, AA87G00372, AA23G00072, AA28G00010, AA164G00003, AA23G00073, AA546G00001, AA80G00001, AA93G00224, AA17G00035, AA93G00225, AA819G00003, AA39G00090, AA38G00079, AA396G00002, AA52G00031, AA396G00003, AA452G00003, AA184G00006, AA452G00002, AA123G00107, AA56G00058, AA69G00002, AA512G00002, AA66G00004, AA294G00001, AA66G00012, AA151G00003, AA7G00044, AA120G00007, AA120G00008, AA481G00001, AA58G00003, AA22G00062, AA42G00041, AA168G00017, AA996G00001, AA51G00005, AA598G00003, AA215G00008, AA98G00011, AA133G00013, AA161G00004, AA133G00014, AA73G00011, AA328G00002, AA328G00003, AA261G00006, AA65G00120, AA48G00035, AA296G00006, AA115G00005, AA376G00002, AA69G00010, AA22G00060, AA56G00083, AA376G00001, AA60G00212, AA22G00061, AA170G00001
OG0000006	Bo4g092660	AA44G00711, AA64G00004, AA123G00179, AA389G00001, AA246G00014, AA246G00015, AA207G00006, AA30G00315, AA996G00002, AA226G00007, AA172G00001
OG0000006	Bo4g078650	AA104G00014
OG0000006	Bo03058s010, Bo8g109450, Bo4g104760	AA168G00018, AA118G00002, AA85G00001, AA224G00001, AA1558G00001, AA90G00071, AA68G00021, AA118G00058, AA157G00007, AA168G00025, AA93G00208, AA1659G00001, AA177G00003, AA35G00073, AA83G00019, AA177G00002, AA15G00056, AA468G00005, AA118G00031, AA39G00774, AA118G00032, AA69G00017, AA62G00009, AA136G00003, AA67G00038, AA92G00009, AA28G00036, AA45G00006, AA355G00003, AA115G00013, AA70G00035, AA420G00003, AA547G00003, AA819G00001, AA206G00001, AA331G00003, AA371G00009, AA113G00008, AA209G00001, AA36G00005, AA123G00134, AA22G00015, AA136G00004, AA229G00008, AA375G00006, AA111G00014, AA480G00001, AA54G00079, AA1011G00001, AA118G00001, AA108G00001, AA94G00002, AA147G00003, AA617G00001, AA49G00011, AA62G00048, AA65G00065, AA270G00003, AA116G00011, AA283G00001, AA161G00009, AA82G00023, AA134G00033, AA83G00027, AA134G00034, AA137G00004, AA66G00002, AA66G00001, AA87G00384, AA139G00003, AA273G00004, AA45G00007, AA65G00265, AA115G00006, AA68G00035, AA33G00230, AA468G00001, AA54G00349, AA40G00076, AA148G00006, AA1111G00001, AA224G00003, AA109G00011, AA13G00029, AA8G00277, AA65G00266, AA33G00229, AA195G00003, AA479G00003, AA179G00001, AA157G00009, AA39G00146, AA67G00024, AA1469G00001, AA125G00008, AA1469G00002, AA930G00001, AA85G00010, AA245G00007, AA101G00003, AA49G00029, AA386G00003, AA18G00039, AA348G00001, AA65G00008, AA28G00030, AA272G00003, AA28G00029, AA65G00258, AA59G00019, AA537G00002, AA65G00357, AA192G00001, AA462G00005, AA73G00009, AA86G00007, AA209G00007, AA446G00001, AA22G00033, AA295G00004, AA888G00002, AA209G00006, AA200G00001, AA125G00002
OG0000007	Bo7g060220, Bo7g031300, Bo5g082700, Bo9g111360, Bo3g170500, Bo9g102260, Bo4g158900, Bo1g144590, Bo17204s010, Bo6g076000, Bo09183s010, Bo1g150110, Bo3g030210, Bo3g093390, Bo10550s010, Bo7g055820, Bo7g026660, Bo6g014480, Bo10111s010, Bo15164s010, Bo8g097950, Bo23745s010, Bo1g051750, Bo2g029060, Bo5g091820, Bo7g038970, Bo3g051040, Bo09521s010, Bo12579s010, Bo6g080880, Bo4g125780, Bo4g125770, Bo10260s010, Bo13377s010, Bo8g089970, Bo16015s010, Bo5g057140, Bo4g077020, Bo1g105500, Bo07519s010, Bo3g083630, Bo20653s010, Bo9g062570, Bo13417s010, Bo9g102430, Bo03418s010, Bo9g102440, Bo9g061570, Bo1g076830, Bo2g162940, Bo6g094110, Bo1g108380, Bo5g072350, Bo07736s010, Bo2g012070, Bo13331s010, Bo05334s010, Bo01186s010, Bo3g042660, Bo4g171920, Bo7g058060, Bo4g172930, Bo27833s010, Bo6g033350, Bo4g161410, Bo3g084350, Bo6g033360, Bo4g172920, Bo4g117250, Bo10733s010, Bo9g102420, Bo3g120850, Bo7g021420, Bo7g052700, Bo7g021430, Bo9g102410, Bo03441s010, Bo8g025700, Bo6g037230, Bo00689s050, Bo00689s020, Bo9g133680, Bo7g031450, Bo02157s010, Bo3g138700, Bo6g112920, Bo8g012910, Bo6g054810, Bo9g084450, Bo7g004980, Bo4g085020, Bo6g056060, Bo07128s010, Bo9g097000, Bo6g005690, Bo8g088430, Bo5g137070, Bo04735s010, Bo6g005680, Bo5g043570, Bo1g024400, Bo8g051160, Bo12111s010, Bo10053s010, Bo3g109230, Bo5g129120, Bo03741s010, Bo4g085030	AA86G00008
OG0000007	Bo03143s010	AA467G00002, AA721G00001
OG0000007	Bo8g077150, Bo8g077140, Bo3g127350, Bo5g109770, Bo5g063010, Bo06761s010, Bo7g092650, Bo24491s010, Bo7g031410	AA858G00003
OG0000007	Bo9g037170, Bo1g084650	AA26G00727
OG0000007	Bo08195s010, Bo02953s010, Bo01226s020, Bo02075s010, Bo02723s010, Bo01002s050, Bo00763s110, Bo7g045380, Bo4g154030, Bo5g035220, Bo19756s010, Bo7g012880, Bo23665s010, Bo03046s010, Bo2g089960, Bo3g083390, Bo5g091610, Bo9g150240, Bo01884s020, Bo3g123830, Bo9g150350, Bo3g083380, Bo2g132090	AA82G00007
OG0000007	Bo8g050820, Bo2g131840, Bo01403s020, Bo4g013450, Bo8g050810, Bo4g161290, Bo4g186650, Bo1g078960, Bo04562s010, Bo5g021000, Bo2g095400, Bo11682s010, Bo2g062470, Bo4g078420, Bo3g091890, Bo1g025870, Bo5g122800, Bo6g030820, Bo6g077780, Bo5g132200, Bo1g019080, Bo5g070740, Bo1g060440, Bo3g053180, Bo00826s040, Bo00826s050, Bo3g053190, Bo6g027530, Bo8g016400	AA1017G00003
OG0000007	Bo00870s010	AA118G00023, AA1017G00004, AA1017G00001
OG0000007	Bo06956s010, Bo6g026250, Bo9g150360, Bo6g098670, Bo00986s030, Bo01092s030	AA82G00006
OG0000009	Bo9g058260	AA81G00011, AA52G00020, AA361G00002, AA36G00058, AA93G00036, AA12G00153, AA82G00020, AA60G00004, AA60G00115, AA22G00078, AA12G00152, AA70G00010, AA105G00010, AA342G00004, AA87G00400, AA56G00078, AA61G00026, AA57G00403, AA40G00332, AA33G00293, AA44G00709, AA123G00095, AA58G00005, AA93G00288, AA66G00014, AA61G00004, AA263G00002, AA79G00005, AA55G00039, AA102G00146, AA71G00006, AA128G00012, AA29G00231, AA2373G00001
OG0000009	Bo4g101260	AA946G00001
OG0000011	Bo3g164050, Bo7g107740, Bo7g107710, Bo7g107730, Bo3g164040, Bo3g164020, Bo7g081210, Bo4g186200, Bo3g018390, Bo9g171440, Bo3g007580, Bo9g059350, Bo3g006960, Bo3g006980, Bo3g006990, Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380, Bo9g029360, Bo9g058520	AA29G00226
OG0000014	Bo6g074660, Bo22660s010, Bo6g074690, Bo6g074710, Bo6g074670, Bo4g108500, Bo6g074730, Bo04151s010, Bo6g074680, Bo6g074650	AA61G00259, AA70G00018, AA61G00258, AA61G00256, AA102G00309, AA102G00307, AA61G00261, AA61G00260, AA61G00257
OG0000016	Bo3g012880, Bo3g012910, Bo2g014180, Bo2g014150, Bo2g136230, Bo2g014200	AA53G00298, AA53G00297
OG0000019	Bo4g066920	AA32G00796
OG0000019	Bo6g042340, Bo3g078550, Bo6g042330, Bo6g026350, Bo8g059690	AA93G00031
OG0000019	Bo3g017850, Bo3g017830, Bo2g025550, Bo2g025570, Bo3g017920, Bo2g025540, Bo9g139570, Bo9g140580, Bo3g017890, Bo2g026580, Bo9g140650	AA97G00020
OG0000019	Bo6g118790, Bo3g131510	AA16G00053
OG0000019	Bo4g167990	AA32G00797, AA32G00794
OG0000019	Bo5g008290	AA90G00072, AA1016G00004, AA113G00014
OG0000023	Bo5g041310, Bo5g041300, Bo5g041270, Bo9g159680, Bo9g123390, Bo8g109220, Bo8g108970, Bo2g137160, Bo2g137180, Bo01367s010, Bo3g162480, Bo7g003450, Bo1g118830, Bo8g027420, Bo9g151810, Bo9g151800, Bo6g034510, Bo02936s010, Bo8g066040, Bo7g093630, Bo7g116410	AA134G00047, AA26G00632, AA26G00624, AA98G00002, AA26G00629, AA26G00628, AA26G00630, AA762G00001, AA26G00627
OG0000023	Bo4g187050	AA29G00248
OG0000024	Bo4g034680, Bo7g089600	AA65G00084
OG0000025	Bo7g072780, Bo6g099770, Bo6g099760	AA544G00003, AA477G00002, AA12G00018, AA12G00020, AA12G00019, AA616G00003, AA427G00002
OG0000029	Bo6g087940, Bo4g071960, Bo9g183390, Bo7g009860, Bo3g002060, Bo9g183190, Bo9g183290, Bo9g183280, Bo3g002120, Bo5g116970, Bo5g116980, Bo1g006480, Bo14002s010, Bo00828s100, Bo01919s010, Bo00828s080, Bo00828s120, Bo5g118920, Bo5g120120, Bo00828s090, Bo9g074630, Bo4g025440, Bo4g025430, Bo1g087640, Bo9g053310, Bo9g053300, Bo9g053320, Bo9g053280, Bo9g183270	AA19G00269
OG0000030	Bo9g036930, Bo4g094380	AA53G01417
OG0000032	Bo6g121540, Bo4g137060, Bo6g058880	AA84G00010, AA57G00056
OG0000032	Bo2g055200, Bo02126s010, Bo2g055150, Bo6g103470, Bo6g102400	AA84G00011
OG0000033	Bo8g079520, Bo8g079390, Bo8g062680, Bo6g010640, Bo5g017050, Bo5g016990, Bo8g108270, Bo8g107600	AA65G00173, AA65G00170, AA78G00024, AA65G00233, AA65G00229, AA65G00232, AA65G00231, AA65G00230, AA129G00013, AA65G00279, AA65G00278, AA65G00281, AA65G00280, AA181G00005, AA65G00269, AA65G00268
OG0000033	Bo8g062620, Bo8g062630	AA65G00276
OG0000034	Bo1g078360	AA111G00008, AA117G00006, AA90G00074, AA369G00003, AA82G00012, AA369G00002, AA117G00005, AA82G00011, AA355G00002, AA90G00073, AA117G00001
OG0000034	Bo3g089900	AA824G00002, AA357G00004, AA46G00154, AA394G00012, AA665G00002, AA132G00002, AA161G00003, AA161G00002, AA71G00024, AA55G00075, AA63G00052, AA341G00002, AA61G00052, AA748G00002, AA28G00019, AA28G00003, AA253G00001, AA28G00004, AA109G00016, AA227G00001, AA90G00009, AA22G00088, AA251G00008, AA371G00003, AA113G00007, AA145G00007, AA118G00059, AA71G00014, AA371G00004, AA58G00026, AA425G00003, AA22G00095, AA35G00053, AA58G00027, AA76G00017, AA509G00001, AA196G00008, AA6G00017, AA131G00065, AA144G00011, AA196G00007, AA285G00001, AA75G00026, AA131G00029, AA257G00003, AA824G00003, AA70G00013, AA134G00011, AA22G00027, AA176G00002, AA57G00407, AA150G00007, AA50G00005, AA150G00006, AA205G00002, AA946G00003, AA357G00003, AA131G00057, AA219G00002, AA137G00002, AA91G00014, AA219G00003, AA92G00015
OG0000034	Bo5g057290	AA54G00358, AA68G00051, AA1056G00001, AA90G00002, AA90G00001, AA65G00131, AA215G00011, AA22G00086, AA70G00028, AA37G00010, AA70G00029, AA362G00002, AA52G00004, AA66G00007, AA41G00058, AA66G00006, AA131G00064, AA374G00003, AA394G00007, AA39G00744, AA827G00001, AA40G00041, AA40G00027, AA61G00039, AA54G00006, AA87G00151, AA185G00002, AA53G00046, AA28G00013, AA168G00029, AA742G00003
OG0000034	Bo6g001050	AA50G00021, AA371G00001
OG0000034	Bo00871s050	AA69G00022
OG0000034	Bo3g044740	AA46G00150, AA31G00014, AA282G00003, AA145G00012, AA246G00003, AA46G00022, AA246G00004, AA69G00023, AA135G00003, AA75G00004, AA246G00012, AA176G00004, AA168G00013, AA428G00002, AA665G00003, AA296G00002, AA82G00024, AA126G00001, AA40G00018, AA51G00027, AA22G00104, AA30G00242, AA22G00105, AA168G00014, AA4G00022, AA1114G00001, AA73G00018, AA424G00001, AA355G00001, AA348G00002, AA367G00003, AA127G00009, AA246G00001, AA120G00016
OG0000036	Bo6g064500, Bo1g102070, Bo5g083770, Bo1g102080, Bo2g158740, Bo1g031750, Bo9g054620, Bo6g054770, Bo7g049840, Bo9g141010	AA461G00001
OG0000037	Bo4g121630, Bo8g083100, Bo4g187100, Bo4g030350, Bo3g031870, Bo1g040130	AA62G00013
OG0000037	Bo1g116200, Bo5g117040, Bo3g071760	AA26G00546
OG0000037	Bo3g018230, Bo3g117300	AA16G00045
OG0000037	Bo2g026760, Bo1g070760	AA97G00002
OG0000037	Bo3g005290	AA44G00244
OG0000040	Bo9g162990	AA40G00443
OG0000040	Bo1g139500, Bo7g042340, Bo5g064350, Bo1g139480	AA49G00027, AA230G00005, AA201G00003, AA230G00002, AA87G00338, AA87G00325, AA94G00015, AA87G00340, AA87G00324, AA87G00333, AA87G00329, AA87G00335, AA87G00323, AA87G00334, AA87G00337, AA87G00339, AA87G00327, AA87G00330, AA168G00007, AA168G00005
OG0000043	Bo3g134260	AA96G00004
OG0000043	Bo3g134250, Bo3g184230, Bo3g110840, Bo4g045680, Bo9g151860, Bo3g015190, Bo3g018170, Bo3g018130, Bo1g131070, Bo3g017490, Bo00418s060, Bo3g052730, Bo5g115120, Bo4g038950, Bo3g134690, Bo7g014680, Bo8g081350, Bo4g165460	AA96G00003, AA82G00005, AA16G00126, AA16G00125, AA16G00128, AA16G00121, AA16G00133, AA16G00122, AA16G00124
OG0000044	Bo5g145280, Bo3g134070, Bo4g090390, Bo1g098790, Bo9g040750, Bo01976s010, Bo9g040770, Bo9g040790, Bo4g091420, Bo1g098770, Bo4g107670, Bo4g091490, Bo6g106640, Bo01960s010, Bo9g037270, Bo9g040710, Bo9g040780	AA53G00586
OG0000045	Bo1g033270, Bo1g033210, Bo1g034330, Bo1g034430, Bo7g108510, Bo3g165780, Bo7g108520	AA54G00319, AA57G00519
OG0000045	Bo1g033130, Bo1g033150, Bo7g108570, Bo7g108550, Bo1g033170, Bo8g030610, Bo4g128440, Bo4g133160, Bo7g106580, Bo7g108580, Bo7g108560, Bo8g101290	AA54G00317, AA57G00510, AA57G00517, AA996G00003, AA996G00004, AA54G00318, AA57G00513, AA57G00514
OG0000046	Bo7g106700, Bo8g081460, Bo9g061260, Bo2g014060, Bo9g159740, Bo3g012820	AA40G00319, AA40G00317
OG0000046	Bo9g061330, Bo3g092100	AA6G00084
OG0000046	Bo3g027690, Bo7g070170, Bo7g070210, Bo2g126920	AA31G00206
OG0000046	Bo3g045090, Bo2g126880	AA35G00034
OG0000049	Bo9g134720, Bo5g053530, Bo3g048270, Bo08732s010, Bo8g098410, Bo7g080610, Bo4g065850, Bo7g031480, Bo10344s010, Bo19898s010, Bo2g095060, Bo2g095050, Bo7g087270, Bo3g132750, Bo9g142400, Bo4g135960	AA64G00012, AA51G00011, AA34G00051, AA1054G00002, AA124G00021
OG0000049	Bo4g136210, Bo9g097580, Bo9g118820, Bo7g065590	AA1054G00001
OG0000049	Bo4g073070	AA123G00159
OG0000049	Bo1g040610, Bo9g111320, Bo3g170880, Bo1g040600, Bo9g130690, Bo8g030260	AA78G00046, AA68G00024
OG0000049	Bo11159s010, Bo9g069820, Bo4g154390, Bo3g043030, Bo7g014260, Bo4g078550, Bo4g038810, Bo6g010900, Bo4g107590, Bo6g058790, Bo7g095330, Bo8g027330, Bo7g095320, Bo4g038410, Bo6g058800	AA80G00015
OG0000050	Bo6g086210	AA31G00393
OG0000050	Bo6g086210	AA44G00357
OG0000050	Bo6g086210	AA30G00333
OG0000050	Bo6g086210	AA30G00332
OG0000050	Bo1g003080	AA31G00393
OG0000050	Bo1g003080	AA44G00357
OG0000050	Bo1g003080	AA30G00333
OG0000050	Bo1g003080	AA30G00332
OG0000050	Bo3g006860	AA31G00393
OG0000050	Bo3g006860	AA44G00357
OG0000050	Bo3g006860	AA30G00333
OG0000050	Bo3g006860	AA30G00332
OG0000050	Bo2g149830, Bo2g009840, Bo9g058450, Bo9g018640, Bo9g172190, Bo4g127090	AA151G00009, AA44G00299, AA4G00264
OG0000051	Bo3g004900, Bo2g009070	AA44G00161
OG0000051	Bo2g140300, Bo7g084170	AA53G00909
OG0000051	Bo3g009630, Bo2g011690	AA32G01194
OG0000051	Bo4g140720	AA87G00077
OG0000051	Bo9g098660	AA75G00011
OG0000051	Bo3g112270, Bo01539s020, Bo01539s010, Bo8g077180	AA96G00122
OG0000052	Bo4g085050, Bo1g024410, Bo9g097010, Bo8g088440, Bo6g037220, Bo00689s030, Bo00689s010, Bo1g080150, Bo9g133650, Bo7g031460, Bo1g067340, Bo3g153730, Bo8g025680, Bo3g071640, Bo6g013280, Bo4g122790, Bo8g089960, Bo3g008710, Bo8g051150, Bo1g050660, Bo6g080870, Bo00889s010, Bo8g061180, Bo1g098230, Bo3g138510, Bo6g094100, Bo08068s010, Bo9g117700, Bo1g098720, Bo9g066990, Bo4g137700, Bo4g071840, Bo8g097960, Bo2g148100, Bo01394s010, Bo9g111340, Bo7g114250, Bo7g060230, Bo1g012020, Bo8g079440, Bo9g119110, Bo4g158890, Bo2g082110, Bo2g120630, Bo4g101210	AA167G00004
OG0000053	Bo3g127520	AA8G00226
OG0000053	Bo2g023510	AA32G00928
OG0000053	Bo3g015550	AA32G00928
OG0000053	Bo9g149940	AA32G00928
OG0000053	Bo4g143910, Bo6g100960	AA27G00057
OG0000053	Bo6g055980, Bo8g038230	AA87G00252
OG0000053	Bo1g103630, Bo3g081480	AA17G00089
OG0000054	Bo5g017210, Bo8g062550	AA65G00256
OG0000054	Bo02928s010	AA53G01420
OG0000054	Bo3g037620	AA21G00261
OG0000054	Bo2g055670, Bo3g045820, Bo9g079630	AA6G00302
OG0000054	Bo1g027300	AA6G00304
OG0000057	Bo9g133110	AA44G00654
OG0000057	Bo8g067040	AA39G00025
OG0000057	Bo2g164300	AA96G00063
OG0000057	Bo3g124970	AA74G00033
OG0000057	Bo3g086800	AA412G00001
OG0000057	Bo7g008350, Bo9g027480	AA33G00191
OG0000060	Bo3g017650, Bo3g017110, Bo9g148120	AA8G00298
OG0000060	Bo6g067610	AA19G00290, AA60G00025
OG0000060	Bo8g083030, Bo4g121670	AA62G00022
OG0000060	Bo2g025250, Bo9g140940	AA16G00076, AA97G00039
OG0000060	Bo3g130260	AA16G00072
OG0000062	Bo5g110080, Bo3g074690, Bo4g142380, Bo3g074700, Bo3g074680, Bo5g110090, Bo8g100820, Bo5g110070, Bo1g110130, Bo1g110120, Bo5g111160	AA26G00678, AA26G00677, AA7G00112
OG0000064	Bo7g003750, Bo9g028130, Bo1g017260	AA102G00029
OG0000064	Bo9g059370, Bo7g066830	AA32G00398
OG0000064	Bo8g115720	AA19G00134
OG0000064	Bo3g026490	AA32G00557
OG0000064	Bo8g104800	AA39G00052
OG0000064	Bo3g015200, Bo2g021860	AA8G00155
OG0000064	Bo4g108610, Bo6g074590	AA61G00250
OG0000064	Bo9g056070	AA53G00353
OG0000064	Bo5g009220	AA103G00009
OG0000065	Bo6g119870	AA31G00378
OG0000065	Bo7g067360, Bo9g059850, Bo2g124350	AA6G00166
OG0000065	Bo3g162350, Bo1g022580, Bo7g107230	AA57G00297
OG0000065	Bo4g039350	AA18G00133
OG0000065	Bo9g169510	AA44G00470
OG0000065	Bo7g097420	AA96G00146
OG0000065	Bo4g061410, Bo4g169440	AA32G00741
OG0000068	Bo6g119980, Bo2g086550, Bo6g085070, Bo7g080950, Bo6g015710, Bo8g012800, Bo6g015720, Bo4g106410, Bo4g106400	AA31G00363
OG0000069	Bo2g025530	AA32G00851
OG0000069	Bo2g025530	AA97G00021
OG0000069	Bo2g025530	AA62G00021
