Orthogroup	Brassica_oleracea	Brassica_rapa
OG0000001	Bo3g065720	Bra034707, Bra022059
OG0000001	Bo6g024760, Bo5g076350	Bra040666
OG0000001	Bo3g185160	Bra030863, Bra030864
OG0000001	Bo04419s010	Bra027419
OG0000001	Bo3g028410	Bra031407, Bra023019
OG0000001	Bo9g027360	Bra038551
OG0000001	Bo2g166330	Bra031910
OG0000001	Bo6g103930	Bra004233
OG0000001	Bo5g137930	Bra029800
OG0000001	Bo6g099660	Bra004142
OG0000001	Bo5g103520	Bra031262
OG0000001	Bo4g139980	Bra025591
OG0000001	Bo1g152130, Bo1g152140, Bo1g152150	Bra040143
OG0000001	Bo5g151530	Bra040595
OG0000001	Bo9g006120	Bra036235
OG0000001	Bo9g005830, Bo9g005800, Bo9g005840, Bo9g005560	Bra036288
OG0000002	Bo1g031920, Bo9g152350, Bo7g044960, Bo1g138470, Bo9g036950, Bo4g070520, Bo9g021960, Bo8g007300, Bo6g086280, Bo4g092500, Bo3g147700, Bo4g019810, Bo23299s010, Bo5g128770, Bo1g016690, Bo9g013990, Bo2g021980, Bo5g124950, Bo2g021970, Bo2g009780, Bo6g076830, Bo5g124940, Bo7g042360, Bo5g122550	Bra019403
OG0000002	Bo2g047940, Bo7g088580, Bo02734s010, Bo2g119430, Bo22302s010, Bo9g059080, Bo4g176300, Bo4g030050, Bo9g156160, Bo3g083940, Bo3g066180, Bo9g062670, Bo07182s010, Bo3g066170	Bra031928
OG0000002	Bo3g147710	Bra034933
OG0000002	Bo5g111200, Bo9g135120, Bo4g166560, Bo1g138460	Bra023996
OG0000002	Bo6g118410	Bra037668
OG0000002	Bo9g018820	Bra029538
OG0000002	Bo6g074440, Bo5g025090, Bo6g118420, Bo9g058610, Bo4g083440, Bo2g146140, Bo2g158950, Bo2g146600, Bo2g040110, Bo8g067890, Bo04405s010	Bra010158
OG0000003	Bo3g068890, Bo3g068960	Bra001667
OG0000003	Bo1g120510, Bo1g120520, Bo1g120480	Bra021255
OG0000003	Bo6g039530	Bra038120
OG0000003	Bo9g150280	Bra041001
OG0000003	Bo5g126690, Bo5g126710	Bra027212
OG0000003	Bo5g126740	Bra027213
OG0000003	Bo3g058860	Bra001142
OG0000003	Bo1g122930, Bo1g124800	Bra021212, Bra021154, Bra026369
OG0000003	Bo1g053200, Bo9g164350, Bo1g053180	Bra040098
OG0000003	Bo5g113620	Bra022455
OG0000003	Bo5g107380	Bra035754
OG0000003	Bo2g092410	Bra018376
OG0000003	Bo4g186150	Bra017242
OG0000003	Bo4g186130	Bra017228, Bra041044, Bra041045, Bra017247
OG0000003	Bo05659s010, Bo1g136180, Bo1g134840, Bo1g134860, Bo1g134850	Bra021512
OG0000003	Bo3g084010	Bra013220
OG0000003	Bo00890s010	Bra015026
OG0000003	Bo02791s010, Bo1g012110, Bo01308s030, Bo06333s010	Bra011342
OG0000003	Bo5g055810	Bra023823, Bra040006
OG0000003	Bo3g081360	Bra001883
OG0000003	Bo8g082450	Bra006968
OG0000003	Bo1g101700	Bra028319
OG0000003	Bo5g123020	Bra022218
OG0000003	Bo5g122990, Bo6g112890	Bra016145
OG0000003	Bo4g108630	Bra014584
OG0000004	Bo5g118580, Bo01362s010, Bo6g046600, Bo00434s040, Bo4g081090, Bo2g116910, Bo9g096960, Bo4g070310, Bo9g104680, Bo5g069520, Bo08842s010, Bo00876s030, Bo3g123440, Bo2g092460, Bo01521s010, Bo01444s010, Bo5g121500, Bo00452s170, Bo5g057180, Bo3g122070, Bo9g084560, Bo4g086930, Bo3g123300, Bo4g115490	Bra040911
OG0000004	Bo7g045170, Bo7g007270, Bo4g078780, Bo5g070850, Bo3g149000, Bo3g109520, Bo3g134350, Bo00434s080, Bo5g070690, Bo00767s070, Bo6g003210, Bo5g048690, Bo2g110340, Bo5g069490, Bo4g094280, Bo00770s020, Bo3g123340, Bo8g034000, Bo2g110410, Bo2g110420, Bo7g045160, Bo1g078170, Bo8g034050, Bo2g112890, Bo5g072800, Bo8g011390, Bo8g011400, Bo6g043940, Bo2g116680, Bo1g051780, Bo8g028800, Bo9g038650, Bo8g035400, Bo00686s030, Bo8g036670, Bo7g024110, Bo1g063910, Bo3g118480, Bo4g092840, Bo00709s050, Bo6g043990, Bo2g099210, Bo8g025800, Bo9g079710, Bo4g078280, Bo4g080050, Bo8g019350, Bo3g123260, Bo3g132580, Bo1g078160, Bo8g025570, Bo1g078900	Bra034467
OG0000004	Bo9g097360, Bo9g084720, Bo1g108760, Bo9g081750, Bo9g081930	Bra040353
OG0000004	Bo00817s050, Bo1g126230, Bo1g126180, Bo7g005340, Bo7g004950, Bo7g036440, Bo2g032360, Bo9g033690, Bo24131s010, Bo7g031420, Bo4g103590, Bo8g015060, Bo7g030770, Bo9g068160, Bo4g087090, Bo2g096260, Bo3g141800, Bo7g078770, Bo3g075020, Bo8g026860, Bo4g094290, Bo03951s010, Bo7g016420, Bo20837s010, Bo2g091070, Bo19237s010, Bo00580s010, Bo03051s010, Bo3g081570, Bo2g137170, Bo9g061440, Bo6g072320, Bo3g119530, Bo08712s010, Bo1g101590, Bo00692s040, Bo2g109190, Bo2g130140, Bo9g088400, Bo5g067000, Bo7g030280, Bo2g156310	Bra040616
OG0000004	Bo7g062210, Bo2g055990, Bo5g072810	Bra014624
OG0000004	Bo2g127520, Bo3g100910, Bo3g094220, Bo08153s010, Bo00770s050, Bo3g173620, Bo00709s040, Bo00881s050, Bo1g078230, Bo2g105180, Bo4g059510, Bo00434s140, Bo3g134450, Bo9g095650, Bo07558s010, Bo9g035380, Bo00434s020, Bo9g094040, Bo2g065730, Bo2g115060, Bo4g124070, Bo2g118190, Bo2g091060, Bo9g128560, Bo1g090510, Bo5g112440, Bo4g135890, Bo4g085370, Bo8g027030, Bo5g057260, Bo5g123270, Bo21081s010, Bo5g057280, Bo00709s100, Bo9g089660, Bo5g062320, Bo4g038540, Bo2g088730, Bo01558s020, Bo2g155200, Bo1g114930, Bo8g040910, Bo00908s010, Bo4g100060, Bo3g116210, Bo7g067570, Bo5g070820, Bo5g072850, Bo05510s010, Bo00613s220, Bo04634s010, Bo4g026260, Bo4g107800, Bo7g017430, Bo01328s010, Bo08556s010, Bo5g095650, Bo5g055830, Bo5g070840, Bo1g101600, Bo8g033820, Bo1g086050, Bo5g062330, Bo2g095340, Bo3g073150, Bo3g135900, Bo3g094260, Bo01026s010, Bo4g110920, Bo5g083820, Bo9g028490, Bo02294s010, Bo2g092960, Bo3g110740, Bo6g056370, Bo03210s010, Bo6g087380, Bo2g093500, Bo11291s010, Bo11140s010, Bo4g056160, Bo7g075980, Bo7g038920, Bo3g147720, Bo12574s010, Bo7g028960, Bo4g092800, Bo4g114040, Bo1g053770, Bo6g056360, Bo1g041840, Bo6g065300, Bo8g033670, Bo1g064000, Bo1g063690, Bo01002s010, Bo3g128720, Bo8g024260, Bo1g085940, Bo1g101180, Bo4g086920, Bo6g086200, Bo3g140060, Bo8g049580, Bo07271s010, Bo9g097650, Bo1g053410, Bo1g076930, Bo3g122190, Bo01153s020, Bo8g028920, Bo09170s010, Bo1g025760, Bo1g108490, Bo2g100690, Bo9g091380, Bo5g095640, Bo5g083830, Bo7g022820, Bo9g097130, Bo9g035250, Bo5g121160, Bo8g016530, Bo8g058280, Bo5g086860, Bo3g170440, Bo01378s030, Bo9g071430, Bo1g063940, Bo7g027870, Bo2g097290, Bo1g053400, Bo8g050660, Bo00580s090, Bo9g095720, Bo03664s010, Bo04235s010, Bo4g110930, Bo9g104810, Bo14399s010, Bo2g104700, Bo5g088410, Bo2g104930, Bo09010s010, Bo8g032200, Bo01244s020, Bo1g101780, Bo00709s010, Bo08837s010, Bo00616s110, Bo2g116490, Bo4g149630, Bo9g128490, Bo5g043510, Bo9g136890, Bo4g082370, Bo01982s010, Bo1g085990, Bo01157s010, Bo7g056270, Bo7g030890, Bo8g028650, Bo00881s020, Bo2g127310, Bo2g105160, Bo08498s010, Bo6g064490, Bo3g083540, Bo5g043500, Bo01568s010, Bo6g101150, Bo9g088280, Bo01375s010, Bo1g065060, Bo01053s010, Bo7g081840, Bo7g075950, Bo3g103530, Bo1g098380, Bo5g062200, Bo8g030880, Bo9g084420, Bo2g136830, Bo01200s030, Bo03626s010, Bo5g030720, Bo4g085350, Bo9g066770, Bo4g087140, Bo1g126240, Bo2g075350, Bo4g089320, Bo6g043670, Bo4g144160, Bo22649s010, Bo01979s010, Bo8g033730, Bo3g125030, Bo00285s050, Bo01624s010	Bra028070
OG0000005	Bo9g093770	Bra017773
OG0000005	Bo19419s010	Bra008452
OG0000005	Bo1g005190, Bo3g019830, Bo00879s020	Bra002340
OG0000006	Bo3g031360, Bo4g092660, Bo4g078650	Bra033926
OG0000006	Bo03058s010, Bo8g109450, Bo4g104760	Bra033839, Bra008978
OG0000007	Bo4g085040	Bra033888, Bra033371, Bra021314
OG0000007	Bo12871s010	Bra026883
OG0000007	Bo9g037170	Bra026661
OG0000007	Bo8g030380, Bo8g030390, Bo00706s070, Bo5g080150, Bo3g069020, Bo5g027570, Bo1g087820, Bo2g165570, Bo8g033880, Bo5g118930, Bo5g118940, Bo9g078160, Bo7g113950, Bo6g018730, Bo9g066970, Bo00576s050, Bo00766s030, Bo5g110040, Bo29619s010, Bo05564s010, Bo09951s010, Bo19714s010, Bo2g134200, Bo00766s020, Bo00950s020, Bo7g007280, Bo4g050730, Bo1g101400, Bo10576s010, Bo01181s040, Bo01181s030	Bra037026
OG0000007	Bo8g016410, Bo8g058680, Bo3g066410	Bra023216
OG0000007	Bo1g013230, Bo2g082240, Bo1g005120, Bo1g013220, Bo6g072570, Bo4g096950, Bo6g072560	Bra008093
OG0000008	Bo2g023550	Bra028060
OG0000008	Bo2g097690, Bo5g149900	Bra017367
OG0000008	Bo14145s010	Bra022082
OG0000008	Bo2g037800, Bo04334s010, Bo1g051440, Bo05307s010, Bo03409s010, Bo5g021070	Bra039770
OG0000008	Bo4g107680, Bo2g082250, Bo9g085820, Bo4g150990, Bo4g078670, Bo8g021920, Bo5g111140, Bo4g076830, Bo4g076840, Bo01442s010, Bo9g077870, Bo3g135800, Bo1g064030, Bo5g130560, Bo5g066980, Bo7g101550, Bo5g038600, Bo00834s010, Bo3g173770, Bo5g103400, Bo1g086170, Bo5g071080, Bo7g022760, Bo7g026590, Bo6g047980, Bo5g095690, Bo7g059970, Bo2g052870	Bra023253
OG0000008	Bo09746s010	Bra014168
OG0000008	Bo3g034170, Bo5g025390, Bo6g003460, Bo9g113810, Bo6g031020, Bo3g127620, Bo8g013920, Bo4g128490, Bo8g050450	Bra029916
OG0000008	Bo6g018360, Bo6g033190	Bra020477
OG0000008	Bo9g059500, Bo9g091340, Bo2g098910, Bo7g045050, Bo1g050740, Bo4g092520, Bo4g188010, Bo2g051340, Bo1g017220, Bo8g052810, Bo1g107180, Bo1g030710, Bo6g070050, Bo2g064490, Bo5g105190, Bo01095s020, Bo2g120580, Bo2g064370, Bo1g116330, Bo3g086650, Bo8g052950, Bo7g052760, Bo3g114900, Bo9g054440, Bo9g157310, Bo1g094220, Bo2g047880, Bo4g173570, Bo3g126210, Bo7g021030, Bo1g017230, Bo4g076730, Bo7g025310, Bo4g115320, Bo2g064720, Bo2g116640, Bo3g123390, Bo9g120940, Bo4g052370, Bo2g042000, Bo2g041990, Bo2g149180, Bo5g056000, Bo5g127020, Bo4g029650, Bo3g132520, Bo1g088080, Bo7g098040, Bo6g097090, Bo2g056280, Bo4g125460, Bo1g126100, Bo7g056010, Bo7g005760, Bo1g087460, Bo5g088230, Bo3g123370, Bo3g157180, Bo7g093120, Bo9g125970, Bo8g065430, Bo7g025300, Bo4g111390, Bo3g068360, Bo3g092330, Bo6g095520, Bo01484s010, Bo4g059900, Bo9g030970, Bo3g061640, Bo01696s010, Bo3g044800, Bo9g118800, Bo3g103130, Bo9g156230, Bo8g016450, Bo8g016590, Bo6g074380, Bo5g025580, Bo5g025590, Bo2g038860, Bo7g014760, Bo3g081590, Bo7g056370, Bo3g087200, Bo1g011760, Bo1g102060, Bo9g068070, Bo1g055320, Bo3g164470, Bo5g113760, Bo9g062650, Bo3g162000, Bo5g049390, Bo7g057930, Bo5g115350	Bra032739
OG0000008	Bo4g136610, Bo3g057380, Bo2g155180, Bo3g105760, Bo9g077690, Bo8g033860, Bo3g024740, Bo9g059790, Bo3g078720, Bo4g021610, Bo6g036050, Bo1g102300, Bo2g102000, Bo9g066850, Bo6g067390, Bo3g003420, Bo8g080440, Bo4g179530, Bo3g134170, Bo2g116390, Bo6g009390, Bo9g040800, Bo3g132550, Bo1g026940, Bo4g151500, Bo3g184960, Bo6g005820, Bo8g076720, Bo6g068440, Bo9g109820, Bo5g017300, Bo2g032860, Bo7g048640, Bo1g093010, Bo2g027020, Bo25418s010, Bo06821s010, Bo01020s030, Bo8g027050, Bo7g026840, Bo23021s010, Bo3g003430, Bo01018s010, Bo13233s010, Bo2g024080, Bo3g157290, Bo1g103460, Bo9g059600, Bo26140s010, Bo6g027760, Bo5g088320, Bo3g044480, Bo01114s030, Bo4g119980, Bo4g059710, Bo15251s010, Bo3g127390, Bo16867s010, Bo4g142260, Bo5g104750, Bo7g062350, Bo1g105360, Bo18651s010, Bo2g076930, Bo1g012080, Bo4g127010, Bo3g071530, Bo3g137130, Bo4g108550, Bo1g102430, Bo9g062600, Bo3g092150, Bo06322s010, Bo3g081580, Bo07662s010, Bo7g005250, Bo2g108870, Bo00875s070, Bo7g078650, Bo6g067360, Bo5g043010, Bo7g052970, Bo2g034060, Bo5g025780, Bo04332s010, Bo1g103790, Bo1g131130, Bo8g040980, Bo9g143590, Bo5g071280, Bo2g095700	Bra010335
OG0000009	Bo4g130670, Bo3g157030, Bo12283s010	Bra035928, Bra005621
OG0000009	Bo4g097110, Bo04990s010, Bo4g191090, Bo4g115300, Bo3g044550, Bo8g027470, Bo00947s030, Bo9g009820, Bo2g135990	Bra032789
OG0000009	Bo4g101260	Bra003264
OG0000011	Bo8g050160	Bra010588
OG0000011	Bo3g151470	Bra010663
OG0000011	Bo3g153650, Bo3g153660	Bra010589
OG0000011	Bo8g050130, Bo8g050170	Bra010496
OG0000011	Bo1g057070	Bra039560
OG0000011	Bo3g060780	Bra003997
OG0000011	Bo7g107740	Bra019409
OG0000011	Bo7g107710	Bra019410
OG0000011	Bo7g107730	Bra019413
OG0000011	Bo3g164040, Bo3g164020	Bra020861
OG0000011	Bo9g059350	Bra027510
OG0000011	Bo3g006960, Bo3g006980	Bra006095
OG0000011	Bo3g006990	Bra006556, Bra006094, Bra006146, Bra006093
OG0000011	Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380	Bra036413
OG0000011	Bo9g029360	Bra036417, Bra038872
