Orthogroup	Brassica_oleracea	Arabis_alpina
OG0000002	Bo3g147710, Bo5g111200, Bo9g135120, Bo4g166560, Bo1g138460, Bo8g058100, Bo9g084390, Bo6g118410, Bo9g018820, Bo1g105280	AALP_AAs66013U000100
OG0000002	Bo5g101100, Bo9g084380, Bo8g052870, Bo2g025440, Bo4g191450, Bo7g064420, Bo2g082610, Bo4g052050, Bo4g009340, Bo2g093110, Bo4g032340, Bo00703s050, Bo1g138670, Bo3g032880, Bo16042s010, Bo4g109810, Bo4g098310, Bo3g061460, Bo03173s010, Bo6g031380, Bo4g014650, Bo2g013580, Bo6g016970, Bo6g051140, Bo3g024560, Bo3g107130, Bo31864s010, Bo8g045890, Bo7g080740, Bo9g109860, Bo9g116170, Bo2g147920, Bo1g070630, Bo7g050460, Bo4g118550, Bo8g094340, Bo01073s040, Bo1g105050, Bo7g100520, Bo1g151930, Bo4g002300, Bo6g076960, Bo6g074440, Bo5g025090, Bo6g118420, Bo9g058610, Bo4g083440, Bo2g146140, Bo2g158950, Bo2g146600, Bo2g040110, Bo8g067890, Bo04405s010, Bo4g111020, Bo9g135150, Bo1g017840, Bo6g098860, Bo2g138540, Bo5g036360, Bo8g070270, Bo7g021580, Bo5g017620, Bo2g136320, Bo3g052710, Bo21484s010, Bo9g091260, Bo7g079900, Bo8g095450, Bo5g039780, Bo5g138020, Bo5g030370, Bo2g131410, Bo8g095460, Bo8g107410, Bo7g059480, Bo1g040190, Bo2g041500	AALP_AAs59294U000100
OG0000003	Bo9g150290	AALP_AA3G194500
OG0000003	Bo5g126690, Bo5g126710	AALP_AA3G178100, AALP_AA3G175800
OG0000003	Bo3g058860	AALP_AA3G048600
OG0000003	Bo02074s010, Bo00848s040	AALP_AA8G194400
OG0000003	Bo1g108720, Bo5g107360, Bo5g113620, Bo5g107380, Bo9g040720, Bo2g092410, Bo4g186150, Bo4g186130, Bo05659s010, Bo1g136180, Bo1g134840, Bo1g134860, Bo1g134850	AALP_AA8G091400
OG0000005	Bo3g084400, Bo6g007070	AALP_AA7G135900
OG0000005	Bo7g056290	AALP_AA1G251100
OG0000005	Bo9g093770	AALP_AA8G388700
OG0000005	Bo6g056250, Bo6g001040	AALP_AA8G213400, AALP_AAs44667U000300
OG0000005	Bo9g108230, Bo7g081730	AALP_AA8G053500, AALP_AAs49046U000200, AALP_AAs42267U000100
OG0000005	Bo1g005190, Bo3g019830, Bo00879s020	AALP_AA8G323700
OG0000005	Bo3g017770	AALP_AAs56100U000100
OG0000006	Bo3g031360, Bo4g092660, Bo4g078650, Bo03058s010, Bo8g109450, Bo4g104760	AALP_AA8G430800
OG0000007	Bo8g081380	AALP_AA5G199200
OG0000011	Bo1g057070	AALP_AA3G074000
OG0000011	Bo3g164050, Bo7g107740, Bo7g107710, Bo7g107730, Bo3g164040, Bo3g164020, Bo7g081210, Bo4g186200	AALP_AA7G046500, AALP_AAs73230U000200
OG0000011	Bo3g018390	AALP_AA8G360700
OG0000011	Bo9g171440, Bo3g007580, Bo9g059350, Bo3g006960, Bo3g006980, Bo3g006990	AALP_AAs63547U000100, AALP_AAs63547U000200
OG0000011	Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380, Bo9g029360	AALP_AA5G017300, AALP_AAs58361U000100, AALP_AAs73230U000300, AALP_AA3G033600, AALP_AA8G314200, AALP_AA3G032500, AALP_AA2G135300, AALP_AA5G017400, AALP_AA3G032600, AALP_AA3G032400, AALP_AA3G032700
OG0000013	Bo8g092760	AALP_AA5G165700, AALP_AA5G184800, AALP_AA5G216100
OG0000013	Bo8g020540, Bo6g009320, Bo5g043420, Bo3g085410, Bo8g018090	AALP_AA5G098000
OG0000013	Bo3g168640	AALP_AA3G360300
OG0000013	Bo5g088270	AALP_AA1G315800, AALP_AA1G315900
OG0000014	Bo8g092590, Bo8g092580, Bo8g092620, Bo8g092570, Bo8g092600	AALP_AA5G232300
OG0000014	Bo7g105090, Bo9g164110	AALP_AA5G227700, AALP_AA5G228000
OG0000014	Bo4g108440	AALP_AA5G226800, AALP_AA5G206400, AALP_AA5G206600, AALP_AA3G352100, AALP_AA5G227800, AALP_AA5G227100, AALP_AA5G227000
OG0000014	Bo8g092630	AALP_AA6G178800
OG0000014	Bo4g108500, Bo6g074730	AALP_AA5G229300
OG0000014	Bo04151s010, Bo6g074680, Bo6g074650	AALP_AA5G228800
OG0000015	Bo7g099460	AALP_AA4G114000, AALP_AA3G256000, AALP_AA3G309000, AALP_AA6G065100, AALP_AA7G018100
OG0000015	Bo3g138660, Bo7g089660, Bo1g056570, Bo6g018180, Bo8g079450, Bo00802s040, Bo23988s010, Bo9g181120, Bo8g004710, Bo1g002140, Bo3g021730, Bo8g097790, Bo01477s010, Bo8g108860, Bo6g116300, Bo13088s010, Bo9g163030, Bo4g182830, Bo2g155290, Bo8g117440, Bo1g150030, Bo8g096220, Bo3g037390, Bo2g014220, Bo12018s010, Bo1g144790, Bo1g034400, Bo2g166320, Bo00790s050	AALP_AA8G005400, AALP_AA8G254400
OG0000016	Bo4g130720	AALP_AA4G100300
OG0000016	Bo7g119570	AALP_AA7G266100
OG0000016	Bo9g158560	AALP_AA8G194900
OG0000016	Bo3g012880, Bo3g012910, Bo2g014180, Bo2g014150, Bo2g136230, Bo2g014200	AALP_AA8G196000
OG0000016	Bo3g012890, Bo2g136210, Bo2g014160	AALP_AA8G195200, AALP_AA8G195500, AALP_AA8G193900
OG0000017	Bo2g055560, Bo2g055540, Bo2g007040, Bo3g026550	AALP_AA3G191600, AALP_AA6G076700
OG0000017	Bo9g176950, Bo9g176970, Bo4g176340, Bo4g176330	AALP_AA1G335500
OG0000018	Bo4g070500, Bo9g017820	AALP_AA6G318300
OG0000018	Bo4g142160	AALP_AA8G239800
OG0000018	Bo4g142440, Bo4g142450	AALP_AA6G316100
OG0000018	Bo9g029450, Bo9g034000, Bo9g029500	AALP_AA2G001700, AALP_AA2G002100, AALP_AA2G001800
OG0000018	Bo9g029350, Bo9g035320, Bo9g035300, Bo9g035360	AALP_AA3G061300, AALP_AA3G061400, AALP_AA3G060200, AALP_AA3G061500
OG0000019	Bo6g042340	AALP_AA4G041600
OG0000019	Bo6g042330, Bo6g026350, Bo8g059690	AALP_AA8G474600
OG0000019	Bo3g017850, Bo3g017830, Bo2g025550, Bo2g025570, Bo3g017920, Bo2g025540	AALP_AA8G391800, AALP_AA8G391600, AALP_AA8G392000
OG0000019	Bo9g139570, Bo9g140580	AALP_AA8G390100
OG0000019	Bo3g017890	AALP_AA8G390000
OG0000019	Bo8g113980	AALP_AA1G076100
OG0000023	Bo9g159680, Bo9g123390, Bo8g109220, Bo8g108970, Bo2g137160, Bo2g137180, Bo01367s010, Bo3g162480, Bo7g003450, Bo1g118830, Bo8g027420, Bo9g151810, Bo9g151800, Bo6g034510	AALP_AA6G080600
OG0000029	Bo6g087940	AALP_AA8G021700
OG0000029	Bo4g071960, Bo9g183390, Bo7g009860, Bo3g002060, Bo9g183190, Bo9g183290, Bo9g183280, Bo3g002120	AALP_AAs42163U000200
OG0000029	Bo5g116970, Bo5g116980	AALP_AAs41663U000100
OG0000029	Bo14002s010	AALP_AA4G213100
OG0000030	Bo4g154190, Bo4g154200, Bo3g184090, Bo4g094200, Bo9g029020, Bo5g088340, Bo9g029330	AALP_AA2G029900
OG0000031	Bo2g165600	AALP_AA8G465500
OG0000031	Bo8g089830, Bo8g087200, Bo8g089930, Bo8g089910, Bo8g089900, Bo8g089820, Bo8g087170, Bo8g089840, Bo8g089920, Bo8g087180, Bo8g087190, Bo8g089810	AALP_AA5G194400
OG0000032	Bo6g121540, Bo4g137060, Bo6g058880	AALP_AA6G351400
OG0000032	Bo8g075100, Bo2g055090, Bo2g054070, Bo7g114650	AALP_AA2G085000, AALP_AA8G115600
OG0000032	Bo2g055210	AALP_AA2G085100
OG0000032	Bo2g055170	AALP_AA2G243300
OG0000033	Bo9g028510, Bo4g142510, Bo9g037090, Bo1g094260, Bo9g037120	AALP_AA2G014400, AALP_AA3G336200, AALP_AAs55447U000100, AALP_AA2G014600, AALP_AA2G015600
OG0000033	Bo8g079520, Bo8g079390	AALP_AA5G123500, AALP_AA5G123600
OG0000033	Bo5g017050, Bo5g016990	AALP_AA8G086900, AALP_AA1G131900
OG0000033	Bo8g062620, Bo8g062630	AALP_AA2G014300
OG0000033	Bo8g062700, Bo00758s110, Bo8g108340, Bo8g108350, Bo6g072390, Bo8g108360	AALP_AA1G131300
OG0000037	Bo1g116200, Bo5g117040, Bo3g071760	AALP_AAs41934U000200
OG0000038	Bo7g084030, Bo7g084040, Bo7g084020	AALP_AA6G354700
OG0000038	Bo00751s040	AALP_AA5G040100, AALP_AA5G036900, AALP_AA5G036800
OG0000038	Bo9g008040	AALP_AA5G036700
OG0000038	Bo5g049130	AALP_AA8G448900, AALP_AA3G045900, AALP_AA1G046900, AALP_AA5G156600
OG0000038	Bo4g161340, Bo4g161360, Bo4g197420	AALP_AA8G168300
OG0000039	Bo7g108600	AALP_AAs67984U000300
OG0000039	Bo6g048250, Bo1g031850, Bo3g165690, Bo3g165700, Bo1g031830, Bo7g108650	AALP_AA7G059500
OG0000039	Bo3g084330	AALP_AA7G060200
OG0000039	Bo9g092570	AALP_AAs50850U000200
OG0000039	Bo2g155630	AALP_AA6G305600
OG0000040	Bo9g162990	AALP_AA8G176200, AALP_AA8G174700
OG0000040	Bo1g139500	AALP_AA3G132700
OG0000040	Bo4g139760, Bo4g151230, Bo8g100760	AALP_AA2G118800
OG0000040	Bo5g137400, Bo4g139150	AALP_AA3G112600, AALP_AA3G112800, AALP_AA3G112700
OG0000040	Bo6g116690, Bo6g087890, Bo6g087850	AALP_AA3G248300
OG0000041	Bo9g094210, Bo01718s010	AALP_AA5G041400
OG0000042	Bo6g076130, Bo1g116040, Bo4g025310, Bo02116s010	AALP_AA5G239800, AALP_AA5G240300
OG0000042	Bo1g154960	AALP_AA3G024400, AALP_AA3G024600, AALP_AA6G020000
OG0000042	Bo3g093700	AALP_AA3G317500
OG0000042	Bo8g038160, Bo8g038130, Bo3g086910	AALP_AA5G243400, AALP_AA5G241700
OG0000043	Bo3g052730, Bo5g115120, Bo4g038950	AALP_AA5G097000, AALP_AA5G092500
OG0000044	Bo5g145280	AALP_AA3G052900
OG0000044	Bo4g090390, Bo1g098790	AALP_AAs50016U000200
OG0000044	Bo01976s010	AALP_AA2G021700, AALP_AA3G075200
OG0000044	Bo9g040770, Bo9g040790, Bo4g091420, Bo1g098770	AALP_AA2G020700, AALP_AA2G016400, AALP_AA2G016300, AALP_AA2G021800, AALP_AAs60874U000100
OG0000045	Bo1g033270, Bo1g033210	AALP_AA6G028600, AALP_AA7G056300, AALP_AA7G061600, AALP_AA7G061400, AALP_AA8G191500
OG0000045	Bo7g108510, Bo3g165780	AALP_AA6G028000
OG0000045	Bo7g108570, Bo7g108550, Bo1g033170, Bo8g030610	AALP_AAs48628U000100, AALP_AAs43447U000100
OG0000045	Bo7g106580, Bo7g108580, Bo7g108560	AALP_AA7G174300, AALP_AA6G028200
OG0000045	Bo8g101290	AALP_AA6G028400
OG0000046	Bo3g154220, Bo7g117810	AALP_AAs64007U000100, AALP_AAs64007U000500, AALP_AA7G236900
OG0000046	Bo7g106700, Bo8g081460	AALP_AA5G140300
OG0000046	Bo3g012820	AALP_AA8G191200
OG0000046	Bo3g092100	AALP_AA3G328900
OG0000046	Bo7g070250	AALP_AAs46094U000200
OG0000046	Bo3g027690, Bo7g070170, Bo7g070210	AALP_AA6G131200
OG0000046	Bo2g126920	AALP_AAs46094U000400
OG0000048	Bo01020s020, Bo12788s010, Bo6g032980, Bo8g001440, Bo7g065160, Bo21564s010, Bo01819s010, Bo01828s010, Bo01817s010	AALP_AA2G183700, AALP_AA8G459300
OG0000048	Bo3g153840, Bo6g095600, Bo3g162090, Bo3g110910, Bo3g110930	AALP_AA6G029600
OG0000048	Bo6g095610, Bo4g044080, Bo6g098660, Bo5g030450, Bo9g070330, Bo7g062270, Bo5g017330, Bo01805s020, Bo3g106910, Bo9g123570, Bo1g052860, Bo7g067010, Bo2g083730, Bo8g112620, Bo9g061150, Bo6g095730, Bo5g123770, Bo5g048910, Bo01805s010	AALP_AA5G271800, AALP_AAs73464U000100
OG0000048	Bo6g031360, Bo17257s010, Bo00534s030, Bo5g069460, Bo6g095130, Bo01347s030, Bo3g088460, Bo6g024840, Bo3g049880, Bo2g031350, Bo7g081070, Bo6g003250, Bo7g081060, Bo2g130000, Bo4g044210, Bo3g157250, Bo2g131790, Bo9g133230, Bo9g166540, Bo1g141520, Bo3g176070, Bo2g085170, Bo7g005940, Bo3g180940, Bo4g103650, Bo4g053870, Bo9g035210, Bo9g037210, Bo6g037240, Bo4g053880, Bo7g087060, Bo3g092090, Bo9g035200, Bo8g030600, Bo7g026720, Bo3g010680, Bo3g039930, Bo13896s010, Bo10343s010, Bo5g129160, Bo9g070380, Bo8g016610, Bo01038s040, Bo9g090750, Bo2g064580, Bo3g078590, Bo9g032100, Bo01834s010, Bo01604s020, Bo6g031350, Bo1g098390, Bo00932s050, Bo09601s010, Bo2g149380, Bo9g042270, Bo3g042200, Bo5g039120, Bo7g059930, Bo2g041170, Bo3g039250, Bo2g160580, Bo5g039110, Bo1g091700, Bo8g066390, Bo5g018060, Bo3g139840, Bo4g116800, Bo8g066380	AALP_AAs49867U000100
OG0000050	Bo6g086210	AALP_AA2G198300
OG0000050	Bo1g003080	AALP_AA2G198300
OG0000050	Bo3g006860	AALP_AA2G198300
OG0000050	Bo6g086210	AALP_AA6G242400
OG0000050	Bo1g003080	AALP_AA6G242400
OG0000050	Bo3g006860	AALP_AA6G242400
OG0000050	Bo2g149830	AALP_AA1G095700
OG0000050	Bo2g009840	AALP_AA1G095700
OG0000050	Bo9g058450	AALP_AA1G095700
OG0000050	Bo9g018640	AALP_AA1G095700
OG0000050	Bo9g172190	AALP_AA1G095700
OG0000050	Bo4g127090	AALP_AA1G095700
OG0000050	Bo2g149830	AALP_AA8G099100
OG0000050	Bo2g009840	AALP_AA8G099100
OG0000050	Bo9g058450	AALP_AA8G099100
OG0000050	Bo9g018640	AALP_AA8G099100
OG0000050	Bo9g172190	AALP_AA8G099100
OG0000050	Bo4g127090	AALP_AA8G099100
OG0000050	Bo2g149830	AALP_AA8G487900
OG0000050	Bo2g009840	AALP_AA8G487900
OG0000050	Bo9g058450	AALP_AA8G487900
OG0000050	Bo9g018640	AALP_AA8G487900
OG0000050	Bo9g172190	AALP_AA8G487900
OG0000050	Bo4g127090	AALP_AA8G487900
OG0000050	Bo2g149830	AALP_AA8G487700
OG0000050	Bo2g009840	AALP_AA8G487700
OG0000050	Bo9g058450	AALP_AA8G487700
OG0000050	Bo9g018640	AALP_AA8G487700
OG0000050	Bo9g172190	AALP_AA8G487700
OG0000050	Bo4g127090	AALP_AA8G487700
OG0000050	Bo2g149830	AALP_AA8G099000
OG0000050	Bo2g009840	AALP_AA8G099000
OG0000050	Bo9g058450	AALP_AA8G099000
OG0000050	Bo9g018640	AALP_AA8G099000
OG0000050	Bo9g172190	AALP_AA8G099000
OG0000050	Bo4g127090	AALP_AA8G099000
OG0000051	Bo3g004900, Bo2g009070	AALP_AA8G080900
OG0000051	Bo2g140300, Bo7g084170	AALP_AA5G038000
OG0000051	Bo5g153890	AALP_AA3G010700
OG0000051	Bo3g009630, Bo2g011690	AALP_AA8G141200
OG0000051	Bo5g153900	AALP_AA3G010600
OG0000051	Bo3g112270, Bo01539s020, Bo01539s010	AALP_AA5G109200
OG0000053	Bo2g023510	AALP_AA5G069900
OG0000053	Bo3g015550	AALP_AA5G069900
OG0000053	Bo9g149940	AALP_AA5G069900
OG0000053	Bo6g055980, Bo8g038230	AALP_AAs70636U001500
OG0000053	Bo1g103630, Bo3g081480	AALP_AA3G262000
OG0000053	Bo8g091060	AALP_AA8G238300
OG0000053	Bo3g035400	AALP_AA4G194800
OG0000053	Bo6g072350	AALP_AA4G194800
OG0000053	Bo4g112740	AALP_AA4G194800
OG0000053	Bo3g035400	AALP_AA5G210400
OG0000053	Bo6g072350	AALP_AA5G210400
OG0000053	Bo4g112740	AALP_AA5G210400
OG0000054	Bo5g017210, Bo8g062550	AALP_AA1G129700
OG0000054	Bo02928s010, Bo9g037220	AALP_AA8G178400
OG0000054	Bo4g050960, Bo3g045750, Bo07665s010	AALP_AA6G185200
OG0000054	Bo3g037620	AALP_AA4G240600
OG0000054	Bo1g027300	AALP_AA7G051200
OG0000057	Bo9g133110	AALP_AA8G362400
OG0000057	Bo3g124970	AALP_AA5G067500
OG0000057	Bo3g086800	AALP_AA3G306500
OG0000057	Bo7g008350, Bo9g027480	AALP_AA3G353600
OG0000060	Bo3g040070, Bo4g166700, Bo4g069220	AALP_AA6G220100
OG0000060	Bo3g017650, Bo3g017110, Bo9g148120	AALP_AA8G405800
OG0000060	Bo6g067610	AALP_AA8G015300, AALP_AA3G100500
OG0000060	Bo8g083030, Bo4g121670	AALP_AA5G168600
OG0000060	Bo2g025250	AALP_AA8G395500
OG0000060	Bo3g130260	AALP_AA5G084100, AALP_AA5G084300
OG0000061	Bo3g064000	AALP_AAs68437U000100, AALP_AA3G121400, AALP_AA3G076300, AALP_AA3G076400, AALP_AA3G068700, AALP_AA3G108600, AALP_AA8G310400, AALP_AA1G219300
OG0000062	Bo5g110090	AALP_AA3G231600, AALP_AA8G485600
OG0000062	Bo8g100820	AALP_AA3G231200, AALP_AA5G078700, AALP_AA5G035800
OG0000062	Bo5g111160	AALP_AA7G094400
OG0000064	Bo7g003750, Bo9g028130	AALP_AA3G369800, AALP_AA3G256100
OG0000064	Bo8g115720	AALP_AA1G035800
OG0000064	Bo8g104800	AALP_AA1G194000
OG0000064	Bo3g015200, Bo2g021860	AALP_AA8G226900
OG0000064	Bo5g009220	AALP_AA1G091000
OG0000065	Bo6g119870	AALP_AA2G200900
OG0000065	Bo7g067360, Bo9g059850, Bo2g124350	AALP_AA6G140100
OG0000065	Bo3g162350, Bo1g022580, Bo7g107230	AALP_AA7G033000
OG0000065	Bo4g039350	AALP_AA4G115600
OG0000065	Bo7g097420	AALP_AA8G414100
OG0000065	Bo4g061410, Bo4g169440	AALP_AA1G232100
OG0000065	Bo3g116270, Bo3g134050, Bo3g107240	AALP_AA5G090900, AALP_AA8G459200
OG0000066	Bo7g103970	AALP_AA1G008400, AALP_AA1G005600
OG0000066	Bo9g174470	AALP_AA8G037600
OG0000066	Bo7g055800	AALP_AA4G073300, AALP_AA4G073200
OG0000066	Bo6g066340	AALP_AA5G003700
OG0000068	Bo3g155390	AALP_AA1G220400, AALP_AA5G237300
OG0000068	Bo6g119980, Bo2g086550, Bo6g085070	AALP_AA2G203200
OG0000068	Bo6g015710, Bo8g012800, Bo6g015720	AALP_AA4G072500, AALP_AA4G072600
OG0000068	Bo4g106410, Bo4g106400	AALP_AA5G254800, AALP_AA5G254700
OG0000069	Bo2g025530	AALP_AA1G077500
OG0000069	Bo3g017820	AALP_AA1G077500
OG0000069	Bo4g166750	AALP_AA1G077500
OG0000069	Bo3g040050	AALP_AA1G077500
OG0000069	Bo3g031810	AALP_AA1G077500
OG0000069	Bo3g130250	AALP_AA1G077500
OG0000069	Bo5g008410	AALP_AA1G077500
OG0000069	Bo4g030440	AALP_AA1G077500
OG0000069	Bo8g010850	AALP_AA1G077500
OG0000069	Bo8g112850	AALP_AA1G077500
OG0000069	Bo4g069210	AALP_AA1G077500
OG0000069	Bo6g120620	AALP_AA1G077500
OG0000069	Bo2g025530	AALP_AA4G151600
OG0000069	Bo3g017820	AALP_AA4G151600
OG0000069	Bo4g166750	AALP_AA4G151600
OG0000069	Bo3g040050	AALP_AA4G151600
OG0000069	Bo3g031810	AALP_AA4G151600
OG0000069	Bo3g130250	AALP_AA4G151600
OG0000069	Bo5g008410	AALP_AA4G151600
OG0000069	Bo4g030440	AALP_AA4G151600
OG0000069	Bo8g010850	AALP_AA4G151600
OG0000069	Bo8g112850	AALP_AA4G151600
OG0000069	Bo4g069210	AALP_AA4G151600
OG0000069	Bo6g120620	AALP_AA4G151600
OG0000069	Bo2g025530	AALP_AA5G083600
OG0000069	Bo3g017820	AALP_AA5G083600
OG0000069	Bo4g166750	AALP_AA5G083600
OG0000069	Bo3g040050	AALP_AA5G083600
OG0000069	Bo3g031810	AALP_AA5G083600
OG0000069	Bo3g130250	AALP_AA5G083600
OG0000069	Bo5g008410	AALP_AA5G083600
OG0000069	Bo4g030440	AALP_AA5G083600
OG0000069	Bo8g010850	AALP_AA5G083600
OG0000069	Bo8g112850	AALP_AA5G083600
OG0000069	Bo4g069210	AALP_AA5G083600
OG0000069	Bo6g120620	AALP_AA5G083600
OG0000069	Bo2g025530	AALP_AA5G170000
OG0000069	Bo3g017820	AALP_AA5G170000
OG0000069	Bo4g166750	AALP_AA5G170000
OG0000069	Bo3g040050	AALP_AA5G170000
OG0000069	Bo3g031810	AALP_AA5G170000
OG0000069	Bo3g130250	AALP_AA5G170000
OG0000069	Bo5g008410	AALP_AA5G170000
OG0000069	Bo4g030440	AALP_AA5G170000
OG0000069	Bo8g010850	AALP_AA5G170000
OG0000069	Bo8g112850	AALP_AA5G170000
OG0000069	Bo4g069210	AALP_AA5G170000
OG0000069	Bo6g120620	AALP_AA5G170000
OG0000069	Bo2g025530	AALP_AA5G083900
OG0000069	Bo3g017820	AALP_AA5G083900
OG0000069	Bo4g166750	AALP_AA5G083900
OG0000069	Bo3g040050	AALP_AA5G083900
OG0000069	Bo3g031810	AALP_AA5G083900
OG0000069	Bo3g130250	AALP_AA5G083900
OG0000069	Bo5g008410	AALP_AA5G083900
OG0000069	Bo4g030440	AALP_AA5G083900
OG0000069	Bo8g010850	AALP_AA5G083900
OG0000069	Bo8g112850	AALP_AA5G083900
OG0000069	Bo4g069210	AALP_AA5G083900
OG0000069	Bo6g120620	AALP_AA5G083900
OG0000069	Bo2g025530	AALP_AA8G392100
OG0000069	Bo3g017820	AALP_AA8G392100
OG0000069	Bo4g166750	AALP_AA8G392100
OG0000069	Bo3g040050	AALP_AA8G392100
OG0000069	Bo3g031810	AALP_AA8G392100
OG0000069	Bo3g130250	AALP_AA8G392100
OG0000069	Bo5g008410	AALP_AA8G392100
OG0000069	Bo4g030440	AALP_AA8G392100
OG0000069	Bo8g010850	AALP_AA8G392100
OG0000069	Bo8g112850	AALP_AA8G392100
OG0000069	Bo4g069210	AALP_AA8G392100
OG0000069	Bo6g120620	AALP_AA8G392100
OG0000069	Bo2g025530	AALP_AA8G395900
OG0000069	Bo3g017820	AALP_AA8G395900
OG0000069	Bo4g166750	AALP_AA8G395900
OG0000069	Bo3g040050	AALP_AA8G395900
OG0000069	Bo3g031810	AALP_AA8G395900
OG0000069	Bo3g130250	AALP_AA8G395900
OG0000069	Bo5g008410	AALP_AA8G395900
OG0000069	Bo4g030440	AALP_AA8G395900
OG0000069	Bo8g010850	AALP_AA8G395900
OG0000069	Bo8g112850	AALP_AA8G395900
OG0000069	Bo4g069210	AALP_AA8G395900
OG0000069	Bo6g120620	AALP_AA8G395900
OG0000070	Bo1g002200, Bo7g119560	AALP_AA7G266200
OG0000070	Bo8g101930	AALP_AA2G165700
OG0000070	Bo9g026290, Bo7g012710, Bo3g093920	AALP_AA3G340300
OG0000070	Bo8g050070, Bo7g117780, Bo1g005930	AALP_AA7G235900
OG0000070	Bo6g086220, Bo6g119730	AALP_AA2G198100
OG0000070	Bo7g062200, Bo5g027790	AALP_AA1G217300
OG0000070	Bo7g017530, Bo3g091420	AALP_AA3G326200
