Orthogroup	Brassica_oleracea	Camelina_sativa
OG0000002	Bo4g183300, Bo4g191270, Bo9g076550, Bo9g046450, Bo3g091560, Bo8g058930, Bo1g011470, Bo00576s150, Bo6g048080, Bo01294s010, Bo1g050950, Bo5g140150, Bo3g087120, Bo4g176010, Bo5g123720, Bo9g024480, Bo1g028470, Bo5g041280, Bo9g117510, Bo24326s010, Bo9g181220, Bo7g065570, Bo22585s010, Bo8g082010, Bo3g076300, Bo2g092340, Bo7g096500, Bo3g003550, Bo6g017000, Bo3g179480, Bo8g067180, Bo2g136810, Bo1g047990, Bo5g025180, Bo4g026440, Bo9g070090, Bo2g053990, Bo6g055880, Bo3g107290, Bo9g010840, Bo1g101740, Bo5g075210, Bo9g151680, Bo5g111170, Bo9g154100, Bo9g171840, Bo4g080020, Bo4g081190, Bo6g084820, Bo4g187950, Bo7g084350, Bo6g042360, Bo2g155120, Bo4g050940, Bo4g134670, Bo7g048350, Bo2g134150, Bo15445s010, Bo7g093290, Bo7g102570, Bo7g101500, Bo1g134350, Bo7g067460, Bo3g045760, Bo4g050980, Bo4g094160, Bo1g053380, Bo1g122760, Bo4g059570, Bo2g050430, Bo2g012480, Bo6g039830, Bo8g016820	Csa05g089860
OG0000002	Bo2g085100, Bo2g085290, Bo1g040050, Bo3g088440, Bo2g130270, Bo4g094400, Bo8g097540, Bo8g094740, Bo4g117010, Bo2g062820, Bo1g122770	Csa11g051460
OG0000002	Bo2g007310, Bo4g133450, Bo8g051570, Bo00285s480, Bo1g046590, Bo5g139980, Bo12205s010, Bo3g171040, Bo7g049910, Bo2g012710, Bo9g024280, Bo6g099360, Bo2g024370, Bo6g074520, Bo5g013610, Bo3g086940, Bo8g050550, Bo6g018150, Bo3g037470, Bo1g059330, Bo1g148930, Bo19462s010, Bo4g013180, Bo5g027830, Bo3g043190, Bo9g035260, Bo5g019470, Bo9g117240, Bo7g106770, Bo6g086400, Bo2g076780, Bo2g017620, Bo6g110990, Bo9g174590, Bo2g041390, Bo3g153570, Bo9g024540, Bo1g003690, Bo7g081610, Bo3g155680, Bo8g080700, Bo4g177990, Bo4g034560, Bo1g049560, Bo8g081120, Bo4g190150, Bo18421s010, Bo1g028460, Bo6g064800, Bo7g088720, Bo6g015760, Bo1g098700, Bo9g091290, Bo5g010840, Bo1g138410, Bo1g150450, Bo7g061950, Bo3g074480, Bo5g027910, Bo9g137260, Bo1g008540, Bo16268s010, Bo7g030620, Bo4g188330, Bo9g114030, Bo8g059250, Bo3g173500, Bo7g105480, Bo9g034140, Bo7g073950, Bo9g034150, Bo2g062550, Bo5g017630, Bo00826s010, Bo06402s010, Bo4g034520, Bo3g170910, Bo9g070040, Bo4g021160, Bo6g116290, Bo2g132460, Bo5g104690, Bo6g119320, Bo4g136850, Bo9g022560, Bo9g067060, Bo7g075430, Bo1g082410, Bo8g028600, Bo1g030690, Bo1g017190, Bo4g026560, Bo4g108160, Bo9g135330, Bo4g056190, Bo9g084320, Bo8g047230, Bo2g075660, Bo1g058830, Bo8g088460, Bo1g123060, Bo8g040590, Bo22078s010, Bo5g131920, Bo11601s010, Bo18126s010, Bo01132s020, Bo01160s030, Bo2g144990, Bo01153s030, Bo3g116260, Bo5g030220, Bo5g020630, Bo1g058840, Bo8g015190, Bo15908s010, Bo9g151710, Bo4g084980, Bo9g017660	Csa13g055950, Csa00899s010, Csa15g044320
OG0000002	Bo7g044970	Csa07g063850
OG0000002	Bo6g074440, Bo5g025090, Bo6g118420, Bo9g058610, Bo4g083440, Bo2g146140, Bo2g158950, Bo2g146600, Bo2g040110, Bo8g067890, Bo04405s010	Csa17g090350
OG0000003	Bo3g068890, Bo3g068960, Bo1g120510, Bo1g120520, Bo1g120480	Csa15g023770, Csa01g020240, Csa19g024700, Csa19g024690
OG0000003	Bo6g039530, Bo9g150280, Bo3g157320	Csa04g028970
OG0000003	Bo5g126690, Bo5g126710	Csa01g018650, Csa15g020760
OG0000003	Bo5g126740	Csa09g048840
OG0000003	Bo3g058860	Csa20g028990, Csa13g022270
OG0000003	Bo02074s010, Bo00848s040	Csa19g054170, Csa01g032420, Csa20g078390
OG0000003	Bo3g068740, Bo3g068790	Csa15g023560, Csa15g023570, Csa15g023580, Csa01g020100, Csa01g020110
OG0000003	Bo01050s030	Csa19g013200
OG0000003	Bo1g053200, Bo9g164350, Bo1g053180	Csa15g050310, Csa15g030590, Csa19g028250, Csa19g024970, Csa15g024090, Csa01g020520, Csa15g016900
OG0000003	Bo3g085640, Bo3g085630	Csa15g050300
OG0000003	Bo1g108720, Bo5g107360, Bo5g113620, Bo5g107380	Csa15g031050, Csa19g028680, Csa01g023780, Csa01g023760, Csa19g028670, Csa01g023750, Csa15g031040, Csa15g031060
OG0000003	Bo9g040720	Csa11g082460
OG0000003	Bo05659s010, Bo1g136180, Bo1g134840, Bo1g134860, Bo1g134850	Csa01g016180, Csa15g018010, Csa19g019300, Csa06g019970, Csa04g028930, Csa09g041290, Csa19g019000, Csa15g017760, Csa01g015970
OG0000003	Bo8g082630	Csa15g018310
OG0000003	Bo6g114390, Bo5g115470	Csa19g031570
OG0000003	Bo3g084010	Csa01g031370, Csa14g034620, Csa15g054160, Csa19g039310
OG0000003	Bo1g099970, Bo00890s010, Bo02791s010, Bo1g012110, Bo01308s030, Bo06333s010	Csa01g030260
OG0000003	Bo3g081360	Csa15g039390, Csa15g040400, Csa19g031970, Csa19g031980, Csa01g025950, Csa19g031960, Csa14g063900, Csa17g093720, Csa17g093710, Csa01g025960, Csa01g025970, Csa15g040430
OG0000003	Bo7g014090	Csa15g040550
OG0000003	Bo8g082450	Csa02456s010
OG0000003	Bo3g028700, Bo3g029810, Bo1g101700	Csa15g039380, Csa15g057100, Csa15g057120, Csa07688s010, Csa01g036780, Csa20g017830, Csa01g036750, Csa15g057110
OG0000005	Bo7g056290	Csa03g029750
OG0000007	Bo4g085040, Bo8g081970, Bo7g021450, Bo7g060220, Bo7g031300, Bo5g082700, Bo9g111360, Bo3g170500, Bo9g102260, Bo4g158900, Bo1g144590, Bo17204s010, Bo6g076000, Bo09183s010, Bo1g150110, Bo3g030210, Bo3g093390, Bo10550s010, Bo7g055820, Bo7g026660, Bo6g014480, Bo10111s010, Bo15164s010, Bo8g097950, Bo23745s010, Bo1g051750, Bo2g029060, Bo5g091820, Bo7g038970, Bo3g051040, Bo09521s010, Bo12579s010, Bo6g080880, Bo4g125780, Bo4g125770, Bo10260s010, Bo13377s010, Bo8g089970, Bo16015s010, Bo5g057140, Bo4g077020, Bo1g105500, Bo07519s010, Bo3g083630, Bo20653s010, Bo9g062570, Bo13417s010, Bo9g102430, Bo03418s010, Bo9g102440, Bo9g061570, Bo1g076830, Bo2g162940, Bo6g094110, Bo1g108380, Bo5g072350, Bo07736s010, Bo2g012070, Bo13331s010, Bo05334s010, Bo01186s010, Bo3g042660, Bo4g171920, Bo7g058060, Bo4g172930, Bo27833s010, Bo6g033350, Bo4g161410, Bo3g084350, Bo6g033360, Bo4g172920, Bo4g117250, Bo10733s010, Bo9g102420, Bo3g120850, Bo7g021420, Bo7g052700, Bo7g021430, Bo9g102410, Bo03441s010, Bo8g025700, Bo6g037230, Bo00689s050, Bo00689s020, Bo9g133680, Bo7g031450, Bo02157s010, Bo3g138700, Bo6g112920, Bo8g012910, Bo6g054810, Bo9g084450, Bo7g004980, Bo4g085020, Bo6g056060, Bo07128s010, Bo9g097000, Bo6g005690, Bo8g088430, Bo5g137070, Bo04735s010, Bo6g005680, Bo5g043570, Bo1g024400, Bo8g051160, Bo12111s010, Bo10053s010, Bo3g109230, Bo5g129120, Bo03741s010, Bo4g085030, Bo12871s010, Bo20270s010, Bo2g061300, Bo1g051760, Bo01959s010, Bo5g141410, Bo1g084750, Bo4g119700, Bo5g082520, Bo3g089860, Bo2g050930, Bo7g021180, Bo01985s010, Bo8g083540, Bo2g133980, Bo6g066350, Bo5g082500, Bo04493s010, Bo8g081380, Bo01663s010, Bo8g002580, Bo09928s010, Bo8g021850, Bo5g048380, Bo7g059450, Bo01598s010, Bo9g133030, Bo5g014760, Bo5g066950, Bo4g085080, Bo6g114620, Bo6g068420, Bo7g026780, Bo10034s010, Bo04707s010, Bo5g098670, Bo8g049500, Bo00884s070, Bo3g151480, Bo5g118610, Bo00817s040, Bo5g080120, Bo5g025300, Bo5g118600, Bo03143s010, Bo8g077150, Bo8g077140, Bo3g127350, Bo5g109770, Bo5g063010, Bo06761s010, Bo7g092650, Bo24491s010, Bo7g031410, Bo00986s010, Bo2g115140, Bo5g082490	Csa20g073340
OG0000007	Bo8g030380, Bo8g030390, Bo00706s070, Bo5g080150, Bo3g069020, Bo5g027570, Bo1g087820, Bo2g165570, Bo8g033880, Bo5g118930, Bo5g118940, Bo9g078160, Bo7g113950, Bo6g018730, Bo9g066970, Bo00576s050, Bo00766s030, Bo5g110040, Bo29619s010, Bo05564s010, Bo09951s010, Bo19714s010, Bo2g134200, Bo00766s020, Bo00950s020, Bo7g007280, Bo4g050730, Bo1g101400, Bo10576s010, Bo01181s040, Bo01181s030	Csa04g033470
OG0000007	Bo00870s010	Csa02g035830
OG0000009	Bo9g045300	Csa12g022600
OG0000009	Bo3g107920, Bo7g059380, Bo9g117660	Csa12g039420, Csa09g007230, Csa05g038740, Csa19g031300, Csa13g043430, Csa14g034670
OG0000011	Bo3g164050, Bo7g107740, Bo7g107710, Bo7g107730, Bo3g164040, Bo3g164020, Bo7g081210, Bo4g186200	Csa12g036160
OG0000011	Bo9g171440, Bo3g007580, Bo9g059350, Bo3g006960, Bo3g006980, Bo3g006990	Csa13g014040, Csa20g016690, Csa08g002380, Csa20g016680, Csa13g013990
OG0000011	Bo5g136450, Bo1g153320, Bo1g153280, Bo1g153380, Bo9g029360	Csa01g031700, Csa12g084390, Csa04g024310, Csa09g034510, Csa09g034500, Csa05g018420, Csa09g050290, Csa09g050260, Csa06g017220, Csa04g024330, Csa09g085130, Csa11g034840, Csa05g036920, Csa19g006030, Csa09g050230
OG0000012	Bo1g101660	Csa11g044830, Csa03g025230
OG0000013	Bo8g092760	Csa06g025910, Csa04g044080, Csa09g070070, Csa04g044060, Csa09g070060, Csa06g033310, Csa04g044050, Csa16g032320, Csa07g037620, Csa09g072030
OG0000013	Bo6g009320, Bo5g043420, Bo3g085410, Bo8g018090	Csa03g051060
OG0000013	Bo3g168640	Csa03g034320, Csa17g047400
OG0000013	Bo5g088270	Csa14g039150, Csa17g047420, Csa03g056800, Csa08g049630, Csa13g053460, Csa17g047410, Csa03g034340, Csa14g038800, Csa17g048520, Csa14g039040, Csa17g048510, Csa03g034470, Csa17g048580, Csa14g039130, Csa17g048430, Csa03g034350, Csa17g048610, Csa14g038930, Csa17g048600, Csa03g038300, Csa03g053920, Csa17g055390, Csa17g055530, Csa17g039250, Csa14g042970
OG0000013	Bo1g024280	Csa03g036510, Csa17g050510
OG0000014	Bo6g074640	Csa09g070910, Csa06g034100
OG0000014	Bo8g092590, Bo8g092580, Bo8g092620, Bo8g092570, Bo8g092600	Csa09g071000, Csa06g034200
OG0000014	Bo4g108440	Csa04g024570, Csa06g018410, Csa06g017410, Csa05g033400, Csa09g035710, Csa04g024580
OG0000014	Bo4g108480	Csa04g044940, Csa04g044920
OG0000014	Bo8g092630	Csa04g044860, Csa09g070930, Csa06g034150
OG0000014	Bo6g074780	Csa04g044930, Csa13g002490
OG0000014	Bo4g108500, Bo6g074730	Csa04g044890, Csa09g070980
OG0000014	Bo04151s010, Bo6g074680, Bo6g074650	Csa09g070970, Csa06g034170, Csa04g044880
OG0000014	Bo3g173530	Csa03g034820, Csa17g060930, Csa03g034860, Csa14g039390, Csa17g060900, Csa14g039410, Csa17g060910, Csa09g011780, Csa06g006930, Csa09g011800, Csa09g011790, Csa20g032030, Csa06g006920
OG0000015	Bo3g101130, Bo01401s010, Bo01374s030, Bo1g006200, Bo9g003880, Bo2g048020, Bo1g011240, Bo7g081940, Bo7g043670, Bo9g169070, Bo7g084160, Bo5g122960, Bo2g044710, Bo6g003320, Bo6g077530, Bo3g149540, Bo7g012760, Bo8g066400, Bo09761s010, Bo6g079980, Bo4g151120, Bo5g082620, Bo8g092440, Bo2g146200, Bo6g098820, Bo7g107020, Bo8g079590, Bo6g116240, Bo1g117530, Bo3g026390, Bo3g034990, Bo7g091410, Bo5g002940, Bo5g018120, Bo2g134280, Bo8g101790, Bo6g027930, Bo7g056040, Bo7g062130, Bo7g108970	Csa18g009210
OG0000015	Bo8g059050, Bo8g017960	Csa11g056050
OG0000015	Bo6g065160	Csa09g009230
OG0000016	Bo4g130720	Csa00382s030, Csa12g061670
OG0000016	Bo7g119570	Csa12g001650, Csa10g001570, Csa11g001750
OG0000016	Bo9g158560	Csa13g020940, Csa08g010480, Csa20g026370, Csa08g029840
OG0000016	Bo2g136220, Bo2g014130, Bo9g157520, Bo2g136240, Bo2g014270, Bo2g014230, Bo2g014190, Bo3g012950, Bo2g014170, Bo2g014140, Bo2g014210, Bo3g012870, Bo2g014250, Bo3g012900, Bo3g012920, Bo9g159650, Bo9g157510, Bo9g157550, Bo9g158570, Bo3g012890, Bo2g136210, Bo2g014160	Csa08g010470, Csa13g037900, Csa20g057370, Csa20g026340, Csa08g029820, Csa13g037890, Csa13g020960, Csa08g010370, Csa20g026390, Csa08g010500, Csa20g057390, Csa20g026300, Csa08g010380, Csa13g020910, Csa08g010400, Csa08g010440, Csa13g020900, Csa13g020870, Csa08g010430, Csa20g026410, Csa20g026330, Csa08g029810, Csa20g026360, Csa08g010460, Csa13g020930
OG0000017	Bo5g090520, Bo3g040540	Csa17g071580, Csa14g050920
OG0000017	Bo3g109560	Csa11g057580, Csa12g079660, Csa12g079640, Csa11g057590, Csa10g047230
OG0000017	Bo8g077820, Bo8g077790, Bo8g077800	Csa04g034910, Csa09g051770, Csa09g051990, Csa09g051930, Csa06g023470, Csa04g034450, Csa04g034880, Csa06g023460
OG0000017	Bo2g007040	Csa06g005770, Csa05g028000, Csa09g009550, Csa06g005760, Csa04g011550
OG0000017	Bo9g176950, Bo9g176970, Bo4g176340, Bo4g176330	Csa05g029740, Csa07g011400, Csa07g011360, Csa16g012180, Csa07g011390, Csa05g029730, Csa07g011370, Csa15g002260, Csa01g002180, Csa19g004710, Csa05g009580, Csa06g048000, Csa04g057470
OG0000017	Bo4g177740, Bo4g177950, Bo4g188690, Bo4g177940, Bo4g178000, Bo4g177770, Bo1g104890, Bo5g131630, Bo4g177930, Bo4g177960, Bo4g178010, Bo4g177780, Bo4g179270, Bo4g177750, Bo4g177810, Bo5g003710, Bo4g195170, Bo4g169460, Bo4g178020	Csa01g029740, Csa15g047280, Csa19g035660
OG0000017	Bo1g057420, Bo1g057440, Bo1g057450	Csa07g010030, Csa16g008800, Csa16g009140, Csa05g025630, Csa05g025660, Csa05g025680
OG0000017	Bo00944s010	Csa11g055070, Csa16g009150, Csa07g010420
OG0000018	Bo6g065250	Csa02g054840, Csa10g050020
OG0000018	Bo4g070500, Bo9g017820, Bo6g065260	Csa02g054900
OG0000018	Bo9g029350, Bo9g035320, Bo9g035300, Bo9g035360	Csa09g098570
OG0000018	Bo9g034100	Csa07g063320
OG0000018	Bo4g096860	Csa07g065580, Csa07g023960
OG0000019	Bo6g042340	Csa17g080720, Csa03g054920
OG0000019	Bo3g078550	Csa15g031760, Csa19g029400
OG0000019	Bo3g017830	Csa02g065350, Csa11g093470, Csa16g028850
OG0000019	Bo2g025550, Bo2g025570, Bo3g017920	Csa02g065380
OG0000019	Bo2g025540	Csa11g093500
OG0000019	Bo2g026580, Bo9g140650	Csa02g065360
OG0000019	Bo3g162240	Csa11g025770
OG0000019	Bo4g065900	Csa16g015940, Csa07g015400, Csa05g035270
OG0000019	Bo4g167990	Csa16g015980, Csa16g015990
OG0000019	Bo5g008290	Csa17g010920, Csa03g010950
OG0000019	Bo8g113980	Csa17g010950, Csa14g008940, Csa03g010980
OG0000023	Bo6g076430	Csa09g052780
OG0000023	Bo5g041310, Bo5g041300, Bo5g041270	Csa19g040230, Csa13g012100, Csa20g015630, Csa08g054220, Csa17g072660
OG0000023	Bo8g109220, Bo8g108970, Bo2g137160, Bo2g137180, Bo01367s010, Bo3g162480	Csa17g015310, Csa14g014000, Csa03g014910
OG0000023	Bo7g003450, Bo1g118830, Bo8g027420, Bo9g151810, Bo9g151800	Csa10g025190, Csa12g042670, Csa15g071560, Csa01g035160, Csa10g025180, Csa19g050370
OG0000023	Bo6g034510	Csa03g025320, Csa17g028760, Csa00578s010, Csa14g031190, Csa17g032300, Csa14g027150, Csa03g025810
OG0000023	Bo7g093630	Csa14g016670, Csa17g018980, Csa03g017440, Csa17g016960, Csa19g039720, Csa15g055640, Csa17g015960, Csa03g016510, Csa03g015550, Csa14g015680, Csa14g014690, Csa19g043400, Csa01g036230, Csa15g064300, Csa03g018140, Csa03g018130, Csa17g019820, Csa14g017420, Csa12g011780, Csa11g010080, Csa10g009190, Csa20g023490, Csa08g008110, Csa20g023500, Csa13g018770, Csa08g008430, Csa20g024420, Csa08g008720, Csa17g033800, Csa17g033870, Csa17g040610, Csa03g031980, Csa14g036400
OG0000023	Bo4g187050	Csa15g003470, Csa09g071010, Csa19g005780
OG0000024	Bo9g148170	Csa20g037540
OG0000024	Bo1g087950, Bo9g048820	Csa16g018240, Csa05g052410, Csa07g017880, Csa05g052240, Csa16g018250
OG0000024	Bo9g008940, Bo1g090360	Csa16g017830, Csa14g059390, Csa12g044430, Csa07g017450
OG0000024	Bo9g046560	Csa07g017360, Csa05g050880
OG0000024	Bo3g087240	Csa07g017920, Csa16g018270, Csa05g052440, Csa07g017460, Csa12g044420, Csa02153s010
OG0000029	Bo7g009860, Bo3g002060	Csa08g061930, Csa20g002710, Csa20g003110, Csa20g002820, Csa08g061980, Csa08g061990, Csa08g061530
OG0000029	Bo14002s010	Csa05g064800, Csa07g027870
OG0000029	Bo4g025440	Csa11g068560
OG0000029	Bo4g025430	Csa05g013730, Csa04g053470, Csa06g043440, Csa04g054480, Csa04g054500, Csa04g054510, Csa05g012620, Csa06g045140, Csa05g012000, Csa04g054490
OG0000029	Bo1g087640, Bo9g053310, Bo9g053300, Bo9g053320, Bo9g053280	Csa20g002970, Csa20g002980, Csa20g002960
OG0000029	Bo9g183270	Csa20g002950, Csa08g061710, Csa13g002830
OG0000030	Bo23196s010, Bo8g092480, Bo3g084220	Csa10g003230
OG0000030	Bo9g032220	Csa21378s010
OG0000030	Bo4g154200, Bo3g184090, Bo4g094200, Bo9g029020	Csa11g065660
OG0000030	Bo5g088340	Csa09g097820, Csa02301s010, Csa07g064410, Csa09g097810, Csa16g055620, Csa07g065080, Csa09g098390, Csa09g098220, Csa09g097600, Csa07g063990, Csa09g097320, Csa07g063060, Csa09g097290, Csa07g064880, Csa09g070720, Csa16096s010, Csa07g065320, Csa09g098210, Csa03g016640, Csa07g064910
OG0000030	Bo9g029330	Csa05g062090, Csa17g098610, Csa07g026170
OG0000031	Bo6g042410, Bo5g081350, Bo4g137360, Bo3g025250	Csa11g053530, Csa10g044690, Csa12g084020, Csa12g083940, Csa12g081590, Csa12g083960, Csa12g083930
OG0000031	Bo2g165600	Csa10g046710, Csa12g081600, Csa11g055870
OG0000031	Bo01080s020, Bo9g070180, Bo9g124850, Bo8g089830, Bo8g087200, Bo8g089930, Bo8g089910, Bo8g089900, Bo8g089820, Bo8g087170, Bo8g089840, Bo8g089920, Bo8g087180, Bo8g087190, Bo8g089810	Csa04g041080, Csa09g064690, Csa06g029410
OG0000032	Bo4g137060, Bo6g058880	Csa12g086530, Csa11g052050, Csa10g043200
OG0000032	Bo2g055260	Csa16g030880
OG0000032	Bo2g055090	Csa07g032260, Csa00495s120, Csa16g026610, Csa16g026710, Csa07g032200, Csa07g032240, Csa16g026670
OG0000032	Bo2g055210	Csa05g079620
OG0000032	Bo2g055200, Bo02126s010, Bo2g055150, Bo6g103470, Bo6g102400	Csa07g032100, Csa05g079610, Csa16g025480, Csa11g089270, Csa07g032090, Csa16g025510
OG0000032	Bo2g054020, Bo6g102390, Bo1g053730	Csa07g032080, Csa31641s010, Csa05g079590
OG0000032	Bo2g055170	Csa05g079780, Csa05g079730, Csa07g032170
OG0000032	Bo1g019330	Csa11g030300, Csa06g046730
OG0000032	Bo7g105860, Bo7g105830	Csa06g046700, Csa11g030260
OG0000032	Bo9g163940	Csa08094s010, Csa17g059580, Csa08g007740
OG0000032	Bo4g065730, Bo4g137070, Bo2g136130, Bo4g137080, Bo6g059890, Bo5g043300, Bo5g043320, Bo5g043330	Csa10g043280
OG0000032	Bo6g103460, Bo6g103440	Csa10006s010
OG0000033	Bo9g028510, Bo4g142510, Bo9g037090, Bo1g094260, Bo9g037120	Csa07g063890, Csa09g097240, Csa07g063900, Csa16g055330, Csa09g097220, Csa07g063880, Csa09g097200, Csa09g097300, Csa16g055320
OG0000033	Bo8g062680, Bo6g010640	Csa17g016520, Csa17g016500
OG0000033	Bo8g062620, Bo8g062630	Csa17g016100, Csa17g016510
OG0000033	Bo8g062700, Bo00758s110, Bo8g108340, Bo8g108350, Bo6g072390, Bo8g108360	Csa03g015940, Csa14g015130, Csa17g016400
OG0000033	Bo8g108280	Csa14g015220
OG0000035	Bo07619s010	Csa11g083370, Csa04g009290, Csa13g043520, Csa08g063650, Csa08g063660, Csa03g034310, Csa03g027860, Csa06g005280, Csa00427s030, Csa11g060100, Csa01g040210, Csa07g023410
OG0000035	Bo8g023130, Bo6g079720, Bo6g072550, Bo5g131820, Bo8g050760, Bo1g037480, Bo5g115630, Bo4g144060, Bo7g067220, Bo3g151270, Bo3g168730, Bo7g030910, Bo5g023720, Bo01158s010, Bo3g184330, Bo4g151070, Bo3g093510, Bo5g118570, Bo4g183450, Bo3g026660, Bo1g037030, Bo4g116820, Bo3g132560, Bo3g165770, Bo9g117380, Bo8g079800, Bo5g027100, Bo5g123010, Bo8g092450, Bo5g123440, Bo8g079980, Bo4g026200, Bo5g019820, Bo3g074730, Bo3g040580, Bo4g140890, Bo8g082550, Bo4g185960, Bo4g039110, Bo9g035350, Bo6g073010, Bo6g081500, Bo2g127660, Bo3g029930, Bo3g044870, Bo3g184350, Bo7g031550, Bo5g034940, Bo4g098600, Bo3g068240, Bo2g032610, Bo1g119280, Bo3g027880, Bo6g108500, Bo4g043560, Bo5g132050, Bo4g084770, Bo3g088710, Bo4g151010, Bo4g029980, Bo3g123840, Bo8g054620, Bo8g036730, Bo3g143930, Bo7g014220, Bo5g055820, Bo9g112760, Bo01177s010, Bo4g088230, Bo1g024200, Bo2g085350, Bo3g100550, Bo5g045260, Bo01195s030, Bo3g052830, Bo6g069800, Bo3g162620, Bo7g052720, Bo1g065120, Bo4g116970, Bo5g069570, Bo00685s040, Bo00891s010, Bo7g005400, Bo4g117080, Bo9g094360, Bo7g097700, Bo4g053740, Bo4g179400, Bo3g149440, Bo9g028730, Bo8g032150	Csa01601s010
OG0000036	Bo6g064500, Bo1g102070, Bo5g083770, Bo1g102080, Bo2g158740, Bo1g031750, Bo9g054620, Bo6g054770, Bo7g049840, Bo9g141010	Csa11g044840
OG0000037	Bo4g121630, Bo8g083100, Bo4g187100, Bo4g030350, Bo3g031870, Bo1g040130	Csa04g051240, Csa05g016060, Csa04g039780, Csa06g028220, Csa06g040380
OG0000037	Bo1g116200	Csa19g026200
OG0000037	Bo1g116200	Csa01g021690
OG0000037	Bo5g117040	Csa19g026200
OG0000037	Bo5g117040	Csa01g021690
OG0000037	Bo5g134740	Csa01g013210, Csa19g016340, Csa15g015990
OG0000037	Bo3g018230, Bo3g117300	Csa04g029280, Csa09g042590, Csa06g020290, Csa02g065080
OG0000037	Bo9g173750	Csa20g013000, Csa13g011500, Csa08g054840
OG0000038	Bo7g084030, Bo7g084040, Bo7g084020	Csa04g013590, Csa06g006690, Csa04g013580
OG0000038	Bo00751s040, Bo9g008040	Csa18g002560
OG0000038	Bo9g008050	Csa07g023950, Csa05g061860
OG0000038	Bo9g012620	Csa04g038580, Csa09g059820
OG0000038	Bo5g049130	Csa06g025660, Csa04g037320, Csa09g058560
OG0000038	Bo8g082120	Csa04g038560, Csa09g059790, Csa06g027060, Csa09g059800, Csa04g038570
