Orthogroup	Brassica_oleracea	Eutrema_salsugineum
OG0000012	Bo1g101660, Bo00703s100, Bo00893s030, Bo00703s110, Bo10669s010, Bo3g052100, Bo3g120740, Bo8g016220, Bo9g079620, Bo2g134680, Bo6g046830, Bo4g092750, Bo1g086090, Bo7g009480, Bo9g033900, Bo2g115090, Bo1g094420, Bo7g009470, Bo2g104620, Bo2g086650, Bo3g130000, Bo2g127530, Bo9g054460, Bo1g094410, Bo9g066650, Bo6g054820, Bo8g039510, Bo7g049850, Bo2g026990, Bo9g058560, Bo1g051600, Bo7g080820, Bo2g025580, Bo2g116420, Bo9g061380, Bo9g018120, Bo1g051610, Bo2g027050, Bo3g137140, Bo6g055830, Bo6g083340, Bo19250s010, Bo6g087530, Bo1g007310, Bo8g094800, Bo3g002730, Bo9g015180, Bo8g067370, Bo7g098810, Bo1g076880, Bo5g004540, Bo6g064950, Bo7g031020, Bo6g092920, Bo3g114990, Bo3g111190, Bo00737s040, Bo7g021680, Bo5g005090, Bo8g080640, Bo4g117110, Bo5g048870, Bo1g016570, Bo8g059300, Bo6g081860, Bo2g013950, Bo7g067510, Bo2g013460, Bo5g049030, Bo8g052760, Bo4g024210, Bo2g100330, Bo1g057680, Bo7g021160, Bo5g148210, Bo5g105040, Bo4g195340, Bo1g057000, Bo7g101080, Bo3g101620, Bo7g030540, Bo9g073140, Bo9g022370, Bo9g090710, Bo6g083640, Bo3g047170, Bo6g003260, Bo1g005050, Bo3g019660, Bo3g127300, Bo5g062440, Bo5g065850, Bo1g138730, Bo2g023570, Bo6g029460, Bo2g126830, Bo3g045730, Bo4g085060, Bo6g033200, Bo9g133440, Bo4g061520, Bo8g054260, Bo3g113410, Bo1g037350, Bo00578s050, Bo8g117850, Bo5g111120, Bo5g155170, Bo9g109810, Bo4g074150, Bo2g057590, Bo9g026040, Bo1g014520, Bo4g158650, Bo1g067410, Bo4g184640, Bo4g152950, Bo7g009840, Bo3g081260, Bo9g171540, Bo5g151550, Bo4g126990, Bo2g124390, Bo8g016910, Bo7g092710, Bo6g064930, Bo5g010460, Bo8g081760, Bo9g023780, Bo7g075150, Bo5g064440, Bo9g152010, Bo9g151610, Bo7g103800, Bo8g089850, Bo7g095770, Bo8g065190, Bo5g010660, Bo8g068040, Bo6g064610, Bo9g166420, Bo7g059760, Bo3g026930, Bo4g139890, Bo4g137170, Bo8g065180, Bo8g076690, Bo2g009230, Bo4g026810, Bo1g105220, Bo2g109290, Bo1g003140, Bo00805s010, Bo8g076380, Bo2g149260, Bo3g185150, Bo1g087670, Bo4g173770, Bo4g045740, Bo8g117800, Bo4g139830, Bo6g120400, Bo3g060540, Bo3g045680, Bo4g186330, Bo7g041010, Bo3g027280, Bo3g061000, Bo2g102070, Bo8g077010, Bo1g101550, Bo4g084970, Bo3g163900, Bo4g140740, Bo4g151610, Bo4g092530, Bo8g038010, Bo2g055740, Bo2g055430, Bo3g175140, Bo8g070400, Bo9g064110, Bo8g021760, Bo3g091810, Bo2g061340, Bo6g049380, Bo1g025460, Bo9g022440, Bo2g048130, Bo8g047200, Bo5g054570, Bo2g146510, Bo7g100540, Bo1g047880, Bo3g164380, Bo5g023490, Bo8g110870, Bo9g117450, Bo1g030720, Bo1g029620, Bo9g165790, Bo9g022210, Bo6g046530, Bo8g048290, Bo2g145000, Bo7g088800, Bo00579s160, Bo1g039690, Bo2g083750, Bo01337s010, Bo9g159800, Bo1g011420, Bo9g153910, Bo5g133250, Bo7g065780, Bo5g041140, Bo4g050660, Bo5g069550, Bo3g157240, Bo8g050990, Bo2g092630, Bo3g073100, Bo7g054420, Bo9g152390, Bo3g152810, Bo4g094110, Bo6g015630, Bo3g078800, Bo4g120570, Bo1g091750, Bo5g048780, Bo02037s010, Bo2g047490, Bo1g053440, Bo3g094100, Bo3g108090, Bo2g064340, Bo1g019270, Bo3g155450, Bo16122s010, Bo9g066710, Bo1g053430, Bo7g054350, Bo8g011500, Bo8g035440, Bo01222s010, Bo15464s010, Bo8g091220, Bo4g059990, Bo7g055840, Bo2g072930, Bo5g071070, Bo1g021750, Bo5g117100, Bo6g064840, Bo2g061240, Bo5g061040, Bo9g142310, Bo1g078980, Bo1g102090, Bo7g031770	EUTSA_v10000500mg
OG0000013	Bo8g092760	EUTSA_v10006464mg
OG0000013	Bo6g009320, Bo5g043420, Bo3g085410, Bo8g018090	EUTSA_v10012217mg, EUTSA_v10012070mg, EUTSA_v10012242mg
OG0000013	Bo3g168640	EUTSA_v10009610mg
OG0000013	Bo5g088270	EUTSA_v10007859mg, EUTSA_v10019467mg, EUTSA_v10009733mg, EUTSA_v10009883mg
OG0000013	Bo4g026940, Bo4g026920	EUTSA_v10009303mg, EUTSA_v10009630mg, EUTSA_v10009823mg
OG0000014	Bo6g074640	EUTSA_v10006412mg
OG0000014	Bo8g092590, Bo8g092580, Bo8g092620, Bo8g092570, Bo8g092600	EUTSA_v10028053mg
OG0000014	Bo4g108440	EUTSA_v10006467mg, EUTSA_v10016883mg
OG0000014	Bo4g108480	EUTSA_v10006437mg
OG0000014	Bo4g108500, Bo6g074730	EUTSA_v10010958mg
OG0000015	Bo7g099460	EUTSA_v10002209mg
OG0000015	Bo3g138660, Bo7g089660, Bo1g056570, Bo6g018180, Bo8g079450, Bo00802s040, Bo23988s010, Bo9g181120, Bo8g004710, Bo1g002140, Bo3g021730, Bo8g097790, Bo01477s010, Bo8g108860, Bo6g116300, Bo13088s010, Bo9g163030, Bo4g182830, Bo2g155290, Bo8g117440, Bo1g150030, Bo8g096220, Bo3g037390, Bo2g014220, Bo12018s010, Bo1g144790, Bo1g034400, Bo2g166320, Bo00790s050	EUTSA_v10002835mg, EUTSA_v10002326mg, EUTSA_v10024129mg, EUTSA_v10029405mg, EUTSA_v10027466mg, EUTSA_v10000609mg, EUTSA_v10023819mg, EUTSA_v10023022mg, EUTSA_v10011157mg, EUTSA_v10011015mg, EUTSA_v10003494mg, EUTSA_v10019636mg
OG0000015	Bo3g107950	EUTSA_v10023927mg
OG0000015	Bo6g065160, Bo6g039980, Bo6g066390, Bo6g034500, Bo7g110670, Bo1g004950, Bo9g141270, Bo8g117180, Bo3g002540, Bo4g179370, Bo1g013170, Bo8g019360	EUTSA_v10019721mg
OG0000016	Bo4g130720	EUTSA_v10027048mg
OG0000016	Bo7g119570	EUTSA_v10027066mg
OG0000016	Bo9g158560	EUTSA_v10015141mg
OG0000016	Bo2g014130, Bo9g157520	EUTSA_v10015121mg
OG0000016	Bo2g014170, Bo2g014140, Bo2g014210	EUTSA_v10002886mg
OG0000016	Bo2g014250	EUTSA_v10015858mg
OG0000016	Bo3g012890, Bo2g136210, Bo2g014160	EUTSA_v10015119mg, EUTSA_v10015118mg, EUTSA_v10015117mg
OG0000017	Bo5g093440	EUTSA_v10012370mg
OG0000017	Bo3g109560	EUTSA_v10011121mg
OG0000017	Bo8g077820, Bo8g077790, Bo8g077800	EUTSA_v10010942mg, EUTSA_v10010425mg, EUTSA_v10011009mg, EUTSA_v10011080mg, EUTSA_v10011044mg
OG0000017	Bo2g055560, Bo2g055540	EUTSA_v10020859mg, EUTSA_v10022123mg, EUTSA_v10019461mg, EUTSA_v10019545mg, EUTSA_v10019719mg
OG0000017	Bo2g007040, Bo3g026550	EUTSA_v10017547mg
OG0000017	Bo1g057420, Bo1g057440, Bo1g057450	EUTSA_v10025406mg, EUTSA_v10027150mg
OG0000018	Bo6g065250	EUTSA_v10028296mg
OG0000018	Bo4g142160	EUTSA_v10027631mg, EUTSA_v10027763mg
OG0000018	Bo4g142440, Bo4g142450	EUTSA_v10028092mg
OG0000018	Bo9g045310	EUTSA_v10023884mg
OG0000018	Bo9g034100	EUTSA_v10023230mg
OG0000018	Bo9g034110	EUTSA_v10000509mg, EUTSA_v10000647mg, EUTSA_v10000695mg
OG0000018	Bo4g096860	EUTSA_v10018052mg
OG0000019	Bo4g066920	EUTSA_v100177840mg, EUTSA_v10016342mg, EUTSA_v10016220mg
OG0000019	Bo6g042340	EUTSA_v10011224mg
OG0000019	Bo3g078550	EUTSA_v10020016mg
OG0000019	Bo6g042330	EUTSA_v10011228mg
OG0000019	Bo6g026350, Bo8g059690	EUTSA_v10011227mg, EUTSA_v10011248mg, EUTSA_v10011230mg
OG0000019	Bo3g017850	EUTSA_v10012629mg
OG0000019	Bo2g025570, Bo3g017920	EUTSA_v10012663mg
OG0000019	Bo2g025540	EUTSA_v10012638mg
OG0000019	Bo2g026580, Bo9g140650	EUTSA_v10012805mg
OG0000019	Bo6g118790, Bo3g131510	EUTSA_v10003111mg
OG0000019	Bo3g162240	EUTSA_v10024362mg
OG0000019	Bo4g065900	EUTSA_v10017766mg
OG0000019	Bo4g167990	EUTSA_v10017541mg, EUTSA_v10016227mg
OG0000019	Bo5g008290	EUTSA_v10006769mg, EUTSA_v10023262mg
OG0000019	Bo8g113980	EUTSA_v10006786mg
OG0000023	Bo6g076430	EUTSA_v10006469mg, EUTSA_v10006448mg
OG0000023	Bo5g041310, Bo5g041300, Bo5g041270	EUTSA_v10021998mg
OG0000023	Bo8g109220, Bo8g108970, Bo2g137160, Bo2g137180, Bo01367s010, Bo3g162480	EUTSA_v10010027mg
OG0000023	Bo6g034510	EUTSA_v10000283mg
OG0000023	Bo02936s010	EUTSA_v10005403mg, EUTSA_v10017550mg
OG0000023	Bo7g093630	EUTSA_v10009459mg, EUTSA_v10012265mg, EUTSA_v10026946mg, EUTSA_v10007821mg, EUTSA_v10009873mg
OG0000023	Bo4g187050	EUTSA_v10021927mg, EUTSA_v100283121mg, EUTSA_v10017844mg
OG0000024	Bo9g148170	EUTSA_v10012605mg
OG0000024	Bo1g087950, Bo9g048820	EUTSA_v10023235mg
OG0000024	Bo1g090360	EUTSA_v10023237mg, EUTSA_v10023945mg
OG0000024	Bo9g046560	EUTSA_v10023259mg
OG0000024	Bo3g087240	EUTSA_v10023289mg, EUTSA_v10023861mg
OG0000024	Bo4g034680, Bo7g089600	EUTSA_v10002442mg
OG0000025	Bo9g085730, Bo9g085780, Bo9g085770, Bo9g085750, Bo9g085760, Bo9g085740, Bo9g086860, Bo9g086870, Bo9g086850	EUTSA_v10002255mg, EUTSA_v10002198mg, EUTSA_v10002239mg, EUTSA_v10002251mg, EUTSA_v10002278mg, EUTSA_v10002291mg, EUTSA_v10002277mg, EUTSA_v10002218mg, EUTSA_v10002314mg, EUTSA_v10002224mg, EUTSA_v10002265mg, EUTSA_v10002305mg, EUTSA_v10002250mg, EUTSA_v10002207mg, EUTSA_v10002243mg, EUTSA_v10002161mg, EUTSA_v10002202mg, EUTSA_v10002263mg, EUTSA_v10002325mg, EUTSA_v10002260mg, EUTSA_v10002163mg, EUTSA_v10002222mg, EUTSA_v10002170mg, EUTSA_v10002276mg, EUTSA_v10002294mg
OG0000025	Bo7g072780, Bo6g099770, Bo6g099760	EUTSA_v10005269mg, EUTSA_v10005483mg, EUTSA_v10019338mg, EUTSA_v10019830mg, EUTSA_v10019422mg, EUTSA_v10019664mg, EUTSA_v10019601mg, EUTSA_v10019337mg, EUTSA_v10019426mg
OG0000029	Bo7g009860, Bo3g002060	EUTSA_v10013441mg
OG0000029	Bo5g116970, Bo5g116980	EUTSA_v10022252mg
OG0000029	Bo1g006480	EUTSA_v10027555mg
OG0000029	Bo4g025440	EUTSA_v10015785mg
OG0000029	Bo4g025430	EUTSA_v10025165mg
OG0000029	Bo9g183270	EUTSA_v10014018mg
OG0000030	Bo5g088340	EUTSA_v10015983mg
OG0000031	Bo3g041970, Bo4g157420, Bo01239s010	EUTSA_v10000196mg
OG0000031	Bo3g030020	EUTSA_v10027789mg, EUTSA_v10028332mg, EUTSA_v10028223mg, EUTSA_v10028222mg, EUTSA_v10027798mg
OG0000031	Bo4g137360	EUTSA_v10012401mg
OG0000031	Bo3g025250	EUTSA_v10027772mg
OG0000031	Bo2g165600	EUTSA_v10004309mg
OG0000031	Bo01080s020, Bo9g070180, Bo9g124850	EUTSA_v10015524mg
OG0000031	Bo8g089830, Bo8g087200, Bo8g089930, Bo8g089910, Bo8g089900, Bo8g089820, Bo8g087170, Bo8g089840, Bo8g089920, Bo8g087180, Bo8g087190, Bo8g089810	EUTSA_v10010416mg
OG0000032	Bo8g075100	EUTSA_v10018105mg
OG0000032	Bo2g055210	EUTSA_v10019715mg
OG0000032	Bo2g055170	EUTSA_v10019823mg, EUTSA_v10019689mg
OG0000032	Bo8g050020, Bo1g019330, Bo7g105860, Bo7g105830, Bo9g163940, Bo4g065730, Bo4g137070, Bo2g136130, Bo4g137080, Bo6g059890, Bo5g043300, Bo5g043320, Bo5g043330	EUTSA_v10028202mg
OG0000032	Bo6g103460, Bo6g103440	EUTSA_v10002354mg
OG0000033	Bo9g028470, Bo9g037010, Bo6g031210, Bo4g094390, Bo01065s010	EUTSA_v10024140mg
OG0000033	Bo1g094260	EUTSA_v10023255mg
OG0000033	Bo9g037120	EUTSA_v10000112mg, EUTSA_v10023246mg, EUTSA_v10023263mg
OG0000033	Bo8g108280	EUTSA_v10006784mg
OG0000037	Bo4g121630, Bo8g083100, Bo4g187100, Bo4g030350, Bo3g031870, Bo1g040130	EUTSA_v10016809mg, EUTSA_v10010455mg
OG0000037	Bo1g116200, Bo5g117040, Bo3g071760	EUTSA_v10020906mg
OG0000037	Bo5g134740	EUTSA_v10020950mg
OG0000037	Bo3g018230, Bo3g117300	EUTSA_v10013840mg, EUTSA_v10002572mg
OG0000037	Bo6g049540, Bo6g049530	EUTSA_v10028132mg
OG0000037	Bo9g173750	EUTSA_v10013834mg
OG0000038	Bo9g008050	EUTSA_v10005660mg
OG0000038	Bo5g049130	EUTSA_v10009690mg
OG0000038	Bo4g161340, Bo4g161360, Bo4g197420	EUTSA_v10010336mg, EUTSA_v10010364mg, EUTSA_v10011064mg, EUTSA_v10010911mg, EUTSA_v10010427mg, EUTSA_v10011042mg, EUTSA_v10001210mg
OG0000039	Bo6g048250	EUTSA_v10024606mg
OG0000039	Bo3g084330	EUTSA_v10024579mg
OG0000039	Bo9g092480	EUTSA_v10028508mg
OG0000039	Bo1g033180	EUTSA_v10028545mg
OG0000039	Bo9g092570	EUTSA_v10029153mg
OG0000039	Bo2g155630	EUTSA_v10028502mg, EUTSA_v10029336mg
OG0000039	Bo3g045310	EUTSA_v10028499mg
OG0000040	Bo1g139500	EUTSA_v10003211mg
OG0000040	Bo7g042340, Bo5g064350	EUTSA_v10007675mg
OG0000040	Bo1g139480	EUTSA_v10022069mg
OG0000040	Bo4g139760, Bo4g151230	EUTSA_v10000651mg
OG0000040	Bo8g100760	EUTSA_v10000461mg
OG0000040	Bo5g137400, Bo4g139150	EUTSA_v10020743mg
OG0000040	Bo6g116690	EUTSA_v10018572mg
OG0000041	Bo9g094210, Bo01718s010	EUTSA_v10003487mg
OG0000041	Bo5g123820, Bo9g108190, Bo7g003730, Bo7g003900, Bo3g179550, Bo9g151830, Bo7g005950, Bo5g091680, Bo8g033570, Bo1g119270, Bo5g115140, Bo4g154820, Bo01202s020	EUTSA_v10003397mg, EUTSA_v10017779mg, EUTSA_v10005260mg, EUTSA_v10027529mg, EUTSA_v10019512mg, EUTSA_v10011992mg, EUTSA_v10003335mg, EUTSA_v10000620mg, EUTSA_v10005429mg, EUTSA_v10005542mg, EUTSA_v10002297mg, EUTSA_v10015762mg, EUTSA_v10022993mg, EUTSA_v10009841mg, EUTSA_v10002827mg, EUTSA_v10015514mg, EUTSA_v10012321mg, EUTSA_v10011945mg, EUTSA_v10019737mg, EUTSA_v10002274mg, EUTSA_v10001142mg, EUTSA_v10027058mg, EUTSA_v10028246mg, EUTSA_v10026902mg, EUTSA_v10015686mg
OG0000042	Bo6g076130, Bo1g116040, Bo4g025310, Bo02116s010	EUTSA_v10005914mg, EUTSA_v10005932mg
OG0000042	Bo4g108170	EUTSA_v10006456mg
OG0000042	Bo1g154960	EUTSA_v10022023mg
OG0000042	Bo8g100100, Bo3g026620	EUTSA_v10005926mg, EUTSA_v10028613mg
OG0000042	Bo3g093700	EUTSA_v10022609mg
OG0000043	Bo3g134260	EUTSA_v10010172mg, EUTSA_v10010088mg
OG0000043	Bo9g151860	EUTSA_v10015316mg
OG0000043	Bo3g018170, Bo3g018130, Bo1g131070, Bo3g017490, Bo00418s060	EUTSA_v10001203mg, EUTSA_v10000757mg
OG0000043	Bo3g134690	EUTSA_v10010090mg
OG0000043	Bo7g014680	EUTSA_v10010091mg
OG0000043	Bo8g081350, Bo4g165460	EUTSA_v10002388mg
OG0000044	Bo5g145280	EUTSA_v10022427mg
OG0000044	Bo4g090390	EUTSA_v10024090mg
OG0000044	Bo9g040750	EUTSA_v10023447mg
OG0000044	Bo01976s010	EUTSA_v10023467mg, EUTSA_v10023461mg, EUTSA_v10024124mg, EUTSA_v10024076mg, EUTSA_v10023505mg, EUTSA_v10024167mg, EUTSA_v10023470mg, EUTSA_v10024133mg, EUTSA_v10019750mg, EUTSA_v10023445mg, EUTSA_v10023472mg, EUTSA_v10023868mg, EUTSA_v10023911mg, EUTSA_v10023838mg
OG0000044	Bo4g107670, Bo4g091490	EUTSA_v10023801mg
OG0000044	Bo6g106640, Bo01960s010, Bo9g037270	EUTSA_v10023457mg
OG0000044	Bo9g040710	EUTSA_v10023915mg
OG0000045	Bo1g033270, Bo1g033210	EUTSA_v10024894mg, EUTSA_v10024631mg
OG0000045	Bo7g108510	EUTSA_v10024603mg
OG0000045	Bo7g108520	EUTSA_v10024643mg
OG0000045	Bo1g033170	EUTSA_v10000811mg
OG0000045	Bo8g030610	EUTSA_v10024630mg
OG0000045	Bo4g128440, Bo4g133160, Bo7g106580, Bo7g108580, Bo7g108560, Bo8g101290	EUTSA_v10024843mg
OG0000046	Bo7g106700	EUTSA_v10027412mg
OG0000046	Bo8g081460	EUTSA_v10010076mg
OG0000046	Bo9g061260	EUTSA_v10000750mg
OG0000046	Bo2g014060, Bo9g159740	EUTSA_v10012486mg
OG0000046	Bo9g061330	EUTSA_v10000765mg
OG0000046	Bo3g027680	EUTSA_v10000021mg
OG0000046	Bo3g027690	EUTSA_v10000019mg
OG0000047	Bo8g092120, Bo4g064660, Bo8g081170, Bo9g148090, Bo9g084480, Bo12113s010, Bo6g049520, Bo6g039810, Bo7g026820, Bo7g026860, Bo1g053190, Bo6g018250, Bo4g045990, Bo3g153580, Bo2g100730, Bo3g151510, Bo6g094420, Bo9g076400, Bo1g098750, Bo5g128810, Bo6g033260, Bo6g056150, Bo3g143520, Bo9g062700, Bo7g037660, Bo3g100950, Bo9g043990, Bo5g122930, Bo5g122920, Bo5g082540, Bo5g125030, Bo1g102020, Bo7g062120, Bo8g021870, Bo6g110370, Bo5g041520, Bo6g048130, Bo7g104720, Bo8g002880, Bo4g043750, Bo5g103580, Bo7g080070, Bo9g123720, Bo4g021720, Bo4g112980, Bo5g010760, Bo5g049510, Bo2g045920, Bo4g106240, Bo3g044820, Bo2g025280, Bo6g029200, Bo13785s010, Bo7g014490, Bo3g117330, Bo2g085190, Bo3g099240, Bo10218s010, Bo9g092750, Bo5g115160, Bo9g059130, Bo3g054780, Bo2g138570, Bo9g175220, Bo4g149690, Bo5g118440, Bo5g136780, Bo1g051100, Bo7g090990, Bo00923s030, Bo5g017180, Bo7g038990, Bo3g052660, Bo5g072410, Bo3g084140, Bo3g084130, Bo2g130170, Bo5g048700, Bo2g068420, Bo2g112900, Bo5g049500, Bo6g104060, Bo1g025500, Bo01073s010, Bo7g010130, Bo3g122150, Bo4g188540	EUTSA_v10000631mg, EUTSA_v10015425mg, EUTSA_v10002232mg
OG0000047	Bo3g181170, Bo00883s090, Bo5g027870, Bo2g049400, Bo9g152150, Bo6g056110, Bo4g137260, Bo18661s010, Bo6g041120, Bo4g182220, Bo5g082580, Bo15892s010, Bo7g094870, Bo7g065700, Bo5g057020, Bo6g068330, Bo09555s010, Bo8g054670, Bo5g105030, Bo8g023000, Bo1g122860, Bo2g094940, Bo4g116930, Bo2g105100, Bo2g105090, Bo3g045690, Bo5g132660, Bo8g051050, Bo3g128740, Bo3g107430, Bo15803s010, Bo3g107420, Bo25235s010, Bo9g021520	EUTSA_v10019486mg
OG0000048	Bo01020s020, Bo12788s010, Bo6g032980, Bo8g001440, Bo7g065160, Bo21564s010, Bo01819s010, Bo01828s010, Bo01817s010	EUTSA_v10012229mg, EUTSA_v10015409mg, EUTSA_v10016056mg, EUTSA_v10009839mg, EUTSA_v10019697mg
