"chrom","chromStart","chromEnd","TranscriptID","GeneID","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","MatureLength","CPATscore","Type","BioType","ConfidenceLevel"
"Chr1",12643647,12643882,"AT1G06777.1","AT1G06777",0,"-",12643882,12643882,0,1,"235,","0,",235,0.0950725067315679,"monoexonic","lincRNA","HC"
"Chr1",12643680,12643997,"AT1G06783.1","AT1G06783",0,"+",12643997,12643997,0,1,"317,","0,",317,0.289713287929488,"monoexonic","lincRNA","HC"
"Chr1",12766262,12766651,"AT1G34792.1","AT1G34792",0,"-",12766651,12766651,0,1,"389,","0,",389,0.872416720060911,"monoexonic","lincRNA","HC"
"Chr1",12769643,12770131,"AT1G34795.1","AT1G34795",0,"-",12770131,12770131,0,1,"488,","0,",488,0.87609637228713,"monoexonic","lincRNA","HC"
"Chr1",12773163,12773442,"AT1G34800.1","AT1G34800",0,"-",12773442,12773442,0,1,"279,","0,",279,0.864910365697097,"monoexonic","lincRNA","HC"
"Chr1",12776577,12776856,"AT1G34805.1","AT1G34805",0,"-",12776856,12776856,0,1,"279,","0,",279,0.864910365697097,"monoexonic","lincRNA","HC"
"Chr1",12779991,12780270,"AT1G34810.1","AT1G34810",0,"-",12780270,12780270,0,1,"279,","0,",279,0.861230046867127,"monoexonic","lincRNA","HC"
"Chr1",12783405,12783684,"AT1G34815.1","AT1G34815",0,"-",12783684,12783684,0,1,"279,","0,",279,0.861230046867127,"monoexonic","lincRNA","HC"
"Chr1",12786816,12787095,"AT1G34820.1","AT1G34820",0,"-",12787095,12787095,0,1,"279,","0,",279,0.864910365697097,"monoexonic","lincRNA","HC"
"Chr1",12790121,12790605,"AT1G34825.1","AT1G34825",0,"-",12790605,12790605,0,1,"484,","0,",484,0.882254367325665,"monoexonic","lincRNA","HC"
"Chr1",12793535,12794023,"AT1G34830.1","AT1G34830",0,"-",12794023,12794023,0,1,"488,","0,",488,0.879306486449738,"monoexonic","lincRNA","HC"
"Chr1",1299552,1299796,"AT1G04283.1","AT1G04283",0,"+",1299796,1299796,0,1,"244,","0,",244,0,"monoexonic","lincRNA","HC"
"Chr1",13042972,13043377,"AT1G06897.1","AT1G06897",0,"-",13043377,13043377,0,1,"405,","0,",405,0.359665878572946,"monoexonic","lincRNA","HC"
"Chr1",13107633,13108236,"AT1G06907.1","AT1G06907",0,"-",13108236,13108236,0,2,"179,294,","0,309,",473,0.636227117388629,"multiexonic","lincRNA","HC"
"Chr1",13635672,13636083,"AT1G06967.1","AT1G06967",0,"+",13636083,13636083,0,1,"411,","0,",411,0.275742002105818,"monoexonic","lincRNA","LC"
"Chr1",13657061,13657390,"AT1G06973.1","AT1G06973",0,"-",13657390,13657390,0,1,"329,","0,",329,0.439929882334663,"monoexonic","lincRNA","LC"
"Chr1",13974516,13975976,"AT1G36910.1","AT1G36910",0,"-",13975976,13975976,0,1,"1460,","0,",1460,0.857586825899323,"monoexonic","lincRNA","LC"
"Chr1",13987860,13988496,"AT1G06997.1","AT1G06997",0,"-",13988496,13988496,0,1,"636,","0,",636,0.630422374646666,"monoexonic","lincRNA","HC"
"Chr1",14607832,14608653,"AT1G39350.1","AT1G39350",0,"-",14608653,14608653,0,4,"65,69,88,18,","0,473,624,803,",240,0.758593842266097,"multiexonic","lincRNA","LC"
"Chr1",1461933,1462157,"AT1G04327.1","AT1G04327",0,"+",1462157,1462157,0,1,"224,","0,",224,0.0958259909151335,"monoexonic","lincRNA","HC"
"Chr1",1462042,1462340,"AT1G04333.1","AT1G04333",0,"-",1462340,1462340,0,1,"298,","0,",298,0.224653473217253,"monoexonic","lincRNA","HC"
"Chr1",14656852,14657326,"AT1G39430.1","AT1G39430",0,"-",14657326,14657326,0,3,"95,77,92,","0,215,382,",264,0.814912286922761,"multiexonic","lincRNA","LC"
"Chr1",14701717,14703805,"AT1G39060.1","AT1G39060",0,"+",14703805,14703805,0,6,"4,20,20,19,134,37,","0,621,780,939,1256,2051,",234,0.375389450777944,"multiexonic","lincRNA","HC"
"Chr1",14918652,14919588,"AT1G40081.1","AT1G40081",0,"+",14919588,14919588,0,1,"936,","0,",936,0.958231629310471,"monoexonic","lincRNA","LC"
"Chr1",14930277,14932360,"AT1G40086.1","AT1G40086",0,"+",14932360,14932360,0,7,"10,74,95,44,20,20,37,","0,91,461,1012,1094,1729,2046,",300,0.593951896422442,"multiexonic","lincRNA","HC"
"Chr1",1496734,1497102,"AT1G04337.1","AT1G04337",0,"+",1497102,1497102,0,1,"368,","0,",368,0.1693690447434,"monoexonic","lincRNA","HC"
"Chr1",15013791,15014764,"AT1G40090.1","AT1G40090",0,"+",15014764,15014764,0,3,"4,20,195,","0,142,778,",219,0.497726684792546,"multiexonic","lincRNA","HC"
"Chr1",15057068,15058112,"AT1G40099.1","AT1G40099",0,"+",15058112,15058112,0,1,"1044,","0,",1044,0.844482103844287,"monoexonic","lincRNA","LC"
"Chr1",1538272,1538484,"AT1G04373.1","AT1G04373",0,"-",1538484,1538484,0,1,"212,","0,",212,0,"monoexonic","lincRNA","LC"
"Chr1",15422186,15422672,"AT1G40076.1","AT1G40076",0,"+",15422672,15422672,0,1,"486,","0,",486,0.365980605490607,"monoexonic","lincRNA","LC"
"Chr1",1542968,1543287,"AT1G04377.1","AT1G04377",0,"-",1543287,1543287,0,1,"319,","0,",319,0,"monoexonic","lincRNA","HC"
"Chr1",1543156,1543394,"AT1G04383.1","AT1G04383",0,"+",1543394,1543394,0,1,"238,","0,",238,0,"monoexonic","lincRNA","HC"
"Chr1",15855844,15856162,"AT1G42385.1","AT1G42385",0,"-",15856162,15856162,0,1,"318,","0,",318,0.37920603311332,"monoexonic","lincRNA","LC"
"Chr1",16011819,16012506,"AT1G42602.1","AT1G42602",0,"+",16012506,16012506,0,1,"687,","0,",687,0.838575790329531,"monoexonic","lincRNA","LC"
"Chr1",16401078,16401324,"AT1G07157.1","AT1G07157",0,"+",16401324,16401324,0,1,"246,","0,",246,0,"monoexonic","lincRNA","HC"
"Chr1",16408888,16409127,"AT1G07163.1","AT1G07163",0,"-",16409127,16409127,0,1,"239,","0,",239,0,"monoexonic","lincRNA","HC"
"Chr1",16560776,16560998,"AT1G07197.1","AT1G07197",0,"-",16560998,16560998,0,1,"222,","0,",222,0,"monoexonic","lincRNA","LC"
"Chr1",16811344,16811569,"AT1G07247.1","AT1G07247",0,"+",16811569,16811569,0,1,"225,","0,",225,0,"monoexonic","lincRNA","HC"
"Chr1",16811376,16811940,"AT1G07253.1","AT1G07253",0,"-",16811940,16811940,0,2,"253,83,","0,481,",336,0.317549438549805,"multiexonic","lincRNA","HC"
"Chr1",17093277,17093560,"AT1G07297.1","AT1G07297",0,"+",17093560,17093560,0,1,"283,","0,",283,0,"monoexonic","lincRNA","HC"
"Chr1",17095507,17095712,"AT1G07303.1","AT1G07303",0,"+",17095712,17095712,0,1,"205,","0,",205,0.25841919097839,"monoexonic","lincRNA","HC"
"Chr1",17278481,17278759,"AT1G07317.1","AT1G07317",0,"+",17278759,17278759,0,1,"278,","0,",278,0,"monoexonic","lincRNA","HC"
"Chr1",17348022,17348579,"AT1G07353.1","AT1G07353",0,"+",17348579,17348579,0,2,"188,176,","0,381,",364,0.276876213837849,"multiexonic","lincRNA","HC"
"Chr1",17544076,17544831,"AT1G47690.1","AT1G47690",0,"+",17544831,17544831,0,1,"755,","0,",755,0.919591744654048,"monoexonic","lincRNA","HC"
"Chr1",17547322,17548076,"AT1G47700.1","AT1G47700",0,"+",17548076,17548076,0,1,"754,","0,",754,0.913208449067899,"monoexonic","lincRNA","HC"
"Chr1",18031953,18032156,"AT1G07503.1","AT1G07503",0,"-",18032156,18032156,0,1,"203,","0,",203,0,"monoexonic","lincRNA","HC"
"Chr1",18190469,18190733,"AT1G07533.1","AT1G07533",0,"+",18190733,18190733,0,1,"264,","0,",264,0.12625388078614,"monoexonic","lincRNA","HC"
"Chr1",18272728,18273115,"AT1G07553.1","AT1G07553",0,"-",18273115,18273115,0,1,"387,","0,",387,0.436109141819216,"monoexonic","lincRNA","HC"
"Chr1",18272803,18273077,"AT1G07557.1","AT1G07557",0,"+",18273077,18273077,0,1,"274,","0,",274,0.311772691830193,"monoexonic","lincRNA","HC"
"Chr1",18363685,18363933,"AT1G07573.1","AT1G07573",0,"-",18363933,18363933,0,1,"248,","0,",248,0,"monoexonic","lincRNA","HC"
"Chr1",1839482,1839729,"AT1G04443.1","AT1G04443",0,"-",1839729,1839729,0,1,"247,","0,",247,0,"monoexonic","lincRNA","HC"
"Chr1",18398886,18399127,"AT1G07583.1","AT1G07583",0,"-",18399127,18399127,0,1,"241,","0,",241,0,"monoexonic","lincRNA","LC"
"Chr1",18634832,18635371,"AT1G07617.1","AT1G07617",0,"+",18635371,18635371,0,2,"192,80,","0,459,",272,0.437340946167297,"multiexonic","lincRNA","HC"
"Chr1",18755729,18756041,"AT1G07657.1","AT1G07657",0,"+",18756041,18756041,0,1,"312,","0,",312,0.142136370270716,"monoexonic","lincRNA","HC"
"Chr1",18794133,18794585,"AT1G07673.1","AT1G07673",0,"-",18794585,18794585,0,1,"452,","0,",452,0.379712776355235,"monoexonic","lincRNA","HC"
"Chr1",18806507,18807394,"AT1G50735.1","AT1G50735",0,"-",18807394,18807394,0,1,"887,","0,",887,0.224998604173011,"monoexonic","lincRNA","LC"
"Chr1",18956275,18956542,"AT1G07717.1","AT1G07717",0,"-",18956542,18956542,0,1,"267,","0,",267,0,"monoexonic","lincRNA","HC"
"Chr1",18956706,18956925,"AT1G07723.1","AT1G07723",0,"+",18956925,18956925,0,1,"219,","0,",219,0,"monoexonic","lincRNA","HC"
"Chr1",19303124,19303441,"AT1G07773.1","AT1G07773",0,"-",19303441,19303441,0,1,"317,","0,",317,0,"monoexonic","lincRNA","HC"
"Chr1",19354521,19354861,"AT1G07777.1","AT1G07777",0,"+",19354861,19354861,0,2,"80,171,","0,169,",251,0,"multiexonic","lincRNA","HC"
"Chr1",19699158,19699526,"AT1G07843.1","AT1G07843",0,"-",19699526,19699526,0,1,"368,","0,",368,0,"monoexonic","lincRNA","HC"
"Chr1",19796559,19796764,"AT1G07857.1","AT1G07857",0,"-",19796764,19796764,0,1,"205,","0,",205,0.370039077348583,"monoexonic","lincRNA","LC"
"Chr1",19796661,19796897,"AT1G07863.1","AT1G07863",0,"+",19796897,19796897,0,1,"236,","0,",236,0,"monoexonic","lincRNA","HC"
"Chr1",19820004,19820432,"AT1G07873.1","AT1G07873",0,"+",19820432,19820432,0,2,"192,148,","0,280,",340,0.316324495150201,"multiexonic","lincRNA","HC"
"Chr1",20110906,20111645,"AT1G09635.1","AT1G09635",0,"+",20111645,20111645,0,1,"739,","0,",739,0.379645118472078,"monoexonic","lincRNA","HC"
"Chr1",20415897,20416145,"AT1G54700.1","AT1G54700",0,"+",20416145,20416145,0,1,"248,","0,",248,0.760385542629822,"monoexonic","lincRNA","HC"
"Chr1",20926164,20926446,"AT1G08077.1","AT1G08077",0,"+",20926446,20926446,0,1,"282,","0,",282,0.471345998228224,"monoexonic","lincRNA","HC"
"Chr1",21268097,21268414,"AT1G08147.1","AT1G08147",0,"-",21268414,21268414,0,1,"317,","0,",317,0.32181010786699,"monoexonic","lincRNA","HC"
"Chr1",21407276,21407477,"AT1G08177.1","AT1G08177",0,"-",21407477,21407477,0,1,"201,","0,",201,0.254672853622816,"monoexonic","lincRNA","HC"
"Chr1",22007824,22008111,"AT1G08263.1","AT1G08263",0,"+",22008111,22008111,0,1,"287,","0,",287,0.256588197935208,"monoexonic","lincRNA","HC"
"Chr1",22244178,22244406,"AT1G08313.1","AT1G08313",0,"+",22244406,22244406,0,1,"228,","0,",228,0,"monoexonic","lincRNA","HC"
"Chr1",22918355,22918592,"AT1G08453.1","AT1G08453",0,"-",22918592,22918592,0,1,"237,","0,",237,0.318220685665356,"monoexonic","lincRNA","HC"
"Chr1",23295988,23296858,"AT1G62895.1","AT1G62895",0,"+",23296858,23296858,0,5,"30,102,57,39,33,","0,198,444,644,837,",261,0.708956038018186,"multiexonic","lincRNA","HC"
"Chr1",23365724,23365930,"AT1G08587.1","AT1G08587",0,"-",23365930,23365930,0,1,"206,","0,",206,0.138710808801681,"monoexonic","lincRNA","LC"
"Chr1",24384342,24385178,"AT1G65585.1","AT1G65585",0,"+",24385178,24385178,0,1,"836,","0,",836,0.698770259650906,"monoexonic","lincRNA","HC"
"Chr1",24447826,24448071,"AT1G08773.1","AT1G08773",0,"+",24448071,24448071,0,1,"245,","0,",245,0,"monoexonic","lincRNA","HC"
"Chr1",24544545,24544782,"AT1G08787.1","AT1G08787",0,"-",24544782,24544782,0,1,"237,","0,",237,0,"monoexonic","lincRNA","HC"
"Chr1",24576761,24577005,"AT1G08807.1","AT1G08807",0,"-",24577005,24577005,0,1,"244,","0,",244,0,"monoexonic","lincRNA","HC"
"Chr1",24712284,24712790,"AT1G08827.1","AT1G08827",0,"+",24712790,24712790,0,2,"221,259,","0,247,",480,0.240302416076742,"multiexonic","lincRNA","HC"
"Chr1",26281565,26281767,"AT1G09117.1","AT1G09117",0,"+",26281767,26281767,0,1,"202,","0,",202,0.400516972634082,"monoexonic","lincRNA","HC"
"Chr1",26542321,26542675,"AT1G09173.1","AT1G09173",0,"-",26542675,26542675,0,1,"354,","0,",354,0.193981680395451,"monoexonic","lincRNA","HC"
"Chr1",26542393,26542642,"AT1G09177.1","AT1G09177",0,"+",26542642,26542642,0,1,"249,","0,",249,0.503315890946297,"monoexonic","lincRNA","LC"
"Chr1",26544623,26544852,"AT1G09183.1","AT1G09183",0,"-",26544852,26544852,0,1,"229,","0,",229,0,"monoexonic","lincRNA","HC"
"Chr1",26794195,26794614,"AT1G09217.1","AT1G09217",0,"+",26794614,26794614,0,1,"419,","0,",419,0.564373118508318,"monoexonic","lincRNA","HC"
"Chr1",27042716,27043026,"AT1G09273.1","AT1G09273",0,"+",27043026,27043026,0,1,"310,","0,",310,0.269078880022859,"monoexonic","lincRNA","HC"
"Chr1",27073269,27073709,"AT1G09283.1","AT1G09283",0,"-",27073709,27073709,0,2,"121,168,","0,272,",289,0.0700723353574638,"multiexonic","lincRNA","LC"
"Chr1",27090632,27090945,"AT1G09293.1","AT1G09293",0,"+",27090945,27090945,0,1,"313,","0,",313,0,"monoexonic","lincRNA","HC"
"Chr1",27305685,27306118,"AT1G09313.1","AT1G09313",0,"-",27306118,27306118,0,1,"433,","0,",433,0.20082147109896,"monoexonic","lincRNA","HC"
"Chr1",27363311,27363766,"AT1G09337.1","AT1G09337",0,"+",27363766,27363766,0,1,"455,","0,",455,0.480797264915609,"monoexonic","lincRNA","HC"
"Chr1",27534532,27534769,"AT1G09373.1","AT1G09373",0,"-",27534769,27534769,0,1,"237,","0,",237,0.159531004404854,"monoexonic","lincRNA","HC"
"Chr1",27641612,27642030,"AT1G09387.1","AT1G09387",0,"+",27642030,27642030,0,1,"418,","0,",418,0.557254559118115,"monoexonic","lincRNA","HC"
"Chr1",27656279,27656750,"AT1G09393.1","AT1G09393",0,"+",27656750,27656750,0,1,"471,","0,",471,0.355435046891076,"monoexonic","lincRNA","LC"
"Chr1",27656349,27656750,"AT1G09397.1","AT1G09397",0,"-",27656750,27656750,0,1,"401,","0,",401,0.512227105319886,"monoexonic","lincRNA","HC"
"Chr1",2825587,2825978,"AT1G04667.1","AT1G04667",0,"+",2825978,2825978,0,2,"247,105,","0,286,",352,0.377855498547641,"multiexonic","lincRNA","HC"
"Chr1",28343828,28344031,"AT1G09567.1","AT1G09567",0,"+",28344031,28344031,0,1,"203,","0,",203,0,"monoexonic","lincRNA","HC"
"Chr1",28343828,28344031,"AT1G09563.1","AT1G09563",0,"-",28344031,28344031,0,1,"203,","0,",203,0.38638600014588,"monoexonic","lincRNA","HC"
"Chr1",28433918,28434261,"AT1G75717.1","AT1G75717",0,"+",28434261,28434261,0,1,"343,","0,",343,0.844591597854881,"monoexonic","lincRNA","HC"
"Chr1",28487909,28488251,"AT1G09587.1","AT1G09587",0,"-",28488251,28488251,0,1,"342,","0,",342,0,"monoexonic","lincRNA","HC"
"Chr1",2865517,2865792,"AT1G04683.1","AT1G04683",0,"-",2865792,2865792,0,1,"275,","0,",275,0,"monoexonic","lincRNA","HC"
"Chr1",28928286,28928704,"AT1G09697.1","AT1G09697",0,"+",28928704,28928704,0,1,"418,","0,",418,0.209284180277607,"monoexonic","lincRNA","HC"
"Chr1",29079252,29079454,"AT1G09717.1","AT1G09717",0,"+",29079454,29079454,0,1,"202,","0,",202,0,"monoexonic","lincRNA","HC"
"Chr1",29466032,29466249,"AT1G09807.1","AT1G09807",0,"+",29466249,29466249,0,1,"217,","0,",217,0,"monoexonic","lincRNA","HC"
"Chr1",29521019,29521223,"AT1G09813.1","AT1G09813",0,"-",29521223,29521223,0,1,"204,","0,",204,0,"monoexonic","lincRNA","HC"
"Chr1",29769083,29769583,"AT1G09847.1","AT1G09847",0,"+",29769583,29769583,0,1,"500,","0,",500,0,"monoexonic","lincRNA","HC"
"Chr1",29769158,29769618,"AT1G09853.1","AT1G09853",0,"-",29769618,29769618,0,1,"460,","0,",460,0.482852794054972,"monoexonic","lincRNA","HC"
"Chr1",29770175,29770459,"AT1G09857.1","AT1G09857",0,"-",29770459,29770459,0,1,"284,","0,",284,0,"monoexonic","lincRNA","HC"
"Chr1",2987675,2987995,"AT1G04687.1","AT1G04687",0,"-",2987995,2987995,0,2,"160,110,","0,210,",270,0,"multiexonic","lincRNA","HC"
"Chr1",2987675,2988104,"AT1G04693.1","AT1G04693",0,"+",2988104,2988104,0,1,"429,","0,",429,0.24599894506435,"monoexonic","lincRNA","HC"
"Chr1",30145385,30145878,"AT1G09953.1","AT1G09953",0,"-",30145878,30145878,0,1,"493,","0,",493,0.364527361201818,"monoexonic","lincRNA","HC"
"Chr1",30145493,30145695,"AT1G09957.1","AT1G09957",0,"+",30145695,30145695,0,1,"202,","0,",202,0,"monoexonic","lincRNA","LC"
"Chr1",30239644,30239894,"AT1G09967.1","AT1G09967",0,"-",30239894,30239894,0,1,"250,","0,",250,0,"monoexonic","lincRNA","HC"
"Chr1",30239749,30239969,"AT1G09973.1","AT1G09973",0,"+",30239969,30239969,0,1,"220,","0,",220,0,"monoexonic","lincRNA","HC"
"Chr1",30297613,30297846,"AT1G09983.1","AT1G09983",0,"+",30297846,30297846,0,1,"233,","0,",233,0,"monoexonic","lincRNA","HC"
"Chr1",3247778,3248058,"AT1G04753.1","AT1G04753",0,"-",3248058,3248058,0,1,"280,","0,",280,0,"monoexonic","lincRNA","HC"
"Chr1",3422719,3423058,"AT1G04793.1","AT1G04793",0,"+",3423058,3423058,0,1,"339,","0,",339,0.0379742542720274,"monoexonic","lincRNA","HC"
"Chr1",3529513,3529759,"AT1G04813.1","AT1G04813",0,"-",3529759,3529759,0,1,"246,","0,",246,0,"monoexonic","lincRNA","HC"
"Chr1",4191062,4191268,"AT1G04943.1","AT1G04943",0,"-",4191268,4191268,0,1,"206,","0,",206,0.138900971173523,"monoexonic","lincRNA","HC"
"Chr1",4191470,4191780,"AT1G04947.1","AT1G04947",0,"+",4191780,4191780,0,1,"310,","0,",310,0.141099679556976,"monoexonic","lincRNA","LC"
"Chr1",4580079,4580364,"AT1G05007.1","AT1G05007",0,"-",4580364,4580364,0,1,"285,","0,",285,0,"monoexonic","lincRNA","HC"
"Chr1",4611525,4611773,"AT1G05013.1","AT1G05013",0,"+",4611773,4611773,0,1,"248,","0,",248,0,"monoexonic","lincRNA","HC"
"Chr1",4994638,4994874,"AT1G05097.1","AT1G05097",0,"-",4994874,4994874,0,1,"236,","0,",236,0,"monoexonic","lincRNA","HC"
"Chr1",5131511,5131859,"AT1G05127.1","AT1G05127",0,"+",5131859,5131859,0,1,"348,","0,",348,0,"monoexonic","lincRNA","HC"
"Chr1",5396177,5396631,"AT1G05177.1","AT1G05177",0,"-",5396631,5396631,0,1,"454,","0,",454,0.196570438166089,"monoexonic","lincRNA","HC"
"Chr1",559734,560251,"AT1G04137.1","AT1G04137",0,"+",560251,560251,0,1,"517,","0,",517,0.419734486167775,"monoexonic","lincRNA","HC"
"Chr1",5642763,5642985,"AT1G05233.1","AT1G05233",0,"+",5642985,5642985,0,1,"222,","0,",222,0,"monoexonic","lincRNA","HC"
"Chr1",6449228,6449459,"AT1G05407.1","AT1G05407",0,"-",6449459,6449459,0,1,"231,","0,",231,0.507235085107686,"monoexonic","lincRNA","HC"
"Chr1",6449435,6449681,"AT1G05413.1","AT1G05413",0,"+",6449681,6449681,0,1,"246,","0,",246,0.0488588797112964,"monoexonic","lincRNA","HC"
"Chr1",6620853,6621071,"AT1G05473.1","AT1G05473",0,"-",6621071,6621071,0,1,"218,","0,",218,0.284283219160197,"monoexonic","lincRNA","HC"
"Chr1",6635119,6635338,"AT1G05477.1","AT1G05477",0,"-",6635338,6635338,0,1,"219,","0,",219,0.129238252177475,"monoexonic","lincRNA","HC"
"Chr1",6813646,6814005,"AT1G05507.1","AT1G05507",0,"+",6814005,6814005,0,1,"359,","0,",359,0,"monoexonic","lincRNA","HC"
"Chr1",7336673,7336952,"AT1G05613.1","AT1G05613",0,"-",7336952,7336952,0,1,"279,","0,",279,0,"monoexonic","lincRNA","HC"
"Chr1",7344746,7345128,"AT1G05617.1","AT1G05617",0,"+",7345128,7345128,0,1,"382,","0,",382,0,"monoexonic","lincRNA","HC"
"Chr1",7370610,7370903,"AT1G05623.1","AT1G05623",0,"+",7370903,7370903,0,1,"293,","0,",293,0.124891745521021,"monoexonic","lincRNA","HC"
"Chr1",7460103,7460501,"AT1G05647.1","AT1G05647",0,"-",7460501,7460501,0,1,"398,","0,",398,0.572142007449409,"monoexonic","lincRNA","HC"
"Chr1",7471089,7471300,"AT1G05653.1","AT1G05653",0,"+",7471300,7471300,0,1,"211,","0,",211,0.207554345033223,"monoexonic","lincRNA","HC"
"Chr1",7473010,7473358,"AT1G05657.1","AT1G05657",0,"+",7473358,7473358,0,1,"348,","0,",348,0,"monoexonic","lincRNA","HC"
"Chr1",7730910,7731144,"AT1G21973.1","AT1G21973",0,"-",7731144,7731144,0,1,"234,","0,",234,0.171994730332219,"monoexonic","lincRNA","LC"
"Chr1",8205160,8205381,"AT1G05793.1","AT1G05793",0,"-",8205381,8205381,0,1,"221,","0,",221,0,"monoexonic","lincRNA","HC"
"Chr1",8303800,8304028,"AT1G05803.1","AT1G05803",0,"-",8304028,8304028,0,1,"228,","0,",228,0,"monoexonic","lincRNA","HC"
"Chr1",8598623,8598990,"AT1G05863.1","AT1G05863",0,"+",8598990,8598990,0,1,"367,","0,",367,0.207224972542936,"monoexonic","lincRNA","HC"
"Chr1",8649815,8650056,"AT1G05893.1","AT1G05893",0,"-",8650056,8650056,0,1,"241,","0,",241,0.0808030623516981,"monoexonic","lincRNA","HC"
"Chr1",8650621,8650899,"AT1G05897.1","AT1G05897",0,"+",8650899,8650899,0,1,"278,","0,",278,0.205144633510117,"monoexonic","lincRNA","HC"
"Chr1",926988,927200,"AT1G04207.1","AT1G04207",0,"-",927200,927200,0,1,"212,","0,",212,0,"monoexonic","lincRNA","HC"
"Chr1",9424690,9424892,"AT1G06043.1","AT1G06043",0,"-",9424892,9424892,0,1,"202,","0,",202,0,"monoexonic","lincRNA","HC"
"Chr1",9459097,9459587,"AT1G06053.1","AT1G06053",0,"-",9459587,9459587,0,1,"490,","0,",490,0.492721686145059,"monoexonic","lincRNA","HC"
"Chr1",9462397,9462809,"AT1G06057.1","AT1G06057",0,"-",9462809,9462809,0,1,"412,","0,",412,0,"monoexonic","lincRNA","HC"
"Chr1",9848882,9849226,"AT1G06127.1","AT1G06127",0,"+",9849226,9849226,0,1,"344,","0,",344,0.18421381214194,"monoexonic","lincRNA","HC"
"Chr1",9882236,9882450,"AT1G06133.1","AT1G06133",0,"+",9882450,9882450,0,1,"214,","0,",214,0,"monoexonic","lincRNA","HC"
"Chr1",10002090,10002341,"AtRegRNA_4105.1","AtRegRNA_4105",0,".",10002341,10002341,0,1,"251,","0,",251,0,"monoexonic","lincRNA","HC"
"Chr1",10012636,10013263,"AT1G06163.1","AT1G06163",0,"+",10013263,10013263,0,1,"627,","0,",627,0.258753313028047,"monoexonic","lincRNA","HC"
"Chr1",10022704,10023136,"AtRegRNA_4121.1","AtRegRNA_4121",0,".",10023136,10023136,0,1,"432,","0,",432,0.114389182371934,"monoexonic","lincRNA","HC"
"Chr1",10031158,10031407,"AtRegRNA_4126.1","AtRegRNA_4126",0,"-",10031407,10031407,0,1,"249,","0,",249,0.681371979307178,"monoexonic","NAT_lncRNA","HC"
"Chr1",1008591,1009189,"AtRegRNA_444.1","AtRegRNA_444",0,"+",1009189,1009189,0,2,"273,227,","0,371,",500,0.571461662272907,"multiexonic","lincRNA","HC"
"Chr1",10090101,10090320,"AtRegRNA_4147.1","AtRegRNA_4147",0,"+",10090320,10090320,0,1,"219,","0,",219,0.275255596884977,"monoexonic","lincRNA","HC"
