"chrom","chromStart","chromEnd","TranscriptID","GeneID","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","MatureLength","Type","BioType","ConfidenceLevel","ConservationType"
"Chr1",16401078,16401324,"AT1G07157.1","AT1G07157",0,"+",16401324,16401324,0,1,"246,","0,",246,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",16408888,16409127,"AT1G07163.1","AT1G07163",0,"-",16409127,16409127,0,1,"239,","0,",239,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",16560776,16560998,"AT1G07197.1","AT1G07197",0,"-",16560998,16560998,0,1,"222,","0,",222,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",16811344,16811569,"AT1G07247.1","AT1G07247",0,"+",16811569,16811569,0,1,"225,","0,",225,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",16811376,16811940,"AT1G07253.1","AT1G07253",0,"-",16811940,16811940,0,2,"253,83,","0,481,",336,"multiexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",17093277,17093560,"AT1G07297.1","AT1G07297",0,"+",17093560,17093560,0,1,"283,","0,",283,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",17095507,17095712,"AT1G07303.1","AT1G07303",0,"+",17095712,17095712,0,1,"205,","0,",205,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",17278481,17278759,"AT1G07317.1","AT1G07317",0,"+",17278759,17278759,0,1,"278,","0,",278,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",17348022,17348579,"AT1G07353.1","AT1G07353",0,"+",17348579,17348579,0,2,"188,176,","0,381,",364,"multiexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",17544076,17544831,"AT1G47690.1","AT1G47690",0,"+",17544831,17544831,0,1,"755,","0,",755,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",17547322,17548076,"AT1G47700.1","AT1G47700",0,"+",17548076,17548076,0,1,"754,","0,",754,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",18031953,18032156,"AT1G07503.1","AT1G07503",0,"-",18032156,18032156,0,1,"203,","0,",203,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",18190469,18190733,"AT1G07533.1","AT1G07533",0,"+",18190733,18190733,0,1,"264,","0,",264,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",18272728,18273115,"AT1G07553.1","AT1G07553",0,"-",18273115,18273115,0,1,"387,","0,",387,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",18272803,18273077,"AT1G07557.1","AT1G07557",0,"+",18273077,18273077,0,1,"274,","0,",274,"monoexonic","lincRNA","HC","OnlySynteny"
"Chr1",18363685,18363933,"AT1G07573.1","AT1G07573",0,"-",18363933,18363933,0,1,"248,","0,",248,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",1839482,1839729,"AT1G04443.1","AT1G04443",0,"-",1839729,1839729,0,1,"247,","0,",247,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",18398886,18399127,"AT1G07583.1","AT1G07583",0,"-",18399127,18399127,0,1,"241,","0,",241,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",18634832,18635371,"AT1G07617.1","AT1G07617",0,"+",18635371,18635371,0,2,"192,80,","0,459,",272,"multiexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",18755729,18756041,"AT1G07657.1","AT1G07657",0,"+",18756041,18756041,0,1,"312,","0,",312,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",18794133,18794585,"AT1G07673.1","AT1G07673",0,"-",18794585,18794585,0,1,"452,","0,",452,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",18806507,18807394,"AT1G50735.1","AT1G50735",0,"-",18807394,18807394,0,1,"887,","0,",887,"monoexonic","lincRNA","LC","Species-specific"
"Chr1",18956275,18956542,"AT1G07717.1","AT1G07717",0,"-",18956542,18956542,0,1,"267,","0,",267,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",18956706,18956925,"AT1G07723.1","AT1G07723",0,"+",18956925,18956925,0,1,"219,","0,",219,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",19303124,19303441,"AT1G07773.1","AT1G07773",0,"-",19303441,19303441,0,1,"317,","0,",317,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",19354521,19354861,"AT1G07777.1","AT1G07777",0,"+",19354861,19354861,0,2,"80,171,","0,169,",251,"multiexonic","lincRNA","HC","Species-specific"
"Chr1",19699158,19699526,"AT1G07843.1","AT1G07843",0,"-",19699526,19699526,0,1,"368,","0,",368,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",19796559,19796764,"AT1G07857.1","AT1G07857",0,"-",19796764,19796764,0,1,"205,","0,",205,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",19796661,19796897,"AT1G07863.1","AT1G07863",0,"+",19796897,19796897,0,1,"236,","0,",236,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",19820004,19820432,"AT1G07873.1","AT1G07873",0,"+",19820432,19820432,0,2,"192,148,","0,280,",340,"multiexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",20110906,20111645,"AT1G09635.1","AT1G09635",0,"+",20111645,20111645,0,1,"739,","0,",739,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",20415897,20416145,"AT1G54700.1","AT1G54700",0,"+",20416145,20416145,0,1,"248,","0,",248,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",20926164,20926446,"AT1G08077.1","AT1G08077",0,"+",20926446,20926446,0,1,"282,","0,",282,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",21268097,21268414,"AT1G08147.1","AT1G08147",0,"-",21268414,21268414,0,1,"317,","0,",317,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",21407276,21407477,"AT1G08177.1","AT1G08177",0,"-",21407477,21407477,0,1,"201,","0,",201,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",22007824,22008111,"AT1G08263.1","AT1G08263",0,"+",22008111,22008111,0,1,"287,","0,",287,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",22244178,22244406,"AT1G08313.1","AT1G08313",0,"+",22244406,22244406,0,1,"228,","0,",228,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",22918355,22918592,"AT1G08453.1","AT1G08453",0,"-",22918592,22918592,0,1,"237,","0,",237,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",23295988,23296858,"AT1G62895.1","AT1G62895",0,"+",23296858,23296858,0,5,"30,102,57,39,33,","0,198,444,644,837,",261,"multiexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",23365724,23365930,"AT1G08587.1","AT1G08587",0,"-",23365930,23365930,0,1,"206,","0,",206,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",24384342,24385178,"AT1G65585.1","AT1G65585",0,"+",24385178,24385178,0,1,"836,","0,",836,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",24447826,24448071,"AT1G08773.1","AT1G08773",0,"+",24448071,24448071,0,1,"245,","0,",245,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",24544545,24544782,"AT1G08787.1","AT1G08787",0,"-",24544782,24544782,0,1,"237,","0,",237,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",24576761,24577005,"AT1G08807.1","AT1G08807",0,"-",24577005,24577005,0,1,"244,","0,",244,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",24712284,24712790,"AT1G08827.1","AT1G08827",0,"+",24712790,24712790,0,2,"221,259,","0,247,",480,"multiexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",26281565,26281767,"AT1G09117.1","AT1G09117",0,"+",26281767,26281767,0,1,"202,","0,",202,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",26542321,26542675,"AT1G09173.1","AT1G09173",0,"-",26542675,26542675,0,1,"354,","0,",354,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",26542393,26542642,"AT1G09177.1","AT1G09177",0,"+",26542642,26542642,0,1,"249,","0,",249,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",26544623,26544852,"AT1G09183.1","AT1G09183",0,"-",26544852,26544852,0,1,"229,","0,",229,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",26794195,26794614,"AT1G09217.1","AT1G09217",0,"+",26794614,26794614,0,1,"419,","0,",419,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",27042716,27043026,"AT1G09273.1","AT1G09273",0,"+",27043026,27043026,0,1,"310,","0,",310,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",27073269,27073709,"AT1G09283.1","AT1G09283",0,"-",27073709,27073709,0,2,"121,168,","0,272,",289,"multiexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",27090632,27090945,"AT1G09293.1","AT1G09293",0,"+",27090945,27090945,0,1,"313,","0,",313,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",27305685,27306118,"AT1G09313.1","AT1G09313",0,"-",27306118,27306118,0,1,"433,","0,",433,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",27363311,27363766,"AT1G09337.1","AT1G09337",0,"+",27363766,27363766,0,1,"455,","0,",455,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",27534532,27534769,"AT1G09373.1","AT1G09373",0,"-",27534769,27534769,0,1,"237,","0,",237,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",27641612,27642030,"AT1G09387.1","AT1G09387",0,"+",27642030,27642030,0,1,"418,","0,",418,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",27656279,27656750,"AT1G09393.1","AT1G09393",0,"+",27656750,27656750,0,1,"471,","0,",471,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",27656349,27656750,"AT1G09397.1","AT1G09397",0,"-",27656750,27656750,0,1,"401,","0,",401,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",2825587,2825978,"AT1G04667.1","AT1G04667",0,"+",2825978,2825978,0,2,"247,105,","0,286,",352,"multiexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",28343828,28344031,"AT1G09567.1","AT1G09567",0,"+",28344031,28344031,0,1,"203,","0,",203,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",28343828,28344031,"AT1G09563.1","AT1G09563",0,"-",28344031,28344031,0,1,"203,","0,",203,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",28433918,28434261,"AT1G75717.1","AT1G75717",0,"+",28434261,28434261,0,1,"343,","0,",343,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",28487909,28488251,"AT1G09587.1","AT1G09587",0,"-",28488251,28488251,0,1,"342,","0,",342,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",2865517,2865792,"AT1G04683.1","AT1G04683",0,"-",2865792,2865792,0,1,"275,","0,",275,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",28928286,28928704,"AT1G09697.1","AT1G09697",0,"+",28928704,28928704,0,1,"418,","0,",418,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",29079252,29079454,"AT1G09717.1","AT1G09717",0,"+",29079454,29079454,0,1,"202,","0,",202,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",29466032,29466249,"AT1G09807.1","AT1G09807",0,"+",29466249,29466249,0,1,"217,","0,",217,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",29521019,29521223,"AT1G09813.1","AT1G09813",0,"-",29521223,29521223,0,1,"204,","0,",204,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",29769083,29769583,"AT1G09847.1","AT1G09847",0,"+",29769583,29769583,0,1,"500,","0,",500,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",29769158,29769618,"AT1G09853.1","AT1G09853",0,"-",29769618,29769618,0,1,"460,","0,",460,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",29770175,29770459,"AT1G09857.1","AT1G09857",0,"-",29770459,29770459,0,1,"284,","0,",284,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",2987675,2987995,"AT1G04687.1","AT1G04687",0,"-",2987995,2987995,0,2,"160,110,","0,210,",270,"multiexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",2987675,2988104,"AT1G04693.1","AT1G04693",0,"+",2988104,2988104,0,1,"429,","0,",429,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",30145385,30145878,"AT1G09953.1","AT1G09953",0,"-",30145878,30145878,0,1,"493,","0,",493,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",30145493,30145695,"AT1G09957.1","AT1G09957",0,"+",30145695,30145695,0,1,"202,","0,",202,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",30239644,30239894,"AT1G09967.1","AT1G09967",0,"-",30239894,30239894,0,1,"250,","0,",250,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",30239749,30239969,"AT1G09973.1","AT1G09973",0,"+",30239969,30239969,0,1,"220,","0,",220,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",30297613,30297846,"AT1G09983.1","AT1G09983",0,"+",30297846,30297846,0,1,"233,","0,",233,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",3247778,3248058,"AT1G04753.1","AT1G04753",0,"-",3248058,3248058,0,1,"280,","0,",280,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",3422719,3423058,"AT1G04793.1","AT1G04793",0,"+",3423058,3423058,0,1,"339,","0,",339,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",3529513,3529759,"AT1G04813.1","AT1G04813",0,"-",3529759,3529759,0,1,"246,","0,",246,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",4191062,4191268,"AT1G04943.1","AT1G04943",0,"-",4191268,4191268,0,1,"206,","0,",206,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",4191470,4191780,"AT1G04947.1","AT1G04947",0,"+",4191780,4191780,0,1,"310,","0,",310,"monoexonic","lincRNA","LC","ConservedBySyntenyandSequence"
"Chr1",4580079,4580364,"AT1G05007.1","AT1G05007",0,"-",4580364,4580364,0,1,"285,","0,",285,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",4611525,4611773,"AT1G05013.1","AT1G05013",0,"+",4611773,4611773,0,1,"248,","0,",248,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",4994638,4994874,"AT1G05097.1","AT1G05097",0,"-",4994874,4994874,0,1,"236,","0,",236,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",5131511,5131859,"AT1G05127.1","AT1G05127",0,"+",5131859,5131859,0,1,"348,","0,",348,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",5396177,5396631,"AT1G05177.1","AT1G05177",0,"-",5396631,5396631,0,1,"454,","0,",454,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",559734,560251,"AT1G04137.1","AT1G04137",0,"+",560251,560251,0,1,"517,","0,",517,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",5642763,5642985,"AT1G05233.1","AT1G05233",0,"+",5642985,5642985,0,1,"222,","0,",222,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",6449228,6449459,"AT1G05407.1","AT1G05407",0,"-",6449459,6449459,0,1,"231,","0,",231,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",6449435,6449681,"AT1G05413.1","AT1G05413",0,"+",6449681,6449681,0,1,"246,","0,",246,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",6620853,6621071,"AT1G05473.1","AT1G05473",0,"-",6621071,6621071,0,1,"218,","0,",218,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",6635119,6635338,"AT1G05477.1","AT1G05477",0,"-",6635338,6635338,0,1,"219,","0,",219,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",6813646,6814005,"AT1G05507.1","AT1G05507",0,"+",6814005,6814005,0,1,"359,","0,",359,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",7336673,7336952,"AT1G05613.1","AT1G05613",0,"-",7336952,7336952,0,1,"279,","0,",279,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",7344746,7345128,"AT1G05617.1","AT1G05617",0,"+",7345128,7345128,0,1,"382,","0,",382,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",7370610,7370903,"AT1G05623.1","AT1G05623",0,"+",7370903,7370903,0,1,"293,","0,",293,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",7460103,7460501,"AT1G05647.1","AT1G05647",0,"-",7460501,7460501,0,1,"398,","0,",398,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",7471089,7471300,"AT1G05653.1","AT1G05653",0,"+",7471300,7471300,0,1,"211,","0,",211,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",7473010,7473358,"AT1G05657.1","AT1G05657",0,"+",7473358,7473358,0,1,"348,","0,",348,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",7730910,7731144,"AT1G21973.1","AT1G21973",0,"-",7731144,7731144,0,1,"234,","0,",234,"monoexonic","lincRNA","LC","Species-specific"
"Chr1",8205160,8205381,"AT1G05793.1","AT1G05793",0,"-",8205381,8205381,0,1,"221,","0,",221,"monoexonic","lincRNA","HC","Species-specific"
"Chr1",8303800,8304028,"AT1G05803.1","AT1G05803",0,"-",8304028,8304028,0,1,"228,","0,",228,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",8598623,8598990,"AT1G05863.1","AT1G05863",0,"+",8598990,8598990,0,1,"367,","0,",367,"monoexonic","lincRNA","HC","ConservedBySyntenyandSequence"
"Chr1",8649815,8650056,"AT1G05893.1","AT1G05893",0,"-",8650056,8650056,0,1,"241,","0,",241,"monoexonic","lincRNA","HC","Species-specific"
