Orthogroup	Brassica_rapa	Arabidopsis_halleri
OG0000032	Bra034039, Bra004199	g30630
OG0000032	Bra034042, Bra004198, Bra038467	g23296, g08573, g23297
OG0000032	Bra008687	g31046
OG0000032	Bra016274	g23311
OG0000033	Bra015597	g04849
OG0000033	Bra019755, Bra026682, Bra026978, Bra026924, Bra026923, Bra026977	g04857
OG0000033	Bra016785	g04856
OG0000033	Bra026979	g04848
OG0000037	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010	g11382, g03690
OG0000037	Bra037560	g31441, g21632
OG0000037	Bra034778	g05823
OG0000037	Bra006719, Bra018210, Bra002571, Bra019486	g11023, g12716, g12714
OG0000037	Bra009081, Bra006033, Bra028615	g19152
OG0000038	Bra025236	g20793
OG0000038	Bra034248	g20486, g20795, g27649, g28458, g28459, g27650, g28457
OG0000038	Bra023272	g14872
OG0000038	Bra006939	g20463, g23746, g20462
OG0000038	Bra040480	g16757, g16755, g16756, g16754, g16761, g16759, g16758
OG0000039	Bra012706	g14340
OG0000039	Bra027990, Bra013661, Bra013659, Bra013658, Bra013660, Bra020828, Bra020827, Bra013657	g32065, g32153
OG0000039	Bra013199	g14341
OG0000039	Bra035217	g20693
OG0000039	Bra035222	g20690
OG0000039	Bra019319, Bra013679	g20684
OG0000039	Bra000745	g20687
OG0000040	Bra006362	g00106
OG0000040	Bra023128	g05807
OG0000040	Bra025601, Bra032189	g20976
OG0000040	Bra012153	g20979
OG0000040	Bra016001	g17644, g04081, g32325, g04080
OG0000041	Bra033927	g26902
OG0000041	Bra029501	g28291
OG0000041	Bra033922, Bra017679, Bra035991, Bra018033, Bra028038, Bra035314, Bra038115, Bra014805, Bra040867, Bra038304, Bra014058, Bra037613, Bra030392	g28563
OG0000042	Bra024503	g16490
OG0000043	Bra005562, Bra005563	g25539
OG0000043	Bra002305, Bra006560	g12072
OG0000043	Bra029191, Bra006717, Bra021289, Bra007256, Bra027572	g23662
OG0000043	Bra022422, Bra014313	g26239
OG0000043	Bra036778, Bra037076, Bra035695, Bra035694	g12793
OG0000043	Bra015204, Bra027938	g12827
OG0000044	Bra018182	g12776
OG0000044	Bra028374	g17768
OG0000044	Bra036658, Bra027069, Bra028375	g17798, g17779, g17761, g08499, g17774
OG0000044	Bra034464	g17788
OG0000045	Bra013596, Bra013683	g14326, g14328
OG0000045	Bra019329	g14345
OG0000045	Bra020821	g14350
OG0000045	Bra019322, Bra013678, Bra023844, Bra038935	g32297, g32183
OG0000045	Bra019323, Bra012544, Bra019320, Bra019325, Bra041081	g14338
OG0000046	Bra027599	g26404, g05063, g28495, g26397
OG0000046	Bra021956	g32475
OG0000047	Bra030120, Bra032680, Bra040765, Bra003058, Bra033203, Bra033202, Bra020938, Bra030257, Bra015151, Bra019496	g08259, g07862
OG0000048	Bra038150	g21293, g26467, g27608, g31028, g29900
OG0000050	Bra003745	g10563
OG0000050	Bra003745	g32436
OG0000051	Bra005989, Bra028659	g30313
OG0000051	Bra032978, Bra025247	g20500
OG0000051	Bra028480, Bra025532	g22403
OG0000051	Bra040553	g22404, g25824
OG0000051	Bra019556, Bra029911, Bra018044	g16714
OG0000052	Bra014726, Bra031447, Bra008247	g31228, g09250
OG0000052	Bra035315	g26932, g29688
OG0000053	Bra012037, Bra019453	g11997
OG0000053	Bra025438	g22060, g20617
OG0000053	Bra039723	g23213
OG0000053	Bra023786, Bra033898	g22774
OG0000053	Bra000214	g21179
OG0000053	Bra003251	g21179
OG0000053	Bra014671	g21179
OG0000053	Bra000214	g24511
OG0000053	Bra003251	g24511
OG0000053	Bra014671	g24511
OG0000053	Bra007269	g26203
OG0000054	Bra019742, Bra016791	g04868
OG0000054	Bra034519, Bra027039	g17837
OG0000054	Bra000777, Bra000778	g30076, g30075
OG0000054	Bra000377	g09829
OG0000054	Bra013619	g14432
OG0000057	Bra020447, Bra002733	g16820, g26590
OG0000057	Bra016610	g09864
OG0000057	Bra007524, Bra014496	g05593
OG0000057	Bra029249	g12266
OG0000057	Bra007845	g08857
OG0000057	Bra003576, Bra035163	g01581
OG0000057	Bra008288	g30478
OG0000057	Bra013168	g29566
OG0000057	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101	g04206
OG0000057	Bra038835, Bra024452	g22678
OG0000059	Bra015818, Bra010300, Bra017886, Bra036742, Bra025006, Bra031176, Bra025815, Bra008239, Bra014053	g26631, g19585, g27800, g07620, g31485, g27799, g07619
OG0000060	Bra006685, Bra006639, Bra002436	g27279
OG0000060	Bra003150	g19444, g06108, g11373
OG0000060	Bra039810, Bra007018	g03675
OG0000060	Bra020275, Bra002520	g10964, g29037, g29046
OG0000062	Bra025472, Bra001775	g29002
OG0000062	Bra027515, Bra030126	g26205
OG0000062	Bra001329	g28278, g20190
OG0000062	Bra038254	g08601, g08602
OG0000064	Bra036460, Bra036688	g20861
OG0000064	Bra011053	g04373
OG0000064	Bra033704	g17542
OG0000064	Bra032526	g02046
OG0000064	Bra022871	g07946
OG0000064	Bra030993	g25933
OG0000064	Bra006561, Bra020105	g12071
OG0000064	Bra014582, Bra003324	g16576
OG0000064	Bra027968	g30786
OG0000064	Bra030739, Bra018605	g18228
OG0000065	Bra033737, Bra039506, Bra027544	g28608
OG0000065	Bra009710	g29092
OG0000065	Bra010114	g12769
OG0000065	Bra019493	g12769
OG0000066	Bra012766	g22677, g29390, g29411
OG0000066	Bra024726, Bra024727	g25689
OG0000066	Bra009339	g13518, g07527
OG0000066	Bra012391	g22529, g22530
OG0000066	Bra012394, Bra012395, Bra012392	g13611, g13612, g13610
OG0000068	Bra025795	g28073, g28075, g13562
OG0000068	Bra015801, Bra008231, Bra003735	g01147
OG0000068	Bra018756, Bra014159, Bra018757	g05634
OG0000068	Bra014519	g05633, g11296, g11297, g31556, g00482
OG0000069	Bra035673	g02447
OG0000069	Bra017178	g02447
OG0000069	Bra005185	g02447
OG0000069	Bra018691	g02447
OG0000069	Bra031594	g02447
OG0000069	Bra007023	g02447
OG0000069	Bra006699	g02447
OG0000069	Bra000481	g02447
OG0000069	Bra035673	g11380
OG0000069	Bra017178	g11380
OG0000069	Bra005185	g11380
OG0000069	Bra018691	g11380
OG0000069	Bra031594	g11380
OG0000069	Bra007023	g11380
OG0000069	Bra006699	g11380
OG0000069	Bra000481	g11380
OG0000069	Bra035673	g02427
OG0000069	Bra017178	g02427
OG0000069	Bra005185	g02427
OG0000069	Bra018691	g02427
OG0000069	Bra031594	g02427
OG0000069	Bra007023	g02427
OG0000069	Bra006699	g02427
OG0000069	Bra000481	g02427
OG0000069	Bra035673	g12696
OG0000069	Bra017178	g12696
OG0000069	Bra005185	g12696
OG0000069	Bra018691	g12696
OG0000069	Bra031594	g12696
OG0000069	Bra007023	g12696
OG0000069	Bra006699	g12696
OG0000069	Bra000481	g12696
OG0000069	Bra035673	g10988
OG0000069	Bra017178	g10988
OG0000069	Bra005185	g10988
OG0000069	Bra018691	g10988
OG0000069	Bra031594	g10988
OG0000069	Bra007023	g10988
OG0000069	Bra006699	g10988
OG0000069	Bra000481	g10988
OG0000069	Bra035673	g10955
OG0000069	Bra017178	g10955
OG0000069	Bra005185	g10955
OG0000069	Bra018691	g10955
OG0000069	Bra031594	g10955
OG0000069	Bra007023	g10955
OG0000069	Bra006699	g10955
OG0000069	Bra000481	g10955
OG0000069	Bra020297, Bra030704	g31068
OG0000069	Bra038268, Bra011929	g07039
OG0000070	Bra011889, Bra033581	g02758
OG0000070	Bra031171	g23929
OG0000070	Bra037243, Bra039909, Bra024482	g24982
OG0000070	Bra010501, Bra017747, Bra011662	g03107
OG0000070	Bra003746, Bra015832	g01101
OG0000070	Bra025770	g13868
OG0000070	Bra013061	g31172
OG0000070	Bra011560	g00451
OG0000071	Bra034361	g13355
OG0000071	Bra000470	g24271, g24246, g32083, g12446, g05722, g30656, g30654, g18444
OG0000071	Bra002161	g04735, g04736, g17492
OG0000072	Bra002449	g28888, g29177, g05644, g27353, g26095, g21269, g24372, g04325
OG0000074	Bra002592	g11051
OG0000074	Bra018188	g12760, g12761
OG0000074	Bra006729	g11045
OG0000074	Bra020349, Bra020347, Bra020348, Bra020350, Bra020351	g30274, g08319
OG0000074	Bra006728, Bra002586	g11042, g11044
OG0000077	Bra021824	g03196
OG0000077	Bra005510	g03193
OG0000077	Bra005525	g03227, g03229
OG0000077	Bra005528, Bra005527	g03202
OG0000077	Bra021842	g03228
OG0000077	Bra022907, Bra005530	g03198
OG0000077	Bra021751, Bra021750, Bra021806, Bra032039, Bra021868, Bra021805, Bra021913, Bra021746, Bra021749, Bra021748, Bra005567	g18504
OG0000078	Bra016477, Bra012210	g13567
OG0000078	Bra015807	g01133
OG0000078	Bra011578, Bra001994	g00426
OG0000078	Bra037248, Bra002093, Bra040869	g00309
OG0000078	Bra011651, Bra017740	g25005
OG0000078	Bra038892, Bra036819, Bra012858	g14899
OG0000079	Bra023952, Bra011345	g00728
OG0000079	Bra005845, Bra028768	g26050
OG0000079	Bra033714	g17521
OG0000079	Bra006407	g00028
OG0000079	Bra011865	g02814
OG0000079	Bra006036	g19159
OG0000080	Bra010650	g09414, g29853
OG0000080	Bra022730, Bra022727	g09385
OG0000080	Bra002990, Bra024630	g19048, g09324, g09297, g09235, g09237, g09331, g09336, g09226, g09216, g10937, g30568, g10935, g09334, g16964, g19049
OG0000083	Bra016284, Bra024691	g08067, g24424
OG0000083	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690	g04657
OG0000083	Bra017393	g23619
OG0000083	Bra024783, Bra024782	g23618
OG0000083	Bra017394, Bra017395, Bra026565, Bra024784	g13835
OG0000084	Bra029076, Bra022645	g23032
OG0000084	Bra027688, Bra027749	g29756
OG0000084	Bra013049, Bra001995	g23262
OG0000084	Bra002842	g23468
OG0000084	Bra001347, Bra041101	g11731
OG0000085	Bra024078, Bra023947	g00692
OG0000085	Bra024195	g29116
OG0000085	Bra039802, Bra007010	g20362
OG0000086	Bra013901, Bra019151, Bra010456	g10264
OG0000086	Bra033236	g01733
OG0000086	Bra006686	g10966
OG0000086	Bra006687, Bra002522, Bra020277	g10967
OG0000086	Bra038266	g29038, g29042
OG0000088	Bra038286	g29875
OG0000088	Bra006669, Bra002497	g10916
OG0000088	Bra020259, Bra002500, Bra002499, Bra006670	g10918
OG0000088	Bra002498	g10917
OG0000088	Bra019469	g29874, g29877
OG0000088	Bra038287, Bra002064	g29878
OG0000088	Bra029544, Bra038289	g29881
OG0000088	Bra006666, Bra006668	g10915
OG0000090	Bra018400	g06983, g06982
OG0000090	Bra018391, Bra039974, Bra039969, Bra018393, Bra018396	g30732
OG0000090	Bra039966	g06976, g02403
OG0000090	Bra039513, Bra018399, Bra039971, Bra039973, Bra039967, Bra000477	g06984
OG0000093	Bra021561	g13143
OG0000094	Bra027089	g19843
OG0000094	Bra027084, Bra031429	g19834
OG0000094	Bra027087, Bra031433	g19839, g19836
OG0000094	Bra027088	g19841
OG0000094	Bra031434	g19842
OG0000094	Bra038579	g19844
OG0000095	Bra013721, Bra034099	g10463, g10462
OG0000095	Bra019280, Bra019278	g20738
OG0000095	Bra026176	g10089
OG0000095	Bra026653	g21379
OG0000096	Bra035460	g24740
OG0000096	Bra003124	g20393
OG0000096	Bra008138	g00961, g00960
OG0000096	Bra015930, Bra003729, Bra008137, Bra003816	g00958
OG0000096	Bra032058, Bra034253	g13227, g30231, g30233
OG0000098	Bra017241, Bra023065	g23302, g03543
OG0000098	Bra034314	g29608
OG0000098	Bra025424	g28224
OG0000098	Bra026124	g10027
OG0000098	Bra026156, Bra026157, Bra016669	g31982
OG0000098	Bra003527	g26652
OG0000098	Bra021173, Bra027171	g06580
OG0000099	Bra032602	g28351
OG0000099	Bra016215	g03787
OG0000102	Bra010034, Bra031446, Bra005391, Bra040876, Bra034905, Bra038986, Bra038643	g21415
OG0000103	Bra033170	g25327
OG0000103	Bra013544, Bra038768, Bra038766	g21758
OG0000103	Bra037906	g25325
OG0000103	Bra023300, Bra023297	g17624, g17625
OG0000104	Bra004659, Bra016901	g17258
OG0000104	Bra004707	g17336
OG0000104	Bra014070, Bra014188, Bra014215, Bra015604	g10679
OG0000104	Bra004684	g17304
OG0000106	Bra022489	g26074, g31130, g31126, g27836
OG0000106	Bra040199, Bra040200	g26082, g26081
OG0000106	Bra022491	g26080
OG0000106	Bra029304, Bra029303, Bra029299	g15143, g08387, g28720
OG0000108	Bra014798, Bra007090	g11491
OG0000108	Bra005071, Bra005070, Bra005069, Bra000107, Bra017275, Bra017093	g12450
OG0000108	Bra027463, Bra027488, Bra035979, Bra027490, Bra035978, Bra033673, Bra035977, Bra033675, Bra027487	g17604, g17603, g17607
OG0000109	Bra018879, Bra018880	g25585, g25586
OG0000109	Bra038047	g30901
OG0000109	Bra018874	g13237, g13236, g25584, g25583, g25581
OG0000110	Bra038504	g17198
OG0000110	Bra021082	g17196
OG0000110	Bra000568, Bra000727	g08795, g08793, g08794
OG0000110	Bra025164, Bra025163	g19568, g21052, g19570
OG0000112	Bra000502, Bra018711, Bra019625, Bra009934	g01030
OG0000113	Bra031480	g09918, g16483, g16495, g16493
OG0000114	Bra033499	g20252, g20253
OG0000114	Bra038076	g20249, g20250
OG0000114	Bra033503, Bra033501	g20251
OG0000115	Bra002103, Bra006418, Bra023635	g13330
OG0000115	Bra024477, Bra037232	g24947, g24948, g24949
OG0000115	Bra038874	g14934
OG0000115	Bra036846, Bra012877	g14935
OG0000117	Bra004768	g29441, g18018
OG0000117	Bra037705, Bra037707	g18020
OG0000117	Bra000309	g18019
OG0000118	Bra033020, Bra016175	g19316, g27989, g27062
OG0000119	Bra004755	g17990, g17991, g18009
OG0000119	Bra012460	g05311
OG0000119	Bra009933, Bra030340	g12570
OG0000119	Bra006331	g30000, g12485
OG0000120	Bra032635	g01785
OG0000120	Bra026297	g23020
OG0000120	Bra004539, Bra039283	g09688
OG0000121	Bra015809	g01132, g25399
OG0000121	Bra025396	g28465
OG0000123	Bra003310, Bra000376	g05556, g09830
OG0000123	Bra040738, Bra012710	g23081
OG0000123	Bra013172	g29627
OG0000123	Bra013578, Bra019407	g21809
OG0000125	Bra000735, Bra032069	g28289
OG0000125	Bra032068	g08911, g30742, g08908, g28283, g28284, g08907
OG0000125	Bra032065, Bra032064	g08803, g08804, g08802, g08799, g08800, g08902, g08906
OG0000126	Bra027823, Bra027162	g28456
OG0000126	Bra039483, Bra031955	g26618
OG0000128	Bra036715, Bra040124, Bra021590, Bra040128, Bra032811, Bra032858	g06213
OG0000128	Bra040127, Bra040270	g06215, g06214
OG0000129	Bra023232, Bra029851	g19000
OG0000129	Bra021260	g06544
OG0000130	Bra040265	g07141
OG0000132	Bra039617	g21971
OG0000132	Bra010560, Bra011691	g03067
OG0000132	Bra012183, Bra025745	g13895
OG0000132	Bra008186	g01063
OG0000132	Bra011870	g02805
OG0000132	Bra000579, Bra031209, Bra030285	g23975
OG0000133	Bra016178	g03830
OG0000133	Bra012362, Bra016364	g25706, g25707
OG0000133	Bra007946, Bra007945, Bra016182	g03828
OG0000134	Bra022036	g27849
OG0000135	Bra003989, Bra007873, Bra007874	g25182
OG0000137	Bra010827, Bra010826, Bra032321, Bra010828	g13102
OG0000138	Bra035034	g01402
OG0000138	Bra021830, Bra022928	g03208
OG0000138	Bra025997	g09875
OG0000138	Bra000327, Bra014753, Bra000645, Bra004111, Bra000183, Bra017014	g26114, g12614, g12618
OG0000140	Bra015114	g30370
OG0000143	Bra037571, Bra022341	g21615
OG0000143	Bra031864	g07431
OG0000143	Bra025619, Bra025607, Bra025609	g26761, g29024, g26751
OG0000144	Bra039327, Bra039328	g09786
OG0000144	Bra039329	g17709
OG0000144	Bra004921	g09784
OG0000146	Bra020805	g00403
OG0000146	Bra002020	g30039
OG0000146	Bra013032	g09323, g30040
OG0000146	Bra002019, Bra013031	g30036, g30035
OG0000149	Bra003333	g24610
OG0000149	Bra030813	g24609, g24608, g24606
OG0000151	Bra010505, Bra002389, Bra001081, Bra024684, Bra037882, Bra012262	g24785, g30812, g23548, g17488, g21961, g05790
OG0000153	Bra002580, Bra002553, Bra006705, Bra006704, Bra006703, Bra002550, Bra002551, Bra002548, Bra020306	g13399
OG0000153	Bra020291, Bra006678, Bra038408, Bra002507, Bra002511, Bra002534	g10925, g10938
OG0000154	Bra014510, Bra007510	g05617
OG0000154	Bra004837, Bra037650	g18127
OG0000155	Bra018283, Bra018282, Bra021616, Bra021613, Bra029251	g25757, g06941, g25772
OG0000155	Bra018281, Bra022823	g25758
OG0000155	Bra007734	g05264
OG0000156	Bra006829	g32541, g32461
OG0000156	Bra032928	g20725
OG0000156	Bra040819	g20723
OG0000156	Bra040821	g20721, g20722
OG0000156	Bra034237	g20719
OG0000157	Bra036026, Bra035546	g28277
OG0000158	Bra002961, Bra027891	g17053
OG0000158	Bra000087, Bra034378	g24272, g24276
OG0000158	Bra029173, Bra022550	g17052, g13360
OG0000159	Bra026450, Bra041015	g10188
OG0000160	Bra016243, Bra016242, Bra016222	g11460, g03743, g03742, g03745
OG0000162	Bra026558, Bra017391	g23609, g23614
OG0000162	Bra038144	g27039
OG0000163	Bra013176	g31176, g17038
OG0000164	Bra013565, Bra038753	g21786
OG0000164	Bra020868	g21784
OG0000164	Bra000806	g21465, g21466
OG0000165	Bra034940, Bra037852, Bra040462	g08349, g14089, g26520, g22130, g29534, g29833
OG0000166	Bra034278	g06342
OG0000166	Bra013112, Bra008930	g14214, g14210
OG0000166	Bra001388, Bra034161, Bra034163	g05935, g05942
OG0000167	Bra038734	g05774
OG0000167	Bra016644, Bra026084	g09988
OG0000167	Bra009583	g19451
OG0000170	Bra038618	g12330
OG0000171	Bra033416	g01992
OG0000171	Bra034210, Bra000823	g08992
OG0000171	Bra020727	g26308
OG0000173	Bra040965, Bra027116	g19923
OG0000173	Bra009436	g20720, g15716, g23313
OG0000174	Bra040627	g23287
OG0000174	Bra030699, Bra008375, Bra027114, Bra027111, Bra018687	g16663
OG0000178	Bra015465	g02240
OG0000178	Bra023229	g16062
OG0000178	Bra027159	g30119, g28259, g28237
OG0000178	Bra015425	g02241, g04530, g25054
OG0000179	Bra033624	g19031, g19032
OG0000179	Bra028210	g25018, g32005
OG0000179	Bra011859	g02825
OG0000179	Bra033625, Bra033626	g00755
OG0000180	Bra025781	g01107
OG0000180	Bra011556	g02764
OG0000180	Bra017674	g02764
OG0000180	Bra013066	g02764
OG0000180	Bra034649	g02764
OG0000180	Bra033584	g02764
OG0000180	Bra011556	g00456
OG0000180	Bra017674	g00456
OG0000180	Bra013066	g00456
OG0000180	Bra034649	g00456
OG0000180	Bra033584	g00456
OG0000180	Bra011556	g26536
OG0000180	Bra017674	g26536
OG0000180	Bra013066	g26536
OG0000180	Bra034649	g26536
OG0000180	Bra033584	g26536
OG0000181	Bra028178, Bra035308, Bra034409, Bra018358, Bra037423	g07483, g31577, g14613, g16766, g27414, g14305, g27374, g24640, g12141, g26400, g28909, g29759, g29750, g25130, g26942, g25101, g18554, g13186, g07048, g18726, g29293, g06851, g11489, g01096, g29347, g01366, g00111, g14281, g12820
OG0000182	Bra012524	g05139
OG0000182	Bra021946, Bra025100	g23667
OG0000182	Bra024835	g10137
OG0000183	Bra019513	g12857
OG0000183	Bra033785, Bra018113	g12856
OG0000183	Bra018115, Bra018114	g12854, g12855
OG0000183	Bra015049	g12853
OG0000184	Bra026957	g22727, g04805
OG0000184	Bra028267, Bra026882, Bra026958, Bra026954, Bra031731, Bra026884, Bra026836, Bra026971, Bra016762	g04818, g04815, g04847, g04806, g31814, g04816
OG0000185	Bra011005	g28436, g20600
OG0000186	Bra032917	g26228
OG0000186	Bra030108, Bra030107, Bra030106	g13018, g13017
OG0000188	Bra017689, Bra023147, Bra032406	g25534, g20605, g31445, g26431
OG0000188	Bra041113	g31582, g17003, g19645, g26509
OG0000188	Bra018174, Bra036960	g31677, g22061, g29191, g29190, g21290
OG0000190	Bra019779	g04810, g04811
OG0000190	Bra035832, Bra023145, Bra035831	g04808
OG0000191	Bra006865, Bra002804	g24076
OG0000191	Bra031101, Bra036705, Bra039019	g20920
OG0000191	Bra039018, Bra031097, Bra036707	g20921
OG0000191	Bra011099	g04303
OG0000192	Bra017539	g07711
OG0000192	Bra012621	g22622
OG0000192	Bra030503, Bra033331	g01861, g01862
OG0000192	Bra003445, Bra002094	g09185
OG0000192	Bra003490	g05376
OG0000192	Bra040475, Bra004484	g09624
OG0000193	Bra018729	g17422
OG0000193	Bra001686, Bra022247, Bra021276	g16121
OG0000193	Bra039756	g22086
OG0000193	Bra028132	g20595
OG0000193	Bra023573, Bra008612	g00114
OG0000194	Bra004570	g27522
OG0000194	Bra004569	g27521
OG0000194	Bra037082	g16374, g15934, g15933
OG0000194	Bra000186, Bra000185	g12633
OG0000195	Bra035007, Bra022234, Bra025146, Bra034105, Bra038393, Bra024745, Bra036268, Bra002701, Bra040784, Bra037893, Bra004868, Bra024525	g20446, g03308, g13382
OG0000197	Bra029220	g00411, g12358
OG0000197	Bra029219	g08207, g08205, g08203
OG0000197	Bra040935, Bra040936	g26237
OG0000198	Bra015067	g30681, g29154, g29153, g30678
OG0000198	Bra000504	g27380, g27379, g27375
OG0000198	Bra011996, Bra026648	g30685, g30683, g30682, g30828, g30684
OG0000199	Bra002527	g10974
OG0000199	Bra019475	g27038, g29048
OG0000199	Bra005767	g15847
OG0000199	Bra003149, Bra039807	g11368
OG0000201	Bra010225, Bra023988	g00811
OG0000202	Bra018875	g17471
OG0000203	Bra039286	g26025, g15863
OG0000203	Bra004352	g32084
OG0000204	Bra010659	g02859
OG0000204	Bra040994	g25026, g26580
OG0000204	Bra011836, Bra010661, Bra010660, Bra009425	g02858, g27690
OG0000205	Bra016712, Bra019683, Bra026860	g04653
OG0000205	Bra039838, Bra015217	g14244, g14243
OG0000205	Bra016711	g04652
OG0000206	Bra033016	g29773, g28421, g08170
OG0000206	Bra006582	g12032
OG0000207	Bra029322, Bra014669, Bra023557, Bra023082	g07107
OG0000210	Bra036897, Bra020467	g28593
OG0000210	Bra033509, Bra013449	g05173
OG0000210	Bra022813	g30723, g25722
OG0000211	Bra025884	g13442
OG0000212	Bra028498, Bra027900, Bra028983, Bra013725, Bra037618	g09135
OG0000212	Bra011004, Bra032500, Bra032593, Bra005518	g27761
OG0000213	Bra032916, Bra024583, Bra001328, Bra001330, Bra024586, Bra035947	g22718, g18392, g18416, g32416, g18393, g18429, g18396
OG0000214	Bra000799	g21416
OG0000214	Bra000797, Bra017551, Bra000796, Bra017552	g21419
OG0000214	Bra022095, Bra018496	g21417
OG0000214	Bra029470, Bra029499, Bra018493, Bra018492	g24415
OG0000216	Bra027370	g06836
OG0000216	Bra013299, Bra012602	g22584
OG0000216	Bra001551, Bra021556, Bra027338	g06801
OG0000216	Bra001550, Bra021555	g06802
OG0000217	Bra040648	g17692
