Orthogroup	Brassica_rapa	Arabis_alpina
OG0000068	Bra018756, Bra014159, Bra018757	AALP_AA4G072500, AALP_AA4G072600
OG0000068	Bra014519	AALP_AA5G254800, AALP_AA5G254700
OG0000069	Bra035673	AALP_AA1G077500
OG0000069	Bra017178	AALP_AA1G077500
OG0000069	Bra005185	AALP_AA1G077500
OG0000069	Bra018691	AALP_AA1G077500
OG0000069	Bra031594	AALP_AA1G077500
OG0000069	Bra007023	AALP_AA1G077500
OG0000069	Bra006699	AALP_AA1G077500
OG0000069	Bra000481	AALP_AA1G077500
OG0000069	Bra035673	AALP_AA4G151600
OG0000069	Bra017178	AALP_AA4G151600
OG0000069	Bra005185	AALP_AA4G151600
OG0000069	Bra018691	AALP_AA4G151600
OG0000069	Bra031594	AALP_AA4G151600
OG0000069	Bra007023	AALP_AA4G151600
OG0000069	Bra006699	AALP_AA4G151600
OG0000069	Bra000481	AALP_AA4G151600
OG0000069	Bra035673	AALP_AA5G083600
OG0000069	Bra017178	AALP_AA5G083600
OG0000069	Bra005185	AALP_AA5G083600
OG0000069	Bra018691	AALP_AA5G083600
OG0000069	Bra031594	AALP_AA5G083600
OG0000069	Bra007023	AALP_AA5G083600
OG0000069	Bra006699	AALP_AA5G083600
OG0000069	Bra000481	AALP_AA5G083600
OG0000069	Bra035673	AALP_AA5G170000
OG0000069	Bra017178	AALP_AA5G170000
OG0000069	Bra005185	AALP_AA5G170000
OG0000069	Bra018691	AALP_AA5G170000
OG0000069	Bra031594	AALP_AA5G170000
OG0000069	Bra007023	AALP_AA5G170000
OG0000069	Bra006699	AALP_AA5G170000
OG0000069	Bra000481	AALP_AA5G170000
OG0000069	Bra035673	AALP_AA5G083900
OG0000069	Bra017178	AALP_AA5G083900
OG0000069	Bra005185	AALP_AA5G083900
OG0000069	Bra018691	AALP_AA5G083900
OG0000069	Bra031594	AALP_AA5G083900
OG0000069	Bra007023	AALP_AA5G083900
OG0000069	Bra006699	AALP_AA5G083900
OG0000069	Bra000481	AALP_AA5G083900
OG0000069	Bra035673	AALP_AA8G392100
OG0000069	Bra017178	AALP_AA8G392100
OG0000069	Bra005185	AALP_AA8G392100
OG0000069	Bra018691	AALP_AA8G392100
OG0000069	Bra031594	AALP_AA8G392100
OG0000069	Bra007023	AALP_AA8G392100
OG0000069	Bra006699	AALP_AA8G392100
OG0000069	Bra000481	AALP_AA8G392100
OG0000069	Bra035673	AALP_AA8G395900
OG0000069	Bra017178	AALP_AA8G395900
OG0000069	Bra005185	AALP_AA8G395900
OG0000069	Bra018691	AALP_AA8G395900
OG0000069	Bra031594	AALP_AA8G395900
OG0000069	Bra007023	AALP_AA8G395900
OG0000069	Bra006699	AALP_AA8G395900
OG0000069	Bra000481	AALP_AA8G395900
OG0000070	Bra011889, Bra033581	AALP_AA7G266200
OG0000070	Bra031171	AALP_AA2G165700
OG0000070	Bra037243, Bra039909, Bra024482	AALP_AA3G340300
OG0000070	Bra010501, Bra017747, Bra011662	AALP_AA7G235900
OG0000070	Bra003746, Bra015832	AALP_AA2G198100
OG0000070	Bra025770	AALP_AA1G217300
OG0000070	Bra013061	AALP_AA3G326200
OG0000070	Bra011560	AALP_AA7G218300
OG0000071	Bra004470, Bra013474, Bra014098, Bra002161	AALP_AA4G080600
OG0000072	Bra037255, Bra034491, Bra038572, Bra015152, Bra038404, Bra002449	AALP_AA1G177000
OG0000073	Bra032705	AALP_AA7G055000
OG0000074	Bra002592	AALP_AA8G385200
OG0000074	Bra018188	AALP_AA5G090000
OG0000074	Bra006728, Bra002586	AALP_AA8G381500
OG0000075	Bra038397, Bra039996, Bra033475, Bra001969, Bra025230, Bra011114, Bra027571, Bra026655, Bra038984, Bra036277, Bra036924, Bra033530, Bra023604, Bra010445, Bra029382, Bra038105, Bra028951, Bra029676, Bra038822, Bra038823, Bra037023, Bra013060, Bra022006, Bra003078, Bra007037, Bra021986, Bra019400, Bra029385, Bra005084, Bra008503	AALP_AA1G304000
OG0000077	Bra005525, Bra005528, Bra005527	AALP_AA6G066400
OG0000077	Bra021842	AALP_AA6G063700
OG0000077	Bra022907, Bra005530	AALP_AA6G066500
OG0000078	Bra016477, Bra012210	AALP_AA1G219700
OG0000078	Bra015807	AALP_AA2G202200
OG0000078	Bra001994	AALP_AA7G222000, AALP_AA4G166100
OG0000078	Bra022004, Bra025045	AALP_AA6G120700
OG0000078	Bra037248, Bra002093, Bra040869	AALP_AA3G337500, AALP_AA7G234300
OG0000078	Bra038892, Bra036819, Bra012858	AALP_AA5G136700
OG0000079	Bra023952, Bra011345	AALP_AA7G186800
OG0000079	Bra033714	AALP_AA6G143600
OG0000079	Bra006407	AALP_AA8G184200
OG0000079	Bra006036	AALP_AA8G091900
OG0000080	Bra010650	AALP_AA8G330800
OG0000080	Bra002989, Bra002987	AALP_AA2G225600, AALP_AA2G225500, AALP_AA2G225400, AALP_AA2G225100
OG0000083	Bra010468	AALP_AA7G080800
OG0000083	Bra016284, Bra024691	AALP_AA1G278500
OG0000083	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690	AALP_AA1G154500, AALP_AA1G155200, AALP_AA1G154600
OG0000083	Bra017393	AALP_AA5G020900
OG0000083	Bra024783, Bra024782	AALP_AA5G021000
OG0000083	Bra017394, Bra017395, Bra026565, Bra024784	AALP_AA5G019500
OG0000084	Bra013049, Bra001995	AALP_AA4G166200
OG0000085	Bra024078, Bra023947	AALP_AA8G438200
OG0000085	Bra024195	AALP_AA3G349600
OG0000085	Bra039802, Bra007010, Bra024579	AALP_AA7G240300
OG0000086	Bra028304, Bra029119	AALP_AA8G300400
OG0000086	Bra006686	AALP_AA8G395300
OG0000086	Bra006687, Bra002522, Bra020277	AALP_AA8G395200
OG0000086	Bra038266	AALP_AA5G084200
OG0000088	Bra006669, Bra002497	AALP_AA8G400300
OG0000088	Bra020259, Bra002500, Bra002499, Bra006670	AALP_AA8G399900, AALP_AA8G400100
OG0000090	Bra018400	AALP_AA3G342400, AALP_AAs67532U000400
OG0000090	Bra039513, Bra018399, Bra039971, Bra039973, Bra039967, Bra000477	AALP_AAs48252U001400
OG0000094	Bra027089	AALP_AA2G031600
OG0000094	Bra027084, Bra031429, Bra027087, Bra031433	AALP_AA2G029700
OG0000094	Bra016844	AALP_AA4G160600
OG0000095	Bra013721, Bra034099	AALP_AA2G045800, AALP_AA7G066600
OG0000095	Bra019280, Bra019278	AALP_AA7G066500
OG0000095	Bra010541	AALP_AAs42177U000100
OG0000095	Bra024879	AALP_AA5G003300
OG0000095	Bra017446	AALP_AA5G005400
OG0000096	Bra008138, Bra015930, Bra003729, Bra008137, Bra003816	AALP_AA2G180500
OG0000098	Bra017241, Bra023065	AALP_AA4G110300
OG0000098	Bra034314	AALP_AA6G243800
OG0000098	Bra025424	AALP_AA5G065100
OG0000098	Bra026124	AALP_AA1G175900
OG0000098	Bra003527	AALP_AA2G248800
OG0000098	Bra021173, Bra027171	AALP_AA3G185300
OG0000099	Bra032602	AALP_AA1G017400
OG0000103	Bra013544, Bra038768, Bra038766	AALP_AA7G041500
OG0000103	Bra023300, Bra023297	AALP_AA1G336300, AALP_AA1G336600, AALP_AAs60950U000100
OG0000104	Bra014070, Bra014188, Bra014215, Bra015604	AALP_AA8G255200, AALP_AA8G249800
OG0000106	Bra022489	AALP_AA1G326800
OG0000106	Bra040199, Bra040200	AALP_AA3G326900
OG0000106	Bra029304, Bra029303, Bra029299	AALP_AA8G449800, AALP_AA8G450500, AALP_AA8G449900
OG0000108	Bra027488, Bra035979, Bra027490	AALP_AA6G150400
OG0000109	Bra038047	AALP_AA1G229600
OG0000110	Bra038504	AALP_AAs66747U002500
OG0000110	Bra000568, Bra000727	AALP_AAs42086U000100
OG0000110	Bra025164, Bra025163	AALP_AA5G230300
OG0000113	Bra025562	AALP_AA6G330900
OG0000114	Bra002171, Bra023688, Bra006467	AALP_AA8G202600
OG0000114	Bra033499	AALP_AA1G115200, AALP_AAs55560U000200, AALP_AAs55560U000300, AALP_AAs50914U000200
OG0000114	Bra038076	AALP_AA1G115300, AALP_AAs55560U000100
OG0000115	Bra023635	AALP_AA8G190000
OG0000115	Bra024477, Bra037232	AALP_AA3G342000
OG0000115	Bra036846, Bra012877	AALP_AA5G132800
OG0000116	Bra014352, Bra038027, Bra020514, Bra020515, Bra020478	AALP_AA3G050500, AALP_AA8G423000, AALP_AA8G429100
OG0000117	Bra000309	AALP_AA6G233000, AALP_AA6G232800, AALP_AA6G233100, AALP_AA6G232900
OG0000119	Bra009933, Bra030340	AALP_AA4G218000
OG0000120	Bra032635	AALP_AA1G006200
OG0000120	Bra037388, Bra008539, Bra000941	AALP_AA6G014300
OG0000120	Bra022637, Bra029089, Bra026297	AALP_AA8G313200
OG0000120	Bra004539, Bra039283	AALP_AA4G252900
OG0000121	Bra008226, Bra003740, Bra015808	AALP_AAs55472U000100
OG0000121	Bra015811	AALP_AA2G201600, AALP_AA2G121300, AALP_AA3G098300
OG0000123	Bra040738, Bra012710	AALP_AA8G261100
OG0000125	Bra032068	AALP_AA8G326500
OG0000126	Bra027823, Bra027162	AALP_AA2G003200
OG0000128	Bra040127, Bra040270	AALP_AA3G041200, AALP_AA5G119800
OG0000129	Bra022169, Bra017284, Bra023037, Bra023039, Bra021260	AALP_AA3G355700
OG0000130	Bra040265	AALP_AA3G341400, AALP_AA3G106900, AALP_AA7G109500, AALP_AAs73216U000100, AALP_AAs71112U000100, AALP_AA1G173500, AALP_AA8G317800, AALP_AAs48021U000700, AALP_AA6G202700, AALP_AA2G041700, AALP_AA1G163700, AALP_AA7G098300, AALP_AA2G041600, AALP_AAs54367U000800, AALP_AAs52132U000100, AALP_AA1G251300, AALP_AA6G350400, AALP_AA7G152200, AALP_AA8G499800, AALP_AAs67984U000100, AALP_AAs43195U000200, AALP_AAs67613U000200, AALP_AA3G336600, AALP_AA4G124900, AALP_AA2G074100, AALP_AAs42979U000100, AALP_AAs46225U000100, AALP_AA1G340100, AALP_AA2G009700, AALP_AA3G368400, AALP_AA5G106200, AALP_AA6G281200, AALP_AA3G181900, AALP_AA2G052000, AALP_AA6G346300, AALP_AA1G155400, AALP_AA8G165200, AALP_AA3G264600, AALP_AAs39056U000500
OG0000132	Bra039617	AALP_AA3G346800
OG0000132	Bra012183, Bra025745	AALP_AA1G213900
OG0000132	Bra008186	AALP_AA2G194600
OG0000132	Bra011870	AALP_AA7G270400
OG0000132	Bra000579, Bra031209, Bra030285	AALP_AA6G298600
OG0000133	Bra012362, Bra016364	AALP_AA1G252600, AALP_AA1G252500
OG0000133	Bra007947	AALP_AA2G139700
OG0000133	Bra007946, Bra007945, Bra016182	AALP_AA2G139000
OG0000133	Bra003939	AALP_AA2G139500
OG0000133	Bra016180, Bra016181	AALP_AA2G139600
OG0000135	Bra003989, Bra007873, Bra007874	AALP_AA2G066400, AALP_AAs50688U000100, AALP_AAs64263U000100
OG0000135	Bra004405	AALP_AAs60501U000100
OG0000137	Bra010826	AALP_AA1G300600, AALP_AA8G354200
OG0000137	Bra032321, Bra010828	AALP_AA1G300400, AALP_AA1G302500
OG0000138	Bra021830, Bra022928	AALP_AA3G273300, AALP_AA6G065400
OG0000138	Bra000327, Bra014753, Bra000645, Bra004111, Bra000183, Bra017014	AALP_AA4G190200
OG0000140	Bra015114	AALP_AA8G186400
OG0000141	Bra033932	AALP_AAs71109U000200, AALP_AA4G148600, AALP_AAs54961U000100
OG0000141	Bra003479	AALP_AA6G279100, AALP_AA1G235300, AALP_AA8G286100
OG0000143	Bra037571, Bra022341	AALP_AA3G214200
OG0000144	Bra014462, Bra014461	AALP_AA5G265500
OG0000144	Bra014953	AALP_AA4G244600
OG0000144	Bra039327, Bra039328	AALP_AA4G244800, AALP_AA8G146600
OG0000144	Bra004921	AALP_AA4G245200
OG0000146	Bra020805	AALP_AA7G225000
OG0000149	Bra003333	AALP_AA4G003000
OG0000149	Bra007907, Bra007909, Bra007908	AALP_AA2G132100
OG0000149	Bra030815	AALP_AA1G295500, AALP_AA4G003200
OG0000149	Bra030813	AALP_AA4G003100
OG0000150	Bra012328, Bra009566	AALP_AA1G240200
OG0000151	Bra010505, Bra002389, Bra001081, Bra024684, Bra037882, Bra012262	AALP_AA7G161300
OG0000153	Bra002580, Bra002553, Bra006705, Bra006704, Bra006703, Bra002550, Bra002551, Bra002548, Bra020306	AALP_AA8G389800, AALP_AA8G382700, AALP_AAs55710U000100
OG0000153	Bra020291, Bra006678, Bra038408, Bra002507, Bra002511, Bra002534	AALP_AA8G397500
OG0000154	Bra004838, Bra037648	AALP_AAs43395U000100
OG0000154	Bra014510, Bra007510	AALP_AA5G255600, AALP_AA5G255500
OG0000154	Bra004837, Bra037650	AALP_AA4G233500
OG0000155	Bra018283, Bra018282, Bra021616, Bra021613, Bra029251	AALP_AA6G088600
OG0000155	Bra007734	AALP_AA5G286600
OG0000156	Bra006829	AALP_AA8G361500
OG0000156	Bra040819	AALP_AA5G030000
OG0000156	Bra040821	AALP_AA5G029900
OG0000156	Bra034237, Bra025198	AALP_AA5G031400, AALP_AA5G029400, AALP_AA5G029300, AALP_AA5G031500
OG0000158	Bra002961, Bra027891	AALP_AA1G164600, AALP_AA4G073600, AALP_AA4G071000
OG0000158	Bra029173, Bra022550	AALP_AA5G274100
OG0000159	Bra004046, Bra004349, Bra016726	AALP_AA1G119500, AALP_AA4G074200, AALP_AA1G119200, AALP_AA1G119300
OG0000160	Bra033595, Bra013663, Bra007897, Bra016243, Bra016242, Bra016222	AALP_AA3G080900
OG0000162	Bra020002	AALP_AA1G101500
OG0000162	Bra026558, Bra017391	AALP_AA5G021400
OG0000163	Bra013175	AALP_AAs71754U000100, AALP_AA3G363200, AALP_AA3G363100
OG0000163	Bra040817	AALP_AA5G045100, AALP_AA5G045200
OG0000163	Bra013176	AALP_AAs50142U000100
OG0000164	Bra013565, Bra038753	AALP_AA7G044300
OG0000164	Bra020868	AALP_AA7G044100, AALP_AA7G044000, AALP_AA7G043800, AALP_AA7G043700, AALP_AA7G043900
OG0000164	Bra000806	AALP_AA6G054300, AALP_AA6G054400
OG0000165	Bra034940, Bra037852, Bra040462	AALP_AA5G072800, AALP_AA2G023700, AALP_AA6G286200, AALP_AA5G155700, AALP_AA8G225200, AALP_AA2G030500, AALP_AAs71504U000100, AALP_AA6G123000, AALP_AAs40902U000100
OG0000167	Bra009583	AALP_AA8G018100
OG0000170	Bra039998	AALP_AAs58904U000400
OG0000173	Bra009436	AALP_AA8G133900
OG0000174	Bra040627	AALP_AA2G084400
OG0000174	Bra028162	AALP_AA6G352500
OG0000174	Bra033087, Bra033084, Bra030699, Bra008375, Bra027114, Bra027111, Bra018687	AALP_AA1G079200
OG0000178	Bra023229	AALP_AA5G193700, AALP_AA1G056500
OG0000179	Bra033624, Bra008199, Bra010680	AALP_AAs38949U000100
OG0000179	Bra011859	AALP_AA7G273500
OG0000179	Bra033625, Bra033626	AALP_AA3G060700, AALP_AA6G057700
OG0000180	Bra011556	AALP_AA3G325100
OG0000180	Bra017674	AALP_AA3G325100
OG0000180	Bra013066	AALP_AA3G325100
OG0000180	Bra034649	AALP_AA3G325100
OG0000180	Bra033584	AALP_AA3G325100
OG0000180	Bra011556	AALP_AA7G266800
OG0000180	Bra017674	AALP_AA7G266800
OG0000180	Bra013066	AALP_AA7G266800
OG0000180	Bra034649	AALP_AA7G266800
OG0000180	Bra033584	AALP_AA7G266800
OG0000180	Bra011556	AALP_AA7G217800
OG0000180	Bra017674	AALP_AA7G217800
OG0000180	Bra013066	AALP_AA7G217800
OG0000180	Bra034649	AALP_AA7G217800
OG0000180	Bra033584	AALP_AA7G217800
OG0000181	Bra028178	AALP_AA7G146600
OG0000182	Bra027575, Bra014901, Bra038406	AALP_AA1G317200
OG0000182	Bra012524	AALP_AA7G026100
OG0000182	Bra021946, Bra025100	AALP_AA6G137600
OG0000182	Bra024835	AALP_AA5G011000
OG0000183	Bra019513	AALP_AA5G099500
OG0000183	Bra033785, Bra018113	AALP_AA5G099400
OG0000183	Bra018115, Bra018114	AALP_AA5G099200
OG0000183	Bra015049	AALP_AAs66804U000100
OG0000184	Bra028267, Bra026882, Bra026958, Bra026954, Bra031731, Bra026884, Bra026836, Bra026971, Bra016762	AALP_AA1G139600, AALP_AA1G139900, AALP_AA1G135600
OG0000185	Bra028116, Bra020175, Bra028117	AALP_AA8G245700, AALP_AA2G027400, AALP_AA6G051100
OG0000186	Bra032917	AALP_AA1G296900
OG0000186	Bra030108, Bra030107, Bra030106	AALP_AA1G297000
OG0000190	Bra035832, Bra023145, Bra035831	AALP_AA1G138600
OG0000191	Bra006865, Bra002804	AALP_AA8G353900
OG0000191	Bra031101, Bra036705, Bra039019	AALP_AA3G361600
OG0000191	Bra010331, Bra024148, Bra011098	AALP_AA7G141400
OG0000191	Bra011099	AALP_AA3G361400, AALP_AA7G141900
OG0000192	Bra012621	AALP_AAs50902U000500
OG0000192	Bra003445, Bra002094	AALP_AA5G059200, AALP_AA6G020200
OG0000192	Bra003490	AALP_AA5G280000
OG0000193	Bra018729	AALP_AA4G076200
