Orthogroup	Brassica_rapa	Boechera_stricta
OG0000011	Bra036413, Bra036417, Bra038872	Bostr.19424s0067.1.p, Bostr.29514s0002.1.p, Bostr.0556s0747.1.p, Bostr.21132s0003.1.p, Bostr.0556s0496.1.p, Bostr.18473s0359.1.p, Bostr.18473s0378.1.p, Bostr.0556s0798.1.p, Bostr.23202s0001.1.p, Bostr.0556s0745.1.p, Bostr.18473s0352.1.p, Bostr.18473s0376.1.p, Bostr.18473s0374.1.p, Bostr.18351s0417.1.p, Bostr.26326s0044.1.p, Bostr.2983s0062.1.p, Bostr.7200s0014.1.p, Bostr.7200s0011.1.p, Bostr.12290s0001.1.p, Bostr.2570s0337.1.p, Bostr.2570s0327.1.p, Bostr.2570s0283.1.p, Bostr.2570s0332.1.p, Bostr.2570s0338.1.p, Bostr.30057s0027.1.p, Bostr.13129s0194.1.p, Bostr.30057s0025.1.p, Bostr.0556s0387.1.p, Bostr.10040s0342.1.p, Bostr.7200s0053.1.p, Bostr.7200s0050.1.p, Bostr.19424s0040.1.p, Bostr.25993s0382.1.p, Bostr.13671s0391.1.p, Bostr.19424s0243.1.p, Bostr.7867s0935.1.p, Bostr.19424s0015.1.p, Bostr.19424s0041.1.p
OG0000011	Bra036799	Bostr.9686s0011.1.p
OG0000012	Bra035329	Bostr.6773s0009.1.p
OG0000013	Bra007406	Bostr.20129s0144.1.p
OG0000013	Bra014047	Bostr.12302s0061.1.p, Bostr.12302s0147.1.p, Bostr.15654s0099.1.p, Bostr.12302s0166.1.p, Bostr.28830s0002.1.p, Bostr.18308s0001.1.p, Bostr.15654s0096.1.p, Bostr.3877s0013.1.p, Bostr.12302s0165.1.p, Bostr.28830s0001.1.p
OG0000014	Bra003329, Bra003328	Bostr.20903s0073.1.p
OG0000014	Bra014088	Bostr.3053s0015.1.p
OG0000014	Bra014575, Bra014574	Bostr.20903s0078.1.p
OG0000014	Bra003330	Bostr.20903s0077.1.p
OG0000015	Bra023133, Bra005292, Bra038808, Bra004304	Bostr.13175s0074.1.p, Bostr.22157s0001.1.p, Bostr.30057s0022.1.p, Bostr.25494s0057.1.p, Bostr.25463s0280.1.p, Bostr.3148s0194.1.p, Bostr.13671s0245.1.p, Bostr.29246s0028.1.p, Bostr.7867s0391.1.p, Bostr.3148s0191.1.p, Bostr.17053s0001.1.p, Bostr.0556s0068.1.p, Bostr.7903s0152.1.p, Bostr.10273s0354.1.p, Bostr.5763s0029.1.p, Bostr.3053s0006.1.p, Bostr.26959s0380.1.p, Bostr.7305s0008.1.p
OG0000015	Bra032513, Bra016418	Bostr.1109s0001.1.p
OG0000015	Bra036505, Bra040556	Bostr.0568s0220.1.p
OG0000015	Bra032440, Bra020642	Bostr.18351s0367.1.p
OG0000015	Bra015270, Bra038141	Bostr.0556s0102.1.p
OG0000016	Bra032736	Bostr.9017s0030.1.p
OG0000016	Bra033580	Bostr.25542s0065.1.p
OG0000016	Bra002122	Bostr.26527s0407.1.p
OG0000016	Bra006431, Bra006434, Bra002123, Bra023658	Bostr.26527s0402.1.p
OG0000016	Bra026598, Bra023663, Bra023659, Bra023653, Bra006438, Bra023654, Bra006430, Bra002121, Bra023661, Bra006433, Bra023657, Bra002126, Bra002130, Bra006435, Bra002124, Bra002127, Bra002125, Bra002120, Bra002131, Bra006432, Bra023656	Bostr.26527s0403.1.p, Bostr.26527s0410.1.p, Bostr.26527s0406.1.p, Bostr.26527s0411.1.p, Bostr.26527s0405.1.p
OG0000017	Bra017982, Bra017983	Bostr.18473s0005.1.p
OG0000017	Bra009129, Bra009128, Bra021730	Bostr.24513s0074.1.p
OG0000017	Bra021767, Bra021785, Bra021783, Bra021782, Bra021784, Bra021781, Bra021788, Bra021768, Bra023809, Bra027364, Bra021780, Bra021786, Bra021789, Bra021769, Bra021772, Bra037636, Bra039989	Bostr.19424s1031.1.p, Bostr.7867s1381.1.p
OG0000018	Bra025467	Bostr.25375s0037.1.p
OG0000018	Bra032045	Bostr.17775s0013.1.p
OG0000018	Bra027772	Bostr.29223s0143.1.p
OG0000018	Bra027660, Bra027791, Bra027790	Bostr.2199s0024.1.p
OG0000018	Bra021754	Bostr.10040s0227.1.p
OG0000018	Bra027778	Bostr.10040s0141.1.p
OG0000019	Bra006700	Bostr.26833s0271.1.p
OG0000019	Bra020299	Bostr.26833s0270.1.p
OG0000019	Bra020918	Bostr.12659s0011.1.p
OG0000019	Bra028386	Bostr.27991s0162.1.p
OG0000019	Bra031584	Bostr.25219s0205.1.p
OG0000023	Bra031743, Bra026587, Bra013543, Bra020901	Bostr.3227s0001.1.p
OG0000023	Bra009957, Bra009956	Bostr.12659s0297.1.p
OG0000023	Bra017173, Bra017172	Bostr.15697s0468.1.p
OG0000024	Bra027866	Bostr.10040s0323.1.p, Bostr.10040s0277.1.p, Bostr.10040s0332.1.p, Bostr.10040s0017.1.p, Bostr.10040s0312.1.p, Bostr.10040s0304.1.p, Bostr.10040s0300.1.p, Bostr.10040s0324.1.p, Bostr.7200s0195.1.p, Bostr.10040s0334.1.p, Bostr.25375s0006.1.p, Bostr.10040s0305.1.p, Bostr.10040s0313.1.p, Bostr.10040s0328.1.p, Bostr.10040s0322.1.p
OG0000024	Bra027834, Bra036206, Bra035424	Bostr.30057s0071.1.p
OG0000024	Bra027843	Bostr.10040s0278.1.p
OG0000024	Bra013134	Bostr.10040s0251.1.p, Bostr.13404s0084.1.p, Bostr.8819s0141.1.p, Bostr.10040s0269.1.p, Bostr.10040s0296.1.p, Bostr.10040s0307.1.p, Bostr.10040s0314.1.p, Bostr.10040s0311.1.p, Bostr.10040s0286.1.p, Bostr.10040s0249.1.p, Bostr.10040s0248.1.p, Bostr.19424s0017.1.p, Bostr.10040s0243.1.p, Bostr.20129s0404.1.p
OG0000024	Bra005277, Bra040841, Bra040891, Bra037448	Bostr.13671s0460.1.p, Bostr.10040s0330.1.p
OG0000024	Bra018448	Bostr.0124s0128.1.p
OG0000025	Bra004152, Bra004151	Bostr.20055s0055.1.p
OG0000029	Bra005753	Bostr.2128s0162.1.p
OG0000029	Bra022301, Bra022284, Bra022285, Bra022305, Bra022303, Bra022362, Bra022299, Bra022286	Bostr.3877s0007.1.p
OG0000029	Bra009558	Bostr.2128s0174.1.p
OG0000030	Bra027658	Bostr.9600s0028.1.p
OG0000031	Bra032036, Bra032049	Bostr.0556s0648.1.p, Bostr.29505s0015.1.p
OG0000031	Bra030421, Bra028194	Bostr.17584s0015.1.p, Bostr.25219s0531.1.p, Bostr.17584s0014.1.p, Bostr.9638s0123.1.p
OG0000031	Bra002819, Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112	Bostr.0697s0107.1.p
OG0000032	Bra028402	Bostr.12645s0038.1.p
OG0000032	Bra019074	Bostr.26959s0212.1.p
OG0000032	Bra034039, Bra004199	Bostr.26959s0220.1.p, Bostr.26959s0222.1.p, Bostr.26959s0237.1.p
OG0000032	Bra034042, Bra004198, Bra038467	Bostr.26959s0229.1.p, Bostr.26959s0228.1.p
OG0000032	Bra008687	Bostr.22252s0171.1.p, Bostr.1040s0043.1.p
OG0000033	Bra031482	Bostr.29223s0212.1.p, Bostr.10040s0165.1.p, Bostr.29223s0213.1.p, Bostr.22157s0155.1.p, Bostr.9600s0006.1.p, Bostr.22157s0076.1.p, Bostr.22157s0029.1.p, Bostr.22157s0080.1.p, Bostr.22157s0070.1.p, Bostr.22157s0051.1.p, Bostr.22157s0073.1.p, Bostr.22157s0072.1.p, Bostr.22157s0081.1.p, Bostr.22157s0075.1.p
OG0000033	Bra015597	Bostr.13671s0231.1.p
OG0000033	Bra019755	Bostr.15774s0296.1.p
OG0000033	Bra026682, Bra026978, Bra026924, Bra026923, Bra026977	Bostr.13671s0229.1.p, Bostr.26675s0327.1.p, Bostr.26675s0378.1.p, Bostr.26675s0377.1.p
OG0000033	Bra016782, Bra016781, Bra026985	Bostr.13671s0238.1.p
OG0000033	Bra026979	Bostr.13671s0230.1.p
OG0000037	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010	Bostr.23794s0315.1.p, Bostr.11793s0017.1.p
OG0000037	Bra037560	Bostr.19424s0781.1.p, Bostr.26675s0249.1.p
OG0000037	Bra034778	Bostr.19424s1148.1.p
OG0000037	Bra006719, Bra018210, Bra002571, Bra019486	Bostr.18473s0306.1.p, Bostr.26833s0307.1.p
OG0000037	Bra006033	Bostr.13129s0011.1.p
OG0000038	Bra025236	Bostr.0556s0362.1.p
OG0000038	Bra034248	Bostr.13404s0040.1.p, Bostr.6192s0005.1.p, Bostr.25375s0027.1.p
OG0000038	Bra023272	Bostr.6864s0092.1.p
OG0000038	Bra006939	Bostr.11793s0119.1.p
OG0000038	Bra040480	Bostr.18473s0053.1.p, Bostr.0556s0520.1.p, Bostr.6864s0279.1.p, Bostr.13671s0128.1.p, Bostr.8819s0183.1.p
OG0000039	Bra013199	Bostr.0146s0001.1.p, Bostr.7867s0106.1.p
OG0000039	Bra019319, Bra013679	Bostr.7867s0115.1.p
OG0000039	Bra019317	Bostr.7867s0120.1.p
OG0000040	Bra006362	Bostr.2618s0001.1.p
OG0000040	Bra023128	Bostr.19424s1118.1.p
OG0000040	Bra025601, Bra032189	Bostr.30275s0249.1.p
OG0000040	Bra012153	Bostr.21942s0009.1.p
OG0000040	Bra029842, Bra025640	Bostr.22252s0018.1.p
OG0000040	Bra016001	Bostr.10273s0027.1.p
OG0000041	Bra033927	Bostr.29268s0005.1.p, Bostr.10040s0264.1.p
OG0000041	Bra029501	Bostr.19424s0043.1.p
OG0000042	Bra024503	Bostr.26326s0020.1.p, Bostr.20332s0001.1.p, Bostr.20332s0002.1.p
OG0000043	Bra002305, Bra006560	Bostr.26527s0156.1.p
OG0000043	Bra036778, Bra037076, Bra035695, Bra035694	Bostr.26675s0167.1.p
OG0000043	Bra015204, Bra027938	Bostr.18473s0210.1.p
OG0000044	Bra018182	Bostr.18473s0264.1.p
OG0000044	Bra028374	Bostr.22157s0137.1.p
OG0000044	Bra036658, Bra027069, Bra028375	Bostr.22157s0134.1.p
OG0000044	Bra034464	Bostr.22157s0145.1.p
OG0000045	Bra013596, Bra013683	Bostr.7867s0124.1.p, Bostr.7867s0126.1.p, Bostr.7867s0129.1.p
OG0000045	Bra020821	Bostr.7867s0103.1.p
OG0000045	Bra019324	Bostr.7867s0092.1.p, Bostr.7867s0104.1.p, Bostr.7867s0108.1.p
OG0000045	Bra013676, Bra013677	Bostr.7867s0107.1.p, Bostr.10040s0346.1.p
OG0000045	Bra019322, Bra013678, Bra023844, Bra038935	Bostr.7867s0109.1.p, Bostr.7867s0121.1.p
OG0000045	Bra040998	Bostr.9081s0002.1.p
OG0000045	Bra041081	Bostr.25542s0087.1.p
OG0000046	Bra010552, Bra011666	Bostr.7867s1479.1.p
OG0000046	Bra036790	Bostr.30275s0434.1.p
OG0000046	Bra027599	Bostr.5342s0008.1.p, Bostr.25599s0001.1.p
OG0000046	Bra021956	Bostr.8819s0019.1.p
OG0000046	Bra021953	Bostr.8819s0052.1.p
OG0000047	Bra030120, Bra032680, Bra040765, Bra003058, Bra033203, Bra033202, Bra020938, Bra030257, Bra015151, Bra019496	Bostr.26959s0288.1.p, Bostr.18351s0204.1.p, Bostr.25463s0052.1.p, Bostr.13158s0348.1.p, Bostr.21942s0006.1.p, Bostr.7128s0450.1.p, Bostr.7305s0007.1.p, Bostr.3053s0007.1.p, Bostr.12302s0046.1.p, Bostr.2021s0036.1.p, Bostr.10273s0376.1.p, Bostr.12302s0047.1.p, Bostr.13404s0011.1.p
OG0000048	Bra038150	Bostr.15774s0297.1.p, Bostr.13083s0058.1.p, Bostr.25463s0305.1.p
OG0000048	Bra040797	Bostr.7305s0077.1.p
OG0000050	Bra003745	Bostr.13175s0006.1.p, Bostr.25542s0196.1.p, Bostr.25542s0197.1.p, Bostr.3288s0212.1.p
OG0000051	Bra005989, Bra028659	Bostr.13129s0120.1.p
OG0000051	Bra032978, Bra025247	Bostr.0556s0378.1.p
OG0000051	Bra008777	Bostr.2902s0148.1.p
OG0000051	Bra025246, Bra032977	Bostr.0556s0377.1.p
OG0000051	Bra028480, Bra025532	Bostr.7200s0107.1.p
OG0000051	Bra040553	Bostr.0556s0376.1.p, Bostr.7200s0108.1.p, Bostr.1460s0019.1.p
OG0000051	Bra014066	Bostr.15774s0205.1.p
OG0000051	Bra019556, Bra029911, Bra018044	Bostr.18473s0087.1.p
OG0000051	Bra038639	Bostr.0568s0461.1.p
OG0000052	Bra014726, Bra031447, Bra008247, Bra035315	Bostr.0556s0567.1.p, Bostr.24513s0206.1.p
OG0000053	Bra012037, Bra019453	Bostr.26527s0092.1.p, Bostr.0556s0690.1.p
OG0000053	Bra025438	Bostr.26959s0277.1.p
OG0000053	Bra004166	Bostr.9638s0097.1.p
OG0000053	Bra039723	Bostr.0597s0077.1.p
OG0000053	Bra023786, Bra033898	Bostr.19424s0367.1.p
OG0000053	Bra000214, Bra003251, Bra014671	Bostr.29505s0034.1.p
OG0000053	Bra007269	Bostr.9345s0021.1.p, Bostr.20505s0073.1.p
OG0000054	Bra019742, Bra016791	Bostr.13671s0250.1.p
OG0000054	Bra034519, Bra027039	Bostr.22157s0089.1.p
OG0000054	Bra000777, Bra000778	Bostr.25463s0062.1.p
OG0000054	Bra000377	Bostr.25993s0256.1.p
OG0000054	Bra039079, Bra039078	Bostr.18060s0001.1.p
OG0000054	Bra029458	Bostr.25463s0053.1.p
OG0000054	Bra013619	Bostr.7867s0025.1.p
OG0000057	Bra020447, Bra002733	Bostr.26833s0521.1.p
OG0000057	Bra016610	Bostr.7128s0336.1.p
OG0000057	Bra007524, Bra014496	Bostr.13158s0024.1.p
OG0000057	Bra029249	Bostr.0568s0540.1.p
OG0000057	Bra007845	Bostr.27895s0035.1.p
OG0000057	Bra003576, Bra035163	Bostr.20129s0447.1.p
OG0000057	Bra008288	Bostr.0556s0646.1.p
OG0000057	Bra013168	Bostr.24399s0004.1.p
OG0000057	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101	Bostr.7867s0870.1.p
OG0000057	Bra038835, Bra024452	Bostr.18351s0364.1.p
OG0000059	Bra015818, Bra010300, Bra017886, Bra036742, Bra025006, Bra031176, Bra025815, Bra008239, Bra014053	Bostr.7200s0112.1.p
OG0000060	Bra000483, Bra035677, Bra011930	Bostr.27991s0044.1.p
OG0000060	Bra006685, Bra006639, Bra002436	Bostr.10199s0157.1.p
OG0000060	Bra003150	Bostr.6251s0013.1.p, Bostr.23794s0337.1.p, Bostr.11793s0030.1.p
OG0000060	Bra020275, Bra002520	Bostr.26833s0243.1.p, Bostr.18473s0337.1.p, Bostr.18473s0341.1.p
OG0000062	Bra025472, Bra001775	Bostr.19424s0654.1.p
OG0000062	Bra001774	Bostr.19424s0655.1.p
OG0000062	Bra014143, Bra039930	Bostr.2983s0183.1.p, Bostr.0556s0560.1.p, Bostr.19424s0286.1.p, Bostr.0556s0558.1.p, Bostr.3053s0017.1.p
OG0000062	Bra035818	Bostr.23794s0651.1.p
OG0000064	Bra036460, Bra036688	Bostr.7903s0140.1.p
OG0000064	Bra011053	Bostr.7867s0716.1.p
OG0000064	Bra032526	Bostr.26675s0339.1.p
OG0000064	Bra022871	Bostr.24513s0034.1.p
OG0000064	Bra030993	Bostr.7128s0368.1.p
OG0000064	Bra006561, Bra020105	Bostr.26527s0155.1.p
OG0000064	Bra014582, Bra003324	Bostr.20903s0067.1.p
OG0000064	Bra027968	Bostr.13404s0031.1.p
OG0000064	Bra030739, Bra018605	Bostr.25219s0072.1.p
OG0000065	Bra015815	Bostr.20129s0012.1.p
OG0000065	Bra033737, Bra039506, Bra027544	Bostr.3148s0022.1.p
OG0000065	Bra020912, Bra013481, Bra038795	Bostr.10689s0041.1.p
OG0000065	Bra008903	Bostr.20055s0004.1.p
OG0000065	Bra009710	Bostr.10199s0050.1.p
OG0000065	Bra018379, Bra039987	Bostr.27991s0217.1.p
OG0000068	Bra025795	Bostr.7128s0617.1.p, Bostr.5022s0141.1.p
OG0000068	Bra015801, Bra008231, Bra003735	Bostr.20129s0032.1.p
OG0000068	Bra018756, Bra014159, Bra018757	Bostr.29344s0008.1.p
OG0000068	Bra014519	Bostr.29344s0009.1.p, Bostr.7867s1306.1.p
OG0000069	Bra000006	Bostr.23794s0323.1.p, Bostr.26833s0238.1.p, Bostr.18473s0344.1.p, Bostr.18473s0314.1.p, Bostr.25219s0165.1.p, Bostr.25219s0194.1.p, Bostr.27991s0042.1.p, Bostr.11793s0019.1.p
OG0000069	Bra038268, Bra011929	Bostr.26833s0269.1.p
OG0000070	Bra011889, Bra033581	Bostr.25542s0066.1.p
OG0000070	Bra031171	Bostr.5022s0115.1.p
OG0000070	Bra037243, Bra039909, Bra024482	Bostr.18351s0268.1.p
OG0000070	Bra010501, Bra017747, Bra011662	Bostr.7867s1475.1.p
OG0000070	Bra003746, Bra015832	Bostr.3288s0210.1.p
OG0000070	Bra025770	Bostr.7128s0580.1.p
OG0000070	Bra013061	Bostr.18351s0119.1.p
OG0000070	Bra011560	Bostr.7867s1336.1.p
OG0000071	Bra000470	Bostr.3640s0075.1.p
OG0000071	Bra002161	Bostr.4635s0001.1.p
OG0000072	Bra034491	Bostr.3640s0164.1.p
OG0000073	Bra023819	Bostr.26959s0420.1.p
OG0000074	Bra002592	Bostr.26833s0325.1.p
OG0000074	Bra018188	Bostr.18473s0275.1.p
OG0000074	Bra020349, Bra020347, Bra020348, Bra020350, Bra020351	Bostr.26833s0363.1.p, Bostr.26833s0364.1.p
OG0000074	Bra006728, Bra002586	Bostr.26833s0331.1.p
OG0000077	Bra005525	Bostr.23794s0775.1.p, Bostr.23794s0795.1.p
OG0000077	Bra021842	Bostr.23794s0774.1.p
OG0000077	Bra022907, Bra005530	Bostr.23794s0796.1.p
OG0000078	Bra016477, Bra012210	Bostr.7128s0610.1.p
OG0000078	Bra015807	Bostr.20129s0021.1.p
OG0000078	Bra011578, Bra001994	Bostr.7867s1361.1.p
OG0000078	Bra025045	Bostr.8819s0127.1.p
OG0000078	Bra037248, Bra002093, Bra040869	Bostr.7867s1460.1.p
OG0000079	Bra023952, Bra011345	Bostr.7867s1095.1.p
OG0000079	Bra029874	Bostr.19424s1012.1.p
OG0000079	Bra005845, Bra028768	Bostr.13129s0448.1.p
OG0000079	Bra033714	Bostr.3148s0056.1.p
OG0000079	Bra006407	Bostr.26527s0472.1.p
OG0000079	Bra011865	Bostr.25542s0122.1.p
OG0000079	Bra006036	Bostr.13129s0005.1.p
OG0000080	Bra022706, Bra022705, Bra022703	Bostr.26833s0817.1.p
OG0000080	Bra022730, Bra022727	Bostr.26833s0830.1.p
OG0000080	Bra002990, Bra024630	Bostr.14511s0001.1.p
OG0000083	Bra010468	Bostr.7867s0344.1.p
OG0000083	Bra016284, Bra024691	Bostr.12659s0327.1.p, Bostr.1774s0033.1.p
OG0000083	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690	Bostr.13671s0049.1.p
OG0000083	Bra017393	Bostr.0556s0141.1.p
OG0000083	Bra024783, Bra024782	Bostr.0556s0142.1.p
OG0000083	Bra017394, Bra017395, Bra026565, Bra024784	Bostr.0556s0140.1.p
OG0000084	Bra029076, Bra022645	Bostr.26833s0951.1.p
OG0000084	Bra027688	Bostr.29223s0081.1.p, Bostr.29223s0086.1.p, Bostr.29223s0099.1.p, Bostr.29223s0097.1.p
OG0000084	Bra027749	Bostr.29223s0101.1.p
OG0000084	Bra013049, Bra001995	Bostr.18351s0135.1.p
OG0000084	Bra002842	Bostr.26833s0648.1.p
OG0000084	Bra001347, Bra041101	Bostr.22252s0201.1.p
OG0000085	Bra024078, Bra023947	Bostr.7867s1121.1.p
OG0000085	Bra024195	Bostr.19424s0935.1.p
OG0000085	Bra027451	Bostr.12722s0005.1.p, Bostr.7200s0127.1.p
OG0000085	Bra039802, Bra007010	Bostr.3853s0001.1.p
OG0000086	Bra013901, Bra019151, Bra010456	Bostr.7867s0370.1.p
OG0000086	Bra028304, Bra029119	Bostr.7305s0032.1.p
OG0000086	Bra033236	Bostr.5325s0099.1.p
OG0000086	Bra020276	Bostr.26833s0245.1.p
OG0000086	Bra006687, Bra002522, Bra020277	Bostr.26833s0246.1.p
OG0000086	Bra038266	Bostr.18473s0340.1.p
OG0000088	Bra038286	Bostr.18473s0382.1.p
OG0000088	Bra002490, Bra020258	Bostr.26833s0207.1.p
OG0000088	Bra006669, Bra002497	Bostr.26833s0208.1.p
OG0000088	Bra020259, Bra002500, Bra002499, Bra006670	Bostr.20905s0001.1.p
OG0000088	Bra002498	Bostr.26833s0209.1.p
OG0000088	Bra019469	Bostr.18473s0381.1.p
OG0000088	Bra038287, Bra002064	Bostr.18473s0383.1.p
OG0000088	Bra029544, Bra038289	Bostr.18473s0386.1.p
OG0000090	Bra018391, Bra039974, Bra039969, Bra018393, Bra018396	Bostr.24513s0167.1.p, Bostr.24513s0164.1.p, Bostr.24513s0169.1.p
OG0000090	Bra039966	Bostr.25219s0327.1.p
OG0000090	Bra039513, Bra018399, Bra039971, Bra039973, Bra039967, Bra000477	Bostr.27991s0189.1.p
OG0000094	Bra027089	Bostr.10040s0054.1.p
OG0000094	Bra027087, Bra031433	Bostr.10040s0044.1.p, Bostr.10040s0036.1.p, Bostr.10040s0041.1.p, Bostr.10040s0042.1.p, Bostr.10040s0045.1.p
OG0000094	Bra027088	Bostr.10040s0050.1.p
OG0000094	Bra038579	Bostr.10040s0055.1.p
OG0000095	Bra013721, Bra034099	Bostr.7867s0165.1.p, Bostr.7867s0166.1.p
OG0000095	Bra019280, Bra019278	Bostr.0556s0318.1.p
OG0000095	Bra026653	Bostr.2902s0371.1.p, Bostr.0597s0006.1.p
OG0000096	Bra003124	Bostr.23493s0001.1.p
OG0000096	Bra026244	Bostr.20129s0470.1.p
OG0000096	Bra032058, Bra034253	Bostr.14437s0001.1.p
OG0000098	Bra017241, Bra023065	Bostr.11223s0001.1.p
OG0000098	Bra034314	Bostr.29505s0021.1.p
OG0000098	Bra025424	Bostr.0556s0634.1.p
OG0000098	Bra026124	Bostr.7128s0167.1.p
OG0000098	Bra026156, Bra026157, Bra016669	Bostr.7128s0134.1.p
OG0000098	Bra003527	Bostr.10040s0237.1.p
OG0000098	Bra021173, Bra027171	Bostr.28625s0056.1.p
OG0000099	Bra032602	Bostr.4824s0016.1.p
OG0000099	Bra008746	Bostr.2902s0202.1.p
OG0000099	Bra007917	Bostr.25463s0104.1.p
OG0000099	Bra027153	Bostr.13158s0232.1.p, Bostr.25993s0047.1.p, Bostr.13671s0417.1.p, Bostr.10040s0168.1.p
OG0000099	Bra016344	Bostr.20505s0157.1.p
OG0000099	Bra024604	Bostr.12659s0208.1.p
OG0000099	Bra016215	Bostr.5763s0066.1.p
OG0000103	Bra033170	Bostr.25463s0267.1.p
OG0000103	Bra013544, Bra038768, Bra038766	Bostr.10689s0110.1.p
OG0000103	Bra037906	Bostr.25463s0266.1.p
OG0000104	Bra004659, Bra016901	Bostr.25993s0586.1.p
OG0000104	Bra004707	Bostr.25993s0527.1.p
OG0000104	Bra004684	Bostr.19983s0002.1.p
OG0000106	Bra022489	Bostr.26959s0422.1.p
OG0000106	Bra040199, Bra040200	Bostr.26959s0430.1.p, Bostr.26959s0429.1.p
OG0000106	Bra022491	Bostr.17783s0002.1.p
OG0000106	Bra029304, Bra029303, Bra029299	Bostr.0124s0036.1.p, Bostr.26833s0043.1.p, Bostr.27991s0006.1.p, Bostr.27991s0161.1.p
OG0000108	Bra014798, Bra007090	Bostr.0697s0084.1.p
OG0000108	Bra005071, Bra005070, Bra005069, Bra000107, Bra017275, Bra017093	Bostr.23794s0176.1.p
OG0000108	Bra027463, Bra027488, Bra035979, Bra027490, Bra035978, Bra033673, Bra035977, Bra033675, Bra027487	Bostr.3148s0135.1.p, Bostr.3148s0134.1.p, Bostr.3148s0132.1.p
OG0000108	Bra033676, Bra035981	Bostr.3148s0128.1.p
OG0000109	Bra038047	Bostr.30275s0044.1.p
OG0000109	Bra018874	Bostr.26527s0360.1.p
OG0000110	Bra000568, Bra000727	Bostr.10199s0123.1.p, Bostr.27895s0060.1.p, Bostr.27895s0063.1.p, Bostr.27895s0062.1.p, Bostr.27895s0064.1.p, Bostr.27895s0061.1.p
