Orthogroup	Brassica_rapa	Arabidopsis_lyrata
OG0000014	Bra003329, Bra003328	scaffold_503008.1, fgenesh2_kg.5__2272__AT3G58270.1
OG0000014	Bra014088	fgenesh2_kg.3__2847__AT2G05420.1, Al_scaffold_0003_2996, Al_scaffold_0003_2994, fgenesh1_pm.C_scaffold_3002327
OG0000014	Bra007392	scaffold_503025.1
OG0000014	Bra007390	Al_scaffold_0005_2754
OG0000014	Bra003330	fgenesh2_kg.5__2279__AT3G58350.1
OG0000015	Bra023133, Bra005292, Bra038808, Bra004304	Al_scaffold_0001_5070, Al_scaffold_0002_571
OG0000015	Bra032513, Bra016418	scaffold_104090.1, scaffold_501139.1, scaffold_500453.1
OG0000016	Bra032736	fgenesh2_kg.7__2968__AT4G13790.1
OG0000016	Bra033580	scaffold_700077.1
OG0000016	Bra026598, Bra023663, Bra023659, Bra023653, Bra006438, Bra023654, Bra006430, Bra002121, Bra023661, Bra006433, Bra023657, Bra002126, Bra002130, Bra006435, Bra002124, Bra002127, Bra002125, Bra002120, Bra002131, Bra006432, Bra023656	scaffold_601873.1, fgenesh2_kg.6__1802__AT5G18060.1, scaffold_601870.1, scaffold_601864.1
OG0000017	Bra033850, Bra000514	scaffold_104276.1
OG0000017	Bra017982, Bra017983	scaffold_501934.1, scaffold_501943.1
OG0000017	Bra034015, Bra034016, Bra022876	fgenesh1_pg.C_scaffold_4001307
OG0000017	Bra021767, Bra021785, Bra021783, Bra021782, Bra021784, Bra021781, Bra021788, Bra021768, Bra023809, Bra027364, Bra021780, Bra021786, Bra021789, Bra021769, Bra021772, Bra037636, Bra039989	fgenesh2_kg.3__1146__AT3G10990.1, scaffold_302964.1
OG0000017	Bra002055	fgenesh1_pg.C_scaffold_4001340
OG0000017	Bra035057	scaffold_200364.1, scaffold_200367.1
OG0000018	Bra028499	Al_scaffold_0007_3497
OG0000018	Bra036019	Al_scaffold_0007_3559, Al_scaffold_0007_3558
OG0000018	Bra027772	Al_scaffold_0002_102
OG0000018	Bra027660, Bra027791, Bra027790	fgenesh2_kg.2__106__AT1G63740.1, Al_scaffold_0002_117
OG0000018	Bra021754	Al_scaffold_0002_103
OG0000018	Bra027778	Al_scaffold_0002_105
OG0000019	Bra020298, Bra006700, Bra020300, Bra020303, Bra020299, Bra002545, Bra002543	Al_scaffold_0008_2459
OG0000019	Bra019608, Bra018213	Al_scaffold_0005_1419
OG0000019	Bra033825	Al_scaffold_0005_1418
OG0000019	Bra028386	Al_scaffold_0109_2
OG0000023	Bra003308	scaffold_502955.1
OG0000023	Bra024648, Bra024647	fgenesh2_kg.6__997__AT5G10340.1
OG0000023	Bra031743, Bra026587, Bra013543, Bra020901	Al_scaffold_0005_616, Al_scaffold_0001_1132, fgenesh2_kg.1__1216__AT1G11270.2
OG0000023	Bra037593, Bra002310	Al_scaffold_0004_826
OG0000023	Bra009957, Bra009956	Al_scaffold_0005_1428, Al_scaffold_0001_4470, fgenesh2_kg.1__1019__AT1G09650.1, Al_scaffold_0001_1268, Al_scaffold_0006_1537, Al_scaffold_0001_3061
OG0000024	Bra027866	Al_scaffold_0001_5139, Al_scaffold_0002_658, Al_scaffold_0002_643
OG0000024	Bra027834, Bra036206, Bra035424	fgenesh2_kg.2__481__AT1G59620.1
OG0000024	Bra013134	Al_scaffold_0002_659, Al_scaffold_0008_1119, Al_scaffold_0002_577
OG0000024	Bra018448	Al_scaffold_0001_1095, scaffold_105165.1
OG0000026	Bra022043, Bra022042	scaffold_503287.1
OG0000029	Bra003852	scaffold_600231.1
OG0000029	Bra005753	Al_scaffold_0006_180
OG0000029	Bra000175	scaffold_603454.1
OG0000029	Bra027905, Bra027903, Bra027901	fgenesh1_pg.C_scaffold_6000171, fgenesh1_pg.C_scaffold_6000172, Al_scaffold_0006_194
OG0000029	Bra009558	fgenesh2_kg.6__203__AT5G02910.1
OG0000031	Bra030421, Bra028194	fgenesh2_kg.315__1__AT5G38580.1, fgenesh2_kg.7__3542__AT5G38580.1
OG0000032	Bra034039, Bra004199	scaffold_201476.1
OG0000033	Bra031482	fgenesh1_pg.C_scaffold_2000218
OG0000033	Bra015597	scaffold_101347.1, fgenesh1_pm.C_scaffold_1001035
OG0000033	Bra019755, Bra026682, Bra026978, Bra026924, Bra026923, Bra026977	fgenesh1_pg.C_scaffold_1001079, scaffold_101336.1
OG0000033	Bra019751	scaffold_200473.1
OG0000037	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010	fgenesh1_pm.C_scaffold_4001519
OG0000037	Bra037560	fgenesh1_pg.C_scaffold_3001782, fgenesh2_kg.1__4019__AT1G49240.1
OG0000037	Bra034778	fgenesh2_kg.3__1268__AT3G12110.1
OG0000037	Bra006719, Bra018210, Bra002571, Bra019486	fgenesh2_kg.5__1015__AT3G46520.1, fgenesh2_kg.8__1881__AT5G59370.1
OG0000037	Bra009081, Bra006033, Bra028615	fgenesh2_kg.6__937__AT5G09810.1
OG0000038	Bra034248	fgenesh2_kg.1__4731__AT1G55030.1
OG0000038	Bra023272	fgenesh2_kg.5__1496__AT3G51530.1
OG0000038	Bra040480	fgenesh2_kg.5__1273__AT2G04230.1
OG0000039	Bra012706	fgenesh2_kg.7__1977__AT4G23210.2
OG0000039	Bra027990, Bra013661, Bra013659, Bra013658, Bra013660, Bra020828, Bra020827, Bra013657	Al_scaffold_0007_1833
OG0000039	Bra013199	Al_scaffold_0007_1825, fgenesh2_kg.7__1976__AT4G23220.1
OG0000039	Bra035217	Al_scaffold_0001_5203
OG0000039	Bra019319, Bra013679	Al_scaffold_0007_1831, fgenesh2_kg.6__3108__AT4G11460.1
OG0000039	Bra000746	Al_scaffold_0006_3322
OG0000039	Bra000745	Al_scaffold_0006_3320
OG0000040	Bra023128	scaffold_301404.1
OG0000040	Bra025601, Bra032189	fgenesh2_kg.4__225__AT2G22980.2
OG0000040	Bra012153	scaffold_400259.1
OG0000040	Bra029842, Bra025640	fgenesh2_kg.3__1078__AT3G10450.1
OG0000040	Bra016001	fgenesh2_kg.2__1589__AT1G73270.1
OG0000043	Bra018164	fgenesh1_pg.C_scaffold_5001209
OG0000043	Bra005562, Bra005563	scaffold_801444.1
OG0000043	Bra002305, Bra006560	fgenesh2_kg.6__2087__AT5G20480.1
OG0000043	Bra022422, Bra014313	scaffold_401127.1
OG0000043	Bra015204, Bra027938	fgenesh1_pg.C_scaffold_5001243
OG0000044	Bra018182	fgenesh2_kg.5__1064__AT3G46950.1
OG0000044	Bra028374	fgenesh2_kg.2__266__AT1G61990.1
OG0000044	Bra036658, Bra027069, Bra028375	scaffold_200344.1, scaffold_200354.1, scaffold_200374.1, scaffold_201141.1, fgenesh1_pg.C_scaffold_2000271, scaffold_200357.1
OG0000044	Bra034464	scaffold_200349.1
OG0000045	Bra013596, Bra013683	fgenesh2_kg.5__957__AT3G45860.1
OG0000045	Bra019329	Al_scaffold_0007_1835
OG0000045	Bra020821	fgenesh2_kg.7__1981__AT4G23130.2
OG0000045	Bra019322, Bra013678, Bra023844, Bra038935	fgenesh2_kg.7__1979__AT4G23180.1
OG0000045	Bra019325	Al_scaffold_0002_253
OG0000046	Bra010552, Bra011666	Al_scaffold_0007_426
OG0000046	Bra036790	fgenesh2_kg.5__1501__AT3G51570.1
OG0000046	Bra027599	Al_scaffold_0008_410, Al_scaffold_0008_344, Al_scaffold_0008_346, scaffold_800382.1, scaffold_800453.1, fgenesh2_kg.8__291__AT5G45060.1, Al_scaffold_0008_349, scaffold_800359.1
OG0000046	Bra021956	Al_scaffold_0008_351
OG0000047	Bra030120, Bra032680, Bra040765, Bra003058, Bra033203, Bra033202, Bra020938, Bra030257, Bra015151, Bra019496	fgenesh1_pg.C_scaffold_1004379
OG0000050	Bra003745	fgenesh2_kg.6__1062__AT5G10980.1
OG0000051	Bra005989, Bra028659	fgenesh2_kg.6__807__AT5G08391.1
OG0000051	Bra008777	scaffold_601425.1
OG0000051	Bra025246, Bra032977	fgenesh1_pm.C_scaffold_5000374
OG0000051	Bra028480, Bra025532	fgenesh2_kg.7__3312__AT5G40970.1
OG0000051	Bra040553	scaffold_500615.1, scaffold_703863.1, fgenesh2_kg.3__19__AT3G01940.1
OG0000051	Bra014066	fgenesh2_kg.8__936__AT5G50660.1
OG0000051	Bra019556, Bra029911, Bra018044	fgenesh1_pm.C_scaffold_5001003
OG0000051	Bra038639	scaffold_803038.1
OG0000052	Bra014726, Bra031447, Bra008247	Al_scaffold_0004_827
OG0000053	Bra012037, Bra019453	fgenesh2_kg.6__2164__AT5G21274.1
OG0000053	Bra025438	scaffold_201361.1, scaffold_703671.1
OG0000053	Bra039723	fgenesh1_pm.C_scaffold_7002276
OG0000053	Bra023786, Bra033898	fgenesh2_kg.3__2503__AT3G22930.1
OG0000053	Bra000214	scaffold_402918.1
OG0000053	Bra003251	scaffold_402918.1
OG0000053	Bra014671	scaffold_402918.1
OG0000053	Bra000214	scaffold_502831.1
OG0000053	Bra003251	scaffold_502831.1
OG0000053	Bra014671	scaffold_502831.1
OG0000053	Bra007269	fgenesh2_kg.4__642__AT2G27030.3
OG0000054	Bra019742, Bra016791	fgenesh2_kg.1__1313__AT1G12090.1
OG0000054	Bra000777, Bra000778	scaffold_603708.1, scaffold_603709.1
OG0000054	Bra000377	fgenesh2_kg.4__2714__AT2G45180.1
OG0000054	Bra013619	scaffold_702112.1
OG0000057	Bra020447, Bra002733	fgenesh1_pm.C_scaffold_6002529
OG0000057	Bra029249	scaffold_802942.1
OG0000057	Bra008288	fgenesh1_pm.C_scaffold_5000607
OG0000057	Bra038835, Bra024452	fgenesh2_kg.3__3537__AT2G18960.1
OG0000059	Bra015818, Bra010300, Bra017886, Bra036742, Bra025006, Bra031176, Bra025815, Bra008239, Bra014053	scaffold_200866.1, scaffold_100612.1
OG0000060	Bra006685, Bra006639, Bra002436	fgenesh2_kg.6__2278__AT5G22880.1
OG0000060	Bra003150	scaffold_600180.1, fgenesh2_kg.3__969__AT3G09480.1, Al_scaffold_0005_2266
OG0000060	Bra039810, Bra007018	fgenesh2_kg.4__1800__AT2G37470.1
OG0000060	Bra020275, Bra002520	fgenesh1_pm.C_scaffold_189000001, fgenesh2_kg.8__1944__AT5G59910.1, fgenesh2_kg.5__969__AT3G45980.1, fgenesh2_kg.5__975__AT3G46030.1
OG0000061	Bra000815	scaffold_303693.1, Al_scaffold_0007_3261, scaffold_201146.1
OG0000062	Bra035813	fgenesh2_kg.3__2233__AT3G20140.1
OG0000062	Bra025472, Bra001775	fgenesh2_kg.3__2232__AT3G20080.1
OG0000062	Bra001329	fgenesh2_kg.8__658__AT5G47990.1, fgenesh2_kg.7__2791__AT4G15350.1
OG0000064	Bra036460, Bra036688	fgenesh1_pm.C_scaffold_3002552
OG0000064	Bra011053	Al_scaffold_0007_1247
OG0000064	Bra033704	fgenesh2_kg.8__431__AT5G43900.1
OG0000064	Bra032526	scaffold_100373.1
OG0000064	Bra022871	fgenesh2_kg.4__1175__AT2G31900.1
OG0000064	Bra030993	scaffold_101959.1
OG0000064	Bra006561, Bra020105	Al_scaffold_0006_1977
OG0000064	Bra014582, Bra003324	scaffold_502994.1
OG0000064	Bra030739, Bra018605	Al_scaffold_0001_833
OG0000065	Bra015815	fgenesh2_kg.2__1855__AT1G75780.1
OG0000065	Bra033737, Bra039506, Bra027544	scaffold_800574.1
OG0000065	Bra020912, Bra013481, Bra038795	fgenesh2_kg.7__2230__AT4G20890.1
OG0000065	Bra008903	Al_scaffold_0006_1146
OG0000065	Bra009710	fgenesh2_kg.6__2379__AT5G23860.1
OG0000065	Bra018379, Bra039987	fgenesh2_kg.4__930__AT2G29550.1
OG0000065	Bra018184, Bra033796	fgenesh2_kg.8__2267__AT5G62690.1, fgenesh2_kg.5__1054__AT5G62700.1
OG0000066	Bra012766	scaffold_304320.1, Al_scaffold_0003_3910, scaffold_303933.1, scaffold_201490.1
OG0000066	Bra024726, Bra024727	fgenesh1_pg.C_scaffold_1002421, Al_scaffold_0006_2726
OG0000066	Bra009339	fgenesh1_pm.C_scaffold_1000090
OG0000066	Bra012391	fgenesh1_pg.C_scaffold_3001850, Al_scaffold_0003_2060
OG0000066	Bra012394, Bra012395, Bra012392	fgenesh2_kg.1__2612__AT1G23970.1
OG0000068	Bra025795	fgenesh2_kg.4__129__AT1G20140.1, scaffold_102256.1, scaffold_201394.1
OG0000068	Bra018756, Bra014159, Bra018757	scaffold_503225.1
OG0000068	Bra014519	scaffold_502393.1, scaffold_503226.1, scaffold_302606.1, scaffold_302607.1, scaffold_302608.1, scaffold_700685.1
OG0000069	Bra035673	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	Bra017178	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	Bra005185	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	Bra018691	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	Bra031594	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	Bra007023	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	Bra006699	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	Bra000481	fgenesh2_kg.4__847__AT2G28740.1
OG0000069	Bra035673	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	Bra017178	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	Bra005185	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	Bra018691	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	Bra031594	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	Bra007023	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	Bra006699	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	Bra000481	fgenesh2_kg.5__1002__AT3G45930.1
OG0000069	Bra035673	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	Bra017178	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	Bra005185	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	Bra018691	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	Bra031594	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	Bra007023	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	Bra006699	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	Bra000481	fgenesh2_kg.5__1755__AT3G53730.1
OG0000069	Bra035673	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	Bra017178	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	Bra005185	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	Bra018691	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	Bra031594	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	Bra007023	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	Bra006699	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	Bra000481	fgenesh2_kg.5__963__AT3G45930.1
OG0000069	Bra035673	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	Bra017178	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	Bra005185	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	Bra018691	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	Bra031594	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	Bra007023	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	Bra006699	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	Bra000481	fgenesh2_kg.8__1917__AT5G59690.1
OG0000069	Bra020297, Bra030704	fgenesh2_kg.1__747__AT1G07820.2, fgenesh2_kg.1__768__AT1G07820.2
OG0000069	Bra000006	fgenesh2_kg.781__1__AT5G59970.1, fgenesh2_kg.8__1950__AT5G59970.1
OG0000070	Bra011889, Bra033581	scaffold_700078.1
OG0000070	Bra031171	scaffold_400034.1
OG0000070	Bra037243, Bra039909, Bra024482	scaffold_304129.1
OG0000070	Bra010501, Bra017747, Bra011662	fgenesh2_kg.7__453__AT4G36110.1
OG0000070	Bra003746, Bra015832	fgenesh2_kg.2__1835__AT1G75580.1
OG0000070	Bra025770	fgenesh2_kg.1__2161__AT1G19830.1
OG0000070	Bra013061	scaffold_303940.1
OG0000070	Bra011560	fgenesh2_kg.7__612__AT4G34760.1
OG0000071	Bra000470	scaffold_401462.1, scaffold_401461.1, scaffold_401458.1, fgenesh2_kg.3__1364__AT3G12981.1
OG0000071	Bra014098	fgenesh2_kg.6__1226__AT5G12450.1, fgenesh2_kg.6__1227__AT5G12450.1
OG0000071	Bra002161	fgenesh2_kg.1__3882__AT5G12450.1
OG0000072	Bra002449	fgenesh2_kg.7__3040__AT2G07505.1, fgenesh2_kg.1__3574__AT2G07505.1, fgenesh2_kg.9__20__AT2G07505.1
OG0000074	Bra002592	scaffold_802534.1
OG0000074	Bra018188	scaffold_501597.1, fgenesh2_kg.5__1049__AT3G46850.1, Al_scaffold_0005_1477
OG0000074	Bra006729	fgenesh2_kg.48__4__AT5G59130.1, fgenesh2_kg.8__1860__AT5G59130.1
OG0000074	Bra020349, Bra020347, Bra020348, Bra020350, Bra020351	fgenesh2_kg.8__1825__AT5G58830.1, scaffold_28500001.1, scaffold_802490.1, fgenesh2_kg.8__1780__AT5G58820.1, Al_scaffold_0008_1574, Al_scaffold_0008_2368, fgenesh1_pm.C_scaffold_285000001
OG0000074	Bra006728, Bra002586	scaffold_4800001.1, fgenesh2_kg.8__1861__AT5G59120.1
OG0000077	Bra005528, Bra005527	fgenesh2_kg.348__3__AT2G33060.1, fgenesh2_kg.4__1304__AT2G33060.1
OG0000077	Bra022907, Bra005530	fgenesh2_kg.4__1303__AT2G33050.1
OG0000078	Bra016477, Bra012210	fgenesh2_kg.1__2189__AT1G20090.1
OG0000078	Bra015807	scaffold_202533.1
OG0000078	Bra011578, Bra001994	fgenesh2_kg.7__588__AT4G35020.1
OG0000078	Bra025045	fgenesh2_kg.8__197__AT5G45970.1
OG0000078	Bra037248, Bra002093, Bra040869	fgenesh2_kg.7__474__AT4G35950.1
OG0000078	Bra011651, Bra017740	fgenesh2_kg.3__3379__AT2G17800.1
OG0000078	Bra038892, Bra036819, Bra012858	scaffold_502181.1
OG0000079	Bra023952, Bra011345	fgenesh2_kg.7__919__AT4G32410.1
OG0000079	Bra005845, Bra028768	fgenesh2_kg.6__440__AT5G05170.1
OG0000079	Bra033714	fgenesh2_kg.8__409__AT5G44030.1
OG0000079	Bra006407	scaffold_601794.1
OG0000079	Bra011865	fgenesh2_kg.7__145__AT4G39350.1
OG0000079	Bra037793, Bra031904, Bra024324	Al_scaffold_0485_1
OG0000079	Bra006036	scaffold_600993.1
OG0000080	Bra022730, Bra022727	fgenesh2_kg.8__1351__AT5G54550.1
OG0000080	Bra002990, Bra024630	fgenesh2_kg.8__1429__AT5G55270.1, fgenesh2_kg.236__1__AT5G55880.1, fgenesh2_kg.8__1485__AT5G55890.1, fgenesh2_kg.8__1338__AT5G54320.1, fgenesh2_kg.8__1337__AT5G54330.1
OG0000083	Bra016284, Bra024691	scaffold_103971.1
OG0000084	Bra029076, Bra022645	fgenesh1_pm.C_scaffold_8001028
OG0000084	Bra027688, Bra027749	Al_scaffold_0002_69
OG0000084	Bra013049, Bra001995	fgenesh2_kg.3__3258__AT2G16740.1
OG0000084	Bra002842	fgenesh2_kg.8__1517__AT5G56150.1
OG0000084	Bra001347, Bra041101	fgenesh2_kg.3__873__AT3G08690.1
OG0000085	Bra024195	scaffold_800584.1
OG0000085	Bra027451	scaffold_704010.1
OG0000085	Bra039802, Bra007010	fgenesh2_kg.5__1728__AT3G53550.1
OG0000086	Bra013901, Bra019151, Bra010456	fgenesh2_kg.7__1701__AT4G25590.1
OG0000086	Bra028304, Bra029119	fgenesh2_kg.8__1121__AT5G52360.1
OG0000086	Bra033236	scaffold_100061.1
OG0000086	Bra006686	fgenesh1_pm.C_scaffold_8001603
OG0000086	Bra006687, Bra002522, Bra020277	fgenesh2_kg.8__1940__AT5G59880.1
OG0000086	Bra038266	fgenesh1_pm.C_scaffold_5000802, fgenesh2_kg.5__971__AT3G46000.1
OG0000087	Bra016742	fgenesh1_pm.C_scaffold_1003147, fgenesh1_pm.C_scaffold_3000683
OG0000088	Bra002490, Bra020258	scaffold_802671.1
OG0000088	Bra006669, Bra002497	fgenesh2_kg.8__1982__AT5G60300.2
OG0000088	Bra020259, Bra002500, Bra002499, Bra006670	fgenesh2_kg.8__1979__AT5G60270.1
OG0000088	Bra002498	scaffold_802669.1
OG0000088	Bra019469	scaffold_501398.1
OG0000088	Bra038287, Bra002064	scaffold_501397.1
OG0000088	Bra029544, Bra038289	scaffold_501394.1
OG0000088	Bra006666, Bra006668	fgenesh2_kg.8__1985__AT5G60320.1
OG0000090	Bra018391, Bra039974, Bra039969, Bra018393, Bra018396	scaffold_401560.1
OG0000090	Bra039966	fgenesh2_kg.1__721__AT1G07450.1
OG0000094	Bra027089	Al_scaffold_0002_396
OG0000094	Bra027084, Bra031429	Al_scaffold_0002_384
OG0000094	Bra027087, Bra031433	fgenesh2_kg.2__311__AT1G61420.1, fgenesh2_kg.2__308__AT1G61460.1, scaffold_200445.1
OG0000094	Bra034257	fgenesh2_kg.1__1218__AT1G11280.2
OG0000094	Bra027088	Al_scaffold_0002_394
OG0000094	Bra031434	fgenesh2_kg.2__315__AT1G61380.1
OG0000094	Bra016844	Al_scaffold_0001_1133
OG0000094	Bra038579	fgenesh2_kg.2__317__AT1G61360.1
OG0000095	Bra013721, Bra034099	scaffold_701972.1, fgenesh2_kg.7__1933__AT4G23680.1
OG0000095	Bra019280, Bra019278	fgenesh2_kg.5__401__AT3G26460.1
OG0000095	Bra026176	Al_scaffold_0001_3201, fgenesh2_kg.1__1638__AT1G14960.1
OG0000095	Bra026653	fgenesh2_kg.7__2939__AT4G14060.1
OG0000096	Bra003124	fgenesh2_kg.5__1691__AT3G53240.1
OG0000096	Bra008138	fgenesh2_kg.2__1688__AT1G74190.1
OG0000096	Bra032058, Bra034253	fgenesh2_kg.4__458__AT2G25470.1, fgenesh2_kg.1__4677__AT1G54470.1
OG0000098	Bra017241, Bra023065	scaffold_201480.1, fgenesh2_kg.4__1673__AT2G36380.1
OG0000098	Bra034314	fgenesh2_kg.4__626__AT2G26910.1
OG0000098	Bra025424	fgenesh2_kg.5__745__AT3G30842.1
OG0000098	Bra026124	fgenesh2_kg.1__1707__AT1G15520.1
OG0000098	Bra026156, Bra026157, Bra016669	fgenesh2_kg.1__1667__AT1G15210.1
OG0000098	Bra003527	fgenesh2_kg.2__450__AT1G59870.1
OG0000098	Bra021173, Bra027171	fgenesh1_pm.C_scaffold_3001425
OG0000099	Bra032602	Al_scaffold_0001_159, Al_scaffold_0005_2107
OG0000099	Bra012376	fgenesh2_kg.2__1302__AT1G70490.1
OG0000099	Bra008746	fgenesh1_pm.C_scaffold_6001155
OG0000099	Bra004475	fgenesh2_kg.4__2953__AT2G47170.1
OG0000099	Bra027153	fgenesh2_kg.2__831__AT3G62290.1, fgenesh2_kg.5__2727__AT3G62290.1, scaffold_101133.1
OG0000099	Bra016215	fgenesh2_kg.1__2566__AT1G23490.1
OG0000102	Bra010034, Bra031446, Bra005391, Bra040876, Bra034905, Bra038986, Bra038643	scaffold_201220.1
OG0000103	Bra033170	fgenesh2_kg.6__3031__AT4G10520.1
OG0000103	Bra013544, Bra038768, Bra038766	fgenesh2_kg.7__2143__AT4G21650.1
OG0000103	Bra037906	fgenesh2_kg.6__3033__AT4G10540.1
OG0000103	Bra023300, Bra023297	Al_scaffold_0001_3370, scaffold_103673.1
OG0000104	Bra004659, Bra016901	fgenesh2_kg.4__2339__AT2G41930.1
OG0000104	Bra004707	fgenesh2_kg.4__2409__AT2G42550.1
OG0000104	Bra004684	fgenesh1_pg.C_scaffold_4002371, scaffold_403089.1
OG0000106	Bra022489	fgenesh1_pm.C_scaffold_2000514, fgenesh2_kg.2__657__AT1G65200.1
OG0000106	Bra040199, Bra040200	fgenesh1_pm.C_scaffold_2000507, scaffold_200953.1, fgenesh2_kg.2__651__AT1G65120.1
OG0000106	Bra022491	fgenesh2_kg.2__652__AT1G65130.1
OG0000106	Bra029304, Bra029303, Bra029299	scaffold_105048.1, fgenesh1_pm.C_scaffold_8001772, Al_scaffold_0008_2698, fgenesh2_kg.8__1041__AT5G51530.1, Al_scaffold_0004_1234, scaffold_401271.1, Al_scaffold_0004_1230
OG0000108	Bra014798, Bra007090	fgenesh2_kg.5__1867__AT3G54700.1
