Orthogroup	Brassica_rapa	Capsella_rubella
OG0000038	Bra034248	Carub.0005s0506.1.p, Carub.0005s0504.1.p, Carub.0002s0814.1.p, Carub.0002s0815.1.p
OG0000038	Bra023272	Carub.0005s1791.1.p
OG0000038	Bra006939	Carub.0005s1910.1.p, Carub.0005s1194.1.p, Carub.0005s1909.1.p
OG0000038	Bra040480	Carub.0005s1519.1.p, Carub.0005s1521.1.p, Carub.0005s1520.1.p, Carub.0008s0938.1.p, Carub.0008s0939.1.p, Carub.0005s1522.1.p, Carub.0001s3364.1.p
OG0000039	Bra012706	Carub.0007s1800.1.p
OG0000039	Bra013199	Carub.0007s1794.1.p, Carub.0007s1807.1.p
OG0000039	Bra035222	Carub.0006s3049.1.p
OG0000039	Bra019317	Carub.0007s1792.1.p
OG0000039	Bra000746	Carub.0006s3047.1.p
OG0000040	Bra023128	Carub.0003s1159.1.p
OG0000040	Bra012153	Carub.0004s0220.1.p
OG0000040	Bra029842, Bra025640	Carub.0003s0966.1.p, Carub.0003s2578.1.p
OG0000040	Bra016001	Carub.0002s2006.1.p
OG0000041	Bra033927	Carub.0024s0015.1.p
OG0000041	Bra033922, Bra017679, Bra035991, Bra018033, Bra028038, Bra035314, Bra038115, Bra014805, Bra040867, Bra038304, Bra014058, Bra037613, Bra030392	Carub.0008s0594.1.p, Carub.0007s3055.1.p, Carub.0007s3157.1.p, Carub.0007s3143.1.p, Carub.0004s0616.1.p, Carub.0007s3038.1.p, Carub.0004s0523.1.p, Carub.0001s1088.1.p, Carub.0003s2750.1.p, Carub.0003s2772.1.p, Carub.0008s1087.1.p
OG0000043	Bra005562, Bra005563	Carub.0008s1038.1.p
OG0000043	Bra002305, Bra006560	Carub.0219s0002.1.p, Carub.0006s1881.1.p
OG0000043	Bra036778, Bra037076, Bra035695, Bra035694	Carub.0004s1293.1.p, Carub.0004s1294.1.p
OG0000043	Bra015204, Bra027938	Carub.0005s1366.1.p
OG0000044	Bra018182	Carub.0005s1317.1.p
OG0000044	Bra028374	Carub.0002s0305.1.p
OG0000044	Bra036658, Bra027069, Bra028375	Carub.0002s0291.1.p, Carub.0002s0311.1.p
OG0000044	Bra027066	Carub.0002s0309.1.p
OG0000045	Bra013596, Bra013683	Carub.0007s1788.1.p, Carub.0007s1786.1.p, Carub.0007s1787.1.p, Carub.0005s1171.1.p
OG0000045	Bra020821	Carub.0007s1813.1.p
OG0000045	Bra019324	Carub.0007s1812.1.p, Carub.0007s1804.1.p
OG0000045	Bra013676, Bra013677	Carub.0007s1806.1.p
OG0000045	Bra019322, Bra013678, Bra023844, Bra038935	Carub.0007s1803.1.p
OG0000045	Bra040998	Carub.0007s2975.1.p
OG0000045	Bra019323, Bra012544, Bra019320	Carub.0007s1796.1.p
OG0000045	Bra041081	Carub.0007s1809.1.p
OG0000046	Bra010552, Bra011666	Carub.0007s0407.1.p
OG0000046	Bra036790	Carub.0007s2167.1.p
OG0000046	Bra027599	Carub.0008s0325.1.p, Carub.0008s0294.1.p
OG0000046	Bra021956	Carub.0006s2909.1.p
OG0000047	Bra030120, Bra032680, Bra040765, Bra003058, Bra033203, Bra033202, Bra020938, Bra030257, Bra015151, Bra019496	Carub.0007s3164.1.p
OG0000050	Bra003745	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p
OG0000051	Bra005989, Bra028659	Carub.0006s0729.1.p
OG0000051	Bra032978, Bra025247	Carub.0005s0524.1.p
OG0000051	Bra008777	Carub.0006s1231.1.p
OG0000051	Bra028480, Bra025532	Carub.0007s3453.1.p
OG0000051	Bra040553	Carub.0005s0523.1.p, Carub.0007s3452.1.p, Carub.0003s0015.1.p
OG0000051	Bra014066	Carub.0008s1065.1.p
OG0000051	Bra019556, Bra029911, Bra018044	Carub.0005s1480.1.p
OG0000051	Bra038639	Carub.0008s2420.1.p
OG0000052	Bra014726, Bra031447, Bra008247	Carub.0001s3517.1.p, Carub.0008s0754.1.p
OG0000053	Bra012037, Bra019453	Carub.0005s0961.1.p, Carub.0006s1950.1.p
OG0000053	Bra025438	Carub.0007s3294.1.p, Carub.0002s1246.1.p
OG0000053	Bra039723	Carub.0007s2756.1.p
OG0000053	Bra023786, Bra033898	Carub.0003s2306.1.p
OG0000053	Bra007269	Carub.0004s0751.1.p, Carub.0005s2353.1.p, Carub.0004s2342.1.p
OG0000054	Bra019742, Bra016791	Carub.0001s1178.1.p
OG0000054	Bra034519, Bra027039	Carub.0002s0247.1.p
OG0000054	Bra000777, Bra000778	Carub.0006s3168.1.p, Carub.0006s3169.1.p
OG0000054	Bra000377	Carub.0004s2780.1.p
OG0000054	Bra039079, Bra039078	Carub.0006s3180.1.p, Carub.0006s3177.1.p, Carub.0006s3176.1.p
OG0000054	Bra029458	Carub.0006s3172.1.p
OG0000057	Bra020447, Bra002733	Carub.0008s1787.1.p
OG0000057	Bra016610	Carub.0001s1701.1.p
OG0000057	Bra007524, Bra014496	Carub.0005s2708.1.p
OG0000057	Bra029249	Carub.0008s2342.1.p
OG0000057	Bra003576, Bra035163	Carub.0002s2690.1.p
OG0000057	Bra008288	Carub.0016s0001.1.p
OG0000057	Bra013168	Carub.0013s0011.1.p
OG0000057	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101	Carub.0007s1042.1.p
OG0000057	Bra038835, Bra024452	Carub.0003s3319.1.p
OG0000059	Bra015818, Bra010300, Bra017886, Bra036742, Bra025006, Bra031176, Bra025815, Bra008239, Bra014053	Carub.0099s0002.1.p, Carub.0006s2597.1.p, Carub.0011s0002.1.p
OG0000059	Bra039933, Bra012195, Bra017607, Bra003113, Bra002532, Bra035465, Bra024361, Bra031911, Bra008118, Bra005295, Bra012400, Bra013008, Bra031837, Bra012242, Bra010197, Bra025809	Carub.0007s3076.1.p, Carub.0003s1040.1.p, Carub.0002s0948.1.p, Carub.0006s2645.1.p, Carub.0006s2648.1.p, Carub.0008s2840.1.p, Carub.0002s1040.1.p, Carub.0007s3075.1.p, Carub.0001s4113.1.p, Carub.0003s0398.1.p, Carub.0004s0663.1.p, Carub.0007s3079.1.p, Carub.0001s3710.1.p, Carub.0007s3086.1.p, Carub.0005s0910.1.p
OG0000060	Bra006685, Bra006639, Bra002436	Carub.0006s2066.1.p
OG0000060	Bra003150	Carub.0005s2023.1.p
OG0000060	Bra020275, Bra002520	Carub.0008s2052.1.p, Carub.0005s1183.1.p, Carub.0005s1189.1.p
OG0000061	Bra000815	Carub.0002s0328.1.p, Carub.0007s3755.1.p, Carub.0007s3756.1.p, Carub.0007s3751.1.p, Carub.0005s1237.1.p, Carub.0001s3826.1.p, Carub.0002s0647.1.p
OG0000062	Bra035813	Carub.0003s2005.1.p
OG0000062	Bra025472, Bra001775	Carub.0003s2001.1.p, Carub.0003s2002.1.p
OG0000062	Bra027515, Bra030126	Carub.0004s0748.1.p, Carub.0004s0749.1.p
OG0000062	Bra035814	Carub.0003s2000.1.p
OG0000062	Bra014143, Bra039930	Carub.0005s0773.1.p
OG0000062	Bra038254	Carub.0003s2669.1.p
OG0000064	Bra036460, Bra036688	Carub.0003s3462.1.p
OG0000064	Bra011053	Carub.0007s1193.1.p
OG0000064	Bra033704	Carub.0008s0469.1.p
OG0000064	Bra032526	Carub.0001s0331.1.p
OG0000064	Bra022871	Carub.0004s1320.1.p
OG0000064	Bra030993	Carub.0001s1734.1.p
OG0000064	Bra006561, Bra020105	Carub.0006s1882.1.p
OG0000064	Bra014582, Bra003324	Carub.0005s2501.1.p
OG0000064	Bra027968	Carub.0002s0909.1.p
OG0000064	Bra030739, Bra018605	Carub.0001s0808.1.p
OG0000065	Bra015815	Carub.0002s2263.1.p
OG0000065	Bra033737, Bra039506, Bra027544	Carub.0008s0413.1.p
OG0000065	Bra020912, Bra013481, Bra038795	Carub.0007s2054.1.p
OG0000065	Bra008903	Carub.0006s1076.1.p
OG0000065	Bra009710	Carub.0006s2158.1.p
OG0000065	Bra018379, Bra039987	Carub.0004s1060.1.p
OG0000065	Bra018184, Bra033796	Carub.0005s1313.1.p, Carub.0005s1309.1.p
OG0000066	Bra012766	Carub.0003s3340.1.p, Carub.0006s3079.1.p, Carub.0006s2997.1.p
OG0000066	Bra012391	Carub.0003s1935.1.p, Carub.0003s1934.1.p
OG0000066	Bra012394, Bra012395, Bra012392	Carub.0001s2342.1.p
OG0000068	Bra025795	Carub.0001s3799.1.p
OG0000068	Bra015801, Bra008231, Bra003735	Carub.0002s2286.1.p
OG0000068	Bra014519	Carub.0005s2675.1.p, Carub.0003s2192.1.p, Carub.0006s3234.1.p, Carub.0006s3236.1.p, Carub.0007s0583.1.p
OG0000069	Bra000006	Carub.0005s1176.1.p, Carub.0005s2031.1.p, Carub.0005s1217.1.p, Carub.0001s0700.1.p, Carub.0001s0717.1.p, Carub.0004s0975.1.p, Carub.0008s2033.1.p
OG0000070	Bra011889, Bra033581	Carub.0007s0072.1.p
OG0000070	Bra031171	Carub.0004s0025.1.p
OG0000070	Bra037243, Bra039909, Bra024482	Carub.0003s3215.1.p
OG0000070	Bra010501, Bra017747, Bra011662	Carub.0007s0412.1.p
OG0000070	Bra003746, Bra015832	Carub.0002s2243.1.p
OG0000070	Bra025770	Carub.0001s1934.1.p
OG0000070	Bra013061	Carub.0003s3033.1.p
OG0000070	Bra011560	Carub.0007s0553.1.p
OG0000071	Bra000470	Carub.0004s1101.1.p, Carub.0004s1100.1.p
OG0000071	Bra002161	Carub.0001s3703.1.p
OG0000072	Bra002449	Carub.0003s3077.1.p, Carub.0008s0706.1.p
OG0000073	Bra023819	Carub.0001s3395.1.p
OG0000074	Bra002592	Carub.0008s1976.1.p
OG0000074	Bra018188	Carub.0005s1307.1.p
OG0000074	Bra006729	Carub.0008s1982.1.p
OG0000074	Bra020349, Bra020347, Bra020348, Bra020350, Bra020351	Carub.0008s1946.1.p, Carub.0008s1945.1.p, Carub.0008s1947.1.p
OG0000074	Bra006728, Bra002586	Carub.0008s1985.1.p, Carub.0008s1983.1.p
OG0000077	Bra022907, Bra005530	Carub.0004s1453.1.p
OG0000078	Bra016477, Bra012210	Carub.0001s1962.1.p
OG0000078	Bra015807	Carub.0002s2275.1.p
OG0000078	Bra011578, Bra001994	Carub.0007s0529.1.p
OG0000078	Bra025045	Carub.0008s0195.1.p
OG0000078	Bra037248, Bra002093, Bra040869	Carub.0007s0427.1.p
OG0000078	Bra011651, Bra017740	Carub.0003s3195.1.p
OG0000078	Bra038892, Bra036819, Bra012858	Carub.0005s1767.1.p
OG0000079	Bra023952, Bra011345	Carub.0007s0816.1.p
OG0000079	Bra029874	Carub.0003s1011.1.p
OG0000079	Bra005845, Bra028768	Carub.0006s0410.1.p
OG0000079	Bra033714	Carub.0008s0451.1.p
OG0000079	Bra006407	Carub.0006s1564.1.p
OG0000079	Bra011865	Carub.0007s0125.1.p
OG0000079	Bra006036	Carub.0006s0830.1.p
OG0000080	Bra010650	Carub.0008s1461.1.p
OG0000080	Bra002990, Bra024630	Carub.0001s2878.1.p
OG0000083	Bra010468	Carub.0007s1566.1.p
OG0000083	Bra016284, Bra024691	Carub.0001s2429.1.p, Carub.0001s3299.1.p
OG0000083	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690	Carub.0001s1373.1.p
OG0000083	Bra017393	Carub.0005s0217.1.p
OG0000083	Bra024783, Bra024782	Carub.0005s0218.1.p
OG0000083	Bra017394, Bra017395, Bra026565, Bra024784	Carub.0005s0216.1.p
OG0000084	Bra029076, Bra022645	Carub.0008s1348.1.p
OG0000084	Bra027688, Bra027749	Carub.0002s0056.1.p
OG0000084	Bra013049, Bra001995	Carub.0003s3054.1.p
OG0000084	Bra002842	Carub.0008s1647.1.p
OG0000084	Bra001347, Bra041101	Carub.0003s0782.1.p
OG0000085	Bra024078, Bra023947	Carub.0007s0781.1.p
OG0000085	Bra024195	Carub.0008s0420.1.p, Carub.0008s0416.1.p
OG0000085	Bra027451	Carub.0007s3566.1.p, Carub.0007s3567.1.p
OG0000086	Bra013901, Bra019151, Bra010456	Carub.0007s1539.1.p
OG0000086	Bra028304, Bra029119	Carub.0008s1247.1.p
OG0000086	Bra033236	Carub.0001s0046.1.p
OG0000086	Bra006686	Carub.0008s2054.1.p
OG0000086	Bra006687, Bra002522, Bra020277	Carub.0008s2056.1.p
OG0000086	Bra038266	Carub.0005s1186.1.p
OG0000088	Bra038286	Carub.0005s1126.1.p
OG0000088	Bra002490, Bra020258	Carub.0008s2102.1.p
OG0000088	Bra006669, Bra002497	Carub.0008s2101.1.p
OG0000088	Bra020259, Bra002500, Bra002499, Bra006670	Carub.0008s2099.1.p
OG0000088	Bra002498	Carub.0008s2100.1.p
OG0000088	Bra019469	Carub.0005s1127.1.p
OG0000088	Bra038287, Bra002064	Carub.0005s1125.1.p
OG0000088	Bra029544, Bra038289	Carub.0005s1121.1.p
OG0000088	Bra006666, Bra006668	Carub.0008s2103.1.p
OG0000090	Bra018400	Carub.0004s1037.1.p
OG0000090	Bra018391, Bra039974, Bra039969, Bra018393, Bra018396	Carub.0004s1184.1.p, Carub.0004s1182.1.p
OG0000090	Bra039513, Bra018399, Bra039971, Bra039973, Bra039967, Bra000477	Carub.0004s1036.1.p
OG0000090	Bra039514, Bra000476, Bra018401, Bra018402, Bra018405, Bra018404	Carub.0004s1035.1.p, Carub.0004s1034.1.p
OG0000094	Bra027084, Bra031429	Carub.0002s0372.1.p
OG0000094	Bra027087, Bra031433	Carub.0002s0374.1.p, Carub.0002s0375.1.p
OG0000094	Bra027088	Carub.0002s0379.1.p
OG0000094	Bra031434	Carub.0002s0380.1.p
OG0000095	Bra013721, Bra034099	Carub.0007s1745.1.p, Carub.0007s1744.1.p
OG0000095	Bra019280, Bra019278	Carub.0005s0443.1.p, Carub.0005s0446.1.p, Carub.0005s0445.1.p, Carub.0005s0444.1.p
OG0000095	Bra026176	Carub.0001s1473.1.p
OG0000096	Bra015930, Bra003729, Bra008137, Bra003816	Carub.0002s1339.1.p
OG0000096	Bra032058, Bra034253	Carub.0004s0512.1.p, Carub.0004s0515.1.p, Carub.0004s0513.1.p, Carub.0004s0514.1.p, Carub.0002s0936.1.p
OG0000098	Bra017241, Bra023065	Carub.0002s1323.1.p, Carub.0004s1818.1.p
OG0000098	Bra034314	Carub.0004s0741.1.p
OG0000098	Bra025424	Carub.0005s0873.1.p
OG0000098	Bra026124	Carub.0001s1530.1.p
OG0000098	Bra026156, Bra026157, Bra016669	Carub.0001s1496.1.p
OG0000098	Bra003527	Carub.0002s0539.1.p
OG0000098	Bra021173, Bra027171	Carub.0003s1609.1.p
OG0000099	Bra032602	Carub.0001s0151.1.p
OG0000099	Bra008746	Carub.0006s1284.1.p
OG0000099	Bra007917	Carub.0007s3039.1.p
OG0000099	Bra027153	Carub.0004s2990.1.p, Carub.0005s2901.1.p, Carub.0004s2991.1.p, Carub.0001s1010.1.p
OG0000100	Bra014286, Bra012565, Bra010905	Carub.0003s3035.1.p
OG0000103	Bra033170	Carub.0006s2928.1.p, Carub.0006s2927.1.p, Carub.0006s2929.1.p
OG0000103	Bra037906	Carub.0006s2931.1.p
OG0000103	Bra023300, Bra023297	Carub.0001s3127.1.p
OG0000104	Bra004659, Bra016901	Carub.0004s2425.1.p
OG0000104	Bra004707	Carub.0004s2500.1.p
OG0000104	Bra014070, Bra014188, Bra014215, Bra015604	Carub.0006s1060.1.p
OG0000104	Bra004684	Carub.0004s2472.1.p, Carub.0004s2471.1.p, Carub.0004s2468.1.p, Carub.0006s2711.1.p
OG0000106	Bra022489	Carub.0002s1066.1.p, Carub.0002s1069.1.p, Carub.0002s1065.1.p
OG0000106	Bra040199, Bra040200	Carub.0002s1057.1.p, Carub.0002s1060.1.p
OG0000106	Bra022491	Carub.0002s1061.1.p
OG0000106	Bra029304, Bra029303, Bra029299	Carub.0001s4142.1.p, Carub.0008s2264.1.p, Carub.0008s2263.1.p, Carub.0008s2262.1.p, Carub.0004s0829.1.p, Carub.0004s0831.1.p
OG0000108	Bra014798, Bra007090	Carub.0005s2130.1.p
OG0000108	Bra005071, Bra005070, Bra005069, Bra000107, Bra017275, Bra017093	Carub.0004s2097.1.p
OG0000108	Bra027463, Bra027488, Bra035979, Bra027490, Bra035978, Bra033673, Bra035977, Bra033675, Bra027487	Carub.0008s0524.1.p, Carub.0008s0526.1.p, Carub.0008s0525.1.p
OG0000108	Bra033676, Bra035981	Carub.0008s0523.1.p
OG0000109	Bra018874	Carub.0001s3978.1.p
OG0000110	Bra038504	Carub.0007s2466.1.p
OG0000110	Bra021082	Carub.0007s2465.1.p
OG0000110	Bra000568, Bra000727	Carub.0004s0348.1.p
OG0000110	Bra025164, Bra025163	Carub.0005s0364.1.p
OG0000113	Bra031480	Carub.0005s2571.1.p
OG0000114	Bra002171	Carub.0006s1688.1.p
OG0000114	Bra033499	Carub.0007s2614.1.p, Carub.0007s2612.1.p
OG0000114	Bra038076	Carub.0007s2610.1.p, Carub.0007s2603.1.p, Carub.0007s2605.1.p, Carub.0007s2607.1.p, Carub.0007s2608.1.p
OG0000114	Bra033503, Bra033501	Carub.0007s2611.1.p
OG0000115	Bra002103, Bra006418, Bra023635	Carub.0006s1599.1.p
OG0000115	Bra024477, Bra037232	Carub.0007s3256.1.p, Carub.0003s3235.1.p, Carub.0003s3234.1.p
OG0000115	Bra038874	Carub.0005s1733.1.p
OG0000115	Bra036846, Bra012877	Carub.0005s1732.1.p
OG0000116	Bra014352	Carub.0008s2108.1.p
OG0000116	Bra038027, Bra020514, Bra020515, Bra020478	Carub.0006s2323.1.p
OG0000116	Bra005841	Carub.0006s0122.1.p, Carub.0006s0397.1.p
OG0000116	Bra028614	Carub.0006s0373.1.p
OG0000117	Bra004768	Carub.0004s2597.1.p
OG0000117	Bra000309	Carub.0004s2598.1.p
OG0000119	Bra004755	Carub.0004s2574.1.p
OG0000119	Bra012460	Carub.0005s2945.1.p
OG0000120	Bra032635	Carub.0001s0085.1.p
OG0000120	Bra037388, Bra008539, Bra000941	Carub.0006s3612.1.p
OG0000120	Bra022637, Bra029089, Bra026297	Carub.0008s1340.1.p
OG0000120	Bra004539, Bra039283	Carub.0004s2911.1.p
OG0000121	Bra015809	Carub.0002s2274.1.p
OG0000121	Bra025396	Carub.0002s0817.1.p
OG0000121	Bra008225	Carub.0002s1189.1.p
OG0000121	Bra015811	Carub.0002s2271.1.p, Carub.0002s2269.1.p, Carub.0002s2270.1.p, Carub.0002s2268.1.p, Carub.0002s2273.1.p, Carub.0002s2272.1.p, Carub.0007s3201.1.p
OG0000123	Bra003310, Bra000376	Carub.0005s2737.1.p, Carub.0004s2779.1.p
OG0000123	Bra040738, Bra012710	Carub.0007s2497.1.p
OG0000123	Bra013172	Carub.0003s2690.1.p
OG0000123	Bra029509	Carub.0006s3246.1.p
OG0000123	Bra013578, Bra019407	Carub.0007s1936.1.p
OG0000125	Bra000735, Bra032069	Carub.0004s0420.1.p, Carub.0004s0422.1.p
OG0000125	Bra032068	Carub.0004s0423.1.p, Carub.0004s0427.1.p, Carub.0004s0430.1.p
OG0000125	Bra032065, Bra032064	Carub.0004s0352.1.p, Carub.0004s0353.1.p, Carub.0004s0356.1.p, Carub.0004s0354.1.p, Carub.0004s0357.1.p, Carub.0004s0426.1.p
OG0000126	Bra027823, Bra027162	Carub.0007s3394.1.p, Carub.0007s3395.1.p
OG0000129	Bra023232, Bra029851	Carub.0001s3616.1.p
OG0000129	Bra021260	Carub.0003s1632.1.p
OG0000130	Bra040265	Carub.0001s3392.1.p
OG0000132	Bra039617	Carub.0003s3248.1.p
