Orthogroup	Brassica_rapa	Thellungiella_parvula
OG0000017	Bra005628	Sp4g14420.1
OG0000017	Bra035057	SpUn0074_0030.1
OG0000018	Bra028499	Sp7g00500.1
OG0000018	Bra025494	Sp7g00490.1
OG0000018	Bra025467	Sp7g00350.1
OG0000018	Bra027772	Sp2g00780.1
OG0000018	Bra027660, Bra027791, Bra027790	Sp2g00920.1
OG0000018	Bra021754	Sp5g13400.1
OG0000018	Bra027778	Sp2g00800.1
OG0000018	Bra027779	Sp2g00810.1
OG0000019	Bra035657	Sp4g11780.1
OG0000019	Bra001827, Bra031276	Sp3g19400.1
OG0000019	Bra018933	Sp1g38470.1
OG0000019	Bra020298	Sp6g12470.1
OG0000019	Bra006700	Sp6g21340.1
OG0000019	Bra020299	Sp6g21350.1
OG0000019	Bra019608, Bra018213	Sp5g15300.1
OG0000019	Bra028386	Sp4g11820.1
OG0000019	Bra015587	Sp1g34570.1
OG0000024	Bra027866	Sp2g05350.1
OG0000024	Bra027834, Bra036206	Sp2g04940.1
OG0000024	Bra035424	Sp2g04960.1
OG0000024	Bra005277, Bra040841, Bra040891, Bra037448	Sp3g23090.1
OG0000026	Bra022043, Bra022042	Sp2g07580.1, Sp6g10040.1, Sp3g27990.1, Sp6g07480.1, Sp7g05250.1, Sp6g11510.1, Sp6g11540.1, Sp4g07040.1, SpUn0099_0030.1, SpUn0012_0150.1, Sp1g33550.1, Sp7g08360.1, Sp7g09000.1, Sp5g17720.1, Sp6g06910.1, Sp1g27740.1, Sp6g07470.1, Sp6g09430.1, Sp4g03810.1, SpUn1041_0010.1, Sp6g09180.1, Sp5g19640.1, Sp7g06310.1, Sp7g15680.1, Sp2g03930.1, Sp1g28040.1, Sp3g28330.1, Sp2g04150.1, Sp3g26560.1, Sp4g06760.1, Sp6g09530.1, Sp7g04650.1, SpUn1343_0010.1, Sp6g12850.1, Sp2g01940.1, SpUn0005_0320.1, SpUn0040_0030.1, SpUn0384_0010.1, Sp4g03200.1, Sp5g19860.1, Sp3g22100.1, Sp3g16820.1, Sp1g22890.1, Sp3g30250.1, Sp7g04440.1, SpUn0012_0110.1, Sp4g09730.1, SpUn0012_0100.1, Sp6g12950.1, Sp7g04770.1, Sp1g31220.1, Sp7g03240.1, Sp4g06510.1, Sp1g30010.1, Sp1g33200.1, Sp3g23530.1, Sp2g02140.1, Sp2g06390.1, SpUn0766_0010.1, Sp4g08570.1, Sp7g05060.1, Sp7g09870.1, Sp4g09830.1, Sp6g10070.1, Sp7g07910.1, Sp5g17500.1, SpUn0012_0070.1, Sp4g09760.1, SpUn0012_0080.1, Sp1g26850.1, Sp1g26860.1, Sp3g32060.1, Sp6g13690.1, Sp3g24900.1, SpUn1473_0010.1, Sp3g26100.1, SpUn0964_0010.1, SpUn0475_0010.1, SpUn0895_0010.1, Sp4g08290.1, Sp3g25020.1, Sp3g24960.1, Sp3g24980.1, Sp6g09520.1, Sp3g26070.1, Sp3g26520.1, Sp7g02020.1, Sp1g31950.1, Sp4g07990.1, Sp3g25310.1, Sp4g07790.1, Sp1g31580.1, Sp5g20480.1, Sp3g27550.1, SpUn0001_1030.1, Sp5g20210.1, SpUn0002_0660.1, Sp2g06130.1, SpUn0001_0270.1, Sp4g12960.1, Sp1g26170.1, Sp1g30450.1, Sp6g09190.1, Sp1g30190.1, Sp3g24810.1, Sp5g13270.1, Sp4g08540.1, Sp4g08530.1, Sp7g09320.1, Sp1g34280.1, Sp5g19670.1, Sp4g08090.1, Sp6g08050.1, SpUn0002_0240.1, SpUn0005_0200.1, Sp5g16110.1, Sp2g06660.1, Sp1g29710.1, Sp2g06320.1, SpUn0007_0220.1, SpUn0115_0010.1, Sp4g05400.1, Sp1g32220.1, Sp2g07180.1, Sp3g26990.1, Sp5g25660.1, Sp6g08950.1, Sp6g10780.1, SpUn1205_0010.1, Sp7g04600.1, Sp4g07350.1, SpUn1591_0010.1, Sp6g12230.1, Sp6g06180.1, SpUn0002_0330.1, Sp4g08340.1, SpUn0110_0030.1, Sp6g04590.1, SpUn0614_0010.1, Sp3g28940.1, Sp1g29160.1, Sp4g10560.1, Sp7g05320.1, Sp3g28320.1, Sp1g29170.1, Sp3g27590.1, Sp6g07770.1, Sp6g07780.1, SpUn1945_0010.1, Sp1g36360.1, SpUn0385_0010.1, Sp3g27610.1, Sp2g05070.1, Sp1g26390.1, SpUn0079_0010.1, Sp5g17940.1, Sp4g08690.1, SpUn1064_0010.1, SpUn0001_0100.1, Sp1g36950.1, Sp5g17780.1, Sp1g38460.1, Sp2g06500.1, Sp4g05650.1, Sp1g31780.1, Sp3g27530.1, Sp1g36560.1, Sp5g17960.1, SpUn0390_0010.1, Sp7g01860.1, Sp5g20530.1, Sp3g23670.1, Sp6g09760.1, Sp1g31760.1, Sp6g11380.1, Sp2g05050.1, Sp5g20110.1, Sp3g24890.1
OG0000029	Bra027905, Bra027903, Bra027901	Sp2g05870.1, SpUn0028_0070.1
OG0000029	Bra009558	Sp6g39690.1
OG0000031	Bra023058	Sp7g03370.1, Sp7g04110.1
OG0000031	Bra030421	Sp1g38380.1
OG0000031	Bra028194	Sp7g03360.1, Sp7g03470.1
OG0000031	Bra002819	Sp6g18230.1
OG0000031	Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112	Sp5g07520.1
OG0000032	Bra025543	Sp7g03870.1
OG0000032	Bra028402	Sp7g03860.1
OG0000032	Bra034036	Sp5g21950.1
OG0000032	Bra034042, Bra004198, Bra038467	Sp5g21900.1
OG0000033	Bra031482	Sp2g03980.1
OG0000033	Bra026979	Sp1g10900.1
OG0000036	Bra003051	Sp7g06680.1
OG0000037	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010	Sp5g08630.1, Sp4g19980.1
OG0000037	Bra037560	Sp3g16870.1
OG0000037	Bra022356	Sp1g36120.1
OG0000037	Bra034778	Sp3g10340.1
OG0000037	Bra006719, Bra018210, Bra002571, Bra019486	Sp5g15160.1, Sp6g21050.1
OG0000037	Bra006033	Sp6g33600.1
OG0000038	Bra040480	Sp4g09920.1
OG0000039	Bra013661, Bra013659, Bra013658, Bra013660, Bra020828, Bra020827, Bra013657	Sp7g21010.1
OG0000039	Bra035221	Sp6g06030.1
OG0000039	Bra035217	Sp6g05930.1
OG0000039	Bra035222	Sp6g06040.1
OG0000039	Bra019317	Sp7g21220.1
OG0000039	Bra000745	Sp6g05950.1
OG0000039	Bra000744	Sp6g05980.1
OG0000040	Bra006362	Sp6g27520.1
OG0000040	Bra001440	Sp3g10450.1
OG0000040	Bra023128	Sp1g26630.1
OG0000040	Bra025601	Sp7g01830.1
OG0000040	Bra032189	Sp4g02040.1
OG0000040	Bra012153	Sp4g01860.1, SpUn0042_0020.1, Sp4g01990.1, Sp4g02000.1
OG0000040	Bra029842, Bra025640	Sp3g08720.1
OG0000040	Bra016001	SpUn0245_0010.1
OG0000041	Bra029501	Sp1g31240.1, Sp1g33340.1, Sp3g25050.1, Sp5g17980.1, Sp5g16800.1, Sp6g09290.1, Sp6g12650.1, Sp4g07700.1, Sp3g24690.1, Sp1g33610.1, Sp1g29320.1, Sp6g12660.1, Sp4g08700.1, SpUn0002_0030.1, Sp5g17520.1, SpUn0001_0560.1
OG0000041	Bra033922, Bra017679, Bra035991, Bra018033, Bra028038, Bra035314, Bra038115, Bra014805, Bra040867, Bra038304, Bra014058, Bra037613, Bra030392	Sp7g09260.1, Sp1g16530.1, Sp3g28380.1
OG0000042	Bra024503	Sp3g28560.1, Sp3g28550.1, Sp3g28540.1
OG0000043	Bra018164	Sp5g14630.1
OG0000043	Bra002305, Bra006560	Sp6g23980.1
OG0000043	Bra029191, Bra006717, Bra021289, Bra007256, Bra027572	Sp2g09620.1
OG0000043	Bra015204, Bra027938	Sp1g34070.1
OG0000044	Bra039426	Sp3g04430.1, Sp3g28660.1
OG0000044	Bra018182	Sp5g14790.1
OG0000044	Bra028374	Sp2g02570.1
OG0000044	Bra036658	Sp2g02100.1
OG0000044	Bra027069	Sp2g02560.1
OG0000044	Bra028375	Sp2g02600.1
OG0000044	Bra036659, Bra027041	Sp2g02110.1
OG0000045	Bra019329	Sp7g21190.1
OG0000045	Bra013678	Sp7g21200.1
OG0000045	Bra019323, Bra012544, Bra019320	Sp1g30740.1
OG0000045	Bra019325	Sp1g30850.1
OG0000046	Bra021956	Sp2g10070.1
OG0000048	Bra040797	Sp4g06220.1
OG0000050	Bra003745	Sp7g35840.1, Sp7g35830.1
OG0000050	Bra011813	Sp6g32510.1, Sp5g30720.1, Sp3g29820.1
OG0000051	Bra005989, Bra028659	Sp6g34560.1
OG0000051	Bra025246	Sp2g16170.1
OG0000051	Bra028480	Sp7g00950.1
OG0000051	Bra040553	Sp2g16160.1, Sp7g00940.1, Sp3g00160.1
OG0000051	Bra014066	Sp6g12730.1
OG0000051	Bra019556, Bra029911, Bra018044	Sp5g13350.1
OG0000051	Bra038639	Sp2g26580.1
OG0000053	Bra002368, Bra020155, Bra006595, Bra034981	Sp6g23330.1, Sp5g17420.1
OG0000053	Bra025438	Sp7g04290.1
OG0000053	Bra039723	Sp7g12750.1
OG0000053	Bra033898	Sp3g20610.1
OG0000053	Bra007269	Sp5g05790.1, Sp4g23420.1
OG0000054	Bra019742, Bra016791	Sp1g10770.1
OG0000054	Bra034519, Bra027039	Sp2g02080.1
OG0000054	Bra000777, Bra000778	SpUn0055_0060.1, Sp6g05020.1, Sp6g05030.1
OG0000054	Bra000377	Sp4g27230.1, SpUn0031_0090.1
OG0000054	Bra029458	SpUn0055_0010.1, Sp6g04970.1
OG0000054	Bra013619	Sp7g20540.1
OG0000057	Bra020447, Bra002733	Sp6g19080.1
OG0000057	Bra016610	Sp1g15390.1
OG0000057	Bra007524, Bra014496	Sp5g02900.1
OG0000057	Bra029249	Sp2g25850.1
OG0000057	Bra007845	Sp4g03520.1
OG0000057	Bra003576, Bra035163	Sp5g35100.1
OG0000057	Bra008288	Sp5g18280.1
OG0000057	Bra013168	Sp3g25350.1
OG0000057	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101	Sp7g28060.1
OG0000057	Bra024452	Sp3g32410.1
OG0000060	Bra000483, Bra035677, Bra011930	Sp4g11580.1
OG0000060	Bra006685, Bra006639, Bra002436	Sp6g22520.1
OG0000060	Bra003150	Sp3g07850.1
OG0000060	Bra039810, Bra007018	Sp5g08710.1
OG0000060	Bra020275, Bra002520	Sp5g15620.1, Sp6g21620.1
OG0000060	Bra038267	Sp5g15570.1
OG0000062	Bra035813	Sp3g18120.1
OG0000062	Bra001774	Sp7g14050.1
OG0000062	Bra035814	Sp7g09440.1, Sp3g18110.1
OG0000062	Bra035818	Sp3g18105.1
OG0000064	Bra036460, Bra036688	Sp3g33520.1
OG0000064	Bra011053	Sp7g26710.1
OG0000064	Bra033704	Sp2g08710.1
OG0000064	Bra032526	Sp1g02980.1
OG0000064	Bra022871	Sp4g14250.1
OG0000064	Bra030993	Sp1g15710.1
OG0000064	Bra006561, Bra020105	Sp6g23970.1
OG0000064	Bra014582, Bra003324	Sp5g04560.1
OG0000064	Bra027968	SpUn0001_0160.1
OG0000064	Bra030739, Bra018605	Sp1g07380.1
OG0000065	Bra015815	Sp5g30900.1
OG0000065	Bra033737, Bra039506, Bra027544	Sp2g09180.1
OG0000065	Bra020912, Bra013481, Bra038795	Sp7g18980.1
OG0000065	Bra008903	Sp6g31390.1
OG0000065	Bra009710	Sp2g23430.1
OG0000065	Bra018379, Bra039987	Sp4g12280.1
OG0000065	Bra018184, Bra033796	Sp5g14830.1
OG0000066	Bra009339, Bra012391, Bra012394, Bra012395, Bra012392	Sp7g00780.1
OG0000068	Bra015801, Bra008231, Bra003735	Sp5g31070.1
OG0000068	Bra017397	Sp2g14110.1, Sp2g14120.1
OG0000068	Bra014159	Sp1g35770.1
OG0000068	Bra018757	Sp1g36050.1
OG0000068	Bra014519	Sp4g08260.1, Sp5g03170.1
OG0000069	Bra020297, Bra030704	Sp5g15350.1
OG0000069	Bra000006	Sp5g08650.1, Sp6g21360.1, Sp4g11600.1, Sp4g19900.1, Sp1g06390.1
OG0000070	Bra011889, Bra033581	Sp7g36970.1
OG0000070	Bra031171	Sp4g00400.1
OG0000070	Bra037243, Bra039909, Bra024482	Sp3g31440.1
OG0000070	Bra010501, Bra017747, Bra011662	Sp7g33890.1
OG0000070	Bra003746, Bra015832	Sp5g30700.1
OG0000070	Bra025770	Sp1g17620.1
OG0000070	Bra013061	Sp3g29850.1
OG0000070	Bra011560, Bra017676	Sp7g32540.1
OG0000071	Bra000470	Sp4g12490.1
OG0000072	Bra034491	Sp5g21400.1
OG0000072	Bra038572	Sp1g34950.1, Sp7g13130.1, Sp6g09820.1, SpUn1230_0020.1
OG0000072	Bra015152, Bra038404	Sp5g15320.1, Sp6g12290.1
OG0000072	Bra002449	Sp7g12150.1, Sp7g02510.1
OG0000074	Bra002592	Sp6g20800.1
OG0000074	Bra018188	Sp5g14890.1
OG0000074	Bra020333	Sp6g20880.1
OG0000074	Bra020349, Bra020347, Bra020348, Bra020350, Bra020351	Sp6g20510.1
OG0000074	Bra006728, Bra002586	Sp6g20870.1
OG0000077	Bra021824, Bra005510, Bra005525, Bra005528, Bra005527, Bra021842, Bra022907, Bra005530, Bra005529	Sp4g15410.1
OG0000077	Bra005534	Sp4g15360.1
OG0000077	Bra021751, Bra021750, Bra021806, Bra032039, Bra021868, Bra021805, Bra021913, Bra021746, Bra021749, Bra021748, Bra005567	Sp4g15020.1
OG0000078	Bra016477, Bra012210	Sp1g17860.1
OG0000078	Bra015807	Sp5g30980.1
OG0000078	Bra011578	Sp7g32780.1
OG0000078	Bra001994	Sp3g29990.1
OG0000078	Bra022004, Bra025045	Sp2g10850.1
OG0000078	Bra038892, Bra036819, Bra012858	Sp3g31210.1
OG0000079	Bra023952, Bra011345	Sp7g30200.1
OG0000079	Bra029874	Sp3g09190.1
OG0000079	Bra005845, Bra028768	Sp6g37660.1
OG0000079	Bra033714	Sp2g08870.1
OG0000079	Bra006407	Sp6g26800.1
OG0000079	Bra011865	Sp7g36530.1
OG0000079	Bra037793, Bra031904, Bra024324	Sp2g27810.1
OG0000079	Bra006036	Sp6g33540.1
OG0000080	Bra002990, Bra024630	Sp7g14750.1
OG0000083	Bra016284, Bra024691	Sp1g22080.1
OG0000083	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690	Sp1g12400.1
OG0000083	Bra017393	Sp2g14180.1
OG0000083	Bra017394, Bra017395, Bra026565, Bra024784	Sp2g14170.1
OG0000084	Bra029076, Bra022645	Sp6g15450.1
OG0000084	Bra027749	Sp2g00510.1
OG0000084	Bra013049, Bra001995	Sp3g29980.1
OG0000084	Bra002842	Sp6g18000.1
OG0000084	Bra001347, Bra041101	Sp3g07130.1
OG0000085	Bra039802, Bra007010	Sp5g13500.1
OG0000086	Bra013901, Bra019151, Bra010456	Sp7g23620.1
OG0000086	Bra033236	Sp1g00550.1
OG0000086	Bra006686	Sp6g21600.1
OG0000086	Bra006687, Bra002522, Bra020277	Sp6g21590.1
OG0000086	Bra038266	Sp5g15610.1
OG0000088	Bra038286	Sp5g15930.1
OG0000088	Bra006669, Bra002497	Sp6g21910.1
OG0000088	Bra020259, Bra002500, Bra002499, Bra006670	Sp6g21880.1
OG0000088	Bra002498	Sp6g21890.1
OG0000088	Bra019469	Sp5g15920.1
OG0000088	Bra038287, Bra002064	Sp5g15940.1
OG0000088	Bra029544, Bra038289	Sp5g15970.1
OG0000088	Bra006666, Bra006668	Sp6g21920.1
OG0000090	Bra039974, Bra039969	Sp4g12090.1
OG0000090	Bra018393, Bra018396	Sp4g12160.1
OG0000090	Bra039966	Sp1g06180.1
OG0000090	Bra039513	Sp4g12085.1
OG0000090	Bra018399, Bra039971, Bra039973, Bra039967, Bra000477	Sp4g12060.1
OG0000090	Bra039514, Bra000476, Bra018401, Bra018402, Bra018405, Bra018404	Sp4g12080.1
OG0000094	Bra027089	Sp2g03130.1
OG0000094	Bra027084, Bra031429	Sp2g03070.1
OG0000094	Bra027087	Sp2g03090.1
OG0000094	Bra034257	Sp4g04840.1
OG0000094	Bra027088	Sp2g03110.1
OG0000094	Bra031434	Sp2g03120.1
OG0000094	Bra016844	Sp1g09940.1
OG0000094	Bra038579	Sp2g03140.1
OG0000095	Bra034099	Sp7g21600.1
OG0000096	Bra008138, Bra015930, Bra003729, Bra008137, Bra003816	Sp5g29380.1
OG0000098	Bra017241, Bra023065	Sp4g17010.1, Sp4g18670.1
OG0000098	Bra034314	Sp4g08450.1
OG0000098	Bra025424	Sp2g18270.1
OG0000098	Bra026124	Sp1g13880.1
OG0000098	Bra026156, Bra026157, Bra016669	Sp1g13520.1
OG0000098	Bra003527	Sp5g36020.1
OG0000098	Bra021173, Bra027171	Sp3g14720.1
OG0000099	Bra008746	Sp6g29370.1
OG0000099	Bra027153	Sp5g01100.1, Sp4g29160.1, Sp1g09310.1, Sp2g04250.1
OG0000099	Bra024604	Sp1g20910.1
OG0000103	Bra033170	Sp6g06900.1
OG0000103	Bra038768, Bra038766	SpUn0266_0020.1, SpUn0350_0010.1, SpUn0703_0010.1, SpUn0266_0010.1, Sp7g19750.1
OG0000103	Bra037906	Sp6g06870.1
OG0000103	Bra023300, Bra023297	Sp1g28050.1
OG0000104	Bra004659, Bra016901	Sp4g24190.1
OG0000104	Bra018274	Sp4g12780.1
OG0000104	Bra014070, Bra014188, Bra014215, Bra015604	Sp1g33950.1
OG0000104	Bra004684	Sp5g13700.1, Sp4g24500.1
OG0000106	Bra040199, Bra040200	Sp6g11660.1, Sp3g03240.1
OG0000106	Bra029304, Bra029303, Bra029299	Sp2g25130.1
OG0000108	Bra014798, Bra007090	Sp5g07750.1
OG0000108	Bra005071, Bra005070, Bra005069, Bra000107, Bra017275, Bra017093	Sp4g21310.1
OG0000109	Bra018914	Sp1g38180.1
OG0000109	Bra038047	Sp7g14520.1
OG0000109	Bra018874, Bra018913, Bra018915	Sp1g37590.1
OG0000110	Bra025164	Sp2g15055.1
OG0000113	Bra025562	Sp7g01320.1
OG0000114	Bra023688, Bra006467	Sp6g25730.1
OG0000114	Bra033499	Sp7g13960.1
OG0000114	Bra033503, Bra033501	Sp7g13930.1
OG0000115	Bra002103, Bra006418, Bra023635	Sp6g26490.1
OG0000115	Bra024477, Bra037232	Sp3g31620.1
OG0000115	Bra038874	Sp5g11270.1
OG0000115	Bra036846, Bra012877	Sp5g11280.1
OG0000116	Bra014352	Sp1g31050.1, Sp1g31170.1
OG0000116	Bra038027	Sp2g22120.1
OG0000116	Bra005841	Sp6g39360.1
OG0000116	Bra002860, Bra008946, Bra008944	Sp6g31960.1
OG0000117	Bra004768	Sp4g25600.1
OG0000117	Bra037706	Sp4g25610.1
OG0000117	Bra000309	Sp3g24100.1
OG0000118	Bra022306, Bra033020, Bra016175	Sp2g02350.1, Sp1g34110.1
OG0000120	Bra032635	Sp1g00910.1
OG0000120	Bra037388, Bra008539, Bra000941	Sp6g01080.1
OG0000120	Bra022637, Bra029089	Sp6g15380.1
OG0000120	Bra004539, Bra039283	Sp4g28430.1
OG0000121	Bra015809	Sp5g30950.1
OG0000121	Bra008226	Sp5g30970.1
OG0000123	Bra003310, Bra000376	Sp5g02600.1, Sp4g27220.1, SpUn0031_0100.1
OG0000123	Bra040738, Bra012710	Sp7g15090.1
OG0000123	Bra013172	Sp3g24090.1
OG0000123	Bra013578	Sp7g20170.1
OG0000124	Bra029965	Sp3g26345.1
OG0000125	Bra032068, Bra032065, Bra032064, Bra032113, Bra032112	Sp4g03230.1, Sp4g03220.1
OG0000126	Bra031955	Sp3g02980.1
OG0000128	Bra040127, Bra040270	Sp3g03500.1
OG0000129	Bra023232, Bra029851	Sp5g16370.1, Sp1g27690.1
OG0000130	Bra017917	Sp6g13955.1
OG0000130	Bra040265	Sp4g08820.1
OG0000132	Bra039617	SpUn0030_0110.1, Sp3g31720.1
OG0000132	Bra010560, Bra011691	Sp7g34210.1
OG0000132	Bra012183	Sp1g17380.1
OG0000132	Bra008186	Sp5g30410.1
OG0000132	Bra000579, Bra031209, Bra030285	Sp4g00810.1
OG0000133	Bra016178	Sp5g26020.1
OG0000133	Bra007945, Bra016182	Sp5g26010.1
OG0000133	Bra016180, Bra016181	Sp5g26030.1
OG0000134	Bra022037	Sp2g11320.1
OG0000134	Bra022036	Sp3g28820.1
OG0000137	Bra032322, Bra032317	Sp1g25420.1
OG0000137	Bra010826	Sp1g25430.1
OG0000138	Bra035034	Sp5g33500.1
OG0000138	Bra021830, Bra022928	Sp4g15460.1
OG0000138	Bra025997	Sp1g15300.1
OG0000138	Bra015210	Sp6g09060.1
OG0000138	Bra000327, Bra014753, Bra000645, Bra004111, Bra000183, Bra017014	Sp4g22640.1, Sp1g21630.1
OG0000141	Bra033932, Bra003479	Sp6g03390.1
OG0000142	Bra022382	Sp5g12335.1
OG0000143	Bra037571, Bra022341	Sp3g16720.1
OG0000143	Bra031864	Sp2g28440.1
OG0000144	Bra014462, Bra014461	Sp5g02320.1
OG0000144	Bra014953	Sp4g27600.1
OG0000144	Bra039327	Sp7g18740.1
OG0000144	Bra039328	Sp4g27620.1
OG0000144	Bra039329	Sp4g27610.1
OG0000144	Bra004921	Sp4g27630.1
OG0000146	Bra020804, Bra017704	Sp7g32970.1
OG0000146	Bra020805	Sp7g32960.1
OG0000146	Bra002020	Sp3g30370.1
OG0000146	Bra013032	Sp3g30350.1
OG0000146	Bra002019, Bra013031	Sp3g30360.1
OG0000149	Bra003333	Sp1g41790.1
OG0000149	Bra007907, Bra007909, Bra007908	Sp5g25410.1
OG0000149	Bra027477, Bra035966, Bra033958, Bra033670	Sp2g08080.1
OG0000149	Bra030815	Sp1g41770.1
OG0000149	Bra030813	Sp1g41780.1
OG0000153	Bra002580	Sp6g20950.1
OG0000153	Bra002553	Sp1g28540.1
OG0000153	Bra006705, Bra006704, Bra006703, Bra002550, Bra002551, Bra002548, Bra020306	Sp6g21310.1
OG0000153	Bra020291, Bra006678, Bra038408, Bra002507, Bra002511, Bra002534	Sp6g21810.1, Sp6g21760.1, SpUn1070_0010.1
OG0000154	Bra004838, Bra037648	Sp4g26560.1
OG0000154	Bra014510, Bra007510	Sp5g03070.1
OG0000154	Bra004837, Bra037650	Sp4g26540.1
OG0000155	Bra018283, Bra018282	Sp4g13520.1
OG0000156	Bra006829	Sp6g18990.1
OG0000156	Bra040819	Sp2g15480.1
OG0000156	Bra040821	Sp2g15470.1
OG0000156	Bra034237, Bra025198	Sp2g15450.1
OG0000156	Bra025196	Sp2g15440.1
OG0000156	Bra025199	Sp2g15460.1
OG0000157	Bra008578	Sp3g29560.1
OG0000158	Bra040812	SpUn0333_0010.1
OG0000158	Bra031720, Bra031719, Bra031718, Bra019921, Bra019922, Bra019920	Sp1g09230.1
OG0000159	Bra026450, Bra041015	Sp1g38860.1
OG0000159	Bra009164	Sp1g35030.1
OG0000159	Bra004046, Bra004349, Bra016726	Sp1g12250.1
OG0000162	Bra026555, Bra026558, Bra017391	Sp2g14240.1
OG0000162	Bra038144	Sp2g05790.1
OG0000163	Bra040817	Sp3g23980.1, Sp3g23870.1, Sp3g23860.1
OG0000163	Bra013176	Sp3g24040.1, Sp3g24050.1, Sp3g24030.1
OG0000164	Bra013565, Bra038753	Sp7g20000.1
OG0000165	Bra034940, Bra037852, Bra040462	SpUn0001_0880.1, Sp1g30980.1
OG0000166	Bra034278	Sp7g03130.1
OG0000167	Bra038734	Sp3g10720.1
OG0000167	Bra016644, Bra026084	Sp1g14350.1
OG0000167	Bra009583	Sp6g40010.1
OG0000170	Bra039998	Sp4g12440.1
OG0000170	Bra038618	Sp2g26350.1
OG0000173	Bra040965, Bra027116	Sp2g03710.1, Sp2g03770.1
OG0000173	Bra009436	Sp5g22450.1
OG0000174	Bra040627	Sp5g21840.1
OG0000174	Bra028162	Sp7g03900.1
OG0000174	Bra030699, Bra008375, Bra027114, Bra027111, Bra018687	Sp4g02860.1
OG0000178	Bra015465	Sp1g04760.1
OG0000178	Bra023229	SpUn1102_0010.1, Sp6g07490.1
OG0000178	Bra015425	Sp1g04320.1
OG0000179	Bra033624	Sp1g38300.1
OG0000179	Bra010680	Sp5g16830.1
OG0000179	Bra011859	Sp7g36370.1
OG0000179	Bra033625, Bra033626	Sp7g12040.1
OG0000180	Bra016488	Sp1g17700.1, Sp5g30740.1
OG0000180	Bra010719, Bra011556, Bra017674, Bra013066, Bra034649, Bra033584	Sp7g32500.1
OG0000182	Bra038406	Sp1g26930.1
OG0000182	Bra012524	Sp7g18420.1
OG0000182	Bra025100	Sp2g09660.1
OG0000182	Bra024835	Sp2g13480.1
OG0000183	Bra019513	Sp5g14170.1
OG0000183	Bra033785, Bra018113	Sp5g14180.1
OG0000183	Bra018115	Sp5g14185.1
OG0000183	Bra015049	Sp5g14187.1
OG0000184	Bra026957	Sp3g20240.1
OG0000185	Bra011005	Sp7g04470.1
OG0000185	Bra030824	Sp7g04850.1
OG0000185	Bra028116, Bra020175, Bra028117	Sp7g04910.1
OG0000186	Bra032917	SpUn0988_0010.1
OG0000186	Bra030108	Sp1g24835.1
OG0000186	Bra030107	Sp1g24830.1
OG0000186	Bra030106	Sp1g24820.1
OG0000188	Bra017689, Bra023147, Bra032406, Bra041113, Bra020565	Sp2g07590.1, Sp1g33580.1, Sp3g24280.1, Sp5g19020.1, SpUn0171_0010.1
