Orthogroup	Brassica_rapa	Arabidopsis_thaliana
OG0000051	Bra040553	AT3G27027, AT5G40980, AT3G01940
OG0000051	Bra014066	AT5G50660, AT5G50560
OG0000051	Bra019556, Bra029911	AT3G48660
OG0000051	Bra038639	AT5G63500
OG0000052	Bra014726, Bra031447, Bra008247, Bra035315	AT1G52950
OG0000053	Bra012037, Bra019453	AT5G21274
OG0000053	Bra025438	AT5G37780
OG0000053	Bra004166	AT2G41090, AT1G66410
OG0000053	Bra039723	AT4G14640
OG0000053	Bra023786, Bra033898	AT3G22930
OG0000053	Bra000214	AT3G56800
OG0000053	Bra003251	AT3G56800
OG0000053	Bra014671	AT3G56800
OG0000053	Bra007269	AT2G41110, AT2G27030
OG0000054	Bra019742, Bra016791	AT1G12090
OG0000054	Bra034519, Bra027039	AT1G62510
OG0000054	Bra000777, Bra000778	AT4G12520, AT4G12510
OG0000054	Bra000377	AT2G45180
OG0000054	Bra039079, Bra039078	AT4G12550, AT4G12545
OG0000054	Bra013619	AT4G22460
OG0000057	Bra020447, Bra002733	AT5G57350
OG0000057	Bra016610	AT1G17260
OG0000057	Bra007524, Bra014496	AT3G60330
OG0000057	Bra029249	AT5G62670
OG0000057	Bra007845	AT2G24520
OG0000057	Bra003576, Bra035163	AT1G80660
OG0000057	Bra008288	AT3G42640
OG0000057	Bra013168	AT2G07560
OG0000057	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101	AT4G30190
OG0000057	Bra038835, Bra024452	AT2G18960
OG0000060	Bra006685, Bra006639, Bra002436	AT5G22880
OG0000060	Bra003150	AT5G02570, AT3G09480, AT3G53650
OG0000060	Bra039810, Bra007018	AT2G37470
OG0000060	Bra020275, Bra002520	AT5G59910, AT3G45980, AT3G46030
OG0000061	Bra000815	AT5G36910, AT1G72260
OG0000062	Bra035813	AT3G20140
OG0000062	Bra025472, Bra001775	AT4G15380, AT3G20080
OG0000062	Bra027515, Bra030126	AT2G27010, AT2G27000
OG0000062	Bra001329	AT5G47990, AT3G20950, AT3G20935, AT3G20940, AT4G15350
OG0000062	Bra035814	AT2G14100, AT3G32047
OG0000062	Bra035812	AT3G20130
OG0000062	Bra038254	AT2G05180
OG0000062	Bra035818	AT3G20100
OG0000064	Bra036460, Bra036688	AT2G20290
OG0000064	Bra011053	AT4G28710
OG0000064	Bra033704	AT5G43900
OG0000064	Bra032526	AT1G04160
OG0000064	Bra022871	AT2G31900
OG0000064	Bra030993	AT1G17580
OG0000064	Bra006561, Bra020105	AT5G20490
OG0000064	Bra014582, Bra003324	AT3G58160
OG0000064	Bra027968	AT1G54560
OG0000064	Bra030739, Bra018605	AT1G08730
OG0000065	Bra015815	AT1G75780
OG0000065	Bra033737, Bra039506, Bra027544	AT5G44340
OG0000065	Bra020912, Bra013481, Bra038795	AT4G20890
OG0000065	Bra008903	AT5G12250
OG0000065	Bra009710	AT5G23860
OG0000065	Bra018379, Bra039987	AT2G29550
OG0000065	Bra010114, Bra019493, Bra018184, Bra033796	AT5G62690, AT5G62700
OG0000066	Bra012766	AT4G11700
OG0000066	Bra024726, Bra024727	AT1G24388
OG0000066	Bra009339	AT1G02770, AT1G19060
OG0000066	Bra012391	AT3G19520
OG0000066	Bra012394, Bra012395, Bra012392	AT1G23960, AT1G23950, AT1G23970
OG0000068	Bra025795	AT2G25700, AT1G20140
OG0000068	Bra015801, Bra008231, Bra003735	AT1G75950
OG0000068	Bra017397	AT2G03170
OG0000068	Bra018756, Bra014159, Bra018757	AT3G60010
OG0000068	Bra014519	AT3G53060, AT3G60020, AT3G21860, AT3G21830, AT3G21840, AT3G21850, AT4G34470, AT4G34210
OG0000069	Bra035673	AT3G53730
OG0000069	Bra017178	AT3G53730
OG0000069	Bra005185	AT3G53730
OG0000069	Bra018691	AT3G53730
OG0000069	Bra031594	AT3G53730
OG0000069	Bra007023	AT3G53730
OG0000069	Bra006699	AT3G53730
OG0000069	Bra000481	AT3G53730
OG0000069	Bra035673	AT1G07820
OG0000069	Bra017178	AT1G07820
OG0000069	Bra005185	AT1G07820
OG0000069	Bra018691	AT1G07820
OG0000069	Bra031594	AT1G07820
OG0000069	Bra007023	AT1G07820
OG0000069	Bra006699	AT1G07820
OG0000069	Bra000481	AT1G07820
OG0000069	Bra035673	AT5G59690
OG0000069	Bra017178	AT5G59690
OG0000069	Bra005185	AT5G59690
OG0000069	Bra018691	AT5G59690
OG0000069	Bra031594	AT5G59690
OG0000069	Bra007023	AT5G59690
OG0000069	Bra006699	AT5G59690
OG0000069	Bra000481	AT5G59690
OG0000069	Bra035673	AT3G46320
OG0000069	Bra017178	AT3G46320
OG0000069	Bra005185	AT3G46320
OG0000069	Bra018691	AT3G46320
OG0000069	Bra031594	AT3G46320
OG0000069	Bra007023	AT3G46320
OG0000069	Bra006699	AT3G46320
OG0000069	Bra000481	AT3G46320
OG0000069	Bra035673	AT2G28740
OG0000069	Bra017178	AT2G28740
OG0000069	Bra005185	AT2G28740
OG0000069	Bra018691	AT2G28740
OG0000069	Bra031594	AT2G28740
OG0000069	Bra007023	AT2G28740
OG0000069	Bra006699	AT2G28740
OG0000069	Bra000481	AT2G28740
OG0000069	Bra035673	AT1G07660
OG0000069	Bra017178	AT1G07660
OG0000069	Bra005185	AT1G07660
OG0000069	Bra018691	AT1G07660
OG0000069	Bra031594	AT1G07660
OG0000069	Bra007023	AT1G07660
OG0000069	Bra006699	AT1G07660
OG0000069	Bra000481	AT1G07660
OG0000069	Bra035673	AT3G45930
OG0000069	Bra017178	AT3G45930
OG0000069	Bra005185	AT3G45930
OG0000069	Bra018691	AT3G45930
OG0000069	Bra031594	AT3G45930
OG0000069	Bra007023	AT3G45930
OG0000069	Bra006699	AT3G45930
OG0000069	Bra000481	AT3G45930
OG0000069	Bra035673	AT5G59970
OG0000069	Bra017178	AT5G59970
OG0000069	Bra005185	AT5G59970
OG0000069	Bra018691	AT5G59970
OG0000069	Bra031594	AT5G59970
OG0000069	Bra007023	AT5G59970
OG0000069	Bra006699	AT5G59970
OG0000069	Bra000481	AT5G59970
OG0000070	Bra011889, Bra033581	AT4G38860
OG0000070	Bra031171	AT2G21220
OG0000070	Bra037243, Bra039909, Bra024482	AT2G18010
OG0000070	Bra010501, Bra017747, Bra011662	AT4G36110
OG0000070	Bra003746, Bra015832	AT1G75580
OG0000070	Bra025770	AT1G19830
OG0000070	Bra013061	AT2G16580
OG0000070	Bra011560	AT4G34760
OG0000071	Bra034361	AT1G21990
OG0000071	Bra000470	AT2G29930, AT2G29910
OG0000071	Bra014098	AT5G12450
OG0000071	Bra002161	AT1G47920
OG0000072	Bra002449	AT4G07445, AT2G07505, AT2G06265
OG0000073	Bra032705, Bra023819	AT1G43760, AT1G40390
OG0000074	Bra002592	AT5G59190
OG0000074	Bra018188	AT3G46840, AT3G46850
OG0000074	Bra006729	AT5G59130
OG0000074	Bra020349, Bra020347, Bra020348, Bra020350, Bra020351	AT5G58830, AT5G58820, AT5G58840
OG0000074	Bra006728, Bra002586	AT5G59090, AT5G59120
OG0000077	Bra005528, Bra005527	AT2G33060
OG0000077	Bra022907, Bra005530	AT2G33050
OG0000078	Bra016477, Bra012210	AT1G20090
OG0000078	Bra015807	AT1G75840
OG0000078	Bra011578, Bra001994	AT4G35020
OG0000078	Bra025045	AT5G45970
OG0000078	Bra037248, Bra002093, Bra040869	AT4G35950
OG0000078	Bra011651, Bra017740	AT2G17800
OG0000078	Bra038892, Bra036819, Bra012858	AT3G51300
OG0000079	Bra023952, Bra011345	AT4G32410
OG0000079	Bra005845, Bra028768	AT5G05170
OG0000079	Bra033714	AT5G44030
OG0000079	Bra006407	AT5G17420
OG0000079	Bra011865	AT4G39350
OG0000079	Bra006036	AT5G09870
OG0000080	Bra022730, Bra022727	AT5G54550, AT5G54560
OG0000080	Bra002990, Bra024630	AT5G53230, AT5G53240, AT5G55270, AT5G55890, AT5G55880, AT5G54320, AT5G55870, AT5G54330, AT3G43170
OG0000083	Bra010468	AT4G25350
OG0000083	Bra016284, Bra024691	AT1G26730, AT1G35350
OG0000083	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690	AT1G14040
OG0000083	Bra017393	AT2G03250
OG0000083	Bra024783, Bra024782	AT2G03260
OG0000083	Bra017394, Bra017395, Bra026565, Bra024784	AT2G03240
OG0000084	Bra029076, Bra022645	AT5G53300
OG0000084	Bra027688	AT1G64230
OG0000084	Bra013049, Bra001995	AT2G16740
OG0000084	Bra002842	AT5G56150
OG0000084	Bra001347, Bra041101	AT3G08690
OG0000085	Bra039802, Bra007010	AT3G53550
OG0000086	Bra013901, Bra019151, Bra010456	AT4G25590
OG0000086	Bra028304, Bra029119	AT5G52360
OG0000086	Bra033236	AT1G01750
OG0000086	Bra006686	AT5G59890
OG0000086	Bra006687, Bra002522, Bra020277	AT5G59880
OG0000086	Bra038266	AT3G45990, AT3G46000
OG0000088	Bra038286	AT3G45430
OG0000088	Bra002490, Bra020258	AT5G60310
OG0000088	Bra006669, Bra002497	AT5G60300
OG0000088	Bra020259, Bra002500, Bra002499, Bra006670	AT5G60270
OG0000088	Bra002498	AT5G60280
OG0000088	Bra019469	AT3G45440
OG0000088	Bra038287, Bra002064	AT3G45420
OG0000088	Bra029544, Bra038289	AT3G45390, AT3G45330
OG0000088	Bra006666, Bra006668	AT5G60320
OG0000090	Bra018400	AT2G29330
OG0000090	Bra018391, Bra039974, Bra039969, Bra018393, Bra018396	AT2G30670
OG0000090	Bra039513, Bra018399, Bra039971, Bra039973, Bra039967, Bra000477	AT2G29300, AT2G29320
OG0000093	Bra021561	AT5G19270
OG0000094	Bra027089	AT1G61370
OG0000094	Bra027084, Bra031429	AT1G61500
OG0000094	Bra027087, Bra031433	AT1G61420, AT1G61460, AT1G61475, AT1G61480
OG0000094	Bra034257	AT1G11280
OG0000094	Bra027088	AT1G61390
OG0000094	Bra031434	AT1G61380
OG0000094	Bra038579	AT1G61360
OG0000095	Bra013721, Bra034099	AT4G23670, AT4G23680
OG0000095	Bra019280, Bra019278	AT3G26460, AT3G26450
OG0000095	Bra026176	AT1G30990, AT1G14960
OG0000095	Bra026653	AT2G01530, AT4G14060
OG0000096	Bra003124	AT3G53240
OG0000096	Bra008138	AT1G74190
OG0000096	Bra032058, Bra034253	AT2G25470, AT1G54470
OG0000096	Bra015929	AT1G74180
OG0000098	Bra017241, Bra023065	AT1G66950, AT2G36380
OG0000098	Bra034314	AT2G26910
OG0000098	Bra025424	AT3G30842
OG0000098	Bra026124	AT1G15520
OG0000098	Bra026156, Bra026157, Bra016669	AT1G15210
OG0000098	Bra003527	AT1G59870
OG0000098	Bra021173, Bra027171	AT3G16340
OG0000099	Bra032602	AT1G02440, AT1G02430
OG0000099	Bra008746	AT5G14670
OG0000099	Bra007917	AT1G10630
OG0000099	Bra004475	AT3G62290
OG0000099	Bra016344	AT2G47170
OG0000099	Bra016215	AT1G23490, AT1G70490
OG0000100	Bra014286, Bra012565, Bra010905	AT3G26616
OG0000103	Bra033170	AT4G10530, AT4G10520
OG0000103	Bra013544, Bra038768, Bra038766	AT4G21650, AT4G21640, AT4G21630
OG0000103	Bra037906	AT4G10540
OG0000103	Bra023300, Bra023297	AT1G32950, AT1G32960
OG0000104	Bra004659, Bra016901	AT2G41930
OG0000104	Bra004707	AT2G42550
OG0000104	Bra014070, Bra014188, Bra014215, Bra015604	AT5G12090
OG0000106	Bra022489	AT1G65200
OG0000106	Bra040199, Bra040200	AT1G65110, AT1G65120
OG0000106	Bra022491	AT1G65130
OG0000106	Bra029304, Bra029303, Bra029299	AT1G52450, AT1G52430, AT5G61950, AT5G61940, AT5G51530, AT2G27630, AT2G27650
OG0000108	Bra014798, Bra007090	AT3G54700
OG0000108	Bra005071, Bra005070, Bra005069, Bra000107, Bra017275, Bra017093	AT2G38940
OG0000108	Bra027463, Bra027488, Bra035979, Bra027490, Bra035978, Bra033673, Bra035977, Bra033675, Bra027487	AT5G43360, AT5G43350, AT5G43370
OG0000109	Bra018879, Bra018880	AT1G50790, AT1G48145
OG0000109	Bra038047	AT4G16050
OG0000109	Bra018874	AT5G18510, AT1G50830
OG0000110	Bra038504	AT4G16730
OG0000110	Bra021082	AT4G16740
OG0000110	Bra000568, Bra000727	AT2G24210
OG0000110	Bra025164, Bra025163	AT3G25820, AT3G25830, AT3G25810
OG0000113	Bra031480	AT3G58960
OG0000114	Bra002171, Bra023688, Bra006467	AT5G18600
OG0000114	Bra033499	AT4G15670, AT4G15660
OG0000114	Bra038076	AT4G15690, AT4G15700
OG0000114	Bra033503, Bra033501	AT4G15680
OG0000115	Bra002103, Bra006418, Bra023635	AT5G17760
OG0000115	Bra024477, Bra037232	AT2G18193, AT2G18190
OG0000115	Bra036846, Bra012877	AT3G50930
OG0000116	Bra014352	AT5G60380
OG0000116	Bra038027, Bra020514, Bra020515, Bra020478	AT5G25415
OG0000116	Bra002860, Bra008946, Bra008944	AT5G11660
OG0000116	Bra028614	AT5G04933, AT5G04937
OG0000117	Bra004768	AT2G43510
OG0000117	Bra037705, Bra037707	AT2G43535
OG0000117	Bra000309	AT1G47540, AT2G43520
OG0000119	Bra004755	AT2G43260, AT2G43445, AT2G43440
OG0000119	Bra006331	AT2G42955, AT2G30615, AT2G30385, AT1G49790
OG0000120	Bra032635	AT1G01380
OG0000120	Bra037388, Bra008539, Bra000941	AT4G01060
OG0000120	Bra022637, Bra029089, Bra026297	AT5G53200
OG0000121	Bra015809	AT1G75830
OG0000121	Bra025396	AT1G55010
OG0000123	Bra003310, Bra000376	AT3G60640, AT2G45170
OG0000123	Bra040738, Bra012710	AT4G16520
OG0000123	Bra013172	AT2G05630
OG0000123	Bra029509	AT4G04620
OG0000123	Bra013578, Bra019407	AT4G21980
OG0000124	Bra025885	AT1G21280
OG0000125	Bra032068	AT1G64840
OG0000125	Bra032065, Bra032064	AT2G24250
OG0000126	Bra039483, Bra031955	AT5G38344
OG0000128	Bra036715, Bra040124, Bra021590, Bra040128, Bra032811, Bra032858	AT2G13630, AT3G04660
OG0000129	Bra023232, Bra029851	AT1G47390
OG0000129	Bra021260	AT3G16590
OG0000130	Bra017917	ATMG00850
OG0000130	Bra040265	ATMG00860
OG0000132	Bra039617	AT2G18328
OG0000132	Bra010560, Bra011691	AT4G36570
OG0000132	Bra012183, Bra025745	AT1G19510
OG0000132	Bra008186	AT1G75250
OG0000132	Bra011870	AT4G39250
OG0000132	Bra000579, Bra031209, Bra030285	AT2G21650
OG0000133	Bra012362, Bra016364	AT5G28000, AT5G28010
OG0000133	Bra016180, Bra016181	AT1G70880
OG0000134	Bra022071, Bra022034, Bra001175	AT5G46520, AT5G46510, AT5G46490, AT1G31540, AT5G46260, AT5G46500, AT5G46270
OG0000134	Bra022037, Bra022039	AT5G40060
OG0000134	Bra022036	AT5G46450
OG0000134	Bra017544	AT5G46470
OG0000135	Bra003989, Bra007873, Bra007874	AT1G69660, AT1G69650
OG0000137	Bra032322, Bra032317	AT1G29450
OG0000137	Bra010827, Bra010826, Bra032321, Bra010828	AT1G29460
OG0000138	Bra035034	AT1G78400
OG0000138	Bra021830, Bra022928	AT2G33160
OG0000138	Bra025997	AT1G17150
OG0000138	Bra000327, Bra014753, Bra000645, Bra004111, Bra000183, Bra017014	AT1G43080, AT1G43090, AT1G43100, AT2G40310, AT4G13760, AT2G26620, AT2G15470, AT2G15460, AT2G15450
OG0000140	Bra015114	AT2G07200
OG0000143	Bra037571, Bra022341	AT3G18650
OG0000143	Bra031864	AT4G02235, AT5G65330, AT4G11250
OG0000143	Bra025619, Bra025607, Bra025609	AT5G40070, AT5G40120, AT5G41200, AT5G40220, AT5G38740, AT5G37415, AT5G39810, AT5G39750
OG0000144	Bra039327, Bra039328	AT2G45570, AT2G45560
OG0000144	Bra039329	AT1G33730, AT1G33720
OG0000144	Bra007571	AT3G61040
OG0000144	Bra004921	AT2G45580
OG0000146	Bra020804, Bra017704	AT4G35200
OG0000146	Bra020805	AT4G35210
OG0000146	Bra002019, Bra013031	AT2G17070, AT2G17080
OG0000149	Bra003333	AT1G56145
OG0000149	Bra030813	AT1G56140, AT1G56130, AT1G56120
OG0000150	Bra012328	AT1G35035, AT1G34840, AT1G34850, AT1G34795, AT1G34830, AT1G34810, AT1G34815, AT1G34792, AT1G34825, AT1G34805, AT1G34820, AT1G34800, AT1G34930, AT1G34860, AT1G21835
OG0000150	Bra009566	AT1G21864, AT1G21866
OG0000153	Bra002580, Bra002553, Bra006705, Bra006704, Bra006703, Bra002550, Bra002551, Bra002548, Bra020306	AT1G21620
OG0000153	Bra020291, Bra006678, Bra038408, Bra002507, Bra002511, Bra002534	AT5G60110, AT5G60180
OG0000154	Bra014510, Bra007510	AT3G60140
OG0000154	Bra004837, Bra037650	AT2G44460
OG0000155	Bra018283, Bra018282, Bra021616, Bra021613, Bra029251	AT2G26720, AT2G31050
OG0000156	Bra006829	AT5G57260
OG0000156	Bra032928	AT2G02580
OG0000156	Bra040819	AT3G26330, AT3G26320
OG0000156	Bra040821	AT3G26300, AT3G26310
OG0000156	Bra034237	AT3G26290
OG0000158	Bra040812	AT1G48660
OG0000158	Bra029173, Bra022550	AT5G51470
OG0000159	Bra026450, Bra041015	AT4G26280
OG0000159	Bra027666, Bra034521, Bra034520, Bra009164, Bra005879, Bra005876, Bra005878	AT5G43690
OG0000160	Bra007897	AT1G70120
OG0000160	Bra016243, Bra016242, Bra016222	AT3G54410, AT1G70040
OG0000162	Bra020002	AT1G09665
OG0000162	Bra026558, Bra017391	AT2G03030, AT2G03300
OG0000162	Bra038144	AT1G47370, AT1G57850
OG0000163	Bra013175	AT2G05540
OG0000163	Bra013176	AT2G05530
OG0000164	Bra013565, Bra038753	AT4G21860
OG0000164	Bra020868	AT4G21850
OG0000164	Bra000806	AT4G04830, AT4G04810
OG0000166	Bra034278	AT3G05650, AT3G05660
OG0000166	Bra013112, Bra008930	AT2G15080, AT2G15042
OG0000166	Bra001388, Bra034161, Bra034163	AT3G28890, AT3G11010, AT5G27060, AT3G11080
OG0000167	Bra038734	AT3G12580
OG0000167	Bra016644, Bra026084	AT1G16030
OG0000167	Bra009583	AT5G02500
OG0000170	Bra039998	AT2G29735
OG0000170	Bra038618	AT5G63230
OG0000171	Bra034211	AT4G03440
OG0000171	Bra020727	AT4G03500
OG0000173	Bra040965, Bra027116	AT1G60880, AT1G60920
OG0000173	Bra009436	AT5G04640, AT4G14530, AT1G46408
OG0000174	Bra040627	AT1G66850
OG0000174	Bra028162	AT5G38197, AT5G38195, AT5G38180
OG0000174	Bra030699, Bra008375, Bra027114, Bra027111, Bra018687	AT3G57310
OG0000178	Bra015465	AT1G05920
OG0000178	Bra023229	AT1G32030
OG0000178	Bra027159	AT5G24050, AT3G24850
OG0000178	Bra015425	AT1G05930
OG0000179	Bra033624	AT1G47620, AT1G66030
OG0000179	Bra028210	AT5G02900
OG0000179	Bra011859	AT4G39510
OG0000179	Bra033625, Bra033626	AT4G32170
OG0000180	Bra025781	AT1G75630
OG0000180	Bra011556	AT4G34720
OG0000180	Bra017674	AT4G34720
OG0000180	Bra013066	AT4G34720
OG0000180	Bra034649	AT4G34720
OG0000180	Bra033584	AT4G34720
OG0000180	Bra011556	AT4G38920
OG0000180	Bra017674	AT4G38920
OG0000180	Bra013066	AT4G38920
OG0000180	Bra034649	AT4G38920
OG0000180	Bra033584	AT4G38920
OG0000180	Bra011556	AT2G16510
OG0000180	Bra017674	AT2G16510
OG0000180	Bra013066	AT2G16510
OG0000180	Bra034649	AT2G16510
OG0000180	Bra033584	AT2G16510
OG0000182	Bra012524	AT4G19975
