Orthogroup	Brassica_rapa	Camelina_sativa
OG0000016	Bra026598, Bra023663, Bra023659, Bra023653, Bra006438, Bra023654, Bra006430, Bra002121, Bra023661, Bra006433, Bra023657, Bra002126, Bra002130, Bra006435, Bra002124, Bra002127, Bra002125, Bra002120, Bra002131, Bra006432, Bra023656	Csa08g010470, Csa13g037900, Csa20g057370, Csa20g026340, Csa08g029820, Csa13g037890, Csa13g020960, Csa08g010370, Csa20g026390, Csa08g010500, Csa20g057390, Csa20g026300, Csa08g010380, Csa13g020910, Csa08g010400, Csa08g010440, Csa13g020900, Csa13g020870, Csa08g010430, Csa20g026410, Csa20g026330, Csa08g029810, Csa20g026360, Csa08g010460, Csa13g020930
OG0000017	Bra033850, Bra000514	Csa17g071580, Csa14g050920
OG0000017	Bra017982, Bra017983	Csa04g034910, Csa09g051770, Csa09g051990, Csa09g051930, Csa06g023470, Csa04g034450, Csa04g034880, Csa06g023460
OG0000017	Bra009129, Bra009128, Bra021730	Csa05g029740, Csa07g011400, Csa07g011360, Csa16g012180, Csa07g011390, Csa05g029730, Csa07g011370, Csa15g002260, Csa01g002180, Csa19g004710, Csa05g009580, Csa06g048000, Csa04g057470
OG0000017	Bra021767, Bra021785, Bra021783, Bra021782, Bra021784, Bra021781, Bra021788, Bra021768, Bra023809, Bra027364, Bra021780, Bra021786, Bra021789, Bra021769, Bra021772, Bra037636, Bra039989	Csa01g029740, Csa15g047280, Csa19g035660
OG0000017	Bra005628	Csa05g026990
OG0000017	Bra002055, Bra036902, Bra036901	Csa07g010030, Csa16g008800, Csa16g009140, Csa05g025630, Csa05g025660, Csa05g025680
OG0000017	Bra035057	Csa07g063300, Csa09g096580, Csa09g096600, Csa09g096560, Csa07g063290, Csa16g052620
OG0000018	Bra028499	Csa02g054840, Csa10g050020
OG0000018	Bra028500	Csa02g054900
OG0000018	Bra036019	Csa11g059460, Csa10g049460
OG0000018	Bra032045	Csa00595s050
OG0000018	Bra027660, Bra027791, Bra027790	Csa09g098570
OG0000018	Bra027778	Csa07g063320
OG0000019	Bra001827	Csa15g031760, Csa19g029400
OG0000019	Bra006700	Csa02g065350, Csa11g093470, Csa16g028850
OG0000019	Bra020300, Bra020303	Csa02g065380
OG0000019	Bra020299	Csa11g093500
OG0000019	Bra033825	Csa04g029140, Csa06g020140, Csa09g042480
OG0000019	Bra020918	Csa11g025770
OG0000019	Bra028386	Csa16g015940, Csa07g015400, Csa05g035270
OG0000019	Bra015587	Csa17g010920, Csa03g010950
OG0000019	Bra031584	Csa17g010950, Csa14g008940, Csa03g010980
OG0000023	Bra003308	Csa09g052780
OG0000023	Bra024648, Bra024647	Csa19g040230, Csa13g012100, Csa20g015630, Csa08g054220, Csa17g072660
OG0000023	Bra031756, Bra031728, Bra031755, Bra031729	Csa17g035840, Csa17g042120, Csa03g032480
OG0000023	Bra031743, Bra026587, Bra013543, Bra020901	Csa17g015310, Csa14g014000, Csa03g014910
OG0000023	Bra037593, Bra002310	Csa10g025190, Csa12g042670, Csa15g071560, Csa01g035160, Csa10g025180, Csa19g050370
OG0000023	Bra009957, Bra009956	Csa14g016670, Csa17g018980, Csa03g017440, Csa17g016960, Csa19g039720, Csa15g055640, Csa17g015960, Csa03g016510, Csa03g015550, Csa14g015680, Csa14g014690, Csa19g043400, Csa01g036230, Csa15g064300, Csa03g018140, Csa03g018130, Csa17g019820, Csa14g017420, Csa12g011780, Csa11g010080, Csa10g009190, Csa20g023490, Csa08g008110, Csa20g023500, Csa13g018770, Csa08g008430, Csa20g024420, Csa08g008720, Csa17g033800, Csa17g033870, Csa17g040610, Csa03g031980, Csa14g036400
OG0000023	Bra017173, Bra017172	Csa15g003470, Csa09g071010, Csa19g005780
OG0000024	Bra027866	Csa16g018240, Csa05g052410, Csa07g017880, Csa05g052240, Csa16g018250
OG0000024	Bra027834, Bra036206, Bra035424	Csa16g017830, Csa14g059390, Csa12g044430, Csa07g017450
OG0000024	Bra027843	Csa07g017360, Csa05g050880
OG0000024	Bra013134	Csa07g017920, Csa16g018270, Csa05g052440, Csa07g017460, Csa12g044420, Csa02153s010
OG0000024	Bra018448	Csa11g050760, Csa12g074470, Csa14g013640, Csa03g014560, Csa14g063890, Csa17g093690
OG0000029	Bra005753	Csa08g061930, Csa20g002710, Csa20g003110, Csa20g002820, Csa08g061980, Csa08g061990, Csa08g061530
OG0000029	Bra000175	Csa02g024760, Csa11g068560
OG0000029	Bra027905, Bra027903, Bra027901	Csa20g002970, Csa20g002980, Csa20g002960
OG0000029	Bra009558	Csa20g002950, Csa08g061710, Csa13g002830
OG0000030	Bra027658	Csa11g065660
OG0000031	Bra030421, Bra028194	Csa11g053530, Csa10g044690, Csa12g084020, Csa12g083940, Csa12g081590, Csa12g083960, Csa12g083930
OG0000031	Bra002819, Bra007115, Bra007168, Bra007169, Bra007113, Bra007114, Bra007112	Csa04g041080, Csa09g064690, Csa06g029410
OG0000032	Bra025543	Csa12g085520, Csa10g043240
OG0000032	Bra028402	Csa12g086530, Csa11g052050, Csa10g043200
OG0000032	Bra034036	Csa16g030880
OG0000032	Bra019074	Csa07g032260, Csa00495s120, Csa16g026610, Csa16g026710, Csa07g032200, Csa07g032240, Csa16g026670
OG0000032	Bra034038	Csa05g079620
OG0000032	Bra034039, Bra004199	Csa07g032100, Csa05g079610, Csa16g025480, Csa11g089270, Csa07g032090, Csa16g025510
OG0000032	Bra034042, Bra004198, Bra038467	Csa07g032080, Csa31641s010, Csa05g079590
OG0000032	Bra008687	Csa08094s010, Csa17g059580, Csa08g007740
OG0000032	Bra016274	Csa10006s010
OG0000033	Bra031482	Csa07g063890, Csa09g097240, Csa07g063900, Csa16g055330, Csa09g097220, Csa07g063880, Csa09g097200, Csa09g097300, Csa16g055320
OG0000033	Bra015597	Csa17g016520, Csa17g016500
OG0000033	Bra016785	Csa17g016100, Csa17g016510
OG0000033	Bra016782, Bra016781, Bra026985	Csa03g015940, Csa14g015130, Csa17g016400
OG0000033	Bra026979	Csa14g015220
OG0000036	Bra003051	Csa11g044840
OG0000037	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010	Csa04g051240, Csa05g016060, Csa04g039780, Csa06g028220, Csa06g040380
OG0000037	Bra037560	Csa15g026420, Csa19g026200, Csa01g021690, Csa14g055430, Csa03g055080, Csa17g080920
OG0000037	Bra034778	Csa01g013210, Csa19g016340, Csa15g015990
OG0000037	Bra006719, Bra018210, Bra002571, Bra019486	Csa04g029280, Csa09g042590, Csa06g020290, Csa02g065080
OG0000037	Bra009081	Csa20g013000, Csa13g011500, Csa08g054840
OG0000038	Bra025236	Csa04g013590, Csa06g006690, Csa04g013580
OG0000038	Bra015355	Csa18g002560
OG0000038	Bra034248	Csa07g023950, Csa05g061860
OG0000038	Bra023272	Csa06g025660, Csa04g037320, Csa09g058560
OG0000038	Bra006939	Csa04g038560, Csa09g059790, Csa06g027060, Csa09g059800, Csa04g038570
OG0000038	Bra040480	Csa09g051340, Csa09g051260, Csa09g051250, Csa09g051280, Csa04g034230, Csa09g051290, Csa18g009750, Csa09g051240, Csa06g022870, Csa04g034220, Csa09g051300, Csa04g034240, Csa09g051320, Csa16g035620, Csa09g077460, Csa07g040060, Csa06g022900, Csa09g051350, Csa04g034270, Csa04g034310, Csa13g034260, Csa04g034300, Csa06g022920, Csa09g051370
OG0000039	Bra012706	Csa11g022780, Csa12g033330
OG0000039	Bra027990, Bra013661, Bra013659, Bra013658, Bra013660, Bra020828, Bra020827, Bra013657	Csa11g022840, Csa11g022820, Csa11g022800, Csa12g033410
OG0000039	Bra013199	Csa07g062400, Csa12g033460, Csa11g022880
OG0000039	Bra019319, Bra013679	Csa10g019890, Csa11g022700, Csa11g022690, Csa12g032280, Csa11g022710
OG0000039	Bra019317	Csa12g032260
OG0000040	Bra023128	Csa15g016130
OG0000040	Bra012153	Csa09g087290
OG0000040	Bra029842, Bra025640	Csa09g052050, Csa04g034950, Csa06g023520, Csa01g011310, Csa19g014070
OG0000040	Bra016001	Csa16g036020, Csa07g040480
OG0000041	Bra033927	Csa07g034430, Csa07g030170
OG0000041	Bra033922, Bra017679, Bra035991, Bra018033, Bra028038, Bra035314, Bra038115, Bra014805, Bra040867, Bra038304, Bra014058, Bra037613, Bra030392	Csa16g026580
OG0000042	Bra024503	Csa05g015340, Csa05g089310
OG0000043	Bra005562, Bra005563	Csa18g021010
OG0000043	Bra002305, Bra006560	Csa13g023390, Csa08g014290
OG0000043	Bra036778, Bra037076, Bra035695, Bra035694	Csa05g029530
OG0000043	Bra015204, Bra027938	Csa04g030490, Csa09g047930
OG0000044	Bra018182	Csa04g029830, Csa06g020750, Csa09g045300, Csa09g045280
OG0000044	Bra036658, Bra027069, Bra028375	Csa16g053880
OG0000044	Bra034464	Csa07g063410, Csa09g096710
OG0000045	Bra013596, Bra013683	Csa12g032250, Csa12g032160, Csa12g032210, Csa11g022650
OG0000045	Bra019324	Csa10g019920, Csa12g033430
OG0000045	Bra013676, Bra013677	Csa12g033450
OG0000045	Bra019322, Bra013678, Bra023844, Bra038935	Csa10g019910, Csa11g022850, Csa12g033420
OG0000045	Bra040998	Csa12g025780, Csa07g012450
OG0000045	Bra019323, Bra012544, Bra019320	Csa11g022730
OG0000045	Bra041081	Csa11g022950, Csa11g022940
OG0000046	Bra010552, Bra011666	Csa12g006220, Csa11g005540
OG0000046	Bra036790	Csa09g058610
OG0000046	Bra027599	Csa00874s010, Csa11g068430, Csa18g008100, Csa20g075840
OG0000046	Bra021953	Csa02g024770, Csa13g047990
OG0000047	Bra030120, Bra032680, Bra040765, Bra003058, Bra033203, Bra033202, Bra020938, Bra030257, Bra015151, Bra019496	Csa08g024060, Csa01g028300
OG0000048	Bra038150	Csa11g068370
OG0000048	Bra040797	Csa10g051690
OG0000050	Bra003745	Csa08g002110
OG0000050	Bra003745	Csa12g003040
OG0000050	Bra003745	Csa10g002880
OG0000050	Bra003745	Csa20g016350
OG0000050	Bra003745	Csa11g003200
OG0000051	Bra005989, Bra028659	Csa08g055950, Csa13g010440, Csa20g011840
OG0000051	Bra032978, Bra025247	Csa06g006910, Csa04g013760
OG0000051	Bra008777	Csa20g020570, Csa13g016880, Csa08g006120
OG0000051	Bra028480, Bra025532	Csa10g049510, Csa12g077610
OG0000051	Bra040553	Csa00555s140, Csa19g001000, Csa19g001010
OG0000051	Bra014066	Csa02g039250, Csa11g081990, Csa18g021340
OG0000051	Bra019556, Bra029911, Bra018044	Csa06g022420, Csa09g050710
OG0000051	Bra038639	Csa18g037030, Csa11g100440
OG0000052	Bra014726, Bra031447, Bra008247	Csa15g015250, Csa08g061450
OG0000053	Bra012037, Bra019453	Csa04g022630
OG0000053	Bra025438	Csa05g072060, Csa10g042810, Csa12g076230, Csa16g023910
OG0000053	Bra004166	Csa11g051580
OG0000053	Bra039723	Csa11g037310
OG0000053	Bra023786, Bra033898	Csa01g027300, Csa19g033220
OG0000053	Bra000214	Csa09g069190
OG0000053	Bra000214	Csa05g042060
OG0000053	Bra000214	Csa04g043180
OG0000053	Bra000214	Csa07g060560
OG0000053	Bra003251	Csa09g069190
OG0000053	Bra003251	Csa05g042060
OG0000053	Bra003251	Csa04g043180
OG0000053	Bra003251	Csa07g060560
OG0000053	Bra014671	Csa09g069190
OG0000053	Bra014671	Csa05g042060
OG0000053	Bra014671	Csa04g043180
OG0000053	Bra014671	Csa07g060560
OG0000053	Bra007269	Csa06g031510
OG0000054	Bra034519, Bra027039	Csa07g063800, Csa16g055260, Csa09g097130, Csa12520s010
OG0000054	Bra000777, Bra000778	Csa02g014360, Csa02g014350, Csa13g050920, Csa13g050930, Csa13g050910, Csa08g044830, Csa08g044820
OG0000054	Bra000377	Csa05g004080, Csa04g063080, Csa06g051570
OG0000054	Bra039079, Bra039078	Csa02g014280, Csa08g044900, Csa08g044890, Csa13g050980, Csa13g053000, Csa08g049240, Csa02g009880, Csa02g009910, Csa02g009890, Csa02g010910, Csa13g050970, Csa02g014290, Csa08g044880, Csa02g014260, Csa02g014250, Csa08g049250, Csa13g053010, Csa08g046920, Csa02g014240, Csa13g050990, Csa08g044920, Csa02g013240, Csa02g013230
OG0000054	Bra029458	Csa08g044870, Csa13g050960, Csa02g014300
OG0000054	Bra013619	Csa10g020760, Csa12g034400, Csa11g023770
OG0000057	Bra020447, Bra002733	Csa11g090900
OG0000057	Bra016610	Csa14g021480, Csa03g021030
OG0000057	Bra007524, Bra014496	Csa16g005570, Csa07g004720
OG0000057	Bra029249	Csa18g036100
OG0000057	Bra007845	Csa09g088690
OG0000057	Bra003576, Bra035163	Csa07g059180, Csa16g049760
OG0000057	Bra008288	Csa09g028410, Csa06g013070
OG0000057	Bra013168	Csa19g041080
OG0000057	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101	Csa11g013220
OG0000057	Bra038835, Bra024452	Csa15g079720
OG0000059	Bra039933, Bra012195, Bra017607, Bra003113, Bra002532, Bra035465, Bra024361, Bra031911, Bra008118, Bra005295, Bra012400, Bra013008, Bra031837, Bra012242, Bra010197, Bra025809	Csa12g024890, Csa14g002060, Csa11g002580, Csa15g041920, Csa20g057250, Csa20g057240, Csa12g084340, Csa11g093210
OG0000060	Bra006685, Bra006639, Bra002436	Csa20g037720, Csa08g017210, Csa13g027500, Csa20g037650
OG0000060	Bra003150	Csa08g062070, Csa20g002640, Csa13g002470, Csa19g012960, Csa01g010270, Csa04g051060, Csa06g040210, Csa05g016380, Csa09g062070, Csa04g039690, Csa06g028110
OG0000060	Bra020275, Bra002520	Csa11g093780, Csa02g065740, Csa18g033220, Csa04g028680, Csa06g019730, Csa09g041040, Csa04g028760, Csa06g019770, Csa09g041100
OG0000061	Bra000815	Csa05g052190, Csa16g017980, Csa07g017650, Csa16g017960, Csa05g089870, Csa05g052170, Csa07g017630, Csa05g052220, Csa05g042110, Csa16g018040, Csa05g092280, Csa05g052200, Csa07g017660, Csa16g017990, Csa07g017670, Csa07g017710, Csa13g026120, Csa13g027300, Csa20g036510, Csa20g074730, Csa05g050800, Csa20g036490, Csa08g016080, Csa20g035960, Csa05g050790, Csa13g027310, Csa05g050810, Csa20g074720, Csa08g016070, Csa17g080730, Csa14g054980, Csa03g054930, Csa03g054940, Csa17g090090, Csa03g056270, Csa03g056290, Csa12g084190, Csa13g027440, Csa20g037800, Csa09g075730, Csa16g034930, Csa07g039260, Csa16g034890, Csa09g075750, Csa07g022080, Csa07g022050
OG0000061	Bra033985	Csa09g096320, Csa07g063040, Csa11g020970
OG0000062	Bra035813	Csa01g023190
OG0000062	Bra025472, Bra001775	Csa15g029260, Csa19g027910
OG0000062	Bra001774	Csa19g027880, Csa15g029230
OG0000062	Bra027515, Bra030126	Csa05g043210, Csa05g043190
OG0000062	Bra001329	Csa10g030880, Csa11g035180, Csa12g055470
OG0000062	Bra014143, Bra039930	Csa06g011420, Csa09g022540, Csa04g018390
OG0000062	Bra038254	Csa15g057200, Csa19g040260, Csa01g037840
OG0000064	Bra036460, Bra036688	Csa01g044140
OG0000064	Bra011053	Csa11g014810
OG0000064	Bra033704	Csa11g070910
OG0000064	Bra032526	Csa17g007260
OG0000064	Bra022871	Csa05g029250, Csa07g010910, Csa16g009640
OG0000064	Bra030993	Csa17g023320
OG0000064	Bra006561, Bra020105	Csa13g023400, Csa08g014300
OG0000064	Bra014582, Bra003324	Csa04g044690, Csa09g070760
OG0000064	Bra030739, Bra018605	Csa17g012230
OG0000065	Bra015815	Csa16g039800
OG0000065	Bra033737, Bra039506, Bra027544	Csa20g071430
OG0000065	Bra020912, Bra013481, Bra038795	Csa10g022620
OG0000065	Bra018379, Bra039987	Csa07g014850, Csa16g015400
OG0000065	Bra010114	Csa11g099520
OG0000065	Bra010114	Csa06g020710
OG0000065	Bra019493	Csa11g099520
OG0000065	Bra019493	Csa06g020710
OG0000066	Bra012766	Csa15g079940, Csa15g084200, Csa19g056390, Csa08g043970, Csa22991s010
OG0000066	Bra024726, Bra024727	Csa17g035800, Csa03g030340, Csa14g034710
OG0000066	Bra009339	Csa19g022980, Csa01g018760, Csa15g020950, Csa19g011220
OG0000066	Bra012391	Csa19g027100, Csa15g027370, Csa19g027080, Csa15g027330, Csa15g027380, Csa19g027110, Csa15g027340
OG0000066	Bra012394, Bra012395, Bra012392	Csa14g038290, Csa03g027720, Csa17g031060, Csa14g031050, Csa03g027750, Csa03g027710, Csa17g031040, Csa17g031110
OG0000068	Bra025795	Csa11g007120, Csa12g029530, Csa11g019950, Csa10g018280, Csa14g025430, Csa17g026030
OG0000068	Bra015801, Bra008231, Bra003735	Csa07g047470, Csa16g040060, Csa09g080670
OG0000068	Bra018756, Bra014159, Bra018757	Csa16g005950, Csa07g005060, Csa05g091620
OG0000068	Bra014519	Csa16g005940, Csa05g091640, Csa01g025080, Csa11g055610, Csa10g046980, Csa11g053590, Csa12g083980, Csa10g044710, Csa12g081860, Csa10g007660, Csa12g009110, Csa11g007460
OG0000069	Bra035673	Csa02g065780
OG0000069	Bra035673	Csa06g020130
OG0000069	Bra035673	Csa03g011270
OG0000069	Bra035673	Csa04g039760
OG0000069	Bra035673	Csa04g029130
OG0000069	Bra035673	Csa11g093510
OG0000069	Bra035673	Csa05g035660
OG0000069	Bra035673	Csa11g093870
OG0000069	Bra035673	Csa02g065410
OG0000069	Bra035673	Csa09g062160
OG0000069	Bra035673	Csa04g028570
OG0000069	Bra035673	Csa06g019650
OG0000069	Bra035673	Csa14g009040
OG0000069	Bra035673	Csa09g042470
OG0000069	Bra035673	Csa17g011250
OG0000069	Bra035673	Csa14g009220
OG0000069	Bra035673	Csa06g028200
OG0000069	Bra035673	Csa17g011050
OG0000069	Bra035673	Csa09g040980
OG0000069	Bra035673	Csa18g032960
OG0000069	Bra017178	Csa02g065780
OG0000069	Bra017178	Csa06g020130
OG0000069	Bra017178	Csa03g011270
OG0000069	Bra017178	Csa04g039760
OG0000069	Bra017178	Csa04g029130
OG0000069	Bra017178	Csa11g093510
OG0000069	Bra017178	Csa05g035660
OG0000069	Bra017178	Csa11g093870
OG0000069	Bra017178	Csa02g065410
OG0000069	Bra017178	Csa09g062160
OG0000069	Bra017178	Csa04g028570
OG0000069	Bra017178	Csa06g019650
OG0000069	Bra017178	Csa14g009040
OG0000069	Bra017178	Csa09g042470
OG0000069	Bra017178	Csa17g011250
OG0000069	Bra017178	Csa14g009220
OG0000069	Bra017178	Csa06g028200
OG0000069	Bra017178	Csa17g011050
OG0000069	Bra017178	Csa09g040980
OG0000069	Bra017178	Csa18g032960
OG0000069	Bra005185	Csa02g065780
OG0000069	Bra005185	Csa06g020130
OG0000069	Bra005185	Csa03g011270
OG0000069	Bra005185	Csa04g039760
OG0000069	Bra005185	Csa04g029130
OG0000069	Bra005185	Csa11g093510
OG0000069	Bra005185	Csa05g035660
OG0000069	Bra005185	Csa11g093870
OG0000069	Bra005185	Csa02g065410
OG0000069	Bra005185	Csa09g062160
OG0000069	Bra005185	Csa04g028570
OG0000069	Bra005185	Csa06g019650
OG0000069	Bra005185	Csa14g009040
OG0000069	Bra005185	Csa09g042470
OG0000069	Bra005185	Csa17g011250
OG0000069	Bra005185	Csa14g009220
OG0000069	Bra005185	Csa06g028200
OG0000069	Bra005185	Csa17g011050
OG0000069	Bra005185	Csa09g040980
OG0000069	Bra005185	Csa18g032960
OG0000069	Bra018691	Csa02g065780
OG0000069	Bra018691	Csa06g020130
OG0000069	Bra018691	Csa03g011270
OG0000069	Bra018691	Csa04g039760
OG0000069	Bra018691	Csa04g029130
OG0000069	Bra018691	Csa11g093510
OG0000069	Bra018691	Csa05g035660
OG0000069	Bra018691	Csa11g093870
OG0000069	Bra018691	Csa02g065410
OG0000069	Bra018691	Csa09g062160
OG0000069	Bra018691	Csa04g028570
OG0000069	Bra018691	Csa06g019650
OG0000069	Bra018691	Csa14g009040
OG0000069	Bra018691	Csa09g042470
OG0000069	Bra018691	Csa17g011250
OG0000069	Bra018691	Csa14g009220
OG0000069	Bra018691	Csa06g028200
OG0000069	Bra018691	Csa17g011050
OG0000069	Bra018691	Csa09g040980
OG0000069	Bra018691	Csa18g032960
OG0000069	Bra031594	Csa02g065780
OG0000069	Bra031594	Csa06g020130
OG0000069	Bra031594	Csa03g011270
OG0000069	Bra031594	Csa04g039760
OG0000069	Bra031594	Csa04g029130
OG0000069	Bra031594	Csa11g093510
OG0000069	Bra031594	Csa05g035660
OG0000069	Bra031594	Csa11g093870
OG0000069	Bra031594	Csa02g065410
OG0000069	Bra031594	Csa09g062160
OG0000069	Bra031594	Csa04g028570
OG0000069	Bra031594	Csa06g019650
OG0000069	Bra031594	Csa14g009040
OG0000069	Bra031594	Csa09g042470
OG0000069	Bra031594	Csa17g011250
OG0000069	Bra031594	Csa14g009220
OG0000069	Bra031594	Csa06g028200
OG0000069	Bra031594	Csa17g011050
OG0000069	Bra031594	Csa09g040980
OG0000069	Bra031594	Csa18g032960
OG0000069	Bra007023	Csa02g065780
OG0000069	Bra007023	Csa06g020130
OG0000069	Bra007023	Csa03g011270
OG0000069	Bra007023	Csa04g039760
OG0000069	Bra007023	Csa04g029130
OG0000069	Bra007023	Csa11g093510
OG0000069	Bra007023	Csa05g035660
OG0000069	Bra007023	Csa11g093870
OG0000069	Bra007023	Csa02g065410
OG0000069	Bra007023	Csa09g062160
OG0000069	Bra007023	Csa04g028570
OG0000069	Bra007023	Csa06g019650
OG0000069	Bra007023	Csa14g009040
OG0000069	Bra007023	Csa09g042470
OG0000069	Bra007023	Csa17g011250
OG0000069	Bra007023	Csa14g009220
OG0000069	Bra007023	Csa06g028200
OG0000069	Bra007023	Csa17g011050
OG0000069	Bra007023	Csa09g040980
OG0000069	Bra007023	Csa18g032960
OG0000069	Bra006699	Csa02g065780
OG0000069	Bra006699	Csa06g020130
OG0000069	Bra006699	Csa03g011270
OG0000069	Bra006699	Csa04g039760
OG0000069	Bra006699	Csa04g029130
OG0000069	Bra006699	Csa11g093510
OG0000069	Bra006699	Csa05g035660
OG0000069	Bra006699	Csa11g093870
OG0000069	Bra006699	Csa02g065410
OG0000069	Bra006699	Csa09g062160
OG0000069	Bra006699	Csa04g028570
OG0000069	Bra006699	Csa06g019650
OG0000069	Bra006699	Csa14g009040
OG0000069	Bra006699	Csa09g042470
OG0000069	Bra006699	Csa17g011250
OG0000069	Bra006699	Csa14g009220
OG0000069	Bra006699	Csa06g028200
OG0000069	Bra006699	Csa17g011050
OG0000069	Bra006699	Csa09g040980
OG0000069	Bra006699	Csa18g032960
OG0000069	Bra000481	Csa02g065780
OG0000069	Bra000481	Csa06g020130
OG0000069	Bra000481	Csa03g011270
OG0000069	Bra000481	Csa04g039760
OG0000069	Bra000481	Csa04g029130
OG0000069	Bra000481	Csa11g093510
OG0000069	Bra000481	Csa05g035660
OG0000069	Bra000481	Csa11g093870
OG0000069	Bra000481	Csa02g065410
OG0000069	Bra000481	Csa09g062160
