Orthogroup	Brassica_rapa	Eutrema_salsugineum
OG0000032	Bra034038	EUTSA_v10019715mg
OG0000032	Bra008687	EUTSA_v10028202mg
OG0000032	Bra016274	EUTSA_v10002354mg
OG0000033	Bra031482	EUTSA_v10023255mg
OG0000033	Bra026979	EUTSA_v10006784mg
OG0000037	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010	EUTSA_v10016809mg, EUTSA_v10010455mg
OG0000037	Bra037560	EUTSA_v10020906mg
OG0000037	Bra034778	EUTSA_v10020950mg
OG0000037	Bra006719, Bra018210, Bra002571, Bra019486	EUTSA_v10013840mg, EUTSA_v10002572mg
OG0000037	Bra009081	EUTSA_v10013834mg
OG0000038	Bra034248	EUTSA_v10005660mg
OG0000038	Bra023272	EUTSA_v10009690mg
OG0000038	Bra040480	EUTSA_v10010336mg, EUTSA_v10010364mg, EUTSA_v10011064mg, EUTSA_v10010911mg, EUTSA_v10010427mg, EUTSA_v10011042mg, EUTSA_v10001210mg
OG0000039	Bra027990	EUTSA_v10024606mg
OG0000039	Bra013199	EUTSA_v10024579mg
OG0000039	Bra035217	EUTSA_v10028491mg
OG0000039	Bra035222	EUTSA_v10028508mg
OG0000039	Bra019319, Bra013679	EUTSA_v10028545mg
OG0000039	Bra000746	EUTSA_v10028496mg
OG0000039	Bra000745	EUTSA_v10029153mg
OG0000039	Bra000744	EUTSA_v10028499mg
OG0000040	Bra001440	EUTSA_v10003211mg
OG0000040	Bra023128	EUTSA_v10007675mg
OG0000040	Bra025601, Bra032189	EUTSA_v10000651mg
OG0000040	Bra012153	EUTSA_v10000461mg
OG0000040	Bra029842, Bra025640	EUTSA_v10020743mg
OG0000040	Bra016001	EUTSA_v10018572mg
OG0000041	Bra033927	EUTSA_v10003487mg
OG0000041	Bra033922, Bra017679, Bra035991, Bra018033, Bra028038, Bra035314, Bra038115, Bra014805, Bra040867, Bra038304, Bra014058, Bra037613, Bra030392	EUTSA_v10003397mg, EUTSA_v10017779mg, EUTSA_v10005260mg, EUTSA_v10027529mg, EUTSA_v10019512mg, EUTSA_v10011992mg, EUTSA_v10003335mg, EUTSA_v10000620mg, EUTSA_v10005429mg, EUTSA_v10005542mg, EUTSA_v10002297mg, EUTSA_v10015762mg, EUTSA_v10022993mg, EUTSA_v10009841mg, EUTSA_v10002827mg, EUTSA_v10015514mg, EUTSA_v10012321mg, EUTSA_v10011945mg, EUTSA_v10019737mg, EUTSA_v10002274mg, EUTSA_v10001142mg, EUTSA_v10027058mg, EUTSA_v10028246mg, EUTSA_v10026902mg, EUTSA_v10015686mg
OG0000042	Bra024503	EUTSA_v10022609mg
OG0000043	Bra018164	EUTSA_v10010172mg, EUTSA_v10010088mg
OG0000043	Bra002305	EUTSA_v10015316mg
OG0000043	Bra029191, Bra006717, Bra021289, Bra007256, Bra027572	EUTSA_v10001203mg, EUTSA_v10000757mg
OG0000043	Bra018128	EUTSA_v10010090mg
OG0000043	Bra036778, Bra037076, Bra035695, Bra035694	EUTSA_v10002388mg
OG0000043	Bra015204, Bra027938	EUTSA_v10012566mg
OG0000044	Bra039426	EUTSA_v10022427mg
OG0000044	Bra028374	EUTSA_v10024090mg
OG0000044	Bra036658	EUTSA_v10023467mg, EUTSA_v10023461mg, EUTSA_v10024124mg, EUTSA_v10024076mg, EUTSA_v10023505mg, EUTSA_v10024167mg, EUTSA_v10023470mg, EUTSA_v10024133mg, EUTSA_v10019750mg, EUTSA_v10023445mg, EUTSA_v10023472mg, EUTSA_v10023868mg, EUTSA_v10023911mg, EUTSA_v10023838mg
OG0000044	Bra034464	EUTSA_v10023801mg
OG0000044	Bra036659, Bra027041	EUTSA_v10023457mg
OG0000044	Bra027066	EUTSA_v10023915mg
OG0000045	Bra019329	EUTSA_v10024603mg
OG0000045	Bra019324	EUTSA_v10024643mg
OG0000045	Bra013678	EUTSA_v10000811mg
OG0000045	Bra023844, Bra038935	EUTSA_v10024630mg
OG0000045	Bra040998, Bra019323, Bra012544, Bra019320, Bra019325, Bra041081	EUTSA_v10024843mg
OG0000046	Bra036790	EUTSA_v10010076mg
OG0000046	Bra027599	EUTSA_v10000750mg
OG0000047	Bra030120, Bra032680, Bra040765, Bra003058	EUTSA_v10000631mg, EUTSA_v10015425mg, EUTSA_v10002232mg
OG0000047	Bra033203, Bra033202, Bra020938, Bra030257, Bra015151, Bra019496	EUTSA_v10019486mg
OG0000048	Bra038150	EUTSA_v10000656mg, EUTSA_v10003071mg, EUTSA_v10023123mg
OG0000048	Bra040797	EUTSA_v10002819mg
OG0000050	Bra003745	EUTSA_v10014984mg
OG0000050	Bra003745	EUTSA_v10019309mg
OG0000051	Bra005989, Bra028659	EUTSA_v10015314mg
OG0000051	Bra008777	EUTSA_v10015204mg
OG0000051	Bra025246, Bra032977	EUTSA_v10005506mg
OG0000051	Bra028480	EUTSA_v10028016mg
OG0000051	Bra040553	EUTSA_v10005242mg, EUTSA_v10028017mg, EUTSA_v10021883mg
OG0000051	Bra014066	EUTSA_v10015879mg
OG0000051	Bra019556, Bra029911	EUTSA_v10010885mg
OG0000051	Bra038639	EUTSA_v10005243mg
OG0000052	Bra014726, Bra031447, Bra008247	EUTSA_v10027192mg
OG0000053	Bra002368	EUTSA_v10002700mg
OG0000053	Bra020155	EUTSA_v10002700mg
OG0000053	Bra006595	EUTSA_v10002700mg
OG0000053	Bra025438	EUTSA_v10027976mg, EUTSA_v10019293mg
OG0000053	Bra039723	EUTSA_v10026490mg
OG0000053	Bra023786, Bra033898, Bra001892	EUTSA_v10021692mg
OG0000053	Bra000214	EUTSA_v10017373mg
OG0000053	Bra000214	EUTSA_v10006295mg
OG0000053	Bra003251	EUTSA_v10017373mg
OG0000053	Bra003251	EUTSA_v10006295mg
OG0000053	Bra014671	EUTSA_v10017373mg
OG0000053	Bra014671	EUTSA_v10006295mg
OG0000053	Bra007269	EUTSA_v10002103mg
OG0000054	Bra019742, Bra016791	EUTSA_v10009061mg
OG0000054	Bra034519, Bra027039	EUTSA_v10023747mg
OG0000054	Bra000777, Bra000778	EUTSA_v10029060mg
OG0000054	Bra000377	EUTSA_v10001680mg
OG0000054	Bra039079, Bra039078	EUTSA_v10029045mg
OG0000054	Bra029458	EUTSA_v10029313mg
OG0000054	Bra013619	EUTSA_v10026536mg
OG0000057	Bra020447, Bra002733	EUTSA_v10015530mg
OG0000057	Bra016610	EUTSA_v10006710mg
OG0000057	Bra007524, Bra014496	EUTSA_v10005774mg
OG0000057	Bra029249	EUTSA_v10003603mg
OG0000057	Bra003576, Bra035163	EUTSA_v10018080mg
OG0000057	Bra008288	EUTSA_v10002391mg
OG0000057	Bra013168	EUTSA_v10002390mg
OG0000057	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101	EUTSA_v10024335mg
OG0000057	Bra038835, Bra024452	EUTSA_v10022531mg
OG0000060	Bra000483, Bra035677, Bra011930	EUTSA_v10017370mg
OG0000060	Bra006685, Bra006639, Bra002436	EUTSA_v10014958mg
OG0000060	Bra003150	EUTSA_v10017408mg
OG0000060	Bra039810, Bra007018	EUTSA_v10010811mg
OG0000060	Bra020275, Bra002520	EUTSA_v10014927mg, EUTSA_v10002705mg, EUTSA_v10002699mg
OG0000061	Bra000815	EUTSA_v10002936mg
OG0000062	Bra035813	EUTSA_v10022051mg
OG0000062	Bra027515, Bra030126	EUTSA_v10001846mg
OG0000064	Bra036460, Bra036688	EUTSA_v10001881mg
OG0000064	Bra011053	EUTSA_v10024210mg
OG0000064	Bra033704	EUTSA_v10003130mg
OG0000064	Bra032526	EUTSA_v10006554mg
OG0000064	Bra022871	EUTSA_v10016137mg
OG0000064	Bra030993	EUTSA_v10006551mg
OG0000064	Bra006561, Bra020105	EUTSA_v10012431mg
OG0000064	Bra014582, Bra003324	EUTSA_v10006411mg
OG0000064	Bra027968	EUTSA_v10023213mg
OG0000064	Bra030739, Bra018605	EUTSA_v10006560mg
OG0000065	Bra015815	EUTSA_v10018544mg
OG0000065	Bra033737, Bra039506, Bra027544	EUTSA_v10003210mg
OG0000065	Bra020912, Bra013481, Bra038795	EUTSA_v10025207mg
OG0000065	Bra008903	EUTSA_v10013524mg
OG0000065	Bra009710	EUTSA_v10004208mg
OG0000065	Bra018379, Bra039987	EUTSA_v10016651mg
OG0000065	Bra010114, Bra019493	EUTSA_v10005520mg
OG0000065	Bra018184, Bra033796	EUTSA_v10010368mg, EUTSA_v10010369mg
OG0000066	Bra012766	EUTSA_v10028156mg, EUTSA_v10028328mg, EUTSA_v10028175mg
OG0000066	Bra024726, Bra024727	EUTSA_v10027826mg
OG0000066	Bra009339	EUTSA_v10009833mg
OG0000066	Bra012394, Bra012395, Bra012392	EUTSA_v10009725mg, EUTSA_v10009578mg
OG0000068	Bra025795	EUTSA_v10008964mg
OG0000068	Bra015801, Bra008231, Bra003735	EUTSA_v10019260mg
OG0000068	Bra018756, Bra014159, Bra018757	EUTSA_v10011957mg, EUTSA_v10012113mg, EUTSA_v10012186mg, EUTSA_v10012032mg, EUTSA_v10012272mg, EUTSA_v10012026mg, EUTSA_v10012363mg, EUTSA_v10012168mg, EUTSA_v10012355mg
OG0000069	Bra035673	EUTSA_v10017467mg
OG0000069	Bra035673	EUTSA_v10017468mg
OG0000069	Bra035673	EUTSA_v10010851mg
OG0000069	Bra035673	EUTSA_v10015098mg
OG0000069	Bra035673	EUTSA_v10016102mg
OG0000069	Bra035673	EUTSA_v10002736mg
OG0000069	Bra035673	EUTSA_v10002735mg
OG0000069	Bra035673	EUTSA_v10009172mg
OG0000069	Bra017178	EUTSA_v10017467mg
OG0000069	Bra017178	EUTSA_v10017468mg
OG0000069	Bra017178	EUTSA_v10010851mg
OG0000069	Bra017178	EUTSA_v10015098mg
OG0000069	Bra017178	EUTSA_v10016102mg
OG0000069	Bra017178	EUTSA_v10002736mg
OG0000069	Bra017178	EUTSA_v10002735mg
OG0000069	Bra017178	EUTSA_v10009172mg
OG0000069	Bra005185	EUTSA_v10017467mg
OG0000069	Bra005185	EUTSA_v10017468mg
OG0000069	Bra005185	EUTSA_v10010851mg
OG0000069	Bra005185	EUTSA_v10015098mg
OG0000069	Bra005185	EUTSA_v10016102mg
OG0000069	Bra005185	EUTSA_v10002736mg
OG0000069	Bra005185	EUTSA_v10002735mg
OG0000069	Bra005185	EUTSA_v10009172mg
OG0000069	Bra018691	EUTSA_v10017467mg
OG0000069	Bra018691	EUTSA_v10017468mg
OG0000069	Bra018691	EUTSA_v10010851mg
OG0000069	Bra018691	EUTSA_v10015098mg
OG0000069	Bra018691	EUTSA_v10016102mg
OG0000069	Bra018691	EUTSA_v10002736mg
OG0000069	Bra018691	EUTSA_v10002735mg
OG0000069	Bra018691	EUTSA_v10009172mg
OG0000069	Bra031594	EUTSA_v10017467mg
OG0000069	Bra031594	EUTSA_v10017468mg
OG0000069	Bra031594	EUTSA_v10010851mg
OG0000069	Bra031594	EUTSA_v10015098mg
OG0000069	Bra031594	EUTSA_v10016102mg
OG0000069	Bra031594	EUTSA_v10002736mg
OG0000069	Bra031594	EUTSA_v10002735mg
OG0000069	Bra031594	EUTSA_v10009172mg
OG0000069	Bra007023	EUTSA_v10017467mg
OG0000069	Bra007023	EUTSA_v10017468mg
OG0000069	Bra007023	EUTSA_v10010851mg
OG0000069	Bra007023	EUTSA_v10015098mg
OG0000069	Bra007023	EUTSA_v10016102mg
OG0000069	Bra007023	EUTSA_v10002736mg
OG0000069	Bra007023	EUTSA_v10002735mg
OG0000069	Bra007023	EUTSA_v10009172mg
OG0000069	Bra006699	EUTSA_v10017467mg
OG0000069	Bra006699	EUTSA_v10017468mg
OG0000069	Bra006699	EUTSA_v10010851mg
OG0000069	Bra006699	EUTSA_v10015098mg
OG0000069	Bra006699	EUTSA_v10016102mg
OG0000069	Bra006699	EUTSA_v10002736mg
OG0000069	Bra006699	EUTSA_v10002735mg
OG0000069	Bra006699	EUTSA_v10009172mg
OG0000069	Bra000481	EUTSA_v10017467mg
OG0000069	Bra000481	EUTSA_v10017468mg
OG0000069	Bra000481	EUTSA_v10010851mg
OG0000069	Bra000481	EUTSA_v10015098mg
OG0000069	Bra000481	EUTSA_v10016102mg
OG0000069	Bra000481	EUTSA_v10002736mg
OG0000069	Bra000481	EUTSA_v10002735mg
OG0000069	Bra000481	EUTSA_v10009172mg
OG0000070	Bra011889, Bra033581	EUTSA_v10026642mg
OG0000070	Bra031171	EUTSA_v10000385mg
OG0000070	Bra037243, Bra039909, Bra024482	EUTSA_v10023080mg
OG0000070	Bra010501, Bra017747, Bra011662	EUTSA_v10026647mg
OG0000070	Bra003746, Bra015832	EUTSA_v10019345mg
OG0000070	Bra025770	EUTSA_v10009412mg
OG0000070	Bra013061	EUTSA_v10023118mg
OG0000070	Bra011560, Bra017676	EUTSA_v10026631mg
OG0000071	Bra000470	EUTSA_v10016490mg
OG0000071	Bra002161	EUTSA_v10012238mg
OG0000072	Bra034491	EUTSA_v10011039mg, EUTSA_v10003362mg
OG0000072	Bra002449	EUTSA_v10012038mg, EUTSA_v10003330mg, EUTSA_v10029337mg, EUTSA_v10022239mg, EUTSA_v10017745mg, EUTSA_v10002853mg
OG0000074	Bra002592	EUTSA_v10015491mg
OG0000074	Bra018188	EUTSA_v10010149mg
OG0000074	Bra006729	EUTSA_v10015748mg
OG0000074	Bra020349, Bra020347, Bra020348, Bra020350, Bra020351	EUTSA_v10015631mg, EUTSA_v10012810mg, EUTSA_v10012872mg, EUTSA_v10015939mg
OG0000074	Bra006728, Bra002586	EUTSA_v10012780mg
OG0000075	Bra038397, Bra039996, Bra033475, Bra001969, Bra025230, Bra011114, Bra027571, Bra026655, Bra038984, Bra036277, Bra036924, Bra033530, Bra023604, Bra010445, Bra029382, Bra038105, Bra028951, Bra029676, Bra038822, Bra038823, Bra037023, Bra013060, Bra022006, Bra003078, Bra007037, Bra021986, Bra019400, Bra029385, Bra005084, Bra008503	EUTSA_v10002234mg
OG0000077	Bra005528	EUTSA_v10017694mg
OG0000077	Bra005527	EUTSA_v10016323mg
OG0000077	Bra021842	EUTSA_v10016279mg
OG0000077	Bra022907, Bra005530	EUTSA_v10016266mg, EUTSA_v10016267mg
OG0000077	Bra005534	EUTSA_v10016223mg
OG0000078	Bra016477, Bra012210	EUTSA_v10008827mg
OG0000078	Bra015807	EUTSA_v10019171mg
OG0000078	Bra011578	EUTSA_v10026291mg
OG0000078	Bra001994	EUTSA_v10022857mg
OG0000078	Bra022004, Bra025045	EUTSA_v10001030mg
OG0000078	Bra038892, Bra036819, Bra012858	EUTSA_v10022861mg
OG0000079	Bra023952, Bra011345	EUTSA_v10024278mg
OG0000079	Bra005845, Bra028768	EUTSA_v10012528mg
OG0000079	Bra033714	EUTSA_v10003137mg
OG0000079	Bra006407	EUTSA_v10012538mg
OG0000079	Bra011865	EUTSA_v10024277mg
OG0000079	Bra037793, Bra031904, Bra024324	EUTSA_v100035740mg
OG0000079	Bra006036	EUTSA_v10012521mg
OG0000080	Bra022706, Bra022705, Bra022703	EUTSA_v10015326mg
OG0000080	Bra002989, Bra002987	EUTSA_v10015602mg
OG0000080	Bra022730, Bra022727	EUTSA_v10015966mg
OG0000083	Bra010468	EUTSA_v10024522mg
OG0000083	Bra016284, Bra024691	EUTSA_v10028451mg, EUTSA_v10006900mg
OG0000083	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690	EUTSA_v10006818mg
OG0000083	Bra017393	EUTSA_v10003709mg
OG0000083	Bra024783, Bra024782	EUTSA_v10003663mg
OG0000083	Bra017394, Bra017395, Bra026565, Bra024784	EUTSA_v10003656mg
OG0000084	Bra029076, Bra022645	EUTSA_v10014941mg
OG0000084	Bra027688, Bra027749	EUTSA_v10023744mg
OG0000084	Bra013049, Bra001995	EUTSA_v10022898mg
OG0000084	Bra035605, Bra028946, Bra002842	EUTSA_v10014935mg
OG0000084	Bra001347, Bra041101	EUTSA_v10021705mg
OG0000085	Bra024078, Bra023947	EUTSA_v10027331mg
OG0000085	Bra024195	EUTSA_v10029506mg
OG0000085	Bra027451	EUTSA_v10028348mg, EUTSA_v10028299mg
OG0000085	Bra039802, Bra007010	EUTSA_v10011126mg
OG0000086	Bra013901, Bra019151, Bra010456	EUTSA_v10026532mg
OG0000086	Bra028304, Bra029119	EUTSA_v10014982mg
OG0000086	Bra033236	EUTSA_v10009057mg
OG0000086	Bra006687, Bra002522, Bra020277	EUTSA_v10014975mg
OG0000086	Bra038266	EUTSA_v10002714mg
OG0000088	Bra002490, Bra020258	EUTSA_v10012880mg
OG0000088	Bra006669, Bra002497	EUTSA_v10012788mg
OG0000088	Bra020259, Bra002500, Bra002499, Bra006670	EUTSA_v10012889mg
OG0000088	Bra002498	EUTSA_v10012851mg
OG0000088	Bra029544, Bra038289	EUTSA_v10002427mg
OG0000088	Bra006666, Bra006668	EUTSA_v10015671mg
OG0000090	Bra018391	EUTSA_v10017057mg, EUTSA_v10017909mg, EUTSA_v10017639mg
OG0000090	Bra039974, Bra039969, Bra018393, Bra018396	EUTSA_v10017106mg
OG0000090	Bra039966	EUTSA_v10019371mg, EUTSA_v10009420mg
OG0000090	Bra018399	EUTSA_v10017079mg
OG0000090	Bra039971, Bra039973, Bra039967	EUTSA_v10017118mg
OG0000090	Bra039514, Bra000476, Bra018401, Bra018402, Bra018405, Bra018404	EUTSA_v10017657mg
OG0000093	Bra021561	EUTSA_v10009535mg
OG0000094	Bra027089	EUTSA_v10023284mg
OG0000094	Bra031433	EUTSA_v10023285mg
OG0000094	Bra034257	EUTSA_v10023836mg, EUTSA_v10023852mg
OG0000094	Bra027088	EUTSA_v10023295mg
OG0000094	Bra031434	EUTSA_v10023279mg, EUTSA_v10023335mg
OG0000094	Bra016844	EUTSA_v10006804mg
OG0000094	Bra038579	EUTSA_v10023278mg
OG0000095	Bra013721, Bra034099	EUTSA_v10026489mg
OG0000095	Bra019280, Bra019278, Bra010541, Bra034100	EUTSA_v10026372mg
OG0000095	Bra026653	EUTSA_v10005071mg, EUTSA_v10005076mg
OG0000095	Bra024879, Bra017446	EUTSA_v10005073mg
OG0000096	Bra003124	EUTSA_v10010101mg
OG0000096	Bra008138	EUTSA_v10018087mg
OG0000096	Bra015930, Bra003729	EUTSA_v10018093mg
OG0000096	Bra008137	EUTSA_v10018082mg, EUTSA_v10018202mg, EUTSA_v10018158mg, EUTSA_v10018074mg
OG0000096	Bra032058, Bra034253	EUTSA_v10000563mg, EUTSA_v10000565mg, EUTSA_v10000451mg
OG0000098	Bra017241, Bra023065	EUTSA_v10016140mg
OG0000098	Bra034314	EUTSA_v10001880mg
OG0000098	Bra025424	EUTSA_v10005611mg
OG0000098	Bra026124	EUTSA_v10006564mg
OG0000098	Bra026156, Bra026157, Bra016669	EUTSA_v10006563mg
OG0000098	Bra003527	EUTSA_v10018005mg
OG0000098	Bra021173, Bra027171	EUTSA_v10019897mg
OG0000099	Bra032602	EUTSA_v10009982mg
OG0000099	Bra012376	EUTSA_v10019096mg
OG0000099	Bra008746	EUTSA_v10014797mg
OG0000099	Bra027153	EUTSA_v10006262mg, EUTSA_v10001656mg, EUTSA_v10008885mg
OG0000099	Bra016215	EUTSA_v10008884mg
OG0000103	Bra033170	EUTSA_v10028454mg
