Orthogroup	Brassica_rapa	Aethionema_arabicum
OG0000005	Bra012998	AA2089G00001, AA37G00011, AA28G00031, AA271G00001, AA84G00014, AA149G00013, AA154G00006, AA47G00013, AA221G00006, AA282G00002, AA658G00002, AA282G00001, AA73G00020, AA32G01154, AA361G00006, AA496G00002, AA543G00002, AA83G00021, AA99G00017, AA41G00056, AA367G00004, AA73G00007, AA159G00001, AA246G00005, AA62G00062, AA69G00024, AA121G00008, AA23G00090
OG0000005	Bra024173	AA94G00005, AA113G00003, AA113G00004, AA331G00002, AA69G00037, AA230G00003, AA277G00002, AA127G00011, AA518G00002, AA518G00001, AA164G00001, AA304G00004, AA63G00028, AA40G00022, AA504G00002, AA185G00006, AA484G00003, AA87G00367, AA504G00001, AA185G00005, AA237G00002, AA40G00098, AA392G00003, AA766G00001, AA87G00365, AA487G00003, AA63G00045, AA190G00007, AA40G00097, AA68G00047, AA304G00005, AA186G00005, AA304G00003, AA56G00082, AA403G00002, AA336G00001, AA1139G00001, AA118G00024, AA336G00002, AA50G00058, AA543G00001, AA16G00025, AA87G00363, AA50G00059
OG0000005	Bra008452	AA12G00024, AA1379G00002, AA150G00005, AA12G00023, AA1379G00003, AA210G00010, AA103G00020, AA302G00004, AA997G00001, AA75G00017, AA997G00002, AA2255G00001, AA363G00002, AA204G00011, AA99G00015, AA186G00004, AA164G00002, AA301G00002, AA301G00001, AA314G00001, AA575G00001, AA372G00001, AA102G00341, AA242G00004, AA634G00002, AA49G00052, AA388G00001, AA160G00008, AA3165G00001, AA281G00004, AA747G00001, AA479G00001, AA210G00009, AA309G00005, AA117G00003, AA143G00012, AA1166G00001, AA50G00031, AA65G00369, AA136G00001, AA104G00010, AA134G00009, AA305G00004, AA264G00004, AA511G00001, AA528G00003, AA264G00003, AA580G00002, AA102G00252, AA50G00023, AA104G00011, AA40G00021, AA52G00046, AA53G00835
OG0000005	Bra002340	AA669G00001, AA66G00008, AA136G00012
OG0000006	Bra033926	AA65G00043, AA118G00056, AA123G00175, AA40G00121, AA88G00016, AA123G00174, AA134G00022, AA12G00137, AA646G00001, AA98G00001, AA80G00003, AA80G00002, AA134G00021, AA185G00007, AA23G00067, AA46G00042, AA219G00009, AA46G00041, AA1367G00001, AA62G00061, AA143G00005, AA123G00120, AA123G00121, AA125G00012, AA171G00003, AA123G00124, AA9G00156, AA264G00007, AA60G00075, AA264G00006, AA158G00002, AA284G00003, AA284G00004, AA50G00057, AA87G00372, AA23G00072, AA28G00010, AA164G00003, AA23G00073, AA546G00001, AA80G00001, AA93G00224, AA17G00035, AA93G00225, AA819G00003, AA39G00090, AA38G00079, AA396G00002, AA52G00031, AA396G00003, AA452G00003, AA184G00006, AA452G00002, AA123G00107, AA56G00058, AA69G00002, AA512G00002, AA66G00004, AA294G00001, AA66G00012, AA151G00003, AA7G00044, AA120G00007, AA120G00008, AA481G00001, AA58G00003, AA22G00062, AA42G00041, AA168G00017, AA996G00001, AA51G00005, AA598G00003, AA215G00008, AA98G00011, AA133G00013, AA161G00004, AA133G00014, AA73G00011, AA328G00002, AA328G00003, AA261G00006, AA65G00120, AA48G00035, AA296G00006, AA115G00005, AA376G00002, AA69G00010, AA22G00060, AA56G00083, AA376G00001, AA60G00212, AA22G00061, AA170G00001, AA97G00035, AA123G00087, AA63G00031, AA168G00034, AA1107G00002, AA1052G00001, AA166G00008, AA144G00004, AA102G00338, AA1045G00002, AA102G00245, AA166G00009, AA468G00003, AA87G00264, AA42G00044, AA42G00040, AA127G00001, AA53G00248, AA118G00019, AA120G00012, AA47G00033, AA240G00001, AA131G00036, AA84G00007, AA22G00047, AA65G00261, AA12G00225, AA23G00043, AA71G00020, AA53G00249, AA26G00420, AA84G00001, AA44G00135, AA242G00001, AA123G00140, AA34G00005, AA102G00211, AA466G00002, AA120G00003, AA98G00010, AA466G00001, AA120G00004, AA40G00012, AA503G00003, AA503G00002, AA46G00081, AA240G00005, AA171G00005, AA40G00051, AA151G00002, AA52G00018, AA149G00005, AA69G00014, AA168G00038, AA61G00134, AA116G00016, AA145G00011, AA270G00004, AA64G00011, AA118G00009, AA1016G00002, AA69G00038, AA466G00004, AA83G00016, AA399G00002, AA50G00050, AA239G00004, AA93G00249, AA240G00003, AA537G00004, AA68G00036, AA30G00268, AA23G00068, AA168G00036, AA47G00006, AA540G00002, AA254G00005, AA87G00349, AA254G00008, AA616G00002, AA254G00007, AA254G00006, AA857G00001, AA345G00002, AA75G00014, AA47G00007, AA22G00067, AA75G00015, AA66G00013, AA340G00001, AA83G00015, AA44G00711, AA64G00004, AA123G00179, AA389G00001, AA246G00014, AA246G00015, AA207G00006, AA30G00315, AA996G00002, AA226G00007, AA172G00001, AA172G00006, AA123G00011, AA172G00007, AA12G00150, AA34G00034, AA824G00001, AA22G00057, AA606G00001, AA47G00043, AA118G00033, AA47G00042, AA54G00040, AA118G00034, AA426G00001, AA22G00056, AA318G00010, AA394G00009, AA96G00025, AA245G00011, AA886G00004, AA52G00053, AA73G00016, AA88G00014, AA31G00151, AA126G00003, AA944G00001, AA262G00005, AA88G00013, AA141G00008, AA141G00007, AA141G00006, AA87G00286, AA34G00024, AA61G00375, AA93G00284, AA149G00007, AA22G00109, AA61G00626, AA22G00108, AA38G00053, AA93G00264, AA168G00043, AA275G00005, AA93G00263, AA50G00044, AA62G00084, AA128G00010, AA169G00001, AA75G00034, AA184G00001, AA104G00014, AA1080G00003
OG0000006	Bra033839, Bra008978	AA168G00018, AA118G00002, AA85G00001, AA224G00001, AA1558G00001, AA90G00071, AA68G00021, AA118G00058, AA157G00007, AA168G00025, AA93G00208, AA1659G00001, AA177G00003, AA35G00073, AA83G00019, AA177G00002, AA15G00056, AA468G00005, AA118G00031, AA39G00774, AA118G00032, AA69G00017, AA62G00009, AA136G00003, AA67G00038, AA92G00009, AA28G00036, AA45G00006, AA355G00003, AA115G00013, AA70G00035, AA420G00003, AA547G00003, AA819G00001, AA206G00001, AA331G00003, AA371G00009, AA113G00008, AA209G00001, AA36G00005, AA123G00134, AA22G00015, AA136G00004, AA229G00008, AA375G00006, AA111G00014, AA480G00001, AA54G00079, AA1011G00001, AA118G00001, AA108G00001, AA94G00002, AA147G00003, AA617G00001, AA49G00011, AA62G00048, AA65G00065, AA270G00003, AA116G00011, AA283G00001, AA161G00009, AA82G00023, AA134G00033, AA83G00027, AA134G00034, AA137G00004, AA66G00002, AA66G00001, AA87G00384, AA139G00003, AA273G00004, AA45G00007, AA65G00265, AA115G00006, AA68G00035, AA33G00230, AA468G00001, AA54G00349, AA40G00076, AA148G00006, AA1111G00001, AA224G00003, AA109G00011, AA13G00029, AA8G00277, AA65G00266, AA33G00229, AA195G00003, AA479G00003, AA179G00001, AA157G00009, AA39G00146, AA67G00024, AA1469G00001, AA125G00008, AA1469G00002, AA930G00001, AA85G00010, AA245G00007, AA101G00003, AA49G00029, AA386G00003, AA18G00039, AA348G00001, AA65G00008, AA28G00030, AA272G00003, AA28G00029, AA65G00258, AA59G00019, AA537G00002, AA65G00357, AA192G00001, AA462G00005, AA73G00009, AA86G00007, AA209G00007, AA446G00001, AA22G00033, AA295G00004, AA888G00002, AA209G00006, AA200G00001, AA125G00002
OG0000007	Bra026661	AA26G00727
OG0000009	Bra003264	AA946G00001
OG0000011	Bra019409, Bra019410, Bra019413, Bra020861, Bra027510, Bra006095, Bra006556, Bra006094, Bra006146, Bra006093, Bra036413, Bra036417, Bra038872, Bra036799	AA29G00226
OG0000014	Bra003331, Bra014575, Bra014574, Bra003330	AA61G00259, AA70G00018, AA61G00258, AA61G00256, AA102G00309, AA102G00307, AA61G00261, AA61G00260, AA61G00257
OG0000016	Bra006431, Bra006434, Bra002123, Bra023658, Bra023655, Bra026597, Bra023660	AA53G00298, AA53G00297
OG0000019	Bra035657	AA32G00796
OG0000019	Bra001827, Bra031276, Bra030414, Bra018933	AA93G00031
OG0000019	Bra020298, Bra006700, Bra020300, Bra020303, Bra020299, Bra002545, Bra002543	AA97G00020
OG0000019	Bra019608, Bra018213, Bra033825	AA16G00053
OG0000019	Bra015587	AA90G00072, AA1016G00004, AA113G00014
OG0000023	Bra024648, Bra024647, Bra031756, Bra031728, Bra031755, Bra031729, Bra031743, Bra026587, Bra013543, Bra020901, Bra037593, Bra002310, Bra006494, Bra016701, Bra009957, Bra009956	AA134G00047, AA26G00632, AA26G00624, AA98G00002, AA26G00629, AA26G00628, AA26G00630, AA762G00001, AA26G00627
OG0000023	Bra017173, Bra017172	AA29G00248
OG0000024	Bra005277, Bra040841, Bra040891, Bra037448, Bra018448	AA65G00084
OG0000025	Bra004152, Bra004151	AA544G00003, AA477G00002, AA12G00018, AA12G00020, AA12G00019, AA616G00003, AA427G00002
OG0000029	Bra003852, Bra032780, Bra011980, Bra005753, Bra006011, Bra011614, Bra022301, Bra022284, Bra022285, Bra022305, Bra022303, Bra022362, Bra022299, Bra022286, Bra000175, Bra027905, Bra027903, Bra027901, Bra009558	AA19G00269
OG0000032	Bra025543, Bra028402	AA84G00010, AA57G00056
OG0000032	Bra034039, Bra004199	AA84G00011
OG0000033	Bra036054, Bra036053, Bra036046, Bra036045, Bra015597, Bra019755, Bra026682, Bra026978, Bra026924, Bra026923, Bra026977	AA65G00173, AA65G00170, AA78G00024, AA65G00233, AA65G00229, AA65G00232, AA65G00231, AA65G00230, AA129G00013, AA65G00279, AA65G00278, AA65G00281, AA65G00280, AA181G00005, AA65G00269, AA65G00268
OG0000033	Bra016785	AA65G00276
OG0000036	Bra003051	AA461G00001
OG0000037	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010	AA62G00013
OG0000037	Bra037560	AA26G00546
OG0000037	Bra006719, Bra018210, Bra002571, Bra019486	AA16G00045
OG0000037	Bra020319, Bra033819	AA97G00002
OG0000037	Bra006033	AA44G00244
OG0000039	Bra019317	AA54G00316
OG0000040	Bra006362	AA40G00443
OG0000040	Bra001440, Bra023128	AA49G00027, AA230G00005, AA201G00003, AA230G00002, AA87G00338, AA87G00325, AA94G00015, AA87G00340, AA87G00324, AA87G00333, AA87G00329, AA87G00335, AA87G00323, AA87G00334, AA87G00337, AA87G00339, AA87G00327, AA87G00330, AA168G00007, AA168G00005
OG0000043	Bra018164	AA96G00004
OG0000043	Bra005562, Bra005563, Bra002305, Bra006560, Bra029191, Bra006717, Bra021289, Bra007256, Bra027572, Bra022422, Bra014313, Bra018128, Bra036778, Bra037076, Bra035695, Bra035694, Bra015204, Bra027938	AA96G00003, AA82G00005, AA16G00126, AA16G00125, AA16G00128, AA16G00121, AA16G00133, AA16G00122, AA16G00124
OG0000044	Bra039426, Bra018182, Bra028374, Bra036658, Bra027069, Bra028375, Bra034464, Bra036659, Bra027041, Bra027066	AA53G00586
OG0000045	Bra013596, Bra013683, Bra019329, Bra020821, Bra019324	AA54G00319, AA57G00519
OG0000045	Bra013676, Bra013677, Bra019322, Bra013678, Bra023844, Bra038935, Bra040998, Bra019323, Bra012544, Bra019320, Bra019325, Bra041081	AA54G00317, AA57G00510, AA57G00517, AA996G00003, AA996G00004, AA54G00318, AA57G00513, AA57G00514
OG0000046	Bra036790, Bra027599	AA40G00319, AA40G00317
OG0000046	Bra021956	AA31G00206
OG0000046	Bra021953	AA35G00034
OG0000050	Bra003745	AA31G00393
OG0000050	Bra003745	AA44G00357
OG0000050	Bra003745	AA30G00333
OG0000050	Bra003745	AA30G00332
OG0000051	Bra005989, Bra028659	AA44G00161
OG0000051	Bra032978, Bra025247	AA53G00909
OG0000051	Bra008777	AA32G01194
OG0000051	Bra028480, Bra025532	AA87G00077
OG0000051	Bra014066	AA75G00011
OG0000051	Bra019556, Bra029911, Bra018044	AA96G00122
OG0000051	Bra038639	AA4G00080
OG0000052	Bra014726, Bra031447, Bra008247, Bra035315	AA167G00004
OG0000053	Bra002368	AA32G00928
OG0000053	Bra020155	AA32G00928
OG0000053	Bra006595	AA32G00928
OG0000053	Bra025438	AA406G00003
OG0000053	Bra004166	AA27G00057
OG0000053	Bra039723	AA87G00252
OG0000053	Bra023786, Bra033898, Bra001892	AA17G00089
OG0000054	Bra019742, Bra016791	AA65G00256
OG0000054	Bra034519	AA53G01420
OG0000054	Bra000377	AA21G00261
OG0000054	Bra039079, Bra039078	AA6G00302
OG0000054	Bra013619	AA6G00304
OG0000057	Bra020447, Bra002733	AA44G00654
OG0000057	Bra016610	AA39G00025
OG0000057	Bra007524, Bra014496	AA61G00396
OG0000057	Bra029249	AA96G00063
OG0000057	Bra003576, Bra035163	AA31G00865
OG0000057	Bra008288	AA74G00033
OG0000057	Bra013168	AA412G00001
OG0000057	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101	AA102G00165
OG0000057	Bra038835, Bra024452	AA33G00191
OG0000060	Bra006685, Bra006639, Bra002436	AA8G00298
OG0000060	Bra003150	AA19G00290, AA60G00025
OG0000060	Bra039810, Bra007018	AA62G00022
OG0000060	Bra020275, Bra002520	AA16G00076, AA97G00039
OG0000060	Bra038267	AA16G00072
OG0000062	Bra035813, Bra025472, Bra001775, Bra001774, Bra027515, Bra030126, Bra001329, Bra035814, Bra014143, Bra039930, Bra035812, Bra038254, Bra035818	AA26G00678, AA26G00677, AA7G00112
OG0000064	Bra036460, Bra036688, Bra011053	AA102G00029
OG0000064	Bra033704	AA32G00398
OG0000064	Bra032526	AA19G00134
OG0000064	Bra022871	AA32G00557
OG0000064	Bra030993	AA39G00052
OG0000064	Bra006561, Bra020105	AA8G00155
OG0000064	Bra014582, Bra003324	AA61G00250
OG0000064	Bra027968	AA53G00353
OG0000064	Bra030739, Bra018605	AA103G00009
OG0000065	Bra015815	AA31G00378
OG0000065	Bra033737, Bra039506, Bra027544	AA6G00166
OG0000065	Bra020912, Bra013481, Bra038795	AA57G00297
OG0000065	Bra008903	AA44G00470
OG0000065	Bra009710	AA96G00146
OG0000065	Bra018379, Bra039987	AA32G00741
OG0000065	Bra018184, Bra033796	AA16G00011
OG0000068	Bra015801, Bra008231, Bra003735, Bra017397, Bra018756, Bra014159, Bra018757, Bra014519	AA31G00363
OG0000069	Bra035673	AA32G00851
OG0000069	Bra035673	AA97G00021
OG0000069	Bra035673	AA62G00021
OG0000069	Bra035673	AA32G00839
OG0000069	Bra035673	AA32G00838
OG0000069	Bra035673	AA16G00055
OG0000069	Bra035673	AA16G00054
OG0000069	Bra035673	AA8G00363
OG0000069	Bra017178	AA32G00851
OG0000069	Bra017178	AA97G00021
OG0000069	Bra017178	AA62G00021
OG0000069	Bra017178	AA32G00839
OG0000069	Bra017178	AA32G00838
OG0000069	Bra017178	AA16G00055
OG0000069	Bra017178	AA16G00054
OG0000069	Bra017178	AA8G00363
OG0000069	Bra005185	AA32G00851
OG0000069	Bra005185	AA97G00021
OG0000069	Bra005185	AA62G00021
OG0000069	Bra005185	AA32G00839
OG0000069	Bra005185	AA32G00838
OG0000069	Bra005185	AA16G00055
OG0000069	Bra005185	AA16G00054
OG0000069	Bra005185	AA8G00363
OG0000069	Bra018691	AA32G00851
OG0000069	Bra018691	AA97G00021
OG0000069	Bra018691	AA62G00021
OG0000069	Bra018691	AA32G00839
OG0000069	Bra018691	AA32G00838
OG0000069	Bra018691	AA16G00055
OG0000069	Bra018691	AA16G00054
OG0000069	Bra018691	AA8G00363
OG0000069	Bra031594	AA32G00851
OG0000069	Bra031594	AA97G00021
OG0000069	Bra031594	AA62G00021
OG0000069	Bra031594	AA32G00839
OG0000069	Bra031594	AA32G00838
OG0000069	Bra031594	AA16G00055
OG0000069	Bra031594	AA16G00054
OG0000069	Bra031594	AA8G00363
OG0000069	Bra007023	AA32G00851
OG0000069	Bra007023	AA97G00021
OG0000069	Bra007023	AA62G00021
OG0000069	Bra007023	AA32G00839
OG0000069	Bra007023	AA32G00838
OG0000069	Bra007023	AA16G00055
OG0000069	Bra007023	AA16G00054
OG0000069	Bra007023	AA8G00363
OG0000069	Bra006699	AA32G00851
OG0000069	Bra006699	AA97G00021
OG0000069	Bra006699	AA62G00021
OG0000069	Bra006699	AA32G00839
OG0000069	Bra006699	AA32G00838
OG0000069	Bra006699	AA16G00055
OG0000069	Bra006699	AA16G00054
OG0000069	Bra006699	AA8G00363
OG0000069	Bra000481	AA32G00851
OG0000069	Bra000481	AA97G00021
OG0000069	Bra000481	AA62G00021
OG0000069	Bra000481	AA32G00839
OG0000069	Bra000481	AA32G00838
OG0000069	Bra000481	AA16G00055
OG0000069	Bra000481	AA16G00054
OG0000069	Bra000481	AA8G00363
OG0000070	Bra011889, Bra033581	AA20G00056
OG0000070	Bra031171	AA46G00050
OG0000070	Bra037243, Bra039909, Bra024482, Bra010501, Bra017747, Bra011662, Bra008207, Bra003746, Bra015832, Bra025770	AA31G00395
OG0000070	Bra013061	AA123G00001
OG0000070	Bra011560, Bra017676	AA45G00038
OG0000074	Bra018188	AA16G00016
OG0000074	Bra020333	AA61G00254
OG0000074	Bra006729, Bra020349, Bra020347, Bra020348, Bra020350, Bra020351, Bra006728, Bra002586	AA56G00016, AA1G00185
OG0000077	Bra021824, Bra005510, Bra005525, Bra005528, Bra005527, Bra021842, Bra022907, Bra005530, Bra005529	AA32G00473
OG0000077	Bra005534, Bra021751, Bra021750, Bra021806, Bra032039, Bra021868, Bra021805, Bra021913, Bra021746, Bra021749, Bra021748, Bra005567	AA439G00002
OG0000078	Bra016477, Bra012210	AA39G00266
OG0000078	Bra015807	AA31G00371
OG0000078	Bra022004, Bra025045	AA56G00081
OG0000078	Bra037248, Bra002093, Bra040869	AA30G00117
OG0000078	Bra038892, Bra036819, Bra012858	AA13G00006
OG0000079	Bra023952, Bra011345	AA66G00015
OG0000079	Bra029874, Bra005845, Bra028768	AA35G00006
OG0000079	Bra033714	AA32G00384
OG0000079	Bra006407	AA40G00374
OG0000079	Bra011865	AA20G00013
OG0000079	Bra037793, Bra031904, Bra024324, Bra006036	AA44G00248
OG0000083	Bra010468, Bra016284, Bra024691	AA39G00629
OG0000083	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690	AA14G00015, AA14G00011, AA169G00013
OG0000083	Bra017393, Bra024783, Bra024782, Bra017394, Bra017395, Bra026565, Bra024784	AA53G00745
OG0000084	Bra003066, Bra029076, Bra022645	AA1G00075
OG0000084	Bra027688, Bra027749	AA53G01315
OG0000084	Bra002842	AA25G00148
OG0000084	Bra001347, Bra041101	AA29G00201
OG0000086	Bra028304, Bra029119	AA55G00018, AA136G00006
OG0000086	Bra033236	AA1G00098
OG0000087	Bra016742	AA403G00005, AA91G00008
OG0000088	Bra038286, Bra002490, Bra020258, Bra006669, Bra002497, Bra020259, Bra002500, Bra002499, Bra006670	AA8G00342
OG0000094	Bra034257	AA65G00184
OG0000094	Bra027088, Bra031434, Bra016844, Bra038579	AA53G00548
OG0000095	Bra013721, Bra034099	AA53G00636
OG0000095	Bra026176, Bra026653, Bra024879, Bra017446	AA53G00635, AA53G00634
OG0000096	Bra008138, Bra015930, Bra003729, Bra008137, Bra003816, Bra003815, Bra008140	AA31G00523
OG0000098	Bra017241, Bra023065	AA60G00154
OG0000098	Bra034314	AA32G00973
OG0000098	Bra025424	AA318G00003
OG0000098	Bra026124	AA37G00179
OG0000098	Bra026156, Bra026157, Bra016669	AA37G00199
OG0000098	Bra003527	AA57G00485
OG0000098	Bra021173, Bra027171	AA26G00336
OG0000099	Bra032602	AA30G00261
OG0000099	Bra008746	AA40G00612
OG0000099	Bra027153	AA21G00443, AA61G00578, AA39G00541, AA53G00483
OG0000099	Bra016215	AA87G00133
OG0000102	Bra010034, Bra031446, Bra005391, Bra040876, Bra034905, Bra038986, Bra038643	AA160G00002, AA134G00005
OG0000103	Bra033170	AA3G00089
OG0000103	Bra013544, Bra038768, Bra038766	AA57G00364
OG0000104	Bra018274	AA38G00063, AA86G00010, AA21G00046, AA21G00060
OG0000106	Bra022489, Bra040199, Bra040200, Bra022491, Bra029304, Bra029303, Bra029299	AA53G01180, AA53G01201
OG0000108	Bra014798, Bra007090	AA163G00013
OG0000108	Bra005071, Bra005070, Bra005069, Bra000107, Bra017275, Bra017093	AA60G00229
OG0000108	Bra027463, Bra027488, Bra035979, Bra027490, Bra035978, Bra033673, Bra035977, Bra033675, Bra027487, Bra033676, Bra035981	AA32G00432
OG0000109	Bra018914, Bra018879, Bra018880	AA2G00207
OG0000109	Bra038047, Bra018874, Bra018913, Bra018915	AA44G00671, AA2G00206
OG0000110	Bra021082	AA53G00288
OG0000110	Bra025164, Bra025163	AA53G00820
OG0000112	Bra000502, Bra018711, Bra019625, Bra009934, Bra030053, Bra003293, Bra007617, Bra025706, Bra008686, Bra033326	AA19G00309, AA318G00007, AA123G00133, AA32G00112, AA32G00105, AA145G00002, AA32G00224, AA32G00220
OG0000114	Bra002171, Bra023688, Bra006467	AA40G00252
OG0000114	Bra033504, Bra012773, Bra038075, Bra033499, Bra038076, Bra033503, Bra033501	AA87G00183
OG0000115	Bra002103, Bra006418, Bra023635	AA40G00329
OG0000115	Bra024477, Bra037232	AA169G00004, AA33G00150
OG0000115	Bra038874, Bra036846, Bra012877	AA13G00031, AA13G00030, AA13G00028
OG0000117	Bra004768, Bra004769, Bra004770, Bra037706, Bra037705, Bra037707, Bra000309	AA21G00133, AA21G00095
OG0000120	Bra032635	AA1G00082
OG0000120	Bra022637, Bra029089, Bra026297	AA77G00034
OG0000123	Bra003310, Bra000376	AA61G00444
OG0000123	Bra040738, Bra012710	AA53G00314
OG0000123	Bra013172	AA116G00005
OG0000123	Bra029509	AA6G00269
OG0000123	Bra013578, Bra019407	AA57G00394
OG0000126	Bra019412, Bra020936	AA57G00418, AA57G00410
OG0000128	Bra027130, Bra036715, Bra040124, Bra021590, Bra040128, Bra032811, Bra032858, Bra040127, Bra040270	AA10G00184, AA10G00183
OG0000130	Bra017917	AA42G00005, AA439G00006
OG0000131	Bra038179	AA125G00013
OG0000132	Bra039617	AA33G00143
OG0000132	Bra010560, Bra011691	AA30G00164
OG0000132	Bra012183, Bra025745	AA31G00430
OG0000132	Bra000579, Bra031209, Bra030285	AA46G00088
OG0000133	Bra012362, Bra016364	AA39G00504
OG0000133	Bra016180, Bra016181	AA38G00018, AA38G00017
OG0000135	Bra003989, Bra007873, Bra007874, Bra004405	AA2143G00001, AA17G00006, AA26G00829, AA17G00008, AA17G00001, AA17G00002, AA17G00020, AA17G00012, AA17G00003, AA26G00830, AA17G00007, AA26G00828, AA17G00009, AA1611G00001, AA26G00827, AA17G00013, AA17G00010, AA17G00011, AA17G00016, AA17G00015, AA17G00014, AA26G00826, AA396G00004
OG0000137	Bra032322, Bra032317, Bra010827, Bra010826, Bra032321, Bra010828	AA54G00359, AA54G00361, AA496G00004
OG0000138	Bra035034	AA12G00218
OG0000138	Bra021830, Bra022928	AA32G00538, AA32G00462
OG0000138	Bra000327, Bra014753, Bra000645, Bra004111, Bra000183, Bra017014	AA39G00018, AA52G00022
OG0000142	Bra022382	AA366G00001
OG0000144	Bra014462, Bra014461	AA61G00464
OG0000144	Bra014953, Bra039327, Bra039328, Bra039329	AA103G00017
OG0000144	Bra007571, Bra004921	AA21G00293
OG0000146	Bra020804, Bra017704, Bra020805	AA832G00002, AA79G00004, AA832G00001, AA79G00003, AA79G00009, AA79G00006
OG0000149	Bra003333	AA15G00319
OG0000149	Bra007907, Bra007909, Bra007908, Bra016226, Bra027477, Bra035966, Bra033958, Bra033670, Bra030815	AA15G00318
OG0000149	Bra030813	AA15G00317
OG0000150	Bra012328, Bra009566	AA39G00398, AA132G00001
OG0000153	Bra002580, Bra002553, Bra006705, Bra006704, Bra006703, Bra002550, Bra002551, Bra002548, Bra020306, Bra020291, Bra006678, Bra038408, Bra002507, Bra002511, Bra002534	AA8G00306, AA102G00310, AA1G00146
OG0000154	Bra004838, Bra037648	AA21G00201, AA21G00200
OG0000155	Bra018283, Bra018282, Bra021616, Bra021613, Bra029251, Bra018281, Bra022823, Bra007734	AA40G00171
OG0000156	Bra006829	AA44G00661
OG0000156	Bra032928, Bra040819, Bra040821, Bra034237, Bra025198, Bra025196, Bra025199	AA53G00852
OG0000158	Bra002961, Bra027891, Bra000087, Bra034378, Bra040812	AA2G00024, AA2G00022, AA2G00020, AA9G00015, AA90G00023, AA425G00002, AA73G00001, AA2G00019, AA2G00023, AA2G00021
OG0000158	Bra029173, Bra022550	AA39G00321
OG0000159	Bra026450, Bra041015, Bra027666, Bra034521, Bra034520, Bra009164, Bra005879, Bra005876, Bra005878, Bra004046, Bra004349, Bra016726	AA163G00005
OG0000164	Bra013565, Bra038753	AA57G00387
OG0000164	Bra020868	AA57G00383
OG0000167	Bra038734	AA92G00001, AA250G00002, AA250G00001, AA226G00003, AA226G00001, AA250G00004, AA31G00015
OG0000167	Bra016644, Bra026084	AA37G00145
OG0000167	Bra009583	AA19G00295
OG0000170	Bra038618	AA71G00010
OG0000171	Bra033416, Bra034210, Bra000823, Bra034211, Bra020727	AA32G00354
OG0000174	Bra040627, Bra028162, Bra033087, Bra033084, Bra030699, Bra008375, Bra027114, Bra027111, Bra018687	AA27G00041, AA27G00039, AA27G00040
OG0000178	Bra015465, Bra023229, Bra027159, Bra015425	AA114G00014, AA114G00022, AA114G00015, AA114G00011
OG0000179	Bra010680	AA57G00402
OG0000179	Bra028210, Bra011859, Bra033625, Bra033626, Bra025289	AA53G01010, AA53G01008
OG0000180	Bra016488	AA39G00254
OG0000180	Bra016488	AA31G00389
OG0000182	Bra014901, Bra038406	AA79G00038
OG0000182	Bra025101	AA57G00237
OG0000182	Bra021946, Bra025100	AA6G00125
OG0000182	Bra024835	AA53G00685
OG0000183	Bra019513	AA96G00044
