Orthogroup	Brassica_rapa	Tarenaya_hassleriana
OG0000016	Bra032736	Th2v02301, Th2v12576
OG0000016	Bra002122, Bra006436, Bra002128, Bra006431, Bra006434, Bra002123, Bra023658, Bra023655, Bra026597, Bra023660, Bra026598, Bra023663, Bra023659, Bra023653, Bra006438, Bra023654, Bra006430, Bra002121, Bra023661, Bra006433, Bra023657, Bra002126, Bra002130, Bra006435, Bra002124, Bra002127, Bra002125, Bra002120, Bra002131, Bra006432, Bra023656	Th2v19148, Th2v19151, Th2v28793
OG0000017	Bra033908, Bra033850, Bra000514, Bra017982, Bra017983, Bra034015, Bra034016, Bra022876, Bra021702, Bra009129, Bra009128, Bra021730, Bra021767, Bra021785, Bra021783, Bra021782, Bra021784, Bra021781, Bra021788, Bra021768, Bra023809, Bra027364, Bra021780, Bra021786, Bra021789, Bra021769, Bra021772, Bra037636, Bra039989, Bra005628, Bra005629, Bra005631, Bra022877, Bra002055, Bra036902, Bra036901, Bra035057	Th2v01232
OG0000018	Bra028499, Bra028500, Bra025494, Bra036019, Bra025467, Bra032045, Bra027772, Bra027660, Bra027791, Bra027790, Bra021754, Bra027778, Bra027779	Th2v00785, Th2v23478
OG0000019	Bra035657	Th2v07540
OG0000019	Bra001827, Bra031276, Bra030414, Bra018933	Th2v21173, Th2v23895, Th2v27433, Th2v21892, Th2v23892, Th2v23894, Th2v21895
OG0000019	Bra015587	Th2v15742, Th2v07538, Th2v07539
OG0000019	Bra031584	Th2v01098
OG0000023	Bra003308, Bra024648, Bra024647, Bra031756, Bra031728, Bra031755, Bra031729, Bra031743, Bra026587, Bra013543, Bra020901, Bra037593, Bra002310, Bra006494, Bra016701, Bra009957, Bra009956, Bra017173, Bra017172	Th2v00745
OG0000024	Bra027866, Bra027834, Bra036206, Bra035424, Bra027843, Bra013134, Bra005277, Bra040841, Bra040891, Bra037448, Bra018448	Th2v12915, Th2v22610, Th2v12940, Th2v22637, Th2v12916, Th2v22611, Th2v23248, Th2v22826, Th2v12914, Th2v22609
OG0000025	Bra004152, Bra004151	Th2v06587, Th2v15286, Th2v06585, Th2v15284, Th2v06586, Th2v15285, Th2v07577, Th2v15711, Th2v05214, Th2v05190, Th2v05184, Th2v05185, Th2v05186, Th2v05174, Th2v05215, Th2v05217, Th2v05216, Th2v05213, Th2v05175, Th2v05189, Th2v10795, Th2v05176, Th2v05188, Th2v19139, Th2v24293
OG0000029	Bra003852, Bra032780, Bra011980, Bra005753, Bra006011, Bra011614, Bra022301, Bra022284, Bra022285, Bra022305, Bra022303, Bra022362, Bra022299, Bra022286, Bra000175, Bra027905, Bra027903, Bra027901, Bra009558	Th2v20665
OG0000030	Bra027658	Th2v17285, Th2v20358, Th2v20357, Th2v17290, Th2v17287, Th2v17243, Th2v17245, Th2v01243, Th2v17307, Th2v01666, Th2v30470, Th2v30468, Th2v01665, Th2v30471, Th2v01795, Th2v16920, Th2v17271, Th2v29086
OG0000032	Bra025543, Bra028402, Bra034036, Bra019074, Bra024056, Bra034038, Bra034039, Bra004199, Bra034042, Bra004198, Bra038467, Bra008687, Bra016274	Th2v06297, Th2v05322
OG0000036	Bra003051, Bra019604, Bra032221, Bra040304, Bra034970, Bra040961, Bra037616	Th2v30259
OG0000037	Bra014865, Bra007025, Bra017166, Bra005178, Bra000010	Th2v03678, Th2v16949
OG0000037	Bra037560, Bra022356	Th2v31526
OG0000037	Bra006719, Bra018210, Bra002571	Th2v21285
OG0000037	Bra020319, Bra033819	Th2v18783
OG0000037	Bra006033	Th2v24213, Th2v13675
OG0000039	Bra012706, Bra027990, Bra013661, Bra013659, Bra013658, Bra013660, Bra020828, Bra020827, Bra013657	Th2v04532, Th2v16789, Th2v16796, Th2v16782, Th2v16787, Th2v16794
OG0000039	Bra013199, Bra035221, Bra035217, Bra035222	Th2v16783, Th2v16784, Th2v16785, Th2v16793
OG0000039	Bra000746, Bra000745, Bra000744	Th2v04533, Th2v16790, Th2v16791
OG0000040	Bra006362, Bra001440, Bra023128, Bra025601, Bra032189, Bra012153, Bra029842, Bra025640, Bra016001	Th2v28851, Th2v28853, Th2v28647
OG0000043	Bra018164	Th2v18719, Th2v21320
OG0000043	Bra005562, Bra005563, Bra002305, Bra006560, Bra029191, Bra006717, Bra021289, Bra007256, Bra027572, Bra022422, Bra014313, Bra018128, Bra036778, Bra037076, Bra035695, Bra035694, Bra015204, Bra027938	Th2v18720, Th2v06689, Th2v31259, Th2v29328, Th2v20344, Th2v20345, Th2v20347, Th2v20348
OG0000045	Bra013596, Bra013683, Bra019329, Bra020821, Bra019324	Th2v04530, Th2v16767, Th2v16779
OG0000045	Bra013676, Bra013677, Bra019322, Bra013678, Bra023844, Bra038935, Bra040998, Bra019323, Bra012544, Bra019320, Bra019325, Bra041081	Th2v04531
OG0000046	Bra010552, Bra011666	Th2v04252
OG0000046	Bra021956, Bra021953	Th2v04273
OG0000050	Bra003745	Th2v02356
OG0000050	Bra003745	Th2v02588
OG0000050	Bra003745	Th2v04070
OG0000050	Bra003745	Th2v04071
OG0000050	Bra003745	Th2v05831
OG0000050	Bra003745	Th2v20926
OG0000050	Bra003745	Th2v28063
OG0000051	Bra005989, Bra028659	Th2v29800, Th2v30556
OG0000051	Bra032978, Bra025247	Th2v00272, Th2v28485
OG0000051	Bra008777	Th2v24733
OG0000051	Bra040553	Th2v28486
OG0000051	Bra014066	Th2v29741
OG0000051	Bra038639	Th2v14074
OG0000053	Bra002368	Th2v08417
OG0000053	Bra020155	Th2v08417
OG0000053	Bra006595	Th2v08417
OG0000053	Bra025438, Bra004166	Th2v00534, Th2v05294, Th2v17972
OG0000053	Bra039723, Bra023786, Bra033898, Bra001892	Th2v15574
OG0000054	Bra019742, Bra016791, Bra034519, Bra027039	Th2v06009, Th2v14718
OG0000054	Bra000777, Bra000778	Th2v04460
OG0000054	Bra000377	Th2v12814, Th2v22503
OG0000054	Bra029458, Bra013619	Th2v04452, Th2v16720, Th2v04453
OG0000057	Bra020447, Bra002733	Th2v05564, Th2v21740, Th2v05785
OG0000057	Bra016610	Th2v23285
OG0000057	Bra007524, Bra014496	Th2v31231
OG0000057	Bra029249	Th2v14006
OG0000057	Bra007845	Th2v01825, Th2v02081
OG0000057	Bra003576, Bra035163	Th2v10190
OG0000057	Bra008288	Th2v18022, Th2v19007
OG0000057	Bra013168	Th2v19705
OG0000057	Bra010298, Bra010299, Bra011172, Bra024100, Bra024101, Bra038835, Bra024452	Th2v01717, Th2v02145, Th2v12432
OG0000060	Bra000483, Bra035677, Bra011930	Th2v07562, Th2v15722
OG0000060	Bra038267	Th2v18814, Th2v17861, Th2v18811, Th2v21274, Th2v17863
OG0000064	Bra036460, Bra036688, Bra011053	Th2v01593, Th2v02228
OG0000064	Bra033704, Bra032526	Th2v16137
OG0000064	Bra030993	Th2v09991
OG0000064	Bra006561, Bra020105	Th2v18997
OG0000064	Bra014582, Bra003324	Th2v06859
OG0000064	Bra027968, Bra030739, Bra018605	Th2v06200, Th2v14903, Th2v23236
OG0000065	Bra015815	Th2v05817, Th2v20913, Th2v28085
OG0000065	Bra033737, Bra039506, Bra027544, Bra020912, Bra013481, Bra038795	Th2v04327
OG0000065	Bra008903	Th2v15561, Th2v19216
OG0000065	Bra018379, Bra039987	Th2v01110, Th2v07494, Th2v15777, Th2v08264
OG0000065	Bra010114, Bra019493, Bra018184, Bra033796	Th2v17813, Th2v21305, Th2v18739
OG0000068	Bra025795, Bra015801, Bra008231, Bra003735, Bra017397, Bra018756, Bra014159, Bra018757, Bra014519	Th2v28107
OG0000069	Bra035673	Th2v01072
OG0000069	Bra035673	Th2v01108
OG0000069	Bra035673	Th2v07501
OG0000069	Bra035673	Th2v07560
OG0000069	Bra035673	Th2v08295
OG0000069	Bra035673	Th2v08302
OG0000069	Bra035673	Th2v17850
OG0000069	Bra035673	Th2v17851
OG0000069	Bra035673	Th2v15724
OG0000069	Bra035673	Th2v15770
OG0000069	Bra035673	Th2v21284
OG0000069	Bra017178	Th2v01072
OG0000069	Bra017178	Th2v01108
OG0000069	Bra017178	Th2v07501
OG0000069	Bra017178	Th2v07560
OG0000069	Bra017178	Th2v08295
OG0000069	Bra017178	Th2v08302
OG0000069	Bra017178	Th2v17850
OG0000069	Bra017178	Th2v17851
OG0000069	Bra017178	Th2v15724
OG0000069	Bra017178	Th2v15770
OG0000069	Bra017178	Th2v21284
OG0000069	Bra005185	Th2v01072
OG0000069	Bra005185	Th2v01108
OG0000069	Bra005185	Th2v07501
OG0000069	Bra005185	Th2v07560
OG0000069	Bra005185	Th2v08295
OG0000069	Bra005185	Th2v08302
OG0000069	Bra005185	Th2v17850
OG0000069	Bra005185	Th2v17851
OG0000069	Bra005185	Th2v15724
OG0000069	Bra005185	Th2v15770
OG0000069	Bra005185	Th2v21284
OG0000069	Bra018691	Th2v01072
OG0000069	Bra018691	Th2v01108
OG0000069	Bra018691	Th2v07501
OG0000069	Bra018691	Th2v07560
OG0000069	Bra018691	Th2v08295
OG0000069	Bra018691	Th2v08302
OG0000069	Bra018691	Th2v17850
OG0000069	Bra018691	Th2v17851
OG0000069	Bra018691	Th2v15724
OG0000069	Bra018691	Th2v15770
OG0000069	Bra018691	Th2v21284
OG0000069	Bra031594	Th2v01072
OG0000069	Bra031594	Th2v01108
OG0000069	Bra031594	Th2v07501
OG0000069	Bra031594	Th2v07560
OG0000069	Bra031594	Th2v08295
OG0000069	Bra031594	Th2v08302
OG0000069	Bra031594	Th2v17850
OG0000069	Bra031594	Th2v17851
OG0000069	Bra031594	Th2v15724
OG0000069	Bra031594	Th2v15770
OG0000069	Bra031594	Th2v21284
OG0000069	Bra007023	Th2v01072
OG0000069	Bra007023	Th2v01108
OG0000069	Bra007023	Th2v07501
OG0000069	Bra007023	Th2v07560
OG0000069	Bra007023	Th2v08295
OG0000069	Bra007023	Th2v08302
OG0000069	Bra007023	Th2v17850
OG0000069	Bra007023	Th2v17851
OG0000069	Bra007023	Th2v15724
OG0000069	Bra007023	Th2v15770
OG0000069	Bra007023	Th2v21284
OG0000069	Bra006699	Th2v01072
OG0000069	Bra006699	Th2v01108
OG0000069	Bra006699	Th2v07501
OG0000069	Bra006699	Th2v07560
OG0000069	Bra006699	Th2v08295
OG0000069	Bra006699	Th2v08302
OG0000069	Bra006699	Th2v17850
OG0000069	Bra006699	Th2v17851
OG0000069	Bra006699	Th2v15724
OG0000069	Bra006699	Th2v15770
OG0000069	Bra006699	Th2v21284
OG0000069	Bra000481	Th2v01072
OG0000069	Bra000481	Th2v01108
OG0000069	Bra000481	Th2v07501
OG0000069	Bra000481	Th2v07560
OG0000069	Bra000481	Th2v08295
OG0000069	Bra000481	Th2v08302
OG0000069	Bra000481	Th2v17850
OG0000069	Bra000481	Th2v17851
OG0000069	Bra000481	Th2v15724
OG0000069	Bra000481	Th2v15770
OG0000069	Bra000481	Th2v21284
OG0000070	Bra011889, Bra033581	Th2v03273
OG0000070	Bra031171, Bra037243, Bra039909, Bra024482, Bra010501, Bra017747, Bra011662, Bra008207, Bra003746, Bra015832, Bra025770, Bra034651, Bra013061, Bra011560, Bra017676	Th2v02802, Th2v12095
OG0000072	Bra037255, Bra034491, Bra038572, Bra015152, Bra038404, Bra002449	Th2v23932, Th2v26503, Th2v29778, Th2v12157, Th2v23678, Th2v29868
OG0000073	Bra023819	Th2v30285, Th2v30498, Th2v11085, Th2v03443, Th2v30202
OG0000074	Bra002592	Th2v18648, Th2v18649, Th2v19318, Th2v19319
OG0000074	Bra018188, Bra020333, Bra006729, Bra020349, Bra020347, Bra020348, Bra020350, Bra020351, Bra006728, Bra002586	Th2v17820, Th2v17822
OG0000075	Bra005084	Th2v30265
OG0000078	Bra016477, Bra012210, Bra003739, Bra008227, Bra015807	Th2v04085
OG0000078	Bra011578, Bra001994	Th2v12107
OG0000078	Bra022004, Bra025045	Th2v07388, Th2v10688, Th2v16538
OG0000078	Bra038892, Bra036819, Bra012858	Th2v11648, Th2v13434
OG0000079	Bra023952, Bra011345	Th2v01887, Th2v02043
OG0000079	Bra029874, Bra005845, Bra028768	Th2v23568, Th2v08612, Th2v11547
OG0000079	Bra033714	Th2v08012
OG0000079	Bra006407	Th2v21769
OG0000079	Bra011865	Th2v02334
OG0000079	Bra037793, Bra031904, Bra024324, Bra006036	Th2v13666, Th2v11795, Th2v24218
OG0000083	Bra010468, Bra016284, Bra024691	Th2v30473
OG0000083	Bra019689, Bra026863, Bra019686, Bra026864, Bra019688, Bra019690, Bra017393, Bra024783, Bra024782, Bra017394, Bra017395, Bra026565, Bra024784	Th2v00125
OG0000084	Bra003066, Bra029076, Bra022645	Th2v26933
OG0000084	Bra013049, Bra001995	Th2v08986, Th2v12108
OG0000084	Bra028946	Th2v09500
OG0000086	Bra028304, Bra029119	Th2v28940, Th2v09763, Th2v26908
OG0000086	Bra033236	Th2v24520
OG0000086	Bra006686, Bra020276, Bra006687, Bra002522, Bra020277	Th2v18813
OG0000086	Bra038266	Th2v09212, Th2v14285, Th2v22109
OG0000087	Bra016742	Th2v02360, Th2v05287
OG0000088	Bra038286, Bra002490, Bra020258, Bra006669, Bra002497	Th2v17880
OG0000088	Bra020259, Bra002500, Bra002499, Bra006670	Th2v21255
OG0000088	Bra038287, Bra002064, Bra029544, Bra038289, Bra006666, Bra006668	Th2v21257
OG0000090	Bra039966	Th2v01084, Th2v01089, Th2v07511, Th2v15762, Th2v07515
OG0000095	Bra013721, Bra034099, Bra019280, Bra019278, Bra010541, Bra034100, Bra026176, Bra026653, Bra024879, Bra017446	Th2v05429, Th2v06545, Th2v15244
OG0000096	Bra035460, Bra003124, Bra026244, Bra008138, Bra015930, Bra003729, Bra008137, Bra003816, Bra003815, Bra008140, Bra025673, Bra032058, Bra034253, Bra015929	Th2v03606, Th2v25101
OG0000098	Bra017241, Bra023065	Th2v14665, Th2v29108, Th2v30314
OG0000098	Bra034314	Th2v19789
OG0000098	Bra025424	Th2v19035
OG0000098	Bra026124	Th2v23425, Th2v10229
OG0000098	Bra026156, Bra026157, Bra016669, Bra003527	Th2v07760
OG0000098	Bra021173, Bra027171	Th2v00841, Th2v21911
OG0000099	Bra032602	Th2v16330
OG0000099	Bra008746	Th2v25689
OG0000099	Bra014403, Bra021387	Th2v07263
OG0000099	Bra027153	Th2v12990, Th2v22692, Th2v06107, Th2v14816, Th2v25053, Th2v20731
OG0000103	Bra013544, Bra038768, Bra038766	Th2v04362, Th2v16673
OG0000103	Bra037906, Bra023300, Bra023297	Th2v04621
OG0000104	Bra004659, Bra016901, Bra018274, Bra004707, Bra014070, Bra014188, Bra014215, Bra015604, Bra005653, Bra005652, Bra018228, Bra004684	Th2v13213, Th2v13214, Th2v28378, Th2v13260, Th2v25895, Th2v20552, Th2v20620
OG0000106	Bra022489, Bra040199, Bra040200, Bra022491, Bra029304, Bra029303, Bra029299	Th2v05230, Th2v05235
OG0000108	Bra014798, Bra007090, Bra005071, Bra005070, Bra005069, Bra000107, Bra017275, Bra017093	Th2v29171, Th2v03551, Th2v14691
OG0000108	Bra027463, Bra027488, Bra035979, Bra027490, Bra035978, Bra033673, Bra035977, Bra033675, Bra027487, Bra033676, Bra035981	Th2v08041, Th2v08044, Th2v08042, Th2v08043
OG0000109	Bra018914, Bra018879, Bra018880, Bra038047, Bra018874, Bra018913, Bra018915	Th2v21820
OG0000110	Bra038504, Bra021082	Th2v05855, Th2v20955, Th2v21803, Th2v20744, Th2v21802
OG0000110	Bra000568, Bra000727, Bra025164, Bra025163	Th2v20363, Th2v05137, Th2v05138, Th2v00751, Th2v00752, Th2v11008
OG0000114	Bra002171, Bra023688, Bra006467	Th2v26245
OG0000114	Bra033504, Bra012773, Bra038075, Bra033499, Bra038076, Bra033503, Bra033501	Th2v18224
OG0000115	Bra002103, Bra006418, Bra023635	Th2v22897
OG0000115	Bra024477, Bra037232	Th2v12233
OG0000115	Bra038874, Bra036846, Bra012877	Th2v12552, Th2v13448
OG0000116	Bra014352, Bra038027, Bra020514, Bra020515, Bra020478, Bra005841, Bra002860, Bra008946, Bra008944, Bra028614	Th2v21431, Th2v21430
OG0000117	Bra004768, Bra004769, Bra004770, Bra037706, Bra037705, Bra037707, Bra000309	Th2v03343, Th2v31327, Th2v13350, Th2v25972, Th2v13354, Th2v13352, Th2v13353, Th2v13355, Th2v13351, Th2v25973
OG0000120	Bra032635	Th2v07836, Th2v24542
OG0000120	Bra022637, Bra029089, Bra026297	Th2v28972, Th2v09721, Th2v26938
OG0000123	Bra003310, Bra000376	Th2v07064, Th2v18110
OG0000123	Bra013172	Th2v08541, Th2v19652
OG0000126	Bra027823, Bra027162, Bra027123, Bra039483, Bra031955, Bra019412, Bra020936, Bra023687, Bra027889	Th2v31160
OG0000128	Bra027130, Bra036715, Bra040124, Bra021590, Bra040128, Bra032811, Bra032858, Bra040127, Bra040270	Th2v00760, Th2v05131, Th2v05132
OG0000130	Bra040265	Th2v30537, Th2v30941, Th2v30241, Th2v02964
OG0000132	Bra039617, Bra010560, Bra011691	Th2v03024, Th2v21531
OG0000132	Bra012183, Bra025745	Th2v05854
OG0000132	Bra015856, Bra008186	Th2v14619
OG0000132	Bra011870, Bra000579, Bra031209, Bra030285	Th2v12544
OG0000133	Bra016178, Bra012362, Bra016364, Bra007947, Bra007946, Bra007945, Bra016182, Bra003939, Bra016180, Bra016181	Th2v04051, Th2v25728, Th2v25729
OG0000137	Bra032322, Bra032317, Bra010827, Bra010826, Bra032321, Bra010828	Th2v26551
OG0000138	Bra035034, Bra021830, Bra022928, Bra025997, Bra015210, Bra000327, Bra014753, Bra000645, Bra004111, Bra000183, Bra017014	Th2v05972, Th2v21097
OG0000141	Bra033932, Bra003479	Th2v25360, Th2v31079
OG0000142	Bra022382	Th2v06241, Th2v14942, Th2v27452, Th2v00233, Th2v23931, Th2v12459, Th2v21615, Th2v17456, Th2v23679, Th2v30901, Th2v29447, Th2v11099, Th2v29770, Th2v10101, Th2v25178, Th2v29719
OG0000143	Bra037571, Bra022341, Bra031864, Bra025619, Bra025607, Bra025609	Th2v17659
OG0000144	Bra014462, Bra014461, Bra014953, Bra039327, Bra039328, Bra039329, Bra007571, Bra004921	Th2v12845, Th2v22535, Th2v07141, Th2v00713, Th2v07139, Th2v22537, Th2v07142, Th2v12846, Th2v22536
OG0000146	Bra020804, Bra017704, Bra020805, Bra002020, Bra013032, Bra002019, Bra013031	Th2v12130, Th2v12137
OG0000149	Bra003333	Th2v13403
OG0000149	Bra007907, Bra007909, Bra007908, Bra016226, Bra027477, Bra035966, Bra033958, Bra033670, Bra030815, Bra030813	Th2v13402
OG0000150	Bra012328, Bra009566	Th2v06605, Th2v15305, Th2v27999, Th2v28000
OG0000151	Bra010505, Bra002389, Bra001081, Bra024684, Bra037882, Bra012262	Th2v30208
OG0000153	Bra002580, Bra002553, Bra006705, Bra006704, Bra006703, Bra002550, Bra002551, Bra002548, Bra020306, Bra020291, Bra006678, Bra038408, Bra002507, Bra002511, Bra002534	Th2v24202, Th2v24201, Th2v24203, Th2v24200, Th2v24204
OG0000154	Bra004838, Bra037648, Bra014510, Bra007510, Bra004837, Bra037650	Th2v31191, Th2v07114, Th2v18064
OG0000155	Bra018283, Bra018282, Bra021616, Bra021613, Bra029251	Th2v00749, Th2v15888
OG0000155	Bra018281, Bra022823, Bra007734	Th2v13092, Th2v22799
OG0000156	Bra006829, Bra032928, Bra040819, Bra040821, Bra034237, Bra025198, Bra025196, Bra025199	Th2v28524, Th2v28527
OG0000157	Bra015712, Bra038664, Bra040429, Bra007691, Bra037114, Bra031376	Th2v27227
OG0000159	Bra026450, Bra041015, Bra027666, Bra034521, Bra034520, Bra009164, Bra005879, Bra005876, Bra005878, Bra004046, Bra004349, Bra016726	Th2v22006, Th2v28730, Th2v06471, Th2v15168, Th2v28732
OG0000160	Bra033595, Bra013663, Bra007897, Bra016243, Bra016242, Bra016222	Th2v24972
OG0000162	Bra020002, Bra026556, Bra026555, Bra026558, Bra017391, Bra038144	Th2v06156, Th2v14863
OG0000163	Bra013175, Bra021675, Bra040764, Bra040817, Bra013176	Th2v08546, Th2v08545, Th2v25209, Th2v25210
OG0000164	Bra013565, Bra038753, Bra020868, Bra000806	Th2v04403
OG0000166	Bra000618, Bra034278, Bra013112, Bra008930, Bra001388, Bra034161, Bra034163	Th2v11191, Th2v11196
OG0000167	Bra038734, Bra016644, Bra026084	Th2v10163
OG0000167	Bra009583	Th2v14287, Th2v22112, Th2v09213, Th2v17748, Th2v12608, Th2v08924, Th2v14466
OG0000170	Bra039998, Bra038618	Th2v07254
OG0000171	Bra033416, Bra034210, Bra000823, Bra034211, Bra020727	Th2v16193
OG0000173	Bra040965, Bra027116, Bra009436	Th2v11970, Th2v11980, Th2v23790, Th2v23791, Th2v27370, Th2v27371, Th2v23793, Th2v27369, Th2v11934, Th2v12111
OG0000174	Bra040627, Bra028162, Bra033087, Bra033084, Bra030699, Bra008375, Bra027114, Bra027111, Bra018687	Th2v00511
OG0000178	Bra015465, Bra023229, Bra027159, Bra015425	Th2v08177, Th2v08160, Th2v08159
OG0000180	Bra016488	Th2v05693, Th2v05827, Th2v20775, Th2v20922
OG0000180	Bra025781	Th2v17257
OG0000180	Bra010719, Bra011556, Bra017674, Bra013066, Bra034649, Bra033584	Th2v02305, Th2v02524, Th2v12572
OG0000182	Bra027575, Bra014901, Bra038406, Bra012524, Bra025101, Bra021946, Bra025100	Th2v16609
OG0000182	Bra024835	Th2v00065
OG0000183	Bra019513	Th2v13988
OG0000183	Bra033785, Bra018113, Bra018115, Bra018114, Bra015049	Th2v13987
OG0000186	Bra032915, Bra032917, Bra030108, Bra030107, Bra030106	Th2v01307, Th2v01308
OG0000190	Bra024407, Bra026960, Bra019779, Bra035832, Bra023145, Bra035831	Th2v06034, Th2v14743, Th2v06035, Th2v14744, Th2v20539, Th2v20540
OG0000191	Bra006865, Bra002804	Th2v02188, Th2v01645, Th2v12490
OG0000191	Bra031101, Bra036705, Bra039019, Bra010331, Bra024148, Bra011098	Th2v02189
OG0000191	Bra039018, Bra031097, Bra036707, Bra011099	Th2v01644, Th2v09531
OG0000192	Bra017539, Bra012621	Th2v27159
OG0000192	Bra030503, Bra033331, Bra003445, Bra002094	Th2v16340
OG0000192	Bra003490, Bra040475, Bra004484	Th2v07247, Th2v12980, Th2v22680
OG0000193	Bra018729, Bra001686, Bra022247, Bra021276	Th2v25548, Th2v26332, Th2v27637
OG0000193	Bra039756, Bra028132	Th2v00554, Th2v06285, Th2v14986
OG0000193	Bra023573, Bra008612	Th2v18588
OG0000194	Bra021689, Bra021691, Bra021693, Bra004570, Bra004569, Bra037082, Bra000186, Bra000185	Th2v06734
OG0000197	Bra029220, Bra029219, Bra040935, Bra040936	Th2v02682, Th2v02690, Th2v02687, Th2v02681, Th2v02692, Th2v29030, Th2v02691, Th2v02689, Th2v19142, Th2v20319, Th2v19150, Th2v19149, Th2v30073, Th2v19768, Th2v19769
OG0000199	Bra020282, Bra006690, Bra002527, Bra019475	Th2v18809, Th2v17860, Th2v21277
OG0000199	Bra029803, Bra005767, Bra003149, Bra039807	Th2v14614
OG0000201	Bra010225, Bra023988, Bra001387, Bra034869, Bra029892, Bra032078, Bra022855	Th2v12403, Th2v01847
OG0000203	Bra039286, Bra004352	Th2v16898, Th2v29156, Th2v29144, Th2v29157
OG0000205	Bra019685, Bra026861, Bra016712, Bra019683, Bra026860, Bra039838, Bra015217, Bra016711, Bra016709, Bra026859, Bra019681, Bra019680	Th2v28694
OG0000206	Bra033016	Th2v17405
OG0000206	Bra006582	Th2v14283, Th2v22107
OG0000211	Bra025882, Bra025883, Bra025886, Bra012273, Bra016428, Bra016426, Bra016427, Bra025884, Bra012272	Th2v09832
OG0000212	Bra028498, Bra027900, Bra028983, Bra013725, Bra037618, Bra013682, Bra027100, Bra012250, Bra011004, Bra032500, Bra032593, Bra005518	Th2v30640, Th2v30741, Th2v25118, Th2v28038, Th2v28922, Th2v30164, Th2v29859, Th2v30142
OG0000214	Bra000799, Bra029500, Bra000797, Bra017551, Bra000796, Bra017552, Bra022095, Bra018496, Bra029470, Bra029499, Bra018493, Bra018492	Th2v04419, Th2v10796
OG0000216	Bra001536, Bra021533, Bra021535, Bra027370	Th2v23694, Th2v26123
OG0000216	Bra013299, Bra012602	Th2v07402, Th2v10676
OG0000216	Bra001551, Bra021556, Bra027338, Bra001550, Bra021555	Th2v00910
OG0000218	Bra006024, Bra035862, Bra032519, Bra015299	Th2v08033, Th2v16117, Th2v19289, Th2v24582
OG0000219	Bra034282, Bra003441, Bra007579	Th2v04662, Th2v04663
OG0000220	Bra012513, Bra020921, Bra020953, Bra002714, Bra027931, Bra027609, Bra027608	Th2v24410, Th2v26018, Th2v31556, Th2v26019
OG0000222	Bra038083, Bra039550, Bra001837	Th2v26221
